"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","    Excluding imputations (1-2)","A2026C1",891.8,935.6,1014.4,1115.7,1248.7,1348.3,1464.6,1635.9,1821.7,2056.1,2297.6,2488.9,2792.3,2883.7,3121.9,3492.1,3735.4,3934.7,4172.4,4490.8,4831.9,5095.6,5236,5522.1,5789.4,6153.4,6462,6854.5,7305.3,7703.8,8175.3,8675,8916.9,9194.9,9638.4,10267.8,10939.1,11597.8,12143.3,12293.4,11964.9,12453.9,12956.7,13558.7,14074.6
"12","4","  Personal consumption expenditures","DPCERC1",604.5,647.7,701,769.4,851.1,932,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6307,6792.4,7103.1,7384.1,7765.5,8260,8794.1,9304,9750.5,10013.6,9847,10202.2,10689.3,11083.1,11484.3
"13","5","    Imputations (153-156+165+170+175+181+ 187+199+203+204+205+206-209-210)","A2042C1",46.6,56.1,54.2,53.3,58.5,79.3,96.1,94.4,89.7,104.2,129.6,175.9,210.9,251.1,256.4,264.3,308.6,315.6,332.2,369.1,413.9,470.4,519.4,548,589.6,613.2,658.2,667.1,693.4,715,765,843.6,870.5,895.3,906.3,902.7,931.5,1025.5,1224.5,1456,1586.8,1631,1681.3,1667.4,1691.2
"14","6","    Excluding imputations (4-5)","A2086C1",557.9,591.5,646.8,716.1,792.6,852.7,936.6,1055.8,1187,1322,1459.9,1578.7,1726.6,1822.8,2030.1,2233.9,2414.1,2582.8,2759.9,2977.8,3178.9,3355.3,3440.7,3667.7,3881.4,4127.9,4326,4600.9,4867.3,5188,5542.1,5948.8,6232.6,6488.8,6859.3,7357.3,7862.6,8278.5,8526,8557.6,8260.2,8571.2,9008,9415.7,9793.2
"15","7","  Gross private domestic investment","A006RC1",173.6,170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581,637.5,820.1,829.6,849.1,892.2,937,999.7,993.5,944.3,1013,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2239.9,2479.2,2648
"16","8","    Imputations (209+210+211)","A2087C1",36.8,35.8,46.7,57.9,64.4,59.2,61.3,80.4,106,122.6,126.1,112.5,112.8,106.5,147.3,171.8,177.4,205.5,224.5,237.3,239.3,228.6,220.7,253.9,277.3,311.9,304,338.1,362,411.9,448.2,475.9,533,578.3,651.3,763.7,863,857,731.1,573.6,462.9,448.9,447.8,498.1,563.3
"17","9","    Excluding imputations (7-8)","A2088C1",136.8,134.3,150.1,170.3,202.6,215.3,196,242.8,290.6,355.7,413.6,417.6,518.4,474.5,490.2,648.3,652.3,643.6,667.7,699.6,760.4,764.8,723.7,759.1,829.5,944.6,1013.5,1094,1233.6,1323.4,1436,1557.8,1395.6,1346.7,1376.6,1513,1664.1,1823.6,1912.6,1851.2,1415.3,1651.9,1792.1,1981,2084.7
"18","10","  Net exports of goods and services","A019RC1",1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.6,-102.7,-114,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102,-162.7,-256.6,-375.8,-368.7,-426.5,-503.7,-619.2,-721.2,-770.9,-718.5,-723.1,-395.4,-512.7,-580,-568.3,-508.2
"19","11","    Imputations (14-17)","W510RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,5.3,4.4,4.5,4.2,3.6,3.3,4.3,5.4,6.4,6.2,5.7,5.6,4.5,3.7,3.5,1.1,0.7,0.6,0.2,2.6,0.9,0,-0.8,-0.9,0.7,3.3,3,2.5
"20","12","    Excluding imputations (10-11)","W511RC1",0.9,3.3,0,-4.1,3.2,-2.2,14.3,-3.3,-25,-27.7,-25.6,-16.5,-16.6,-22.9,-55.7,-106.8,-120.2,-137.2,-149.2,-113.9,-90.9,-81.4,-31.9,-39,-70.6,-98.8,-96,-102,-107.6,-167.2,-260.3,-379.3,-369.8,-427.1,-504.3,-619.4,-723.8,-771.8,-718.6,-722.3,-394.5,-513.3,-583.3,-571.3,-510.7
"21","13","    Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953,992,1096.8,1026.7,1002.5,1040.3,1181.5,1308.9,1476.3,1664.6,1841.9,1587.7,1852.3,2106.4,2194.2,2262.2
"22","14","      Imputations (173+179+185)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,6,5.3,5.3,5.2,4.6,4.5,5.6,6.9,8.2,8.1,7.5,7.5,7.1,6.7,7.2,6.1,6.2,6.6,7.2,7.1,8.3,8.3,9.6,9.4,9.3,11.5,12.4,12.3
"23","15","      Excluding imputations (13-14)","W513RC1",51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.8,804.7,860.1,946.3,945.8,985.3,1089.7,1020.7,996.3,1033.6,1174.3,1301.8,1468,1656.3,1832.4,1578.3,1843,2094.9,2181.8,2249.9
"24","16","    Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1248.6,1472.6,1395.4,1429,1543.9,1800.7,2030.1,2247.3,2383.2,2565,1983.2,2365,2686.4,2762.5,2770.4
"25","17","      Imputations (186)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.2,9.4,9.8
"26","18","      Excluding imputations (16-17)","W515RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1245.6,1468.9,1390.5,1423.4,1537.9,1793.7,2025.7,2239.8,2374.9,2554.6,1972.9,2356.3,2678.1,2753.1,2760.6
"27","19","  Government consumption expenditures and gross investment","A822RC1",240.4,254.2,269.3,288.2,306.4,343.1,382.9,405.8,435.8,477.4,525.5,590.8,654.7,710,765.7,825.2,908.4,974.5,1030.8,1078.2,1151.9,1238.4,1298.2,1345.4,1366.1,1403.7,1452.2,1496.4,1554.2,1613.5,1726,1834.4,1958.8,2094.9,2220.8,2357.4,2493.7,2642.2,2801.9,3003.2,3089.1,3174,3168.7,3169.2,3143.9
"28","20","    Imputations (171+176+182+190+207+212)","A1684C1",44.1,47.8,51.9,54.9,56,60.6,65.2,65.1,66.7,71.3,75.8,81.7,90.9,100.8,108.4,108.4,119.1,129.1,136.8,150.9,168.4,181.4,194.6,211.1,217,223.9,233.6,234.9,242.2,254,268.5,286.7,300.2,308.4,314.1,340.5,357.5,374.8,378.7,396.4,405.1,429.9,428.9,435.9,436.6
"29","21","    Excluding imputations (19-20)","A2089C1",196.3,206.4,217.5,233.3,250.3,282.5,317.7,340.7,369,406.1,449.7,509.1,563.9,609.3,657.3,716.8,789.3,845.4,894,927.3,983.5,1056.9,1103.5,1134.3,1149.1,1179.8,1218.6,1261.6,1312,1359.6,1457.5,1547.7,1658.5,1786.5,1906.7,2016.9,2136.2,2267.4,2423.3,2606.8,2684,2744.1,2739.8,2733.3,2707.3
"30","22","    Government consumption expenditures","A955RC1",180.9,194.4,210.8,227.6,240.7,267,298.5,316.2,342.6,371.8,405.4,454.9,507.4,553.1,594.6,632,688.6,736.4,776.1,819.8,881.5,948,1004.1,1049.3,1074.2,1109.6,1144.5,1176.5,1224.6,1272.1,1357.6,1444.2,1545.1,1651.4,1755.6,1868.9,1980,2089.8,2209.7,2368.6,2442.1,2522.2,2530.9,2549.7,2547.6
"31","23","      Imputations (171+176+182+190+207+212-213)","A2097C1",-15.4,-12,-6.6,-5.8,-9.6,-15.5,-19.2,-24.5,-26.4,-34.3,-44.3,-54.2,-56.5,-56.2,-62.7,-84.8,-100.7,-109,-117.9,-107.5,-102,-108.9,-99.5,-85.1,-74.9,-70.2,-74.1,-85.1,-87.4,-87.5,-99.9,-103.5,-113.4,-135.2,-151.1,-148,-156.2,-177.6,-213.5,-238.2,-241.9,-221.9,-209,-183.5,-159.7
"32","24","      Excluding imputations (22-23)","A2098C1",196.3,206.4,217.5,233.3,250.3,282.5,317.7,340.7,369,406.1,449.7,509.1,563.9,609.3,657.3,716.8,789.3,845.4,894,927.3,983.5,1056.9,1103.5,1134.3,1149.1,1179.8,1218.6,1261.6,1312,1359.6,1457.5,1547.7,1658.5,1786.5,1906.7,2016.9,2136.2,2267.4,2423.3,2606.8,2684,2744.1,2739.8,2733.3,2707.3
"33","25","    Gross government investment","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,619.4,596.3
"34","26","      Imputations (213)","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,619.4,596.3
"35","27","      Excluding imputations (25-26)","A1680C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","Gross domestic income","A261RC1",1018.3,1070.5,1158.3,1275.3,1422.4,1541.4,1675.7,1857.1,2066.7,2333.4,2587.4,2818.6,3174.2,3338.2,3584,4002,4295.5,4513.4,4829.7,5253.1,5593.5,5888.2,6085.7,6428.4,6726.4,7171.9,7573.5,8043.6,8596.2,9149.3,9698.1,10384.3,10736.8,11050.3,11524.3,12283.5,13129.2,14073.2,14460.1,14619.2,14343.4,14915.2,15556.3,16372.3,16980
"38","29","    Imputations (153-156+165+170+171+173+ 175+176+179+181+182+185-186+187+190+199+202+211+212)","A2023C1",128.1,140.3,153.3,166.8,179.8,200.5,224.4,241.7,264.3,300.4,334.6,373.6,418.7,461.3,516.2,548.6,611.3,655.4,697.8,761.8,825.8,884,938,1017.2,1089.3,1155.4,1202,1245.7,1303.2,1385.4,1485.4,1609.8,1704.9,1782.6,1872.3,2007.1,2154.6,2258.1,2334.4,2425.2,2453.9,2510.5,2561.3,2604.5,2693.5
"39","30","    Excluding imputations (28-29)","W516RC1",890.2,930.2,1004.9,1108.6,1242.6,1340.9,1451.3,1615.5,1802.4,2033,2252.8,2445,2755.6,2876.9,3067.8,3453.4,3684.2,3858,4131.8,4491.3,4767.7,5004.2,5147.6,5411.2,5637.1,6016.6,6371.5,6797.9,7293,7763.9,8212.8,8774.5,9031.9,9267.7,9652,10276.4,10974.6,11815.1,12125.8,12194,11889.5,12404.7,12995,13767.9,14286.5
"40","31","  Compensation of employees, paid","A4002C1",586,625.1,667,733.6,815.1,890.3,950.2,1051.3,1169,1320.3,1481.1,1626.3,1795.4,1894.5,2014.1,2217.6,2389.2,2545.6,2725.7,2950.9,3143.9,3345,3454.7,3674.1,3824,4014.1,4206.7,4426.2,4719.1,5082.4,5417.5,5863.1,6053.8,6149.7,6372.7,6748.8,7097.9,7513.7,7908.8,8090,7795.7,7969.5,8277.1,8614.9,8853.6
"41","32","     Imputations (188+202)","Y523RC1",23.6,25.5,27.4,30.3,27.8,27.8,34.3,32.3,35.8,40.1,45.5,50.9,59.4,70,82.8,85.3,100.9,117.6,129,153.2,185.5,210.1,223.1,263.9,278.5,286.4,283.8,298,313.7,341.3,382.2,422.6,450,443.3,447.4,519.7,555.8,569.3,596.6,569.8,565.8,567.1,571.1,583.6,612.5
"42","33","     Excluding imputations (31-32)","A2100C1",562.4,599.6,639.7,703.3,787.2,862.6,915.9,1018.9,1133.2,1280.2,1435.6,1575.4,1736,1824.5,1931.2,2132.3,2288.3,2428,2596.7,2797.7,2958.3,3134.9,3231.6,3410.2,3545.5,3727.7,3923,4128.3,4405.4,4741,5035.3,5440.6,5603.7,5706.4,5925.3,6229.1,6542.1,6944.4,7312.2,7520.1,7229.9,7402.4,7706,8031.3,8241.2
"43","34","  Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1102.6,1132,1162.4
"44","35","    Imputations (157)","A2094C1",12.7,14.4,15.8,17.1,18.5,19.8,21.8,24.1,26.6,27.2,28.1,30.6,33.9,37,39.4,42.3,44.9,47.5,51.8,55.2,59.8,63.5,68.2,70.5,70.3,73.7,73.8,76.2,78.9,80.2,83,85.7,90.5,97.4,103.1,109.4,117.5,125.1,134.4,137.6,144.7,144.6,146,147.5,148.4
"45","36","    Excluding imputations (34-35)","A2095C1",71.2,77,84.7,90.8,98.7,105.1,113.5,122.3,133.1,143.7,152,169.8,201.8,204,223.9,247.5,263.3,275.9,295.8,319.3,339.1,361.5,388.9,412.9,432.8,471.5,484.1,504.6,532.7,559.2,590.6,622.9,637.2,665.2,704.9,754.5,817,866.9,900.2,904.3,881.5,912.5,956.7,984.5,1014.1
"46","37","  Less: Subsidies","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58,60.2
"47","38","    Imputations (158)","B1154C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6,2,1.5,0.9,0.9,1.3
"48","39","    Excluding imputations (37-38)","A2096C1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7,8.8,8.4,9.7,11.3,14.8,21,20.8,21.1,24.7,30.1,29.3,27.2,26.8,27.3,29.8,36.4,32,34.6,35,33.5,36,44.7,45.4,58.2,41.1,48.5,45,56.9,49.4,46.6,49,56.4,54.4,59.2,57.1,58.9
"49","40","  Net operating surplus","W271RC1",228.1,222,246.6,279.5,317.3,323.3,357.1,405.4,456.8,526.1,563.6,575.7,669.6,683.5,767.4,921.4,982.9,987.1,1058.8,1174.8,1242.1,1258.4,1270.2,1341.3,1432.4,1589.5,1720.9,1895.9,2059.4,2153.6,2251.4,2344.2,2410.1,2517.3,2665.4,2885.5,3175.7,3483,3307,3176.5,3211.6,3562.8,3785.9,4153.2,4396.8
"50","41","    Imputations (162+163+187-189-191+194-195+199+211+214)","W517RC1",43.8,48.4,54,59.3,67.8,78,84.6,94.7,102.2,121.6,135.3,149.3,165.7,180.4,209.8,223.6,254.4,262.4,270.7,287.8,295.7,308.1,329.1,353.7,395.1,434.2,465.9,481.5,506.9,543.5,575.7,627.3,663.2,717.8,765,775.1,822,847.7,851.1,936.2,956.7,1000.9,1029.5,1038.6,1067.5
"51","42","    Excluding imputations (40-41)","W518RC1",184.3,173.6,192.6,220.1,249.5,245.4,272.5,310.7,354.5,404.5,428.2,426.4,503.9,503.1,557.6,697.8,728.5,724.7,788.1,887.1,946.4,950.3,941.1,987.6,1037.2,1155.3,1255,1414.4,1552.5,1610.1,1675.7,1716.9,1746.9,1799.5,1900.5,2110.4,2353.7,2635.2,2456,2240.3,2254.9,2561.9,2756.5,3114.6,3329.4
"52","43","    Net interest and miscellaneous payments, domestic industries","W272RC1",34.1,41.2,45.5,50.3,59.5,75.4,87.5,89.6,104.6,120,143.6,187.4,235,273.4,289.6,336.2,360.6,385.9,398.7,428.2,483.7,489.1,450.6,422.8,413,416,436.6,447.9,493.7,557.8,575.7,667.6,677.8,592.9,557.4,510.1,632.2,758.1,880.7,916.4,760.9,670.6,655.2,657.7,669.6
"53","44","      Imputations (214)","A2104C1",33,37.9,42,47.6,54,63.4,76,83.9,95.8,113.1,133.6,156.7,182.1,215.2,259.5,293.3,338.3,372.4,399.1,425,451.1,478.2,488.9,502.6,510,533.2,563.8,583.1,615.9,639.9,668.6,719.6,733.6,743,718.8,734.6,798.5,859.7,932.7,978.5,889.8,853.1,837.4,797.6,768.6
"54","45","      Excluding imputations (43-44)","A2105C1",1.1,3.3,3.5,2.7,5.5,12,11.4,5.6,8.9,6.9,10,30.7,52.9,58.2,30,42.8,22.3,13.5,-0.4,3.2,32.6,11,-38.3,-79.9,-97,-117.2,-127.2,-135.2,-122.2,-82.1,-93,-52,-55.8,-150.1,-161.3,-224.5,-166.4,-101.6,-52,-62.2,-129,-182.5,-182.2,-139.9,-99
"55","46","    Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,114.4,124.9,128.5,131.5,106.7,120.6
"56","47","      Imputations (162-197+198)","Y505RC1",7,7.8,9.8,10.1,10.9,12.9,13.6,16.9,20.4,20.2,16.6,11.8,3.9,-9.9,-20.6,8.4,-7.8,-31.1,-39.3,-45,-61.5,-71.7,-76.6,-83.5,-83.9,-89,-101.9,-132.6,-143.9,-163.5,-188.2,-205.9,-204.2,-174,-132.2,-168,-173.2,-203.5,-234.4,-220.6,-208.1,-196.7,-203.3,-237.8,-274.5
"57","48","      Excluding imputations (46-47)","W530RC1",-2.2,-3.4,-5.7,-5.3,-5.2,-6.1,-4.5,-7.7,-12.3,-9.8,-3.9,2.2,13,29.2,42.3,20.8,41.8,67.1,72.6,77.8,99.8,110.9,115.5,123.2,123.3,129.8,146.9,185.3,193.9,227.5,256,291.3,303.3,254.7,208.5,249.4,267.1,286.1,332.9,335,333,325.2,334.8,344.5,395.1
"58","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6
"59","50","      Imputations (199+211)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.7,2.3,0.7,0.2,0.8,0.8,1.2,1.3
"60","51","      Excluding imputations (49-50)","A2102C1",76.3,77,83,94.1,111.2,110.8,116.8,128.8,141.7,162.9,176.2,169.2,177.6,169.3,183.4,225.3,238,252.9,283.2,322.7,339.1,351.5,353.6,399.1,427.5,456.1,481.7,544.4,584.8,641.3,697.2,755,834,868,897,958.3,974.7,1050,976.9,1025.8,972.8,1031.9,1142.9,1259,1335.3
"61","52","    Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8
"62","53","      Imputations (163)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327,356.1,410.9
"63","54","      Excluding imputations (52-53)","A2103C1",6,6.2,6.4,7.5,8.7,8.5,8.6,8.6,9.1,9.8,10.8,14.1,19.6,24,26.2,29.1,33.7,31.4,30.1,28.7,27.8,31.4,36.2,44.5,51,55.3,60.7,64.2,67.1,68.6,67.9,66.9,72.8,71,72.7,75.2,80.4,83.2,93,114.9,116.9,134.7,158.3,176.8,184.9
"64","55","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1351.2,1394.7,1621,1703.8
"65","56","      Imputations (187-189+194-195+197-198)","Y674RC1",-10.5,-11.5,-12.8,-13.1,-11.3,-13,-19.4,-19.4,-23.3,-21.5,-23.8,-27.4,-28.8,-29.9,-34.4,-80.7,-76.1,-74.4,-85,-94.6,-95.6,-103.3,-94.1,-90.7,-79.2,-78.4,-70.4,-57.9,-56.5,-40.1,-25.5,-11.8,-5.1,-1.4,12.4,27.1,36.7,65.4,56,32.3,59.4,79.4,80.1,134,173.3
"66","57","      Excluding imputations (55-56)","Y675RC1",102.3,90.6,105.6,120.8,129.8,121.2,143.6,177.2,210,237.2,238.2,215.5,246.6,227.1,279.1,382.1,392.5,359.3,402.9,452.5,442.7,444.4,468.9,492.9,524.3,622.4,680.4,742,814.7,741.4,733.7,646.8,588.8,749.9,877.3,1051.3,1201.9,1325,1119.6,846,980.4,1271.9,1314.6,1487,1530.5
"67","58","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,454.8,474.3
