"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"17","9","      Durable goods","N5009C1",698.3,668,612.5,561,596.2,614.2,619.6,621.7,623,623.5,623.6,648.6,648.3,661.4,679.9,685.1,734.1,746.9,759.1,772.8,812.3,788.4,831.2,830.2,828.3,825.8,812,836.3,805.7,764.8,787.8,722.7,640.7,637.1,645.8,681.2,708.6,747.3,776.4,778.8,760.1,766.2,791.6,823.6,890.1,895.8,882.7,889.2,884.3,896.4,914.7,914,950.2,982,NA
"18","10","      Nondurable goods","N5010C1",474.4,487.5,487.3,464.1,461.4,457.2,452.4,456.6,465.1,458.6,478.5,501.3,504.5,517.1,533.7,544.5,573.5,562.8,572.8,584.9,592.4,636.5,634,603.2,627.1,657.5,602.7,627.2,593.1,606.8,628.3,632.1,574.8,559.2,557.3,568.8,559.5,600.6,621.7,608.1,602.3,626.6,645.1,629.8,669.6,681.6,664,677.1,672.3,660.6,653.4,716.5,692.3,739.3,NA
"19","11","    Wholesale trade","N5011C1",557.3,556.4,562.1,578,570.3,571.9,560.5,563.3,564.3,576.6,592.6,599.8,608.5,627.2,643,632.1,668.7,691.6,681.4,699.3,722.4,729.3,747.6,753,766.1,776.3,771.2,753.4,731.3,738.5,762.4,792.6,728.3,695.9,691.3,703,719.4,749.6,755.8,724.5,736.4,764.2,790.2,789.3,834.9,851.4,849.2,875.3,887.1,890.6,894.4,890.1,908.7,925.1,NA
"20","12","    Retail trade","N5012C1",692.5,695.9,702,711.4,722,722.8,728.6,736.7,750.3,760.4,763.7,770.8,783,784.4,788.9,795.4,821.6,859.5,856.9,889.9,897.7,894.2,909.5,920.4,914.6,922.7,898.5,889.2,851.5,846.3,837.7,826.4,826.8,837.5,837.1,858.6,861.5,874.7,876.5,876,879.6,878.3,895.9,920,960.4,961.6,959.4,992.5,999,1017.5,1020.8,1017.5,1029.8,1051.9,NA
"21","13","    Transportation and warehousing","N5013C1",276.3,277.6,255.1,262,261,260.3,263.8,270.1,272.9,269.2,280.4,286.8,292.9,305.7,304.9,305.7,323.8,329.9,335.3,344.4,358.5,364,362.2,362.7,358.1,366.2,360.7,357.5,357.4,363.5,360.8,364.9,347,334.9,336.1,350.7,356.7,372,378.3,366.6,364.1,373.4,375,388.6,417.2,418.1,414.1,413.2,428.5,430.8,433.5,447,465.6,478,NA
"22","14","    Information","N5014C1",308.1,319.1,304,289.4,302.7,308.1,308,322.3,324,323.8,335.1,326.2,338.1,376.2,390.7,379.5,386.8,418.8,440.4,446.1,435.6,442.1,439.9,444.9,453.8,449.2,462.9,485.9,448.4,464.9,450.4,453.6,484.3,407.7,400.2,448.5,442.7,433.1,448.8,446.2,445.2,424.3,451.6,445.2,499.5,488.3,519.6,481.4,532.6,499.2,505,540,560.5,578,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1623.8,1624,1623.9,1624.6,1626.2,1633.3,1615.8,1628.1,1633,1673.8,1710.5,1710,1738.1,1756.6,1782,1835.1,1953.6,1922,1982.4,2018.2,2072.2,2090.7,2087.1,2124.8,2132.7,2115.7,2106,2035.2,2006.3,2007.3,1862.8,1851.6,1976.9,2152,2227.7,2183.6,2127.4,2122.8,2146.2,2173.7,2180.5,2147.8,2134.9,2253.4,2339,2390.2,2446.7,2482.2,2500.8,2576.7,2663.6,2650.1,2638,2661.9,NA
"24","16","    Professional and business services \1\","N5016C1",1139.7,1138.9,1136.3,1129.6,1150.8,1169.9,1183.9,1190.2,1203.7,1216,1223.8,1247.5,1257.9,1274.6,1312.5,1341.5,1386,1397.2,1454.7,1474.6,1525,1540.4,1569.8,1589.4,1586.2,1604.8,1621.4,1640.8,1708.5,1715.5,1719.2,1592.6,1619.6,1572.3,1566.2,1605.6,1645.2,1676.4,1718.4,1749.6,1756.1,1784.7,1820.2,1800.9,1875.1,1864,1897.8,1963,1944.4,1956.3,1951.3,1973.7,2026.8,2086.1,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",728.4,742.8,758.5,776.3,794,813.4,830.8,844.2,853.4,862.2,874.2,893.3,908.6,928.3,948.1,951.2,965.2,984.9,996.3,1007.4,1032.3,1050.5,1061.1,1078.5,1089.6,1098.5,1114.2,1132.2,1152.4,1182.8,1195.3,1213,1226.9,1246.9,1256.3,1279.3,1276.5,1292.7,1302.6,1307.7,1321.1,1333,1346.3,1348.1,1378.7,1380.5,1387,1409.8,1415.7,1426.7,1435.8,1439.9,1461.8,1487.5,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",350.4,351.3,351.3,348.3,354,362.1,367,373.6,371.7,374.8,381.6,391.3,402.6,409.3,413.8,409.4,422.2,435.4,439.2,452.1,458.4,463.4,465.8,475.1,480.9,482.2,481.5,487.5,479.4,484.3,481,468.2,458.8,460.2,466.4,466.5,474.6,482.2,488.1,488.4,496.5,505.3,514.6,519.8,547.5,547.2,547.9,555.7,560.2,568.7,573.3,574.9,593.9,605.2,NA
"27","19","    Other services, except government","N5019C1",269.4,271.4,273,272.2,289.3,292.9,297.7,300.7,294.6,296.8,299,303.5,309.5,312.5,316.3,318.1,331.1,336.2,337.9,344.3,353.8,360.7,363.2,368.1,368.9,369.6,366.7,369.7,362.5,358.8,357.9,361.1,355.1,359.9,359.8,364.6,362.6,367,372,372,375.2,378.3,383.2,386.5,399.2,401.7,404.5,410.2,412.3,415,416.1,419.9,424.7,425.4,NA
"28","20","  Government","B436RC1",1085,1101.1,1126.3,1135.6,1162,1174.7,1191.5,1207.6,1236.9,1250.7,1260.3,1271.5,1304.5,1320.1,1331.6,1341.9,1367.9,1374.9,1385.6,1394.6,1420.3,1431.3,1446.6,1459.6,1486.4,1497.3,1512.8,1527,1554.2,1567.8,1585,1596.6,1605.5,1620.6,1628.9,1637.2,1662.8,1685.6,1685.6,1685.3,1686.7,1694.4,1693.4,1685.1,1696,1691.9,1693.1,1699.9,1703.6,1705.9,1702.9,1708.6,1715.1,1720.8,NA
"29","21","Rest of the world","A192RC1",40.5,49.7,26.8,90.2,51.2,32.5,46.8,63.8,50.1,63.9,64,90.5,108.9,83.9,94.6,69.1,102.9,91.8,102.3,73.3,75.4,70.4,57.1,67.6,68.6,90.6,148.1,194.9,180.3,184.5,202.2,121.1,128.4,124.7,179.5,171.6,203.6,205.3,199.7,215.2,228.1,231.1,255.5,271.8,238.5,230.3,215.1,225.5,208.8,214.9,230.8,242.9,211,213.5,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
