"","Table 8#12# Housing Sector Output, Gross Product, and National I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","12","Less: Consumption of fixed capital","A1028C",1.5,1.4,1.3,1.1,1.1,1.2,1.2,1.2,1.4,1.4,1.4,1.5,1.7,1.8,2,2.1,2.3,2.5,3.2,3.6,3.8,4.1,4.7,5,5.2,5.5,5.8,6.3,6.6,6.8,7.1,7.5,7.8,8.1,8.4,8.8,9.5,10.2,10.9,11.9,13.2,14.1,15.6,18.1,19.9,22.8,25.4,27.8,31.6,36.7,42.6,48.5,53.5,57.6,60,62.7,67.6,70.5,75.3,80.6,89.5,90.1,94.5,108.9,103.8,120.9,115.9,119.6,126.5,133.1,145.4,152.5,166.1
"20","13","        Capital consumption allowances","B1029C",0.9,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.4,1.5,1.7,2,2.2,2.5,2.7,3,3.2,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.9,6.3,6.7,7.1,7.5,7.9,8.5,9,9.7,11,11.6,12.4,13.2,14.1,15.4,16.9,18.9,20.5,22.2,23.9,25.6,27.6,30.5,32.8,35.7,38.7,42.8,44.7,47.6,53.4,53.3,61.5,60.3,63.6,67.6,71.9,77.8,81.8,88.4
"21","14","        Less: Capital consumption adjustment","B1030C",-0.5,-0.5,-0.3,-0.1,-0.1,-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.5,-0.6,-0.7,-0.8,-1,-1.1,-1.3,-1.8,-2.1,-2.1,-2.2,-2.4,-2.5,-2.5,-2.5,-2.6,-2.7,-2.7,-2.7,-2.6,-2.7,-2.6,-2.6,-2.5,-2.5,-2.8,-3.1,-3.4,-4,-4.7,-5.1,-6,-7.2,-8.4,-10.3,-12.3,-13.7,-16.2,-19.7,-23.8,-28,-31.3,-33.8,-34.4,-35,-37.1,-37.7,-39.6,-41.9,-46.8,-45.4,-46.9,-55.5,-50.5,-59.4,-55.6,-56,-58.8,-61.2,-67.6,-70.7,-77.7
"22","15","Equals: Net housing product","B952RC",8.2,8,7.5,6.8,5.8,5.2,5.2,5.3,5.6,6,6.1,6.2,6.6,7.2,7.6,8,8.2,8.4,8.8,9.8,11.1,12.4,13.9,15.9,18,20,21.5,23,25.2,27.5,30,32.7,35.2,38.1,40.7,43.1,45.8,48.6,51.8,54.9,58.8,63.2,68.6,73.2,79.7,85.9,91.8,100.2,111,122.6,137.1,160.5,185.8,205.9,220.9,244.1,268.8,292.6,315.6,341.8,364.7,395.6,417.6,430.9,449.7,468.5,506.6,528.4,545.5,578.1,614.1,651.5,671.4
"23","16","Less: Indirect business tax and nontax liability plus business transfer payments","B1031C",2,2.1,2.1,2,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2,2.1,2.1,2.2,2.1,2.2,2.4,2.7,2.8,3.2,3.5,3.8,4.1,4.6,5.1,5.6,6.2,6.7,7.5,8.2,8.9,9.8,10.7,11.7,12.6,14.1,15.9,17.7,20.1,22.1,23.8,25.8,27.6,30.3,33.4,36.6,37.3,38.1,41.1,45.8,50.4,54.6,59.4,63.9,68.5,72.5,76.3,84.7,90.6,96.7,102.4,107.2,111,114.4,118.9,124.2,130.5,135.7,140.7,146
"24","17","Plus: Subsidies less current surplus of government enterprises","B1032C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.4,0.6,1.5,1.4,1.5,1.7,2.1,2.4,2.9,3.8,4.7,5.9,7.1,7.3,8.3,9.6,10.2,11.5,13,14.3,15.3,16.3,17.4,19.1,21.3,21.8,23.3,23.7,24.1,23.7,23.8,24.3
"25","18","Equals: Housing national income","A2012C",6.3,5.9,5.5,4.8,4,3.5,3.5,3.6,3.8,4.1,4.2,4.3,4.6,5.2,5.6,5.8,6,6.3,6.5,7.4,8.4,9.5,10.7,12.3,14.1,15.8,16.8,17.9,19.5,21.3,23.3,25.2,26.9,29.2,30.9,32.4,34.2,36.1,37.9,39.2,41.4,43.4,47.1,50.9,55.4,59.8,63.1,68.9,76.8,88.2,102.8,124.2,145.9,162.6,173.6,192.9,214.5,234.3,254.6,278.5,294.3,320.3,337.2,345.9,361.6,378.9,413.9,432.8,445,471.8,502.2,534.6,549.8
"26","19","          Compensation of employees","B1033C",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.2,2.4,2.7,2.9,3.3,3.5,3.7,4,4.2,4.5,4.8,7,7.3,7.7,8.1,8.4,8.8,9.6,10,10.9,11.3
"27","20","          Proprietors' income with inventory valuation and capital consumption adjustments","B1034C",0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.1,1.3,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.5,2.8,3.1,3.4,3.3,3.6,3.6,3.5,3.1,3.1,3.9,4.4,5.5,6.7,8.9,10.8,10,10.8,12.3,12.6,11.8,11.7,12.6,13.5,14.8,18,18.1,16.6,23.2,22.6,21.3,20.6,19.7,18.5,18.1
"28","21","          Rental income of persons with capital consumption adjustment","B1035C",3.8,3.4,3,2.5,1.8,1.4,1.4,1.6,1.8,2.2,2.4,2.4,2.7,3.3,3.7,4,4.1,4,4,4.5,5.2,6,6.7,7.7,9.1,10.2,10.7,11,11.6,12.3,13.2,14.2,14.8,15.6,16.1,16.1,16.5,17.1,17.7,17.3,17.4,17.2,18,17.6,17.3,16.7,15.4,14.6,13.1,13.7,14.1,19.2,24.2,23.8,22.2,21.6,20.2,18.9,23.6,31.5,27.8,35.7,42.3,47.6,74.6,93.3,100.7,111.2,109,121,130.7,128.1,118.9
"29","22","          Corporate profits with inventory valuation and capital consumption adjustments","B1036C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,1,1.1,1.4,1.6,2.3,2.8,2.6,3.3,3.6,3.6,3.4,3.5,4.7,4.5,4.1,4.2,3.9,4,4.8,4.7,4.7,4.4,4.1,4.1,4
"30","23","          Net interest","B1037C",1.8,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.5,1.8,2,2.3,2.7,3.1,3.5,4,4.5,5.2,6.1,7,7.8,8.6,9.5,10.7,11.6,12.9,14.2,15.4,16.3,17.6,19.4,21.2,24.1,28,32.7,37.7,42.7,49.1,57.4,67.3,80.1,94.7,108.3,122.8,136.1,154.3,175.1,195.7,212.1,227.7,245,262.1,271.2,269.2,257.8,257.3,277.3,285.7,301.2,316.2,337.6,373.1,397.5
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32"," 1. Equals personal consumption expenditures for housing less expenditures for other housing as shown in table 2.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
