"","Table 5#6# Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","13","      Utilities","E313RC",2,1.8,1.2,0.6,0.4,0.5,0.5,0.7,0.9,0.8,0.9,1,1.1,1.1,1,1.2,1.3,1.7,2.6,3.3,3.5,3.5,3.9,4.1,4.6,4.2,4.1,5.1,5.4,5.1,4.9,5,4.6,4.6,5,5.4,6.1,7.1,7.8,9.2,9.6,11.1,11.9,13.1,15,16.5,17.1,20,21.5,24.1,27.5,30.2,33,32.5,28.7,30,30.6,31.2,26.5,26.6,29.5,28.4,33.7,36.7,34.8,34,35.8,36,36.1,44.2,47.3,53.7,55
"21","14","        Railroads","C573RC",0.9,0.8,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.7,0.8,0.9,0.8,0.8,0.9,1,1,0.8,0.8,0.9,0.9,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.9,1,0.9,1,1,1.2,1.4,1.4,1.9,2.2,2.7,2.9,2.9,3.1,2.9,3,3.5,4,2.9,2.5,2.4,2.7,2.6,2.4,2.9,3.1,3.3,3.5,4.4,4.9,5.7,4.7,4.3,4.1
"22","15","        Telecommunications","C314RC",0.4,0.3,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.5,0.7,0.5,0.4,0.5,0.6,0.6,0.7,0.8,1.1,1.1,0.9,1,1.1,1,1,1.1,1.3,1.5,1.6,1.6,1.7,2.2,2.9,3,3.3,3.9,4.2,3.8,3.9,4.5,5.6,6.9,7.7,8.2,8.5,7.6,8,8.3,9,9.1,9.5,9.5,9.7,8.9,8.9,9.6,10.1,11,11.7,12.3,12.3,18.3,18.7,18.4
"23","16","        Electric light and power","C571RC",0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.4,0.8,1,1.3,1.2,1.3,1.5,1.8,1.7,1.5,1.8,2.2,2.3,2,2,1.9,1.9,2,2.2,2.5,3,3.7,4.3,4.5,5.3,6,6.7,7.6,8.1,8.3,9.8,11.7,13,14.3,15.3,17,17.1,15.3,15.5,14.6,15.8,11.4,10.8,12.7,10.9,16.2,17.1,15.6,15,14.1,11.3,11.4,12.5,14.7,21.3,22.7
"24","17","        Gas","C572RC",0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.9,1,0.7,0.8,0.7,0.9,1.1,1.1,1,1.2,1.1,1.1,1,0.9,1.1,1.3,1.6,1.5,2,1.8,1.7,1.6,1.9,1.9,1.9,1.6,1.6,1.8,2.3,2.9,3.4,4,3.7,2.5,2.8,3.4,3.2,3.1,3.6,4.3,4.8,5.5,6.8,5.6,4.6,6.2,7.6,6.5,12.4,8.1,8.5,8.9
"25","18","        Petroleum pipelines","C574RC",0.2,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.3,0.4,0.2,0.3,0.4,0.3,0.3,0.8,1.9,2.9,1.2,0.5,0.6,0.8,0.7,0.4,0.5,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.8,0.8,1,1,0.9,1,1,1.3,1.5,1,0.9
"26","19","      Farm","C316RC",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.8,0.8,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.8,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.6,1.7,1.9,1.9,1.8,2.5,3.2,3.7,4,4.4,5.2,5.8,5.2,4.7,3.8,3.3,3.3,2.3,2.1,2.6,2.4,2.5,2.8,2.8,2.4,3.4,3.2,3,3.7,3.8,4.3,5.1,6,6.1
"27","20","      Mining exploration, shafts, and wells","E318RC",0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.3,0.4,0.6,0.7,0.8,0.9,1.2,1.2,1.4,1.7,2,2.1,2.3,2.5,2.7,2.6,2.4,2.5,2.3,2.3,2.5,2.3,2.4,2.4,2.5,2.4,2.6,2.8,2.8,2.7,3.1,3.5,5.2,7.4,8.6,11.5,15.4,19,27.4,42.5,44.8,30,31.3,27.9,15.7,13.1,15.7,14.9,17.9,18.5,14.2,17.7,17.4,17.2,21.1,30.1,30.2,22.8,29.2,42.7
"28","21","        Petroleum and natural gas","C319RC",0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.3,0.4,0.6,0.7,0.7,0.8,1.2,1.2,1.4,1.6,1.9,2.1,2.2,2.4,2.6,2.5,2.3,2.4,2.2,2.2,2.3,2.1,2.3,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,40,42.7,28.5,29.6,26.3,14.6,12.3,14.9,13.9,16.8,17.2,12.9,16.3,15.5,15.8,19.4,28.4,28.9,21.6,28,41.3
"29","22","        Other","C320RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.3,1.4,1.8,2.5,2.1,1.5,1.7,1.7,1.1,0.8,0.9,1,1.1,1.3,1.3,1.4,1.9,1.4,1.7,1.7,1.3,1.2,1.1,1.4
"30","23","      Other \4\","C317RC",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.9,1,0.9,1,1.1,1.2,1.3,1.5,1.8,2.3,2.4,2.7,3,3.5,4.5,6.5,5.4,6.3,5,5.9,7,7,8.5,7.8,6.9,6.9,5.8,5.5,5.9,6.2,6.7,6.8
"31","24","    Brokers' commissions on sale of structures","C321RC",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,1,1.1,1.1,1.3,1.4,1.5,1.3,1.3,1.4,1.5,1.6,1.8,2,2.3,2.4,2.5,2.5
"32","25","    Net purchases of used structures","E322RC",0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0.1,0.6,0.4,0.2,0.1,0,0,0,0,-0.1,0.1,-0.2,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.4,-0.5,-0.4,-0.6,-0.7,-0.7,-0.8,-0.9,-0.8,-1.1,-1.4,-1.4,-1.6,-1.5,-1.3,-1.3,-1.4,-0.5,-1.7,-1.8,-1.9,1.2
"33","26","  Residential","A012RC",3.9,2.3,1.7,0.7,0.6,0.9,1.2,1.6,2,2.1,3,3.4,4,2.1,1.4,1.3,1.7,7.6,11.8,15.3,14.3,20.2,18.1,18.2,19,20.7,24.6,23.1,21.7,21.9,27.5,25.8,25.9,28.4,31.5,33.6,33.5,31.6,31.6,37.9,41.6,40.2,54.5,68.1,73.6,64.1,60.8,80.4,107.9,128.9,137.9,119.9,119,102,148.3,175.1,181.9,212.6,221.8,228.2,225.7,210.8,185.8,219.6,245.4,279.1,278.3,305.6,320.4,356.1,394.8,416.8,435.4
"34","27","    New","A756RC",3.7,2.1,1.6,0.7,0.5,0.7,1.1,1.7,2,2.1,2.8,3.2,3.8,1.9,1.1,1,1.4,7.1,11.2,14.8,13.9,19.7,17.5,17.6,18.3,19.9,23.7,22.3,21.2,21.5,26.5,24.8,25,27.3,30,32.1,32.1,30.5,30.6,36.5,40.1,38.6,52.1,65,70,60.1,55.4,73.1,98.2,117,124.7,108.5,109.2,93.7,135.5,160.6,164.9,192.9,200.6,203.9,202.3,188.5,162.5,193.8,218.1,248.6,246.6,269.8,281.2,310.4,344.4,363.6,377.8
"35","28","      New housing units","A942RC",3.2,1.7,1.4,0.5,0.3,0.4,0.8,1.3,1.6,1.7,2.4,2.7,3.2,1.6,0.8,0.7,0.8,5.3,8.4,11.4,10.8,16.3,13.9,13.6,14.1,15.6,18.9,17.1,15.6,16,20.2,18,17.9,20.5,23.1,25,24.9,22.9,22.8,28.4,31.6,29.4,41.8,54,59,46.8,38.9,54,76.4,90.3,94.4,74.3,74.4,61.8,100.9,120.2,120.8,138.5,145.2,144.2,144.3,132.9,115,135.1,151.1,177.3,174.3,192.2,199.6,224.9,250.1,259.7,271.6
"36","29","        Permanent site","A943RC",3.2,1.7,1.4,0.5,0.3,0.4,0.8,1.3,1.6,1.7,2.4,2.7,3.2,1.6,0.8,0.7,0.8,5.2,8.3,11.2,10.7,16.1,13.8,13.4,13.9,15.4,18.6,16.5,15.1,15.4,19.7,17.5,17.4,19.9,22.4,24.1,23.8,21.8,21.5,26.7,29.2,27.1,38.7,50.1,54.6,43.4,36.3,50.8,72.2,85.6,89.3,69.7,69.5,57,94.7,113.8,114.7,133.2,139.9,138.9,139.2,128,110.6,129.6,144.1,167.9,162.9,179.4,186.1,210.4,236.1,248.9,262.8
"37","30","          Single-family structures","A944RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,16.7,14.9,14.1,15.1,16,17.6,17.8,16.6,16.8,19.5,19.7,17.5,25.8,32.8,35.2,29.7,29.6,43.9,62.2,72.8,72.3,53,52,41.5,72.2,85.6,86.1,102.2,114.5,116.6,116.9,108.7,95.4,116.5,133.3,153.8,145,159.1,163.2,185.8,208.6,220.7,232.1
"38","31","          Multifamily structures","C292RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,2.6,3.3,4.8,6.4,6.4,6,5.2,4.7,7.2,9.5,9.5,12.9,17.2,19.4,13.7,6.7,6.9,10,12.8,17,16.7,17.5,15.5,22.4,28.2,28.5,31,25.5,22.3,22.3,19.3,15.1,13.1,10.8,14.1,17.9,20.3,22.9,24.6,27.4,28.3,30.7
"39","32","        Manufactured homes","A945RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.9,1,1.1,1.2,1.7,2.3,2.3,3.2,3.9,4.4,3.3,2.5,3.2,4.2,4.7,5.1,4.6,4.9,4.8,6.3,6.3,6.1,5.3,5.3,5.2,5.1,4.9,4.4,5.5,7.1,9.4,11.4,12.8,13.5,14.5,14,10.8,8.8
"40","33","      Improvements","A946RC",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.3,0.5,1.8,2.7,3.4,3.1,3.4,3.5,3.9,4.1,4.2,4.7,5.1,5.4,5.3,6.1,6.5,6.7,6.2,6.5,6.6,6.6,7,7.4,7.6,8.2,9,10.1,10.9,10.8,13.2,16.4,19,21.8,26.6,30.2,34.1,34.6,31.6,34.3,40,43.8,54,54.7,59.2,57.3,54.9,47.2,58.3,66.4,71,71.8,77,80.8,84.5,93,102.4,104.6
"41","34","      Other \5\","C295RC",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.4,0.6,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.3,0.3,0.5,0.3,0.5,0.6,0.8,1,1.3,1.4,1.6
"42","35","    Brokers' commissions on sale of structures","A758RC",0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,0.9,1.1,1.4,1.2,1.3,1.5,1.7,1.8,1.9,1.8,1.8,2.1,2.3,2.5,3.5,4.2,4.7,4.9,5.8,7.6,10.2,12.5,13.7,12,10.5,9.1,13.5,15.4,18.2,22.1,23.5,25.2,24.7,23.9,24.8,27.1,29.2,31.7,33,37.5,41.5,48.8,53.9,56.2,60
"43","36","    Net purchases of used structures","A759RC",0,0,0,0,0,0,0,-0.2,-0.2,-0.2,0,0.1,0,0,0.1,0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.4,-0.7,-0.3,-0.3,-0.4,-0.3,-0.2,-0.3,-0.4,-0.6,-0.8,-0.8,-0.8,-0.9,-1.1,-1.1,-1.1,-0.9,-0.4,-0.4,-0.5,-0.7,-0.5,-0.7,-0.8,-0.8,-0.7,-1,-1.3,-2.3,-2.3,-1,-1.3,-1.6,-1.5,-1.3,-1.8,-1.2,-1.3,-1.7,-2.3,-3,-3.5,-2.9,-2.3
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45"," 1. Consists of office buildings, except those constructed at industrial sites and those constructed by utilities for their own ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47"," 2. Consists of stores, restaurants, garages, service stations, warehouses, mobile structures, and other buildings used for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","commercial purposes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
