"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"19","11","  Automotive vehicles, engines, and parts","B641RA",20.81,25.65,27.73,27.09,30.71,34.46,40.46,45.13,47.52,49.68,50.05,51.38,51.7,43.54,43.1,35.32,36.54,43.12,46.92,46.14,49.74,59.04,60.23,61.23,65.35,75.39,83.5,90.96,96.12,100,112.94,110.31,113.98,120.7,112.92,117.01
"20","12","  Consumer goods, except automotive","B642RA",9.88,10.74,11.5,12.19,12.23,14.3,17.43,21.69,19.98,22.54,24.38,28.15,29.6,35.87,34.39,30.96,28.31,28.17,27.34,30.24,35.57,45.44,60.61,68.68,71.24,76.54,80.4,87.93,93.18,100,109.62,113.76,115.05,126.55,125.52,120.78
"21","13","    Durable goods","B690RA",9.67,10.7,12.5,12.11,11.61,14.89,18.18,23.69,20.6,24.1,25.08,30.94,31.24,37.4,32.66,27.51,23.5,23.58,22.68,25.76,31.44,42.66,63.03,70.9,71.55,76.41,81.55,87.37,92.89,100,110.35,115.68,117.14,129.97,128.91,122.91
"22","14","    Nondurable goods","B691RA",9.86,10.57,10.57,12.03,12.49,13.52,16.44,19.51,19.02,20.73,23.24,25.16,27.63,33.96,36.16,34.72,33.73,33.32,32.57,35.27,40.2,48.56,57.93,66.24,70.9,76.69,79.2,88.52,93.48,100,108.86,111.76,112.87,122.99,121.99,118.56
"23","15","  Other","B643RA",28.74,30.48,34.59,39.76,41.08,45.82,47.03,46.06,45.58,42.98,50.24,40.44,40.15,44.22,52.66,44.71,51.54,64.93,75.97,74.61,92.33,99.83,89.6,96.74,102.05,94.23,87.19,90.39,95.68,100,113.94,122.2,129.36,133.84,132.94,141.24
"24","16","Exports of services \1\","B646RA",13.97,14.69,15.59,16.97,17.77,17.7,20.85,24.29,25.91,28.65,30.67,33.1,33.64,35.59,39.32,39.29,38.86,42.62,43.01,48.73,54.38,59.45,65.18,71.73,75.4,78.86,82.07,88.01,93.65,100,106.98,109.39,112.13,118.91,114.18,117.87
"25","17","  Transfers under U.S. military agency sales contracts","B267RA",24.77,28.74,29.52,30.24,35.67,18.9,26.65,39.71,49.76,62.18,78.97,80.82,62.29,72.68,81.31,90.18,90.4,70.07,62.94,65.42,90.13,76.88,70.05,78.46,79.3,82.74,85.41,82.81,93.91,100,112.07,118.32,101.55,88.45,79.09,81.06
"26","18","  Travel","B493RA",10.53,10.88,11.88,12.81,13.37,14.36,16.5,17.95,19.41,22.12,22.16,23.81,25.52,28.51,31.47,28.06,23.69,35.33,34.98,39.03,43.07,51.96,62.1,70.05,74.22,82.34,86.37,86.8,93.06,100,102.95,98.84,100.98,106.07,93.87,92.39
"27","19","  Passenger fares","B533RA",5.68,6.27,6.77,8.15,8.41,9.08,12.53,12.48,10.55,11.74,12.76,14.97,20.58,22,24.04,23.42,26.64,30.77,34.66,42.27,49.8,60.09,69.7,93.54,88.05,89.72,87.61,87.94,92.68,100,105.89,103.53,94.61,96.81,83.16,78.81
"28","20","  Other transportation","B683RA",28.76,29.46,31.74,35.99,35.4,39.83,47.04,49.21,48.57,52.46,53.03,56.3,63.47,63.06,63.39,60.86,58.68,70.92,72.29,70.95,79.2,90.19,91.32,91.57,92.14,87.25,87.69,95.3,102.78,100,103.3,101.44,105.83,107.49,102.07,101.23
"29","21","  Royalties and license fees","B684RA",24.1,24.57,25.35,27.81,28.71,29.97,32.82,36.39,37.48,35.64,37.36,41.36,39.78,41.14,38.75,27.6,27.27,27.95,29.15,34.41,41.64,47.85,52.16,60,61.93,70.42,71.53,86.14,95.34,100,101.8,106.92,109.06,114.06,109.54,116.55
"30","22","  Other private services","B720RA",3.86,4,4.39,4.71,5.46,6.09,6.64,10.84,12.58,14.55,14.99,17.75,19.79,21.15,30.44,36.71,36.28,36.78,36.71,49.09,49.87,51.54,58.8,61.82,71.03,72.21,76.44,86.02,89.1,100,115.92,126.21,141.46,153.94,164.44,175.07
"31","23","  Other","B980RA",27.5,29.32,30.43,31.96,31.92,33.64,39.06,41.36,43.2,46.06,48.74,49.45,47.72,44.67,43.21,45.56,58.24,63.52,70.41,69.9,75.61,78.99,77.1,80.38,79.84,79.76,89.23,97.09,98.51,100,99.82,100.11,87.7,107.18,96.08,105.76
"32","24","      Imports of goods and services","B021RA",18.29,21.02,22.21,23.16,24.4,27.13,28.39,27.75,24.66,29.49,32.7,35.54,36.13,33.73,34.61,34.18,38.49,47.86,50.95,55.23,58.58,60.81,63.21,65.64,65.31,69.64,75.98,85.08,92.05,100,113.67,127.03,140.88,159.48,154.91,160.66
"33","25","Imports of goods \1\","B255RA",15.34,18.51,19.52,20.29,21.99,24.98,26.74,26,22.72,27.86,31.25,34.05,34.64,32.06,32.72,31.9,36.24,45,47.8,52.7,55.15,57.38,59.8,61.6,61.56,67.26,74.03,83.86,91.43,100,114.2,127.59,143.19,162.51,157.18,163.31
"34","26","  Foods, feeds, and beverages","B647RA",48.94,55.53,52.63,56.21,58.03,61.77,63.35,58.61,51.84,59,58.41,65.58,67.31,58.59,60.96,62.14,67.44,76.4,79.59,81.47,83.51,80.19,81.8,85.21,81.27,85.76,86.78,88.96,90.88,100,110.14,118.2,129.22,138.38,144.74,152.98
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA",32.47,38.65,36.57,36.95,40.28,44.19,44.48,43.33,36.5,44.45,47.83,52.37,50.31,43.91,47.67,43.21,51.32,63.64,63.92,67.32,66.65,67.38,65.74,66.78,65.58,72.1,78.48,89.99,94.47,100,108.28,119.91,125.06,133.52,128.51,133.19
"36","28","    Durable goods","B820RA",42.14,52.81,48.14,48.46,53.05,58.72,60.02,58.2,46.28,54.1,60.65,67,63.41,52.11,55.07,44.98,56.06,70.7,69.17,73.6,69.21,68.03,65.1,65.13,62.17,68.3,75.03,90.14,93.38,100,107.67,123.82,128.37,136.82,128.33,135
"37","29","    Nondurable goods","B696RA",23.56,25.79,25.97,26.4,28.58,30.93,30.32,29.78,27.49,35.46,36.03,38.94,38.25,36.23,40.65,41.23,46.64,56.8,58.69,61.1,64.03,66.71,66.43,68.51,69.08,75.99,82.03,89.83,95.58,100,108.91,115.76,121.55,130.01,128.38,131.04
"38","30","  Petroleum and products","B648RA",24.23,27.9,31.13,33.63,38.46,46.97,66.72,64.23,63.17,76.17,91.64,86.64,87.64,70.78,62.02,53.34,52.79,55.76,52.36,64.73,67.61,74.78,80.65,81.74,77.69,80.52,88.85,94.37,92.91,100,104.58,111.35,111.96,118.52,122.65,119.13
"39","31","  Capital goods, except automotive","B650RA",1.54,1.77,2.06,2.15,2.13,2.72,3.36,3.58,3.4,4.12,4.39,5.67,6.94,8.18,9.63,10.48,12.68,18.95,21.36,24.25,27.69,31.92,36.07,38.92,41.87,48.34,56.25,69.08,85.05,100,125.42,143.85,165.02,198.28,175.36,172.4
"40","32","    Civilian aircraft, engines, and parts","B932RA",4.86,6.8,6.16,6.3,7.14,14.8,18.4,17.01,13.77,9.09,12.06,16.07,23.48,47.46,53.48,44.57,38.68,43.3,60.55,68.33,76.19,88.31,100.97,106.69,107.59,112.61,98.02,95.37,88.22,100,126.23,163.13,174.67,188.27,215.81,173.19
"41","33","    Computers, peripherals, and parts \3\","B852RA",0,0,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.07,0.1,0.17,0.25,0.37,0.53,0.8,1.96,3.58,4.06,6.31,10.12,13.25,16.71,18.82,24.19,33.26,44.33,59.04,78.53,100,132.03,164.44,212.02,248.13,224.98,247.65
"42","34","    Other","B853RA",2.87,3.23,3.82,3.9,3.76,4.62,5.65,6,5.72,7.03,7.35,9.32,11.18,12.41,14.52,15.93,18.32,27.14,29.96,32.09,34.13,38.14,41.86,44.76,46.09,50.96,58.53,71.41,87.42,100,122.74,134.2,147.8,181.85,153.73,149.12
"43","35","  Automotive vehicles, engines, and parts","B651RA",12.54,19.5,23.82,24.36,29.71,32.19,33.22,35.28,28,37.1,39.3,42.53,41.12,40.74,39.42,42.19,51.65,66.36,74.35,80.49,82.59,80.52,78.44,78.83,73.47,77.31,84.96,95.04,96.63,100,108.21,114.93,137.39,149.33,144.79,155.17
"44","36","  Consumer goods, except automotive","B652RA",10.12,12.77,15.07,16.2,17.05,20.78,21.33,19.19,14.88,19.2,23.19,28.49,28.7,28.92,31.66,33.1,39.83,50.28,54.89,60.82,62.79,63.72,66.68,65.56,66.71,73.71,79.91,86.55,93.29,100,114.06,129.44,145.3,170.79,173.7,189.78
"45","37","    Durable goods","B697RA",10.18,12.88,14.86,15.85,17.05,21.13,22.34,21.09,15.92,19.16,25.76,31.36,31.19,32.88,35.75,36.5,43.08,54.27,60.28,65.29,65.2,65.94,69.38,65.93,66.49,72.89,79.19,86.42,92.69,100,112.51,131.18,148.76,177.98,176.62,196.43
"46","38","    Nondurable goods","B698RA",10.42,13.11,16.05,17.46,17.79,21.12,20.61,17.11,13.83,19.56,20.27,25.27,25.99,24.38,26.98,29.22,36.15,45.76,48.8,55.77,60.09,61.24,63.66,65.14,66.95,74.62,80.7,86.7,93.96,100,115.75,127.64,141.69,163.3,170.62,182.85
"47","39","  Other","B653RA",18.15,18.82,20.42,20.49,21.27,22.27,20.55,18.77,14.8,16.86,20.47,22.01,22.67,27.14,35.82,39.27,40.65,47.14,56.15,57.14,59.7,61.91,66.7,77.21,79.05,81.94,83.5,92.52,94.63,100,112.83,133.15,153.3,172.78,175.02,183.67
"48","40","Imports of services \1\","B656RA",33.47,34.08,36.22,38.11,37.03,38.54,37.24,37.2,35.59,38.04,39.94,42.78,43.37,42.4,44.85,47.24,51.06,63.86,68.71,68.94,77.64,79.75,81.98,88.23,86.18,82.69,86.6,91.65,95.4,100,110.94,124.16,129.42,144.47,143.71,146.79
"49","41","  Direct defense expenditures","B752RA",307.63,317.33,335.64,327.6,285.55,273.11,219.02,204.54,170.84,161.03,167.62,182.13,176.16,192.68,204.71,219.77,239.3,236.58,246.76,220.99,205.73,191.94,189.86,184.05,171,139.08,124.46,102.24,90.66,100,115.53,123.87,133.3,140.29,158.92,189.18
"50","42","  Travel","B768RA",23.9,21.66,23.5,27.11,27.08,29.29,27.63,24.81,23.93,25.45,26.23,27.09,26.43,26.4,27.92,33.1,37.5,68.54,75.65,70.33,83.39,85.69,88.29,94.33,85.42,87.95,92.25,95.53,96.28,100,108.69,122.92,125.04,139.48,132.22,128.88
"51","43","  Passenger fares","B769RA",15.75,16.36,19.77,22.19,21.8,25.79,29.41,28.59,28.72,31.2,31.32,34.77,35.75,34.94,40.17,41.34,51.89,50.77,59.1,57.5,63.39,64.47,69.2,80.57,68.73,70.84,77.3,88.05,93.92,100,108.17,117.83,122.81,132.04,111.68,102.49
"52","44","  Other transportation","B770RA",36.55,40.28,41.1,43.88,47.21,50.27,54.65,55.47,53.05,60.05,66.86,69.66,71.55,62.95,62.98,55.75,57.88,69.11,70.37,72.06,82.73,89.15,92.39,99.37,97.95,93.83,95.93,101.65,101.46,100,107.99,115.38,115.91,129.19,122.45,127.89
"53","45","  Royalties and license fees","B908RA",9.54,10.15,11.6,11.13,11.26,13.13,16.24,17.53,20.55,19.64,19.02,22.59,25.09,20.09,17.37,16.21,18.44,21.92,21.21,24.62,31.49,42.52,39.53,46.83,58.1,72.26,68.73,78.22,90.21,100,120.51,139.71,154.38,192.19,191.99,212.78
"54","46","  Other private services","B909RA",2.92,3.31,3.68,3.86,4.26,4.39,4.91,9.88,11.17,13.42,14.05,16.42,18.6,18.99,22.38,25.37,23.77,26.64,29.68,40.25,48.17,49.62,52.03,59.71,67.86,59.08,69.53,80.38,92.63,100,115.09,134.53,145.87,164.83,183.69,185.49
"55","47","  Other","B910RA",60.66,64.83,62.68,62.4,60.2,59.86,59.42,56.89,56.25,60.49,60.92,63.77,64.15,60.17,59.94,66.83,71.92,74.3,79.56,75.14,85.17,86.27,86.62,86.83,89.93,91.78,92.19,96.3,97.73,100,103.68,107.61,107.41,113.45,119.89,123.91
"56",NA,"  Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","    Exports of agricultural goods \4\","B181RA",35.34,35.22,33.72,39.31,39.25,45.11,57.23,52.47,53.24,59.62,61.06,72.29,75.5,84.98,84.92,81.11,77.49,76.88,65.77,66.28,69.61,76.51,81.89,81.35,81.42,91.11,88.85,91.65,102.28,100,101.73,101.83,102.65,111.07,114.66,111.95
"58","49","    Exports of nonagricultural goods","B182RA",16.15,17.84,19.04,20.7,20.45,22.33,27.14,30.56,29.56,30.1,29.99,32.68,36.74,40.27,39.27,34.11,32.07,33.71,35.14,37.17,41.6,49.95,56.62,61.92,66.8,71,73.58,81.21,90.91,100,115.88,118.51,123.24,137.44,128.37,123.62
"59","50","    Imports of nonpetroleum goods","B187RA",12.27,14.86,15.61,16.17,17.45,19.7,20.45,19.92,16.69,20.6,22.46,25.77,26.27,25.8,28.16,28.75,33.98,43.8,47.64,51.69,54.1,55.93,58.07,59.94,60.29,66.26,72.91,83.06,91.31,100,115.14,129.09,145.89,166.6,160.02,167.19
"60",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","51","      Exports of goods and services","B020RG",32.56,33.23,34.29,35.77,36.98,38.17,43.4,53.68,59.24,61.11,63.58,67.48,75.63,83.32,89.41,89.83,90.24,91.13,88.7,87.33,89.62,94.39,96.15,96.79,98.1,97.82,97.82,98.94,101.29,100,98.47,96.26,95.47,96.83,96.1,95.87
"62","52","Exports of goods \1\","B253RG",36.06,36.62,37.75,39.46,40.51,41.59,48.27,61.08,67.89,69.63,72.16,76.32,86.4,94.71,101.38,100.21,99.48,100.34,95.62,92.49,94.89,101,102.33,101.36,101.26,99.75,99.21,100.27,102.65,100,97.29,94.25,92.98,94.05,93.42,92.98
"63","53","  Foods, feeds, and beverages","B638RG",30.74,30.04,29.99,31.07,33.19,34.54,54.03,73.94,72.13,65.53,65.24,68.75,76.98,81.22,85.17,75.14,78.35,80.79,72.45,67.25,67.39,82.09,84.71,79.31,79.26,78.83,79.87,82.5,89.51,100,92.62,84.27,80.4,79.06,79.31,81.3
"64","54","  Industrial supplies and materials","B639RG",25.58,24.84,25.12,26.43,26.87,27.72,32,47.03,52.82,52.76,54.93,57.48,69.64,78.23,81.13,78.67,76.43,78.82,75.45,71.79,80,88.62,90.25,91.11,88.85,86.37,86.81,92.54,104.83,100,99.58,94.23,92.85,98.76,95.78,94.41
"65","55","    Durable goods","B686RG",23.28,22.59,22.86,24.03,24.43,25.31,29.12,42.61,48.03,47.97,49.95,52.24,63.33,71.16,73.79,71.53,69.53,71.69,68.64,69.78,76.06,85.44,87.61,87.21,86.42,87.84,93.26,96.7,103.58,100,99.11,95.02,92.56,94.21,92.53,92.68
"66","56","    Nondurable goods","B687RG",26.71,25.95,26.22,27.62,28.08,28.9,33.43,49.25,55.21,55.14,57.41,60.09,72.77,81.75,84.77,82.21,79.86,82.36,78.84,72.98,82.14,90.37,91.69,93.29,90.2,85.59,83.44,90.35,105.54,100,99.84,93.77,93.04,101.67,97.85,95.56
"67","57","  Capital goods, except automotive","B640RG",61.94,67.23,71.01,74.86,75.19,75.57,77.39,87.01,101.67,110.02,113.7,118.98,125.54,136.35,149.85,153.96,149.58,145.1,136.01,130.15,126.2,127.51,126.52,122.24,121.62,117.86,114.62,111.85,106.95,100,95.06,92.48,90.99,90.45,90.44,89.73
"68","58","    Civilian aircraft, engines, and parts","B688RG",21.31,21.99,22.86,24.09,25.17,25.6,26.72,29.82,31.6,35.67,38.91,42.26,46.7,52.55,57.32,62.7,65.97,67.78,69.41,70.55,69.21,71.33,74.61,78.64,85.19,87.89,90.31,92.97,96.16,100,103.41,104.74,107.04,111.44,117.54,120.71
"69","59","    Computers, peripherals, and parts","B850RG",4324.14,4320.4,4253.32,3812.5,3285.85,2832.17,2548.94,2010.15,1839.84,1596.95,1380.69,1166.64,1009.15,809.38,745.12,699.78,566.93,456.89,381.06,325.82,278.21,259.74,237.5,210.73,189.79,168.08,146.46,133.77,119.15,100,85.96,75.5,68.44,65.08,63.09,60.02
"70","60","    Other","B689RG",40.78,44.77,47.63,50.97,51.72,52.7,54.52,63.39,76.39,83.7,87.45,93.19,99.79,112.08,126.62,130.29,129.06,129.61,122.95,119.58,120.3,124.04,124.17,119.45,118.51,115.01,113.08,110.64,106.02,100,95.9,94.64,93.91,93.31,92.86,92.12
"71","61","  Automotive vehicles, engines, and parts","B641RG",20.57,20.7,21.8,22.14,23.69,24.66,26.43,30.04,34.94,37.86,41.6,45.39,53.24,61.61,70.28,75.03,77.71,79.98,81.76,83.64,85.29,87.01,89.08,91.59,94.15,95.94,96.77,97.69,98.93,100,100.81,100.92,101.54,102.39,102.74,103.25
"72","62","  Consumer goods, except automotive","B642RG",30.49,31.03,32.32,32.76,34.01,35.78,39.31,42.12,46.86,50.81,52.29,57.71,67.43,70.65,73.45,74.37,75.25,76.44,76.2,78.98,81.5,84.76,87.89,90.87,93.9,95.91,97.03,97.37,98.7,100,100.74,100.75,100.4,100.82,100.46,99.89
"73","63","    Durable goods","B690RG",25.76,25.9,26.65,27.5,30.62,32.01,37.44,38.66,42.63,45.91,46.58,53.51,65.12,73.08,76.82,78.94,80.92,80.01,78.99,82.54,84.36,87.54,90.9,93.87,96.32,97.34,97.58,98.02,98.84,100,100.97,100.69,100.06,100.77,100.88,100.54
"74","64","    Nondurable goods","B691RG",36.08,37.04,38.96,38.94,38.33,40.54,41.94,46.69,52.4,57.19,59.63,63.29,70.76,68.52,70.35,70.21,70.22,72.94,73.28,75.45,78.49,81.82,84.72,87.71,91.37,94.41,96.46,96.7,98.54,100,100.51,100.82,100.78,100.86,99.99,99.19
"75","65","  Other","B643RG",24.4,24.61,25.26,26.69,27.53,28.48,33.24,41.49,46.34,48.21,50.4,53.65,60.94,68.05,73.57,74.47,75.49,78.16,76.38,75.29,78.6,84.75,87.41,89.13,90.65,91.17,92.63,95.51,100.17,100,98.95,96.67,95.97,97.75,97.34,97.27
"76","66","Exports of services \1\","B646RG",25.68,26.69,27.62,28.64,30.31,31.88,33.47,37.57,40.22,42.44,44.77,48.12,51.91,58.4,63.32,67.31,70.12,71.06,73.43,75.66,77.7,79.67,82.37,86.47,90.85,93.26,94.47,95.72,97.99,100,101.42,101.37,101.82,103.94,102.94,103.27
"77","67","  Transfers under U.S. military agency sales contracts","B267RG",31.86,33.18,35.46,34.01,36.87,49.44,50.4,52.43,55.73,60.06,63.77,67.56,71.65,77.97,84.58,91.07,93.54,95.95,94.41,88.51,84.01,81.97,82.85,85.71,88.69,90.12,92.98,97.08,99.62,100,97.73,95.79,99.99,98.79,96.95,95.92
"78","68","  Travel","B493RG",22.42,23.4,24.66,26.09,27.17,28.12,29.65,32.2,34.69,37.22,39.78,43.25,47.41,53.24,58.83,63.33,66.25,69.7,72.8,74.89,78.43,81.22,83.58,88.02,93.46,95.31,96.07,96.49,97.67,100,102.26,103.4,106.1,111.2,111.68,110.37
"79","69","  Passenger fares","B533RG",32.1,32.21,32.56,32.72,35.8,37.71,38.11,43.35,48.27,51.27,52.45,52.45,51.32,57.69,63.4,66.39,66.39,64.73,62.34,64.72,68.89,73.18,74.91,80.12,88.22,90.74,92.42,94.7,99.95,100,96.54,95.1,102.45,105.05,106.08,109.13
"80","70","  Other transportation","B683RG",32.34,33.17,32.05,33.3,35.75,34.47,36.41,44.4,46.12,49.33,51.28,55.42,60.26,70.66,75.99,77.64,82.3,74.7,77.87,83.45,82.45,82.12,86.21,92.32,94.21,94.64,96.04,95.6,97.33,100,100.26,96.81,97.55,107.54,106.37,106.42
"81","71","  Royalties and license fees","B684RG",22.33,23.4,24.53,25.81,27.3,28.46,30.26,33.27,36.25,38.57,41.47,44.72,48.88,54,59.12,62.51,65.26,68.08,70.57,72.62,75.22,78.13,81.6,85.4,88.61,91.15,93.41,95.5,97.85,100,101.78,102.62,104.2,106.95,108.72,109.9
"82","72","  Other private services","B720RG",26.4,27.65,29.06,30.6,32.35,33.64,35.15,37.74,40.49,42.72,45.31,47.94,50.67,56,59.68,63.6,67.08,69.97,72.94,75.34,78.07,80.98,84.22,87.51,90.47,92.94,94.93,96.53,98.43,100,100.68,99.89,95.83,93.94,90.79,91.92
"83","73","  Other","B980RG",19.93,20.99,22.87,24.31,24.69,25.48,27.02,31.01,33.81,32.08,32.88,37.01,41.85,47.99,51.57,57.55,58.22,61.09,65.04,68.12,72.94,74.88,76.18,78.5,85.72,93.11,89.99,91,95.66,100,110.22,115.38,117.67,120.44,120.46,118.1
"84","74","      Imports of goods and services","B021RG",22.66,23,23.6,25,26.53,28.4,33.34,47.7,51.67,53.22,57.92,62.01,72.62,90.45,95.32,92.1,88.65,87.89,85.02,85.01,90.02,94.46,96.87,99.43,98.93,99.09,98.18,99.12,101.83,100,96.44,91.27,91.34,95.49,92.7,92.99
"85","75","Imports of goods \1\","B255RG",22.39,22.69,23.33,24.91,26.19,28.2,33.23,49.73,53.9,55.34,60.42,64.45,76,95.9,101.25,97.16,93.1,92.46,88.84,86.85,93.04,97.47,100.23,102.02,100.62,100.21,99.06,99.83,102.51,100,95.88,90.17,90.31,94.63,91.87,90.32
"86","76","  Foods, feeds, and beverages","B647RG",26.24,26.58,27.86,30.62,30.71,32.9,40.31,50.49,52.09,54.8,67.03,67.57,75,88.73,85.25,78.76,78.16,80.2,76.87,83.78,83.19,87.05,85.23,86.78,90.3,90.15,89.92,97.45,102.22,100,100.92,97.71,94.49,93.04,90.23,91.14
