"","Table 6#19B# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","23","      Instruments and related products","B3223C0B",120,102,156,157,161,169,216,233,249,242,229,314,280,282,351,392,429,606,762,717,731,766,570,541,660,721,662,779,980,1094,1318,1234,1274,1588,654,765,1121,491,16,360
"31","24","      Miscellaneous manufacturing industries","B3224C0B",216,150,240,187,145,135,141,184,188,174,158,200,157,167,207,208,237,298,303,310,295,258,200,210,373,485,401,556,608,677,705,750,500,718,504,-116,678,627,306,759
"32","25","    Nondurable goods","A3225C0B",6397,4827,6342,5304,4614,5116,5377,6750,6996,6504,5804,7290,7088,6721,7076,7498,8616,10195,11333,10948,11155,10579,10096,10952,11738,16163,21154,21088,25021,25977,30150,38505,42186,51147,42428,34867,30845,31575,6561,23078
"33","26","      Food and kindred products","B3226C0B",935,926,1023,758,716,798,811,962,932,894,1039,1167,1160,1170,1225,1422,1487,1664,1863,1735,1670,1635,1780,1971,1847,2485,2811,4067,3984,4004,4199,3956,4292,4531,3936,4056,3588,3446,3434,6100
"34","27","      Tobacco manufactures","B3227C0B",142,155,150,124,118,139,155,184,192,208,246,269,282,306,304,320,319,324,343,360,345,372,440,500,470,400,483,593,661,721,1007,1060,1189,1012,1089,1470,1600,1468,1484,475
"35","28","      Textile mill products","B3228C0B",911,385,670,435,213,219,112,285,299,247,213,404,330,293,369,378,484,635,619,514,582,497,438,488,566,707,407,334,661,757,1076,920,822,746,485,956,604,585,1190,1393
"36","29","      Apparel and other textile products","B3229C0B",179,97,174,75,95,79,84,122,126,100,113,164,157,184,232,225,298,365,455,433,462,403,383,450,664,658,493,741,795,946,973,853,1033,1055,1180,1533,895,660,1082,1282
"37","30","      Paper and allied products","B3230C0B",492,341,548,535,419,434,461,575,685,540,456,586,535,522,530,571,652,769,920,818,876,943,744,687,999,1555,1913,1467,1894,1928,2129,2973,2215,2083,1973,1835,2646,2337,2818,4052
"38","31","      Printing and publishing","B3231C0B",367,342,334,302,309,308,317,413,423,434,374,489,484,453,512,560,758,924,1082,961,964,1026,973,1084,1243,1436,1544,1805,2028,2543,2929,3046,2982,3114,3167,3657,4105,4792,4201,4794
"39","32","      Chemicals and allied products","B3232C0B",933,912,1310,1037,857,872,1053,1422,1379,1375,1190,1651,1558,1519,1562,1797,2105,2566,2773,2352,2477,2223,2033,2272,2776,3576,3985,3708,4626,4286,4473,4958,3871,5323,2312,3065,4138,2568,2018,7512
"40","33","      Petroleum and coal products","B3233C0B",2225,1526,1814,1817,1680,2067,2188,2492,2673,2455,1915,2226,2303,1985,1997,1871,2102,2469,2709,3204,3114,2894,2987,2952,2495,4521,8795,7626,9431,9646,12131,19542,24870,32010,27119,16684,11572,13860,-10757,-4105
"41","34","      Rubber and miscellaneous plastics products","B3234C0B",134,89,226,177,144,147,135,215,214,177,198,247,211,223,262,258,300,343,420,406,502,476,245,433,562,718,617,572,642,936,951,888,501,876,785,1260,1417,1655,1033,1201
"42","35","      Leather and leather products","B3235C0B",79,54,93,44,63,53,61,80,73,74,60,87,68,66,83,96,111,136,149,165,163,110,73,115,116,107,106,175,299,210,282,309,411,397,382,351,280,204,58,374
"43","36","  Transportation and public utilities","A3236C0B",1957,1758,2430,2282,2336,2373,2212,2806,2886,2761,2799,3401,3611,3699,4255,4895,5497,6290,6825,6054,5503,5451,4359,4958,5748,5983,6562,7986,12109,14629,16646,15201,16334,17988,18238,21996,29344,23091,20361,24129
"44","37","    Transportation","A3237C0B",985,673,1114,941,848,751,391,688,652,465,325,450,300,308,489,714,898,1287,1353,729,382,114,-481,189,748,720,1761,389,2071,2734,2994,2722,1907,655,-1302,1390,4108,39,-92,1470
"45","38","      Railroad transportation","B3238C0B",690,380,713,553,550,457,116,315,307,255,78,136,91,86,110,231,223,323,405,-45,-37,-66,-404,-243,-103,-93,516,-202,181,452,127,737,1281,156,-323,295,1752,600,325,379
"46","39","      Local and interurban passenger transit","B3239C0B",43,21,24,36,31,22,16,26,20,23,28,53,45,43,44,50,64,87,75,61,67,48,6,-34,21,14,32,38,71,84,86,128,160,121,120,194,190,99,5,-19
"47","40","      Trucking and warehousing","B3240C0B",116,108,156,106,101,112,101,128,90,105,97,151,93,160,225,203,234,345,333,244,342,314,270,496,628,554,566,505,861,994,1154,934,640,871,514,1351,1501,1309,1832,1212
"48","41","      Water transportation","B3241C0B",71,80,73,105,48,45,11,63,97,2,15,18,19,37,41,68,98,86,113,80,77,2,-33,-53,-30,-15,225,101,153,132,78,146,71,-79,-437,-460,-604,-820,-623,-106
"49","42","      Transportation by air","B3242C0B",-2,15,48,51,34,39,52,60,32,-31,-4,-19,-68,-116,-25,55,170,320,286,205,-161,-274,-451,-139,53,130,165,-323,450,758,1027,-103,-1033,-1318,-1980,-775,596,-1642,-1871,-596
"50","43","      Pipelines, except natural gas","B3243C0B",38,43,70,59,55,51,64,59,66,72,72,83,76,67,69,84,73,87,89,96,75,76,100,118,122,105,177,189,209,179,369,614,602,715,673,595,403,505,329,521
"51","44","      Transportation services","B3244C0B",29,26,30,31,29,25,31,37,40,39,39,28,44,31,25,23,36,39,52,88,19,14,31,44,57,25,80,81,146,135,153,266,186,189,131,190,270,-12,-89,79
"52","45","    Communication","A3245C0B",254,270,417,432,480,560,631,826,882,935,1107,1340,1415,1528,1802,1964,2104,2353,2617,2591,2471,2720,2542,2327,2427,2755,2803,3389,4267,4915,6201,5961,6085,6859,7167,8243,9454,10512,11928,12146
"53","46","      Telephone and telegraph","B3246C0B",225,251,385,391,435,523,593,749,798,865,1029,1234,1288,1435,1661,1824,1977,2171,2412,2455,2380,2587,2417,2194,2175,2522,2537,3093,3699,4168,5349,5145,5438,6242,6727,7945,8805,10280,12966,12810
"54","47","      Radio and television","B3247C0B",29,19,32,41,45,37,38,77,84,70,78,106,127,93,141,140,127,182,205,136,91,133,125,133,252,233,266,296,568,747,852,816,647,617,440,298,649,232,-1038,-664
"55","48","    Electric, gas, and sanitary services","B3248C0B",718,815,899,909,1008,1062,1190,1292,1352,1361,1367,1611,1896,1863,1964,2217,2495,2650,2855,2734,2650,2617,2298,2442,2573,2508,1998,4208,5771,6980,7451,6518,8342,10474,12373,12363,15782,12540,8525,10513
"56","49","  Wholesale trade","B3249C0B",1534,968,1709,1343,1034,935,842,1307,1442,1327,1247,1582,1371,1419,1601,1659,2121,2539,2760,2631,2998,3301,3330,3599,5881,9374,12821,11309,11202,12910,15731,20025,19239,19451,15897,18756,22554,13377,13429,13743
"57","50","  Retail trade","B3250C0B",2239,1623,2111,1516,1373,1227,1213,1588,1525,1445,1420,1815,1493,1775,2077,2203,2956,3392,3352,3919,4363,4442,4305,5037,5132,5938,5754,7123,8347,10208,11759,11333,9538,9076,10498,14170,15215,15550,15076,16090
"58","51","  Finance, insurance, and real estate","A3251C0B",2424,2810,2607,2661,3063,3344,3480,3836,3948,3911,3962,5008,5196,5177,5455,5066,4996,5941,7030,6773,7484,7519,8208,9855,10716,10916,9853,10173,13357,19120,23354,21866,14582,8680,5530,15050,9886,13779,19877,21958
"59","52","    Banking","A3252C0B",1141,1146,1159,1311,1334,1417,1317,1790,2124,2090,1796,2408,2487,2324,2381,2684,2422,3300,3646,3539,4339,5348,5410,5220,5671,6102,6935,7637,7843,7763,8670,9275,7263,6934,8864,13704,13249,19465,23397,23271
"60","53","      Federal Reserve banks","B3253C0B",61,42,-7,39,54,51,46,44,66,82,71,-177,45,86,64,74,-447,45,36,46,38,56,32,-45,113,135,131,228,2,172,637,150,90,368,40,353,367,-1456,-2296,-2041
"61","54","      Commercial and mutual banks","B3254C0B",1080,1104,1166,1272,1280,1366,1271,1746,2058,2008,1725,2585,2442,2238,2317,2610,2869,3255,3610,3493,4301,5292,5378,5265,5558,5967,6804,7409,7841,7591,8033,9125,7173,6566,8824,13351,12882,20921,25693,25312
"62","55","    Credit agencies other than banks","B3255C0B",308,382,466,486,688,657,741,852,952,1023,1117,1215,1294,1487,1548,1395,1429,1500,1331,1360,1443,1364,1324,1946,2345,2726,2440,2384,3273,4365,5387,4103,-455,-6620,-7452,-659,26,921,1508,5011
"63","56","    Security and commodity brokers","B3256C0B",0,11,12,-1,4,16,39,9,6,8,8,30,29,49,-1,22,41,75,103,181,235,-63,-289,-37,-44,85,-24,157,-372,-286,98,-170,55,-562,-1126,-230,-1422,-692,-1326,140
"64","57","    Insurance carriers","B3257C0B",586,847,542,488,663,830,927,757,464,321,569,806,847,887,842,460,399,459,1179,1090,825,572,1522,2528,2959,2347,881,406,2796,6124,7259,7084,7210,7792,5288,1861,-1634,-6844,-5978,-5015
"65","58","    Insurance agents, brokers, and service","B3258C0B",46,41,41,38,46,45,46,44,61,60,68,84,93,67,94,116,145,154,191,174,202,196,278,319,288,328,313,398,397,861,864,872,765,772,680,460,520,782,1197,2200
"66","59","    Real estate","B3259C0B",418,451,460,391,372,419,466,432,346,355,412,446,405,322,365,388,510,567,682,652,781,562,302,401,150,-45,-366,-292,195,1062,1174,1086,-180,-1607,-2278,-1351,-2741,-3629,-3908,-2360
"67","60","    Holding and other investment offices","B3260C0B",-75,-68,-73,-52,-44,-40,-56,-48,-5,54,-8,19,41,41,226,1,50,-114,-102,-223,-341,-460,-339,-522,-653,-627,-326,-517,-775,-769,-98,-384,-76,1971,1554,1265,1888,3776,4987,-1289
"68","61","  Services","A3261C0B",381,359,317,305,317,286,287,319,369,377,340,452,446,391,419,573,797,1024,1296,1475,1382,1113,991,1215,1766,2471,2287,3020,4067,5826,6767,7416,7865,8974,9210,9279,8711,8696,9446,9538
"69","62","    Hotels and other lodging places","B3262C0B",78,69,58,51,56,41,38,28,34,30,8,6,-21,-38,-45,-45,-41,7,46,122,128,125,22,-23,60,23,-93,-22,135,235,496,597,513,334,188,130,-187,-445,-833,-895
"70","63","    Personal services","B3263C0B",49,50,43,42,42,43,44,48,63,68,72,80,83,78,71,106,144,184,192,199,223,197,157,162,191,206,282,297,340,366,418,455,472,515,613,508,581,414,385,615
"71","64","    Business services","B3264C0B",83,84,93,90,90,95,89,112,148,188,180,202,209,212,189,260,302,384,506,515,371,234,162,316,538,822,477,836,1080,1877,1977,1947,1797,2067,2428,1941,2796,2263,2965,2886
"72","65","    Auto repair, services, and parking","B3265C0B",13,10,15,15,17,17,11,15,13,0,14,33,27,34,50,41,58,76,77,72,105,118,65,63,107,160,127,165,271,346,293,293,296,366,383,395,118,-125,148,-137
"73","66","    Miscellaneous repair services","B3266C0B",8,6,2,2,0,-5,-16,-8,-3,-9,-14,-7,9,14,17,14,33,37,45,35,37,56,48,42,57,63,117,110,119,168,212,169,200,259,181,185,313,231,322,425
"74","67","    Motion pictures","B3267C0B",69,70,60,45,44,36,73,63,34,15,-11,6,24,-15,-4,19,82,104,114,117,143,20,90,57,83,127,186,221,343,390,657,667,531,475,569,277,-131,14,-44,-846
"75","68","    Amusement and recreation services","B3268C0B",35,22,-1,3,13,7,-4,-5,-4,-1,6,32,14,9,5,0,30,23,62,45,57,68,93,135,54,125,182,195,269,356,406,388,356,392,208,-58,-712,-372,-444,-795
"76","69","    Other services","A3269C0B",46,48,47,57,55,52,52,66,84,86,85,100,101,97,136,178,189,209,254,370,318,295,354,463,676,945,1009,1218,1510,2088,2308,2900,3700,4566,4640,5901,5933,6716,6947,8285
"77","70","      Health services","B3270C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,56,58,60,128,145,140,250,316,448,579,717,920,1003,1295,1501,1823,2391,2937,3115,3997,4031,4389,4477,4933
"78","71","      Legal services","B3271C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,7,1,5,2,6,27,42,40,63,68,92,110,149,184,276,296,407,629,802,850,928,1280,1483
"79","72","      Educational services","B3272C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,21,11,26,17,11,-3,-38,-18,-13,25,17,67,62,101,127,72,181,89,112,107,145,130,46,267
"80","73","      Other \1\","B3273C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,111,133,167,220,160,152,115,123,201,278,207,139,335,543,496,729,832,1133,784,995,907,1269,1144,1602
"81","74","Rest of the world \2\","A3274C0B",1261,1125,1269,1744,1888,1798,1962,2354,2821,3092,2523,2718,3137,3316,3772,4081,4469,4706,4528,4775,5636,6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32718,35475,36982,38413,39750,48032
"82","75","  Receipts from the rest of the world","B3275C0B",1652,1554,1767,2249,2345,2288,2442,2890,3356,3630,3078,3382,3790,4045,4494,4885,5379,5782,5656,5990,6996,8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36725,41603,46736,47445,49322,59320
"83","76","  Less: Payments to the rest of the world","B3276C0B",391,429,498,505,457,490,480,536,535,538,555,664,653,729,722,804,910,1076,1128,1215,1360,1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4007,6128,9754,9032,9572,11288
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services, membership organizations, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," 2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dividends from their incorporated foreign affiliates,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their share of reinvested earnings of their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(line 75),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
