"","Table 6#19C# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"30","23","      Instruments and related products","B3223C0C",360,1298,1279,2279,2377,2179,895,382,2051,3921,3133,2046,1177,NA,NA
"31","24","      Miscellaneous manufacturing industries","B3224C0C",759,1147,1177,1502,1509,1783,1797,2363,2316,2275,3254,2771,3959,NA,NA
"32","25","    Nondurable goods","A3225C0C",23078,40172,31709,41998,33578,31376,31722,40957,60408,58306,61834,45961,52711,60406,41062
"33","26","      Food and kindred products","B3226C0C",6100,7269,4283,8378,11267,11351,10656,12235,20063,14150,15180,13506,16476,NA,NA
"34","27","      Tobacco products","B3227C0C",475,1194,823,1742,1251,1357,956,583,691,773,753,204,1055,NA,NA
"35","28","      Textile mill products","B3228C0C",1393,847,749,777,929,2291,1960,1717,1295,1446,1618,1716,1332,NA,NA
"36","29","      Apparel and other textile products","B3229C0C",1282,1263,1469,1328,1607,2207,2060,2119,1656,1578,1647,1471,1175,NA,NA
"37","30","      Paper and allied products","B3230C0C",4052,6452,5920,4530,2635,1731,2024,3554,10140,6187,3389,3534,4762,NA,NA
"38","31","      Printing and publishing","B3231C0C",4794,4170,3918,3883,5336,7053,6187,7904,5604,7301,7078,7875,11176,NA,NA
"39","32","      Chemicals and allied products","B3232C0C",7512,11830,10731,9220,8443,8272,8191,12615,15663,14149,17721,13135,12112,NA,NA
"40","33","      Petroleum and coal products","B3233C0C",-4105,5432,1846,10466,223,-5151,-2788,-2767,1909,8551,9853,-410,112,NA,NA
"41","34","      Rubber and miscellaneous plastics products","B3234C0C",1201,1300,1555,1193,1329,1799,2228,3041,3082,3981,4281,4677,4292,NA,NA
"42","35","      Leather and leather products","B3235C0C",374,415,415,481,558,466,248,-44,305,190,314,253,219,NA,NA
"43","36","  Transportation and public utilities","A3236C0C",24129,27952,24411,25855,31639,37151,45062,54628,55293,60369,53417,44952,21868,5279,-1532
"44","37","    Transportation","A3237C0C",1470,2817,-1122,-1973,-1465,-637,2904,6130,7371,11259,13387,15389,10827,9315,-1378
"45","38","      Railroad transportation","B3238C0C",379,589,-1033,-14,256,306,428,1801,2077,1919,615,-149,-391,NA,NA
"46","39","      Local and interurban passenger transit","B3239C0C",-19,11,138,-68,253,247,156,244,364,515,415,614,353,NA,NA
"47","40","      Trucking and warehousing","B3240C0C",1212,1423,1193,1722,2454,3327,3763,3767,2352,3081,4136,6531,5870,NA,NA
"48","41","      Water transportation","B3241C0C",-106,237,268,308,349,82,218,142,157,414,426,577,157,NA,NA
"49","42","      Transportation by air","B3242C0C",-596,-24,-2276,-4466,-5687,-5433,-2711,-747,1180,3611,6193,5723,3663,NA,NA
"50","43","      Pipelines, except natural gas","B3243C0C",521,508,471,466,435,410,442,417,496,480,431,804,248,NA,NA
"51","44","      Transportation services","B3244C0C",79,73,117,79,475,424,608,506,745,1239,1171,1289,927,NA,NA
"52","45","    Communications","A3245C0C",12146,12055,10115,11866,15397,18893,22714,24770,21310,21660,13815,8432,-9430,-21897,-19464
"53","46","      Telephone and telegraph","B3246C0C",12810,13383,12127,13266,15430,17865,20577,22321,19976,22049,14548,9226,897,NA,NA
"54","47","      Radio and television","B3247C0C",-664,-1328,-2012,-1400,-33,1028,2137,2449,1334,-389,-733,-794,-10327,NA,NA
"55","48","    Electric, gas, and sanitary services","B3248C0C",10513,13080,15418,15962,17707,18895,19444,23728,26612,27450,26215,21131,20471,17861,19310
"56","49","  Wholesale trade","B3249C0C",13743,18951,18115,15057,16693,19919,22872,28055,26130,31040,36146,38425,43016,50675,32588
"57","50","  Retail trade","B3250C0C",16090,15869,16155,15940,20699,26431,30492,35820,34968,40794,47111,55722,58169,56196,59442
"58","51","  Finance, insurance, and real estate","A3251C0C",21958,29896,29588,40853,65295,68994,66001,56878,82452,92696,110974,83812,110266,127130,125944
"59","52","    Depository institutions","B3291C0C",25954,28438,31545,40119,55263,61839,50800,42128,50599,55160,59509,48359,65472,NA,NA
"60","53","      Federal Reserve banks","B3253C0C",-2041,248,-1477,-2213,-505,1054,140,-2686,-1187,1701,2724,-1986,380,NA,NA
"61","54","      Commercial and mutual depository institutions","B3292C0C",27995,28190,33022,42332,55768,60785,50660,44814,51786,53459,56785,50345,65092,NA,NA
"62","55","    Nondepository institutions","B3293C0C",2328,3702,5625,6410,8292,11507,12517,13017,15064,17397,16769,17838,22692,NA,NA
"63","56","    Security and commodity brokers","B3256C0C",140,-2332,-3412,-424,-3128,-155,283,3136,-1629,323,5487,8076,-553,NA,NA
"64","57","    Insurance carriers","B3257C0C",-5015,4164,4994,1494,8235,-3288,-349,8126,7257,9336,3316,-7668,-11054,NA,NA
"65","58","    Insurance agents, brokers, and service","B3258C0C",2200,1806,2015,2246,2322,2471,2568,3110,3263,3542,3536,4478,4238,NA,NA
"66","59","    Real estate","B3259C0C",-2360,-2181,-4210,-5795,-7400,-5006,-2920,-1482,584,1573,3790,5660,6223,NA,NA
"67","60","    Holding and other investment offices","B3260C0C",-1289,-3701,-6969,-3197,1711,1626,3102,-11157,7314,5365,18567,7069,23248,NA,NA
"68","61","  Services","A3261C0C",9538,10745,9999,14354,18869,26635,33332,35739,40780,44207,47161,37530,36652,294,12094
"69","62","    Hotels and other lodging places","B3262C0C",-895,-873,-1307,-1657,-1276,-625,277,662,1435,1814,1566,856,2163,NA,NA
"70","63","    Personal services","B3263C0C",615,792,1290,1272,1196,1292,1349,1753,2054,1960,2241,2812,2783,NA,NA
"71","64","    Business services","B3264C0C",2886,4173,4409,5086,5602,10143,13643,13902,15019,15764,18505,8742,-1337,NA,NA
"72","65","    Auto repair, services, and parking","B3265C0C",-137,-262,-654,-486,-184,-456,-24,-97,-93,63,991,1696,1330,NA,NA
"73","66","    Miscellaneous repair services","B3266C0C",425,613,654,681,670,691,768,791,862,1071,1009,1095,1213,NA,NA
"74","67","    Motion pictures","B3267C0C",-846,-353,-1744,-1105,-1393,-208,-293,-878,-626,-494,-1679,-3212,-1300,NA,NA
"75","68","    Amusement and recreation services","B3268C0C",-795,-210,100,-49,256,1080,947,942,737,1605,1835,346,298,NA,NA
"76","69","    Other services","A3269C0C",8285,6865,7251,10612,13998,14718,16665,18664,21392,22424,22693,25195,31502,NA,NA
"77","70","      Health services","B3270C0C",4933,4019,3813,6259,9525,9497,10871,11634,12250,12460,11722,11742,16647,NA,NA
"78","71","      Legal services","B3271C0C",1483,1060,1167,1392,1300,1902,1746,1996,2685,2829,3430,3779,4340,NA,NA
"79","72","      Educational services","B3272C0C",267,278,253,387,610,515,393,604,701,551,441,1085,766,NA,NA
"80","73","      Other \1\","B3273C0C",1602,1508,2018,2574,2563,2804,3655,4430,5756,6584,7100,8589,9749,NA,NA
"81","74","Rest of the world \2\","A3274C0C",48032,56683,64240,72722,74315,68716,76741,77238,92012,100853,110690,102259,120235,143336,150760
"82","75","  Receipts from the rest of the world","B3275C0C",59320,71701,75248,79909,73652,74891,89733,104463,128354,140623,159424,145347,175539,203847,172397
"83","76","  Less: Payments to the rest of the world","B3276C0C",11288,15018,11008,7187,-663,6175,12992,27225,36342,39770,48734,43088,55304,60511,21637
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," 2. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends from their incorporated ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","foreign affiliates, their share of reinvested earnings of their incorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","affiliates, and earnings of unincorporated foreign affiliates (line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
