"","Table 1#2# Real Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"13","6","Gross private domestic investment","A006RX",93.6,62.5,39.2,11.8,17.5,31.6,58.4,74.9,93.6,61.9,79.6,110.9,135.4,71.6,42.3,52.2,69,175,168.6,215.3,164.3,232.5,233.2,211.1,221,210.8,262.1,258.6,247.4,226.5,272.9,272.8,271,305.3,325.7,352.6,402,437.3,417.2,441.3,466.9,436.2,485.8,543,606.5,561.7,462.2,555.5,639.4,713,735.4,655.3,715.6,615.2,673.7,871.5,863.4,857.7,879.3,902.8,936.5,907.3,829.5,899.8,977.9,1107,1140.6,1242.7,1393.3,1558,1660.5,1762.9,1574.6,1589.6
"14","7","  Fixed investment","A007RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,887.1,911.2,894.6,832.5,886.5,958.4,1045.9,1109.2,1212.7,1328.6,1480,1595.2,1691.9,1627.4,1577.3
"15","8","    Nonresidential","A008RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.5,603.6,637,641.7,610.1,630.6,683.6,744.6,817.5,899.4,1009.3,1135.9,1228.4,1324.2,1255.1,1183.4
"16","9","      Structures","B009RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.3,227.1,232.7,236.1,210.1,197.3,198.9,200.5,210.1,225,245.4,262.2,258.6,275.5,270.9,226.4
"17","10","      Equipment and software","B010RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,386.9,414,415.7,407.2,437.5,487.1,544.9,607.6,674.4,764.2,875.4,975.9,1056,988.2,971.1
"18","11","    Residential","A011RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.7,289.2,277.3,253.5,221.1,257.2,276,302.7,291.7,313.3,319.7,345.1,368.3,372.4,373.5,388.2
"19","12","  Change in private inventories","A014RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,18.4,29.6,16.5,-1,17.1,20,66.8,30.4,30,63.8,76.7,62.8,65,-61.4,5.2
"20","13","Net exports of goods and services","A019RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-156.2,-112.1,-79.4,-56.5,-15.8,-19.8,-59.1,-86.5,-78.4,-89,-113.3,-221.1,-320.5,-398.8,-415.9,-488.5
"21","14","  Exports","A020RX",35.8,29.6,24.6,19.3,19.4,21.5,22.7,23.9,30.1,29.8,31.4,35.7,36.7,24.1,20.1,21.6,30.5,66.5,75.9,59.8,59.2,51.8,63.5,60.6,56.5,59.3,65.6,76.5,83.1,71.8,72.4,87.5,88.9,93.7,100.7,114.2,116.5,124.3,127,136.3,143.7,159.3,160.4,173.5,211.4,231.6,230,243.6,249.7,275.9,302.4,334.8,338.6,314.6,306.9,332.6,341.6,366.8,408,473.5,529.4,575.7,613.2,651,672.7,732.8,808.2,874.2,981.5,1002.4,1036.3,1137.2,1076.1,1058.8
"22","15","    Goods","A253RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.4,322.6,363.2,393.2,421.1,449.8,463.4,508.2,568.8,618.4,708.1,722.9,750,834.7,785.2,756.9
"23","16","    Services","A646RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.1,152,166.7,183.5,192.9,201.7,209.9,225.1,239.5,255.8,273.6,279.8,286.8,304.1,292,301.5
"24","17","  Imports","A021RX",46.3,40.3,35.1,29.2,30.4,31,40.7,40.2,45.2,35.2,36.9,37.8,46.5,42.2,53.2,55.7,59.2,49.1,46.6,54.4,52.5,62,64.5,70.1,76.7,72.9,81.7,88.4,92.1,96.4,106.6,108,107.3,119.5,122.7,129.2,142.9,164.2,176.2,202.4,213.9,223.1,235,261.3,273.4,267.2,237.5,284,315,342.3,347.9,324.8,333.4,329.2,370.7,461,490.7,531.9,564.2,585.6,608.8,632.2,629,670.8,731.8,819.4,886.6,963.1,1094.8,1223.5,1356.8,1536,1492,1547.4
"25","18","    Goods","A255RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.8,463.9,483.4,497.9,497.6,543.7,598.4,677.9,739.1,808.3,923.1,1031.4,1157.5,1313.7,1270.5,1320.1
"26","19","    Services","B656RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.2,123.4,126.9,136.6,133.4,128,134,141.9,147.7,154.8,171.7,192.2,200.3,223.6,222.4,227.2
"27","20","Government consumption expenditures and gross investment","A822RX",110.1,121.3,126.6,122.4,118,133,137,158.9,153.2,164.6,179.7,182.4,303,711.1,1059.9,1195.6,1041,359.7,307.1,328.9,367.3,367.4,500,605.1,647.5,602.9,580.4,580.8,606.7,626.2,661.4,661.3,693.2,735,752.4,767.1,791.1,862.1,927.1,956.6,952.5,931.1,913.8,914.9,908.3,924.8,942.5,943.3,952.7,982.2,1001.1,1020.9,1030,1046,1081,1118.4,1190.5,1255.2,1292.5,1307.5,1343.5,1387.3,1403.4,1410,1398.8,1400.1,1406.4,1421.9,1455.4,1483.3,1540.6,1582.5,1640.4,1712.8
"28","21","  Federal","A823RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597.8,586.9,594.7,606.8,604.9,595.1,572,551.3,536.5,531.6,529.6,525.4,537.7,544.4,570.6,613.3
"29","22","    National defense","A824RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.2,446.8,443.3,443.2,438.4,417.1,394.7,375.9,361.9,357,347.7,341.6,348.8,348.7,366,400
"30","23","    Nondefense","A825RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.5,138.9,150.5,163,166,177.9,177.3,175.5,174.6,174.6,181.8,183.8,188.8,195.6,204.4,213.3
"31","24","  State and local","A829RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695.6,721.4,749.5,781.1,798.9,815.3,827,848.9,869.9,890.4,925.8,957.7,1002.4,1037.4,1069.4,1099.7
"32","25","Residual","AB96RX",3.3,-13.9,-26,-35.5,-32.2,-33.7,-29.7,-34.6,-29.4,-38.1,-39.3,-35.4,-56.5,-162.9,-264.5,-301.3,-239.8,-3.5,13.7,12.3,-12.7,6,-24.2,-61.8,-71.6,-61.5,-37.3,-35.2,-43,-58.3,-51.8,-47.7,-55,-52.9,-49.7,-43,-35.8,-38.1,-53,-49.9,-42.6,-43,-32.5,-22.2,-5.3,-5.6,-23.7,-15.6,-7.1,7.1,17.9,21.7,34.2,-2.8,-12.9,3.1,-8.6,-16.6,-37.1,-21.4,-13.4,-16.3,-18,-17.6,-10.4,-10,0.2,-0.2,0,0.8,1.4,2.1,22.6,19.9
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","  Percent changes from preceding period for selected items in this table are shown in table 8.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","contributions to the percent change in real gross domestic product are shown in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","  Chain-type quantity indexes for the series in this table are shown in table 7.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
