"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"38","31","        Dishes and flatware","DCHNRX0",9843,10100,10372,11308,13282,15364,17175,19760,20153,20062,20015,20773,20529,20082,19096,20872,23614
"39","32","        Nonelectric cookware and tableware","DNECRX0",10816,11735,12428,13286,14982,16209,16949,18353,20202,21444,22635,23973,24002,22847,21418,22428,23620
"40","33","      Tools and equipment for house and garden (35)","DTOORX0",12819,13187,13803,15067,16342,17045,17667,18358,19814,21439,22328,23082,22687,22111,20437,21191,21808
"41","34","        Tools, hardware, and supplies","DHDWRX0",10806,11008,11455,12598,13782,14374,14980,15686,16729,17811,18197,18493,17825,17229,15812,16325,16676
"42","35","        Outdoor equipment and supplies","DLWNRX0",2021,2182,2348,2475,2577,2689,2710,2703,3105,3634,4132,4591,4871,4895,4639,4882,5154
"43","36","    Recreational goods and vehicles","DREQRX0",75204,86842,100350,120546,146266,171745,188808,211747,238769,274678,312815,356212,400878,416204,410214,455465,508603
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",24354,30084,37070,48304,62422,76612,88601,104944,123802,150911,182923,221320,265322,291868,309561,362195,411762
"45","38","        Video and audio equipment","DVAARX0",30742,33002,34567,40818,49398,58554,65638,74219,81185,94471,110951,130059,150800,168981,181125,208621,239265
"46","39","          Televisions","DTVSRX0",4775,4966,4994,5660,6840,8391,9904,11843,15760,21561,28841,41234,58928,73169,93283,120904,149393
"47","40","          Other video equipment","DOVARX0",2795,3033,3171,4041,5519,7613,9821,12018,14957,18606,22266,26644,31682,38535,39845,46086,53914
"48","41","          Audio equipment","DAUDRX0",8496,9023,9397,10515,12086,13426,14091,15339,15820,17816,21891,23624,23753,24138,22593,23898,25947
"49","42","          Recording media","DRECRX0",17297,18944,20370,24454,28809,32401,34329,37132,35445,36675,37954,39052,39465,39611,38731,40781,43737
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",14978,16461,17806,19221,20063,20542,19856,19755,17753,17388,16834,16454,16058,16303,16388,17881,19861
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",3815,4142,4386,6698,9748,12548,14879,17591,17790,19321,21119,22618,23469,23348,22320,22775,23623
"52","45","        Photographic equipment","DCAMRX0",1673,1769,1868,2000,2196,2369,2452,2626,3141,3994,4971,6323,8751,9554,9093,10049,10857
"53","46","        Information processing equipment","DIPERX0",2045,3446,5797,9114,13432,17783,22076,29034,39746,52504,67001,84990,105896,113585,119590,143264,161628
"54","47","          Personal computers and peripheral equipment","DCPPRX0",961,1649,2813,4617,7213,9940,13134,18151,23855,29751,37792,47505,56959,65880,74096,86491,105380
"55","48","          Computer software and accessories","DCPSRX0",1306,2222,3779,5224,6449,7596,8023,9381,14437,21321,27627,35704,46698,46336,45530,56313,58371
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",377,359,354,475,662,863,962,1116,1227,1423,1583,1755,1910,1944,1890,2008,2247
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",22109,23456,24475,27117,31401,36101,38937,41729,43920,47226,50715,55116,57381,56006,50518,52500,58624
"58","51","      Sports and recreational vehicles (79)","DWHLRX0",24031,25510,27775,30511,33118,35670,35633,36989,40816,44357,45733,45816,46330,41390,32147,30844,31662
"59","52","        Motorcycles","DMCYRX0",4385,4692,4968,5917,6707,8068,9373,9705,11116,12276,12302,12327,12625,12089,8945,8238,8721
"60","53","        Bicycles and accessories","DBCYRX0",3095,3186,3272,3236,3165,3117,3037,2987,3151,3301,3456,3605,3778,3875,3820,3905,3937
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",16521,17602,19502,21322,23213,24464,23224,24297,26550,28779,29976,29884,29935,25487,19404,18701,19029
"62","55","          Pleasure boats","DBOARX0",6606,7471,8675,9197,10109,11012,10714,11023,11735,12599,13240,13752,13540,12325,9644,8812,9221
"63","56","          Pleasure aircraft","DAIRRX0",949,948,984,1067,1061,1125,1012,968,1094,1297,1476,1594,1811,1621,1257,1251,1147
"64","57","          Other recreational vehicles","DREVRX0",8966,9183,9842,11058,12043,12328,11498,12306,13721,14883,15260,14538,14584,11541,8502,8637,8661
"65","58","      Recreational books (part of 90)","DRBKRX0",17901,19062,20480,21137,23380,25195,25240,25650,26775,27356,28067,29039,29430,29056,27936,28985,31530
"66","59","      Musical instruments (part of 80)","DMSCRX0",2829,2956,3105,3380,3865,4681,4816,5063,5005,5337,5377,5647,5737,5397,4740,4739,5060
"67","60","    Other durable goods","DODGRX0",69982,74631,78367,86066,96336,104896,102643,109429,119122,129492,141064,151883,159034,153717,145746,152125,158428
"68","61","      Jewelry and watches (part of 119)","DJRYRX0",29870,32658,33994,37633,42156,45753,44309,47005,50919,54549,58128,60840,60491,54936,49737,50661,51721
"69","62","        Jewelry","DJLYRX0",26471,29085,30348,33422,37225,40434,39041,41155,44456,47525,50602,52641,51874,46680,42247,42860,43289
"70","63","        Watches","DWTCRX0",3381,3548,3617,4186,4913,5298,5251,5842,6460,7024,7526,8201,8636,8315,7546,7891,8647
"71","64","      Therapeutic appliances and equipment (42)","DTAERX0",24007,25875,28016,30343,32097,34043,33043,35261,37127,39226,41528,43671,47125,47462,46955,49942,52069
"72","65","        Therapeutic medical equipment","DTMERX0",7456,7838,8373,9743,11052,12431,13206,14021,15165,16721,18010,19691,21426,21768,20950,22563,24584
"73","66","        Corrective eyeglasses and contact lenses","DEYERX0",16742,18264,19900,20810,21194,21709,19864,21272,21982,22508,23518,23985,25709,25710,26000,27387,27558
"74","67","      Educational books (96)","DEBKRX0",11482,11192,11172,11427,11970,11818,11408,11179,11300,11406,11542,11519,11240,10548,9556,9349,9476
"75","68","      Luggage and similar personal items (part of 119)","DLUGRX0",6541,6620,6931,7879,9925,11646,11252,12367,13999,16428,20491,23257,24578,24637,23955,26250,28381
"76","69","      Telephone and facsimile equipment (67)","DTCERX0",1561,1663,1749,2014,2614,3321,3918,4597,6274,8029,9376,12766,16338,17429,17261,17972,19353
"77","70","  Nondurable goods","DNDGRX0",1437660,1479205,1522722,1580176,1660683,1714532,1745421,1780054,1840711,1892805,1953375,2004995,2042909,2019070,1982816,2029325,2075196
"78","71","    Food and beverages purchased for off-premises consumption","DFXARX0",548435,553943,558768,565464,587297,600516,607519,608935,616529,623852,644493,662998,673193,666030,654796,668846,685267
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",481762,484525,487034,491252,509845,519036,524371,525522,533439,539725,558166,572184,580452,573971,564297,573291,585168
"80","73","        Food purchased for off-premises consumption","DFOFRX0",425924,426545,428458,431925,448743,457860,462123,462937,468571,472618,488709,500410,508301,502468,496016,503592,514240
"81","74","          Cereals and bakery products","DCBPRX0",75374,76531,77991,80448,85341,89411,92554,94270,93464,92626,94680,96433,96209,93155,90357,92283,94813
"82","75","            Cereals","DGRARX0",26589,27543,28331,28001,28303,28580,28561,27801,29185,30826,33250,36012,37527,36256,35288,35976,35844
"83","76","            Bakery products","DBAKRX0",48603,48719,49354,52253,56960,60837,64060,66595,64342,61815,61429,60445,58745,56958,55130,56367,58990
"84","77","          Meats and poultry","DMAPRX0",109109,107348,105787,108458,112430,111081,109159,108462,109340,109489,113594,116248,118029,119270,119280,120171,123333
"85","78","            Beef and veal","DBEERX0",35870,35496,33765,34389,35227,34225,32637,32904,31620,30494,31515,31958,32255,32423,32856,32716,32484
"86","79","            Pork","DPORRX0",22621,21010,20060,21154,22194,20961,20449,20283,20793,21231,22071,22616,23339,24058,24628,24082,24281
"87","80","            Other meats","DMEARX0",17860,18002,18070,18597,19308,19489,19629,19183,19541,20182,20916,21004,21654,22055,21664,22194,22821
"88","81","            Poultry","DPOURX0",33393,33501,34334,34717,36041,36644,36564,36262,37427,37582,39091,40680,40788,40759,40187,41197,43816
"89","82","          Fish and seafood","DFISRX0",8606,8700,8510,8541,8874,8995,9331,9642,9970,10515,10833,10577,10662,10572,10280,10411,10639
"90","83","          Milk, dairy products, and eggs","DMDERX0",50718,48060,47622,47523,48119,49538,49594,50011,50568,49870,51151,52349,50974,49937,51821,52158,51969
"91","84","            Fresh milk","DMILRX0",18321,16728,15891,15810,15674,16213,16084,16608,16898,16068,16026,16633,16117,16310,17724,17425,17277
"92","85","            Processed dairy products","DDAIRX0",27794,27010,26768,26504,26678,27602,27840,27841,28677,28735,29171,29902,30102,29236,29173,29765,29776
"93","86","            Eggs","DGGSRX0",4875,4562,5058,5269,5786,5746,5688,5607,5089,5122,5954,5822,4891,4575,5064,5083,5034
"94","87","          Fats and oils","DFATRX0",11531,11341,11141,10747,10901,11045,10534,10366,10945,10904,11797,12797,13484,12665,12454,12497,11900
"95","88","          Fresh fruits and vegetables","DFAVRX0",42383,44426,45807,45647,49589,52666,54558,54858,54932,55091,57123,56641,57819,58357,61482,63088,62908
"96","89","            Fruit (fresh)","DFRURX0",17050,16732,17148,17630,17844,19605,20347,20744,20627,20863,21704,21352,21661,21914,23386,24406,24651
"97","90","            Vegetables (fresh)","DVEGRX0",25174,27677,28658,27962,31828,33072,34219,34115,34307,34229,35419,35290,36161,36446,38096,38688,38275
"98","91","          Processed fruits and vegetables","DPFVRX0",20110,19790,19615,18871,18827,18679,18122,17055,17865,18623,19484,20345,21199,20610,19435,19887,20115
"99","92","          Sugar and sweets","DSWERX0",32096,31923,31838,31610,32415,32849,33270,32617,32773,33453,34158,34292,34581,33147,30563,30831,32872
"100","93","          Food products, not elsewhere classified","DOFDRX0",76362,78639,80317,80360,82694,83918,85158,85751,88746,92041,95889,100781,105478,105058,100880,102762,106129
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",56108,58020,58587,59319,61127,61274,62318,62645,64883,67107,69457,71773,72153,71506,68265,69685,70909
"102","95","          Coffee, tea, and other beverage materials","DCTMRX0",6873,7761,7205,7144,7496,7499,7665,7626,8067,8547,8805,9418,9836,10054,10094,10036,9716
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",49212,50252,51370,52173,53623,53768,54645,55010,56812,58560,60651,62355,62321,61458,58188,59660,61211
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",66259,68996,71345,73785,77038,81078,82789,83021,82763,83814,85984,90391,92412,91720,90138,95326,100040
"105","98","        Spirits","DLIQRX0",13863,14058,13943,15211,16341,17714,18684,19441,20111,21253,22427,24333,25923,25915,25763,27234,28680
"106","99","        Wine","DWINRX0",12696,13276,13583,14326,15162,16173,17201,17784,17962,18756,19527,20586,21221,21275,21057,22597,24164
"107","100","        Beer","DMLTRX0",39926,41892,44074,44465,45728,47358,47001,45838,44703,43804,44031,45471,45278,44547,43349,45539,47278
"108","101","      Food produced and consumed on farms (6)","DFFDRX0",586,543,475,492,471,405,342,379,327,310,343,429,339,361,386,340,281
"109","102","    Clothing and footwear","DCLORX0",201095,210848,217783,231059,246231,258146,260587,268565,282640,296019,314018,328651,340129,338093,320958,338144,349959
"110","103","      Garments","DGARRX0",163049,170703,176360,186824,198431,208062,210324,217465,229342,240724,256337,267693,276834,275855,262653,277622,286949
"111","104","        Women's and girls' clothing (10)","DWGCRX0",91236,95666,97939,105012,113700,120977,122742,127531,134787,142250,152457,159002,164756,164873,156800,165889,171740
"112","105","        Men's and boys' clothing (11)","DMBCRX0",63725,66890,69953,72558,74959,76858,76845,78615,82854,86251,91022,95497,98424,97096,92754,98097,100866
"113","106","        Children's and infants' clothing (12)","DCICRX0",8045,8092,8433,9217,9746,10228,10740,11319,11708,12227,12858,13198,13650,13871,13085,13624,14329
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",38067,40187,41462,44300,47922,50209,50365,51159,53336,55314,57682,60955,63289,62248,58349,60624,63091
"115","108","        Clothing materials","DCSMRX0",2731,2797,2832,3159,3578,3881,4058,4440,4472,4480,4424,4341,4245,4122,3961,3977,3960
"116","109","        Standard clothing issued to military personnel","DMICRX0",290,288,315,305,287,317,339,380,524,366,380,415,412,389,432,384,339
"117","110","        Shoes and other footwear","DSHURX0",35042,37107,38327,40841,44058,46010,45960,46320,48323,50463,52877,56196,58622,57725,53950,56248,58775
"118","111","    Gasoline and other energy goods","DGOERX0",264298,268478,273896,283738,292425,287095,289167,293952,301933,305870,303787,296867,294404,280601,282371,281291,271546
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",233846,238802,246052,256104,263488,261341,263552,267499,276278,282090,283798,278855,276767,265317,264139,264606,257331
"120","113","        Gasoline and other motor fuel","DGASRX0",228390,233733,241475,250761,259161,256698,259352,263464,271714,277307,278113,273130,271088,260393,260794,260289,253006
"121","114","        Lubricants and fluids","DLUBRX0",5087,4822,4479,5070,4412,4653,4293,4186,4624,4826,5684,5723,5677,4930,3685,4361,4342
"122","115","      Fuel oil and other fuels (29)","DFULRX0",32183,31141,28870,28478,29903,26260,26099,26986,26034,23955,19989,18021,17647,15408,18041,16604,14283
"123","116","        Fuel oil","DOILRX0",28995,27780,25993,25870,26745,23193,23416,24294,23623,21836,18194,16561,16353,14003,16868,15379,13068
"124","117","        Other fuels","DLPFRX0",3177,3299,2862,2644,3089,2956,2619,2641,2397,2122,1795,1461,1293,1429,1189,1231,1232
"125","118","    Other nondurable goods","DONGRX0",442805,462443,487876,514149,546036,574002,592650,612199,641990,668154,691077,717341,737483,739680,727718,745573,777445
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",116903,125140,136931,154362,172987,189285,205750,217972,234652,247459,254723,265683,276650,280638,283758,285190,292250
"127","120","        Pharmaceutical products","DPNPRX0",115385,123712,135554,152782,171215,187303,203668,215774,232285,244836,251910,262622,273325,277257,280505,281699,288458
"128","121","          Prescription drugs","DRXDRX0",93371,101492,113464,130639,147884,163537,179662,189971,204572,214852,218890,227135,235211,237925,243069,242457,246156
"129","122","          Nonprescription drugs","DNRDRX0",20154,20587,20881,21459,22891,23608,24113,25875,27796,30027,33019,35498,38150,39385,37405,39318,42632
"130","123","        Other medical products","DOMPRX0",1450,1398,1384,1582,1773,1977,2086,2203,2372,2625,2813,3062,3330,3387,3249,3509,3842
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",58831,61585,64905,70586,78737,85546,89533,95704,101574,107651,119085,128336,137591,138116,133970,142790,153238
"132","125","        Games, toys, and hobbies","DDOLRX0",17877,18798,20021,22521,25879,29112,31302,34775,38401,41990,47783,52790,58795,64117,66811,74649,83772
"133","126","        Pets and related products","DPRPRX0",22131,22647,23503,24597,26213,27868,29009,30369,32000,33475,35874,37674,40129,39129,36661,38204,39768
"134","127","        Flowers, seeds, and potted plants","DFLORX0",18044,19577,21025,22671,25393,26815,27337,28353,28309,28688,31516,33470,33897,31160,28458,28997,30320
"135","128","        Film and photographic supplies","DFLMRX0",2724,2556,2369,2463,2659,2785,2678,2687,3060,3545,3912,4455,5026,4792,4205,4254,4219
"136","129","      Household supplies (parts of 32 and 36)","DHOURX0",72883,76166,79740,81228,84766,85529,86048,88054,93927,98038,102156,105901,108992,107901,102659,106264,110661
"137","130","        Household cleaning products","DCLERX0",27709,28904,29902,29992,30647,30543,30438,30624,32477,34246,36027,37170,38184,37797,35805,36767,37626
"138","131","        Household paper products","DPAPRX0",24663,24674,25692,26264,27752,27290,27843,28842,30663,31329,32749,33681,34785,33645,31478,31695,32181
"139","132","        Household linens","DLINRX0",14642,15943,17001,17692,18708,19756,19999,20898,22983,24513,25493,27414,28844,29712,29190,31905,34998
"140","133","        Sewing items","DSEWRX0",805,861,962,1042,1149,1214,1237,1320,1319,1300,1278,1240,1212,1187,1136,1141,1156
"141","134","        Miscellaneous household products","DMHPRX0",6256,6561,6830,6758,7003,6902,6704,6495,6538,6647,6609,6447,6105,5980,5752,6120,6846
"142","135","      Personal care products (part of 118)","DOPCRX0",52723,55994,58959,61697,65428,68643,70497,72730,75685,78558,81494,84638,86539,88037,87781,92899,99599
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",26009,28445,30954,33015,35687,37476,39046,40319,41458,42465,43292,44051,44414,45405,46314,48850,52870
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRX0",25322,25917,26114,26461,27126,28238,28208,28822,30329,31898,33679,35809,37171,37680,36727,39023,41301
"145","138","        Electric appliances for personal care","DEAPRX0",1693,1843,2009,2289,2644,2951,3232,3566,3886,4192,4523,4777,4949,4948,4757,5038,5470
"146","139","      Tobacco (127)","DTOBRX0",89973,91245,91501,88194,82287,80326,78864,76074,74728,74105,71055,69894,66858,64650,60701,58846,57847
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",53696,53785,54844,55435,57383,59499,57190,56256,56079,57202,57541,58063,56521,56093,53585,57345,63461
"148","141","        Newspapers and periodicals","DMAGRX0",34440,35280,36991,36951,37541,38430,37552,37075,35946,35462,34784,34169,32057,31904,30191,32980,37435
"149","142","        Stationery and miscellaneous printed materials","DSTYRX0",19295,18674,18209,18757,19992,21145,19796,19353,20204,21750,22757,23895,24464,24189,23405,24329,25908
"150","143","      Net expenditures abroad by U.S. residents (131)","DNFRRX0",1862,2126,4199,4624,4488,5236,5583,6039,5824,5419,5023,4897,4720,4727,5900,5005,6057
"151","144","        Expenditures abroad by U.S. residents","DABDRX0",3379,3439,5458,5903,5952,6702,7201,7664,7701,7448,7275,7507,7660,8011,8901,9635,9138
"152","145","          Government employees' expenditures abroad","DARTRX0",3234,3298,5242,5670,5717,6438,6917,7361,7398,7154,6988,7211,7359,7695,8550,9255,8778
"153","146","          Private employees' expenditures abroad","DARSRX0",145,141,215,233,235,264,284,302,304,294,287,296,302,316,351,380,360
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1517,1314,1258,1279,1464,1466,1618,1624,1877,2029,2252,2610,2941,3284,3002,4630,3081
"155","148","Services","DSERRX0",4208499,4331735,4465338,4662148,4853132,5093627,5219051,5318489,5418176,5562676,5726799,5875642,5990150,6016986,5930570,5987569,6101475
"156","149","  Household consumption expenditures (for services)","DHCERX0",4068903,4183608,4327593,4510997,4690785,4918222,5029259,5109773,5199400,5345065,5515091,5640641,5745200,5745636,5656254,5710205,5814324
"157","150","    Housing and utilities","DHUTRX0",1234771,1261587,1290299,1329650,1371664,1413561,1451383,1461884,1480151,1512796,1582576,1616848,1626566,1637808,1655207,1668671,1677682
"158","151","      Housing","DHSGRX0",1017348,1037129,1066046,1100623,1138687,1174164,1213740,1219351,1233042,1264140,1328896,1367077,1373069,1387843,1405089,1413539,1426788
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",253542,253761,257341,261778,266189,267944,272610,270448,260967,261298,264687,273663,288187,295288,308752,314503,324337
"160","153","          Tenant-occupied mobile homes","DTMHRX0",8199,8090,7910,7554,7114,7529,8536,9040,9193,9220,9068,8252,7415,6575,6236,6124,6022
"161","154","          Tenant-occupied stationary homes","DTSPRX0",241306,241336,244823,249380,253968,254965,258313,255463,245601,245606,248896,258396,273682,281563,295433,301345,311211
"162","155","          Tenant landlord durables","DTLDRX0",4442,4644,4857,5055,5278,5559,5835,5989,6181,6472,6723,7014,7087,7145,7060,6997,7048
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",751951,771336,796291,825943,859160,890657,925667,933538,956255,984778,1044497,1073735,1066828,1075090,1078670,1081350,1084624
"164","157","          Owner-occupied mobile homes","DOMHRX0",29341,29992,30722,30971,31229,32558,37234,36742,35510,34468,33100,29318,25782,23671,22989,22627,22365
"165","158","          Owner-occupied stationary homes","DOSTRX0",722611,741345,765570,794972,827932,858100,888432,896797,920745,950310,1011397,1044416,1041046,1051419,1055682,1058722,1062259
"166","159","        Rental value of farm dwellings (22)","DFARRX0",11506,11563,11910,12283,12632,14763,14664,14623,14948,17179,18829,18812,17201,16595,16571,16486,16386
"167","160","        Group housing (23)","DGRHRX0",992,1065,1046,1098,1104,1097,1052,955,952,917,884,888,920,931,947,962,1025
"168","161","      Household utilities","DUTLRX0",218559,225695,225320,229992,233632,239997,237648,242827,247570,248841,253680,249965,253604,250400,250715,255572,251692
"169","162","        Water supply and sanitation (25)","DWRSRX0",55428,57230,58492,59432,61322,61939,62517,63142,63986,63503,63724,65802,66119,66330,64586,63496,62923
"170","163","          Water supply and sewage maintenance","DWSMRX0",46173,47142,47657,47720,48794,49181,49924,50917,51256,50291,50338,51541,52022,52051,51179,49775,48913
"171","164","          Garbage and trash collection","DREFRX0",9413,10201,10909,11739,12527,12750,12603,12262,12751,13213,13386,14260,14096,14279,13395,13746,14081
"172","165","        Electricity and gas","DELGRX0",163050,168381,166755,170494,172172,177989,175044,179615,183531,185314,189956,184219,187525,184139,186213,192414,189036
"173","166","          Electricity (27)","DELCRX0",101847,103515,103207,110558,111634,115469,113317,118566,120615,123022,128720,125751,127397,125497,122884,130330,128811
"174","167","          Natural gas (28)","DGHERX0",64294,69356,67508,60773,61391,63372,62638,61228,63263,62445,61236,58427,60156,58628,64236,61563,59341
"175","168","    Health care","DHLCRX0",947595,967189,997218,1029614,1045699,1081640,1135567,1202448,1228331,1267439,1308891,1332957,1364035,1396473,1420800,1439031,1488517
"176","169","      Outpatient services","DOUTRX0",423069,434716,444992,459272,468165,490259,518017,552430,577788,604853,625938,640985,653466,674462,676476,682749,704325
"177","170","        Physician services (44)","DPHYRX0",209146,214178,219943,227906,234083,248686,262961,284083,301688,317685,330549,340462,342768,355851,355789,356260,364753
"178","171","        Dental services (45)","DDENRX0",71042,71515,72825,74923,76639,79667,83489,87123,86595,88742,89138,88652,89768,89762,87162,86795,90341
"179","172","        Paramedical services (46)","DPMSRX0",144084,150051,153175,157351,158318,162597,172223,181673,189636,198470,206251,211923,221005,229138,234063,240356,249837
"180","173","          Home health care","DHHCRX0",52062,54638,53449,51625,48789,46623,48216,48818,51448,54621,57410,60669,64762,67902,71352,73915,77537
