"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"22","3","Net value added","A439RC1","518,441.0","528,100.0","537,506.0","542,113.0","539,496.0","546,595.0","553,735.0","551,164.0","573,939.0","585,532.0","596,011.0","609,624.0","631,372.0","646,163.0","661,725.0","688,818.0","713,405.0","725,982.0","740,920.0","762,202.0","767,136.0","785,710.0","802,636.0","808,700.0","808,946.0","828,289.0","867,695.0","895,176.0","933,028.0","946,487.0","967,296.0","986,618.0","1,016,756.0","1,072,641.0","1,116,604.0","1,142,498.0","1,164,464.0","1,237,627.0","1,260,907.0","1,304,436.0","1,333,655.0","1,359,398.0","1,386,326.0","1,416,240.0","1,449,386.0","1,441,826.0","1,479,956.0","1,561,494.0","1,622,185.0","1,660,286.0","1,721,209.0","1,719,554.0","1,712,551.0","1,737,746.0","1,748,536.0","1,745,006.0","1,786,497.0","1,847,378.0","1,904,826.0","1,966,168.0","2,049,882.0","2,106,821.0","2,139,526.0","2,177,306.0","2,207,415.0","2,235,711.0","2,278,738.0","2,297,139.0","2,328,850.0","2,333,853.0","2,350,975.0","2,389,625.0","2,431,933.0","2,497,650.0","2,560,994.0","2,613,984.0","2,646,954.0","2,710,075.0","2,759,867.0","2,829,880.0","2,842,755.0","2,862,985.0","2,894,503.0","2,914,344.0","2,953,638.0","3,018,117.0","3,025,798.0","3,018,193.0","3,037,482.0","3,062,464.0","3,089,521.0","3,111,904.0","3,179,802.0","3,223,759.0","3,241,676.0","3,315,543.0","3,311,732.0","3,380,272.0","3,414,494.0","3,506,109.0","3,568,480.0","3,630,853.0","3,696,820.0","3,766,624.0","3,799,133.0","3,843,117.0","3,923,026.0","3,957,588.0","4,018,517.0","4,093,746.0","4,150,886.0","4,212,874.0","4,312,134.0","4,381,442.0","4,488,891.0","4,569,797.0","4,600,844.0","4,680,670.0","4,776,279.0","4,825,958.0","4,921,018.0","4,957,424.0","5,007,176.0","5,109,175.0","5,282,917.0","5,304,274.0","5,377,754.0","5,360,467.0","5,361,502.0","5,341,624.0","5,271,831.0","5,242,837.0","5,291,631.0","5,355,632.0","5,373,467.0","5,446,409.0","5,494,924.0","5,541,943.0","5,614,757.0","5,689,003.0","5,778,127.0","5,905,214.0","6,046,257.0","6,130,568.0","6,266,554.0","6,362,700.0","6,473,714.0","6,637,007.0","6,777,538.0","6,836,728.0","6,958,096.0","7,017,387.0","6,975,754.0","7,036,876.0","6,968,655.0","6,987,588.0","7,002,486.0","6,981,193.0","6,978,768.0","6,654,956.0","6,593,537.0","6,598,233.0","6,630,974.0","6,799,773.0","6,933,260.0","7,054,976.0","7,144,329.0","7,242,501.0"
"23","4","  Compensation of employees","A442RC1","363,740.0","374,108.0","384,268.0","392,288.0","396,416.0","398,252.0","403,392.0","402,828.0","412,796.0","421,720.0","428,396.0","438,160.0","453,680.0","466,048.0","476,348.0","494,096.0","511,864.0","526,528.0","540,532.0","556,544.0","567,220.0","582,432.0","598,012.0","602,104.0","596,284.0","601,000.0","619,976.0","642,216.0","667,536.0","685,136.0","704,488.0","723,644.0","742,932.0","773,712.0","798,332.0","824,092.0","852,681.0","890,058.0","916,691.0","947,964.0","982,914.0","1,006,746.0","1,035,728.0","1,062,504.0","1,090,583.0","1,102,117.0","1,122,901.0","1,164,651.0","1,205,073.0","1,228,550.0","1,255,853.0","1,270,457.0","1,279,045.0","1,289,703.0","1,301,092.0","1,305,447.0","1,320,535.0","1,347,640.0","1,378,605.0","1,421,455.0","1,465,530.0","1,500,940.0","1,531,422.0","1,557,609.0","1,582,612.0","1,607,174.0","1,632,996.0","1,666,971.0","1,689,628.0","1,703,791.0","1,728,053.0","1,760,048.0","1,789,253.0","1,818,529.0","1,852,021.0","1,900,306.0","1,919,462.0","1,965,266.0","1,999,785.0","2,036,878.0","2,054,912.0","2,072,885.0","2,094,972.0","2,130,280.0","2,158,710.0","2,196,720.0","2,222,912.0","2,223,952.0","2,211,323.0","2,236,070.0","2,261,507.0","2,288,680.0","2,325,812.0","2,361,360.0","2,392,401.0","2,422,560.0","2,440,689.0","2,475,365.0","2,503,439.0","2,533,283.0","2,583,572.0","2,619,134.0","2,646,928.0","2,689,524.0","2,731,346.0","2,758,188.0","2,792,072.0","2,822,587.0","2,843,692.0","2,894,650.0","2,938,730.0","2,982,624.0","3,039,309.0","3,087,643.0","3,145,436.0","3,223,056.0","3,304,037.0","3,366,825.0","3,428,283.0","3,488,179.0","3,553,989.0","3,588,108.0","3,639,249.0","3,733,241.0","3,885,267.0","3,907,203.0","3,992,662.0","4,017,699.0","4,017,789.0","3,993,932.0","3,967,723.0","3,965,438.0","3,938,774.0","3,979,626.0","3,991,390.0","4,012,931.0","4,020,837.0","4,079,305.0","4,134,529.0","4,187,243.0","4,159,372.0","4,224,985.0","4,310,456.0","4,368,630.0","4,396,476.0","4,453,106.0","4,543,782.0","4,600,467.0","4,668,360.0","4,704,543.0","4,739,672.0","4,860,898.0","4,888,478.0","4,921,166.0","4,946,240.0","5,020,711.0","5,067,660.0","5,043,724.0","5,026,366.0","4,932,005.0","4,749,315.0","4,742,777.0","4,719,693.0","4,740,454.0","4,746,101.0","4,826,951.0","4,879,665.0","4,922,029.0"
"24","5","    Wage and salary accruals","A443RC1","325,084.0","334,148.0","342,992.0","349,888.0","353,172.0","354,436.0","358,604.0","357,716.0","366,064.0","373,408.0","378,688.0","386,604.0","399,492.0","409,564.0","417,748.0","432,288.0","446,692.0","458,520.0","469,916.0","483,180.0","492,316.0","504,972.0","517,800.0","520,508.0","514,332.0","517,268.0","532,232.0","549,872.0","569,728.0","583,252.0","598,324.0","613,376.0","629,020.0","653,952.0","673,636.0","694,176.0","713,986.0","746,315.0","768,867.0","795,710.0","822,842.0","842,756.0","867,265.0","889,663.0","911,748.0","919,907.0","936,967.0","973,802.0","1,003,762.0","1,023,758.0","1,047,253.0","1,058,927.0","1,062,043.0","1,070,053.0","1,078,896.0","1,081,398.0","1,091,654.0","1,115,371.0","1,142,634.0","1,180,896.0","1,214,340.0","1,245,545.0","1,272,237.0","1,295,062.0","1,317,415.0","1,338,379.0","1,360,292.0","1,389,469.0","1,407,629.0","1,418,166.0","1,437,972.0","1,465,339.0","1,491,496.0","1,517,285.0","1,546,919.0","1,590,525.0","1,603,977.0","1,644,461.0","1,673,698.0","1,704,543.0","1,720,388.0","1,733,164.0","1,750,269.0","1,780,067.0","1,803,972.0","1,836,367.0","1,857,418.0","1,854,851.0","1,837,295.0","1,855,666.0","1,874,165.0","1,894,021.0","1,919,817.0","1,947,287.0","1,971,133.0","1,995,473.0","2,006,812.0","2,033,631.0","2,055,728.0","2,078,514.0","2,119,328.0","2,148,788.0","2,173,338.0","2,212,787.0","2,256,566.0","2,282,807.0","2,315,786.0","2,345,797.0","2,369,656.0","2,418,872.0","2,461,673.0","2,504,318.0","2,560,462.0","2,604,649.0","2,655,015.0","2,721,174.0","2,789,695.0","2,841,705.0","2,894,593.0","2,948,255.0","3,013,863.0","3,043,286.0","3,086,336.0","3,166,923.0","3,295,888.0","3,307,645.0","3,379,130.0","3,395,008.0","3,393,413.0","3,363,002.0","3,328,970.0","3,315,822.0","3,276,584.0","3,301,251.0","3,297,654.0","3,302,028.0","3,289,772.0","3,332,962.0","3,378,787.0","3,426,277.0","3,409,293.0","3,472,415.0","3,550,645.0","3,599,043.0","3,612,278.0","3,659,784.0","3,740,545.0","3,793,025.0","3,859,140.0","3,894,650.0","3,927,692.0","4,042,097.0","4,077,499.0","4,112,607.0","4,134,326.0","4,197,728.0","4,228,963.0","4,197,615.0","4,174,545.0","4,080,086.0","3,903,414.0","3,892,754.0","3,867,546.0","3,883,050.0","3,877,712.0","3,949,509.0","3,995,188.0","4,031,441.0"
"25","6","    Supplements to wages and salaries","A444RC1","38,656.0","39,960.0","41,276.0","42,400.0","43,244.0","43,816.0","44,788.0","45,112.0","46,732.0","48,312.0","49,708.0","51,556.0","54,188.0","56,484.0","58,600.0","61,808.0","65,172.0","68,008.0","70,616.0","73,364.0","74,904.0","77,460.0","80,212.0","81,596.0","81,952.0","83,732.0","87,744.0","92,344.0","97,808.0","101,884.0","106,164.0","110,268.0","113,912.0","119,760.0","124,696.0","129,916.0","138,695.0","143,743.0","147,824.0","152,254.0","160,072.0","163,990.0","168,463.0","172,841.0","178,835.0","182,210.0","185,934.0","190,849.0","201,311.0","204,792.0","208,600.0","211,530.0","217,002.0","219,650.0","222,196.0","224,049.0","228,881.0","232,269.0","235,971.0","240,559.0","251,190.0","255,395.0","259,185.0","262,547.0","265,197.0","268,795.0","272,704.0","277,502.0","281,999.0","285,625.0","290,081.0","294,709.0","297,757.0","301,244.0","305,102.0","309,781.0","315,485.0","320,805.0","326,087.0","332,335.0","334,524.0","339,721.0","344,703.0","350,213.0","354,738.0","360,353.0","365,494.0","369,101.0","374,028.0","380,404.0","387,342.0","394,659.0","405,995.0","414,073.0","421,268.0","427,087.0","433,877.0","441,734.0","447,711.0","454,769.0","464,244.0","470,346.0","473,590.0","476,737.0","474,780.0","475,381.0","476,286.0","476,790.0","474,036.0","475,778.0","477,057.0","478,306.0","478,847.0","482,994.0","490,421.0","501,882.0","514,342.0","525,120.0","533,690.0","539,924.0","540,126.0","544,822.0","552,913.0","566,318.0","589,379.0","599,558.0","613,532.0","622,691.0","624,376.0","630,930.0","638,753.0","649,616.0","662,190.0","678,375.0","693,736.0","710,903.0","731,065.0","746,343.0","755,742.0","760,966.0","750,079.0","752,570.0","759,811.0","769,587.0","784,198.0","793,322.0","803,237.0","807,442.0","809,220.0","809,893.0","811,980.0","818,801.0","810,979.0","808,559.0","811,914.0","822,983.0","838,697.0","846,109.0","851,821.0","851,919.0","845,901.0","850,023.0","852,147.0","857,404.0","868,389.0","877,442.0","884,477.0","890,588.0"
"26","7","  Taxes on production and imports less subsidies","W321RC1","51,328.0","52,484.0","53,452.0","54,320.0","55,368.0","56,288.0","57,460.0","58,744.0","60,476.0","62,076.0","63,764.0","64,904.0","65,440.0","66,316.0","67,764.0","69,640.0","71,612.0","73,396.0","75,208.0","76,284.0","76,868.0","77,932.0","79,040.0","80,656.0","82,124.0","83,584.0","85,276.0","87,008.0","88,504.0","90,416.0","92,300.0","94,432.0","96,144.0","98,196.0","101,148.0","104,584.0","108,168.0","112,052.0","105,404.0","109,184.0","111,168.0","113,332.0","116,264.0","119,272.0","121,520.0","125,040.0","130,472.0","137,264.0","145,496.0","153,532.0","157,976.0","160,612.0","160,448.0","160,036.0","160,968.0","163,752.0","168,668.0","174,496.0","180,560.0","186,032.0","190,120.0","193,948.0","197,524.0","200,892.0","204,044.0","207,892.0","210,972.0","213,288.0","215,132.0","217,976.0","220,852.0","224,532.0","227,696.0","231,384.0","234,828.0","239,556.0","245,404.0","251,196.0","253,432.0","258,024.0","261,828.0","266,088.0","269,384.0","272,876.0","276,000.0","281,364.0","287,320.0","293,192.0","300,224.0","305,212.0","310,460.0","315,848.0","319,760.0","323,536.0","327,932.0","332,352.0","333,895.0","337,769.0","343,975.0","352,513.0","363,381.0","371,338.0","376,383.0","378,517.0","377,739.0","377,972.0","379,217.0","381,472.0","384,739.0","388,422.0","392,522.0","397,039.0","401,973.0","405,903.0","408,829.0","410,752.0","411,537.0","415,962.0","420,869.0","425,405.0","431,269.0","437,189.0","444,836.0","452,517.0","460,034.0","465,779.0","468,373.0","472,097.0","464,776.0","458,362.0","448,855.0","478,279.0","479,825.0","488,783.0","497,509.0","502,602.0","507,576.0","505,046.0","524,684.0","531,912.0","541,030.0","548,957.0","556,662.0","568,323.0","580,980.0","593,158.0","602,587.0","610,091.0","623,528.0","631,426.0","636,981.0","643,005.0","642,941.0","649,360.0","654,133.0","659,727.0","660,117.0","666,225.0","666,234.0","654,083.0","635,480.0","636,415.0","631,955.0","646,027.0","652,919.0","657,243.0","661,370.0","667,225.0"
"27","8","  Net operating surplus","W322RC1","103,373.0","101,508.0","99,786.0","95,505.0","87,712.0","92,055.0","92,883.0","89,592.0","100,667.0","101,736.0","103,851.0","106,560.0","112,252.0","113,799.0","117,613.0","125,082.0","129,929.0","126,058.0","125,180.0","129,374.0","123,048.0","125,346.0","125,584.0","125,940.0","130,538.0","143,705.0","162,443.0","165,952.0","176,988.0","170,935.0","170,508.0","168,542.0","177,680.0","200,733.0","217,124.0","213,822.0","203,615.0","235,517.0","238,812.0","247,288.0","239,573.0","239,320.0","234,334.0","234,464.0","237,283.0","214,669.0","226,583.0","259,579.0","271,616.0","278,204.0","307,380.0","288,485.0","273,058.0","288,007.0","286,476.0","275,807.0","297,294.0","325,242.0","345,661.0","358,681.0","394,232.0","411,933.0","410,580.0","418,805.0","420,759.0","420,645.0","434,770.0","416,880.0","424,090.0","412,086.0","402,070.0","405,045.0","414,984.0","447,737.0","474,145.0","474,122.0","482,088.0","493,613.0","506,650.0","534,978.0","526,015.0","524,012.0","530,147.0","511,188.0","518,928.0","540,033.0","515,566.0","501,049.0","525,935.0","521,182.0","517,554.0","507,376.0","534,230.0","538,863.0","521,343.0","560,631.0","537,148.0","567,138.0","567,080.0","620,313.0","621,527.0","640,381.0","673,509.0","698,583.0","690,048.0","706,957.0","751,737.0","753,529.0","790,086.0","810,674.0","819,634.0","833,211.0","870,852.0","887,896.0","934,626.0","935,989.0","885,270.0","897,883.0","927,127.0","912,374.0","935,760.0","932,127.0","923,091.0","923,417.0","937,616.0","931,292.0","916,719.0","870,671.0","878,937.0","889,330.0","855,253.0","799,120.0","873,032.0","887,223.0","884,568.0","930,876.0","966,511.0","957,592.0","955,544.0","969,848.0","1,077,725.0","1,131,272.0","1,179,139.0","1,193,615.0","1,289,098.0","1,316,436.0","1,327,345.0","1,426,449.0","1,485,650.0","1,500,759.0","1,581,443.0","1,513,484.0","1,444,335.0","1,466,350.0","1,368,282.0","1,307,150.0","1,274,709.0","1,271,244.0","1,286,168.0","1,068,868.0","1,208,742.0","1,219,041.0","1,279,326.0","1,413,292.0","1,534,240.0","1,570,782.0","1,603,294.0","1,653,247.0"
"28","9","    Net interest and miscellaneous payments","A453RC1","5,919.0","7,131.0","8,463.0","9,507.0","10,153.0","11,017.0","11,817.0","12,097.0","11,845.0","11,645.0","11,353.0","10,989.0","11,087.0","11,131.0","11,375.0","11,679.0","11,746.0","12,250.0","13,434.0","14,750.0","17,471.0","19,775.0","21,687.0","23,891.0","24,586.0","23,838.0","23,202.0","22,006.0","19,601.0","18,950.0","18,298.0","18,343.0","19,994.0","22,378.0","24,558.0","26,354.0","26,423.0","27,166.0","27,630.0","28,857.0","30,768.0","32,888.0","35,472.0","40,440.0","48,960.0","53,016.0","56,492.0","65,264.0","66,372.0","73,895.0","84,179.0","86,550.0","90,305.0","92,449.0","89,625.0","87,733.0","86,302.0","84,048.0","86,717.0","89,329.0","91,860.0","97,637.0","102,761.0","103,038.0","99,590.0","97,226.0","93,851.0","96,833.0","104,283.0","106,674.0","107,177.0","107,138.0","106,977.0","107,083.0","107,747.0","108,785.0","105,339.0","104,471.0","107,875.0","113,471.0","125,687.0","130,194.0","132,637.0","131,382.0","129,765.0","128,193.0","125,243.0","119,895.0","112,568.0","105,762.0","100,076.0","92,174.0","87,234.0","81,648.0","77,838.0","75,608.0","75,977.0","73,690.0","72,000.0","72,205.0","73,850.0","74,744.0","76,073.0","75,465.0","68,758.0","65,115.0","62,656.0","62,187.0","62,820.0","66,374.0","70,738.0","77,072.0","83,055.0","89,286.0","98,200.0","108,751.0","128,106.0","141,227.0","149,302.0","150,097.0","136,825.0","136,366.0","138,726.0","144,015.0","160,924.0","166,267.0","170,422.0","168,911.0","169,386.0","158,467.0","148,399.0","140,471.0","127,115.0","115,094.0","111,978.0","110,491.0","146,417.0","115,993.0","75,564.0","59,654.0","51,486.0","47,636.0","46,297.0","48,961.0","52,036.0","56,399.0","63,656.0","74,360.0","92,690.0","113,050.0","130,637.0","145,343.0","144,758.0","142,822.0","166,840.0","202,396.0","237,405.0","265,634.0","288,757.0","324,352.0","316,750.0","273,318.0","260,531.0","268,741.0","264,291.0","256,447.0","252,103.0","255,820.0"
"29","10","    Business current transfer payments (net)","W323RC1","4,336.0","4,452.0","4,460.0","4,400.0","4,189.0","3,999.0","3,745.0","3,601.0","3,550.0","3,494.0","3,503.0","3,559.0","3,789.0","3,905.0","4,045.0","4,171.0","4,663.0","5,024.0","4,957.0","5,290.0","5,994.0","6,373.0","6,842.0","7,256.0","8,056.0","8,715.0","8,795.0","8,723.0","8,540.0","8,225.0","7,739.0","7,049.0","6,574.0","6,079.0","6,148.0","6,355.0","7,144.0","7,813.0","8,569.0","9,398.0","10,494.0","11,170.0","11,632.0","11,856.0","12,067.0","12,165.0","12,362.0","13,982.0","14,405.0","14,648.0","15,319.0","15,961.0","17,104.0","17,567.0","17,880.0","18,151.0","18,704.0","19,401.0","20,613.0","22,675.0","25,454.0","27,545.0","29,060.0","30,033.0","31,120.0","35,978.0","30,696.0","30,001.0","37,272.0","28,776.0","26,723.0","26,641.0","25,990.0","25,998.0","24,445.0","24,643.0","24,349.0","25,514.0","27,609.0","30,166.0","32,904.0","33,934.0","35,511.0","35,380.0","35,285.0","34,605.0","34,329.0","34,819.0","35,146.0","34,291.0","34,265.0","34,542.0","34,504.0","34,142.0","34,241.0","37,305.0","34,646.0","32,758.0","31,732.0","31,577.0","32,285.0","32,914.0","33,520.0","34,110.0","35,218.0","36,392.0","38,371.0","40,621.0","44,703.0","46,342.0","45,449.0","41,987.0","35,463.0","32,838.0","33,947.0","38,714.0","48,097.0","51,142.0","53,777.0","62,270.0","53,147.0","52,940.0","54,516.0","58,833.0","67,280.0","71,802.0","76,104.0","80,195.0","86,822.0","89,601.0","88,440.0","83,194.0","74,334.0","66,110.0","59,388.0","53,968.0","51,747.0","50,482.0","50,414.0","51,095.0","52,197.0","54,026.0","55,851.0","57,681.0","63,076.0","64,341.0","61,947.0","56,938.0","48,981.0","45,278.0","46,753.0","52,724.0","72,086.0","70,697.0","74,335.0","73,133.0","91,084.0","88,846.0","90,853.0","108,095.0","102,943.0","100,930.0","85,572.0","88,889.0","91,854.0","91,590.0","93,512.0","92,121.0"
"30","11","    Corporate profits with IVA and CCAdj","A445RC1","93,118.0","89,925.0","86,863.0","81,598.0","73,370.0","77,039.0","77,321.0","73,894.0","85,272.0","86,597.0","88,995.0","92,012.0","97,376.0","98,763.0","102,193.0","109,232.0","113,520.0","108,784.0","106,789.0","109,334.0","99,583.0","99,198.0","97,055.0","94,793.0","97,896.0","111,152.0","130,446.0","135,223.0","148,847.0","143,760.0","144,471.0","143,150.0","151,112.0","172,276.0","186,418.0","181,113.0","170,048.0","200,538.0","202,613.0","209,033.0","198,311.0","195,262.0","187,230.0","182,168.0","176,256.0","149,488.0","157,729.0","180,333.0","190,839.0","189,661.0","207,882.0","185,974.0","165,649.0","177,991.0","178,971.0","169,923.0","192,288.0","221,793.0","238,331.0","246,677.0","276,918.0","286,751.0","278,759.0","285,734.0","290,049.0","287,441.0","310,223.0","290,046.0","282,535.0","276,636.0","268,170.0","271,266.0","282,017.0","314,656.0","341,953.0","340,694.0","352,400.0","363,628.0","371,166.0","391,341.0","367,424.0","359,884.0","361,999.0","344,426.0","353,878.0","377,235.0","355,994.0","346,335.0","378,221.0","381,129.0","383,213.0","380,660.0","412,492.0","423,073.0","409,264.0","447,718.0","426,525.0","460,690.0","463,348.0","516,531.0","515,392.0","532,723.0","563,916.0","589,008.0","586,072.0","605,450.0","650,710.0","650,721.0","682,563.0","697,958.0","703,447.0","714,152.0","752,334.0","765,772.0","802,479.0","788,524.0","709,067.0","705,514.0","724,048.0","700,007.0","745,788.0","742,821.0","729,849.0","720,569.0","709,412.0","693,223.0","670,193.0","621,565.0","622,729.0","641,262.0","618,414.0","575,455.0","671,583.0","706,019.0","713,202.0","766,417.0","768,347.0","791,117.0","829,566.0","859,099.0","974,042.0","1,029,610.0","1,076,991.0","1,086,973.0","1,173,986.0","1,195,696.0","1,201,742.0","1,295,151.0","1,343,979.0","1,342,431.0","1,404,053.0","1,315,417.0","1,227,491.0","1,252,831.0","1,127,107.0","1,031,621.0","946,220.0","916,764.0","906,558.0","636,421.0","789,049.0","844,793.0","933,223.0","1,055,662.0","1,178,095.0","1,222,745.0","1,257,679.0","1,305,306.0"
"31","12","      Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,706.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,326.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,140.0","170,091.0","162,123.0","193,783.0","174,537.0","183,616.0","201,134.0","213,278.0","217,570.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,217.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,539.0","226,974.0","247,224.0","269,329.0","277,629.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,673.0","475,079.0","496,587.0","460,730.0","474,149.0","467,929.0","431,019.0","408,764.0","356,745.0","342,968.0","313,339.0","220,400.0","221,970.0","222,765.0","255,693.0","319,059.0","403,234.0","405,608.0","429,389.0","428,075.0"
"32","13","      Profits after tax with IVA and CCAdj","W273RC1","51,658.0","49,497.0","47,723.0","42,718.0","38,902.0","42,387.0","41,597.0","39,710.0","47,448.0","48,029.0","51,079.0","53,660.0","57,008.0","58,103.0","60,241.0","62,848.0","63,784.0","58,576.0","58,197.0","57,978.0","49,839.0","47,042.0","39,731.0","42,877.0","54,104.0","64,364.0","73,238.0","76,427.0","82,227.0","78,580.0","79,579.0","78,690.0","82,308.0","97,892.0","109,670.0","103,285.0","97,552.0","113,922.0","115,185.0","116,141.0","108,203.0","104,330.0","96,646.0","93,728.0","79,240.0","72,264.0","74,569.0","88,973.0","99,723.0","107,013.0","121,730.0","108,534.0","99,913.0","109,547.0","110,367.0","106,711.0","128,120.0","142,557.0","150,063.0","155,757.0","173,034.0","183,863.0","187,687.0","193,454.0","191,361.0","190,469.0","207,959.0","190,346.0","175,955.0","170,300.0","160,866.0","152,786.0","163,311.0","181,862.0","204,045.0","208,338.0","223,069.0","226,997.0","224,514.0","237,435.0","209,070.0","214,855.0","221,577.0","203,959.0","214,552.0","232,360.0","206,167.0","198,666.0","236,584.0","244,350.0","245,777.0","242,149.0","264,289.0","273,322.0","265,235.0","294,949.0","268,385.0","290,599.0","301,225.0","322,748.0","340,855.0","349,107.0","362,782.0","375,730.0","368,502.0","390,666.0","429,045.0","433,390.0","460,975.0","464,575.0","469,668.0","477,028.0","514,117.0","522,830.0","547,408.0","543,069.0","460,555.0","460,025.0","471,831.0","452,761.0","489,561.0","488,741.0","470,685.0","454,902.0","435,111.0","420,104.0","415,496.0","363,314.0","398,240.0","424,623.0","423,377.0","398,438.0","492,324.0","520,062.0","519,479.0","556,012.0","536,808.0","564,143.0","582,342.0","589,770.0","696,413.0","731,413.0","756,564.0","758,851.0","768,894.0","800,054.0","798,684.0","849,404.0","883,306.0","867,352.0","907,466.0","854,687.0","753,342.0","784,902.0","696,088.0","622,857.0","589,475.0","573,796.0","593,219.0","416,021.0","567,079.0","622,028.0","677,530.0","736,603.0","774,861.0","817,137.0","828,290.0","877,231.0"
"33","14","        Net dividends","A449RC1","20,244.0","20,428.0","20,204.0","20,736.0","20,060.0","20,528.0","20,216.0","20,680.0","21,248.0","19,728.0","21,284.0","19,088.0","22,224.0","22,080.0","21,976.0","21,488.0","21,980.0","22,996.0","23,860.0","23,592.0","22,304.0","25,180.0","24,032.0","22,300.0","26,736.0","26,008.0","25,860.0","27,012.0","26,004.0","30,112.0","31,392.0","32,712.0","31,752.0","32,476.0","34,060.0","36,472.0","37,256.0","36,456.0","41,384.0","43,340.0","42,324.0","42,320.0","39,592.0","41,680.0","40,932.0","54,376.0","45,376.0","48,604.0","53,548.0","57,116.0","60,588.0","61,992.0","66,240.0","53,792.0","59,440.0","65,844.0","70,996.0","68,596.0","71,468.0","74,216.0","78,000.0","78,496.0","79,452.0","78,112.0","81,160.0","90,500.0","84,148.0","87,028.0","85,744.0","92,056.0","85,940.0","89,448.0","93,896.0","92,356.0","93,760.0","102,416.0","85,784.0","93,392.0","112,080.0","100,844.0","126,156.0","126,376.0","130,772.0","122,192.0","145,728.0","141,156.0","143,200.0","146,268.0","149,984.0","157,580.0","156,868.0","160,992.0","152,954.0","157,652.0","159,133.0","170,231.0","176,781.0","177,522.0","181,752.0","193,337.0","189,769.0","200,287.0","195,801.0","204,369.0","209,621.0","211,236.0","229,851.0","235,820.0","243,638.0","249,571.0","263,372.0","272,744.0","273,374.0","275,671.0","285,007.0","301,929.0","304,761.0","313,164.0","307,328.0","311,483.0","297,303.0","297,951.0","279,134.0","308,412.0","334,865.0","355,374.0","366,644.0","336,941.0","326,335.0","309,900.0","341,588.0","342,401.0","346,011.0","356,567.0","338,341.0","363,789.0","333,548.0","423,578.0","394,508.0","419,430.0","451,251.0","447,412.0","456,155.0","597,251.0","434,501.0","373,648.0","232,740.0","144,946.0","542,279.0","565,735.0","648,641.0","750,854.0","635,347.0","648,214.0","670,335.0","644,997.0","574,570.0","611,122.0","622,658.0","637,749.0","650,277.0","632,830.0","567,341.0","596,081.0","621,217.0","591,582.0","624,273.0","629,359.0"
