"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"46","27","    Net government saving","A922RC1","21,836.0","19,140.0","13,940.0","11,225.0","5,689.0","-8,482.0","-12,604.0","-18,126.0","-18,928.0","-24,395.0","-23,002.0","-22,580.0","-13,837.0","-9,502.0","-7,006.0","-6,741.0","3,709.0","506.0","3,942.0","7,376.0","2,896.0","-771.0","-1,277.0","-21,480.0","-47,865.0","-103,185.0","-60,123.0","-61,520.0","-48,624.0","-43,510.0","-47,239.0","-45,786.0","-37,639.0","-29,532.0","-31,555.0","-33,249.0","-31,734.0","-4,821.0","-5,856.0","1,503.0","5,820.0","2,998.0","-662.0","-11,999.0","-23,049.0","-52,099.0","-64,298.0","-51,886.0","-30,864.0","-38,828.0","-46,952.0","-80,163.0","-104,547.0","-110,843.0","-149,812.0","-184,670.0","-183,815.0","-169,660.0","-179,161.0","-152,782.0","-134,485.0","-140,530.0","-154,058.0","-161,034.0","-126,048.0","-177,013.0","-156,332.0","-165,655.0","-157,319.0","-185,475.0","-188,399.0","-164,338.0","-174,485.0","-107,907.0","-127,772.0","-139,304.0","-135,607.0","-125,746.0","-108,397.0","-114,978.0","-87,925.0","-108,734.0","-119,238.0","-139,322.0","-156,002.0","-167,698.0","-167,570.0","-189,758.0","-164,071.0","-225,140.0","-242,949.0","-264,809.0","-296,476.0","-302,577.0","-317,937.0","-298,525.0","-322,278.0","-278,917.0","-285,832.0","-237,645.0","-230,990.0","-199,165.0","-205,360.0","-213,136.0","-210,536.0","-208,546.0","-201,068.0","-167,823.0","-173,818.0","-130,955.0","-113,257.0","-83,022.0","-62,351.0","-37,924.0","4,800.0","123.0","53,539.0","63,251.0","97,351.0","107,812.0","123,155.0","133,547.0","145,041.0","160,730.0","256,427.0","227,737.0","220,336.0","201,383.0","174,407.0","113,271.0","-127,320.0","-62,031.0","-261,290.0","-307,574.0","-309,965.0","-348,590.0","-381,876.0","-427,260.0","-476,965.0","-374,757.0","-431,954.0","-405,398.0","-365,219.0","-348,744.0","-263,718.0","-269,208.0","-262,111.0","-233,293.0","-144,714.0","-166,151.0","-173,087.0","-127,029.0","-171,780.0","-207,651.0","-255,183.0","-297,385.0","-405,971.0","-795,209.0","-711,636.0","-741,736.0","-1,044,780.0","-1,370,312.0","-1,375,857.0","-1,296,449.0","-1,285,669.0","-1,320,771.0","-1,295,636.0","-1,294,764.0"
"47","28","Social insurance funds","A221RC1","5,262.0","5,625.0","6,144.0","6,393.0","6,731.0","-1,226.0","626.0","-1,567.0","1,494.0","-4,836.0","-3,812.0","-3,958.0","397.0","1,071.0","2,212.0","-5,204.0","6,487.0","6,123.0","6,139.0","5,999.0","9,520.0","4,451.0","2,162.0","-1,785.0","-8,703.0","-14,517.0","-20,790.0","-19,246.0","-14,661.0","-12,248.0","-17,133.0","-17,638.0","-13,894.0","-11,327.0","-13,896.0","-13,171.0","-4,401.0","-113.0","-4,855.0","-3,467.0","6,458.0","6,034.0","-2,634.0","-2,942.0","-1,114.0","-7,217.0","-26,471.0","-23,018.0","-6,294.0","-5,308.0","-19,065.0","-21,229.0","-18,027.0","-24,887.0","-38,254.0","-51,432.0","-41,140.0","-43,563.0","-32,823.0","-29,054.0","-12,170.0","-8,598.0","-4,457.0","-6,507.0","-1,418.0","1,450.0","2,029.0","6,711.0","7,648.0","7,107.0","5,942.0","9,363.0","12,593.0","12,960.0","17,217.0","23,834.0","33,127.0","40,318.0","44,045.0","48,806.0","43,838.0","44,570.0","44,675.0","46,809.0","45,260.0","44,833.0","47,109.0","40,230.0","30,935.0","26,266.0","28,469.0","22,398.0","10,416.0","6,365.0","8,610.0","8,625.0","2,176.0","6,743.0","7,736.0","11,445.0","15,060.0","19,546.0","21,603.0","23,755.0","20,810.0","18,440.0","19,530.0","19,892.0","10,252.0","13,726.0","18,175.0","20,775.0","20,450.0","24,960.0","32,465.0","42,585.0","46,507.0","55,714.0","63,382.0","74,293.0","84,911.0","89,330.0","95,711.0","107,032.0","120,036.0","108,889.0","118,798.0","117,325.0","110,341.0","99,217.0","82,022.0","71,400.0","66,621.0","48,719.0","46,096.0","43,428.0","45,132.0","38,887.0","38,170.0","41,588.0","51,020.0","56,140.0","61,222.0","60,274.0","56,290.0","52,177.0","60,239.0","57,026.0","32,725.0","13,817.0","10,023.0","11,559.0","5,504.0","-806.0","-5,496.0","-3,666.0","-13,551.0","-31,428.0","-66,682.0","-101,223.0","-198,332.0","-241,965.0","-274,545.0","-284,494.0","-274,871.0","-267,183.0","-272,079.0","-264,019.0"
"48","29","Other","A391RC1","16,574.0","13,515.0","7,796.0","4,832.0","-1,042.0","-7,256.0","-13,230.0","-16,559.0","-20,422.0","-19,559.0","-19,190.0","-18,622.0","-14,234.0","-10,573.0","-9,218.0","-1,537.0","-2,778.0","-5,617.0","-2,197.0","1,377.0","-6,624.0","-5,222.0","-3,439.0","-19,695.0","-39,162.0","-88,668.0","-39,333.0","-42,274.0","-33,963.0","-31,262.0","-30,106.0","-28,148.0","-23,745.0","-18,205.0","-17,659.0","-20,078.0","-27,333.0","-4,708.0","-1,001.0","4,970.0","-638.0","-3,036.0","1,972.0","-9,057.0","-21,935.0","-44,882.0","-37,827.0","-28,868.0","-24,570.0","-33,520.0","-27,887.0","-58,934.0","-86,520.0","-85,956.0","-111,558.0","-133,238.0","-142,675.0","-126,097.0","-146,338.0","-123,728.0","-122,315.0","-131,932.0","-149,601.0","-154,527.0","-124,630.0","-178,463.0","-158,361.0","-172,366.0","-164,967.0","-192,582.0","-194,341.0","-173,701.0","-187,078.0","-120,867.0","-144,989.0","-163,138.0","-168,734.0","-166,064.0","-152,442.0","-163,784.0","-131,763.0","-153,304.0","-163,913.0","-186,132.0","-201,261.0","-212,531.0","-214,679.0","-229,987.0","-195,006.0","-251,406.0","-271,418.0","-287,206.0","-306,892.0","-308,942.0","-326,547.0","-307,149.0","-324,454.0","-285,661.0","-293,568.0","-249,090.0","-246,050.0","-218,711.0","-226,963.0","-236,891.0","-231,345.0","-226,986.0","-220,599.0","-187,715.0","-184,071.0","-144,680.0","-131,433.0","-103,797.0","-82,801.0","-62,884.0","-27,665.0","-42,461.0","7,032.0","7,536.0","33,969.0","33,519.0","38,244.0","44,218.0","49,330.0","53,698.0","136,391.0","118,848.0","101,538.0","84,057.0","64,065.0","14,054.0","-209,342.0","-133,431.0","-327,912.0","-356,293.0","-356,061.0","-392,018.0","-427,007.0","-466,146.0","-515,136.0","-416,345.0","-482,973.0","-461,539.0","-426,441.0","-409,018.0","-320,008.0","-321,385.0","-322,350.0","-290,319.0","-177,439.0","-179,968.0","-183,110.0","-138,588.0","-177,284.0","-206,845.0","-249,686.0","-293,719.0","-392,416.0","-763,777.0","-644,950.0","-640,521.0","-846,444.0","-1,128,344.0","-1,101,317.0","-1,011,959.0","-1,010,798.0","-1,053,588.0","-1,023,557.0","-1,030,745.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Total receipts","W066RC1","282,578.0","288,326.0","288,974.0","292,798.0","289,752.0","292,741.0","291,547.0","292,426.0","300,546.0","306,606.0","310,747.0","319,697.0","343,567.0","349,261.0","355,236.0","367,283.0","386,651.0","391,792.0","398,764.0","410,744.0","420,137.0","434,838.0","450,214.0","447,079.0","442,256.0","413,817.0","463,008.0","475,009.0","496,422.0","507,229.0","518,792.0","530,228.0","557,048.0","570,030.0","581,679.0","597,647.0","610,700.0","648,180.0","664,433.0","689,730.0","711,599.0","726,012.0","745,764.0","762,481.0","784,862.0","782,467.0","811,721.0","850,705.0","904,936.0","919,248.0","944,079.0","939,529.0","940,528.0","952,549.0","948,792.0","955,686.0","968,224.0","1,007,968.0","1,015,511.0","1,042,660.0","1,092,165.0","1,115,091.0","1,127,442.0","1,152,598.0","1,217,078.0","1,189,630.0","1,236,567.0","1,250,941.0","1,277,826.0","1,279,483.0","1,303,425.0","1,339,658.0","1,346,667.0","1,433,175.0","1,426,262.0","1,448,912.0","1,475,534.0","1,493,235.0","1,526,278.0","1,559,175.0","1,619,570.0","1,632,323.0","1,647,377.0","1,659,210.0","1,688,830.0","1,714,961.0","1,738,832.0","1,757,471.0","1,750,303.0","1,761,594.0","1,784,148.0","1,805,177.0","1,823,081.0","1,850,271.0","1,863,867.0","1,906,440.0","1,896,068.0","1,953,054.0","1,971,734.0","2,042,626.0","2,049,654.0","2,104,783.0","2,130,672.0","2,163,332.0","2,197,803.0","2,222,093.0","2,247,756.0","2,274,514.0","2,326,165.0","2,394,428.0","2,415,915.0","2,477,633.0","2,514,626.0","2,558,333.0","2,615,648.0","2,648,157.0","2,696,424.0","2,735,799.0","2,782,318.0","2,834,094.0","2,870,723.0","2,904,486.0","2,955,473.0","3,026,060.0","3,130,080.0","3,163,950.0","3,177,105.0","3,201,193.0","3,239,212.0","3,235,675.0","3,025,653.0","3,121,905.0","2,986,384.0","2,982,555.0","3,010,500.0","3,022,621.0","3,045,365.0","3,060,935.0","3,027,559.0","3,151,573.0","3,189,182.0","3,249,826.0","3,339,311.0","3,405,576.0","3,595,293.0","3,641,149.0","3,722,860.0","3,807,121.0","3,956,593.0","4,002,996.0","4,057,152.0","4,096,311.0","4,202,008.0","4,232,072.0","4,226,656.0","4,254,280.0","4,241,396.0","4,039,761.0","4,122,106.0","4,028,451.0","3,774,873.0","3,700,639.0","3,727,625.0","3,805,777.0","3,930,193.0","3,971,470.0","4,040,843.0","4,075,912.0"
"51","31","    Current receipts","W021RC1","278,016.0","283,526.0","284,425.0","288,209.0","284,984.0","287,957.0","286,871.0","287,598.0","295,592.0","301,571.0","305,297.0","311,948.0","335,830.0","343,237.0","348,801.0","360,263.0","379,395.0","385,676.0","392,452.0","404,024.0","413,417.0","428,430.0","444,050.0","441,179.0","436,308.0","407,352.0","456,291.0","468,347.0","489,616.0","500,164.0","511,619.0","522,328.0","542,886.0","562,156.0","574,026.0","590,232.0","603,532.0","641,084.0","657,237.0","682,434.0","704,151.0","718,700.0","738,300.0","754,541.0","776,694.0","773,751.0","802,425.0","841,773.0","896,284.0","910,124.0","934,571.0","929,765.0","929,052.0","942,213.0","938,788.0","947,090.0","959,940.0","999,536.0","1,006,627.0","1,035,100.0","1,083,457.0","1,106,879.0","1,119,250.0","1,144,270.0","1,208,172.0","1,181,037.0","1,227,205.0","1,242,066.0","1,268,320.0","1,269,525.0","1,292,943.0","1,329,528.0","1,335,953.0","1,422,604.0","1,415,344.0","1,438,811.0","1,464,950.0","1,482,851.0","1,514,576.0","1,547,389.0","1,608,021.0","1,619,736.0","1,635,036.0","1,645,947.0","1,675,231.0","1,696,231.0","1,723,266.0","1,742,346.0","1,734,776.0","1,746,629.0","1,767,667.0","1,789,762.0","1,807,340.0","1,835,310.0","1,847,834.0","1,889,995.0","1,879,530.0","1,935,745.0","1,954,176.0","2,023,483.0","2,029,273.0","2,083,478.0","2,111,037.0","2,143,741.0","2,178,482.0","2,203,038.0","2,227,152.0","2,253,338.0","2,304,610.0","2,371,460.0","2,391,780.0","2,453,851.0","2,488,947.0","2,532,009.0","2,588,133.0","2,619,779.0","2,665,844.0","2,703,672.0","2,749,499.0","2,800,048.0","2,835,425.0","2,867,864.0","2,919,123.0","2,987,510.0","3,094,132.0","3,128,035.0","3,141,721.0","3,165,880.0","3,203,062.0","3,197,829.0","2,984,613.0","3,087,253.0","2,951,821.0","2,949,928.0","2,976,832.0","2,992,887.0","3,016,436.0","3,034,316.0","3,000,980.0","3,121,828.0","3,159,918.0","3,219,944.0","3,307,042.0","3,375,975.0","3,565,097.0","3,611,633.0","3,684,280.0","3,776,073.0","3,919,804.0","3,971,104.0","4,024,760.0","4,064,948.0","4,172,233.0","4,200,296.0","4,195,532.0","4,220,071.0","4,207,562.0","4,003,279.0","4,089,651.0","3,995,578.0","3,745,518.0","3,674,642.0","3,702,547.0","3,785,007.0","3,903,977.0","3,947,819.0","4,020,754.0","4,067,811.0"
"52","32","    Capital transfer receipts","W067RC1","4,562.0","4,800.0","4,549.0","4,589.0","4,768.0","4,784.0","4,676.0","4,828.0","4,954.0","5,035.0","5,450.0","7,749.0","7,737.0","6,024.0","6,435.0","7,020.0","7,256.0","6,116.0","6,312.0","6,720.0","6,720.0","6,408.0","6,164.0","5,900.0","5,948.0","6,465.0","6,717.0","6,662.0","6,806.0","7,065.0","7,173.0","7,900.0","14,162.0","7,874.0","7,653.0","7,415.0","7,168.0","7,096.0","7,196.0","7,296.0","7,448.0","7,312.0","7,464.0","7,940.0","8,168.0","8,716.0","9,296.0","8,932.0","8,652.0","9,124.0","9,508.0","9,764.0","11,476.0","10,336.0","10,004.0","8,596.0","8,284.0","8,432.0","8,884.0","7,560.0","8,708.0","8,212.0","8,192.0","8,328.0","8,906.0","8,593.0","9,362.0","8,875.0","9,506.0","9,958.0","10,482.0","10,130.0","10,714.0","10,571.0","10,918.0","10,101.0","10,584.0","10,384.0","11,702.0","11,786.0","11,549.0","12,587.0","12,341.0","13,263.0","13,599.0","18,730.0","15,566.0","15,125.0","15,527.0","14,965.0","16,481.0","15,415.0","15,741.0","14,961.0","16,033.0","16,445.0","16,538.0","17,309.0","17,558.0","19,143.0","20,381.0","21,305.0","19,635.0","19,591.0","19,321.0","19,055.0","20,604.0","21,176.0","21,555.0","22,968.0","24,135.0","23,782.0","25,679.0","26,324.0","27,515.0","28,378.0","30,580.0","32,127.0","32,819.0","34,046.0","35,298.0","36,622.0","36,350.0","38,550.0","35,948.0","35,915.0","35,384.0","35,313.0","36,150.0","37,846.0","41,040.0","34,652.0","34,563.0","32,627.0","33,668.0","29,734.0","28,929.0","26,619.0","26,579.0","29,745.0","29,264.0","29,882.0","32,269.0","29,601.0","30,196.0","29,516.0","38,580.0","31,048.0","36,789.0","31,892.0","32,392.0","31,363.0","29,775.0","31,776.0","31,124.0","34,209.0","33,834.0","36,482.0","32,455.0","32,873.0","29,355.0","25,997.0","25,078.0","20,770.0","26,216.0","23,651.0","20,089.0","8,101.0"
"53","33","  Total expenditures","W068RC1","278,704.0","284,480.0","290,359.0","293,440.0","297,233.0","313,545.0","317,823.0","324,058.0","327,657.0","341,490.0","344,313.0","349,314.0","365,076.0","368,622.0","368,950.0","380,069.0","389,378.0","401,593.0","399,680.0","412,345.0","426,991.0","438,999.0","468,810.0","480,440.0","509,254.0","530,716.0","542,144.0","558,875.0","568,310.0","566,250.0","578,884.0","589,040.0","604,703.0","616,369.0","625,703.0","643,518.0","655,750.0","672,644.0","696,648.0","715,592.0","724,910.0","749,355.0","776,727.0","801,553.0","842,419.0","867,884.0","902,078.0","919,987.0","970,003.0","982,139.0","1,004,901.0","1,044,834.0","1,064,528.0","1,090,700.0","1,124,696.0","1,162,849.0","1,184,113.0","1,195,838.0","1,226,540.0","1,235,039.0","1,265,879.0","1,294,673.0","1,323,395.0","1,364,952.0","1,396,081.0","1,427,338.0","1,453,971.0","1,478,919.0","1,497,961.0","1,523,362.0","1,565,912.0","1,567,084.0","1,589,151.0","1,612,585.0","1,627,173.0","1,659,549.0","1,675,630.0","1,688,888.0","1,696,663.0","1,739,677.0","1,773,166.0","1,806,216.0","1,838,038.0","1,867,976.0","1,922,281.0","1,952,656.0","1,979,289.0","2,053,217.0","1,989,378.0","2,061,530.0","2,114,683.0","2,141,018.0","2,195,095.0","2,225,262.0","2,248,342.0","2,267,278.0","2,277,159.0","2,290,819.0","2,313,082.0","2,335,437.0","2,321,614.0","2,351,552.0","2,395,158.0","2,429,114.0","2,464,287.0","2,486,952.0","2,475,252.0","2,493,824.0","2,555,570.0","2,582,522.0","2,587,895.0","2,606,770.0","2,637,965.0","2,628,647.0","2,667,736.0","2,697,508.0","2,685,673.0","2,717,445.0","2,748,506.0","2,789,120.0","2,813,494.0","2,840,111.0","2,884,170.0","2,961,432.0","2,956,188.0","3,012,384.0","3,037,309.0","3,080,202.0","3,144,676.0","3,220,323.0","3,233,721.0","3,284,287.0","3,354,174.0","3,399,723.0","3,434,495.0","3,503,165.0","3,555,405.0","3,626,736.0","3,653,075.0","3,663,341.0","3,757,362.0","3,795,950.0","3,865,361.0","3,889,460.0","3,998,237.0","4,046,241.0","4,185,535.0","4,209,660.0","4,246,094.0","4,324,889.0","4,382,429.0","4,325,876.0","4,542,205.0","4,610,634.0","4,661,264.0","4,733,299.0","4,824,004.0","5,009,138.0","5,046,179.0","5,201,603.0","5,207,318.0","5,411,869.0","5,367,042.0","5,393,561.0","5,471,580.0","5,591,945.0","5,577,288.0","5,613,912.0"
"54","34","    Current expenditures","W022RC1","256,180.0","264,386.0","270,485.0","276,984.0","279,295.0","296,439.0","299,475.0","305,724.0","314,520.0","325,966.0","328,299.0","334,528.0","349,667.0","352,739.0","355,807.0","367,004.0","375,686.0","385,170.0","388,510.0","396,648.0","410,521.0","429,201.0","445,327.0","462,659.0","484,173.0","510,537.0","516,414.0","529,867.0","538,240.0","543,674.0","558,858.0","568,114.0","580,525.0","591,688.0","605,581.0","623,481.0","635,266.0","645,905.0","663,093.0","680,931.0","698,331.0","715,702.0","738,962.0","766,540.0","799,743.0","825,850.0","866,723.0","893,659.0","927,148.0","948,952.0","981,523.0","1,009,928.0","1,033,599.0","1,053,056.0","1,088,600.0","1,131,760.0","1,143,755.0","1,169,196.0","1,185,788.0","1,187,882.0","1,217,942.0","1,247,409.0","1,273,308.0","1,305,304.0","1,334,220.0","1,358,050.0","1,383,537.0","1,407,721.0","1,425,639.0","1,455,000.0","1,481,342.0","1,493,866.0","1,510,438.0","1,530,511.0","1,543,116.0","1,578,115.0","1,600,557.0","1,608,597.0","1,622,973.0","1,662,367.0","1,695,946.0","1,728,470.0","1,754,274.0","1,785,269.0","1,831,233.0","1,863,929.0","1,890,836.0","1,932,104.0","1,898,847.0","1,971,769.0","2,010,616.0","2,054,571.0","2,103,816.0","2,137,887.0","2,165,771.0","2,188,520.0","2,201,808.0","2,214,662.0","2,240,008.0","2,261,128.0","2,260,263.0","2,282,643.0","2,316,397.0","2,356,877.0","2,389,018.0","2,411,584.0","2,428,220.0","2,421,161.0","2,478,428.0","2,502,415.0","2,505,037.0","2,536,873.0","2,551,298.0","2,569,933.0","2,583,333.0","2,619,656.0","2,612,305.0","2,640,421.0","2,652,148.0","2,692,236.0","2,712,270.0","2,734,317.0","2,774,082.0","2,826,780.0","2,837,705.0","2,900,298.0","2,921,385.0","2,964,497.0","3,028,655.0","3,084,558.0","3,111,933.0","3,149,284.0","3,213,111.0","3,257,502.0","3,286,797.0","3,341,477.0","3,398,312.0","3,461,576.0","3,477,945.0","3,496,585.0","3,591,872.0","3,625,342.0","3,672,261.0","3,724,719.0","3,828,815.0","3,880,841.0","3,946,391.0","4,009,366.0","4,064,518.0","4,137,255.0","4,197,847.0","4,191,977.0","4,344,013.0","4,407,947.0","4,450,715.0","4,517,456.0","4,613,533.0","4,798,488.0","4,801,287.0","4,737,314.0","4,790,298.0","5,044,954.0","5,078,404.0","5,081,456.0","5,189,646.0","5,268,590.0","5,316,390.0","5,362,575.0"
"55","35","    Gross government investment","A782RC1","45,359.0","43,391.0","43,601.0","40,720.0","42,797.0","42,619.0","44,078.0","44,814.0","41,664.0","41,771.0","42,330.0","41,271.0","42,290.0","42,895.0","41,093.0","44,284.0","47,510.0","46,712.0","45,630.0","47,532.0","51,482.0","56,522.0","57,978.0","59,045.0","62,642.0","58,055.0","63,888.0","67,817.0","70,448.0","65,849.0","65,307.0","63,976.0","66,879.0","69,065.0","67,598.0","66,471.0","66,420.0","77,008.0","80,671.0","84,168.0","79,107.0","85,413.0","93,692.0","95,686.0","101,744.0","99,905.0","97,871.0","101,492.0","107,597.0","105,463.0","105,208.0","109,270.0","106,746.0","112,824.0","112,275.0","117,412.0","117,879.0","119,734.0","125,803.0","127,987.0","132,963.0","137,050.0","139,129.0","148,267.0","149,149.0","157,945.0","165,010.0","163,105.0","165,054.0","170,507.0","181,109.0","176,234.0","178,888.0","183,660.0","187,910.0","186,663.0","181,507.0","186,329.0","186,317.0","190,442.0","191,117.0","195,076.0","202,181.0","202,303.0","212,443.0","213,729.0","215,821.0","221,004.0","216,444.0","221,271.0","221,978.0","221,505.0","227,096.0","224,616.0","221,310.0","219,398.0","215,943.0","220,901.0","219,033.0","221,842.0","210,567.0","217,345.0","228,955.0","226,796.0","230,960.0","235,058.0","231,388.0","232,987.0","239,296.0","242,372.0","245,915.0","249,321.0","253,774.0","253,009.0","253,897.0","248,770.0","246,615.0","258,599.0","273,044.0","273,153.0","276,526.0","283,688.0","289,073.0","300,152.0","303,417.0","300,850.0","305,278.0","307,757.0","312,432.0","330,855.0","314,237.0","330,615.0","337,855.0","340,734.0","346,787.0","348,509.0","348,977.0","351,605.0","361,777.0","360,788.0","361,341.0","372,203.0","377,938.0","378,000.0","377,639.0","387,379.0","396,641.0","406,401.0","409,677.0","427,391.0","427,573.0","435,580.0","443,822.0","455,037.0","460,219.0","466,761.0","472,641.0","494,738.0","506,214.0","508,533.0","498,177.0","506,293.0","508,511.0","500,531.0","490,954.0","505,633.0","519,278.0","522,599.0"
"56","36","    Capital transfer payments","W069RC1","84.0","76.0","76.0","80.0","104.0","132.0","112.0","172.0","176.0","132.0","140.0","172.0","196.0","236.0","304.0","160.0","192.0","184.0","188.0","212.0","232.0","268.0","248.0","288.0","304.0","296.0","296.0","296.0","296.0","252.0","228.0","220.0","164.0","284.0","252.0","200.0","228.0","252.0","264.0","260.0","296.0","336.0","376.0","396.0","412.0","412.0","336.0","456.0","316.0","276.0","304.0","400.0","384.0","356.0","272.0","236.0","172.0","144.0","132.0","108.0","108.0","96.0","104.0","116.0","136.0","164.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","180.0","388.0","172.0","172.0","2,596.0","160.0","400.0","156.0","140.0","3,588.0","1,048.0","200.0","204.0","208.0","1,972.0","180.0","208.0","196.0","196.0","204.0","220.0","500.0","600.0","292.0","228.0","212.0","288.0","252.0","288.0","280.0","316.0","17,032.0","404.0","400.0","468.0","208.0","260.0","240.0","276.0","356.0","404.0","420.0","704.0","15,084.0","15,224.0","20,176.0","17,396.0","15,680.0","16,376.0","16,480.0","36,640.0","16,980.0","24,784.0","16,452.0","87,132.0","40,972.0","21,792.0","18,852.0","16,904.0","15,924.0","27,036.0","27,256.0","27,308.0","34,936.0","34,952.0","35,004.0","46,656.0","301,852.0","256,760.0","174,880.0","90,168.0","125,244.0","106,916.0","137,300.0","61,700.0","54,432.0"
"57","37","    Net purchases of nonproduced assets","AD07RC1","1,139.0","1,175.0","1,057.0","997.0","868.0","717.0","1,020.0","739.0","-838.0","1,801.0","1,928.0","1,893.0","1,924.0","1,911.0","1,292.0","-1,331.0","-3,543.0","560.0","-3,057.0","152.0","-1,928.0","-12,064.0","2,129.0","-3,265.0","1,205.0","1,371.0","1,713.0","1,831.0","1,026.0","-1,193.0","-2,599.0","294.0","1,726.0","620.0","-1,903.0","173.0","1,693.0","-1,566.0","2,692.0","1,157.0","-859.0","1,453.0","-1,004.0","-4,122.0","-877.0","2,532.0","-81.0","-10,630.0","2,143.0","-3,339.0","-11,044.0","-1,892.0","-1,452.0","1,066.0","1,622.0","-7,568.0","2,234.0","-12,397.0","-2,883.0","2,342.0","-362.0","-3,681.0","-1,651.0","322.0","3,088.0","2,850.0","-1,332.0","3,054.0","3,471.0","-3,784.0","3,784.0","-699.0","4,072.0","3,988.0","3,424.0","3,552.0","4,443.0","6,739.0","2,007.0","3,643.0","4,753.0","3,265.0","4,294.0","4,448.0","5,126.0","4,388.0","4,435.0","6,051.0","6,031.0","6,033.0","6,022.0","6,038.0","6,137.0","6,140.0","6,102.0","6,077.0","6,117.0","6,060.0","6,048.0","6,159.0","6,070.0","5,276.0","7,746.0","6,384.0","6,920.0","4,341.0","-20,943.0","6,422.0","5,528.0","6,077.0","6,376.0","-9,025.0","4,852.0","-21,212.0","4,380.0","4,936.0","3,243.0","-3,797.0","2,702.0","5,012.0","7,923.0","7,856.0","8,874.0","8,359.0","8,565.0","7,293.0","9,062.0","8,480.0","5,597.0","8,678.0","12,698.0","10,843.0","11,243.0","11,166.0","11,925.0","11,622.0","8,602.0","10,686.0","14,881.0","10,823.0","11,618.0","10,785.0","13,129.0","10,012.0","10,805.0","9,628.0","8,467.0","10,220.0","10,676.0","8,519.0","12,127.0","-40,166.0","11,682.0","9,443.0","16,407.0","12,628.0","6,485.0","-9,881.0","7,206.0","-24,842.0","-13,584.0","10,626.0","15,106.0","13,100.0","13,702.0","13,420.0","16,308.0","14,814.0"
