"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"35","16","  Retail trade","A153RX1","-1,373.0","1,731.0","-3,236.0","9,695.0","10,312.0","1,182.0","2,199.0","4,367.0","-4,075.0","-1,884.0","8,189.0","-6,929.0","2,029.0","5,616.0","9,461.0","12,679.0","10,008.0","1,915.0","-7,278.0","-3,569.0","-5,684.0","-4,708.0","3,999.0","5,811.0","1,881.0","4,690.0","1,776.0","-2,605.0","467.0","590.0","1,538.0","-2,184.0","8,841.0","5,548.0","3,980.0","7,123.0","1,494.0","407.0","-1,289.0","367.0","523.0","4,076.0","3,688.0","1,993.0","-4,478.0","-2,803.0","-212.0","2,500.0","5,212.0","8,471.0","974.0","-981.0","16,351.0","745.0","2,358.0","-1,290.0","-9,972.0","569.0","2,454.0","1,629.0","5,386.0","2,695.0","5,281.0","5,871.0","3,651.0","85.0","4,390.0","7,819.0","6,245.0","7,814.0","6,862.0","-4,232.0","15,379.0","6,686.0","3,383.0","7,265.0","8,559.0","13,075.0","-816.0","8,329.0","1,615.0","-3,244.0","-3,788.0","5,304.0","8,575.0","8,935.0","-618.0","16,131.0","4,833.0","4,720.0","12,619.0","6,987.0"
"36","17","    Durable goods","C630RX1","6,287.0","1,595.0","1,860.0","1,655.0","7,373.0","847.0","381.0","1,929.0","-2,100.0","-3,443.0","9,062.0","-7,484.0","-2,780.0","3,836.0","3,905.0","13,313.0","3,289.0","3,567.0","-1,014.0","-2,891.0","-3,045.0","-3,101.0","402.0","3,627.0","2,771.0","2,288.0","2,865.0","-3,113.0","-1,475.0","346.0","111.0","-2,207.0","4,999.0","4,717.0","928.0","3,704.0","1,125.0","-3,049.0","-1,758.0","-381.0","-265.0","3,156.0","3,498.0","2,151.0","-4,131.0","-3,601.0","-1,753.0","877.0","3,130.0","4,875.0","-996.0","-2,995.0","10,293.0","1,601.0","704.0","-616.0","-8,423.0","-1,108.0","-1,095.0","-586.0","1,019.0","307.0","4,023.0","2,467.0","569.0","-966.0","2,414.0","6,116.0","4,430.0","2,949.0","4,019.0","-5,615.0","10,763.0","4,621.0","3,125.0","2,027.0","4,549.0","8,576.0","-2,131.0","3,869.0","-3,659.0","-4,630.0","-2,854.0","2,921.0","5,030.0","8,245.0","-3,066.0","13,219.0","1,861.0","-384.0","8,374.0","4,488.0"
"37","18","      Motor vehicle dealers \2\","C631RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,082.0","4,918.0","-1,849.0","-4,141.0","11,544.0","2,139.0","935.0","-838.0","-8,821.0","58.0","-32.0","35.0","946.0","-261.0","3,057.0","3,100.0","1,404.0","-1,003.0","1,766.0","5,756.0","3,353.0","1,591.0","4,836.0","-8,843.0","8,901.0","5,934.0","3,126.0","3,680.0","777.0","6,760.0","-4,292.0","5,642.0","-3,755.0","-7,427.0","-4,448.0","3,533.0","4,928.0","6,688.0","-5,325.0","13,366.0","688.0","-1,607.0","6,361.0","3,998.0"
"38","19","      Other \2\","A632RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","378.0","517.0","527.0","518.0","265.0","-211.0","-91.0","91.0","-683.0","-987.0","-909.0","-525.0","171.0","457.0","1,174.0","-185.0","-552.0","-88.0","759.0","984.0","1,318.0","1,350.0","-92.0","1,653.0","2,668.0","-379.0","390.0","-930.0","3,271.0","2,398.0","1,231.0","-742.0","-392.0","1,402.0","794.0","-67.0","694.0","2,147.0","1,241.0","1,573.0","1,075.0","829.0","2,499.0","912.0"
"39","20","    Nondurable goods","C633RX1","-6,560.0","216.0","-4,590.0","7,488.0","3,114.0","332.0","1,679.0","2,330.0","-1,920.0","1,530.0","-933.0","585.0","4,702.0","1,679.0","5,374.0","-634.0","6,493.0","-1,601.0","-6,075.0","-655.0","-2,546.0","-1,526.0","3,545.0","2,077.0","-970.0","2,322.0","-1,190.0","614.0","1,999.0","236.0","1,431.0","116.0","3,645.0","605.0","3,043.0","3,267.0","311.0","3,782.0","610.0","809.0","833.0","709.0","-70.0","-336.0","-17.0","1,144.0","1,766.0","1,634.0","1,899.0","3,326.0","2,172.0","2,406.0","5,433.0","-1,030.0","1,675.0","-648.0","-930.0","1,843.0","3,805.0","2,358.0","4,473.0","2,466.0","987.0","3,349.0","3,161.0","1,162.0","1,868.0","1,310.0","1,560.0","4,833.0","2,662.0","1,832.0","4,044.0","1,849.0","94.0","5,268.0","3,861.0","4,160.0","1,437.0","4,355.0","5,598.0","1,683.0","-784.0","2,284.0","3,327.0","223.0","2,674.0","2,210.0","2,930.0","5,230.0","3,904.0","2,314.0"
"40","21","  Other","A154RX1","-3,334.0","1,197.0","3,606.0","3,747.0","-2,156.0","-394.0","157.0","589.0","0.0","-2,623.0","-3,770.0","-4,076.0","1,063.0","921.0","1,728.0","8,075.0","1,273.0","2,459.0","2,952.0","4,267.0","3,606.0","1,193.0","-268.0","-3,556.0","-1,969.0","-3,846.0","-2,608.0","-3,017.0","616.0","-329.0","122.0","214.0","-1,438.0","157.0","-1,246.0","-2,107.0","2,822.0","1,881.0","1,927.0","4,087.0","1,472.0","-195.0","3,304.0","2,894.0","-27.0","0.0","-92.0","-96.0","608.0","2,264.0","564.0","2,740.0","121.0","2,544.0","1,507.0","303.0","2,729.0","3,610.0","2,769.0","5,667.0","-337.0","710.0","-397.0","-469.0","3,192.0","2,986.0","1,052.0","3,641.0","1,510.0","4,886.0","2,402.0","1,644.0","1,586.0","3,393.0","944.0","1,741.0","-72.0","-445.0","1,287.0","4,207.0","2,806.0","5,254.0","8,065.0","6,504.0","2,958.0","18.0","2,793.0","321.0","2,699.0","4,552.0","3,400.0","757.0"
"41","22","    Durable goods","C636RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","895.0","341.0","-521.0","522.0","60.0","-41.0","165.0","624.0","1,438.0","829.0","1,436.0","1,358.0","480.0","499.0","396.0","-126.0","420.0","272.0","-165.0","-644.0","786.0","535.0","-617.0","494.0","1,086.0","1,184.0","-101.0","-101.0","-1,101.0","-823.0","-157.0","848.0","-550.0","825.0","1,126.0","947.0","-1,054.0","-1,561.0","-1,086.0","-1,024.0","-1,797.0","-77.0","2,228.0","-403.0"
"42","23","    Nondurable goods","C637RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-422.0","1,902.0","1,192.0","2,177.0","52.0","2,637.0","1,339.0","-413.0","1,120.0","2,709.0","1,128.0","4,182.0","-904.0","135.0","-867.0","-325.0","2,753.0","2,716.0","1,264.0","4,462.0","609.0","4,345.0","3,182.0","1,093.0","363.0","2,084.0","1,081.0","1,886.0","1,167.0","478.0","1,470.0","3,298.0","3,441.0","4,397.0","6,903.0","5,522.0","4,176.0","1,805.0","4,106.0","1,542.0","4,912.0","4,702.0","846.0","1,183.0"
"43","24","Residual","A969RX1","-200.0","-3,400.0","-6,900.0","-5,400.0","1,000.0","2,300.0","2,100.0","2,200.0","-1,200.0","1,300.0","1,900.0","1,700.0","-1,300.0","-1,800.0","0.0","-7,900.0","-1,600.0","-6,300.0","-5,200.0","-2,700.0","-2,500.0","2,300.0","1,800.0","1,800.0","1,700.0","2,200.0","2,100.0","2,100.0","0.0","-500.0","100.0","-900.0","1,000.0","-200.0","600.0","2,100.0","500.0","-500.0","-2,300.0","-1,100.0","-200.0","1,400.0","600.0","-1,500.0","-1,400.0","-300.0","800.0","-100.0","-100.0","-900.0","-2,700.0","-2,300.0","2,900.0","-1,900.0","200.0","-1,800.0","-4,500.0","-2,600.0","900.0","-900.0","2,900.0","-500.0","1,700.0","-300.0","900.0","-600.0","-1,100.0","-3,200.0","-300.0","-1,200.0","-200.0","700.0","2,200.0","900.0","2,300.0","-400.0","1,900.0","500.0","4,300.0","-1,500.0","700.0","1,800.0","-2,300.0","-2,000.0","1,000.0","1,300.0","-400.0","-500.0","1,000.0","-400.0","-1,200.0","1,600.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1986 and earlier periods are based on the 1972 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(SIC). Manufacturing estimates for 1981 and earlier periods and trade estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for for 1966 and earlier periods are based on the 1972 SIC; later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","for these industries are based on the 1987 SIC. The resulting discontinuities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Chained (2005) dollar series for real change in private inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","calculated as the period-to-period change in chained-dollar end-of-period inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Quarterly changes in end-of-period inventories are stated at annual rates. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","formula for the chain-type quantity indexes uses weights of  more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
