"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"141","2","   Compensation of employees, received","W209RC1","6,214,630.0","6,242,243.0","6,276,469.0","6,293,020.0","6,340,272.0","6,364,888.0","6,373,190.0","6,401,454.0","6,427,183.0","6,466,882.0","6,508,156.0","6,502,674.0","6,529,233.0","6,537,256.0","6,563,360.0","6,608,742.0","6,671,753.0","6,693,148.0","6,746,876.0","6,785,848.0","6,811,173.0","6,841,866.0","6,843,815.0","6,867,811.0","6,906,141.0","6,924,261.0","6,932,925.0","6,973,754.0","6,999,851.0","7,037,088.0","7,105,600.0","7,126,916.0","7,152,656.0","7,171,819.0","7,183,632.0","7,205,879.0","7,325,985.0","7,385,538.0","7,409,586.0","7,432,330.0","7,402,254.0","7,425,101.0","7,456,872.0","7,475,328.0","7,520,078.0","7,569,761.0","7,617,468.0","7,688,652.0","7,745,280.0","7,787,864.0","7,811,000.0","7,807,482.0","7,805,620.0","7,830,003.0","7,849,459.0","7,851,151.0","7,905,031.0","7,926,379.0","7,984,231.0","8,042,294.0","8,063,637.0","8,077,202.0","8,105,731.0","8,076,643.0","8,074,384.0","8,080,992.0","8,071,579.0","8,092,589.0","8,084,632.0","8,087,405.0","8,046,143.0","7,928,657.0","7,825,888.0","7,764,727.0","7,742,428.0","7,803,030.0","7,834,667.0","7,819,447.0","7,793,053.0","7,810,144.0","7,792,881.0","7,813,149.0","7,838,696.0","7,842,386.0","7,855,001.0","7,850,951.0","7,868,310.0","7,939,109.0","7,985,830.0","7,984,823.0","8,016,711.0","8,040,872.0","8,050,899.0","8,092,432.0","8,092,835.0","8,115,763.0","8,147,399.0","8,167,819.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","3","     Wage and salary disbursements","A576RC1","5,031,470.0","5,047,035.0","5,070,185.0","5,078,443.0","5,116,660.0","5,134,488.0","5,137,466.0","5,160,225.0","5,181,046.0","5,215,909.0","5,253,530.0","5,248,724.0","5,266,055.0","5,273,413.0","5,298,717.0","5,340,283.0","5,398,285.0","5,416,705.0","5,464,872.0","5,498,453.0","5,518,375.0","5,541,302.0","5,537,248.0","5,554,581.0","5,575,472.0","5,586,509.0","5,590,562.0","5,626,361.0","5,648,137.0","5,680,492.0","5,739,756.0","5,756,838.0","5,778,428.0","5,795,755.0","5,806,400.0","5,827,080.0","5,935,154.0","5,989,889.0","6,011,642.0","6,031,179.0","6,002,139.0","6,022,476.0","6,051,647.0","6,067,303.0","6,107,351.0","6,152,313.0","6,195,390.0","6,260,234.0","6,317,117.0","6,359,627.0","6,382,635.0","6,378,084.0","6,374,676.0","6,395,632.0","6,411,857.0","6,411,522.0","6,459,310.0","6,475,038.0","6,523,864.0","6,571,332.0","6,583,115.0","6,590,427.0","6,614,293.0","6,579,612.0","6,572,413.0","6,573,247.0","6,560,909.0","6,576,765.0","6,565,925.0","6,564,054.0","6,520,428.0","6,407,334.0","6,307,290.0","6,248,198.0","6,224,578.0","6,276,879.0","6,301,751.0","6,284,338.0","6,259,579.0","6,274,451.0","6,257,633.0","6,272,055.0","6,291,234.0","6,291,454.0","6,291,304.0","6,284,835.0","6,298,119.0","6,362,374.0","6,403,710.0","6,400,387.0","6,428,189.0","6,447,998.0","6,454,966.0","6,491,208.0","6,489,100.0","6,508,338.0","6,527,676.0","6,544,335.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","4","       Private industries","A132RC1","4,132,458.0","4,142,896.0","4,163,074.0","4,169,568.0","4,203,394.0","4,215,171.0","4,220,678.0","4,244,853.0","4,266,346.0","4,297,633.0","4,333,634.0","4,325,576.0","4,330,060.0","4,333,501.0","4,353,341.0","4,386,881.0","4,447,400.0","4,464,332.0","4,511,003.0","4,542,449.0","4,560,727.0","4,581,038.0","4,573,876.0","4,589,985.0","4,594,592.0","4,603,625.0","4,607,006.0","4,640,777.0","4,660,417.0","4,690,960.0","4,746,960.0","4,762,950.0","4,781,744.0","4,797,967.0","4,804,748.0","4,822,176.0","4,919,642.0","4,970,837.0","4,989,158.0","5,005,695.0","4,973,967.0","4,991,184.0","5,015,615.0","5,027,227.0","5,060,519.0","5,102,865.0","5,143,002.0","5,205,194.0","5,245,037.0","5,282,363.0","5,302,851.0","5,297,340.0","5,292,456.0","5,310,640.0","5,324,321.0","5,319,030.0","5,361,598.0","5,374,854.0","5,419,828.0","5,462,040.0","5,460,875.0","5,463,063.0","5,482,801.0","5,445,012.0","5,434,573.0","5,431,003.0","5,413,961.0","5,425,965.0","5,410,925.0","5,405,214.0","5,359,716.0","5,247,654.0","5,139,114.0","5,081,234.0","5,057,002.0","5,103,339.0","5,125,175.0","5,105,722.0","5,082,799.0","5,098,031.0","5,084,105.0","5,097,231.0","5,116,182.0","5,116,654.0","5,107,558.0","5,099,651.0","5,110,534.0","5,172,226.0","5,207,826.0","5,207,023.0","5,236,313.0","5,264,006.0","5,275,042.0","5,307,060.0","5,305,024.0","5,323,050.0","5,339,832.0","5,356,215.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","5","       Government","B202RC1","899,012.0","904,139.0","907,111.0","908,875.0","913,266.0","919,317.0","916,788.0","915,372.0","914,700.0","918,276.0","919,896.0","923,148.0","935,995.0","939,912.0","945,376.0","953,402.0","950,885.0","952,373.0","953,869.0","956,004.0","957,648.0","960,264.0","963,372.0","964,596.0","980,880.0","982,884.0","983,556.0","985,584.0","987,720.0","989,532.0","992,796.0","993,888.0","996,684.0","997,788.0","1,001,652.0","1,004,904.0","1,015,512.0","1,019,052.0","1,022,484.0","1,025,484.0","1,028,172.0","1,031,292.0","1,036,032.0","1,040,076.0","1,046,832.0","1,049,448.0","1,052,388.0","1,055,040.0","1,072,080.0","1,077,264.0","1,079,784.0","1,080,744.0","1,082,220.0","1,084,992.0","1,087,536.0","1,092,492.0","1,097,712.0","1,100,184.0","1,104,036.0","1,109,292.0","1,122,240.0","1,127,364.0","1,131,492.0","1,134,600.0","1,137,840.0","1,142,244.0","1,146,948.0","1,150,800.0","1,155,000.0","1,158,840.0","1,160,712.0","1,159,680.0","1,168,176.0","1,166,964.0","1,167,576.0","1,173,540.0","1,176,576.0","1,178,616.0","1,176,780.0","1,176,420.0","1,173,528.0","1,174,824.0","1,175,052.0","1,174,800.0","1,183,746.0","1,185,184.0","1,187,585.0","1,190,148.0","1,195,884.0","1,193,364.0","1,191,876.0","1,183,992.0","1,179,924.0","1,184,148.0","1,184,076.0","1,185,288.0","1,187,844.0","1,188,120.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","6","     Supplements to wages and salaries","A038RC1","1,183,160.0","1,195,208.0","1,206,284.0","1,214,577.0","1,223,612.0","1,230,400.0","1,235,724.0","1,241,229.0","1,246,137.0","1,250,973.0","1,254,626.0","1,253,950.0","1,263,178.0","1,263,843.0","1,264,643.0","1,268,459.0","1,273,468.0","1,276,443.0","1,282,004.0","1,287,395.0","1,292,798.0","1,300,564.0","1,306,567.0","1,313,230.0","1,330,669.0","1,337,752.0","1,342,363.0","1,347,393.0","1,351,714.0","1,356,596.0","1,365,844.0","1,370,078.0","1,374,228.0","1,376,064.0","1,377,232.0","1,378,799.0","1,390,831.0","1,395,649.0","1,397,944.0","1,401,151.0","1,400,115.0","1,402,625.0","1,405,225.0","1,408,025.0","1,412,727.0","1,417,448.0","1,422,078.0","1,428,418.0","1,428,163.0","1,428,237.0","1,428,365.0","1,429,398.0","1,430,944.0","1,434,371.0","1,437,602.0","1,439,629.0","1,445,721.0","1,451,341.0","1,460,367.0","1,470,962.0","1,480,522.0","1,486,775.0","1,491,438.0","1,497,031.0","1,501,971.0","1,507,745.0","1,510,670.0","1,515,824.0","1,518,707.0","1,523,351.0","1,525,715.0","1,521,323.0","1,518,598.0","1,516,529.0","1,517,850.0","1,526,151.0","1,532,916.0","1,535,109.0","1,533,474.0","1,535,693.0","1,535,248.0","1,541,094.0","1,547,462.0","1,550,932.0","1,563,697.0","1,566,116.0","1,570,191.0","1,576,735.0","1,582,120.0","1,584,436.0","1,588,522.0","1,592,874.0","1,595,933.0","1,601,224.0","1,603,735.0","1,607,425.0","1,619,723.0","1,623,484.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","7","   Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","887,411.0","886,490.0","894,951.0","904,472.0","920,999.0","931,925.0","938,805.0","944,850.0","953,653.0","957,693.0","966,445.0","980,062.0","985,504.0","1,001,073.0","1,019,715.0","1,022,453.0","1,031,446.0","1,035,356.0","1,036,431.0","1,039,153.0","1,044,573.0","1,063,262.0","1,065,616.0","1,060,488.0","1,051,820.0","1,043,120.0","1,045,515.0","1,043,623.0","1,052,115.0","1,066,164.0","1,076,816.0","1,080,624.0","1,090,274.0","1,091,518.0","1,095,795.0","1,099,998.0","1,123,803.0","1,125,959.0","1,130,989.0","1,131,629.0","1,134,412.0","1,133,612.0","1,129,823.0","1,133,019.0","1,130,634.0","1,135,740.0","1,139,092.0","1,146,848.0","1,105,088.0","1,103,834.0","1,100,140.0","1,092,726.0","1,089,595.0","1,087,767.0","1,084,641.0","1,077,187.0","1,075,979.0","1,079,906.0","1,087,771.0","1,099,704.0","1,099,035.0","1,104,412.0","1,118,418.0","1,114,823.0","1,116,071.0","1,117,466.0","1,117,730.0","1,117,097.0","1,099,754.0","1,088,578.0","1,076,412.0","1,054,035.0","1,036,008.0","1,017,125.0","1,002,886.0","1,001,036.0","999,712.0","1,000,890.0","1,003,150.0","1,007,907.0","1,008,262.0","1,015,734.0","1,025,186.0","1,025,343.0","1,027,048.0","1,028,014.0","1,037,184.0","1,049,179.0","1,051,679.0","1,048,335.0","1,050,490.0","1,061,300.0","1,066,741.0","1,073,547.0","1,079,507.0","1,087,438.0","1,091,609.0","1,094,511.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","8","     Farm","B042RC1","27,986.0","29,617.0","32,131.0","35,750.0","37,896.0","38,824.0","38,688.0","38,345.0","37,952.0","37,389.0","39,555.0","44,285.0","51,083.0","55,203.0","56,253.0","54,225.0","52,028.0","49,617.0","47,015.0","43,086.0","41,815.0","48,774.0","49,252.0","47,603.0","44,917.0","43,056.0","43,049.0","45,266.0","46,546.0","47,287.0","47,663.0","43,693.0","45,479.0","43,230.0","40,222.0","36,102.0","30,856.0","27,718.0","26,744.0","27,957.0","28,567.0","28,579.0","28,046.0","28,140.0","28,914.0","30,455.0","32,101.0","33,942.0","35,787.0","36,557.0","36,245.0","34,850.0","33,915.0","33,439.0","33,422.0","34,601.0","36,976.0","40,548.0","45,417.0","51,584.0","59,041.0","62,152.0","60,910.0","55,315.0","51,949.0","50,813.0","51,906.0","51,089.0","48,364.0","43,729.0","39,395.0","35,361.0","31,631.0","29,208.0","28,096.0","28,294.0","28,128.0","27,596.0","26,700.0","27,460.0","29,877.0","33,951.0","36,667.0","38,025.0","37,388.0","36,789.0","36,191.0","37,580.0","38,933.0","40,289.0","44,425.0","48,522.0","52,614.0","54,012.0","55,512.0","57,009.0","57,480.0","57,954.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","9","     Nonfarm","A045RC1","859,425.0","856,873.0","862,820.0","868,721.0","883,103.0","893,101.0","900,117.0","906,505.0","915,701.0","920,304.0","926,890.0","935,777.0","934,421.0","945,870.0","963,462.0","968,228.0","979,417.0","985,739.0","989,416.0","996,067.0","1,002,758.0","1,014,489.0","1,016,364.0","1,012,885.0","1,006,903.0","1,000,063.0","1,002,466.0","998,357.0","1,005,569.0","1,018,877.0","1,029,152.0","1,036,931.0","1,044,796.0","1,048,288.0","1,055,573.0","1,063,897.0","1,092,947.0","1,098,241.0","1,104,245.0","1,103,672.0","1,105,845.0","1,105,033.0","1,101,777.0","1,104,878.0","1,101,720.0","1,105,285.0","1,106,990.0","1,112,906.0","1,069,301.0","1,067,277.0","1,063,895.0","1,057,876.0","1,055,680.0","1,054,329.0","1,051,220.0","1,042,586.0","1,039,002.0","1,039,358.0","1,042,354.0","1,048,120.0","1,039,994.0","1,042,260.0","1,057,507.0","1,059,508.0","1,064,122.0","1,066,653.0","1,065,824.0","1,066,007.0","1,051,390.0","1,044,849.0","1,037,018.0","1,018,675.0","1,004,377.0","987,917.0","974,790.0","972,742.0","971,585.0","973,294.0","976,450.0","980,447.0","978,384.0","981,782.0","988,518.0","987,318.0","989,659.0","991,226.0","1,000,994.0","1,011,600.0","1,012,746.0","1,008,046.0","1,006,065.0","1,012,777.0","1,014,127.0","1,019,535.0","1,023,995.0","1,030,429.0","1,034,129.0","1,036,557.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","10","   Rental income of persons with capital consumption adjustment","A048RC1","207,361.0","210,413.0","211,403.0","210,354.0","205,462.0","196,751.0","184,589.0","182,629.0","191,245.0","210,152.0","219,773.0","219,826.0","210,193.0","203,356.0","199,198.0","197,679.0","196,862.0","196,700.0","197,485.0","197,097.0","195,828.0","196,988.0","195,260.0","193,953.0","192,270.0","190,849.0","188,894.0","185,578.0","181,897.0","177,029.0","171,278.0","167,865.0","165,945.0","172,006.0","172,603.0","172,309.0","165,548.0","160,228.0","158,203.0","157,183.0","154,073.0","148,252.0","143,327.0","139,722.0","137,974.0","134,985.0","131,913.0","126,835.0","121,175.0","120,712.0","125,426.0","134,567.0","140,492.0","144,408.0","143,196.0","145,760.0","151,514.0","159,469.0","166,386.0","171,849.0","176,486.0","181,824.0","188,958.0","196,453.0","205,468.0","216,022.0","226,753.0","237,229.0","247,410.0","258,168.0","263,438.0","266,311.0","264,425.0","264,509.0","265,102.0","266,655.0","269,059.0","272,367.0","276,503.0","279,358.0","281,500.0","283,040.0","283,047.0","282,337.0","287,447.0","292,529.0","298,048.0","298,068.0","298,846.0","299,616.0","301,196.0","303,592.0","306,722.0","307,345.0","308,253.0","309,458.0","317,687.0","325,987.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","11","   Personal income receipts on assets","W210RC1","1,297,999.0","1,298,901.0","1,300,694.0","1,302,489.0","1,306,133.0","1,309,914.0","1,311,067.0","1,312,382.0","1,313,707.0","1,323,480.0","1,333,638.0","1,344,405.0","1,345,840.0","1,349,945.0","1,354,289.0","1,363,791.0","1,372,934.0","1,382,090.0","1,390,125.0","1,395,876.0","1,400,472.0","1,405,824.0","1,415,438.0","1,725,279.0","1,446,175.0","1,459,852.0","1,473,011.0","1,487,712.0","1,506,531.0","1,526,987.0","1,542,786.0","1,559,959.0","1,578,492.0","1,607,967.0","1,640,163.0","1,674,340.0","1,691,331.0","1,710,862.0","1,731,084.0","1,778,497.0","1,818,181.0","1,855,060.0","1,866,510.0","1,881,456.0","1,896,060.0","1,903,490.0","1,909,318.0","1,914,251.0","1,924,366.0","1,952,095.0","2,001,093.0","2,037,707.0","2,060,158.0","2,053,220.0","2,077,708.0","2,097,966.0","2,120,403.0","2,122,737.0","2,116,421.0","2,120,361.0","2,122,155.0","2,128,490.0","2,120,143.0","2,118,161.0","2,111,874.0","2,114,077.0","2,125,752.0","2,131,230.0","2,132,296.0","2,096,438.0","2,069,826.0","2,041,005.0","2,006,633.0","1,970,569.0","1,941,051.0","1,927,380.0","1,925,529.0","1,924,806.0","1,905,434.0","1,889,327.0","1,878,529.0","1,870,693.0","1,880,799.0","1,915,943.0","1,913,324.0","1,916,120.0","1,903,751.0","1,911,051.0","1,914,969.0","1,917,321.0","1,902,794.0","1,887,956.0","1,878,468.0","1,893,368.0","1,913,075.0","1,938,600.0","1,947,440.0","1,955,133.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","12","     Personal interest income","A064RC1","897,243.0","898,316.0","899,008.0","898,432.0","898,433.0","897,300.0","892,269.0","886,127.0","878,725.0","878,500.0","877,389.0","875,615.0","863,238.0","855,007.0","848,486.0","848,599.0","849,826.0","852,539.0","855,606.0","857,862.0","860,437.0","865,242.0","875,783.0","889,873.0","912,796.0","928,545.0","941,975.0","955,145.0","970,632.0","985,954.0","994,816.0","1,003,251.0","1,011,245.0","1,028,378.0","1,046,431.0","1,064,663.0","1,063,908.0","1,066,650.0","1,071,042.0","1,103,583.0","1,129,353.0","1,153,275.0","1,152,728.0","1,156,635.0","1,161,157.0","1,159,464.0","1,157,127.0","1,154,853.0","1,181,632.0","1,205,463.0","1,229,021.0","1,238,545.0","1,248,584.0","1,258,492.0","1,274,470.0","1,291,448.0","1,308,880.0","1,312,680.0","1,315,163.0","1,317,280.0","1,315,452.0","1,313,637.0","1,311,886.0","1,315,063.0","1,315,611.0","1,315,091.0","1,325,390.0","1,334,416.0","1,342,299.0","1,312,813.0","1,294,694.0","1,280,253.0","1,260,426.0","1,240,587.0","1,220,520.0","1,225,087.0","1,229,632.0","1,233,946.0","1,223,020.0","1,213,175.0","1,203,712.0","1,196,957.0","1,203,743.0","1,216,603.0","1,212,647.0","1,208,690.0","1,204,734.0","1,205,013.0","1,205,292.0","1,205,570.0","1,190,132.0","1,174,693.0","1,159,255.0","1,175,056.0","1,190,857.0","1,206,659.0","1,205,674.0","1,204,689.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","13","     Personal dividend income","B703RC1","400,756.0","400,585.0","401,686.0","404,057.0","407,700.0","412,614.0","418,799.0","426,255.0","434,982.0","444,980.0","456,249.0","468,790.0","482,601.0","494,939.0","505,803.0","515,193.0","523,109.0","529,551.0","534,519.0","538,014.0","540,035.0","540,582.0","539,655.0","835,406.0","533,380.0","531,307.0","531,036.0","532,567.0","535,899.0","541,034.0","547,970.0","556,708.0","567,247.0","579,589.0","593,732.0","609,677.0","627,423.0","644,212.0","660,042.0","674,914.0","688,828.0","701,784.0","713,782.0","724,822.0","734,903.0","744,026.0","752,191.0","759,398.0","742,734.0","746,632.0","772,072.0","799,162.0","811,574.0","794,728.0","803,238.0","806,518.0","811,523.0","810,057.0","801,258.0","803,080.0","806,703.0","814,853.0","808,257.0","803,098.0","796,264.0","798,986.0","800,362.0","796,814.0","789,997.0","783,625.0","775,132.0","760,752.0","746,207.0","729,983.0","720,532.0","702,293.0","695,897.0","690,860.0","682,414.0","676,152.0","674,817.0","673,735.0","677,057.0","699,340.0","700,677.0","707,430.0","699,017.0","706,038.0","709,678.0","711,751.0","712,662.0","713,262.0","719,213.0","718,312.0","722,218.0","731,941.0","741,766.0","750,444.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
