"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"32","12","  Net domestic product","A362RX1","1,627,485.0","1,626,270.0","1,625,679.0","1,654,046.0","1,683,580.0","1,718,499.0","1,728,828.0","1,731,861.0","1,704,450.0","1,697,083.0","1,718,022.0","1,699,502.0","1,775,975.0","1,835,310.0","1,914,059.0","1,949,881.0","1,975,282.0","2,009,444.0","2,051,615.0","2,052,936.0","2,073,171.0","2,072,753.0","2,085,336.0","2,158,883.0","2,200,415.0","2,215,632.0","2,197,793.0","2,156,132.0","2,141,625.0","2,142,050.0","2,166,437.0","2,212,592.0","2,281,414.0","2,321,116.0","2,353,251.0","2,365,562.0","2,350,985.0","2,369,201.0","2,363,327.0","2,404,518.0","2,418,983.0","2,409,933.0","2,433,339.0","2,401,550.0","2,325,136.0","2,338,569.0","2,398,198.0","2,459,714.0","2,514,265.0","2,584,306.0","2,579,624.0","2,588,235.0","2,652,015.0","2,636,526.0","2,639,522.0","2,599,438.0","2,614,604.0","2,666,984.0","2,713,019.0","2,772,205.0","2,824,939.0","2,857,043.0","2,883,376.0","2,888,057.0","2,926,820.0","2,964,432.0","3,023,268.0","3,045,318.0","3,118,130.0","3,154,334.0","3,198,139.0","3,203,805.0","3,286,925.0","3,331,742.0","3,401,820.0","3,487,815.0","3,577,123.0","3,584,877.0","3,605,575.0","3,632,675.0","3,662,835.0","3,658,550.0","3,685,774.0","3,711,962.0","3,792,096.0","3,858,580.0","3,882,746.0","3,896,277.0","3,959,305.0","3,966,954.0","3,989,583.0","3,963,459.0"
"33","13","  Command-basis net national product \4\","C027RX1","1,670,212.0","1,676,553.0","1,680,941.0","1,717,941.0","1,740,171.0","1,768,950.0","1,779,823.0","1,789,334.0","1,756,431.0","1,739,881.0","1,764,920.0","1,744,287.0","1,822,843.0","1,880,975.0","1,963,133.0","2,003,052.0","2,031,166.0","2,068,999.0","2,107,323.0","2,106,830.0","2,123,406.0","2,117,962.0","2,140,685.0","2,215,165.0","2,256,801.0","2,273,154.0","2,254,660.0","2,209,020.0","2,190,953.0","2,188,298.0","2,217,952.0","2,270,388.0","2,344,957.0","2,381,694.0","2,415,441.0","2,437,753.0","2,425,749.0","2,434,861.0","2,433,972.0","2,468,036.0","2,493,522.0","2,486,464.0","2,505,485.0","2,455,012.0","2,385,824.0","2,396,738.0","2,467,425.0","2,540,218.0","2,588,284.0","2,655,573.0","2,651,276.0","2,661,420.0","2,733,141.0","2,714,159.0","2,715,276.0","2,670,690.0","2,690,934.0","2,746,548.0","2,795,461.0","2,860,425.0","2,916,589.0","2,946,050.0","2,972,622.0","2,979,273.0","3,014,717.0","3,054,375.0","3,114,410.0","3,142,537.0","3,216,073.0","3,248,663.0","3,292,327.0","3,298,659.0","3,393,025.0","3,439,348.0","3,505,099.0","3,588,609.0","3,684,527.0","3,688,330.0","3,715,564.0","3,748,511.0","3,781,532.0","3,773,045.0","3,806,090.0","3,833,343.0","3,916,998.0","3,985,703.0","4,008,994.0","4,023,267.0","4,091,830.0","4,095,836.0","4,118,328.0","4,092,652.0"
"34","14","  Net national product","A027RX1","1,637,201.0","1,636,471.0","1,635,829.0","1,664,773.0","1,695,319.0","1,730,865.0","1,741,263.0","1,744,291.0","1,716,336.0","1,708,627.0","1,729,227.0","1,709,682.0","1,786,833.0","1,846,823.0","1,927,668.0","1,963,455.0","1,988,304.0","2,024,677.0","2,067,487.0","2,069,677.0","2,089,001.0","2,088,665.0","2,100,978.0","2,174,275.0","2,215,580.0","2,231,686.0","2,212,197.0","2,170,560.0","2,157,113.0","2,157,459.0","2,182,047.0","2,230,095.0","2,299,307.0","2,338,744.0","2,371,073.0","2,383,769.0","2,371,095.0","2,389,125.0","2,383,694.0","2,422,552.0","2,440,056.0","2,432,513.0","2,455,011.0","2,418,974.0","2,342,942.0","2,356,655.0","2,415,729.0","2,477,077.0","2,531,536.0","2,601,600.0","2,598,173.0","2,607,889.0","2,670,975.0","2,655,902.0","2,659,699.0","2,620,698.0","2,637,062.0","2,688,348.0","2,734,856.0","2,794,538.0","2,847,142.0","2,881,342.0","2,907,910.0","2,916,110.0","2,953,609.0","2,990,275.0","3,049,595.0","3,072,468.0","3,147,644.0","3,182,750.0","3,227,399.0","3,231,073.0","3,317,799.0","3,363,604.0","3,431,554.0","3,514,998.0","3,605,230.0","3,613,031.0","3,633,117.0","3,661,418.0","3,691,242.0","3,686,179.0","3,716,173.0","3,741,518.0","3,822,403.0","3,889,503.0","3,914,573.0","3,927,877.0","3,991,047.0","3,997,554.0","4,018,850.0","3,992,702.0"
"35","15","  Trading gains index \5\","W368RG3","102.170","102.457","102.601","102.562","102.448","102.347","102.266","102.239","102.237","102.179","102.120","102.048","101.905","101.832","101.742","101.625","101.530","101.470","101.500","101.561","101.606","101.659","101.724","101.792","101.846","101.882","101.889","101.870","101.803","101.768","101.733","101.729","101.793","101.809","101.822","101.838","101.858","101.870","101.893","101.906","101.949","101.981","102.016","102.049","102.104","102.131","102.134","102.129","102.095","102.079","102.095","102.100","102.121","102.112","102.112","102.102","102.121","102.193","102.186","102.224","102.278","102.219","102.229","102.211","102.177","102.150","102.110","102.086","102.057","102.029","102.073","102.115","102.194","102.192","102.162","102.089","102.150","102.139","102.209","102.266","102.358","102.360","102.348","102.371","102.374","102.443","102.365","102.364","102.420","102.406","102.441","102.429"
"36","16","  Terms of trade index \6\","W369RG3","145.959","146.455","146.097","144.766","142.355","141.111","140.831","140.906","141.608","140.438","138.815","136.789","132.091","129.603","126.723","123.325","120.612","118.626","118.648","120.113","122.094","123.717","125.673","127.589","129.228","130.279","130.453","129.884","127.811","126.770","125.718","125.595","127.554","128.026","128.435","128.930","129.565","129.903","130.580","130.852","132.075","132.983","134.175","135.381","137.354","138.237","138.335","138.186","137.176","136.679","137.150","137.247","137.844","137.668","137.627","137.562","138.060","140.040","139.936","141.034","142.904","141.325","141.733","141.188","140.109","139.301","138.162","137.548","136.667","135.941","137.217","138.281","140.264","140.391","139.560","137.604","139.227","138.918","140.915","142.487","144.995","145.167","144.972","145.686","145.779","147.664","145.581","145.588","147.186","146.796","147.734","147.318"
"37","17","    Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","164.760","164.629","163.928","164.508","164.168","167.054","164.134","163.809","165.654","164.540","165.889","164.931"
"38","18","    Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","117.783","117.877","117.653","117.932","117.354","119.481","117.270","117.234","118.359","117.528","118.311","117.330"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
