"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"27","8","    Other structures \1\","W004RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,063.0","4,142.0","4,276.0","4,499.0","4,447.0","4,603.0","4,844.0","4,742.0","5,086.0","5,182.0","5,183.0","5,233.0","5,163.0","5,060.0","4,993.0","4,920.0","5,155.0","5,289.0","5,197.0","5,155.0","5,167.0","5,469.0","5,663.0","6,065.0","6,366.0","6,283.0","6,232.0","6,099.0","6,425.0","7,241.0","7,556.0","7,734.0","7,917.0","7,851.0","7,663.0","7,697.0","7,859.0","7,665.0","7,864.0","7,996.0","7,606.0","7,377.0","7,020.0","7,165.0","7,389.0","7,619.0","8,110.0","7,926.0"
"28","9","  Equipment and software","B010RC1","14,927.0","15,226.0","15,044.0","16,067.0","17,334.0","16,658.0","17,130.0","17,998.0","16,826.0","16,090.0","15,176.0","14,836.0","15,130.0","17,114.0","19,343.0","19,609.0","19,383.0","19,672.0","20,198.0","20,242.0","20,418.0","20,821.0","17,671.0","19,867.0","21,245.0","21,306.0","22,125.0","21,446.0","20,570.0","20,424.0","21,131.0","21,123.0","21,144.0","23,119.0","25,010.0","26,280.0","25,442.0","25,920.0","26,822.0","27,188.0","28,203.0","28,112.0","29,334.0","28,595.0","25,524.0","24,363.0","24,137.0","25,481.0","27,083.0","28,064.0","29,129.0","29,159.0","30,164.0","30,868.0","29,620.0","28,571.0","27,567.0","28,796.0","29,110.0","30,811.0","31,589.0","32,399.0","32,546.0","32,574.0","33,192.0","33,868.0","35,373.0","36,769.0","37,693.0","38,489.0","39,803.0","40,919.0","44,117.0","44,926.0","47,532.0","49,252.0","51,943.0","53,989.0","54,471.0","55,733.0","53,884.0","54,756.0","54,348.0","56,469.0","58,829.0","57,984.0","59,925.0","62,648.0","65,206.0","66,370.0","68,007.0","68,230.0"
"29","10","    Information processing equipment and software","A679RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,696.0","3,475.0","3,564.0","3,691.0","3,759.0","3,837.0","3,960.0","4,394.0","4,593.0","4,940.0","4,817.0","5,129.0","4,833.0","5,338.0","5,353.0","5,519.0","5,855.0","5,722.0","5,553.0","5,694.0","6,043.0","6,461.0","6,767.0","6,844.0","7,195.0","7,296.0","7,229.0","7,741.0","7,845.0","8,255.0","8,778.0","9,190.0","9,831.0","10,486.0","10,938.0","11,398.0","11,124.0","11,222.0","11,059.0","11,695.0","11,854.0","11,711.0","12,033.0","12,056.0","13,031.0","14,171.0","15,227.0","16,019.0"
"30","11","      Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5.0","2.0","17.0","56.0","118.0","176.0","215.0","259.0","225.0","260.0","273.0","286.0","293.0","298.0","350.0","447.0","576.0","717.0","806.0","841.0","950.0","947.0","888.0","927.0","1,020.0","1,076.0","1,219.0","1,341.0","1,439.0","1,621.0","1,766.0","1,966.0","1,860.0","1,859.0","1,818.0","1,935.0","1,871.0","1,908.0","1,979.0","1,938.0","2,096.0","2,408.0","2,564.0","2,696.0"
"31","12","      Software \2\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","6.0","11.0","32.0","76.0","119.0","149.0","164.0","158.0","161.0","166.0","183.0","188.0","201.0","225.0","270.0","321.0","402.0","479.0","531.0","547.0","550.0","539.0","528.0","576.0","629.0","708.0","795.0","873.0","964.0","1,054.0","1,153.0","1,171.0","1,179.0","1,155.0","1,183.0","1,229.0","1,285.0","1,343.0","1,414.0","1,516.0","1,679.0","1,885.0","2,080.0"
"32","13","      Other \3\","A937RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,688.0","3,468.0","3,557.0","3,681.0","3,747.0","3,829.0","3,932.0","4,306.0","4,399.0","4,645.0","4,453.0","4,706.0","4,450.0","4,917.0","4,914.0","5,050.0","5,374.0","5,223.0","4,978.0","4,977.0","5,146.0","5,342.0","5,482.0","5,472.0","5,698.0","5,799.0","5,802.0","6,286.0","6,249.0","6,550.0","6,851.0","7,054.0","7,519.0","7,901.0","8,118.0","8,279.0","8,093.0","8,184.0","8,086.0","8,577.0","8,754.0","8,518.0","8,711.0","8,704.0","9,419.0","10,084.0","10,778.0","11,243.0"
"33","14","    Industrial equipment","A680RC1","4,718.0","4,585.0","4,710.0","4,384.0","4,714.0","4,503.0","4,396.0","4,825.0","4,427.0","3,761.0","3,469.0","3,236.0","3,544.0","4,292.0","4,566.0","5,507.0","5,073.0","5,550.0","6,088.0","5,964.0","5,964.0","6,539.0","5,517.0","5,696.0","6,261.0","6,656.0","6,944.0","6,999.0","6,983.0","6,957.0","7,326.0","6,935.0","6,466.0","6,890.0","7,391.0","8,261.0","8,087.0","8,552.0","9,363.0","9,374.0","9,581.0","9,544.0","9,791.0","9,584.0","8,675.0","8,200.0","7,838.0","8,132.0","8,403.0","8,294.0","8,407.0","8,992.0","9,234.0","9,935.0","9,339.0","8,993.0","8,397.0","8,685.0","8,735.0","9,386.0","9,404.0","9,529.0","9,182.0","8,895.0","9,385.0","9,833.0","10,288.0","10,599.0","10,828.0","10,885.0","11,502.0","12,520.0","12,732.0","13,332.0","14,161.0","14,496.0","15,061.0","16,117.0","16,519.0","16,903.0","17,266.0","17,077.0","16,410.0","16,925.0","17,332.0","17,095.0","17,058.0","17,628.0","18,349.0","18,799.0","19,511.0","19,545.0"
"34","15","    Transportation equipment","A681RC1","4,684.0","4,861.0","4,675.0","5,444.0","5,690.0","5,326.0","5,497.0","5,415.0","5,531.0","5,754.0","5,713.0","5,814.0","5,560.0","5,918.0","7,401.0","6,821.0","6,935.0","6,629.0","6,518.0","6,170.0","6,279.0","5,813.0","4,844.0","6,033.0","6,462.0","6,566.0","6,699.0","6,579.0","6,187.0","5,875.0","5,877.0","6,113.0","6,650.0","7,454.0","8,135.0","7,774.0","7,399.0","7,402.0","7,106.0","7,697.0","8,130.0","8,109.0","8,614.0","8,207.0","6,598.0","5,834.0","5,584.0","6,444.0","7,563.0","8,396.0","9,094.0","8,038.0","8,992.0","8,647.0","8,688.0","7,709.0","7,413.0","7,687.0","8,025.0","8,978.0","9,291.0","9,647.0","10,117.0","10,100.0","9,486.0","8,991.0","9,313.0","9,938.0","10,173.0","10,554.0","11,321.0","10,259.0","12,870.0","12,833.0","13,342.0","13,814.0","14,720.0","14,736.0","14,248.0","14,368.0","13,340.0","13,965.0","14,660.0","15,099.0","17,211.0","16,625.0","17,711.0","18,968.0","19,393.0","19,136.0","18,969.0","18,058.0"
"35","16","    Other equipment \4\","A862RC1","3,815.0","4,117.0","3,890.0","4,490.0","5,100.0","5,071.0","5,498.0","5,849.0","5,058.0","4,941.0","4,451.0","4,261.0","4,418.0","5,082.0","5,498.0","5,225.0","5,396.0","5,388.0","5,341.0","5,847.0","5,776.0","5,828.0","5,069.0","5,699.0","5,896.0","5,403.0","5,671.0","5,321.0","4,943.0","5,243.0","5,527.0","5,587.0","5,631.0","6,156.0","6,460.0","7,014.0","6,833.0","6,576.0","6,921.0","6,641.0","6,847.0","6,491.0","6,644.0","6,773.0","6,555.0","6,854.0","7,151.0","7,214.0","7,358.0","7,537.0","7,668.0","7,735.0","7,345.0","7,346.0","6,776.0","6,740.0","6,924.0","7,086.0","6,997.0","6,928.0","7,039.0","7,501.0","7,694.0","7,885.0","8,278.0","8,583.0","9,005.0","9,388.0","9,497.0","9,754.0","9,751.0","10,399.0","10,670.0","10,506.0","11,251.0","11,752.0","12,331.0","12,650.0","12,766.0","13,064.0","12,154.0","12,492.0","12,219.0","12,750.0","12,432.0","12,553.0","13,123.0","13,996.0","14,433.0","14,264.0","14,300.0","14,608.0"
"36","17","Residential","A011RC1","10,405.0","10,439.0","12,312.0","15,072.0","15,179.0","16,256.0","16,112.0","15,005.0","13,986.0","13,726.0","14,548.0","16,332.0","18,141.0","20,401.0","22,342.0","21,264.0","20,817.0","18,233.0","17,166.0","17,480.0","18,018.0","18,502.0","18,487.0","19,361.0","19,681.0","19,761.0","19,177.0","18,933.0","19,022.0","20,314.0","21,806.0","23,174.0","25,014.0","25,601.0","25,227.0","24,170.0","23,723.0","23,941.0","23,509.0","23,039.0","22,643.0","22,151.0","22,001.0","21,885.0","20,920.0","20,995.0","22,526.0","24,947.0","27,829.0","28,837.0","28,285.0","27,481.0","28,355.0","26,122.0","25,334.0","25,329.0","25,345.0","25,535.0","26,921.0","27,799.0","28,350.0","29,234.0","29,199.0","29,121.0","30,182.0","32,229.0","32,460.0","33,673.0","35,409.0","34,171.0","33,706.0","33,810.0","33,882.0","34,186.0","34,294.0","34,506.0","34,818.0","33,203.0","31,927.0","29,196.0","28,339.0","31,649.0","33,412.0","36,028.0","36,884.0","38,177.0","38,884.0","40,932.0","43,226.0","43,396.0","43,207.0","40,652.0"
"37","18","  Structures","A012RC1","10,107.0","10,156.0","11,992.0","14,769.0","14,854.0","15,943.0","15,785.0","14,650.0","13,669.0","13,413.0","14,266.0","16,048.0","17,833.0","20,031.0","21,961.0","20,823.0","20,430.0","17,874.0","16,789.0","17,119.0","17,669.0","18,120.0","18,155.0","18,952.0","19,273.0","19,358.0","18,803.0","18,574.0","18,671.0","19,937.0","21,395.0","22,749.0","24,603.0","25,156.0","24,796.0","23,729.0","23,246.0","23,472.0","23,030.0","22,632.0","22,177.0","21,701.0","21,552.0","21,430.0","20,596.0","20,555.0","21,997.0","24,336.0","27,209.0","28,219.0","27,749.0","26,975.0","27,815.0","25,599.0","24,795.0","24,815.0","24,842.0","25,014.0","26,386.0","27,274.0","27,842.0","28,701.0","28,645.0","28,556.0","29,608.0","31,638.0","31,859.0","33,071.0","34,790.0","33,544.0","33,069.0","33,181.0","33,207.0","33,508.0","33,615.0","33,790.0","34,107.0","32,523.0","31,218.0","28,528.0","27,672.0","30,971.0","32,701.0","35,240.0","36,064.0","37,344.0","37,984.0","40,020.0","42,277.0","42,390.0","42,182.0","39,592.0"
"38","19","    Permanent site","A943RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,676.0","14,526.0","15,471.0","17,107.0","19,623.0","20,266.0","19,788.0","19,015.0","19,492.0","17,457.0","16,660.0","16,379.0","16,369.0","16,671.0","17,795.0","18,785.0","19,237.0","20,003.0","20,298.0","20,246.0","20,951.0","22,311.0","22,695.0","23,699.0","25,270.0","23,960.0","23,530.0","23,632.0","23,381.0","23,642.0","24,066.0","24,295.0","24,652.0","23,310.0","20,889.0","18,393.0","18,380.0","20,060.0","22,764.0","24,960.0","25,340.0","26,509.0","26,772.0","28,271.0","30,057.0","29,971.0","28,894.0","27,974.0"
"39","20","      Single family","A944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,480.0","12,352.0","13,153.0","14,539.0","16,681.0","17,199.0","16,779.0","16,125.0","16,712.0","14,906.0","14,124.0","13,722.0","13,535.0","13,562.0","14,325.0","14,934.0","14,954.0","15,269.0","15,218.0","14,975.0","15,156.0","15,898.0","16,046.0","16,804.0","18,433.0","17,465.0","17,203.0","17,495.0","17,223.0","17,549.0","18,121.0","18,463.0","18,712.0","17,731.0","15,839.0","13,990.0","14,286.0","15,834.0","17,901.0","19,247.0","18,993.0","19,575.0","19,281.0","20,231.0","21,027.0","20,222.0","19,228.0","18,307.0"
"40","21","      Multifamily","C292RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,196.0","2,174.0","2,318.0","2,568.0","2,942.0","3,067.0","3,009.0","2,890.0","2,780.0","2,551.0","2,536.0","2,657.0","2,834.0","3,109.0","3,470.0","3,851.0","4,283.0","4,734.0","5,080.0","5,271.0","5,795.0","6,413.0","6,649.0","6,895.0","6,837.0","6,495.0","6,327.0","6,137.0","6,158.0","6,093.0","5,945.0","5,832.0","5,940.0","5,579.0","5,050.0","4,403.0","4,094.0","4,226.0","4,863.0","5,713.0","6,347.0","6,934.0","7,491.0","8,040.0","9,030.0","9,749.0","9,666.0","9,667.0"
