"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"21","2","Personal consumption expenditures","DPCECX1","479,397.0","485,291.0","489,227.0","496,164.0","499,510.0","504,282.0","511,154.0","515,418.0","525,593.0","534,847.0","544,671.0","546,195.0","558,338.0","564,504.0","574,206.0","590,342.0","599,057.0","600,608.0","607,475.0","610,006.0","613,563.0","621,935.0","625,123.0","628,973.0","643,984.0","653,862.0","666,167.0","669,215.0","676,708.0","681,035.0","684,327.0","689,784.0"
"22","3","  Goods","DGDSCX1","235,073.0","237,392.0","239,208.0","242,948.0","245,216.0","247,248.0","249,727.0","250,575.0","256,376.0","261,771.0","267,878.0","265,914.0","274,575.0","276,562.0","282,222.0","293,099.0","298,611.0","297,118.0","301,398.0","300,767.0","301,546.0","306,803.0","305,891.0","307,102.0","316,880.0","321,616.0","329,498.0","328,958.0","333,369.0","333,609.0","334,202.0","335,403.0"
"23","4","    Durable goods","DDURCX1","54,930.0","56,403.0","56,814.0","59,317.0","60,500.0","61,799.0","62,564.0","63,550.0","66,026.0","67,749.0","69,987.0","67,837.0","74,148.0","74,267.0","76,806.0","80,044.0","83,850.0","80,504.0","83,144.0","83,113.0","81,539.0","85,045.0","84,363.0","84,578.0","89,835.0","91,750.0","95,877.0","95,311.0","97,107.0","96,845.0","96,569.0","96,198.0"
"24","5","    Nondurable goods","DNDGCX1","181,561.0","182,287.0","183,704.0","184,735.0","185,745.0","186,378.0","188,083.0","187,845.0","191,061.0","194,708.0","198,512.0","198,893.0","200,794.0","202,713.0","205,747.0","213,381.0","214,932.0","216,969.0","218,529.0","217,921.0","220,371.0","222,012.0","221,805.0","222,810.0","227,192.0","229,986.0","233,649.0","233,701.0","236,296.0","236,816.0","237,701.0","239,293.0"
"25","6","  Services","DSERCX1","244,183.0","247,833.0","249,969.0","253,121.0","254,121.0","256,897.0","261,396.0","264,963.0","269,236.0","272,991.0","276,559.0","280,341.0","283,527.0","287,813.0","291,756.0","296,710.0","299,790.0","303,061.0","305,558.0","308,893.0","311,753.0","314,772.0","319,066.0","321,757.0","326,794.0","331,941.0","336,229.0","339,960.0","342,996.0","347,199.0","349,959.0","354,295.0"
"26","7","Gross private domestic investment","A006CX1","117,239.0","116,106.0","118,183.0","114,216.0","120,553.0","122,310.0","126,299.0","127,853.0","133,110.0","132,498.0","135,647.0","136,753.0","150,514.0","150,505.0","155,880.0","156,599.0","169,839.0","166,740.0","165,088.0","165,881.0","161,339.0","154,459.0","158,893.0","162,330.0","165,863.0","172,569.0","166,967.0","168,701.0","179,815.0","178,382.0","182,506.0","172,677.0"
"27","8","  Fixed investment","A007CX1","106,816.0","110,058.0","110,943.0","110,398.0","111,691.0","116,871.0","119,898.0","123,731.0","128,449.0","128,099.0","130,152.0","131,101.0","137,075.0","140,912.0","144,727.0","147,981.0","153,513.0","151,525.0","151,477.0","146,884.0","143,437.0","147,105.0","148,551.0","153,186.0","156,881.0","156,081.0","158,381.0","162,271.0","167,387.0","168,121.0","170,918.0","166,601.0"
"28","9","    Nonresidential","A008CX1","66,757.0","68,748.0","69,638.0","69,162.0","69,054.0","71,263.0","73,417.0","75,829.0","77,718.0","79,698.0","82,400.0","84,117.0","89,767.0","93,151.0","96,673.0","100,784.0","105,178.0","106,814.0","108,116.0","107,839.0","105,552.0","105,177.0","104,647.0","106,802.0","110,158.0","108,245.0","109,689.0","112,937.0","116,279.0","117,538.0","120,709.0","119,988.0"
"29","10","      Structures","B009CX1","31,098.0","32,230.0","33,079.0","32,277.0","31,154.0","32,630.0","32,857.0","33,529.0","34,399.0","35,565.0","36,733.0","37,025.0","38,923.0","41,636.0","42,074.0","44,011.0","45,057.0","44,188.0","45,172.0","43,634.0","44,084.0","42,830.0","43,283.0","43,355.0","44,205.0","43,831.0","43,548.0","44,438.0","45,125.0","45,483.0","47,628.0","47,294.0"
"30","11","      Equipment and software","B010CX1","36,701.0","37,644.0","37,807.0","37,981.0","38,731.0","39,605.0","41,379.0","43,049.0","44,095.0","44,997.0","46,553.0","47,893.0","51,573.0","52,535.0","55,418.0","57,651.0","60,863.0","63,086.0","63,486.0","64,498.0","61,996.0","62,684.0","61,816.0","63,768.0","66,199.0","64,719.0","66,317.0","68,624.0","71,203.0","72,091.0","73,233.0","72,840.0"
"31","12","    Residential","A011CX1","40,754.0","42,029.0","41,994.0","41,939.0","43,454.0","46,580.0","47,442.0","48,886.0","51,881.0","49,270.0","48,464.0","47,580.0","47,747.0","48,119.0","48,308.0","47,262.0","48,335.0","44,458.0","43,013.0","38,501.0","37,342.0","41,588.0","43,673.0","46,216.0","46,499.0","47,674.0","48,530.0","49,134.0","50,904.0","50,357.0","49,946.0","46,293.0"
"32","13","  Change in private inventories","A014CX1","11,075.0","6,970.0","8,171.0","4,840.0","9,464.0","6,294.0","7,501.0","5,475.0","5,813.0","5,584.0","6,698.0","6,394.0","14,700.0","10,553.0","11,883.0","9,543.0","16,723.0","16,120.0","14,316.0","19,727.0","18,247.0","8,216.0","10,929.0","10,685.0","9,671.0","17,332.0","9,245.0","7,436.0","13,129.0","11,070.0","12,366.0","6,395.0"
"33","14","Net exports of goods and services","A019CX1","4,036.0","6,874.0","4,172.0","2,925.0","4,606.0","8,307.0","5,135.0","7,290.0","9,938.0","9,891.0","8,567.0","8,925.0","5,222.0","8,765.0","5,742.0","7,134.0","5,132.0","6,199.0","1,707.0","2,811.0","3,037.0","2,956.0","1,053.0","-119.0","-1,682.0","-1,459.0","-1,619.0","-1,856.0","-3,148.0","-2,417.0","-3,065.0","-289.0"
"34","15","  Exports","A020CX1","37,090.0","40,650.0","38,377.0","37,547.0","38,427.0","42,924.0","40,631.0","42,670.0","45,285.0","46,033.0","45,679.0","47,041.0","41,966.0","49,845.0","46,990.0","50,396.0","49,510.0","51,680.0","49,738.0","51,379.0","52,371.0","51,894.0","50,632.0","52,074.0","53,587.0","54,654.0","57,867.0","57,129.0","50,273.0","61,543.0","60,067.0","62,149.0"
"35","16","    Goods","A253CX1","27,044.0","28,806.0","28,857.0","27,350.0","27,449.0","30,296.0","30,829.0","32,286.0","33,744.0","33,708.0","34,631.0","35,334.0","30,135.0","35,787.0","34,656.0","37,561.0","37,151.0","36,516.0","36,642.0","37,429.0","37,285.0","37,213.0","36,651.0","37,279.0","38,533.0","39,093.0","41,796.0","40,766.0","35,285.0","44,687.0","43,561.0","45,048.0"
"36","17","    Services","A646CX1","9,985.0","11,856.0","9,389.0","10,141.0","10,967.0","12,648.0","9,638.0","10,218.0","11,408.0","12,238.0","10,874.0","11,553.0","11,814.0","14,036.0","12,226.0","12,682.0","12,186.0","15,209.0","12,978.0","13,875.0","15,121.0","14,678.0","13,935.0","14,795.0","15,039.0","15,570.0","16,039.0","16,376.0","15,052.0","16,807.0","16,458.0","17,049.0"
"37","18","  Imports","A021CX1","33,055.0","33,776.0","34,204.0","34,622.0","33,821.0","34,617.0","35,496.0","35,380.0","35,347.0","36,142.0","37,112.0","38,116.0","36,743.0","41,080.0","41,248.0","43,262.0","44,378.0","45,481.0","48,030.0","48,567.0","49,334.0","48,938.0","49,578.0","52,193.0","55,269.0","56,113.0","59,486.0","58,985.0","53,421.0","63,960.0","63,131.0","62,438.0"
"38","19","    Goods","A255CX1","21,951.0","22,638.0","23,045.0","23,006.0","22,704.0","23,479.0","24,091.0","24,032.0","23,842.0","24,663.0","25,588.0","26,441.0","25,225.0","29,191.0","29,453.0","30,899.0","31,709.0","32,199.0","34,272.0","34,678.0","34,795.0","33,783.0","34,055.0","37,222.0","40,206.0","41,193.0","44,038.0","43,313.0","37,742.0","47,794.0","46,818.0","45,631.0"
"39","20","    Services","B656CX1","11,085.0","11,112.0","11,131.0","11,593.0","11,089.0","11,109.0","11,373.0","11,317.0","11,479.0","11,448.0","11,486.0","11,632.0","11,476.0","11,847.0","11,755.0","12,321.0","12,627.0","13,236.0","13,713.0","13,844.0","14,486.0","15,087.0","15,451.0","14,925.0","15,035.0","14,901.0","15,438.0","15,653.0","15,626.0","16,164.0","16,301.0","16,784.0"
"40","21","Government consumption expenditures and gross investment","A822CX1","210,169.0","211,309.0","216,119.0","216,431.0","215,113.0","214,840.0","224,054.0","222,016.0","222,837.0","224,282.0","224,416.0","223,773.0","223,231.0","226,111.0","233,934.0","238,961.0","243,257.0","247,567.0","254,267.0","258,404.0","269,374.0","267,909.0","270,698.0","272,540.0","277,299.0","278,577.0","279,163.0","279,394.0","279,665.0","278,495.0","278,888.0","274,790.0"
"41","22","  Federal","A823CX1","122,281.0","122,784.0","126,480.0","125,799.0","122,745.0","121,609.0","128,360.0","124,944.0","124,305.0","123,477.0","122,508.0","120,785.0","119,263.0","119,493.0","124,321.0","127,769.0","130,691.0","134,150.0","139,580.0","140,742.0","150,391.0","148,211.0","150,568.0","150,255.0","152,868.0","151,641.0","150,336.0","149,416.0","148,586.0","146,217.0","146,320.0","142,402.0"
"42","23","    National defense","A824CX1","102,345.0","101,231.0","102,849.0","101,649.0","99,238.0","98,215.0","101,715.0","99,144.0","97,698.0","95,807.0","95,489.0","93,528.0","91,451.0","91,028.0","94,222.0","97,783.0","101,363.0","103,493.0","110,280.0","113,079.0","119,846.0","119,925.0","122,932.0","121,623.0","124,627.0","124,515.0","122,059.0","120,967.0","119,679.0","116,995.0","116,818.0","114,369.0"
"43","24","    Nondefense","A825CX1","20,533.0","22,107.0","24,167.0","24,665.0","24,012.0","23,891.0","27,101.0","26,246.0","27,022.0","28,029.0","27,399.0","27,604.0","28,111.0","28,737.0","30,366.0","30,294.0","29,698.0","31,012.0","29,782.0","28,226.0","31,094.0","28,914.0","28,321.0","29,275.0","28,938.0","27,865.0","28,935.0","29,083.0","29,500.0","29,766.0","30,037.0","28,593.0"
"44","25","  State and local","A829CX1","88,653.0","89,292.0","90,430.0","91,416.0","93,134.0","93,981.0","96,494.0","97,840.0","99,298.0","101,578.0","102,686.0","103,774.0","104,757.0","107,416.0","110,439.0","112,033.0","113,420.0","114,297.0","115,618.0","118,592.0","120,058.0","120,716.0","121,189.0","123,304.0","125,467.0","127,906.0","129,745.0","130,866.0","131,930.0","133,038.0","133,320.0","133,043.0"
"45","26","Residual","A960CX1","-8,500.0","-8,600.0","-9,400.0","-8,900.0","-7,500.0","-7,500.0","-8,500.0","-8,000.0","-7,200.0","-6,800.0","-6,100.0","-5,600.0","-4,400.0","-4,300.0","-4,100.0","-3,900.0","-3,000.0","-4,000.0","-4,200.0","-4,300.0","-5,700.0","-5,700.0","-6,100.0","-7,200.0","-5,500.0","-5,600.0","-4,200.0","-4,800.0","-4,500.0","-3,500.0","-3,700.0","-2,700.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
