"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"11","4","  Tax collection and financial management","G160041",1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2,3.5,4.4,5,5.4,5.9,6.3,7.1,8.2,8.3,9.5,10.2,10.4,11.1,11.6,13.4,16.3,16.4,22.4,30.7,27.2,29.4,27.5,28.8,30.6,34.2,35.8,35.9,35.7,34.2,35.7,35.8,41.6,39.1,39.2,43,44.6,45.4,46.2,48,50.1
"12","5","  Interest payments \2\","G160051",7.3,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.2,23.1,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,208.8,216.3,230.8,247.7,274,295.3,312.7,313.2,313.6,323.4,354.6,365.3,371.4,372.4,357.3,362.8,344.1,315.1,300.6,309.3,345.3,376.5,411.1
"13","6","  Other \3\","G160061",1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.4,2.7,3.2,3.6,4.3,4.9,5.9,7.5,9.5,10.8,12.1,13.7,15.1,16.9,19.1,20.3,21.2,23.7,25.2,27.6,29.6,32.7,33.5,36.4,38.7,40.3,44,45.2,47,47.9,49.3,52.5,57.1,61.4,66.1,71.9,74,75.3,75.6,80.2,86,90.1
"14","7","National defense","G160071",42.1,42.7,44.1,48.1,49.9,50.1,52.2,61.8,72.1,79.7,80.8,79.3,80.6,84,82.2,87.2,93.1,96.2,104.4,112.9,124.3,144.5,168,191.8,209,233.1,253.8,268,283.7,293.7,299.6,308.2,320.3,316.3,308.7,301.2,297.5,303,305,301,313.2,321.7,342.6,381.7,436.8,482.9,515.2,544.6,580.1
"15","8","Public order and safety","G160081",4.1,4.4,4.8,5,5.3,5.7,6.1,6.7,7.5,8.7,9.6,11,12.6,14.1,15.9,18.1,20.7,22.8,25.1,28.7,31.9,35.7,40,44.6,48.6,52.6,58.1,63.3,68.4,75.3,82.8,91.7,99.7,107.5,114.7,123.3,131.8,140.7,147.6,157.4,169.7,182.3,194.5,209.3,218.8,231.2,245.7,262.8,283.8
"16","9","  Police","G160091",1.9,2.1,2.2,2.4,2.6,2.7,3,3.2,3.6,4.4,4.8,5.4,6.2,7,7.9,8.9,10.1,11.1,12.2,13.5,14.8,16.4,18.2,20.1,21.7,23.2,25.4,27.2,29,31.6,33.9,36.9,40.1,43.2,45.7,48.4,51.5,55.7,60.8,64.6,68.9,73.4,77.8,84.2,89.7,96.3,103.5,110.2,120
"17","10","  Fire","G160101",0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,5.1,5.6,6.2,7,7.7,8.3,8.9,9.6,10.6,11.3,11.8,12.7,13.7,14.6,15.7,16.3,17.1,17.8,18.6,19.3,20.4,21.7,23.2,24.3,26.4,27.9,28.9,31.9,35.2,38.5
"18","11","  Law courts","G160111",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.6,1.9,2.1,2.4,2.7,3.1,3.4,3.7,4.9,5.7,6.6,7.3,8,8.6,9.2,10.1,10.7,11.6,13.3,14.8,16.6,18.3,19.6,21.8,23.2,24.7,25.8,25.6,28.1,30.5,32.8,35.1,39.8,40.1,42.2,43.2,45.6,48.4
"19","12","  Prisons","G160121",0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.2,1.3,1.4,1.7,2,2.2,2.6,3.2,3.7,4.1,4.7,5.1,5.8,6.6,7.6,8.8,10,11.4,13,14.7,16.6,18.7,21.4,24.4,26.7,29,31,34.7,37.8,40.6,41.9,44.2,48.6,53,57.2,58.9,61.1,63.7,67.2,71.9,77
"20","13","Economic affairs","G160131",13,11.9,12.9,15.3,16.6,18.8,20.4,22,23.4,25.7,28,29.3,31.5,34.9,34.8,36.9,43.6,46.1,51.7,59.2,62.5,71.8,81.4,85.3,95.7,93.2,100.3,110.9,115.5,110.2,116.6,124.3,128.5,137.7,142.4,142,145.1,148.6,156.6,164,183,195.6,216,211.9,226.1,226,247.9,253.9,265.6
"21","14","  Transportation","G160181",5.8,6.1,6.5,6.9,7.2,7.7,8.1,8.8,9.6,10.3,11.2,12.6,13.8,14.9,16.5,19.6,22.6,23.7,25.5,27.5,30.4,34.4,37.7,40.7,42.6,44.3,46.6,48.3,49.9,52.4,54.2,57.4,60.9,63.8,65.3,68.9,70.8,73.5,78.2,81.2,86.1,90.7,101.1,105.4,113.6,114.6,123.5,132.2,140.2
"22","15","    Highways","G160191",4.6,4.8,5.1,5.4,5.7,6,6.4,6.9,7.5,8.2,9,10,10.9,11.6,12.9,15.6,17.5,18.1,18.9,20.5,22.4,25.4,28.5,31.2,32.2,33.4,35.6,37.9,39.3,40.8,42.2,44.9,47.3,49.1,51.2,53.7,56.2,58.6,61.6,64.5,69.1,73,76.6,80.5,82.9,86.4,93.6,101,109.4
"23","16","    Air","G160201",0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.3,1.4,1.5,1.6,1.7,1.9,2,2.2,2.3,2.4,2.6,2.8,2.7,3.5,3.7,4.1,4.1,4.1,4.6,5,5.3,5.6,6.3,6.4,6.4,6.2,6.7,8.2,8.3,8.7,8.8,15.2,14.6,19.7,16.2,17.3,18.4,18.5
"24","17","    Water","G160211",0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.6,3,3.4,3.7,4,4.4,4.7,4.7,4.5,4.7,5,5.1,5.5,6.2,6.2,6.3,6.4,6.3,6.3,6.3,6.7,7,7.5,7.9,8,8.9,9.6,10.3,10.8,10.2
"25","18","    Transit and railroad","G160221",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,1.2,1.5,2,2.1,2.6,3.1,2.8,2.9,2.5,2.5,2.2,1.8,1.8,2,1.9,1.7,1.8,2.2,1.5,2.4,2.1,1.9,2.2,1.6,1.4,1.5,1.4,2.2,2.1,2.4,2.3,2.1,2
"26","19","  Space","G160241",0.2,0.4,0.6,1.2,2.4,3.3,4.1,4.5,3.8,3.8,3.5,3.5,3.5,3.5,3.2,3.7,4,3.9,4,4.2,4.6,5.3,5.8,5.9,6.4,6.5,6.9,6.6,7.3,8.5,10,11.5,12.1,12.2,12.3,12.1,12.2,12.9,13.1,12.3,11.8,12.1,12.9,12.8,13.7,14.8,15,14.7,16.3
"27","20","  Other economic affairs","W690RC1",7,5.5,5.9,7.3,6.9,7.9,8.2,8.7,10.1,11.6,13.3,13.3,14.1,16.5,15.2,13.6,17,18.5,22.1,27.5,27.6,32.1,37.9,38.7,46.7,42.4,46.8,55.9,58.3,49.3,52.4,55.3,55.5,61.8,64.8,61,62,62.3,65.3,70.5,85.1,92.7,102,93.7,98.9,96.7,109.3,107,109.1
"28","21","    General economic and labor affairs","G160141",1.1,1.3,1.5,1.8,2,2,2.3,2.7,3.3,3.5,3.6,4,5.2,5.9,6.4,6,6.6,7.6,8.3,10.2,11,12.9,12.5,12.2,11.6,11.9,13.2,14,15.3,15.6,18.1,21.5,19.4,21.7,18.6,18.7,19.4,20.1,21,21.8,23.5,27.4,27.2,30.3,29.5,29.3,31.6,33,36
"29","22","    Agriculture","G160151",4.7,2.9,3,4,3.3,3.9,3.9,3.8,4.1,5.9,7.1,6.3,5.8,7.1,5.5,3.2,4.4,4.4,5.7,7.4,6.2,8.2,9,12.8,20.3,15.8,19.2,28.1,27.8,18.4,19.3,17.4,18.3,20.4,23.9,17.8,16.9,17.1,18.9,23,34,36.3,35.7,27.1,32.8,28.5,40.3,34.1,29.2
"30","23","    Energy","G160161",0.5,0.6,0.7,0.8,0.8,1,1,1,1.1,1,1.1,1,1,1.1,1,1.7,2.6,3.1,4.2,5.8,5.2,5,9.2,6.1,6.2,6.1,5.6,4.6,5,5.1,4.5,5,4.9,6,7.3,7.5,8.7,7.2,8.1,7.2,8.6,7.7,15.9,10.9,11.4,12.5,11.3,11.8,13
"31","24","    Natural resources","G160171",0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.2,1.6,1.2,1.5,2,2.1,2.4,2.3,2.7,3.4,3.4,3.9,4.1,5.3,5.9,7.3,7.7,8.6,8.7,9.4,9.5,10,10.8,11.1,12.1,13.4,13.9,14.9,17,17,17.8,17.3,18.6,18.9,21.3,23.1,25.4,25.2,26.4,26,28.2,30.9
"32","25","    Postal service","G160231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.6,-0.3,0.1,-0.5,-0.5,-0.7,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","26","    Other \4\","G160251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"34","27","Housing and community services","G160261",0.7,0.8,0.8,0.9,1,1,1,1.2,1.3,1.4,1.5,1.9,2.6,3.1,3.5,4.1,4.5,4.9,5.5,6.3,7.3,8.5,10.1,11.9,12.7,13.3,14.7,15.2,15.6,17.3,19,20.8,22.7,24.1,27.4,27.9,30.4,31.3,30.2,28.8,29.4,27.8,28.6,32.5,35.2,36.5,41.1,40.3,47.6
"35","28","Health","G160271",5.1,5.5,6.3,6.5,7.1,7.6,8.1,10.3,15.5,18.8,21.3,24.4,27.6,31.5,36.1,42.4,50.4,56.2,63.4,70.9,79.3,92.8,106.4,117.7,129.6,142,153.2,164.8,178.5,192.9,216.2,243.9,280.4,316.5,344.2,374.2,400.1,426.1,441,446.7,469.8,502,558,607,645.6,703,756.7,826.8,892.4
"36","29","Recreation and culture","G160281",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,2,2.2,2.5,3,3.4,3.7,4.1,4.6,5,5.5,6.1,6.4,6.7,7.7,8.1,8.7,8.9,9.6,10.5,11.5,12.3,13,13.1,14,14.7,15.1,15.8,16.7,17.6,19.3,21.1,22.8,24.3,25.7,27.5,29.3,31.3
"37","30","Education","G160291",14.6,16.1,17.6,19.2,21,23.2,25.7,29.7,33.9,37.9,43.1,50.3,56.8,63,69.5,77.7,91.1,99.4,106.6,114.2,125.3,137.5,149.7,159.2,168.7,181.6,196.6,211.5,225.5,240.6,259.7,280,293.9,305.8,323.8,340.3,360.2,375.8,396,417,439.6,474.1,505.7,529.9,562,592.9,624.1,656.9,695.6
"38","31","  Elementary and secondary","G160301",11.7,13.1,14.4,15.6,17.1,18.8,20.7,23.4,25.9,28.6,32.4,37.1,41.5,45.7,50.3,55.6,63.3,69.6,75.4,80.9,89.1,97.3,104.8,112.3,119.7,130.4,140.8,152.9,164.6,175.3,188.1,203.8,215.1,225.1,235.7,246.8,261.8,274.9,289.3,305.3,323,349.3,371.2,388.3,418.2,438.6,459.4,484.4,511.7
"39","32","  Higher","G160311",1.7,2,2.2,2.5,2.7,3.1,3.5,4.1,5.3,6,6.9,8.3,9.4,10.3,11.5,13.4,16.6,18.8,21,22.7,25.4,29.2,33,34.9,36.8,38.5,42,44,45.6,49.2,54,57.4,58.8,59.6,65.1,68.2,70.7,71.9,76.9,80.2,83,88.3,94.3,98.7,98.4,105.3,111.9,116.3,123.4
"40","33","  Libraries and other","W691RC1",1.2,1.1,1,1.1,1.2,1.3,1.6,2.2,2.7,3.2,3.8,4.9,5.9,6.9,7.7,8.8,11.3,11,10.3,10.6,10.7,11.1,11.8,12,12.1,12.8,13.7,14.6,15.3,16.1,17.5,18.8,19.9,21.1,23.1,25.4,27.8,29,29.8,31.5,33.5,36.5,40.1,42.9,45.4,49,52.8,56.2,60.5
"41","34","    Libraries","G160321",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.1,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.3,4.5,4.8,5.1,5.4,5.7,6,6.3,6.6,7.1,7.5,7.9,8.5,9,9.7
"42","35","    Other","G160331",1,0.8,0.7,0.8,0.8,1,1.2,1.7,2.2,2.7,3.3,4.3,5.2,6.2,6.9,7.9,10.2,9.8,9.1,9.2,9.2,9.5,10,10,10,10.5,11.1,11.8,12.3,12.8,14,15.1,15.9,17,18.8,20.9,23,23.9,24.4,25.8,27.5,30.1,33.5,35.8,37.9,41.1,44.3,47.1,50.8
"43","36","Income security","G160341",21.9,23.5,27,28,29.3,30.3,32.8,34.9,38.3,43.1,47.3,58.2,69.3,76.6,87.7,103.7,130.5,140.6,149.7,157.9,175.8,209.9,235.1,262,279.8,281.5,295.7,311.3,320.7,339.6,363.6,396.4,439.4,486.5,507.4,520.2,540.4,559.6,573.8,591.9,611.8,642.1,689.1,755.6,792.8,818.2,861.8,904.9,949
"44","37","  Disability","G160351",4.4,4.7,5.3,5.5,6,6.2,6.7,6.9,7.5,8.1,9,10.1,11.6,13.1,15.1,17.1,19.4,21.9,24.5,26.3,29.6,32.5,35.8,37.5,38.6,39.5,41.2,42.7,44.5,46.9,49.4,53.4,58.2,63,67.1,70.2,73.9,78,80.3,83.7,87.6,93.1,100.5,113.9,121.5,132.8,143.5,151.4,160.7
"45","38","  Retirement \5\","G160361",10.6,11.6,12.8,14.5,15.2,16,17.8,19.4,20.8,24.2,25.8,30.6,35.4,39.3,48.2,54.3,61.6,68.9,76.4,83.9,94.3,109.1,128.2,143.6,154.4,162.8,172.2,181.9,188.9,200.9,213.5,228.6,246.1,260.6,273.6,284.9,297.5,308.4,321.9,332.5,339.3,357.9,377.1,391,404.2,418.1,437,463.7,490.5
"46","39","  Welfare and social services","G160371",4.1,4.1,4.4,4.8,5,5.2,5.8,6.6,7.6,8.4,10,13.1,16,18,19.3,24.7,29.3,32,33.8,35.6,39.7,47,51.4,52.8,57.6,60.4,63.6,66.8,69.3,73.6,79.4,89.1,100.3,111.6,118.5,124.7,127.3,126.6,124.7,127.6,132.8,138,146.2,157.1,166.4,174.4,185.7,189.5,198.1
"47","40","  Unemployment","G160381",2.8,3,4.4,3.2,3,2.7,2.3,1.9,2.2,2.2,2.3,4.1,5.9,5.7,4.4,6.8,17.6,15.9,12.8,10,10.1,18.3,16.7,25.4,26.4,16,15.9,16.6,14.7,13.4,14.6,18.3,26.9,39.1,34.4,23.8,21.7,22.3,20.2,19.8,20.6,20.6,32.3,53.8,53.2,37,31.8,30.8,33.2
"48","41","  Other","G160391",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.7,0.8,2.5,1.9,2.1,2,2.1,3,2.9,2.8,2.9,2.9,2.9,3.2,3.3,4.8,6.7,6.9,8,12.2,13.8,16.6,19.9,24.1,26.7,28.3,31.4,32.4,33,39.9,47.5,55.9,63.8,69.5,66.4
"49","42","      Federal","W013RC1",83.6,86.7,92.8,101.1,106.4,110.8,117.6,135.7,156.2,173.5,183.8,201.1,220,244.4,261.7,293.3,346.2,374.3,407.5,450,497.5,585.7,672.7,748.5,815.4,877.1,948.2,1006,1041.6,1092.7,1167.5,1253.5,1315,1444.6,1496,1533.1,1603.5,1665.8,1708.9,1734.9,1787.6,1864.4,1969.5,2101.1,2252.1,2379.5,2558.6,2711.6,2880.5
"50","43","General public service","G160411",9.9,12.1,12.1,13,13.8,14.7,15.4,16.6,17.5,19.4,21.2,24.3,25.9,29.6,38.6,43.3,47,54,58.6,66.7,77.4,93.8,115.4,135.9,149.8,176.9,201,212.6,212.9,229,249.6,270.4,247.5,294.2,296.4,303.2,329.2,339.5,342.8,340.1,328.4,332.1,304.7,282.7,282.8,291,337,359.5,399.6
"51","44","  Executive and legislative","G160421",3.6,3.8,4.1,4.3,4.5,4.7,4.8,5,4.8,3.6,4,4.9,5.9,6.4,6.2,7.9,9.2,10.4,9.9,10.2,11.2,13.3,12.8,15.1,14.9,17.1,20.8,24.1,21.3,21.7,21.7,23.8,-13.7,31.7,31.7,30.6,27.8,32.1,31.8,32.1,34.3,38.9,34.1,41.2,58.1,57.6,69.4,64.1,73.2
"52","45","  Tax collection and financial management","G160431",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.3,1.7,2,2.3,2.5,2.8,2.8,2.9,3.3,3.6,3.6,3.9,4.2,4.4,5.3,5.2,6,6.3,6.9,8,8.5,9.3,10.1,11.2,11.3,11.3,11.1,10.2,11,9.2,11.4,10,11.9,12.4,11.8,12.4,12.2,13.1,13.8
"53","46","  Interest payments \2\","G160441",6.3,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,212.9,221,255.4,282.3,312.6
"54","47","  Other \6\","G160451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.1,7,6.6,6.1,6.9,8.3,7.6,6.9,6.8,4.5,4.6,5.1,4.4,4.8,4,0.1,0,0,-0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","48","National defense","G160461",42.3,42.9,44.4,48.4,50.2,50.4,52.5,62.1,72.3,80,81.2,79.6,81,84.3,82.6,87.6,93.5,96.7,105,113.7,125.1,145.5,169.2,192.9,210.1,234.5,255.5,269.9,285.6,295.6,301.7,310.7,323.1,319.2,311.7,304,300.2,305.8,307.9,304.1,316.4,324.8,345.5,384.9,440.4,486.6,519.1,548.4,583.9
"56","49","Public order and safety","G160471",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.9,1.1,1.5,1.8,2.1,2.5,2.7,2.9,2.9,3.2,3.6,3.6,3.6,4.1,4.5,4.9,5.4,6.2,7.3,8.1,8.8,10.2,11.7,12.6,13.6,14.3,15.9,16.9,19.1,21.2,25.1,28.1,30.1,32.3,36.7,40.2,42.8,44.4
"57","50","  Police","G160481",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.9,1.1,1.1,1.3,1.4,1.5,1.5,1.6,1.8,1.8,1.8,2.1,2.4,2.6,2.8,3.2,4,4.2,4.5,5.2,6,6.9,6.9,6.8,8.4,11.9,13.9,15,17.4,18.1,18.4,20.6,24.9,28.2,29.7,31.1
"58","51","  Fire","G160491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.8,0.3,0.2,0.8,0.5
"59","52","  Law courts","G160501",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.9,1,1.2,1.3,1.3,1.4,1.6,1.7,1.9,2.2,2.3,2.7,3.1,3.8,4.2,4.3,4.5,4.8,4.8,3.4,3.7,4,4.6,5.9,7.9,6.8,6.9,6.8,7.1,7.5
"60","53","  Prisons","G160511",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.9,1.1,1.1,1.2,1.5,1.4,2.2,2.6,2.6,1.6,1.4,2.1,3,3.8,3.3,4.2,4.8,5,5.3,5.4
"61","54","Economic affairs","G160521",7.3,5.9,6.5,8.6,9.4,11.3,12.5,13.5,14.2,16.1,17.5,17.6,19,22.5,21,19.6,25.8,28.2,34,44.1,42.5,46.5,50.7,48.5,57.8,53.7,57.7,65.2,67.3,59.9,63.7,68,68.9,74.7,76.7,73.8,73.3,73.2,78,81.5,94.3,101.1,109,104.9,118.1,115.5,127.9,124.6,125.2
"62","55","  Transportation","G160571",1.2,1.3,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.1,2.3,2.7,3,3.4,3.6,4.2,5.2,5.7,6.7,7.1,8,9.1,9.2,9.5,10.2,10.8,11,10.4,10.7,11.7,11.9,12.6,13.7,14.8,14.4,15.7,14.7,14.9,16.9,17,17.3,17.8,24.8,25.3,31.2,28.7,30.8,32.3,31.8
"63","56","    Highways","G160581",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.3,0.3,0.7,0.7,0.7,0.6,0.9,1,0.9,0.8,1.2,1.5,1.5
"64","57","    Air","G160591",0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.3,1.4,1.5,1.6,1.7,1.9,2,2.2,2.3,2.4,2.6,2.8,2.7,3.5,3.7,4.1,4.1,4.1,4.6,5,5.3,5.6,6.3,6.4,6.4,6.2,6.7,8.2,8.3,8.7,8.8,15.2,14.6,19.7,16.2,17.3,18.4,18.5
"65","58","    Water","G160601",0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.6,3,3.4,3.7,4,4.4,4.7,4.7,4.5,4.7,5,5.1,5.6,6.2,6.2,6.3,6.5,6.3,6.3,6.3,6.8,7,7.5,7.9,8.1,8.9,9.6,10.3,10.8,10.2
"66","59","    Transit and railroad","G160611",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.3,0.3,0.3,1.1,1.3,1.8,1.9,2.3,2.8,2.4,2.5,2.1,2.1,1.9,1.5,1.6,1.7,1.5,1.4,1.4,1.8,1.1,2,1.8,1.6,1.7,1.2,0.9,0.9,0.7,1.7,1.7,2,1.9,1.8,1.6
"67","60","  Space","G160631",0.2,0.4,0.6,1.2,2.4,3.3,4.2,4.6,3.9,3.9,3.5,3.6,3.6,3.5,3.2,3.7,4.1,4,4.1,4.3,4.6,5.4,5.9,6,6.5,6.7,7,6.8,7.5,8.6,10.2,11.8,12.3,12.5,12.7,12.6,12.7,13.3,13.7,13.1,12.7,13,13.8,13.8,14.6,15.3,15.6,15.2,16.9
"68","61","  Other economic affairs","W692RC1",5.9,4.2,4.5,5.9,5.4,6.2,6.6,7,8.3,10,11.7,11.4,12.4,15.6,14.2,11.7,16.5,18.5,23.3,32.7,29.9,32,35.6,33,41,36.3,39.7,48,49.1,39.6,41.6,43.6,42.9,47.3,49.5,45.6,45.9,45,47.4,51.4,64.3,70.3,70.5,65.8,72.4,71.4,81.5,77.1,76.4
"69","62","    General economic and labor affairs","G160531",0.5,0.6,0.7,0.9,1.1,1.1,1.5,1.9,2.5,2.8,2.8,3.1,4.6,5.9,6.2,5.3,7.9,9.2,11.1,16.9,14.9,14.5,12.1,9,8.6,8.3,9.3,9.6,10.1,10.2,11.9,14.5,12.1,13.7,10.4,10.7,11.1,11.5,12,12.2,13.2,16.5,15,15.9,14.8,16.8,16.2,15.9,17
