"","Table 7#17# Relation of Monetary Interest Paid and Received in t","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"12","4","        Federally sponsored credit agencies","B2645C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1.7,1.5,1.4,2,3.1,3.7,3.7,3.7,4.7,7.1,10.3,15,17.6,15.5,16.5,16.3,15.2,14.6,16,19,16.6,14.3,11,9,11.4,17.4,17.5,19.9,23.1,27.8,40.2,32.4,20.4,17.4,20.2,35.1,NA,NA
"13","5","        Other \1\","B2646C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1.3,1.6,1.9,2.3,2.7,3.4,4.1,4.9,6.2,7,6.3,7.3,8.7,10.1,10.3,11.1,12.3,12.8,12.8,10.6,9.3,9.4,11.6,12.4,13.4,14.3,14.6,16.3,17,13.3,10.8,9.9,12.5,NA,NA
"14","6","      Interest paid by regulated investment companies reported as distributions to stockholders","B2647C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.4,0.3,0.4,0.8,1.1,1,1,1.5,1.8,4.4,8.7,18.3,23.2,17.5,21.7,24.4,28.5,45.1,53.5,67.5,68,60.3,57.1,59.6,77.3,79.2,86.4,96.1,119,118.2,143.5,124.1,100.7,71.3,75.3,106.2,NA,NA
"15","7","      Adjustment for mutual savings banks and savings and loan associations","B2648C1",0.4,0.5,0.5,0.6,0.7,0.8,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.2,0.4,0.5,0.6,0.4,0.6,0.5,0.5,0.5,0.4,0.2,1,0.3,1,1.8,1.6,4.6,2.1,10.1,6.3,-1.7,3.2,11.4,15.7,13.5,9.5,2.5,0,0.4,3,2.5,-0.9,-2.8,1.9,2,2.2,5.4,5,1.1,-0.8,NA,NA
"16","8","      Other \2\","B2649C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,-0.5,0.6,0.1,3.2,-3.1,0.4,6.5,10.7,13.5,13.5,11,9.2,8,7.7,7.6,7.6,7.5,8,8.2,8.9,8.7,5.9,5.3,5.7,8.5,NA,NA
"17","9","Equals: Monetary interest paid by corporations, NIPAs","A2063C1",2.7,3,3.3,3.7,4,4.6,5.3,5.9,6.5,7.3,8.6,10.3,11.4,13,15.1,16.2,19,21.6,24.1,27.4,32.7,37,43.1,54.4,65.3,68.2,76.2,104.2,139.2,136.4,140.6,158.7,197.5,270,358.5,501.9,552.9,506,582.7,611.9,617.8,659.9,766.1,949,936.9,831.5,681.6,627.8,711.6,852.5,888.2,982.8,1107.4,1172.5,1453.5,1370.8,1053.7,926,1047.4,1433.4,1928.3,2135.9
"18",NA,"       Nonfarm proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","Interest paid, IRS","B2650C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.5,1.7,1.9,2.2,2.5,2.7,3,3.4,3.9,5,6,7.2,8.6,10.8,13.6,14.9,15.5,17,20,26.5,33.9,28.4,31.4,32.1,36.3,40.4,40.8,31.4,35.2,45.8,42.8,39.9,35.4,36.3,45.5,52.6,59.6,70.3,84.3,85.4,104.8,109.6,79.3,75,75.2,115.3,150,NA
"20","11","Plus: Interest reported on rental expense schedule","B2651C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,18.5,20.7,28.5,33.7,39.5,50.5,60,66.9,68,65.1,60.3,56.9,54.8,57.2,57,59.3,64.2,68.7,78.8,83.3,83.1,84,87.4,101.5,112.7,NA
"21","12","      Interest passed through to partners","B2652C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.5,0.6,0.8,0.9,1.2,1.8,2.6,3.5,4.7,5.7,8.4,10.6,13.5,5.2,6.6,7.4,6.7,7,6.1,8.2,10.1,10,11.8,16.4,21.4,20.1,28.8,30.4,24.6,28.6,41.6,71.9,108.2,NA
"22","13","      Interest capitalized on tax returns","B2653C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.2,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,2.4,2.3,3.1,3.2,2.1,1.3,1.1,2,1.5,1.2,1.1,1,0.9,1,1,0.6,0.4,0.6,1.8,2,NA
"23","14","Less: Adjustment for misreporting on income tax returns","B2654C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.5,0.7,0.9,1.1,1.4,1.5,2.1,3.1,4.2,5.5,6,7.9,9.4,9.2,8.7,7.9,7.9,8.6,9.3,10,11.3,13.1,13.5,16.5,17.2,14.5,14.5,15.8,22.2,28.5,NA
"24","15","Equals: Monetary interest paid, NIPAs","B1102C1",0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.9,4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,80.9,88.9,83.6,96.2,113.9,111.5,105.4,95.3,94.6,103.8,112.1,119.7,135.8,157.8,161.7,196.8,207,173.2,173.5,189,268.2,344.2,373.5
"25",NA,"       Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","16","Interest received, IRS","B2655C1",4.7,5,5.4,5.9,6.5,7.2,9.5,10.8,11.6,13.2,15.1,16.9,17.9,20.9,23.6,24.9,27.7,30.9,33.9,37.2,41.9,45.4,52.3,62.2,71.6,76.1,86.3,113.3,143,143.3,156,176.7,220.9,289.3,366.9,493.4,529.8,511.3,580.4,634.7,658.7,705.7,804.6,967.2,977.4,919.7,829.3,807.9,881.6,1039.5,1082.1,1186.9,1276.8,1353.6,1628,1548.9,1281.5,1181.7,1384.8,1773.4,NA,NA
"27","17","Less: Interest received by foreign branches of commercial banks","B2656C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,4.8,8.1,11.9,16.6,22.5,19.7,14.3,18.6,16.2,13.1,12.8,15.1,17.9,16.6,12.7,12,12.2,11.1,11.5,12,11.3,12.8,11.5,11.8,11.1,9.9,8.9,9.6,11.2,NA,NA
"28","18","Plus: Interest received by organizations not filing corporation income tax returns","B2657C1",0.2,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.7,0.8,1,1.3,1.3,1.6,1.9,1.8,2,2.3,2.7,3.1,3.7,4.2,5,6.2,7.4,7.4,7.8,10.3,13.7,14.6,15.8,17,20.9,26.8,33.6,45.4,52,47.9,51.6,52.1,53,50.6,56.7,64,64.1,61.5,53.8,50,54.9,68.3,70.1,76.2,82.5,89.3,110.6,102,83.4,75.8,78.6,104.2,NA,NA
"29","19","        Federal Reserve banks","B2658C1",0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.6,0.8,0.7,0.9,1.1,0.9,1,1.2,1.3,1.6,1.9,2.2,2.8,3.4,3.9,3.7,3.8,5,6.3,6.3,6.6,6.9,8.5,10.3,12.8,15.5,16.5,16.1,18.1,18.1,17.5,17.6,19.5,22.2,23.5,22.6,20.2,18.9,20.9,25.4,25.2,26.9,28.1,29.3,34,31.9,26.8,23.8,23.5,30.7,NA,NA
"30","20","        Federally sponsored credit agencies","B2659C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.9,1,1,1.3,1.8,1.6,1.6,2.4,3.7,4.3,4.4,4.5,5.7,8.4,11.8,16.8,19.9,17,18.4,17.9,16.7,16,17.9,21.6,18.8,16.4,12.8,11.2,13.7,19.8,20.2,22.7,26.3,30.7,44.5,36.6,24.4,21.5,24.5,39.5,NA,NA
"31","21","        Other \3\","B2660C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.3,1.5,1.7,2,2.4,2.9,3.8,4,4.8,5.7,6.7,8.1,9.1,13.1,15.6,14.9,15.1,16.1,18.8,16.9,19.3,20.2,21.8,22.5,20.7,19.8,20.3,23.1,24.7,26.6,28.1,29.2,32.1,33.5,32.2,30.5,30.6,33.9,NA,NA
"32","22","      Adjustment for mutual savings banks and savings and loan associations","B2661C1",0.9,1,1.1,1.2,1.3,1.5,0.3,0,0.1,0,0,0.1,0.1,0.2,0.2,0,0,0.3,0.3,0.4,0,0.7,0.8,1,0.7,0.9,1.2,1.2,1.3,1.5,1.2,2.3,2.5,3.2,4,3.6,6.1,5.8,12.8,10.2,2.5,10.2,19.8,24.2,20.2,14.7,6.4,3.5,3.7,5.4,6.2,4.4,3.3,11,12.4,13,8.2,12.7,7.8,6.6,NA,NA
"33","23","      Other \4\","B2662C1",0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.6,0.7,0.4,0.5,0.5,1.1,0.7,0.7,0.9,0.9,0.8,0.8,1.7,2.6,2.8,3.3,3.9,4.9,6.4,7.4,8.1,8.9,8.2,9.4,9.9,12.2,14,14.7,15.2,14.3,12,9.1,6.9,7.4,9.4,11.5,12.3,13,13.8,16.7,14.9,12.1,11.3,11.6,15.7,NA,NA
"34","24","Equals: Monetary interest received by corporations, NIPAs","A2070C1",5.9,6.3,7.1,7.7,8.5,9.5,10.7,11.9,12.7,14.3,16.5,18.7,19.8,22.9,26,27.3,30.4,33.8,37.4,41.2,46.7,50.9,58.8,70.2,80.6,85.2,96.1,126.5,160.6,162.2,174.2,195.1,241.1,313.8,395.4,528.1,577,558.8,635.6,690.8,713.3,767.6,880.8,1052.8,1059.4,995.1,886.6,856.1,936.6,1111.1,1157.8,1268.5,1362.8,1456.1,1756,1667.7,1375.3,1272.6,1473.3,1888.8,2425.7,2659.2
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Consists of interest paid by nonprofit organizations serving business and by credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists of construction interest capitalized on tax returns, interest reported on tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","returns in cost of goods sold, and interest passed through to shareholders by small business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","corporations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Consists of nonprofit organizations serving business, of credit unions, and of other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","tax-exempt interest received by commercial banks and nonlife insurance carriers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4. Consists of interest received by credit agencies and finance companies reported as business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","receipts on tax returns and of interest passed through to shareholders by small business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","corporations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Note.  Total interest received by financial proprietorships and partnerships is not separately",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","identified by the IRS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
