"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"21","12","Education","W600RZ2",1.01,1.01,0.6,1.35,1.35,1.58,2.09,1.21,0.83,0.77,0.84,0.82,0.72,0.79,0.99,1.16,0.25,0.05,0.39,0.02,-0.32,-0.32,-0.12,0.4,0.55,1.04,1.22,0.35,1.25,0.96,0.72,0.48,0.43,0.32,0.93,1.33,0.82,1.23,1.09,1.12,1.26,1.05,0.44,0.19,0.33,-0.01,0.29,0.57
"22","13","Income security","W605RZ2",-0.05,0.25,0.16,0,0,0.27,0.18,0.14,-0.09,0.16,0.14,0.13,0.3,0.14,0.4,0,0.16,0.19,-0.01,0.05,0.03,-0.11,-0.05,0.1,0.07,0.05,0.01,0.06,0.04,0.14,0.16,0.13,0.22,0.04,0.19,0.03,0.01,0.16,0.25,0.13,0.12,0.19,0.38,-0.03,-0.09,0.14,0.31,-0.26
"23","14","      Federal","A823RZ2",-1.63,2.39,4.83,0.04,-0.76,-0.02,5.85,5.32,0.43,-1.83,-3.77,-3.75,-1.91,-1.91,0.38,0.14,0.02,0.89,1.06,1.02,1.99,2.06,1.73,3.02,1.44,3.67,2.66,1.67,-0.73,0.69,0.89,-0.07,-0.74,-1.75,-1.52,-1.06,-0.44,-0.38,-0.4,0.77,0.3,1.31,2.36,2.35,1.52,0.45,0.84,0.59
"24","15","General public service","W611RZ2",0.14,-0.02,0.15,0.04,-0.03,0.17,-0.1,-0.18,-0.09,0.22,0.26,0.33,0.14,-0.01,0.28,-0.1,-0.08,0.1,-0.07,0.11,0.04,-0.19,0.11,-0.07,-0.04,0.19,0.07,0.13,-0.08,0,0.25,0.08,0.02,-0.15,-0.07,0.12,-0.26,0.15,-0.11,0.08,-0.07,0.17,-0.05,0.02,0.29,0.01,0.06,0.05
"25","16","National defense","A824RZ2",-0.8,2.1,2.86,-1.12,-1.78,-0.88,5.71,5.43,0.69,-2.1,-3.66,-4.27,-2.73,-1.83,-0.24,-0.29,-0.1,0.34,0.25,0.88,1.26,1.88,2.37,2.38,1.68,2.98,2.25,1.64,-0.16,-0.17,-0.01,-0.35,-1.55,-1.66,-1.37,-1.02,-0.35,-0.7,-0.49,0.43,-0.11,0.84,1.59,1.94,1.38,0.38,0.4,0.61
"26","17","Public order and safety","W615RZ2",0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0.04,0.02,0.02,0.08,0.03,0.04,0.04,0.04,0.01,0.03,0.03,0.01,-0.03,0,0.08,0.05,0.03,0.04,0.07,0.11,0.06,0.03,0.1,0.09,0.03,-0.01,0.03,0.1,0.06,0.09,0.07,0.14,0.1,0.23,0.11,0.06,0.03,0.07,0.05
"27","18","Economic affairs","W620RZ2",-1.05,-0.08,1.5,0.95,1.12,0.55,-0.26,-0.17,0.08,-0.02,-0.58,0.1,0.13,-0.27,0.05,0.36,0.05,0.35,0.73,0.04,0.41,0.51,-0.54,0.4,-0.46,0.48,0.26,-0.27,-0.62,0.67,0.46,-0.07,0.46,-0.1,-0.15,-0.16,0.06,0,-0.12,0.25,0.16,-0.02,0.34,0.03,-0.07,-0.1,0.12,0.1
"28","19","  Transportation","W625RZ2",0.1,0.07,0.03,0.03,0.02,-0.01,0.08,0.04,-0.03,0.03,0.07,-0.01,0.08,0.02,0.03,-0.01,0,0.06,0.07,0.05,0.03,-0.05,-0.03,0.16,0.04,0.02,-0.02,0.02,0.02,0.02,0.06,0.09,0.04,-0.05,0.1,-0.12,0.03,0.02,0.05,-0.01,-0.01,0.08,0.25,0.11,-0.09,0,0.03,-0.05
"29","20","  Space","W631RZ2",0.28,0.3,0.74,1.27,0.82,0.74,0.17,-0.69,-0.23,-0.38,-0.24,-0.15,-0.14,-0.18,0.03,-0.01,-0.05,-0.03,-0.03,0,0.06,0.01,-0.03,0.1,-0.01,0.04,-0.04,0.07,0.11,0.16,0.15,0.02,-0.01,0,-0.08,-0.02,0.07,-0.01,-0.06,-0.05,-0.01,0.02,-0.04,0.01,0.03,-0.02,-0.02,0.07
"30","21","  Other economic affairs","W632RZ2",-1.43,-0.45,0.73,-0.35,0.28,-0.19,-0.52,0.48,0.34,0.34,-0.41,0.26,0.19,-0.11,-0.02,0.38,0.1,0.32,0.7,-0.01,0.31,0.54,-0.48,0.14,-0.49,0.43,0.32,-0.36,-0.75,0.49,0.26,-0.18,0.43,-0.06,-0.16,-0.02,-0.04,0,-0.11,0.32,0.18,-0.12,0.13,-0.09,0,-0.07,0.11,0.08
"31","22","Housing and community services","W633RZ2",0.03,0.07,0.04,0.04,-0.04,-0.03,0.04,0.06,-0.1,0,0.07,0.11,-0.04,0.02,-0.04,-0.04,-0.01,-0.02,-0.02,-0.02,0.02,0.02,-0.02,0.01,0,0,0.03,-0.03,-0.01,0,0,-0.01,0,0.09,-0.08,-0.01,0,0.01,0.04,0.04,-0.06,-0.01,-0.01,0.02,-0.05,0.04,-0.02,0.01
"32","23","Health","W634RZ2",0.09,0.06,0.08,0.1,0.07,-0.03,0.18,0.08,0.09,0.04,0.09,-0.03,0.37,0.2,0.05,0.17,0.07,-0.03,0.18,-0.03,0.18,-0.02,-0.11,0.25,0.16,0.03,0.06,0.1,0.07,0.08,0.13,0.12,0.12,0.09,0.09,-0.02,0.02,0.05,0.1,-0.07,0.19,0.19,0.12,0.21,-0.1,-0.05,-0.03,0.07
"33","24","Recreation and culture","W635RZ2",0.03,0.01,0.02,0.02,-0.03,0.02,0.01,0,0.02,0.03,-0.01,0,0.02,0,0.04,0.01,0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.02,-0.02,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.04,0.01,-0.02,0.02,0,0,0,0,0,-0.01,0
"34","25","Education","W636RZ2",-0.02,0.02,0.04,0.04,0.03,0.01,0.19,0.04,-0.05,-0.05,0.05,0.01,-0.02,-0.01,-0.08,0.04,-0.02,0,-0.01,0.01,0.01,0.01,-0.02,0.03,0.03,-0.02,0.01,0.01,-0.01,0.01,0.01,0.02,0,0,0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0,0,0,-0.02,-0.05,0.02
"35","26","Income security","W640RZ2",-0.06,0.23,0.12,-0.05,-0.1,0.17,0.08,0.04,-0.2,0.03,-0.01,-0.02,0.13,-0.03,0.28,-0.07,0.07,0.13,-0.03,0.01,0.06,-0.11,-0.04,-0.03,0.02,-0.03,-0.06,0.02,-0.03,0.02,0.02,0.01,0.11,-0.05,0.03,-0.03,-0.03,0.01,0.05,-0.04,0.02,-0.01,0.14,0.03,-0.01,0.16,0.3,-0.31
"36","27","      State and local","A829RZ2",1.78,2.63,1.33,2.54,2.95,3.03,2.95,2.34,2.7,1.58,1.35,1.57,1.17,1.56,2.14,2.12,0.43,0.21,1.88,0.85,-0.04,-1.14,0.03,0.64,1.9,3.3,3.43,0.79,2.02,1.9,2.31,1.2,1.26,0.83,1.54,1.61,1.42,2.25,2.31,3.08,1.75,2.1,2.05,0.12,-0.1,-0.08,0.82,1.48
"37","28","General public service","W646RZ2",0.17,0.29,0.1,0.16,0.28,0.31,0.21,0.31,0.43,0.51,0.02,0.21,0.38,0.47,0.44,0.65,0.06,0.15,0.01,-0.09,-0.04,-0.19,0.11,0.34,0.17,0.79,1.17,-0.19,0.02,-0.02,0.19,0.08,0.34,0.18,0.1,0,0.09,0.27,0.62,0.5,0.08,0.15,0.42,-0.07,-0.14,-0.06,-0.14,0.12
"38","29","Public order and safety","W650RZ2",0.19,0.17,0.09,0.13,0.26,0.18,0.19,0.14,0.36,0.15,0.24,0.29,0.2,0.19,0.26,0.2,0.11,0.06,0.34,0.23,0.13,0.15,0.34,-0.01,0.18,0.36,0.36,0.24,0.26,0.41,0.35,0.25,0.17,0.23,0.3,0.36,0.34,0.34,0.41,0.38,0.08,0.29,0.28,-0.16,0.01,0.05,0.22,0.38
"39","30","Economic affairs","W655RZ2",0.23,0.77,0.27,0.93,0.39,0.63,0.49,0.39,0.28,-0.08,-0.1,-0.08,-0.06,-0.17,-0.28,-0.08,0,0.04,0.84,0.57,-0.14,-0.49,-0.36,0.16,0.67,0.68,0.28,-0.03,0.14,0.09,0.39,0.07,0.16,0.25,0.22,-0.09,0.02,0.32,0.22,0.58,0.39,0.43,0.26,0.1,-0.31,-0.25,-0.12,0
"40","31","  Transportation","W660RZ2",0.1,0.57,0.35,0.67,0.16,0.39,0.51,0.2,0.3,-0.12,-0.13,-0.08,-0.09,-0.19,-0.41,-0.01,-0.1,0,0.57,0.5,-0.16,-0.56,-0.28,0.26,0.71,0.46,0.24,0.03,0.18,0.08,0.36,0.07,0.1,0.26,0.24,-0.11,0.04,0.27,0.2,0.45,0.3,0.37,0.09,0.06,-0.14,-0.28,-0.15,-0.15
"41","32","  Other economic affairs","W665RZ2",0.14,0.2,-0.08,0.27,0.24,0.24,-0.02,0.19,-0.02,0.04,0.03,0,0.03,0.03,0.13,-0.07,0.1,0.04,0.27,0.07,0.02,0.07,-0.07,-0.1,-0.04,0.22,0.04,-0.06,-0.04,0.01,0.04,0,0.05,-0.01,-0.02,0.02,-0.02,0.05,0.02,0.14,0.09,0.06,0.17,0.03,-0.17,0.04,0.03,0.15
"42","33","Housing and community services","W666RZ2",0.01,0.17,0.29,-0.23,0.39,0.1,-0.01,0.03,0.35,-0.19,-0.03,-0.02,-0.15,0.09,0.17,0.05,-0.03,-0.19,0.25,0.03,0.18,-0.23,-0.1,-0.17,0.15,0.12,0.2,0.19,0.05,0.01,0.14,0.09,-0.01,-0.18,-0.09,0.04,0.11,0.05,-0.02,0.07,-0.1,0.16,0.15,0.05,-0.04,0,0.25,0.06
"43","34","Health","W671RZ2",0.15,0.15,-0.02,0.15,0.17,0.12,0.04,0.15,0.18,0.19,0.25,0.2,-0.1,-0.03,0.28,0.01,-0.06,0.07,-0.05,0.05,0.21,-0.01,0.13,-0.18,0.13,0.14,0.08,0.19,0.2,0.28,0.31,0.14,0.06,-0.03,-0.07,-0.12,-0.03,-0.15,-0.23,0.23,-0.13,-0.23,0.19,0.11,0.14,0.19,0.26,0.23
"44","35","Recreation and culture","W672RZ2",0,0.06,0.01,0.04,0.04,0.01,0.03,0.06,0.1,0.06,0.04,0.02,-0.01,0.04,0.08,0.1,-0.02,-0.03,0.06,0.02,-0.02,-0.04,0.02,0,0.03,0.08,0.07,0.01,0.02,0.06,0.07,0.01,0,-0.02,0.02,0.05,0.05,0.05,0.04,0.05,0.08,0.08,0.07,-0.02,-0.02,0,0,0.09
"45","36","Education","W673RZ2",1.03,0.99,0.55,1.31,1.32,1.57,1.9,1.16,0.88,0.82,0.79,0.81,0.74,0.8,1.07,1.11,0.27,0.05,0.4,0.01,-0.33,-0.33,-0.1,0.37,0.52,1.06,1.21,0.34,1.26,0.95,0.71,0.46,0.43,0.32,0.89,1.3,0.8,1.22,1.07,1.09,1.24,1.01,0.44,0.18,0.33,0.01,0.34,0.55
"46","37","  Elementary and secondary","W674RZ2",0.86,0.75,0.28,0.83,1.02,1.09,1.24,0.62,0.64,0.54,0.4,0.62,0.47,0.46,0.79,0.98,0.15,0.08,0.33,0.05,-0.3,-0.42,-0.16,0.34,0.39,0.68,0.89,0.34,0.89,0.69,0.57,0.35,0.34,0.03,0.55,1.06,0.67,0.94,0.76,0.88,0.96,0.77,0.23,0.3,0.05,-0.03,0.29,0.36
"47","38","  Higher","W675RZ2",0.14,0.2,0.23,0.41,0.24,0.37,0.51,0.42,0.19,0.21,0.28,0.12,0.2,0.33,0.2,0.04,0.14,0.01,0.07,-0.03,-0.01,0.13,0.09,0.06,0.11,0.34,0.29,-0.04,0.32,0.21,0.12,0.12,0.09,0.27,0.31,0.21,0.1,0.25,0.27,0.17,0.23,0.2,0.18,-0.11,0.27,0.02,0.05,0.17
"48","39","  Libraries and other","W677RZ2",0.03,0.04,0.04,0.07,0.07,0.11,0.14,0.12,0.05,0.08,0.1,0.06,0.06,0.01,0.07,0.09,-0.01,-0.04,0,-0.02,-0.02,-0.04,-0.03,-0.03,0.02,0.04,0.03,0.03,0.04,0.05,0.02,-0.02,0,0.02,0.03,0.04,0.04,0.03,0.03,0.04,0.06,0.04,0.04,0,0.02,0.02,0.01,0.02
"49","40","Income security","W678RZ2",0.01,0.02,0.03,0.05,0.1,0.11,0.11,0.1,0.12,0.13,0.15,0.14,0.18,0.18,0.11,0.07,0.1,0.06,0.03,0.04,-0.03,0,-0.01,0.13,0.05,0.08,0.07,0.04,0.07,0.12,0.15,0.11,0.11,0.09,0.16,0.06,0.04,0.15,0.2,0.17,0.1,0.2,0.24,-0.06,-0.08,-0.02,0.01,0.05
