"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","            Compensation of general government employees","A194RG3",2.815,2.819,2.855,2.786,2.775,2.88,2.875,2.955,2.988,3.051,3.001,2.94,2.896,3.114,3.274,3.594,4.12,5.886,6.114,6.152,6.532,6.548,6.754,7.086,7.297,7.572,8.001,8.396,8.778,9.389,9.73,10.076,10.425,10.784,11.226,11.771,12.221,12.921,13.632,14.658,15.685,17.378,18.985,20.737,22.367,23.856,26.195,28.297,30.56,32.588,35.127,38.533,42.334,45.615,48.495,52.732,55.728,58.06,60.689,63.294,66.122,69.561,73.442,76.873,79.735,82.508,84.851,87.591,89.973,92.595,96.027,100,103.845,109.458,116.061,121.865,127.425
"12","5","            Consumption of general government fixed capital \2\","A265RG3",13.76,12.936,11.72,10.039,10.899,12.27,12.054,12.692,12.863,12.738,12.526,12.6,13.898,14.721,14.901,14.239,13.565,15.171,17.471,18.331,18.415,18.145,19.776,20.136,20.201,20.311,20.865,22.306,23.332,23.386,23.713,23.78,23.932,24.385,24.9,24.94,25.357,26.155,26.974,27.947,29.292,31.129,33.083,34.751,37.086,42.084,45.968,48.195,50.691,53.894,57.87,63.8,70.447,75.4,76.959,78.214,78.693,79.42,80.488,81.889,83.59,85.704,87.61,88.201,90.319,92.595,95.092,95.809,96.308,96.573,97.903,100,101.044,101.633,102.33,105.231,110.292
"13","6","          Intermediate goods and services purchased \3\","W104RG3",14.953,14.221,12.895,11.733,11.548,12.362,13.148,12.728,13.218,12.987,12.936,12.901,14.387,13.46,13.479,12.992,12.715,13.562,14.815,15.888,15.944,16.418,17.555,17.185,17.44,17.985,18.842,19.331,20.087,20.421,19.399,19.458,19.754,20.171,20.146,20.554,21.05,21.689,22.436,23.261,24.374,25.259,26.592,27.604,29.484,33.388,36.899,39.315,42.074,44.914,49.555,56.479,62.02,65.287,67.286,69.484,70.839,71.002,72.767,74.277,76.707,80.327,82.415,83.972,85.558,87.092,89.646,91.85,93.306,93.279,95.28,100,101.756,102.756,106.894,111.778,119.32
"14","7","            Durable goods","W105RG3",16.694,16.256,15.266,14.845,15.017,16.273,16.734,16.917,16.954,17.044,16.901,17.26,18.846,16.004,15.652,14.754,13.652,15.528,17.746,18.946,19.2,20.061,21.245,21.892,22.275,22.897,23.735,25.297,26.575,27.028,27.529,27.739,28.023,28.497,29.198,29.236,29.423,30.002,30.589,31.85,33.061,34.771,36.464,36.127,37.884,41.348,46.073,49.55,53.053,56.952,62.097,67.239,73.342,79.867,85.365,90.289,91.217,92.915,93.281,91.522,92.214,94.443,96.898,98.448,99.973,100.898,101.53,101.384,100.678,99.829,99.654,100,100.25,100.536,100.957,102.208,104.161
"15","8","            Nondurable goods","W106RG3",16.16,15.441,13.806,12.279,12.329,13.257,14.276,13.201,13.933,13.219,13.122,13.442,15.181,17.367,18.224,18.061,18.555,18.794,19.387,20.966,20.231,20.629,21.49,20.582,20.119,21.622,22.796,22.9,23.58,23.039,22.528,22.487,22.505,22.629,22.442,22.731,23.146,24.095,24.224,24.816,25.459,26.114,26.755,27.619,31.175,38.38,42.998,45.14,48.142,50.95,58.801,71.482,78.55,78.777,78.342,78.19,78.115,70.862,73.432,73.989,78.136,84.168,82.916,82.354,82.735,83.051,86.456,90.448,90.136,85.891,89.048,100,98.862,96.772,104.53,113.758,130.408
"16","9","            Services","W107RG3",16.753,15.827,14.502,13.416,12.901,13.726,14.498,14.576,15.002,15.204,15.216,14.652,16.202,12.361,11.707,11.074,11.358,11.96,13.541,14.44,14.961,15.423,16.86,16.12,16.784,16.706,17.528,17.795,18.453,19.045,17.295,17.367,17.769,18.286,18.192,18.704,19.28,19.834,20.851,21.726,23.075,23.956,25.527,26.775,28.055,30.861,33.857,36.265,38.872,41.626,45.027,50.134,55.11,59.066,61.38,63.943,65.851,68.219,69.972,72.317,74.538,77.655,80.751,82.992,84.984,86.997,89.489,91.354,93.652,95.185,97.018,100,102.961,105.136,108.407,112.219,117.323
"17","10","        Less: Own-account investment \4\","W108RG3",5.303,5.326,5.336,5.165,5.186,5.437,5.449,5.447,5.564,5.678,5.659,5.742,5.818,5.913,6.051,6.258,6.971,8,8.563,9.299,9.662,9.903,10.701,11.233,11.603,12.005,12.385,12.893,13.487,14.175,14.197,14.551,14.88,15.159,15.456,15.772,16.162,16.741,17.469,18.375,19.438,20.841,22.22,23.209,24.783,27.445,30.251,32.5,35.048,37.579,40.566,44.677,48.856,52.001,55.016,57.658,59.956,61.723,63.991,67.106,70.327,73.655,76.714,79.28,81.951,84.729,87.722,89.769,91.662,93.35,96.071,100,102.878,105.907,109.958,114.279,119.227
"18","11","              Sales to other sectors","W109RG3",5.31,5.053,4.653,4.227,4.003,4.337,4.586,4.585,4.749,4.564,4.479,4.503,4.834,5.309,5.514,5.61,5.734,6.337,7.264,7.716,7.688,7.905,8.456,8.633,8.779,8.889,9.067,9.313,9.669,9.903,10.143,10.578,10.769,10.982,11.217,11.515,11.843,12.294,12.72,13.444,14.324,15.173,15.949,16.647,17.946,19.722,21.497,23.108,24.922,27.016,29.567,32.971,36.623,40.085,43.142,46.18,48.645,51.039,54.097,57.898,62.673,67.767,72.949,78.041,82.362,85.402,88.561,91.217,93.374,94.939,97.144,100,102.992,106.62,112.108,117.92,122.97
"19","12","Federal consumption expenditures \1\","A957RG3",6.901,6.6,6.648,6.491,6.448,6.802,6.847,7.627,7.692,7.867,7.705,7.272,7.498,7.267,7.362,7.487,7.882,10.354,10.94,10.757,11.248,11.159,11.534,11.608,11.797,12.136,12.886,13.45,14.019,14.701,14.5,14.656,14.933,15.278,15.651,16.276,16.811,17.49,18.039,19.097,20.136,21.769,23.689,25.739,27.586,30.154,33.395,35.803,38.559,40.96,44.256,49.191,54.085,57.794,59.958,64.06,66.012,66.962,68.331,70.051,72.081,74.644,77.94,80.64,82.86,85.135,87.606,90.479,92.524,93.802,96.412,100,102.314,106.777,111.947,117.695,123.792
"20","13","      Gross output of general government","W110RG3",6.925,6.616,6.654,6.493,6.475,6.848,6.859,7.62,7.694,7.875,7.708,7.314,7.531,7.306,7.4,7.526,7.914,10.232,10.929,10.758,11.245,11.159,11.545,11.621,11.809,12.147,12.889,13.449,14.017,14.696,14.504,14.661,14.935,15.278,15.651,16.275,16.804,17.477,18.023,19.086,20.128,21.739,23.66,25.671,27.536,30.103,33.31,35.732,38.517,40.961,44.28,49.277,54.154,57.801,59.94,63.964,65.879,66.755,68.162,69.9,71.973,74.553,77.825,80.549,82.829,85.096,87.557,90.431,92.507,93.807,96.42,100,102.321,106.774,111.93,117.666,123.761
"21","14","        Value added","W111RG3",3.81,3.629,3.783,3.774,3.866,4.112,3.933,4.512,4.517,4.617,4.455,4.206,4.077,4.384,4.534,4.849,5.39,7.566,8.038,7.789,8.221,8.05,8.204,8.476,8.629,8.816,9.373,9.891,10.316,11.045,11.408,11.626,11.85,12.085,12.596,13.211,13.683,14.313,14.678,15.765,16.724,18.662,20.681,22.964,24.654,26.622,29.375,31.507,34.172,36.285,38.941,42.772,47.313,50.926,52.869,57.987,60.177,61.307,62.759,65.196,67.606,69.72,73.592,77.125,79.804,82.474,85.247,88.861,91.229,92.971,96.234,100,102.721,109.147,115.672,122.817,129.479
"22","15","          Compensation of general government employees","B568RG3",2.47,2.357,2.506,2.538,2.609,2.76,2.616,3.041,3.036,3.112,2.995,2.802,2.67,2.93,3.063,3.369,3.919,6.047,6.093,5.586,6.075,5.893,5.89,6.122,6.253,6.402,6.899,7.262,7.543,8.299,8.635,8.844,9.061,9.241,9.709,10.405,10.875,11.454,11.72,12.769,13.63,15.51,17.444,19.675,21.19,22.825,25.282,27.08,29.495,31.241,33.646,37.099,41.191,44.412,46.199,51.636,54.189,55.637,57.434,60.131,62.656,64.754,68.984,73.17,75.807,78.476,81.329,86.019,89.178,91.476,95.453,100,103.493,112.111,120.602,129.376,137.416
"23","16","          Consumption of general government fixed capital \2\","B995RG3",15.778,14.912,14.11,13.054,13.097,14.504,14.803,15.089,15.527,15.483,15.298,15.565,16.972,16.479,16.203,15.49,14.674,16.435,18.825,19.515,19.735,19.641,20.946,21.283,21.475,21.834,22.527,23.9,25.147,25.405,25.822,26.036,26.238,26.763,27.396,27.358,27.733,28.517,29.415,30.352,31.618,33.26,35.187,37.098,39.394,42.91,46.701,50.336,53.774,57.61,61.058,66.153,72.212,77.261,79.658,81.885,81.752,81.149,80.843,81.936,83.711,85.768,88.081,89.082,91.835,94.465,96.945,97.201,97.179,97.281,98.473,100,100.517,100.646,101.43,103.803,106.48
"24","17","        Intermediate goods and services purchased \3\","W113RG3",16.361,15.744,14.472,13.304,12.448,12.997,14.504,14.559,15.188,15.619,16.014,15.424,18.039,15.937,15.822,15.183,14.809,15.484,16.754,17.875,18.088,18.617,19.906,19.227,19.501,20.232,21.403,21.93,22.83,23.218,21.312,21.235,21.61,22.224,22.135,22.685,23.297,23.998,24.955,25.907,27.09,27.734,29.197,30.336,32.484,36.369,40.461,43.414,46.228,49.308,54.014,61.444,66.846,70.447,72.936,74.746,76.116,76.535,77.87,78.371,79.834,83.254,85.437,86.685,88.22,89.719,91.598,93.125,94.687,95.218,96.725,100,101.694,103.347,106.725,110.752,116.145
"25","18","          Durable goods","W114RG3",20.654,18.968,18.052,18.041,17.065,17.075,18.424,17.775,17.583,17.003,17.208,17.657,19.778,16.633,16.273,15.337,14.188,16.137,18.327,19.475,19.731,20.649,21.813,22.488,22.889,23.533,24.347,25.973,27.404,27.897,28.463,28.658,28.858,29.414,30.159,30.119,30.259,30.756,31.314,32.602,33.822,35.458,37.218,36.142,37.944,40.97,45.649,49.609,53.311,57.388,62.683,67.365,73.274,80.488,87.027,92.845,93.46,95.148,94.965,91.719,91.51,93.544,96.039,97.688,99.785,100.839,101.228,101.074,100.562,99.735,99.569,100,99.843,99.841,100.284,101.277,102.688
"26","19","          Nondurable goods","W115RG3",20.98,20.405,19.098,18.327,18.536,19.124,19.382,19.521,19.935,19.895,20.077,20.344,24.628,27.963,29.28,28.955,29.797,27.86,25.178,26.209,26.06,25.85,25.173,23.623,22.818,25.18,27.159,26.809,27.402,26.592,26.108,25.801,25.606,25.764,25.185,25.709,26.068,27.278,27.111,27.733,28.233,28.693,29.137,30.005,34.47,43.125,49.095,52.708,56.428,59.542,69.134,90.822,98.753,97.999,98.147,94.231,94.462,83.398,84.323,80.457,79.597,87.551,85.493,82.578,82.053,81.514,83.412,88.797,89.223,84.133,87.283,100,96.609,93.584,101.673,109.625,127.253
"27","20","          Services","W116RG3",22.44,21.556,19.582,17.523,15.72,16.694,20.054,20.349,21.871,23.338,24.311,21.857,25.303,16.046,14.03,12.633,12.995,13.559,16.096,17.401,17.797,18.463,20.882,19.231,20.103,19.849,21.11,21.31,22.103,22.742,19.07,18.969,19.51,20.241,20.072,20.759,21.532,22.183,23.56,24.598,26.115,26.634,28.361,29.977,31.646,34.692,38.347,41.037,43.556,46.479,50.196,55.528,60.436,64.259,66.259,68.051,69.816,71.942,73.778,75.673,77.769,80.947,83.622,85.34,87.043,88.891,91.01,92.353,94.373,95.824,97.405,100,102.616,105.097,108.277,112.235,116.691
"28","21","      Less: Own-account investment \4\","W117RG3",6.248,5.755,5.859,5.71,5.852,6.267,6.121,6.703,6.823,7.043,6.828,6.847,6.88,6.784,6.756,6.908,7.762,9.145,9.685,9.488,10.039,9.962,10.871,11.241,11.497,11.629,12.002,12.408,12.85,13.72,13.988,14.405,14.833,15.121,15.543,16.15,16.578,17.072,17.546,18.607,19.645,21.388,22.924,23.38,24.98,27.087,29.737,31.807,34.525,36.687,39.302,43.095,47.02,50.102,52.361,54.372,55.972,57.579,59.423,62.53,65.667,68.347,71.569,74.274,77.87,81.144,84.137,86.945,89.826,92.454,95.734,100,103.495,108.626,113.438,119.837,124.946
"29","22","            Sales to other sectors","W118RG3",8.191,7.638,7.044,6.449,6.256,6.849,7.443,7.155,7.522,7.221,7.757,7.986,8.694,9.258,9.445,9.578,9.768,10.738,12.975,13.393,13.569,13.758,14.725,14.693,14.541,14.824,15.362,15.776,16.433,16.907,16.972,17.055,16.907,17.157,17.518,18.026,18.208,18.563,19.018,20.733,22.231,21.534,24.075,24.37,27.4,30.185,32.075,35.623,40.231,45.083,49.934,58.559,63.101,63.376,63.879,63.738,63.265,58.538,62.357,64.513,68.602,72.198,74.066,78.188,83.384,84.612,86.241,89.262,92.972,95.116,97.634,100,102.286,105.067,108.749,112.767,118.928
"30","23","    Defense consumption expenditures \1\","A997RG3",7.334,7.099,7.052,6.954,6.786,7.095,7.305,7.495,7.598,7.636,7.597,7.032,7.343,7.123,7.204,7.359,7.718,10.175,10.86,10.745,11.118,11.065,11.406,11.408,11.57,11.95,12.714,13.338,13.91,14.529,14.32,14.468,14.69,15.002,15.4,15.961,16.488,17.131,17.687,18.694,19.721,21.241,23.186,25.471,27.437,30.17,33.271,35.685,38.407,41.109,44.596,49.814,54.883,58.768,60.928,65.957,67.782,68.449,69.868,71.512,73.486,76.101,79.079,82.232,83.792,85.783,87.919,91.05,92.856,94.038,96.396,100,102.495,107.018,112.731,118.472,125.071
"31","24","      Gross output of general government","W085RG3",7.379,7.131,7.068,6.961,6.792,7.112,7.315,7.517,7.626,7.663,7.623,7.065,7.37,7.156,7.237,7.391,7.75,10.101,10.872,10.759,11.131,11.078,11.427,11.431,11.593,11.972,12.732,13.352,13.924,14.542,14.339,14.487,14.708,15.018,15.415,15.974,16.497,17.133,17.688,18.695,19.721,21.239,23.183,25.426,27.386,30.135,33.24,35.652,38.367,41.072,44.554,49.761,54.822,58.703,60.863,65.872,67.697,68.37,69.789,71.436,73.421,76.034,79.032,82.204,83.785,85.764,87.897,91.028,92.843,94.039,96.399,100,102.514,107.037,112.736,118.475,125.063
"32","25","        Value added","W086RG3",4.152,4.027,4.087,4.059,3.971,4.158,4.233,4.494,4.525,4.556,4.54,4.166,4.111,4.544,4.708,5.032,5.601,7.899,8.462,8.255,8.593,8.42,8.481,8.746,8.867,9.085,9.649,10.18,10.619,11.298,11.69,11.889,12.034,12.257,12.772,13.364,13.828,14.47,14.845,15.94,16.931,18.842,20.9,23.491,25.221,27.307,29.979,32.186,34.64,37.008,39.797,43.739,48.522,52.493,54.595,61.01,63.373,64.376,65.724,67.847,70.142,72.062,75.649,79.817,81.391,83.607,85.889,89.782,91.869,93.46,96.369,100,102.984,109.7,116.86,124.019,131.671
"33","26","          Compensation of general government employees","B237RG3",2.775,2.716,2.805,2.822,2.739,2.819,2.868,3.075,3.046,3.066,3.049,2.753,2.674,3.037,3.173,3.495,4.061,6.343,6.432,5.882,6.283,6.079,5.938,6.154,6.256,6.422,6.919,7.263,7.533,8.247,8.618,8.812,8.947,9.106,9.592,10.302,10.777,11.399,11.672,12.735,13.634,15.504,17.508,20.107,21.659,23.411,25.818,27.623,29.748,31.681,34.259,37.86,42.218,45.796,47.68,54.711,57.612,59.042,60.855,63.282,65.695,67.529,71.437,76.528,77.544,79.425,81.556,86.834,89.742,91.837,95.436,100,104.1,113.493,123.197,132.1,141.713
"34","27","          Consumption of general government fixed capital \2\","B432RG3",14.942,14.036,13.334,12.584,12.681,14.047,14.331,14.668,15.689,15.798,15.873,15.59,16.933,15.835,15.718,14.82,14.085,15.778,18.076,18.769,18.976,18.929,20.229,20.606,20.751,21.173,21.854,23.276,24.545,24.775,25.167,25.349,25.519,26.028,26.584,26.495,26.827,27.438,28.273,29.183,30.371,31.907,33.714,35.625,37.885,41.221,44.643,48.429,52.028,56.093,59.357,64.201,70.146,75.279,78.049,80.575,80.248,79.391,78.844,79.739,81.512,83.627,86.076,87.396,90.492,93.571,96.22,96.693,96.808,97.213,98.519,100,100.398,100.802,101.813,104.718,107.623
"35","28","        Intermediate goods and services purchased \3\","W087RG3",16.043,15.317,13.937,13.33,12.908,13.469,14.428,13.397,13.948,13.912,13.746,13.257,15.605,13.414,13.257,12.839,12.379,12.752,14.407,15.924,16.003,16.869,18.339,17.546,17.807,18.582,19.801,20.552,21.424,21.797,19.878,19.826,20.245,20.768,20.758,21.123,21.733,22.267,23.211,23.99,25.051,25.5,26.964,28.115,30.487,34.751,38.728,41.446,44.594,47.947,52.956,60.94,66.357,69.905,72.144,74.436,75.274,75.377,76.923,77.812,79.297,83.105,85.079,86.468,88.057,89.583,91.426,93.144,94.478,94.991,96.448,100,101.802,103.311,107.211,111.334,116.727
"36","29","          Durable goods","A998RG3",17.481,15.622,14.61,14.611,12.894,13.807,14.962,14.835,16.131,16.42,16.54,16.197,18.482,15.194,14.889,14.009,12.966,14.918,17.444,18.71,18.968,19.912,21.053,21.716,22.104,22.735,23.524,25.118,26.515,26.986,27.508,27.653,27.832,28.35,29.035,28.864,29.182,29.68,30.209,31.45,32.646,34.239,35.957,34.874,36.66,39.62,44.186,48.038,51.744,55.836,61.098,65.693,71.514,78.646,85.285,91.193,91.817,93.529,93.338,89.991,89.682,91.692,94.258,95.997,98.191,99.32,99.81,100.013,99.836,99.304,99.376,100,100.051,100.335,100.981,102.127,103.728
"37","30","          Nondurable goods","A725RG3",8.716,8.204,7.118,6.664,6.889,7.665,7.751,7.789,8.385,7.864,7.636,7.741,8.598,10.008,10.303,10.484,10.543,10.335,12.12,15.139,13.898,14.248,14.367,13.205,12.627,14.658,16.522,17.334,18.007,17.085,17.091,17.303,17.109,17.004,16.625,16.517,16.802,17.317,17.426,17.567,17.876,18.063,18.325,19.046,23.251,32.838,38.73,41.869,45.326,48.143,60.042,87.735,98.31,95.874,90.316,87.949,85.991,69.59,71.464,76.195,80.647,92.047,87.349,83.349,81.611,80.115,81.642,89.386,88.006,78.31,82.035,100,94.032,87.997,99.631,111.656,137.758
"38","31","          Services","A489RG3",37.751,36.638,34.498,33.384,31.035,31.106,34.353,29.206,29.289,29.818,29.484,27.881,34.761,19.944,17.314,14.353,14.647,14.374,15.842,16.644,17.578,18.915,21.96,19.744,20.701,20.32,21.743,21.901,22.621,23.377,18.96,18.743,19.435,20.183,20.068,20.769,21.602,22.168,23.717,24.74,26.226,26.471,28.414,30.356,32.144,35.031,38.374,40.744,43.766,47.113,50.752,56.144,60.566,64.022,65.994,67.692,68.998,70.786,72.912,74.78,76.524,80.053,82.644,84.573,86.377,88.345,90.554,92.082,94.018,95.766,97.321,100,103.045,105.614,109.331,113.246,117.386
"39","32","      Less: Own-account investment \4\","W088RG3",7.82,7.295,7.29,6.931,6.802,7.681,7.433,8.418,8.761,8.797,8.715,8.418,8.212,8.07,8.054,8.157,9.39,11.056,12.248,12.112,12.504,12.327,13.925,14.255,14.458,14.471,14.615,14.931,15.358,16.22,16.26,16.488,16.693,16.713,16.949,17.25,17.476,17.904,18.296,19.371,20.456,21.94,23.672,24.946,26.708,29.488,32.734,34.972,38.259,40.81,43.857,48.307,52.484,55.677,57.418,59.645,61.082,62.361,64.031,67.011,69.518,71.766,74.879,77.004,79.503,82.765,85.923,88.266,91.278,93.64,96.231,100,103.367,108.406,113.288,120.112,126.127
"40","33","            Sales to other sectors","W089RG3",8.468,7.946,7.261,6.675,6.442,7.015,7.208,7.27,7.81,7.749,7.774,7.951,8.472,9.068,9.189,9.308,9.634,10.867,13.311,14.319,14.592,14.823,15.801,16.04,16.498,17.123,17.453,17.615,18.337,18.803,19.279,19.522,19.565,19.647,19.823,20.15,20.16,20.237,20.8,21.861,22.806,23.714,25.702,20.626,22.016,25.451,28.464,30.589,31.738,35.092,37.799,41.673,45.829,49.401,51.66,54.412,56.899,58.647,59.758,60.911,64.732,68.031,74.078,80.83,84.321,84.674,86.071,89.638,91.893,94.335,97.125,100,105.12,109.188,113.168,117.603,122.661
"41","34","    Nondefense consumption expenditures \1\","A542RG3",6.819,6.419,6.579,6.339,6.424,6.814,6.768,7.829,7.884,8.108,7.903,7.513,7.603,7.679,7.656,6.854,8.213,10.522,10.748,10.307,11.114,10.888,11.391,11.982,12.35,12.423,13.045,13.238,13.744,14.798,14.771,14.959,15.498,15.979,16.236,17.095,17.644,18.448,18.952,20.197,21.26,23.299,25.099,26.392,27.895,30.018,33.59,35.978,38.863,40.607,43.471,47.792,52.32,55.629,57.801,59.464,61.781,63.519,64.761,66.735,68.952,71.426,75.603,77.238,80.939,83.831,86.998,89.312,91.861,93.393,96.493,100,101.986,106.342,110.509,116.274,121.381
"42","35","      Gross output of general government","W128RG3",7.364,6.927,7.1,6.843,6.964,7.4,7.329,8.368,8.438,8.682,8.459,8.092,8.19,8.253,8.27,7.582,8.557,10.211,10.699,10.335,11.118,10.916,11.437,11.997,12.349,12.431,13.044,13.266,13.777,14.792,14.772,14.964,15.477,15.953,16.223,17.072,17.615,18.411,18.912,20.177,21.258,23.19,25.01,26.317,27.923,30.027,33.474,35.92,38.857,40.751,43.737,48.307,52.8,55.924,58.025,59.611,61.772,63.188,64.581,66.601,68.942,71.461,75.425,77.131,80.929,83.797,86.919,89.285,91.871,93.368,96.458,100,101.981,106.311,110.474,116.213,121.351
