"","Table 2A# Real Gross Domestic Product                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","30","Gross private domestic investment","A006RX1",91.3,60.9,38.3,11.5,17,30.7,56.9,72.9,91.1,60.2,77.4,107.9,131.7,69.6,41.1,50.8,67,172.1,165.3,211.2,161.2,227.7,228.3,206.5,216.2,206.1,256.2,252.7,241.7,221.7,266.7,266.6,264.9,298.4,318.5,344.7,393.1,427.7,408.1,431.9,457.1,427.1,475.7,532.1,594.4,550.6,453.1,544.7,627,702.6,725,645.3,704.9,606,662.5,857.7,849.7,843.9,870,890.5,926.2,895.1,822.2,889,968.3,1099.6,1134,1234.3,1387.7,1524.1,1642.6,1735.5,1598.4,1557.1,1613.1,1770.6,1866.3
"12",NA,"Exports and imports of goods and services"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","40","  Exports","A020RX1",34.9,28.9,24,18.8,18.9,21,22.2,23.3,29.3,29,30.6,34.8,35.7,23.6,19.9,21.4,29.9,64.6,73.7,58,57.5,50.3,61.7,59,55.1,57.7,63.9,74.4,80.9,70,77.2,90.6,91.1,95.7,102.5,114.6,117.8,126,128.9,139,145.7,161.4,164.1,176.5,209.7,226.3,224.9,234.7,240.3,265.7,292,323.5,327.4,302.4,294.6,318.7,328.3,353.7,391.8,454.6,506.8,552.5,589.1,629.7,650,706.5,778.2,843.4,943.7,966.5,1008.2,1096.3,1036.7,1013.3,1026.1,1120.4,1196.1
"14","50","  Imports","A021RX1",44.3,38.5,33.6,27.9,29.1,29.7,38.9,38.4,43.3,33.6,35.3,36.2,44.5,40.4,50.9,53.3,56.7,47,44.6,52,50.2,59.3,61.7,67.1,73.4,69.8,78.2,84.5,88.1,92.3,101.9,103.3,102.6,114.3,117.3,123.6,136.7,157.1,168.5,193.6,204.6,213.4,224.7,250,261.6,255.7,227.3,271.7,301.4,327.6,333,310.9,319.1,315,354.8,441.1,469.8,510,540.2,561.4,586,607.1,603.7,645.6,702.1,785.9,849.1,923,1048.3,1170.3,1304.4,1475.8,1435.8,1484.6,1545,1711.3,1815.3
"15","60","Government consumption expenditures and gross investment","A822RX1",120.6,132.9,138.5,133.8,129.2,145.7,149.7,174.7,167.3,180.2,196,201.5,335.1,788.6,1173.3,1320.5,1152.9,396.8,337.2,361.7,404.9,405.3,553.5,666.3,713.9,665.1,640.7,641,669.5,690.9,714.3,715.4,751.3,797.6,818.1,836.1,861.3,937.1,1008.9,1040.5,1038,1012.9,990.8,983.5,980,1004.7,1027.4,1031.9,1043.3,1074,1094.1,1115.4,1125.6,1145.4,1187.3,1227,1312.5,1392.5,1426.7,1445.1,1482.5,1530,1547.2,1555.3,1541.1,1541.3,1549.7,1564.9,1594,1624.4,1686.9,1721.6,1780.3,1858.8,1904.8,1940.6,1958
"16","70","Residual","AR2ARX1",1.3,-19.6,-34.2,-45.5,-41.5,-42.8,-37.8,-42.9,-35.3,-46.8,-47.1,-41,-68.8,-209.1,-338.6,-383.1,-309.5,-10,11.3,9.9,-22.3,0.5,-38,-84.6,-98,-85.1,-55.3,-53.2,-63.6,-83.4,-69.6,-64.9,-75,-73.3,-69.4,-61.6,-52.1,-56.4,-77.8,-75.6,-67.2,-68,-52.8,-38.4,-14.8,-18.6,-43.8,-34.2,-22.8,-2.8,11.9,14.3,30.7,-19.8,-34.4,-12,-31,-45.4,-43,-33,-23.1,-28.3,-32.7,-26.6,-24.4,-16.7,-14.6,-10.1,-5.4,-3.6,-1.6,0,0.7,4.9,6.7,6.1,2.3
"17","80","Final sales of domestic product","A190RX1",874.5,814.8,767.4,680.4,659.8,722.2,767.2,868.3,904.6,891.6,957.4,1022.5,1187.1,1435.3,1693.6,1831.5,1816.5,1566.4,1598.5,1628.1,1666.7,1763.8,1889.4,1990,2087.7,2092.5,2209.2,2259,2316.9,2299,2442.7,2506.8,2566.8,2708.5,2830.3,2999.9,3173.8,3364.8,3467.6,3640.3,3753.7,3787.7,3893.4,4098.6,4315.9,4305.5,4352.5,4522.3,4721.6,4981.6,5161.2,5196.7,5265.1,5233.4,5454,5739.2,6042.1,6271.8,6457.2,6734.5,6962.2,7108.5,7115,7331.1,7522.3,7777.8,8010.2,8306.5,8636.6,8997.6,9404,9760.5,9920.9,10036.5,10285.1,10648.3,11025.2
"18","90","Gross domestic purchases","A712RX1",879.5,806.1,756.1,659.1,651.5,719.8,790.3,890.9,932.4,891.9,963.8,1044.1,1232.5,1478,1737.7,1877,1843.6,1571.6,1538.8,1644.1,1634,1801,1926,2011.9,2118.6,2095.7,2246.3,2281.8,2322.1,2320.7,2485.9,2529.6,2587.6,2751.4,2866,3023.2,3228.6,3450.3,3545.1,3727.5,3844.1,3837.4,3974.2,4192.8,4399.1,4343.8,4297,4575,4818.5,5081.5,5206.8,5108.9,5244.7,5175.1,5477.6,5951.6,6215.8,6443.6,6644.1,6857.9,7060.8,7161.6,7101.2,7338.9,7577.2,7911.3,8098.4,8405.7,8807.6,9272.5,9767.7,10196.4,10290.1,10517.7,10815.5,11286.5,11659.7
"19","100","Final sales to domestic purchasers","A713RX1",889.3,831,784.3,696.9,676.5,738.3,790.8,892.6,925.8,904.1,970.7,1032.1,1207.9,1478.2,1761.5,1903.2,1875.1,1547.7,1562.8,1628.6,1666.6,1787.4,1900,2013.6,2127.1,2123.4,2242.8,2285,2338.3,2341.1,2487.4,2534.8,2594.6,2744.8,2862.4,3024.5,3211.2,3415.5,3528.1,3715.3,3832.6,3854,3969.3,4186.9,4373.4,4329.7,4338.2,4556.2,4789.5,5047.9,5194.2,5142.8,5217.9,5218.2,5507.3,5877.3,6204.2,6452,6626.5,6849.7,7041.6,7157.4,7115.2,7333,7566.4,7853.6,8076.8,8383.1,8740.4,9203.2,9701.3,10140,10320.5,10505.3,10799.5,11231.1,11636.1
"20","110","Gross national product","A001RX1",872.6,797.8,745.7,648.4,639.5,707.8,771.1,870.3,915.9,884.7,955.9,1038.5,1217,1441.3,1676.7,1812.6,1791.6,1596.1,1583.5,1654,1644.5,1788.2,1928.4,2002.1,2092.8,2079.4,2228.5,2273.1,2319.2,2294.7,2457.4,2519.4,2579.3,2736.9,2857.2,3023.6,3217.3,3423.7,3510.1,3680,3792,3798.2,3927.8,4136.2,4383.6,4367.5,4348.4,4585.3,4800.3,5064.4,5240.1,5227.6,5349.7,5249.7,5482.5,5869.3,6093.4,6290.6,6500.9,6775.2,7015.4,7155.2,7136.8,7371.8,7568.6,7864.2,8069.8,8365.3,8737.5,9088.7,9504.7,9855.9,9933.6,10079,10355.3,10746.8,11077.9
"21",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","120","  Gross domestic product","A191RL1",NA,-8.6,-6.4,-13,-1.3,10.8,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-11,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.7,7.1,1.9,2,-1,7.1,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.5,-0.2,5.3,4.6,5.6,3.2,-0.2,2.5,-1.9,4.5,7.2,4.1,3.5,3.4,4.1,3.5,1.9,-0.2,3.3,2.7,4,2.5,3.7,4.5,4.2,4.5,3.7,0.8,1.6,2.5,3.9,3.2
"23","130","  Final sales of domestic product","A190RL1",NA,-6.8,-5.8,-11.3,-3,9.5,6.2,13.2,4.2,-1.4,7.4,6.8,16.1,20.9,18,8.1,-0.8,-13.8,2.1,1.9,2.4,5.8,7.1,5.3,4.9,0.2,5.6,2.3,2.6,-0.8,6.2,2.6,2.4,5.5,4.5,6,5.8,6,3.1,5,3.1,0.9,2.8,5.3,5.3,-0.2,1.1,3.9,4.4,5.5,3.6,0.7,1.3,-0.6,4.2,5.2,5.3,3.8,3,4.3,3.4,2.1,0.1,3,2.6,3.4,3,3.7,4,4.2,4.5,3.8,1.6,1.2,2.5,3.5,3.5
"24","140","  Gross domestic purchases","A712RL1",NA,-8.3,-6.2,-12.8,-1.2,10.5,9.8,12.7,4.7,-4.3,8.1,8.3,18,19.9,17.6,8,-1.8,-14.8,-2.1,6.8,-0.6,10.2,6.9,4.5,5.3,-1.1,7.2,1.6,1.8,-0.1,7.1,1.8,2.3,6.3,4.2,5.5,6.8,6.9,2.7,5.1,3.1,-0.2,3.6,5.5,4.9,-1.3,-1.1,6.5,5.3,5.5,2.5,-1.9,2.7,-1.3,5.8,8.7,4.4,3.7,3.1,3.2,3,1.4,-0.8,3.3,3.2,4.4,2.4,3.8,4.8,5.3,5.3,4.4,0.9,2.2,2.8,4.4,3.3
"25","150","  Final sales to domestic purchasers","A713RL1",NA,-6.6,-5.6,-11.1,-2.9,9.1,7.1,12.9,3.7,-2.3,7.4,6.3,17,22.4,19.2,8,-1.5,-17.5,1,4.2,2.3,7.2,6.3,6,5.6,-0.2,5.6,1.9,2.3,0.1,6.3,1.9,2.4,5.8,4.3,5.7,6.2,6.4,3.3,5.3,3.2,0.6,3,5.5,4.5,-1,0.2,5,5.1,5.4,2.9,-1,1.5,0,5.5,6.7,5.6,4,2.7,3.4,2.8,1.6,-0.6,3.1,3.2,3.8,2.8,3.8,4.3,5.3,5.4,4.5,1.8,1.8,2.8,4,3.6
"26","160","  Gross national product","A001RL1",NA,-8.6,-6.5,-13,-1.4,10.7,9,12.9,5.2,-3.4,8.1,8.6,17.2,18.4,16.3,8.1,-1.2,-10.9,-0.8,4.5,-0.6,8.7,7.8,3.8,4.5,-0.6,7.2,2,2,-1.1,7.1,2.5,2.4,6.1,4.4,5.8,6.4,6.4,2.5,4.8,3,0.2,3.4,5.3,6,-0.4,-0.4,5.4,4.7,5.5,3.5,-0.2,2.3,-1.9,4.4,7.1,3.8,3.2,3.3,4.2,3.5,2,-0.3,3.3,2.7,3.9,2.6,3.7,4.4,4,4.6,3.7,0.8,1.5,2.7,3.8,3.1
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. The residual is the difference between Gross Domestic Product and the sum of the detailed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","components shown in this table.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
