"","Table 6#3C# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"42","35","        Rubber and miscellaneous plastics products","B4135C0",19206,20234,21262,22236,22416,24213,25573,27518,28781,29783,31728,33528,34350,35734
"43","36","        Leather and leather products","B4136C0",2207,2316,2387,2401,2347,2392,2427,2433,2377,2251,2261,2204,2160,2151
"44","37","    Transportation and public utilities","A4137C0",153820,162214,169110,179196,184531,192362,199750,211611,221693,231286,247794,266377,291681,312563
"45","38","      Transportation","A4138C0",80282,85869,90560,95323,97978,102840,106514,113248,118964,125351,133638,144919,154811,163555
"46","39","        Railroad transportation","B4139C0",11578,11200,11075,10726,10877,11511,11147,11171,11203,11502,11733,12611,12610,12409
"47","40","        Local and interurban passenger transit","B4140C0",4484,4997,5320,5635,5943,6329,6748,7373,7892,8569,9188,9903,10575,10899
"48","41","        Trucking and warehousing \2\","B4141C0",33656,32059,33422,34475,34890,36780,38790,42155,44556,46787,50362,54365,58323,61326
"49","42","        Water transportation","B4142C0",4886,5038,5249,5620,5969,5955,6004,6239,6345,6450,6896,7321,7601,8141
"50","43","        Transportation by air \2\","B4143C0",18588,24669,26843,29515,30659,31983,33020,34553,36237,38616,41090,45132,49284,52890
"51","44","        Pipelines, except natural gas","B4144C0",723,774,769,831,893,979,958,929,873,822,824,845,850,865
"52","45","        Transportation services","B4145C0",6367,7132,7882,8521,8748,9302,9847,10829,11858,12604,13544,14741,15568,17024
"53","46","      Communications","A4146C0",41535,42907,43357,46810,47632,48860,50947,55520,58814,62056,69028,74892,87645,96410
"54","47","        Telephone and telegraph","B4147C0",32563,33653,33760,36179,36974,37651,39084,42615,43813,46356,52324,55992,66266,73135
"55","48","        Radio and television","B4148C0",8972,9254,9597,10632,10658,11209,11863,12906,15001,15700,16704,18899,21378,23275
"56","49","      Electric, gas, and sanitary services","B4149C0",32003,33438,35193,37063,38921,40662,42289,42843,43914,43879,45128,46566,49226,52598
"57","50","    Wholesale trade","B4150C0",155791,170784,182434,189680,191874,201031,204741,218815,234746,246323,266188,288493,309412,332406
"58","51","    Retail trade","B4151C0",225720,241797,254416,263873,268771,282134,291092,308659,326529,342283,362509,389430,419141,446435
"59","52","    Finance, insurance, and real estate","A4152C0",177060,191282,197090,207759,214755,231624,253105,261921,274445,298037,326908,368354,395511,432976
"60","53","      Depository institutions","B4153C0",49553,52778,55070,57101,56821,58899,61371,63909,65892,69141,73732,80058,83348,84528
"61","54","      Nondepository institutions","B4154C0",10183,10752,11032,11785,12457,14709,18131,18124,18405,21259,25419,32871,34794,35495
"62","55","      Security and commodity brokers","B4155C0",29261,30261,28015,29044,31249,38986,47736,47823,52239,61787,70269,82528,94356,118292
"63","56","      Insurance carriers","B4156C0",37697,40656,43214,47010,50501,52980,56069,58574,61029,63952,68050,75073,78572,81321
"64","57","      Insurance agents, brokers, and service","B4157C0",16462,18578,19566,20991,21734,22192,23329,25039,26438,28027,30330,31871,33725,35943
"65","58","      Real estate","B4158C0",25675,28385,29712,30282,29940,30829,32486,34535,35519,37944,41499,46376,49964,53701
"66","59","      Holding and other investment offices","B4159C0",8229,9872,10481,11546,12053,13029,13982,13916,14924,15927,17609,19577,20752,23695
"67","60","    Services","A4160C0",476982,529790,582302,643844,673130,730278,774457,818551,889387,957986,1039666,1143882,1244487,1373354
"68","61","      Hotels and other lodging places","B4161C0",19503,21573,23423,25210,25311,26201,27331,28560,30137,31807,34131,36762,40227,43125
"69","62","      Personal services","B4162C0",13905,14801,15595,16667,16948,17774,18425,19055,20174,21301,22625,24058,25656,27200
"70","63","      Business services","B4163C0",74321,83903,94169,104758,105914,116331,129244,142925,164490,189394,221537,262312,307410,361148
"71","64","      Auto repair, services, and parking","B4164C0",15019,16300,17428,18926,18479,19178,20513,21863,22714,25601,27108,29230,31466,33891
"72","65","      Miscellaneous repair services","B4165C0",6727,7605,8421,9072,8125,8558,9099,8718,9558,10428,10835,11634,11947,12406
"73","66","      Motion pictures","B4166C0",6861,7295,8228,9597,9626,9837,11003,12146,14473,15567,17488,18914,19569,20750
"74","67","      Amusement and recreation services","B4167C0",13862,15201,16561,19018,20154,22272,24447,25988,28948,31176,33976,36701,40047,43504
"75","68","      Health services","B4168C0",151810,167260,183669,205770,224988,247679,258002,270058,287122,300360,315348,331187,345090,364506
"76","69","      Legal services","B4169C0",31256,35900,38808,42408,43685,46850,47810,48960,50651,53071,55680,60357,64546,70536
"77","70","      Educational services","B4170C0",24859,27302,29539,31621,34080,36844,38974,41173,43691,46381,49458,53847,57957,62981
"78","71","      Social services and membership organizations","A4171C0",39967,45307,49873,54487,58920,62678,67634,72440,78039,82605,88616,96851,105113,113937
"79","72","        Social services","B4172C0",17173,19304,21756,24413,27010,29850,32202,34793,37870,40226,43255,47554,51985,57050
"80","73","        Membership organizations","B4173C0",22794,26003,28117,30074,31910,32829,35432,37647,40169,42380,45361,49297,53128,56887
"81","74","      Other services \3\","B4174C0",71339,79202,87849,97136,97993,106205,111541,115874,127827,138609,151138,168389,183069,206137
"82","75","      Private households","B411RC0",7552,8140,8738,9173,8908,9871,10432,10790,11563,11685,11726,13640,12389,13234
"83","76","  Government","A553RC0",422628,451320,480161,517742,546774,569189,586759,606242,625506,644381,668096,697262,729308,774701
"84","77","    Federal","A4177C0",138372,146174,151149,160396,168808,173527,174668,175057,174701,175654,177250,179728,184284,195818
"85","78","      General government","A4178C0",113594,119547,123770,130685,138025,140729,142447,141395,140316,140222,141152,142752,146543,155069
"86","79","        Civilian","B4179C0",61476,65766,68403,72409,76619,79759,83604,84768,84718,85457,86291,87799,90203,96214
"87","80","        Military \4\","B4180C0",52118,53781,55367,58276,61406,60970,58843,56627,55598,54765,54861,54953,56340,58855
"88","81","      Government enterprises","B4181C0",24778,26627,27379,29711,30783,32798,32221,33662,34385,35432,36098,36976,37741,40749
"89","82","    State and local","A4182C0",284256,305146,329012,357346,377966,395662,412091,431185,450805,468727,490846,517534,545024,578883
"90","83","      General government","A4183C0",264105,283540,305898,332469,351768,368581,383788,401747,420382,437251,457787,482759,508508,540082
"91","84","        Education","B4184C0",137198,147422,159048,172619,182907,190522,198904,207548,218183,228576,241057,255415,269651,287401
"92","85","        Other \1\","B4185C0",126907,136118,146850,159850,168861,178059,184884,194199,202199,208675,216730,227344,238857,252681
"93","86","      Government enterprises \1\","B4186C0",20151,21606,23114,24877,26198,27081,28303,29438,30423,31476,33059,34775,36516,38801
"94","87","Rest of the world","A4187C0",-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-5213,-4592
"95","88","  Receipts from the rest of the world","B4188C0",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,2748,2933
"96","89","  Less:  Payments to the rest of the world \5\","B4189C0",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,7961,7525
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2. Reflects the reclassification of air couriers from trucking and warehousing to transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","3. Consists of museums, botanical and zoological gardens; engineering and management services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","5. Beginning with 1993, includes estimates of foreign professional workers and undocumented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
