"","Table 6#11A# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"51","41","        State and local","S121000",72,78,86,95,110,119,127,137,144,151,157,163,175,194,210,218,235,255,275
"52","42","    Private insurance funds","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","43","      Group insurance","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","44","        Group health insurance","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","        Group life insurance","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","46","      Workers' compensation","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","47","      Supplemental unemployment","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0",76,81,86,89,93,95,102,110,123,135,147,162,181,279,385,421,450,452,476
"59","49","    Federal civilian","B4947C0",29,30,31,32,30,30,32,34,37,39,42,50,66,159,257,282,295,262,246
"60","50","    State and local","S251200",47,51,55,57,63,65,70,76,86,96,105,112,115,120,128,139,155,190,230
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Valley Authority, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
