"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"40","32","D     Lumber and other construction materials wholesalers","KP42130",4912,5128,5032,5105,4915,5063,5051,5079,5122,5090,5033,5180,5219,5183,5134,5211,5273,5371,5511,5545,5564,5696,5767,5771,5576,5685,5708,5763,5874,5904,5854,5797,5983,6099,6260,6094,6114,5926,5949,5826,5872,5901,5785,5831,5897,5960,5959,6017,5968,6049,5992,6116,6168,5924,6077,6118,6028,6171,6293,6488,6544,6785,6500,6573,6356,6346,6146,6269,6344,6428,6362,6353,6806,6494,6492,6414,6430,6750,7036,7097,7416,7731,7906,7650,7918,8081,8503,8647,8667,8502,8606,8759,8489,8563,8789,9247,9341,8993,8605,8539,8628,8636,8817,8874,8970
"41","33","D     Professional and commercial equipment wholesalers","KP42140",11911,12607,12417,12750,13145,13458,13430,13594,14183,14347,14898,15057,15464,15951,16133,16679,16429,17031,17285,17832,17763,18281,17934,18669,19102,19648,20172,20379,20897,21278,21714,21896,21948,22511,22775,22922,22346,22285,22689,22569,22269,22111,22031,22820,22788,22952,22666,21692,22847,23224,23207,23301,23628,23309,23445,23098,22854,22159,22909,23243,23483,23771,23760,23806,24593,25135,24857,25623,26109,25807,26321,25604,25889,26057,26387,26468,26242,26157,26357,26461,26843,27028,27183,27618,28247,28292,28440,28080,28250,29057,29315,29049,29085,29298,29779,30378,29607,29707,29678,30115,30669,30498,30834,32185,32844
"42","34","D       Computers and software wholesalers","KP42430",5060,5346,5288,5611,5871,6074,6110,6354,6698,6708,7130,7172,7411,7761,8034,8530,8464,8975,8926,9048,8942,9222,9165,9444,10123,10649,11008,11147,11525,11496,12218,12361,12253,12923,12799,13022,12711,12617,13074,12892,12666,12232,12100,12751,12502,12703,12636,11594,12666,12628,12632,12245,12653,12515,12375,12208,12561,11990,12311,12500,12468,12643,12547,12401,13278,13915,14001,14686,14756,14520,14142,14212,14039,14327,14415,14807,14285,14324,14565,14417,14857,15428,15641,16250,16952,17111,17535,17706,17551,18160,19029,18205,18404,18384,19648,20397,19971,19809,19872,20011,20962,20429,20763,21780,22281
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",7735,8227,8071,7919,8004,8081,7980,7761,7980,8206,8234,8388,8537,8613,8414,8346,8126,8124,8521,9022,9082,9312,8975,9463,9089,9049,9195,9259,9382,9827,9470,9504,9676,9534,9946,9867,9617,9662,9605,9674,9603,9886,9937,10078,10290,10261,10044,10082,10192,10575,10552,10965,10918,10739,10972,10795,10303,10136,10543,10688,10911,11027,11084,11224,11264,11270,10983,11151,11503,11412,12077,11454,11794,11748,11955,11780,11920,11829,11841,12009,12045,11854,11849,11833,11913,11857,11731,11364,11578,11850,11570,11814,11734,11900,11581,11625,11294,11448,11396,11638,11571,11703,11782,12248,12474
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7621,7843,7565,7869,7795,8006,7913,7903,8109,8025,7992,8065,7895,7854,8095,7877,7830,7927,7916,8054,8055,8046,7999,8032,8419,8338,8341,8192,8175,8035,8158,7930,7961,8242,8402,8560,8940,8572,8639,8530,8503,8520,8489,8458,8436,8422,8540,8604,8261,8379,8135,8329,8414,8323,8226,8399,8194,7971,7868,7453,7458,7365,7262,7695,7639,7826,7738,7540,7422,7539,7039,6804,6871,6628,6883,6884,7116,7048,7211,7016,7199,7199,7197,7352,7431,7603,8477,8439,8157,8287,8138,8180,8093,8049,8024,8117,8083,8007,8060,8261,8374,8422,8249,8368,8211
"45","37","D     Electrical goods wholesalers","KP42160",13782,14019,14136,14200,14428,14532,14821,14925,14793,14531,14605,14813,14677,14892,15073,15158,15286,15063,15239,15135,15145,15524,15366,15293,15465,15950,16143,16312,16602,16852,17131,17391,17673,18016,18489,19189,19566,19154,19312,19604,19881,20480,20323,20625,20571,20298,20281,20382,20197,19483,19293,18528,18046,17152,17454,17443,17344,17510,17778,17311,17476,17516,17242,17696,17888,17392,17528,17397,17318,17208,17460,17333,17284,17327,17626,17512,17154,17884,18059,17932,18420,19179,19172,19034,19309,19927,20234,20999,21991,21580,21381,21603,21445,21504,21835,22147,22511,21351,21990,22400,22239,22201,22217,22590,22362
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4776,4805,4821,4977,4843,4838,4979,4874,4962,5020,4980,5009,5150,5119,4980,5043,5108,5201,5223,5149,5117,5108,5245,5303,5285,5295,5377,5316,5394,5362,5398,5405,5378,5333,5401,5434,5510,5503,5600,5570,5715,5676,5585,5573,5634,5661,5580,5600,5477,5516,5396,5085,5387,5157,5223,5323,5289,5400,5437,5450,5469,5669,5445,5520,5371,5328,5339,5429,5319,5263,5249,5193,5395,5291,5299,5267,5312,5354,5367,5353,5467,5475,5508,5483,5450,5461,5749,5720,5692,5746,5662,5726,5738,5720,5756,5852,5886,5783,5700,5700,5718,5810,5836,5935,5914
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18074,19093,18491,18703,18880,19091,19504,19143,19453,19764,19574,19695,20678,20755,20510,20868,20867,20723,20401,20366,20467,20052,20362,20364,20182,20187,20605,20397,20657,20703,20810,20840,20633,20706,20629,20882,21120,20696,20740,20968,20834,21403,21307,21206,21223,21250,21177,20729,20648,21328,21026,20372,20221,19883,19902,20297,20166,18567,18929,18831,18285,18269,18281,18791,18992,18819,18541,18081,18459,18103,17828,17778,18044,17328,17833,17940,18260,18477,18581,18873,18861,18680,18598,19086,19022,19703,21310,20944,20822,21139,21648,21771,21398,22223,22249,23252,22498,22294,22148,23214,22999,23316,23308,23264,23645
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12565,12887,12690,12817,12573,12275,12788,12738,13153,12616,12889,12646,12571,12606,13019,12853,12371,12670,12822,12339,11858,12570,12546,12685,13210,13418,13289,13413,13881,13659,13501,13772,14097,13877,13983,14262,14139,14067,14324,14387,15154,14373,14526,14291,14468,14909,14667,14872,14602,14525,14296,14156,14047,14327,14441,14557,14086,13559,13204,13762,14246,14570,13867,14179,14181,14277,14706,14743,14140,13902,14134,13715,13815,13663,13702,13677,13684,13799,13569,13216,13861,14227,14017,13967,13994,13907,14633,15047,15130,14998,14705,14626,14889,15212,16003,16060,16159,16189,16107,16121,16347,16144,15751,15649,15732
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",95988,97339,97195,95573,96756,97287,96903,97069,97521,97598,97357,97912,99479,99711,100065,100685,100937,100305,101497,102344,104069,104031,104951,106237,103618,104904,105880,104843,107051,107799,107280,107189,107333,108638,109280,107861,108769,106651,107593,109719,108451,110761,111178,111034,110988,111300,110276,114271,112533,112176,110838,110976,111519,110227,113009,112305,113774,114341,114821,115285,115632,115271,114385,115879,116289,117612,116678,117279,116719,116063,119437,118536,117275,116084,115164,115419,115952,117318,118255,117838,117805,118946,118459,117537,117471,118790,119994,119049,118638,119687,119370,121174,122712,120846,121232,121926,122999,122215,120340,122077,123049,122329,121335,122289,124436
"50","42","D     Paper and paper products wholesalers","KP42210",6195,6473,6315,6485,6068,6083,6131,6232,6248,6229,6243,6079,6107,6150,6309,6344,6286,6365,6357,6410,6553,6604,6670,6831,6812,6917,6631,6833,6903,6984,6951,6932,6938,7003,6991,6733,6960,6863,6932,6634,6614,6523,6615,6617,6588,6571,6582,6601,6540,6541,6468,6505,6492,6423,6395,6475,6199,6296,6451,6444,6403,6453,6405,6466,6518,6564,6600,6520,6491,6477,6547,6511,6576,6512,6572,6436,6409,6454,6481,6326,6564,6731,6535,6674,6515,6743,6815,6854,6811,6750,6664,6619,6726,6756,6829,6790,6816,6789,6567,6710,6799,6822,6932,7264,7463
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9299,9431,9697,9711,9864,9978,10147,10222,10226,10189,10295,10367,10921,11047,10799,10417,10459,10394,10674,10732,10879,11095,11140,11476,11669,11786,11939,12336,12446,12415,12514,12630,12527,12533,12935,13294,12849,12996,13517,13603,13903,14148,14307,14396,14365,14704,14840,15087,15686,15503,15361,15473,15871,16224,16456,16787,17545,18116,17795,18113,18353,18668,18891,18971,18871,19211,18658,18809,19158,18922,19818,19469,19350,19801,19931,20174,20562,20649,21055,21333,20914,21400,21223,21507,20820,21333,22020,21998,22176,22123,22763,22659,23107,23220,23463,22937,24173,23642,23178,23966,23985,24265,23407,23727,25856
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6913,6949,6818,7068,6929,6842,7206,7102,7074,6920,7025,7151,7290,7247,7216,7014,6880,6809,6903,6914,6555,7060,6790,6812,6963,6837,7365,7158,7220,7164,7107,7119,7203,7148,7208,7295,7173,7294,7389,7450,7467,7585,7384,7280,7398,7412,7304,7734,7504,7536,7124,7423,7824,7405,7382,7453,7519,7685,7821,7677,7590,7890,8055,8137,8209,8163,8339,8474,8132,7989,8398,7777,8141,7742,7756,7709,7795,7804,7927,7933,8133,8088,8223,8316,8117,8326,8266,8129,8230,8304,8209,8278,8315,8366,8302,8815,8488,8397,8485,8805,8918,9035,9050,8597,8725
"53","45","D     Grocery and related products wholesalers","KP42240",27761,27900,28153,27884,27861,28211,28036,27781,27481,27160,27839,27767,28231,28846,28541,28721,28843,29206,29256,29166,29359,29308,29349,29382,28847,29363,29607,29642,30025,29682,29800,30386,30644,30900,31444,31254,31321,31439,31245,31634,31343,31960,31906,32160,31773,31753,32014,33359,31799,31512,31441,31757,31189,31272,31678,31223,31070,31129,31744,31594,31779,31836,31120,31842,32116,32419,32606,33014,33070,33078,33292,33156,32842,33366,33069,33044,33095,33266,33548,33013,32722,32215,32156,31376,32452,32486,32940,32183,31355,31934,31951,32734,32436,31753,32065,32394,32538,32562,32287,32302,32715,32878,32948,33323,33173
"54","46","D     Farm product raw material wholesalers","KP42250",7998,8138,7156,7372,7456,7621,7391,7698,8108,9077,7991,7944,8135,7449,7244,7584,7617,7360,7743,8343,8745,8366,8346,8749,7993,8322,8214,8136,8739,8900,9396,8452,9172,9308,8830,8716,8527,8120,8316,8783,8459,9188,9777,9872,9396,9151,8701,9058,8667,9469,9400,9225,9085,8438,8805,8788,8680,8764,8585,8350,8740,8589,8566,9118,8740,9068,8781,8130,7859,8261,9013,9438,9085,8405,8270,8260,8017,8712,8725,8810,8515,9281,9295,8897,8770,8747,8578,8867,8288,8272,8688,9297,9469,10199,9923,9535,9270,9297,8498,9110,8842,8730,8931,8624,9410
"55","47","D     Chemical and allied products wholesalers","KP42260",4585,4683,4778,4836,4784,4946,5004,4883,4968,4867,4824,4837,4919,4910,4741,4771,4815,4753,4734,4821,4811,4913,4891,4824,4839,4589,4834,4755,4840,5055,4907,4929,4856,4881,4981,4973,4975,4756,4998,5069,4990,5091,5012,5098,5131,5161,5072,5219,5005,5075,5078,4958,4993,4984,5171,5084,5013,5066,5131,5132,5249,5338,5045,5304,5451,5289,5218,5305,5370,5218,5147,5031,5150,4933,4989,5071,5045,5024,5094,4969,5053,5080,5055,5055,4937,4904,5012,4926,4862,4971,4976,4996,4900,4875,5001,4995,5092,5037,4852,5057,5049,5128,5129,5199,5041
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",15890,15690,16461,14842,15915,16277,15994,16163,15779,15323,16009,16056,16153,16629,17715,17593,17403,18222,18090,18453,18897,18687,19265,20190,19086,19563,19872,17327,18027,18265,17482,17107,16772,16842,16493,15217,15860,15037,14289,15596,15127,15284,15926,15592,15875,16031,15401,16415,16827,16085,16126,15780,16169,15554,16519,15933,17077,17125,17632,18339,17959,16449,16521,16571,16784,17310,16445,16955,16933,16524,17305,17046,16197,15284,15091,15198,16247,16208,15686,15612,16428,16125,16028,15777,16071,16517,16514,15834,16568,16763,15672,15756,16638,15157,15013,15417,15478,15217,15203,14943,15230,14572,14476,14787,14405
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4850,4913,5006,4761,5040,4958,5088,5073,5178,5143,5113,5400,5117,5149,5247,5318,5319,5139,5360,5304,5649,5527,5420,5521,5602,5573,5574,5657,5723,5731,5678,5784,5935,5998,5986,5886,5985,5824,5958,5964,5851,5989,5864,5972,6007,6069,6081,5972,6211,6137,5731,6005,5968,6003,6063,5935,5904,5882,6085,6330,6146,6361,6464,6414,6367,6414,6385,6445,6335,6232,6277,6599,6311,6493,6490,6399,6413,6467,6701,6741,6462,6675,6581,6536,6478,6297,6186,6419,6705,6678,6606,6468,6849,6761,6778,6873,6892,6936,6927,6988,7101,7154,6868,7136,7105
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",12680,13346,13566,12931,13379,12921,12455,12418,12727,12498,12351,12646,12861,12870,13322,13840,14129,13244,13349,13187,13700,13439,14306,14001,13033,13291,13213,13365,13605,14157,13764,14033,13386,14110,14388,14302,15060,14251,14912,14962,14682,14984,14416,14104,14483,14468,14336,14850,14296,14304,14097,13841,13940,13899,14557,14587,14831,14362,13788,13707,13768,13620,13341,13097,13297,13307,13637,13745,13536,13432,13653,13416,13573,13647,13105,13148,12488,12725,13010,13047,13036,13248,13233,13371,13241,13388,13688,13821,13674,13892,13909,14363,14089,13996,14119,14298,14404,14534,14470,14549,14700,14326,14176,14056,14303
"59","51","A Retail trade industries","KP440",215011,216880,217363,216848,214952,218291,221423,222324,222324,222556,224552,224643,225783,226714,229000,231954,233591,234939,233573,232863,236234,239592,241679,243976,245342,248562,249958,248666,252334,252334,253767,255594,256354,256617,259778,264434,263437,265845,267353,263599,264248,263886,265186,266133,268810,267677,266731,267401,269392,269644,268233,271968,272356,271224,271386,273603,268432,289478,281720,280550,280728,282557,281161,284216,280167,284445,286723,288494,283514,285617,287186,289656,291434,284838,289783,291814,293125,298642,301563,305666,302999,303744,308907,308335,309215,309949,315883,311483,316951,312302,317664,317470,322375,322471,322989,327703,327253,327998,327410,331268,330896,338002,343341,334586,330880
"60","52","A   Motor vehicle and parts dealers","KP4410",56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,72300,73083,72355,73813,70307,73876,76030,77667,73048,72875,73745,75567,75893,72146,74841,76725,75788,78018,78629,80565,78528,78331,81489,80225,79350,80834,83104,80102,84545,79503,82433,81310,84124,83733,82307,85406,82593,82844,83238,85179,83626,87428,92501,81799,78803
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9704,9919,9941,10182,10210,10294,10496,10695,10775,10828,11041,11159,11359,11458,11440,11407,11554,11874,12047,12253,12238,12390,12722,12885,12811,13083,13320,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16254,16144,16243,16190,16374,16686,16855,16996,16715,17071,17798,18200,18180,18537,18717,18611,18868,18802,18623,18828,19010,19172,19374,19509,19468,18992,19626,19857,20653,20947,21242,21773,22071,22220,22428,22570,22575,22616,23088,23139,22973,23453,23981,23886,24068,24067,24389,24562,24805,25332,25299,25408,25484,26026,26300,26808,27240
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26089,26094,26142,27192,26807,26789,26584,26747,26788,26869,27050,26355,27498,25778,27567,27610,27834,28510,28981,28976,28783,29342,29340,29158,28978,28778,31315,30760,30386,30904,30960,30827,31048,31159,31621,32129,32057,31490,32067,32564,32810,32721,32765,33279,33542
"63","55","A   Food and beverage stores","KP4450",37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39820,39654,39519,39134,39339,39286,39270,39166,39061,39298,39454,39390,39744,39572,39583,39686,39335,39732,39918,39952,39971,39856,39740,39566,40196,39861,40154,40161,40225,40233,40094,40448,40786,40756,40894,40941,41167,41343,41248,41333,41343,41639,41656,41924,42023
"64","56","A   Clothing and clothing accessories stores","KP4480",11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14917,15003,14664,14944,14880,14782,14890,15145,14280,15079,14935,15305,15380,15630,15448,15714,15391,15703,15590,15631,15243,16076,15924,16247,16173,15788,16172,16203,16502,16740,16951,16959,17080,16970,17269,17518,17626,17684,18008,17405,17600,17516,17661,17609,17901,18314,18123,18175,18508,18881,18363,19045,18860,19212,19151,19090,19008
"65","57","A   General merchandise stores","KP4520",28541,28773,28780,28722,28790,28902,29431,29613,29427,29727,29809,29604,30048,30487,30647,30756,30896,31120,30929,31068,31518,31762,32079,31999,32658,33174,33559,33154,33448,33725,33859,34013,34384,34319,34452,35293,34607,34892,35529,35081,35717,35746,36149,36204,36702,36646,36717,37097,37722,36894,36441,37530,37583,37572,38034,38322,38205,38772,39202,39895,39565,39840,39757,40194,39830,40355,40120,40231,40004,40974,40972,41061,41164,41703,42050,41799,42246,42730,43244,44195,44095,43845,44238,44473,45290,45117,45689,45132,46025,45413,46075,46044,46720,47008,47068,47584,47861,48235,47696,48422,48382,49119,49168,49314,49668
"66","58","D     Department stores","KP45210",18583,18761,18803,18688,18716,18838,19064,19267,19083,19263,19370,19162,19145,19427,19399,19353,19477,19467,19314,19362,19530,19673,19782,19838,20077,20383,20483,20194,20253,20323,20419,20337,20591,20428,20364,20456,20625,20358,20586,20464,20811,20573,20689,20619,20896,20680,20943,21086,21417,20542,19925,20442,20509,20413,20591,20753,20407,20598,20752,20760,20604,20628,20466,20740,20234,20383,20168,20146,19849,20497,20031,20017,19991,20100,19995,19959,20266,20396,20588,20877,20719,20503,20459,20520,20603,20649,20855,20342,20628,20408,20605,20602,20829,20854,20896,21086,20995,21102,20608,20949,20727,21063,20824,20763,20676
"67","59","D     Other general merchandise stores","KP45290",9886,9938,9899,9962,10002,9989,10299,10272,10275,10396,10367,10375,10852,11008,11202,11363,11378,11618,11583,11676,11962,12063,12274,12135,12560,12771,13059,12945,13182,13392,13430,13670,13786,13887,14085,14843,13979,14536,14945,14618,14907,15174,15461,15584,15805,15964,15774,16010,16306,16349,16509,17077,17064,17146,17429,17555,17775,18148,18421,19094,18921,19167,19243,19407,19536,19906,19883,20012,20074,20402,20842,20942,21067,21485,21921,21711,21855,22201,22518,23166,23216,23175,23595,23764,24472,24264,24622,24561,25154,24770,25222,25195,25634,25886,25905,26225,26572,26830,26765,27147,27309,27707,27968,28161,28573
"68","60","A   Other retail stores","KP44X0",52695,53583,54331,53823,53921,55066,55231,54474,55186,54902,55610,55487,55963,56732,57279,57845,58050,58219,58903,59424,59397,59848,60533,61071,61436,62483,62828,61673,62517,62425,62303,62743,62773,63121,64511,65898,65046,65505,64758,65055,65459,64864,65467,65997,66167,66760,67027,67473,66430,66745,66678,66790,66762,66033,66779,67783,65532,67523,68172,68644,69623,69983,69499,69831,69946,69911,70742,70461,70674,70696,71011,71890,71814,71115,70350,70342,71346,72544,73231,73977,73267,73975,75311,75783,76104,76064,75567,75731,76293,76248,77639,78405,78879,78621,79692,80073,81424,81244,80804,80744,81710,83355,83483,83831,82219
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
