"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"11","3","  Goods-producing industries","N231RC1",1074.7,1076.6,1079.1,1063.5,1054.3,1046.3,1041.6,1029.8,1023.7,1017.1,1015.1,1013.6,1009.7,1010.2,1013.3,1011.8,1014.9,1018.2,1010.4,1010.9,1010.8,1006.2,1006.8,1008.2,1006,1005.8,1005.4,1000,1003.4,1006.8,1002.3,1006,1009.8,1011.1,1017.9,1016.8,1022.1
"12","4","    Manufacturing","N4113C1",748.9,747.9,747.2,730.4,717.3,707.2,702.7,690.4,684.8,679.4,677.2,675.5,672.4,672.7,676.7,676.5,680.3,683.6,676.7,676.4,675.8,672.3,672.7,672.8,670.9,671.1,669.5,664.2,666.6,668.7,664.9,666.7,669,669.2,674.6,672.4,675.9
"13","5","  Services-producing industries","N233RC1",3072.4,3081.3,3075.4,3079.7,3078.6,3085.2,3089.8,3090.4,3077,3084,3087.1,3089.1,3084.2,3087,3091.2,3095.2,3098.7,3112.5,3098.3,3106.7,3116,3115.6,3119.1,3120.2,3124.8,3139.9,3147.8,3155.4,3175.3,3177.1,3194,3198.9,3201.2,3211.9,3228.6,3221,3236.4
"14","6","    Trade, transportation, and utilities","N234RC1",848.7,847.3,847,843.3,842.2,845.9,843.5,843.5,842.9,845.2,846.4,842.7,838.5,837.1,841.2,840.9,844.5,848.8,845.4,847.4,850,847.9,847.9,846.9,850.9,855.3,858.7,857.3,860.2,860.9,864,866.9,867.4,872.9,873.2,871,876.5
"15","7","    Other services-producing industries \1\","N235RC1",2223.7,2234,2228.4,2236.3,2236.5,2239.3,2246.3,2246.9,2234.1,2238.8,2240.7,2246.4,2245.7,2249.9,2250.1,2254.3,2254.2,2263.7,2252.9,2259.2,2266,2267.7,2271.3,2273.3,2273.9,2284.6,2289.2,2298.1,2315.1,2316.2,2330.1,2332,2333.9,2339,2355.4,2350,2359.9
"16","8","Government","B202RC1",794,799.8,802.6,806.3,809,812,817.1,819.6,827.4,831.3,834,836.1,842.6,847.1,850,852.8,856.6,858.6,859.5,863,867.3,871,873.5,876.8,884.5,891.2,894.2,896.2,898.7,903.7,899.6,900.6,899.8,900.4,900.5,902.4,908.3
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
