"","Table 6#4C# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation and public utilities","A4237C0",5415,5558,5667,5802,5772,5738,5851,6043,6172,6303,6465,6676,6893,7092
"45","38","      Transportation","A4238C0",3208,3346,3465,3536,3520,3518,3635,3816,3956,4071,4174,4340,4479,4572
"46","39","        Railroad transportation","B4239C0",287,278,273,260,251,243,233,228,234,220,216,220,220,209
"47","40","        Local and interurban passenger transit","B4240C0",314,329,345,352,361,368,389,415,432,454,473,492,508,503
"48","41","        Trucking and warehousing \2\","B4241C0",1501,1376,1408,1405,1393,1397,1463,1552,1610,1650,1698,1766,1836,1876
"49","42","        Water transportation","B4242C0",173,172,173,178,185,176,174,179,179,177,182,185,187,194
"50","43","        Transportation by air \2\","B4243C0",605,847,900,966,959,958,986,1025,1068,1120,1140,1199,1245,1297
"51","44","        Pipelines, except natural gas","B4244C0",18,18,18,18,19,19,19,17,15,15,14,13,13,13
"52","45","        Transportation services","B4245C0",310,326,348,357,352,357,371,400,419,435,450,465,469,480
"53","46","      Communications","A4246C0",1285,1283,1266,1316,1296,1268,1269,1294,1309,1350,1420,1476,1552,1664
"54","47","        Telephone and telegraph","B4247C0",959,943,916,951,937,908,904,917,916,938,1002,1045,1106,1194
"55","48","        Radio and television","B4248C0",326,340,350,365,359,360,365,377,393,412,418,431,446,470
"56","49","      Electric, gas, and sanitary services","B4249C0",922,929,936,950,956,952,946,933,906,881,871,860,862,856
"57","50","    Wholesale trade","B4250C0",5975,6127,6360,6303,6134,6126,6052,6233,6474,6557,6745,6913,6996,7104
"58","51","    Retail trade","B4251C0",19042,19648,20135,20179,19897,19987,20333,21002,21709,22071,22434,22806,23463,23881
"59","52","    Finance, insurance, and real estate","A4252C0",6705,6796,6840,6872,6830,6764,6861,7013,6928,7046,7242,7529,7695,7729
"60","53","      Depository institutions","B4253C0",2271,2263,2271,2251,2167,2105,2079,2068,2023,2017,2033,2047,2048,2035
"61","54","      Nondepository institutions","B4254C0",372,371,368,374,378,409,460,489,465,514,575,662,708,687
"62","55","      Security and commodity brokers","B4255C0",470,465,451,447,441,460,494,543,552,577,620,672,715,779
"63","56","      Insurance carriers","B4256C0",1427,1449,1470,1506,1533,1519,1512,1522,1504,1509,1530,1590,1610,1590
"64","57","      Insurance agents, brokers, and service","B4257C0",641,675,687,696,705,688,699,723,733,746,765,787,796,804
"65","58","      Real estate","B4258C0",1308,1345,1357,1358,1355,1340,1371,1420,1413,1442,1479,1528,1571,1583
"66","59","      Holding and other investment offices","B4259C0",216,228,236,240,251,243,245,247,238,240,241,244,247,251
"67","60","    Services","A4260C0",26305,27524,28935,30046,30193,31216,32511,33456,34874,36170,37551,39098,40551,41887
"68","61","      Hotels and other lodging places","B4261C0",1535,1613,1685,1729,1665,1641,1662,1691,1732,1761,1802,1842,1917,1952
"69","62","      Personal services","B4262C0",1202,1179,1200,1232,1223,1236,1254,1260,1285,1299,1302,1318,1350,1378
"70","63","      Business services","B4263C0",4395,4707,5037,5289,5145,5399,5877,6337,6893,7444,8090,8713,9370,9972
"71","64","      Auto repair, services, and parking","B4264C0",904,941,982,1022,973,974,1029,1063,1076,1177,1202,1233,1280,1316
"72","65","      Miscellaneous repair services","B4265C0",336,363,384,402,353,356,372,351,370,389,388,395,393,386
"73","66","      Motion pictures","B4266C0",338,350,388,409,405,403,416,457,503,530,561,585,606,600
"74","67","      Amusement and recreation services","B4267C0",1011,1040,1111,1163,1185,1238,1303,1382,1464,1525,1589,1636,1692,1758
"75","68","      Health services","B4268C0",7024,7315,7697,8061,8436,8788,9088,9306,9532,9747,9954,10129,10270,10415
"76","69","      Legal services","B4269C0",909,969,1017,1043,1046,1055,1067,1072,1076,1090,1098,1126,1159,1174
"77","70","      Educational services","B4270C0",1633,1690,1738,1769,1816,1903,1961,2019,2069,2108,2177,2265,2349,2436
"78","71","      Social services and membership organizations","A4271C0",3175,3402,3620,3819,3944,4035,4221,4365,4555,4673,4842,5082,5301,5494
"79","72","        Social services","B4272C0",1515,1620,1736,1846,1956,2068,2191,2309,2430,2502,2601,2740,2894,3026
"80","73","        Membership organizations","B4273C0",1660,1782,1884,1973,1988,1967,2030,2056,2125,2171,2241,2342,2407,2468
"81","74","      Other services \3\","B4274C0",2299,2472,2650,2777,2689,2753,2837,2868,3038,3182,3313,3494,3612,3799
"82","75","      Private households","B4275C0",1544,1483,1426,1332,1312,1434,1423,1285,1281,1246,1233,1280,1251,1208
"83","76","  Government","A4276C0",20550,20906,21284,21813,21844,21895,21924,22004,22076,22069,22090,22324,22613,23095
"84","77","    Federal","A4277C0",6475,6470,6483,6532,6349,6177,5929,5718,5555,5386,5266,5193,5138,5236
"85","78","      General government","A4278C0",5493,5465,5471,5520,5356,5211,4976,4748,4570,4398,4276,4199,4146,4260
"86","79","        Civilian","B4279C0",2190,2192,2207,2315,2211,2231,2176,2100,2026,1952,1900,1877,1855,1976
"87","80","        Military \4\","B4280C0",3303,3273,3264,3205,3145,2980,2800,2648,2544,2446,2376,2322,2291,2284
"88","81","      Government enterprises","B4281C0",982,1005,1012,1012,993,966,953,970,985,988,990,994,992,976
"89","82","    State and local","A4282C0",14075,14436,14801,15281,15495,15718,15995,16286,16521,16683,16824,17131,17475,17859
"90","83","      General government","A4283C0",13258,13608,13955,14403,14605,14863,15126,15380,15593,15754,15890,16191,16530,16904
"91","84","        Education","B4284C0",6992,7257,7458,7670,7787,7887,8070,8227,8392,8526,8740,8932,9152,9389
"92","85","        Other \1\","B4285C0",6266,6351,6497,6733,6818,6976,7056,7153,7201,7228,7150,7259,7378,7515
"93","86","      Government enterprises \1\","B4286C0",817,828,846,878,890,855,869,906,928,929,934,940,945,955
"94","87","Rest of the world \5\","A4287C0",-66,-75,-83,-82,-82,-78,-426,-479,-477,-440,-472,-468,-514,-453
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","governments from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Reflects the reclassification of air couriers from trucking and warehousing to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Consists of museums, botanical and zoological gardens; engineering and management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","services; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","5. Beginning with 1993, includes estimates of foreign professional workers and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","undocumented Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
