"","Table 6#8D# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8"
"34","27","        Food and beverage and tobacco products","N4627C0",1732,1742,1745,1752,1725
"35","28","        Textile mills and textile product mills","N4628C0",681,635,599,535,496
"36","29","        Apparel and leather and allied products","N4629C0",678,621,564,514,441
"37","30","        Paper products","N4630C0",617,608,597,568,533
"38","31","        Printing and related support activities","N4631C0",810,810,803,803,740
"39","32","        Petroleum and coal products","N4632C0",130,127,121,119,118
"40","33","        Chemical products","N4633C0",972,973,974,950,918
"41","34","        Plastics and rubber products","N4634C0",943,940,947,889,842
"42","35","    Wholesale trade","N4635C0",5897,5994,6071,5800,5679
"43","36","      Durable goods","N4636C0",3505,3563,3608,3441,3306
"44","37","      Nondurable goods","N4637C0",2393,2432,2463,2360,2373
"45","38","    Retail trade","N4638C0",13412,13803,14127,14658,14482
"46","39","      Motor vehicle and parts dealers","N4639C0",1618,1671,1706,1759,1765
"47","40","      Food and beverage stores","N4640C0",2507,2581,2645,2754,2698
"48","41","      General merchandise stores","N4641C0",2279,2354,2416,2569,2555
"49","42","      Other retail \3\","N4642C0",7009,7197,7359,7575,7463
"50","43","    Transportation and warehousing","N4643C0",4269,4385,4472,4562,4410
"51","44","      Air transportation","N4644C0",547,568,591,586,535
"52","45","      Rail transportation","N4645C0",208,208,198,189,181
"53","46","      Water transportation","N4646C0",52,52,54,53,52
"54","47","      Truck transportation","N4647C0",1491,1536,1565,1572,1548
"55","48","      Transit and ground passenger transportation","N4648C0",395,406,403,436,439
"56","49","      Pipeline transportation","N4649C0",44,45,44,44,41
"57","50","      Other transportation and support activities \4\","N4650C0",1072,1101,1138,1191,1125
"58","51","      Warehousing and storage","N4651C0",458,470,479,491,489
"59","52","    Information","N4652C0",3202,3328,3478,3525,3322
"60","53","      Publishing industries (includes software)","N4653C0",1043,1060,1081,1010,953
"61","54","      Motion picture and sound recording industries","N4654C0",365,376,376,366,389
"62","55","      Broadcasting and telecommunications","N4655C0",1310,1374,1469,1633,1514
"63","56","      Information and data processing services","N4656C0",484,518,552,517,466
"64","57","    Finance and insurance","N4657C0",5710,5794,5787,5889,5891
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4658C0",2433,2467,2425,2534,2610
"66","59","      Securities, commodity contracts, and investments","N4659C0",837,876,927,927,871
"67","60","      Insurance carriers and related activities","N4660C0",2292,2304,2286,2340,2323
"68","61","      Funds, trusts, and other financial vehicles","N4661C0",147,147,149,89,87
"69","62","    Real estate and rental and leasing","N4662C0",2179,2232,2265,2331,2326
"70","63","      Real estate","N4663C0",1581,1603,1611,1678,1705
"71","64","      Rental and leasing services and lessors of intangible assets \5\","N4664C0",598,629,654,653,622
"72","65","    Professional, scientific, and technical services","N4665C0",7610,7897,8228,8094,7789
"73","66","      Legal services","N4666C0",1360,1396,1413,1401,1408
"74","67","      Computer systems design and related services","N4667C0",1249,1329,1413,1347,1203
"75","68","      Miscellaneous professional, scientific, and technical services \6\","N4668C0",5001,5172,5402,5345,5178
"76","69","    Management of companies and enterprises \7\","N4669C0",1595,1621,1647,1636,1613
"77","70","    Administrative and waste management services","N4670C0",7377,7795,8238,7965,7798
"78","71","      Administrative and support services","N4671C0",7071,7483,7923,7642,7471
"79","72","      Waste management and remediation services","N4672C0",306,312,314,322,327
"80","73","    Educational services","N4673C0",2199,2274,2358,2466,2544
"81","74","    Heath care and social assistance","N4674C0",12148,12394,12660,13192,13594
"82","75","      Ambulatory health care services","N4675C0",4233,4286,4349,4473,4626
"83","76","      Hospitals","N4690C0",3436,3483,3533,3753,3867
"84","77","      Nursing and residential care facilities","N4691C0",2239,2297,2355,2432,2482
"85","78","      Social assistance","N4692C0",2240,2328,2423,2535,2620
"86","79","    Arts, entertainment, and recreation","N4693C0",1727,1774,1853,1940,1974
"87","80","      Performing arts, spectator sports, museums, and related activities","N4694C0",680,688,712,702,722
"88","81","      Amusements, gambling, and recreation industries","N4695C0",1047,1086,1142,1238,1252
"89","82","    Accommodation and food services","N4696C0",8426,8683,8931,8614,8627
"90","83","      Accommodation","N4697C0",1606,1667,1713,1738,1683
"91","84","      Food services and drinking places","N4698C0",6820,7016,7218,6875,6944
"92","85","    Other services, except government","N4699C0",6296,6398,6491,6550,6735
"93","86","  Government","A4376C0",18703,18849,19128,19390,19797
"94","87","    Federal","A4377C0",4207,4167,4198,4120,4190
"95","88","      General government","A4378C0",3416,3370,3416,3342,3395
"96","89","        Civilian","B4379C0",1845,1821,1869,1794,1818
"97","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577
"98","91","      Government enterprises","B4381C0",791,797,782,778,795
"99","92","    State and local","A4382C0",14496,14682,14930,15270,15607
"100","93","      General government","A4383C0",13581,13762,14000,14318,14619
"101","94","        Education","B4384C0",7234,7372,7572,7782,7873
"102","95","        Other \9\","B4385C0",6347,6390,6428,6536,6746
"103","96","      Government enterprises \9\","B4386C0",915,920,930,952,988
"104","97","Rest of the world \10\","A4387C0",-401,-441,-388,-424,-444
"105",NA,NA,NA,NA,NA,NA,NA,NA
"106","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA
"107","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA
"111","4. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA
"113","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA
"114","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA
"118","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA
"120","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA
"121","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA
"122","10. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA
"123","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA
"124","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA
"125","System (NAICS).",NA,NA,NA,NA,NA,NA,NA
