"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"44","24","      Durable goods industries","N626RC1","14,641.0","24,245.0","7,675.0","14,329.0","21,988.0","8,757.0","19,560.0","10,016.0","14,304.0","8,385.0","9,267.0","17,684.0","8,718.0","18,725.0","4,818.0","9,443.0","-3,706.0","-18,601.0","-15,869.0","-15,073.0","-5,203.0","1,737.0","7,453.0","-4,834.0","4,697.0","-2,157.0","-6,083.0","7,021.0","14,118.0","16,056.0","22,869.0","14,041.0","16,980.0","12,322.0","792.0","13,795.0","8,695.0","19,435.0","12,650.0","1,406.0","8,230.0","-4,321.0","-1,991.0","2,412.0","6,912.0","9,710.0","23,349.0","-10,557.0","-57,724.0","-49,875.0","-45,168.0","-22,655.0","8,410.0","13,002.0","23,807.0","16,136.0","10,320.0","32,792.0","19,736.0","15,288.0","25,672.0"
"45","25","      Nondurable goods industries","N627RC1","4,521.0","6,579.0","7,724.0","10,899.0","4,966.0","4,327.0","5,904.0","2,299.0","5,546.0","-4,089.0","8,688.0","5,452.0","4,200.0","375.0","4,022.0","8,800.0","579.0","16,107.0","786.0","3,599.0","1,830.0","236.0","-4,083.0","4,929.0","-8,620.0","-4,021.0","4,235.0","4,117.0","-1,378.0","-3,217.0","434.0","8,458.0","9,525.0","99.0","1,839.0","1,965.0","7,822.0","5,243.0","2,677.0","2,799.0","-5,081.0","10,457.0","19,000.0","-3,854.0","-23,025.0","6,825.0","-9,820.0","638.0","3,801.0","-14,393.0","-20,573.0","19,989.0","961.0","16,282.0","25,512.0","-455.0","1,796.0","10,620.0","-21,284.0","23,372.0","904.0"
"46","26","    Nonmerchant wholesale trade","N152RC1","1,215.0","2,975.0","1,285.0","5,229.0","3,598.0","299.0","1,677.0","2,338.0","1,936.0","3,434.0","3,082.0","1,954.0","3,376.0","5,225.0","4,777.0","2,939.0","-2,715.0","-3,700.0","-7,682.0","-3,069.0","-3,901.0","2,190.0","649.0","-1,434.0","-2,372.0","-860.0","-402.0","2,090.0","941.0","3,003.0","4,141.0","-398.0","8,696.0","77.0","-526.0","6,952.0","1,896.0","-3,636.0","1,804.0","-6,032.0","-1,477.0","608.0","1,802.0","-6,606.0","19,063.0","13,416.0","-5,988.0","4,846.0","-21,488.0","-16,151.0","-15,266.0","-8,963.0","7,254.0","2,849.0","10,308.0","2,960.0","16,308.0","7,408.0","9,664.0","2,232.0","188.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
