"","Table 5#8#6A# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6"
"54","36","      Conservation and development","B857RX1","3,306.0","3,416.0","3,163.0"
"55","37","      Sewer systems","B858RX1","12,026.0","13,219.0","13,317.0"
"56","38","      Water systems","B859RX1","7,324.0","8,985.0","10,645.0"
"57","39","      Other \7\","B860RX1","13,132.0","13,003.0","14,805.0"
"58","40","    Net purchases of used structures","B870RX1","4,732.0","4,382.0","4,290.0"
"59","41","Equipment and software \2\","A871RX1","85,642.0","88,490.0","88,465.0"
"60","42","  Federal","A872RX1","57,100.0","59,133.0","55,449.0"
"61","43","    National defense","A873RX1","43,726.0","43,837.0","38,893.0"
"62","44","      Aircraft","B874RX1","7,902.0","7,690.0","5,347.0"
"63","45","      Missiles","B875RX1","4,426.0","3,964.0","2,934.0"
"64","46","      Ships","B876RX1","9,753.0","8,239.0","7,311.0"
"65","47","      Vehicles","B877RX1","1,070.0","1,158.0","1,338.0"
"66","48","      Electronics and software","B878RX1","6,637.0","7,126.0","7,481.0"
"67","49","      Other equipment","B879RX1","14,723.0","16,192.0","14,897.0"
"68","50","    Nondefense","B880RX1","13,720.0","15,505.0","16,563.0"
"69","51","  State and local","B881RX1","29,095.0","29,947.0","33,106.0"
"70","52","Residual","A967RX1","-4,500.0","-4,600.0","-5,600.0"
"71",NA,"Addenda:"," ",NA,NA,NA
"72","53","  Government enterprise gross fixed investment","A882RX1","68,497.0","70,635.0","62,878.0"
"73","54","    Federal","A883RX1","5,676.0","5,864.0","6,136.0"
"74","55","      Structures","B884RX1","3,659.0","3,017.0","3,434.0"
"75","56","      Equipment and software","B885RX1","2,540.0","3,070.0","3,043.0"
"76","57","    State and local","A886RX1","63,141.0","65,094.0","56,599.0"
"77","58","      Structures","B887RX1","57,663.0","61,125.0","52,182.0"
"78","59","      Equipment and software","B888RX1","6,025.0","5,310.0","5,209.0"
"79",NA,NA,NA,NA,NA,NA
"80","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA
"81","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA
"82","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA
"83","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA
"84","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA
"85","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA
"86","in those categories.",NA,NA,NA,NA,NA
"87","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA
"88","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA
"89","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA
"90","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA
"91","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA
"92","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA
"93","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA
"94","included in that category.",NA,NA,NA,NA,NA
"95","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA
"96","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA
"97","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA
"98","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA
"99","difference between the first line and the sum of the most detailed lines, excluding the",NA,NA,NA,NA,NA
"100","lines in the addenda.",NA,NA,NA,NA,NA
