"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"33","13","  Command-basis net national product \4\","C027RX1","4,087,947.0","4,091,949.0","4,114,420.0","4,088,768.0","4,075,735.0","4,080,543.0","4,110,596.0","4,056,869.0","4,182,697.0","4,204,692.0","4,230,287.0","4,239,353.0","4,320,012.0","4,423,720.0","4,466,912.0","4,548,941.0","4,669,306.0","4,707,548.0","4,686,199.0","4,735,708.0","4,655,407.0","4,634,845.0","4,567,431.0","4,538,052.0","4,470,995.0","4,504,148.0","4,594,983.0","4,667,772.0","4,778,284.0","4,814,749.0","4,832,237.0","4,875,852.0","4,929,377.0","5,015,463.0","5,091,167.0","5,102,368.0","5,113,441.0","5,315,607.0","5,366,166.0","5,456,916.0","5,450,831.0","5,450,274.0","5,476,324.0","5,457,841.0","5,431,701.0","5,279,598.0","5,256,925.0","5,352,281.0","5,469,231.0","5,414,442.0","5,499,170.0","5,427,483.0","5,316,345.0","5,358,093.0","5,321,008.0","5,320,719.0","5,401,672.0","5,540,612.0","5,661,722.0","5,799,748.0","5,914,995.0","6,019,052.0","6,081,480.0","6,126,171.0","6,177,366.0","6,228,559.0","6,311,490.0","6,349,584.0","6,400,069.0","6,430,867.0","6,484,162.0","6,491,830.0","6,521,481.0","6,586,756.0","6,636,384.0","6,760,900.0","6,797,798.0","6,882,359.0","6,924,281.0","7,012,189.0","7,078,095.0","7,119,007.0","7,185,433.0","7,198,641.0","7,258,987.0","7,302,204.0","7,269,694.0","7,185,500.0","7,153,414.0","7,206,627.0","7,238,660.0","7,273,018.0","7,345,150.0","7,425,553.0","7,492,474.0","7,583,814.0","7,604,484.0","7,640,564.0","7,691,014.0","7,782,391.0","7,870,165.0","7,970,382.0","8,005,696.0","8,095,687.0","8,118,510.0","8,121,677.0","8,177,947.0","8,248,816.0","8,311,399.0","8,453,190.0","8,505,249.0","8,600,502.0","8,668,913.0","8,811,437.0","8,921,880.0","8,977,761.0","9,087,996.0","9,167,142.0","9,277,863.0","9,442,375.0","9,534,641.0","9,582,554.0","9,683,725.0","9,850,006.0","9,837,992.0","10,044,036.0","10,022,913.0","10,095,595.0","10,033,411.0","10,127,626.0","10,076,255.0","10,201,022.0","10,243,980.0","10,252,118.0","10,315,799.0","10,323,325.0","10,316,746.0","10,447,774.0","10,630,273.0","10,754,341.0","10,824,651.0","10,858,989.0","10,939,461.0","10,976,435.0","11,128,982.0","11,146,940.0","11,218,990.0","11,218,269.0","11,374,217.0","11,405,989.0","11,384,301.0","11,491,401.0","11,496,846.0","11,594,116.0","11,715,505.0","11,747,643.0","11,603,426.0","11,578,850.0","11,435,157.0","11,201,309.0","11,097,170.0","11,050,275.0","11,079,139.0","11,169,368.0","11,268,638.0","11,441,482.0","11,535,114.0","11,568,162.0","11,567,785.0","11,606,025.0","11,677,095.0","11,715,679.0","11,704,259.0"
"34","14","  Net national product","A027RX1","3,987,193.0","3,993,694.0","4,014,970.0","3,988,847.0","3,977,472.0","3,982,289.0","4,018,144.0","3,966,725.0","4,088,236.0","4,111,228.0","4,139,974.0","4,150,773.0","4,230,666.0","4,336,586.0","4,379,649.0","4,452,657.0","4,576,866.0","4,631,023.0","4,604,696.0","4,647,132.0","4,605,487.0","4,609,553.0","4,548,378.0","4,516,032.0","4,442,477.0","4,476,175.0","4,559,495.0","4,629,855.0","4,741,644.0","4,778,610.0","4,799,994.0","4,834,534.0","4,898,620.0","4,999,579.0","5,091,999.0","5,077,217.0","5,097,735.0","5,304,094.0","5,358,676.0","5,437,465.0","5,440,145.0","5,444,795.0","5,493,919.0","5,501,624.0","5,514,580.0","5,373,437.0","5,349,788.0","5,439,591.0","5,564,242.0","5,502,862.0","5,574,413.0","5,495,753.0","5,380,766.0","5,414,566.0","5,371,483.0","5,367,304.0","5,436,932.0","5,573,734.0","5,692,723.0","5,820,758.0","5,934,443.0","6,041,019.0","6,096,133.0","6,133,415.0","6,174,225.0","6,224,695.0","6,314,594.0","6,362,968.0","6,416,785.0","6,424,558.0","6,488,137.0","6,502,776.0","6,535,913.0","6,610,895.0","6,665,145.0","6,787,624.0","6,826,371.0","6,912,483.0","6,939,506.0","7,037,840.0","7,101,827.0","7,150,389.0","7,207,330.0","7,223,736.0","7,296,026.0","7,320,870.0","7,305,253.0","7,257,105.0","7,193,434.0","7,225,891.0","7,248,627.0","7,283,967.0","7,366,329.0","7,447,550.0","7,524,255.0","7,609,930.0","7,625,104.0","7,661,013.0","7,704,279.0","7,789,235.0","7,874,337.0","7,980,423.0","8,024,747.0","8,113,360.0","8,136,266.0","8,147,085.0","8,193,989.0","8,259,530.0","8,317,428.0","8,454,746.0","8,519,075.0","8,615,061.0","8,664,029.0","8,801,883.0","8,899,715.0","8,950,974.0","9,038,046.0","9,107,115.0","9,207,053.0","9,368,425.0","9,454,550.0","9,522,270.0","9,633,920.0","9,819,691.0","9,821,912.0","10,018,456.0","10,001,113.0","10,076,118.0","10,004,804.0","10,072,507.0","10,002,330.0","10,099,111.0","10,140,309.0","10,170,338.0","10,233,112.0","10,245,382.0","10,268,500.0","10,372,637.0","10,555,154.0","10,678,446.0","10,763,738.0","10,803,439.0","10,892,694.0","10,953,355.0","11,102,606.0","11,133,663.0","11,228,705.0","11,249,940.0","11,399,738.0","11,430,932.0","11,403,260.0","11,485,229.0","11,483,819.0","11,594,163.0","11,737,104.0","11,828,414.0","11,738,757.0","11,771,343.0","11,650,694.0","11,265,787.0","11,053,224.0","11,035,678.0","11,107,690.0","11,231,777.0","11,349,545.0","11,488,660.0","11,570,745.0","11,615,878.0","11,655,349.0","11,717,671.0","11,770,338.0","11,818,769.0","11,824,521.0"
"35",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Trading gains index \5\","W368RG3","102.421","102.407","102.443","102.430","102.365","102.411","102.262","102.223","102.249","102.241","102.143","102.096","102.166","102.060","101.989","101.990","101.981","101.767","101.836","101.685","101.100","100.482","100.519","100.683","100.800","100.747","100.878","100.909","100.901","100.869","100.773","100.840","100.639","100.527","100.385","100.352","100.373","100.371","100.367","100.490","100.392","100.279","99.810","99.357","98.817","98.598","98.605","98.767","98.759","98.747","99.030","99.045","99.135","99.300","99.359","99.398","99.632","99.674","99.717","99.863","99.864","99.876","100.000","100.059","100.244","100.189","100.138","99.958","99.916","100.212","100.135","100.096","99.894","99.750","99.694","99.679","99.642","99.649","99.897","99.811","99.749","99.664","99.799","99.724","99.587","99.815","99.616","99.190","99.567","99.812","99.911","99.887","99.829","99.800","99.668","99.734","99.805","99.794","99.883","99.925","99.984","99.925","99.796","99.825","99.847","99.764","99.819","99.883","99.895","99.927","99.980","99.879","99.950","100.210","100.266","100.323","100.527","100.631","100.718","100.695","100.723","100.601","100.476","100.348","100.185","100.266","100.218","100.176","100.268","100.514","100.685","100.895","100.915","100.715","100.723","100.682","100.425","100.650","100.632","100.645","100.497","100.457","100.394","100.187","100.216","100.112","99.929","99.751","99.801","99.814","99.858","100.070","100.115","100.016","99.841","99.392","99.006","98.534","98.311","99.449","100.337","100.107","99.772","99.533","99.381","99.622","99.736","99.688","99.331","99.132","99.275","99.210","99.082"
"37","16","    Terms of trade index \6\","W369RG3","147.193","146.804","147.742","147.326","145.660","146.823","143.016","142.115","142.657","142.513","140.137","138.935","140.662","138.190","136.519","136.585","136.442","132.154","133.450","130.419","120.418","111.741","112.277","114.348","115.733","115.097","117.366","117.901","117.689","117.180","115.787","116.660","113.993","112.564","110.543","109.949","110.255","110.329","110.301","111.956","110.921","109.731","104.505","99.816","94.846","92.783","92.803","94.295","94.230","94.080","96.750","96.859","97.726","99.397","99.870","100.056","102.636","103.006","103.385","105.064","104.883","104.971","105.784","105.948","107.358","106.486","105.466","103.284","102.553","105.437","104.322","103.965","101.795","100.615","99.952","100.078","99.822","100.123","102.498","101.465","100.838","99.887","100.983","100.155","98.748","100.801","98.906","95.103","98.415","100.671","101.570","101.301","100.705","100.404","99.124","99.703","100.355","100.222","101.002","101.332","101.847","101.280","100.124","100.386","100.649","100.003","100.388","100.829","100.850","101.038","101.337","100.356","100.872","102.967","103.386","103.781","105.345","106.104","106.644","106.319","106.418","105.330","104.298","103.324","102.100","102.734","102.318","101.927","102.386","103.911","105.033","106.433","106.412","104.794","104.945","104.501","102.607","104.336","104.082","104.262","103.261","103.090","102.548","101.245","101.493","100.799","99.485","98.322","98.643","98.869","99.320","100.513","100.715","100.215","99.213","96.739","94.812","92.730","91.754","96.675","102.093","100.502","98.354","96.988","96.206","97.944","98.632","98.675","96.947","96.122","96.903","96.290","95.623"
"38","17","      Terms of trade, goods \7\","W370RG3","165.695","164.581","165.930","164.971","164.055","165.867","159.522","157.830","159.750","159.948","156.539","155.740","154.040","150.567","148.549","149.550","150.947","146.783","149.758","146.250","132.885","121.737","122.479","125.700","127.630","126.743","129.699","130.617","129.775","128.843","127.113","128.336","125.028","123.129","120.426","119.589","119.934","120.222","120.573","123.071","122.207","120.965","114.475","108.522","102.498","99.649","99.863","101.582","101.157","100.643","103.733","103.788","104.667","105.947","105.597","105.385","108.171","108.535","108.906","111.164","111.362","111.173","111.011","110.047","111.260","110.542","109.728","107.174","106.710","110.337","108.748","108.307","105.043","103.863","103.131","103.621","103.875","104.613","107.605","106.161","104.859","103.324","104.500","103.440","101.631","104.379","101.917","97.130","101.083","103.342","104.100","103.662","102.883","102.421","101.082","101.345","102.087","102.000","102.767","103.155","103.867","103.119","101.968","102.453","102.555","102.126","102.593","102.943","102.615","102.912","103.000","101.473","102.058","104.395","104.656","104.818","106.254","107.193","107.733","107.486","107.438","106.161","105.040","103.912","102.085","102.533","101.876","101.380","101.964","103.736","105.135","106.800","106.842","104.986","105.482","104.863","102.723","105.452","104.892","105.174","104.053","103.996","103.344","101.721","101.903","101.116","99.366","97.759","98.223","98.578","99.126","100.720","100.754","100.285","99.158","96.295","94.136","92.290","91.045","95.919","102.155","100.613","97.925","96.312","95.322","97.323","98.212","98.784","96.835","95.907","96.601","95.644","94.741"
"39","18","      Terms of trade, nonpetroleum goods \8\","W371RG3","118.375","117.544","118.328","117.346","116.718","117.911","113.272","112.226","113.634","114.046","111.782","111.112","109.668","107.156","105.544","106.183","107.161","103.902","106.841","107.514","111.364","105.995","104.652","105.728","106.426","105.267","108.544","110.353","110.390","109.176","107.229","108.642","106.062","104.100","101.284","100.551","99.912","99.212","99.065","100.710","100.252","102.686","103.885","100.551","98.759","98.235","98.003","100.214","101.905","102.670","104.302","103.387","103.952","104.291","105.013","104.695","104.919","105.367","106.387","108.344","108.431","108.330","108.098","107.206","108.331","107.792","106.138","103.513","99.778","97.949","95.183","95.695","94.548","94.329","94.063","93.690","92.555","92.970","95.111","92.912","93.196","93.494","93.780","93.343","92.757","93.050","93.072","92.844","92.321","92.855","92.995","92.583","91.524","92.046","91.026","90.536","91.491","91.240","90.935","90.521","91.025","90.927","90.572","90.422","91.189","91.021","90.876","91.189","91.827","92.921","93.236","92.851","93.433","94.027","94.075","94.149","94.357","94.515","94.551","94.243","94.115","94.630","94.929","95.195","95.262","95.382","95.187","95.203","94.847","95.806","96.702","96.811","97.114","97.123","97.823","97.872","97.751","98.224","97.990","98.779","98.862","99.439","99.455","99.654","99.833","100.052","100.467","99.653","100.865","102.171","102.743","102.647","102.853","103.466","103.776","104.181","104.363","104.626","105.213","100.056","99.058","100.589","101.716","101.792","101.968","103.095","103.463","105.430","106.745","107.733","107.708","106.775","107.518"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
