"","Table 3#6# Contributions for Government Social Insurance","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Federal social insurance funds","A1580C1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","4,959.0","3,811.0","2,872.0","3,203.0","3,201.0","3,900.0","3,917.0","3,959.0","4,347.0","4,900.0","5,366.0","6,041.0","6,031.0","7,530.0","8,890.0","9,226.0","10,771.0","11,955.0","12,152.0","12,588.0","16,300.0","17,429.0","19,316.0","22,071.0"
"22","4","    Old-age, survivors, disability, and hospital insurance","CON1101",".....",".....",".....",".....",".....",".....",".....",".....","288.0","261.0","291.0","329.0","419.0","532.0","625.0","648.0","630.0","687.0","780.0","839.0","816.0","1,308.0","1,660.0","1,776.0","1,882.0","2,458.0","2,825.0","3,043.0","3,673.0","3,657.0","4,556.0","5,632.0","5,700.0","6,226.0","7,464.0","7,846.0","8,330.0","12,053.0","13,411.0","15,243.0","17,884.0"
"23","5","      Old-age, survivors, and disability insurance","L306051",".....",".....",".....",".....",".....",".....",".....",".....","288.0","261.0","291.0","329.0","419.0","532.0","625.0","648.0","630.0","687.0","780.0","839.0","816.0","1,308.0","1,660.0","1,776.0","1,882.0","2,458.0","2,825.0","3,043.0","3,673.0","3,657.0","4,556.0","5,632.0","5,700.0","6,226.0","7,464.0","7,846.0","8,330.0","11,033.0","11,866.0","13,138.0","15,621.0"
"24","6","      Hospital insurance","L306061",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,020.0","1,545.0","2,105.0","2,263.0"
"25","7","    Unemployment insurance","A1581C1",".....",".....",".....",".....",".....","3.0","7.0","240.0","677.0","882.0","953.0","978.0","1,215.0","1,349.0","1,547.0","1,494.0","1,425.0","2,683.0","2,146.0","1,638.0","1,638.0","1,505.0","1,756.0","1,645.0","1,649.0","1,497.0","1,632.0","1,932.0","1,990.0","2,033.0","2,611.0","2,891.0","3,179.0","4,182.0","4,127.0","3,919.0","3,849.0","3,795.0","3,402.0","3,374.0","3,415.0"
"26","8","      State unemployment insurance","CON1201",".....",".....",".....",".....",".....","3.0","7.0","159.0","588.0","780.0","815.0","813.0","1,011.0","1,089.0","1,246.0","1,177.0","1,011.0","893.0","1,029.0","965.0","1,010.0","1,217.0","1,465.0","1,350.0","1,288.0","1,081.0","1,193.0","1,448.0","1,476.0","1,435.0","1,967.0","2,245.0","2,405.0","2,944.0","2,974.0","3,001.0","3,027.0","2,973.0","2,572.0","2,486.0","2,482.0"
"27","9","      Federal unemployment tax","CON1501",".....",".....",".....",".....",".....",".....",".....","81.0","89.0","102.0","105.0","98.0","124.0","161.0","183.0","184.0","174.0","184.0","212.0","228.0","223.0","232.0","263.0","263.0","298.0","289.0","304.0","326.0","337.0","326.0","337.0","343.0","456.0","947.0","847.0","619.0","558.0","597.0","601.0","634.0","669.0"
"28","10","      Railroad employees unemployment insurance","CON1601",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33.0","67.0","80.0","99.0","118.0","129.0","130.0","139.0","143.0","25.0","23.0","24.0","26.0","25.0","25.0","24.0","25.0","76.0","97.0","106.0","151.0","165.0","153.0","160.0","156.0","153.0","149.0","146.0","141.0","136.0","131.0"
"29","11","      Federal employees unemployment insurance","CONBFE1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","110.0","1,467.0","762.0","420.0","382.0","32.0","2.0","7.0","38.0","103.0","110.0","82.0","80.0","166.0","156.0","138.0","165.0","131.0","150.0","146.0","115.0","79.0","88.0","118.0","133.0"
"30","12","    Railroad retirement","CON1701",".....",".....",".....",".....",".....",".....",".....",".....","62.0","54.0","58.0","67.0","80.0","98.0","129.0","140.0","140.0","163.0","271.0","283.0","277.0","282.0","307.0","319.0","312.0","294.0","308.0","316.0","304.0","265.0","287.0","297.0","275.0","289.0","287.0","305.0","326.0","363.0","402.0","438.0","464.0"
"31","13","    Pension benefit guaranty","B1043C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","14","    Veterans life insurance","CON2101","8.0","7.0","5.0","8.0","4.0","4.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","29.0","27.0","255.0","1,268.0","1,413.0","599.0","98.0","459.0","80.0","144.0","138.0","71.0","50.0","82.0","23.0","18.0","13.0","12.0","10.0","10.0","8.0","8.0","10.0","9.0","7.0","9.0","9.0","9.0"
"33","15","    Workers' compensation","CON2201",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13.0","14.0","14.0","14.0","23.0","33.0","39.0","43.0","44.0","48.0","52.0","56.0","63.0","64.0","60.0","62.0","66.0","69.0","72.0","74.0","82.0","93.0","104.0","121.0"
"34","16","    Military medical insurance \1\","B1606C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","112.0","148.0","178.0"
"35","17","  State and local social insurance funds","A744RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","107.0","120.0","132.0","146.0","172.0","194.0","226.0","251.0","265.0","274.0","302.0","327.0","318.0","325.0","360.0","384.0","411.0","450.0","480.0","505.0","546.0","590.0","634.0","683.0"
"36","18","    Temporary disability insurance","S252101",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","7.0","2.0","4.0","4.0","4.0","5.0","4.0","6.0","6.0","6.0","7.0","7.0","8.0","8.0","8.0","9.0","10.0","10.0","15.0","19.0"
"37","19","    Workers' compensation","S253001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107.0","120.0","132.0","144.0","165.0","192.0","222.0","247.0","261.0","269.0","298.0","321.0","312.0","319.0","353.0","377.0","403.0","442.0","472.0","496.0","536.0","580.0","619.0","664.0"
"38","20","Employee and self-employed contributions","B228RC1","66.0","66.0","65.0","63.0","59.0","62.0","60.0","70.0","443.0","418.0","448.0","494.0","618.0","884.0","1,450.0","1,810.0","1,877.0","1,552.0","1,633.0","1,612.0","1,541.0","2,109.0","2,540.0","2,780.0","2,896.0","3,462.0","3,917.0","4,319.0","5,045.0","5,035.0","5,979.0","7,194.0","7,395.0","7,935.0","9,264.0","9,755.0","10,323.0","14,490.0","16,848.0","18,745.0","21,373.0"
"39","21","  Federal social insurance funds","A1585C1","66.0","66.0","65.0","63.0","59.0","62.0","60.0","70.0","443.0","418.0","448.0","494.0","618.0","882.0","1,445.0","1,805.0","1,873.0","1,504.0","1,578.0","1,543.0","1,493.0","2,058.0","2,492.0","2,728.0","2,841.0","3,403.0","3,854.0","4,251.0","4,975.0","4,958.0","5,891.0","7,093.0","7,287.0","7,798.0","9,085.0","9,553.0","10,070.0","14,215.0","16,561.0","18,437.0","21,030.0"
"40","22","    Old-age, survivors, disability, and hospital insurance","A1586C1",".....",".....",".....",".....",".....",".....",".....",".....","288.0","260.0","290.0","327.0","417.0","529.0","621.0","643.0","624.0","680.0","771.0","828.0","802.0","1,291.0","1,639.0","1,956.0","2,068.0","2,640.0","3,072.0","3,445.0","4,137.0","4,163.0","5,063.0","6,242.0","6,429.0","6,926.0","8,208.0","8,687.0","9,159.0","12,910.0","14,939.0","16,588.0","19,074.0"
"41","23","      Employees","A1587C1",".....",".....",".....",".....",".....",".....",".....",".....","288.0","260.0","290.0","327.0","417.0","529.0","621.0","643.0","624.0","680.0","771.0","828.0","802.0","1,291.0","1,639.0","1,750.0","1,849.0","2,417.0","2,774.0","2,977.0","3,615.0","3,582.0","4,473.0","5,543.0","5,604.0","6,084.0","7,324.0","7,680.0","8,138.0","11,838.0","13,144.0","14,994.0","17,294.0"
"42","24","        Old-age, survivors, and disability insurance","L306221",".....",".....",".....",".....",".....",".....",".....",".....","288.0","260.0","290.0","327.0","417.0","529.0","621.0","643.0","624.0","680.0","771.0","828.0","802.0","1,291.0","1,639.0","1,750.0","1,849.0","2,417.0","2,774.0","2,977.0","3,615.0","3,582.0","4,473.0","5,543.0","5,604.0","6,084.0","7,324.0","7,680.0","8,138.0","10,817.0","11,597.0","12,910.0","15,106.0"
"43","25","        Hospital insurance","L306231",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,021.0","1,547.0","2,084.0","2,188.0"
"44","26","      Self-employed","CON5201",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","206.0","219.0","223.0","298.0","468.0","522.0","581.0","590.0","699.0","825.0","842.0","884.0","1,007.0","1,021.0","1,072.0","1,795.0","1,594.0","1,780.0"
"45","27","    Supplementary medical insurance","CON5301",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","320.0","636.0","828.0","908.0"
"46","28","    State unemployment insurance","CON5441",".....",".....",".....",".....",".....",".....",".....","9.0","32.0","44.0","41.0","44.0","56.0","74.0","88.0","90.0","79.0","44.0","33.0","18.0","11.0","13.0","13.0","14.0","14.0","13.0","14.0","16.0","15.0","13.0","13.0","14.0","16.0","19.0","21.0","20.0","20.0","21.0","22.0","25.0","27.0"
"47","29","    Railroad retirement","CON5501",".....",".....",".....",".....",".....",".....",".....",".....","62.0","54.0","58.0","67.0","80.0","98.0","129.0","140.0","140.0","163.0","271.0","283.0","277.0","282.0","307.0","319.0","312.0","294.0","308.0","316.0","304.0","265.0","287.0","297.0","275.0","289.0","287.0","305.0","326.0","358.0","375.0","414.0","443.0"
"48","30","    Veterans life insurance","CON5741","66.0","66.0","65.0","63.0","59.0","62.0","60.0","61.0","61.0","60.0","59.0","56.0","65.0","181.0","607.0","932.0","1,030.0","617.0","503.0","414.0","402.0","474.0","533.0","439.0","447.0","456.0","460.0","474.0","519.0","517.0","528.0","540.0","567.0","564.0","569.0","541.0","565.0","606.0","589.0","582.0","578.0"
"49","31","  State and local social insurance funds \2\","B738RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","48.0","55.0","69.0","48.0","51.0","48.0","52.0","55.0","59.0","63.0","68.0","70.0","77.0","88.0","101.0","108.0","137.0","179.0","202.0","253.0","275.0","287.0","308.0","343.0"
"50","32","Rest-of-the-world contributions \3\","W781RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18.0","22.0","23.0","26.0","26.0","30.0","31.0","37.0","40.0","34.0","52.0","57.0","66.0","77.0","84.0","105.0","112.0","144.0","213.0"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Consists of payments for medical services for dependents of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","active duty military personnel at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Consists of contributions for temporary disability insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Consists primarily of contributions by residents of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","U.S. territories and the Commonwealths of Puerto Rico and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
