"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"22","4","    Motor vehicles and parts","DMOTRX1","255,593.0","267,989.0","286,114.0","316,030.0","345,121.0","356,103.0","374,302.0","394,008.0","404,755.0","410,435.0","408,191.0","394,384.0","401,435.0","346,828.0","322,484.0","330,058.0"
"23","5","      New motor vehicles (55)","DNMVRX1","144,650.0","147,195.0","155,059.0","172,343.0","192,341.0","202,823.0","222,621.0","239,623.0","251,164.0","253,675.0","248,894.0","234,558.0","237,290.0","191,278.0","169,637.0","178,726.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRX1","74,115.0","81,686.0","90,188.0","101,888.0","108,805.0","108,522.0","108,159.0","111,054.0","109,516.0","111,351.0","112,707.0","113,416.0","117,602.0","112,035.0","113,654.0","110,311.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRX1","37,646.0","40,141.0","41,951.0","42,677.0","44,615.0","45,236.0","43,593.0","43,278.0","44,003.0","45,362.0","46,590.0","46,361.0","46,521.0","43,205.0","39,470.0","41,047.0"
"26","8","    Furnishings and durable household equipment","DFDHRX1","133,059.0","138,824.0","145,328.0","157,311.0","175,550.0","192,480.0","202,267.0","217,009.0","229,124.0","247,209.0","261,281.0","272,543.0","274,350.0","262,773.0","240,604.0","260,085.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRX1","75,953.0","79,955.0","85,038.0","91,749.0","101,603.0","111,772.0","116,514.0","124,345.0","130,888.0","142,335.0","153,002.0","161,200.0","165,067.0","157,085.0","143,369.0","155,681.0"
"28","10","      Household appliances (part of 33)","DAPPRX1","23,827.0","24,069.0","23,944.0","26,177.0","29,555.0","32,181.0","33,988.0","36,143.0","38,061.0","41,947.0","43,301.0","43,538.0","42,168.0","40,746.0","36,913.0","39,641.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERX1","20,625.0","21,773.0","22,720.0","24,520.0","28,209.0","31,560.0","34,144.0","38,158.0","40,380.0","41,513.0","42,650.0","44,754.0","44,554.0","42,903.0","40,390.0","43,761.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORX1","12,819.0","13,187.0","13,803.0","15,067.0","16,342.0","17,045.0","17,667.0","18,358.0","19,814.0","21,439.0","22,328.0","23,082.0","22,687.0","22,111.0","20,036.0","21,177.0"
"31","13","    Recreational goods and vehicles","DREQRX1","75,204.0","86,842.0","100,350.0","120,546.0","146,266.0","171,745.0","188,808.0","211,747.0","238,769.0","274,678.0","312,815.0","356,212.0","400,878.0","416,204.0","409,238.0","459,627.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX1","24,354.0","30,084.0","37,070.0","48,304.0","62,422.0","76,612.0","88,601.0","104,944.0","123,802.0","150,911.0","182,923.0","221,320.0","265,322.0","291,868.0","307,559.0","360,764.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX1","22,109.0","23,456.0","24,475.0","27,117.0","31,401.0","36,101.0","38,937.0","41,729.0","43,920.0","47,226.0","50,715.0","55,116.0","57,381.0","56,006.0","50,739.0","53,955.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRX1","24,031.0","25,510.0","27,775.0","30,511.0","33,118.0","35,670.0","35,633.0","36,989.0","40,816.0","44,357.0","45,733.0","45,816.0","46,330.0","41,390.0","32,224.0","32,267.0"
"35","17","      Recreational books (part of 90)","DRBKRX1","17,901.0","19,062.0","20,480.0","21,137.0","23,380.0","25,195.0","25,240.0","25,650.0","26,775.0","27,356.0","28,067.0","29,039.0","29,430.0","29,056.0","28,206.0","29,886.0"
"36","18","      Musical instruments (part of 80)","DMSCRX1","2,829.0","2,956.0","3,105.0","3,380.0","3,865.0","4,681.0","4,816.0","5,063.0","5,005.0","5,337.0","5,377.0","5,647.0","5,737.0","5,397.0","4,742.0","4,950.0"
"37","19","    Other durable goods","DODGRX1","69,982.0","74,631.0","78,367.0","86,066.0","96,336.0","104,896.0","102,643.0","109,429.0","119,122.0","129,492.0","141,064.0","151,883.0","159,034.0","153,717.0","145,989.0","154,902.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRX1","29,870.0","32,658.0","33,994.0","37,633.0","42,156.0","45,753.0","44,309.0","47,005.0","50,919.0","54,549.0","58,128.0","60,840.0","60,491.0","54,936.0","49,419.0","51,158.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERX1","24,007.0","25,875.0","28,016.0","30,343.0","32,097.0","34,043.0","33,043.0","35,261.0","37,127.0","39,226.0","41,528.0","43,671.0","47,125.0","47,462.0","47,331.0","52,048.0"
"40","22","      Educational books (96)","DEBKRX1","11,482.0","11,192.0","11,172.0","11,427.0","11,970.0","11,818.0","11,408.0","11,179.0","11,300.0","11,406.0","11,542.0","11,519.0","11,240.0","10,548.0","9,646.0","9,636.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRX1","6,541.0","6,620.0","6,931.0","7,879.0","9,925.0","11,646.0","11,252.0","12,367.0","13,999.0","16,428.0","20,491.0","23,257.0","24,578.0","24,637.0","23,957.0","25,571.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERX1","1,561.0","1,663.0","1,749.0","2,014.0","2,614.0","3,321.0","3,918.0","4,597.0","6,274.0","8,029.0","9,376.0","12,766.0","16,338.0","17,429.0","17,420.0","18,782.0"
"43","25","  Nondurable goods","DNDGRX1","1,437,660.0","1,479,205.0","1,522,722.0","1,580,176.0","1,660,683.0","1,714,532.0","1,745,421.0","1,780,054.0","1,840,711.0","1,892,805.0","1,953,375.0","2,004,995.0","2,042,909.0","2,019,070.0","1,983,371.0","2,041,288.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARX1","548,435.0","553,943.0","558,768.0","565,464.0","587,297.0","600,516.0","607,519.0","608,935.0","616,529.0","623,852.0","644,493.0","662,998.0","673,193.0","666,030.0","657,341.0","673,107.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX1","481,762.0","484,525.0","487,034.0","491,252.0","509,845.0","519,036.0","524,371.0","525,522.0","533,439.0","539,725.0","558,166.0","572,184.0","580,452.0","573,971.0","566,284.0","577,052.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX1","66,259.0","68,996.0","71,345.0","73,785.0","77,038.0","81,078.0","82,789.0","83,021.0","82,763.0","83,814.0","85,984.0","90,391.0","92,412.0","91,720.0","90,713.0","95,846.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRX1","586.0","543.0","475.0","492.0","471.0","405.0","342.0","379.0","327.0","310.0","343.0","429.0","339.0","361.0","374.0","311.0"
"48","30","    Clothing and footwear","DCLORX1","201,095.0","210,848.0","217,783.0","231,059.0","246,231.0","258,146.0","260,587.0","268,565.0","282,640.0","296,019.0","314,018.0","328,651.0","340,129.0","338,093.0","322,366.0","341,004.0"
"49","31","      Garments","DGARRX1","163,049.0","170,703.0","176,360.0","186,824.0","198,431.0","208,062.0","210,324.0","217,465.0","229,342.0","240,724.0","256,337.0","267,693.0","276,834.0","275,855.0","263,898.0","279,703.0"
"50","32","        Women's and girls' clothing (10)","DWGCRX1","91,236.0","95,666.0","97,939.0","105,012.0","113,700.0","120,977.0","122,742.0","127,531.0","134,787.0","142,250.0","152,457.0","159,002.0","164,756.0","164,873.0","157,411.0","166,619.0"
"51","33","        Men's and boys' clothing (11)","DMBCRX1","63,725.0","66,890.0","69,953.0","72,558.0","74,959.0","76,858.0","76,845.0","78,615.0","82,854.0","86,251.0","91,022.0","95,497.0","98,424.0","97,096.0","93,132.0","99,068.0"
"52","34","        Children's and infants' clothing (12)","DCICRX1","8,045.0","8,092.0","8,433.0","9,217.0","9,746.0","10,228.0","10,740.0","11,319.0","11,708.0","12,227.0","12,858.0","13,198.0","13,650.0","13,871.0","13,341.0","14,002.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRX1","38,067.0","40,187.0","41,462.0","44,300.0","47,922.0","50,209.0","50,365.0","51,159.0","53,336.0","55,314.0","57,682.0","60,955.0","63,289.0","62,248.0","58,516.0","61,386.0"
"54","36","    Gasoline and other energy goods","DGOERX1","264,298.0","268,478.0","273,896.0","283,738.0","292,425.0","287,095.0","289,167.0","293,952.0","301,933.0","305,870.0","303,787.0","296,867.0","294,404.0","280,601.0","281,104.0","281,253.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX1","233,846.0","238,802.0","246,052.0","256,104.0","263,488.0","261,341.0","263,552.0","267,499.0","276,278.0","282,090.0","283,798.0","278,855.0","276,767.0","265,317.0","263,144.0","264,181.0"
"56","38","      Fuel oil and other fuels (29)","DFULRX1","32,183.0","31,141.0","28,870.0","28,478.0","29,903.0","26,260.0","26,099.0","26,986.0","26,034.0","23,955.0","19,989.0","18,021.0","17,647.0","15,408.0","17,797.0","16,969.0"
"57","39","    Other nondurable goods","DONGRX1","442,805.0","462,443.0","487,876.0","514,149.0","546,036.0","574,002.0","592,650.0","612,199.0","641,990.0","668,154.0","691,077.0","717,341.0","737,483.0","739,680.0","725,816.0","750,740.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRX1","116,903.0","125,140.0","136,931.0","154,362.0","172,987.0","189,285.0","205,750.0","217,972.0","234,652.0","247,459.0","254,723.0","265,683.0","276,650.0","280,638.0","284,786.0","286,871.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRX1","58,831.0","61,585.0","64,905.0","70,586.0","78,737.0","85,546.0","89,533.0","95,704.0","101,574.0","107,651.0","119,085.0","128,336.0","137,591.0","138,116.0","132,207.0","145,527.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURX1","72,883.0","76,166.0","79,740.0","81,228.0","84,766.0","85,529.0","86,048.0","88,054.0","93,927.0","98,038.0","102,156.0","105,901.0","108,992.0","107,901.0","102,933.0","107,445.0"
"61","43","      Personal care products (part of 118)","DOPCRX1","52,723.0","55,994.0","58,959.0","61,697.0","65,428.0","68,643.0","70,497.0","72,730.0","75,685.0","78,558.0","81,494.0","84,638.0","86,539.0","88,037.0","85,528.0","91,505.0"
"62","44","      Tobacco (127)","DTOBRX1","89,973.0","91,245.0","91,501.0","88,194.0","82,287.0","80,326.0","78,864.0","76,074.0","74,728.0","74,105.0","71,055.0","69,894.0","66,858.0","64,650.0","60,706.0","58,767.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRX1","53,696.0","53,785.0","54,844.0","55,435.0","57,383.0","59,499.0","57,190.0","56,256.0","56,079.0","57,202.0","57,541.0","58,063.0","56,521.0","56,093.0","53,956.0","58,758.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRX1","1,862.0","2,126.0","4,199.0","4,624.0","4,488.0","5,236.0","5,583.0","6,039.0","5,824.0","5,419.0","5,023.0","4,897.0","4,720.0","4,727.0","6,100.0","5,089.0"
"65","47","Services","DSERRX1","4,208,499.0","4,331,735.0","4,465,338.0","4,662,148.0","4,853,132.0","5,093,627.0","5,219,051.0","5,318,489.0","5,418,176.0","5,562,676.0","5,726,799.0","5,875,642.0","5,990,150.0","6,016,986.0","5,935,455.0","5,991,828.0"
"66","48","  Household consumption expenditures (for services)","DHCERX1","4,068,903.0","4,183,608.0","4,327,593.0","4,510,997.0","4,690,785.0","4,918,222.0","5,029,259.0","5,109,773.0","5,199,400.0","5,345,065.0","5,515,091.0","5,640,641.0","5,745,200.0","5,745,636.0","5,660,523.0","5,714,012.0"
"67","49","    Housing and utilities","DHUTRX1","1,234,771.0","1,261,587.0","1,290,299.0","1,329,650.0","1,371,664.0","1,413,561.0","1,451,383.0","1,461,884.0","1,480,151.0","1,512,796.0","1,582,576.0","1,616,848.0","1,626,566.0","1,637,808.0","1,654,871.0","1,669,199.0"
"68","50","      Housing","DHSGRX1","1,017,348.0","1,037,129.0","1,066,046.0","1,100,623.0","1,138,687.0","1,174,164.0","1,213,740.0","1,219,351.0","1,233,042.0","1,264,140.0","1,328,896.0","1,367,077.0","1,373,069.0","1,387,843.0","1,403,697.0","1,410,683.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRX1","253,542.0","253,761.0","257,341.0","261,778.0","266,189.0","267,944.0","272,610.0","270,448.0","260,967.0","261,298.0","264,687.0","273,663.0","288,187.0","295,288.0","308,885.0","313,887.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX1","751,951.0","771,336.0","796,291.0","825,943.0","859,160.0","890,657.0","925,667.0","933,538.0","956,255.0","984,778.0","1,044,497.0","1,073,735.0","1,066,828.0","1,075,090.0","1,077,188.0","1,079,170.0"
"71","53","        Rental value of farm dwellings (22)","DFARRX1","11,506.0","11,563.0","11,910.0","12,283.0","12,632.0","14,763.0","14,664.0","14,623.0","14,948.0","17,179.0","18,829.0","18,812.0","17,201.0","16,595.0","16,528.0","16,440.0"
"72","54","        Group housing (23)","DGRHRX1","992.0","1,065.0","1,046.0","1,098.0","1,104.0","1,097.0","1,052.0","955.0","952.0","917.0","884.0","888.0","920.0","931.0","942.0","956.0"
"73","55","      Household utilities","DUTLRX1","218,559.0","225,695.0","225,320.0","229,992.0","233,632.0","239,997.0","237,648.0","242,827.0","247,570.0","248,841.0","253,680.0","249,965.0","253,604.0","250,400.0","251,698.0","258,761.0"
"74","56","        Water supply and sanitation (25)","DWRSRX1","55,428.0","57,230.0","58,492.0","59,432.0","61,322.0","61,939.0","62,517.0","63,142.0","63,986.0","63,503.0","63,724.0","65,802.0","66,119.0","66,330.0","65,619.0","64,975.0"
"75","57","        Electricity and gas","DELGRX1","163,050.0","168,381.0","166,755.0","170,494.0","172,172.0","177,989.0","175,044.0","179,615.0","183,531.0","185,314.0","189,956.0","184,219.0","187,525.0","184,139.0","186,153.0","194,129.0"
"76","58","          Electricity (27)","DELCRX1","101,847.0","103,515.0","103,207.0","110,558.0","111,634.0","115,469.0","113,317.0","118,566.0","120,615.0","123,022.0","128,720.0","125,751.0","127,397.0","125,497.0","122,951.0","131,324.0"
"77","59","          Natural gas (28)","DGHERX1","64,294.0","69,356.0","67,508.0","60,773.0","61,391.0","63,372.0","62,638.0","61,228.0","63,263.0","62,445.0","61,236.0","58,427.0","60,156.0","58,628.0","64,077.0","62,383.0"
"78","60","    Health care","DHLCRX1","947,595.0","967,189.0","997,218.0","1,029,614.0","1,045,699.0","1,081,640.0","1,135,567.0","1,202,448.0","1,228,331.0","1,267,439.0","1,308,891.0","1,332,957.0","1,364,035.0","1,396,473.0","1,423,143.0","1,442,852.0"
"79","61","      Outpatient services","DOUTRX1","423,069.0","434,716.0","444,992.0","459,272.0","468,165.0","490,259.0","518,017.0","552,430.0","577,788.0","604,853.0","625,938.0","640,985.0","653,466.0","674,462.0","679,070.0","679,400.0"
"80","62","        Physician services (44)","DPHYRX1","209,146.0","214,178.0","219,943.0","227,906.0","234,083.0","248,686.0","262,961.0","284,083.0","301,688.0","317,685.0","330,549.0","340,462.0","342,768.0","355,851.0","356,550.0","351,699.0"
"81","63","        Dental services (45)","DDENRX1","71,042.0","71,515.0","72,825.0","74,923.0","76,639.0","79,667.0","83,489.0","87,123.0","86,595.0","88,742.0","89,138.0","88,652.0","89,768.0","89,762.0","87,147.0","86,079.0"
"82","64","        Paramedical services (46)","DPMSRX1","144,084.0","150,051.0","153,175.0","157,351.0","158,318.0","162,597.0","172,223.0","181,673.0","189,636.0","198,470.0","206,251.0","211,923.0","221,005.0","229,138.0","235,938.0","242,297.0"
"83","65","      Hospital and nursing home services","DHPNRX1","526,369.0","534,108.0","554,180.0","572,376.0","579,424.0","592,736.0","618,664.0","650,888.0","650,748.0","662,594.0","682,953.0","692,011.0","710,554.0","722,137.0","743,922.0","762,930.0"
"84","66","        Hospitals (51)","DHSPRX1","425,323.0","430,463.0","446,868.0","462,332.0","471,072.0","484,307.0","510,029.0","540,874.0","537,932.0","549,338.0","567,924.0","576,651.0","592,664.0","602,624.0","623,580.0","641,056.0"
"85","67","        Nursing homes (52)","DNRSRX1","100,988.0","103,748.0","107,396.0","110,075.0","108,258.0","108,295.0","108,558.0","110,062.0","112,809.0","113,256.0","115,028.0","115,351.0","117,877.0","119,500.0","120,355.0","121,896.0"
"86","68","    Transportation services","DTRSRX1","213,861.0","231,388.0","248,842.0","259,199.0","273,516.0","286,252.0","283,615.0","275,869.0","276,885.0","283,763.0","285,961.0","285,456.0","287,898.0","272,000.0","248,096.0","250,182.0"
"87","69","      Motor vehicle services","DMVSRX1","160,874.0","174,454.0","189,489.0","195,403.0","205,842.0","213,360.0","212,549.0","203,851.0","202,765.0","205,811.0","209,616.0","209,883.0","211,018.0","199,626.0","179,341.0","179,856.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRX1","124,612.0","130,149.0","134,701.0","139,493.0","144,331.0","148,670.0","150,917.0","148,845.0","151,752.0","153,462.0","155,128.0","150,797.0","150,929.0","140,932.0","128,576.0","127,697.0"
"89","71","        Other motor vehicle services (61)","DOVSRX1","37,720.0","44,899.0","54,267.0","55,462.0","60,682.0","63,716.0","60,986.0","54,788.0","51,042.0","52,358.0","54,488.0","59,142.0","60,170.0","58,873.0","50,845.0","52,296.0"
"90","72","      Public transportation","DPUBRX1","53,040.0","57,036.0","59,685.0","63,886.0","67,726.0","72,714.0","70,983.0","71,929.0","74,095.0","77,982.0","76,345.0","75,581.0","76,876.0","72,378.0","68,752.0","70,334.0"
"91","73","        Ground transportation (63)","DGRDRX1","22,986.0","22,366.0","22,788.0","24,612.0","25,679.0","26,360.0","26,970.0","26,715.0","25,444.0","26,174.0","26,195.0","27,027.0","26,724.0","26,657.0","25,772.0","25,546.0"
"92","74","        Air transportation (64)","DAITRX1","30,286.0","34,014.0","35,878.0","38,263.0","40,847.0","44,549.0","42,178.0","43,222.0","46,319.0","49,310.0","47,654.0","45,989.0","47,461.0","43,040.0","40,334.0","42,165.0"
"93","75","        Water transportation (65)","DWATRX1","804.0","1,107.0","1,304.0","1,376.0","1,480.0","1,760.0","2,019.0","2,100.0","2,342.0","2,507.0","2,496.0","2,582.0","2,696.0","2,791.0","2,785.0","2,768.0"
"94","76","    Recreation services","DRCARX1","245,291.0","256,379.0","264,518.0","273,331.0","286,666.0","295,270.0","294,939.0","296,786.0","306,145.0","322,098.0","328,234.0","339,942.0","353,191.0","348,601.0","334,839.0","341,444.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX1","96,920.0","100,438.0","103,084.0","106,089.0","106,235.0","106,877.0","105,616.0","106,298.0","107,989.0","111,437.0","115,186.0","118,856.0","123,241.0","123,020.0","118,544.0","122,230.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX1","68,098.0","69,137.0","69,406.0","72,486.0","77,404.0","80,594.0","81,369.0","78,976.0","80,736.0","85,412.0","85,449.0","86,939.0","91,929.0","93,286.0","92,185.0","93,088.0"
"97","79","      Gambling (91)","DGAMRX1","57,909.0","62,435.0","66,264.0","66,933.0","73,050.0","76,605.0","77,193.0","80,385.0","85,604.0","92,044.0","92,933.0","97,884.0","99,442.0","94,090.0","89,082.0","89,058.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRX1","22,641.0","24,551.0","25,888.0","28,056.0","30,042.0","31,209.0","30,742.0","31,106.0","31,802.0","33,199.0","34,665.0","36,263.0","38,584.0","38,262.0","35,190.0","37,144.0"
"99","81","    Food services and accommodations","DFSARX1","416,022.0","418,766.0","428,030.0","439,180.0","450,019.0","470,532.0","469,875.0","477,215.0","494,981.0","515,078.0","533,906.0","551,635.0","559,071.0","553,892.0","534,265.0","551,027.0"
"100","82","      Food services","DFSERX1","365,183.0","365,750.0","370,936.0","381,387.0","390,879.0","408,028.0","411,277.0","417,278.0","431,645.0","447,840.0","461,256.0","475,238.0","481,166.0","473,794.0","455,658.0","467,259.0"
"101","83","        Purchased meals and beverages (102)","DPMBRX1","355,374.0","355,910.0","361,089.0","371,489.0","380,871.0","397,892.0","401,010.0","406,902.0","420,967.0","436,902.0","449,470.0","462,249.0","467,992.0","460,897.0","442,786.0","455,216.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORX1","9,790.0","9,821.0","9,831.0","9,889.0","10,003.0","10,137.0","10,268.0","10,377.0","10,678.0","10,939.0","11,786.0","12,988.0","13,173.0","12,896.0","12,872.0","12,052.0"
"103","85","      Accommodations (104)","DACCRX1","50,577.0","52,847.0","57,019.0","57,701.0","59,046.0","62,401.0","58,530.0","59,873.0","63,301.0","67,227.0","72,650.0","76,389.0","77,889.0","80,046.0","78,620.0","84,015.0"
"104","86","    Financial services and insurance","DIFSRX1","489,868.0","508,223.0","525,705.0","559,144.0","606,175.0","665,987.0","661,334.0","658,934.0","659,160.0","675,475.0","698,429.0","716,423.0","739,820.0","732,307.0","676,094.0","667,831.0"
"105","87","      Financial services","DFNLRX1","251,757.0","277,874.0","293,845.0","319,517.0","360,409.0","404,862.0","399,380.0","399,180.0","393,630.0","411,991.0","424,034.0","443,813.0","472,459.0","477,100.0","441,670.0","441,070.0"
"106","88","        Financial services furnished without payment (107)","DIMPRX1","179,888.0","195,024.0","199,808.0","201,723.0","210,001.0","216,839.0","218,356.0","214,067.0","202,153.0","217,557.0","219,902.0","222,069.0","237,741.0","245,877.0","222,585.0","228,828.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRX1","79,786.0","90,558.0","100,438.0","121,294.0","151,596.0","187,785.0","180,877.0","184,986.0","191,578.0","194,418.0","204,133.0","221,661.0","234,652.0","231,140.0","219,315.0","211,565.0"
"108","90","      Insurance","DINSRX1","251,825.0","238,687.0","238,456.0","244,466.0","247,165.0","260,673.0","261,955.0","259,580.0","265,991.0","263,464.0","274,395.0","272,624.0","267,506.0","255,443.0","234,663.0","227,100.0"
"109","91","        Life insurance (110)","DLIFRX1","88,772.0","79,972.0","80,466.0","77,351.0","74,975.0","79,746.0","75,758.0","66,786.0","65,762.0","73,652.0","76,627.0","78,873.0","79,056.0","77,763.0","71,955.0","71,212.0"
"110","92","        Net household insurance (111)","DFINRX1","6,231.0","6,323.0","5,726.0","6,530.0","6,571.0","6,546.0","6,517.0","5,961.0","5,529.0","6,051.0","6,167.0","5,993.0","6,923.0","7,251.0","6,380.0","6,609.0"
"111","93","        Net health insurance (112)","DHINRX1","103,605.0","98,901.0","97,494.0","104,581.0","108,879.0","117,321.0","121,950.0","129,959.0","138,104.0","125,782.0","133,986.0","130,337.0","124,320.0","115,121.0","104,515.0","98,723.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRX1","52,470.0","52,713.0","53,786.0","55,155.0","55,957.0","56,215.0","57,177.0","57,047.0","57,080.0","58,035.0","57,614.0","57,435.0","57,302.0","55,529.0","52,064.0","50,970.0"
"113","95","    Other services","DOTSRX1","524,276.0","541,953.0","574,061.0","621,672.0","656,741.0","704,164.0","732,627.0","737,043.0","753,870.0","768,437.0","777,094.0","797,421.0","814,950.0","804,995.0","789,504.0","791,722.0"
"114","96","      Communication","DCOMRX1","89,354.0","97,491.0","107,522.0","117,712.0","132,860.0","152,989.0","163,216.0","167,472.0","171,428.0","179,060.0","184,398.0","195,167.0","212,098.0","218,152.0","213,386.0","220,921.0"
"115","97","        Telecommunication services (71)","DTCSRX1","77,168.0","83,909.0","92,852.0","101,222.0","111,923.0","125,342.0","134,651.0","136,139.0","137,069.0","142,119.0","145,902.0","153,329.0","155,710.0","158,028.0","150,764.0","153,546.0"
"116","98","        Postal and delivery services (68)","DPSSRX1","11,643.0","12,020.0","12,189.0","12,285.0","11,987.0","11,906.0","11,126.0","10,334.0","9,371.0","8,981.0","8,608.0","8,385.0","8,410.0","7,910.0","7,332.0","6,698.0"
"117","99","        Internet access (72)","DINTRX1","1,719.0","2,774.0","3,568.0","5,175.0","9,675.0","16,330.0","17,792.0","21,207.0","25,055.0","27,971.0","29,888.0","33,519.0","50,212.0","55,594.0","60,071.0","66,894.0"
