"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155"
"23","15","        Electronics","B388RA3",28.605,25.498,22.218,25.942,24.906,24.306,19.412,24.237,21.17,27.463,17.561,20.54,22.901,25.56,15.844,19.549,17.227,18.098,14.769,14.084,16.436,18.451,16.337,20.584,22.046,21.787,23.455,18.397,20.294,21.104,20.02,23.031,22.729,25.678,28.559,25.385,27.97,30.922,29.389,29.43,30.833,32.127,33.462,36.192,37.249,39.167,39.543,39.952,41.304,44.864,39.093,48.229,48.49,51.102,57.016,53.054,51.627,55.079,55.939,57.293,59.13,62.089,59.9,59.239,59.053,59.898,55.489,62.626,59.323,59.508,65.863,56.95,64.288,53.544,65.698,52.719,56.804,61.369,51.26,44.198,49.557,48.508,55.683,52.168,55.983,61.34,54.362,47.05,50.568,48.628,48.283,40.811,40.471,37.1,41.633,33.566,35.116,45.253,43.306,36.005,39.236,41.007,42.547,38.191,40.499,39.206,40.298,38.383,40.969,46.788,50.526,45.437,50.507,53.526,47.705,52.149,50.446,53.605,53.013,53.895,55.517,59.558,62.526,57.985,63.21,69.787,77.169,66.32,74.316,82.998,83.046,85.599,85.712,94.908,113.053,106.327,110.705,111.966,124.425,120.103,130.965,140.364,155.095,146.946,177.403,193.879,212.317,211.611,186.142,210.127,224.874,200.196
"24","16","        Other durable goods","B389RA3",19.722,21.171,19.577,20.535,25.549,26.367,20.795,23.403,21.581,23.244,27.128,26.174,25.4,27.327,27.771,26.366,32.132,26.75,29.597,29.96,29.037,31.904,28.196,25.319,27.702,26.512,28.401,24.444,30.257,31.931,32.108,31.85,32.277,27.87,25.263,27.833,30.419,34.325,33.802,29.095,27.116,37.18,30.726,34.096,31.478,34.055,34.387,32.945,42.421,44.966,39.599,41.781,43.936,54.785,60.209,49.811,43.984,37.647,54.448,49.464,44.302,55.039,56.278,54.005,56.569,45.855,59.735,52.818,57.882,62.513,62.615,58.081,61.962,75.117,60.079,64.61,79.793,63.769,70.26,71.218,70.848,61.876,68.995,70.4,60.123,64.478,63.155,64.172,60.708,64.578,70.937,63.458,62.25,65.093,60.563,63.78,64.476,72.32,70.479,66.073,60.706,61.313,64.85,62.693,58.89,64.822,65.304,62.554,56.905,67.115,74.796,69.989,67.331,68.553,68.518,65.318,64.121,73.647,70.628,65.964,71.792,78.198,83.947,77.876,76.686,87.475,90.239,89.827,102.605,103.561,106.809,99.643,102.481,99.995,100.107,97.417,101.467,104.906,109.387,106.263,108.53,107.221,118.358,120.232,128.611,131.238,135.752,131.508,132.724,138.298,144.175,125.099
"25","17","      Nondurable goods","B725RA3",179.473,177.166,156.944,146.3,140.294,137.308,103.018,109.666,107.206,119.725,100.354,96.406,97.165,97.785,70.158,85.84,74.35,70.002,74.739,67.296,66.974,59.721,73.002,67.856,63.35,66.09,75.422,64.807,65.587,69.371,72.463,70.385,79.188,70.812,76.64,77.112,77.322,81.343,78.694,83.891,78.457,80.303,79.954,81.08,75.726,91.243,88.247,79.701,71.963,80.534,80.397,84.133,87.637,77.017,77.152,69.753,89.929,105.556,95.474,102.058,89.706,91.495,98.817,105.09,96.065,97.414,85.087,92.664,93.011,92.528,91.991,81.991,78.593,81.191,70.074,91.062,94.087,79.403,77.771,75.531,72.025,82.877,78.145,69.238,69.331,70.11,72.786,64.964,61.793,59.564,62.491,68.358,52.828,53.795,52.934,47.012,55.444,59.69,59.671,53.267,59.047,54.787,58.513,57.353,57.364,56.249,63.788,59.905,58.284,64.397,77.697,64.833,77.141,73.84,64.149,63.12,66.064,73.318,69.482,77.326,77.163,83.367,78.891,87.496,92.403,91.923,74.038,86.712,103.491,99.586,109.942,84.447,94.641,103.41,106.435,95.514,96.084,93.031,104.415,91.917,101.046,100.118,106.609,91.842,96.54,101.506,106.172,109.163,105.074,113.25,110.99,95.999
"26","18","        Petroleum products","B780RA3",356.439,348.907,321.75,244.474,242.367,223.862,167.686,170.919,167.433,217.187,178.451,168.312,168.705,169.068,113.885,163.965,142.755,127.549,134.359,105.375,100.842,87.002,132.309,113.799,103.475,103.384,114.977,109.736,105.355,108.512,113.65,111.617,133.914,110.109,120.27,121.748,114.93,117.355,119.025,125.927,114.378,111.701,115.263,107.94,103.445,135.287,131.526,110.888,117.633,117.76,132.738,111.729,126.319,122.104,128.13,111.61,122.998,125.916,116.818,121.917,121.341,105.43,129.384,144.758,112.414,97.139,94.051,118.362,108.87,113.79,116.108,124.323,110.667,110,94.476,144.252,139.074,108.12,115.967,90.456,99.005,99.577,100.355,80.679,94.494,91.738,89.37,89.214,89.807,100.945,97.163,87.602,91.313,82.9,92.103,74.366,91.944,87.424,94.99,70.06,77.905,80.426,76.791,74.061,77.989,77.679,76.107,70.054,75.075,86.279,106.856,65.571,85.976,76.126,75.211,70.779,84.749,85.55,88.601,101.182,97.626,105.162,93.473,118.654,131.268,104.545,56.767,84.932,119.21,102.297,123.906,65.665,83.838,109.492,111.483,95.187,91.877,91.825,113.233,87.346,98.248,102.081,108.695,89.838,90.704,100.683,106.118,107.43,104.757,109.496,99.185,83.445
"27","19","        Ammunition","B781RA3",177.538,173.252,166.264,169.641,155.055,150.716,108.317,121.492,110.157,100.352,78.281,77.374,73.587,73.174,52.279,55.912,34.877,30.716,32.192,30.265,46.496,44.23,37.085,47.006,45.927,51.026,64.349,40.846,50.176,56.739,60.917,56.824,51.29,52.829,60.372,60.744,64.02,62.7,61.911,65.736,68.502,78.418,73.246,93.354,83.653,97.766,96.644,89.682,48.31,86.484,60.851,115.6,80.669,39.142,22.225,43.575,90.694,148.567,130.127,130.167,62.288,104.77,112.484,99.598,106.372,131.199,97.589,102.418,114.809,90.764,94.482,65.992,87.151,86.797,69.61,86.55,82.224,79.438,71.063,78.622,53.213,98.891,73.105,70.492,72.326,77.342,79.324,64.484,56.296,46.4,33.492,65.995,32.406,37.422,32.158,27.379,38.658,40.952,31.101,40.781,52.746,41.271,45.69,46.37,43.862,40.004,69.994,56.866,47.306,50.74,65.143,51.271,45.997,44.259,59.158,54.512,52.721,59.509,60.839,59.812,64.356,74.106,75.959,68.861,59.441,76.355,78.235,79.033,91.777,94.599,99.153,98.778,94.579,99.658,106.325,99.437,100.743,97.109,95.421,99.661,96.705,84.603,100.112,86.57,98.313,86.038,94.44,97.851,81.893,92.431,89.096,92.136
"28","20","        Other nondurable goods","B783RA3",48.013,49.519,32.851,38.765,39.387,44.066,36.226,38.917,43.363,46.168,44.552,43.37,46.845,48.026,40.067,36.322,39.544,43.544,48.376,53.3,45.657,41.134,42.609,38.479,36.536,39.347,43.267,38.313,37.604,39.76,40.187,38.964,41.079,45.549,45.524,44.748,53.532,64.649,53.665,58.997,55.988,59.699,56.856,58.114,52.69,52.662,48.901,51.567,47.209,48.4,47.641,46.8,62.255,62.523,66.435,49.906,62.688,61.541,56.15,66.236,81.705,69.153,65.196,76.8,73.994,71.697,66.845,64.816,64.12,74.794,69.785,59.783,48.479,54.89,50.899,49.581,65.085,55.806,52.146,60.06,62.031,57.241,61.897,56.99,47.317,47.632,53.6,45.843,43.725,39.008,55.147,52.849,39.21,42.578,38.986,39.487,40.054,50.681,51.594,48.381,48.721,44.43,51.975,50.916,50.593,50.927,48.444,50.974,50.985,55.501,63.224,68.798,85.415,86.77,56.679,61.011,56.837,69.404,57.806,67.226,66.807,69.928,66.988,71.153,76.497,89.003,84.598,90.261,93.507,97.333,98.798,98.599,107.807,97.162,99.905,95.126,101.085,93.129,94.727,93.877,107.631,106.079,106.998,99.516,108.55,112.319,112.706,119.241,120.707,131.565,141.074,116.36
"29","21","      Services","B489RA3",33.809,36.193,29.675,28.369,30.032,31.734,29.717,28.459,31.761,31.271,30.398,28.121,28.697,28.681,28.86,27.751,28.194,30.326,29.189,28.215,28.661,29.588,31.508,27.702,28.544,29.042,29.206,29.111,30.978,32.1,27.827,29.139,31.9,34.072,33.904,35.393,36.345,36.099,38.504,37.685,43.027,41.752,45.697,47.789,46.732,46.01,45.869,50.141,49.294,49.344,52.031,52.6,53.963,55.55,59.207,62.274,60.055,61.588,63.825,58.667,64.458,65.683,63.609,65.336,67.683,65.724,64.974,67.339,60.14,64.866,64.708,67.491,66.939,64.792,61.636,63.738,66.102,66.455,63.748,60.061,58.089,58.27,62.359,62.943,59.341,54.044,58.291,60.856,56.819,57.477,60.888,57.346,57.326,58.68,56.327,55.646,57.188,58.707,56.393,61.315,55.255,61.099,57.964,60.255,50.891,57.691,57.661,58.167,58.656,55.517,59.14,67.724,53.986,63.366,59.264,60.011,65.662,64.217,65.198,69.455,73.03,73.662,76.658,82.524,77.937,96.122,92.749,95.722,97.018,97.63,101.998,96.653,99.897,99.48,105.691,94.932,103.547,102.836,99.397,103.265,99.405,102.405,106.859,107.265,109.235,107.391,116.471,115.838,112.198,115.077,116.49,115.503
"30","22","        Research and development","B784RA3",27.391,30.129,23.978,21.298,25.025,26.548,26.468,24.681,27.947,23.374,26.784,23.973,24.726,23.502,25.194,24.395,24.91,25.899,25.341,25.244,26.396,27.426,26.913,24.135,25.146,24.916,27.08,26.259,29.265,27.117,23.902,26.632,30.597,32.611,33.092,35.668,36.953,38.489,40.069,37.312,37.918,40.649,42.236,43.819,40.744,41.603,37.317,42.943,41.292,41.758,44.612,47.878,49.875,52.199,62.594,67.179,56.656,64.951,67.53,59.781,68.406,69.206,68.983,73.492,82.387,78.249,79.028,90.267,65.032,76.017,74.598,78.71,74.175,69.39,56.689,63.119,56.694,51.412,51.082,58.023,55.845,51.597,56.202,65.301,61.512,70.629,59.748,62.188,56.324,62.539,60.588,60.124,60.732,56.325,60.015,56.564,62.627,67.047,67.172,57.625,57.888,68.293,63.14,66.01,56.792,59.22,60.651,63.021,64.496,53.193,57.606,63.05,59.185,58.884,51.404,62.219,60.638,62.56,62.526,65.183,68.595,76.697,71.074,89.088,72.943,100.329,80.778,93.369,94.822,101.495,98.355,98.103,99.86,105.623,102.06,92.457,105.305,104.515,99.391,105.011,104.057,101.967,96.802,97.918,100.378,102.828,102.275,115.365,101.177,106.13,104.362,102.256
"31","23","        Installation support","B911RA3",56.381,58.586,45.843,44.408,47.165,53.976,43.295,42.64,51.753,51.322,42.244,42.597,45.684,49.09,41.69,42.681,45.51,48.932,43.902,45.816,46.003,45.513,55.331,46.669,43.717,46.244,45.348,45.147,45.188,58.373,44.358,44.818,48.924,50.741,50.255,55.001,54.671,46.992,52.918,55.896,69.894,55.78,78.961,83.443,80.262,73.446,77.796,83.885,82.083,83.749,85.23,84.883,83.392,79.951,83.007,83.284,88.885,80.743,88.462,81.056,87.377,86.637,83.662,80.879,83.785,81.654,78.381,80.222,80.453,79.768,79.774,81.344,88.857,85.835,88.783,90.518,96.622,96.34,88.047,93.877,90.963,85.421,87.708,96.761,96.884,89.739,95.431,99.244,103.621,96.243,98.407,91.592,92.911,95.067,89.365,89.595,90.406,93.866,90.228,94.574,87.873,90.703,88.58,88.305,80.269,87.017,87.177,81.391,82.411,83.841,85.302,94.557,80.424,90.212,89.178,85.226,91.37,88.807,91.575,93.939,98.234,94.998,100.317,101.567,100.217,108.187,115.709,115.935,109.095,104.882,110.627,100.27,95.879,97.001,106.268,100.853,99.334,101.867,96.088,101.817,93.127,93.76,96.583,94.012,93.408,92.217,104.516,102.05,105.654,109.113,109.415,106.76
"32","24","        Weapons support","B912RA3",31.616,29.626,26.812,20.313,29.776,28.532,19.224,24.468,30.035,31.272,24.633,23.122,24.233,25.674,21.156,23.927,25.11,26.377,26.938,21.76,25.406,26.257,26.147,21.792,27.719,28.907,27.009,24.819,32.402,29.561,23.108,34.108,39.307,40.584,40.211,40.25,39.249,44.703,42.554,45.011,48.492,49.452,36.846,51.559,53.425,50.49,53.102,59.541,58.838,59.255,64.685,64.136,64.339,67.402,67.897,73.632,71.227,71.984,71.857,71.111,73.072,75.08,73.962,73.829,68.248,66.602,63.216,60.035,57.585,63.738,66.08,73.296,72.851,71.481,70.871,70.724,63.375,63.334,56.821,54.669,49.598,44.38,49.035,47.231,42.021,28.005,34.037,43.052,36.481,35.967,44.593,45.32,42.263,46.4,40.331,39.406,33.018,32.58,30.749,52.467,36.509,44.154,41.953,49.111,31.043,43.988,41.453,47.59,38.954,39.962,45.6,62.981,28.754,54.304,51.435,51.631,62.237,58.867,55.531,60.942,66.252,61.834,76.747,85.32,73.11,90.434,103.024,96.992,91.336,83.895,98.67,88.595,94.398,93.349,115.338,96.914,98.351,107.426,93.148,110.418,92.704,98.317,105.227,102.239,107.434,105.122,136.347,124.256,112.222,113.618,119.785,108.457
"33","25","        Personnel support","B913RA3",17.559,20.923,19.672,24.42,17.187,15.984,16.073,17.442,16.57,16.754,24.357,17.975,17.877,17.322,22.545,17.824,18.809,18.805,19.487,17.213,14.563,17.096,17.316,16.572,16.18,17.048,16.96,18.347,16.774,17.396,16.218,15.102,14.648,17.345,14.325,18.228,19.136,18.157,22.346,19.487,26.791,27.078,27.753,27.049,27.925,27.777,28.157,32.191,28.567,27.274,33.276,29.599,33.291,36.359,36.268,39.113,37.153,39.162,40.745,36.767,41.878,41.897,41.462,42.366,39.966,39.57,39.103,38.039,36.494,40.544,40.353,42.791,42.48,39.01,38.057,36.27,36.598,34.566,34.631,37.173,37.129,35.375,38.207,43.113,38.71,18.732,31.102,36.654,33.961,32.694,38.155,33.907,33.923,39.426,34.6,35.329,35.878,35.098,33.491,44.542,37.443,41.433,38.461,40.352,31.278,41.237,40.714,40.656,42.646,42.671,47.366,56.424,39.132,53.04,48.854,44.314,55.71,51.567,53.718,58.503,62.402,61.664,68.613,69.83,64.653,73.788,81.992,84.259,90.885,91.097,99.319,93.369,95.781,94.178,107.406,102.636,107.159,111.424,101.606,103.58,100.087,107.109,117.167,122.505,126.883,124.178,138.19,131.775,134.773,136.418,140.654,147.467
"34","26","        Transportation of material","B786RA3",81.005,85.242,72.95,70.575,64.935,68.261,76.323,63.585,57.673,71.613,56.251,61.096,59.076,52.29,52.188,57.677,46.355,60.639,57.169,52.755,56.769,53.07,55.782,51.859,54.067,50.557,46.27,51.036,56.793,48.762,56.867,45.6,48.233,52.855,57.205,45.653,54.536,51.324,52.056,49.155,56.641,57.856,58.023,52.992,56.445,67.865,72.968,60.844,64.768,66.541,58.973,68.014,62.583,68.991,62.557,63.339,81.503,73.341,71.056,66.476,64.584,73.101,65.132,75.231,72.809,80.147,85.989,65.318,88.517,87.661,89.883,72.292,76.14,89.284,104.27,111.272,178.203,207.569,176.807,92.831,89.691,153.892,142.102,68.813,63.122,76.429,115.033,93.206,73.728,73.876,70.04,67.219,72.238,81.689,80.291,84.793,91.294,87.957,75.513,76.782,67.923,68.329,67.487,68.206,69.017,71.259,70.859,70.532,79.746,73.36,69.834,72.139,72.598,70.957,69.898,64.798,66.694,70.339,73.973,88.297,89.489,84.243,74.136,54.144,128.282,198.731,121.528,113.303,127.862,129.64,120.532,111.193,133.133,121.659,95.45,49.758,105.778,63.281,121.791,93.152,119.476,135.067,161.855,161.399,152.975,131.874,109.54,87.563,96.28,98.009,95.814,92.283
"35","27","        Travel of persons","B785RA3",53.218,63.309,46.342,50.058,50.27,52.074,72.838,50.577,53.271,70.785,61.771,55.88,46.799,50.67,63.52,41.656,41.873,48.899,48.394,47.896,43.764,50.257,53.723,45.253,52.895,52.216,52.183,51.545,47.954,49.992,53.066,45.52,42.909,47.274,51.953,41.7,42.155,50.258,53.241,53.52,56.579,61.072,74.565,57.026,55.811,57.806,53.385,56.452,74.424,67.202,63.325,61.812,71.694,74.312,68.856,70.543,77.148,79.017,69.763,70.955,80.716,92.505,71.566,75.449,81.835,76.953,75.893,73.956,89.126,78.493,77.201,84.682,69.141,82.541,82.079,82.493,114.792,148.99,174.96,77.321,78.093,108.006,140.012,83.968,76.598,83.108,100.297,79.79,63.033,77.066,102.149,80.23,74.699,69.054,67.171,68.303,69.523,68.564,57.584,73.158,67.371,67.177,67.305,65.634,65.207,65.887,66.65,68.625,71.052,71.867,71.866,72.988,71.402,71.192,71.16,67.638,67.447,68.578,71.676,77.753,73.559,71.732,68.742,62.833,73.178,90.018,88.879,83.983,89.946,97.205,99.289,104.041,130.7,102.804,96.239,70.257,99.208,62.473,95.428,83.744,92.535,92.718,101.56,87.14,80.751,73.35,68.056,76.874,79.533,79.971,77.709,71.083
"36","28","  Less: Own-account investment \4\","W088RA3",27.111,29.892,31.688,41.444,33.152,32.659,34.775,40.299,32.642,35.752,37.075,37.147,42.27,38.639,40.589,46.046,47.73,43.556,41.973,46.063,42.955,44.067,38.882,39.299,40.147,44.525,44.981,45.713,50.73,50.68,50.831,47.39,46.831,48.065,51.848,53.335,53.762,52.876,56.644,56.018,58.294,64.072,69.357,70.221,69.572,73.069,75.718,75.474,76.951,83.241,89.051,89.284,90.685,94.805,104.004,103.079,102.758,101.314,102.897,104.368,106.846,111.692,115.121,114.96,114.173,113.491,113.239,112.724,115.845,126.001,131.397,141.144,138.582,116.495,124.83,123.856,125.473,134.065,136.137,133.451,141.645,133.48,131.198,117.788,127.223,129.844,130.493,120.741,113.388,112.195,119.417,112.821,119.663,111.282,112.999,102.476,102.213,102.797,107.28,101.681,112.849,105.426,92.236,84.248,96.746,107.879,96.191,74.719,55.795,100.943,94.349,85.675,67.506,69.188,69.919,72.131,88.801,81.645,84.243,100.837,114.725,118.429,119.696,123.024,116.074,116.347,110.739,115.635,101.966,106.053,106.767,107.998,98.775,99.664,100.226,101.335,96.489,97.158,97.938,99.847,95.654,93.79,92.571,91.32,97.075,97.741,98.745,96.965,108.739,110.718,112.629,114.646
"37","29","        Sales to other sectors","W089RA3",78.494,121.155,85.63,104.329,99.276,197.401,191.749,132.704,216.399,223.757,201.599,175.809,247.698,189.011,31.953,45.555,39.948,49.469,49.619,30.786,57.044,95.296,75.491,33.298,48.327,52.454,69.531,87.37,70.072,51.075,45.312,72.373,66.065,57.865,90.995,100.792,110.39,63.06,117.39,71.489,110.222,85.819,54.702,134.213,53.861,41.728,23.81,60.225,54.714,46.397,100.206,39.936,32.32,50.556,69.543,49.113,25.623,52.067,62.375,61.265,63.982,59.438,76.783,36.257,56.304,65.054,114.797,44.898,66.617,58.913,60.227,39.618,59.991,59.155,112.101,162.412,84.83,99.623,113.822,49.87,99.229,141.667,128.714,63.494,110.252,115.562,158.992,74.407,179.561,227.526,139.888,225.567,113.246,77.063,70.411,103.724,86.013,102.719,127.222,110.246,72.518,94.856,80.723,76.829,91.34,24.671,110.357,40.898,30.48,59.685,105.094,64.331,120.116,49.859,80.401,37.854,109.979,51.02,60.423,66.28,56.879,44.191,132.194,62.203,68.132,93.002,96.067,59.554,66.376,77.332,111.309,64.671,105.013,103.612,114.914,76.461,103.382,133.839,114.383,75.057,127.884,100.046,138.171,91.678,79.644,83.504,81.454,82.199,81.89,82.225,84.933,82.311
"38","30","Gross investment \5\","B788RA3",19.282,23.876,17.445,20.881,26.533,24.475,19.859,21.003,25.21,27.478,29.322,30.102,28.725,25.043,35.148,35.511,34.733,31.228,34.948,34.776,35.895,36.249,34.302,32.008,31.105,34.174,34.265,38.109,36.207,36.788,43.122,41.263,43.65,41.669,39.947,43.133,42.306,46.599,47.694,48.936,47.328,53.72,51.498,56.108,56.056,59.699,62.393,66.701,67.709,68.725,66.774,76.451,74.886,83.424,89.647,88.715,85.981,92.159,106.128,101.409,99.722,106.114,110.302,105.003,97.399,97.803,97.144,97.375,97,95.986,102.755,96.346,98.528,101.338,102.024,102.156,95.601,99.352,96.224,89.497,90.627,92.768,93.507,89.339,81.631,81.238,77.721,80.831,70.851,74.379,80.464,72.165,73.123,73.399,69.306,68.607,73.381,73.749,70.507,64.253,59.655,60.305,66.1,66.016,59.804,62.927,68.576,64.903,61.253,66.495,69.92,67.918,67.282,67.279,68.56,67.994,67.048,71.062,72.745,73.439,73.485,80.149,84.629,83.206,83.268,87.325,89.681,91.733,91.684,93.724,100.116,97.726,95.764,100.344,103.543,100.348,102.97,109.641,104.551,110.675,107.966,114.652,115.949,115.744,120.844,131.867,137.614,139.865,137.493,145.286,149.128,143.03
"39","31","  Structures","B808RA3",152.691,147.961,147.219,142.28,138.994,141.821,149.156,150.221,143.175,144.44,124.267,118.889,122.406,121.954,136.734,134.97,133.114,107.935,102.87,112.406,125.747,126.424,106.804,102.11,103.348,129.603,117.674,116.307,99.201,96.328,102.063,99.002,113.43,113.211,128.485,107.174,104.274,117.673,98.061,120.752,124.123,121.058,129.701,144.769,154.103,153.897,152.861,156.215,144.58,147.219,153.243,153.117,159.595,188.297,192.274,190.828,192.355,196.678,212.025,193.316,205.973,212.388,212.095,225.618,200.204,217.282,188.059,186.053,167.717,157.001,159.657,151.973,154.481,153.851,154.441,128.693,114.278,113.432,103.368,105.63,121.353,127.181,110.558,123.037,110.879,114.396,124.223,116.619,110.28,120.484,130.733,123.656,140.055,132.87,135.91,131.447,129.132,128.418,120.035,116.485,114.458,114.754,122.966,113.95,107.854,113.153,114.717,96.785,102.558,99.939,94.515,86.881,88.019,89.916,99.203,91.451,83.825,92.146,85.374,88.805,86.789,91.851,97.928,97.675,108.731,111.883,118.399,115.068,111.173,103.821,106.89,97.096,104.1,98.541,102.966,94.393,95.41,100.068,96.56,107.848,113.218,128.339,122.949,126.274,132.153,139.009,149.119,170.56,177.604,186.485,213.769,188.538
"40","32","  Equipment and software","B873RA3",13.14,17.56,11.669,15.083,20.591,18.498,13.74,14.799,19.182,21.335,23.979,24.992,23.481,19.822,29.323,29.77,29.062,26.599,30.494,29.925,30.485,30.818,29.715,27.62,26.662,28.629,29.212,33.094,31.936,32.658,38.801,37.065,38.79,36.795,34.314,38.591,37.88,41.581,43.607,43.8,42.022,48.617,45.977,49.937,49.463,53.138,55.897,60.086,61.655,62.56,60.3,70.111,68.209,75.461,81.6,80.715,77.828,83.913,97.396,93.578,91.151,97.397,101.762,95.446,89.069,88.461,89.56,89.923,90.708,90.336,97.255,91.036,93.162,96.153,96.836,98.677,92.755,96.75,94.143,86.92,87.053,88.913,90.814,85.582,78.309,77.652,73.254,77.07,66.986,69.992,75.69,67.429,67.268,68.077,63.531,63.12,68.334,68.784,65.965,59.577,54.829,55.496,61.045,61.666,55.493,58.416,64.358,61.87,57.464,63.321,67.468,65.959,65.186,65.025,65.602,65.673,65.324,68.931,71.387,71.822,72.067,78.875,83.193,81.659,80.646,84.786,86.725,89.309,89.645,92.635,99.369,97.767,94.845,100.532,103.598,101.025,103.84,110.752,105.479,110.981,107.282,112.92,115.052,114.403,119.402,130.947,136.145,136.004,132.443,140.101,140.999,137.289
"41","33","    Aircraft","B874RA3",24.761,25.943,22.796,24.959,23.78,21.871,17.384,23.488,17.931,22.576,22.016,24.123,29.083,32.764,32.71,36.539,32.145,30.603,28.702,31.3,31.782,32.347,32.663,31.449,22.964,29.714,28.047,40.352,35.544,33.457,38.235,44.459,48.928,43.602,39.582,49.429,48.308,49.484,54.414,57.807,51.077,54.709,51.604,53.754,48.454,55.497,67.78,68.155,66.599,56.935,61.285,73.101,69.584,84.146,89.574,108.723,105.772,121.778,147.805,161.411,156.735,150.15,161.55,147.464,131.728,131.924,116.253,126.124,112.928,106.394,113.76,129.775,100.099,115.362,110.6,100.897,74.503,86.088,80.531,65.97,61.18,76.923,70.233,60.464,64.93,62.59,72.629,89.397,58.874,67.131,85.049,78.053,63.579,59.506,52.226,58.47,74.478,66.071,51.124,35.834,28.788,24.069,47.353,57.975,29.88,34.362,47.202,47.787,35.179,39.564,51.693,39.4,56.283,42.918,51.14,42.944,44.203,45.007,69.977,66.672,51.157,66.205,70.393,72.63,65.678,63.606,59.392,69.781,61.442,71.604,86.128,99.689,91.084,99.57,104.41,104.937,97.412,113.578,87.435,107.925,91.754,106.992,97.809,85.136,75.949,109.032,107.724,108.361,106.968,121.56,104.992,118.656
"42","34","    Missiles","B875RA3",38.512,39.135,36.837,29.953,40.201,42.064,34.535,34.207,37.199,44.213,41.971,43.829,35.35,27.22,35.553,23.852,23.814,14.946,37.909,27.322,27.18,20.619,19.782,13.828,13.704,12.581,18.537,22.158,21.435,28.719,38.522,46.427,51.149,45.043,48.458,50.206,45.847,55.155,61.928,63.017,63.267,73.249,73.252,81.964,78.917,79.324,90.769,120.295,109.492,103.99,98.112,132.234,122.392,117.159,129.583,136.931,137.497,165.462,186.073,152.679,157.017,190.441,198.749,183.76,137.731,179.279,168.612,178.814,172.978,189.802,212.809,185.343,228.282,218.812,260.045,280.976,259.157,260.13,247.173,227.27,221.712,261.778,257.164,242.206,198.336,188.733,148.016,178.489,149.345,130.909,134.523,109.136,94.874,136.865,122.72,86.89,102.151,100.791,101.377,90.979,70.427,69.026,76.304,76.832,74.624,66.177,113.741,74.795,71.762,71.387,73.173,82.351,62.473,63.278,54.6,101.036,94.015,93.17,81.245,84.717,93.433,88.23,81.755,89.314,74.235,75.338,92.833,121.26,100.378,90.876,111.393,110.537,79.294,112.316,86.754,121.635,116.541,115.85,83.25,130.925,128.68,106.397,95.451,91.3,90.14,107.511,109.52,94.819,111.162,116.211,120.343,122.217
"43","35","    Ships","B876RA3",74.713,90.912,84.472,65.756,72.104,75.65,59.791,58.918,73.311,86.683,82.709,85.967,78.723,81.422,68.022,65.881,73.067,69.311,80.128,78.903,88.884,83.512,92.725,86.719,89.852,100.125,89.448,116.535,92.194,94.335,132.31,88.666,86.95,90.659,87.127,93.586,86.193,100.621,108.984,112.492,115.87,122.122,117.428,120.693,128.238,134.385,127.897,138.542,132.643,135.402,138.922,153.523,144.604,153.504,162.34,155.613,138.606,156.626,159.091,140.465,140.306,155.824,143.223,138.987,135.416,129.744,131.097,151.912,157.376,141.783,159.965,149.16,150.871,158.638,152.134,180.202,141.935,149.43,143.126,141.376,147.865,143.509,136.981,128.142,125.647,122.065,111.101,110.644,101.559,114.471,114.85,91.709,109.55,105.871,93.723,88.434,86.766,89.634,81.295,78.2,68.456,81.201,78.028,70.357,77.021,73.677,79.721,84.711,84.603,82.195,80.057,87.029,73.557,81.691,80.216,82.327,86.601,89.682,82.967,88.967,98.64,102.908,106.849,107.972,101.163,119.53,119.525,110.952,113.118,99.287,121.978,99.499,100.996,97.677,109.378,91.95,94.571,105.054,97.244,97.522,89.067,89.991,90.148,98.141,84.285,90.452,92.808,97.863,92.108,96.749,95.11,105.71
