"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","            Owner-occupied","B1300C1",5.1,4.8,4.4,3.9,3.3,3.1,3.1,3.2,3.3,3.5,3.5,3.6,3.9,4.4,4.8,5.3,5.7,5.8,6.4,7.2,8.2,9.4,10.9,12.6,14.4,16.2,17.8,19.4,21.2,23,25.1,27.3,29.3,31.6,33.6,35.5,37.9,40.4,43,45.6,49.4,53.1,58.6,63.5,69,75.6,83.3,90.4,98.9,111.5,126.1,146.8,167.8,186.7,202.6,220.1,239.5,257,277.1,301.2,324.4,349.8,370.1,390.3,412.2,444.3,474.2,501.5,532.8,563.6,609.2,652.2,698.8,725.3,740.4,781.5,838.6,896.7,942.7,1016.1
"17","10","            Tenant-occupied","B1301C1",3.8,3.8,3.7,3.3,2.9,2.7,2.7,2.8,3,3.3,3.4,3.5,3.7,4,4.1,4.1,4,4.1,4.4,4.9,5.3,5.7,6.2,6.6,7.1,7.5,7.8,8.1,8.6,9.2,10,10.7,11.4,12.3,13.1,13.8,14.7,15.5,16.6,17.8,19.1,20.6,22.2,24.2,25.9,27.6,30.3,32.6,37.6,39.8,42.4,48.4,56.1,64.4,70.5,76.6,89.1,98.5,104.1,109.4,113.8,122.5,132,141.9,143.6,150.3,158.2,161.2,167.3,172.9,179.9,186.6,194.2,195.3,185.5,192.7,199.2,215.9,242.2,268.7
"18","11","          Farm housing","B1302C1",0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.9,1.9,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.4,3.4,3.6,3.6,3.7,3.9,4.2,4.5,4.7,4.8,4.7,4.6,4.6,4.5,4.3,4.3,4.7,5.1,5.6,6,6.4,7.2,8,8.3,8.6,8.5,8.8,9.3,11.1,11.4,11.8,12.3,14.5,16.2,18.1,20.5,21.7
"19","12","Less: Consumption of fixed capital","A1028C1",1.6,1.6,1.4,1.1,1.1,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.8,2,2.1,2.3,2.4,2.7,3.4,3.9,4.1,4.4,5,5.3,5.6,5.8,6.2,6.7,7,7.2,7.6,7.9,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1,15.1,16.6,18.4,21,24.1,27.1,29.6,33.6,39,44.9,51.3,56.9,60.8,63.2,66.7,70.2,75,80.3,85.7,90.9,95.4,98.7,101.8,107.5,113.6,120.9,126.8,133.8,141.3,150.9,161.8,173.2,182.3,196.1,217.3,239.7,262.1,273.1,271.7
"20","13","Equals: Net housing value added \2\","B952RC1",8.2,7.9,7.4,6.7,5.7,5.2,5.2,5.3,5.6,6,6.1,6.2,6.5,7.2,7.6,8,8.2,8.4,8.7,9.7,10.8,12.1,13.5,15.5,17.6,19.5,20.9,22.4,24.5,26.7,29.4,32,34.5,37.4,39.9,42.2,44.8,47.4,50.5,53.3,57.2,61.6,67.3,72.6,77.4,82.7,90.1,97,106.9,116.6,128.1,148.5,171.9,194.9,214.5,234.6,262.9,284.7,305.2,329.6,352.5,382.4,409.4,436.8,455.5,489,519.9,544.5,574.7,604,647.4,688.1,731.2,750.1,742.1,771.4,814.3,868.7,932.3,1034.8
"21","14","          Compensation of employees","B1033C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.2,2.4,2.6,2.9,3.2,3.5,3.7,4,4.2,4.5,4.7,6.9,7.2,7.6,8,8.3,8.8,9.4,9.9,10.8,11.1,11.9,11.9,12.4,12.8,13.5,14.2,14.6
"22","15","          Taxes on production and imports","B1031C1",2,2.1,2.1,2,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2,2.1,2.1,2.2,2.1,2.2,2.4,2.7,2.8,3.2,3.5,3.8,4.1,4.6,5.1,5.6,6.2,6.7,7.4,8.2,8.9,9.8,10.7,11.7,12.6,14.1,15.8,17.6,20.1,22.1,23.8,25.8,27.6,30.3,33.4,36.6,37.3,38,41,45.6,50,54,58.6,62.8,67.1,73.8,78.8,85.4,90.8,97.1,100.6,101.1,106,106.4,110.3,114.3,117.4,121.8,125.8,133.1,144,153.4,164.2,176.5,186.5,196.9,201.4
"23","16","          Less: Subsidies \3\","W154RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,1.1,1.6,1.8,2.3,2.6,3.1,3.5,4.2,5.3,6.6,9.2,12.1,14,14.9,16.6,16.5,16.9,16.7,18.6,20.4,22.3,24.2,26.3,28.1,31.4,32.4,31.8,30,29.6,27.8,29,34,37.1,39.9,43.3,42.6,49.7,45.7
"24","17","          Net operating surplus","W165RC1",6,5.6,5.2,4.6,3.8,3.3,3.2,3.3,3.6,3.9,4,4,4.4,5,5.3,5.6,5.7,6.1,6.2,7,7.8,8.9,9.9,11.5,13.2,14.8,15.8,16.7,18.2,19.9,22.2,24,25.7,27.8,29.3,30.7,32.4,34.1,35.7,36.7,39,41.2,45.3,49.3,52.2,56.3,61.2,65.4,72.4,81.9,93.6,112.1,133.4,154.6,171.8,188,213.4,230.6,244.7,263.5,281.5,307.5,329.8,353.5,373.5,403.5,436.9,458.3,483.4,507.2,545.4,579.3,616,628.2,614,634.6,668.4,711.3,771,864.4
"25","18","            Net interest","B1037C1",1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.1,3.6,4.1,4.8,5.6,6.4,7.2,8,8.9,10,11,12.2,13.4,14.5,15.4,16.7,18.5,20.4,23.6,27.3,31.5,36.2,42.5,47.6,55.6,64.4,75.5,88.7,101.8,118.7,135.2,151.9,174.8,195.3,208.3,221.5,238.9,256.7,265.5,262.5,247.3,244.6,262.1,270.9,286,297.8,318.1,348.3,372.4,389.8,397,425.1,481.9,557.5,615.4,641.8
"26","19","            Current transfer payments","W166RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0.1,0.2,0.1,-0.4,-0.2,0.2,0.5,0.6,0,-0.3,0.2,-0.1,-0.4,-0.6,-0.5,1.3,2,1,-0.8,-0.7,-0.4,-0.6,1.8,1.3,1.7,-0.5,4.9,1.7,2.1,0.9,-1.6,3,5.5,7.8,11.8,12.7,11,8
"27","20","            Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1",-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.4,1.4,1.3,1.2,0.6,0.8,1.4,1.8,2.5,3.7,5.5,7.8,7.5,7.9,8.8,9,8.7,8.7,8.8,10,11.5,15.8,19.4,23,26,26.7,28.8,29.9,31.1,32.1,34.2,34.4,30.7,29.4,27.9,28.9,35,39.3
"28","21","            Rental income of persons with capital consumption adjustment","B1035C1",4.5,4.1,3.6,3,2.4,1.9,2,2.1,2.4,2.8,2.9,3,3.3,3.9,4.3,4.7,4.8,4.8,4.8,5.3,5.9,6.7,7.4,8.6,9.9,11,11.5,11.7,12.3,13.1,14.2,15.2,15.8,16.7,17.2,17.3,17.6,18,18.6,18.1,18.3,18.4,19.5,19.4,18.4,18.2,17.2,15.7,13.6,13.7,14,18.4,23.5,24.7,25.6,24.8,26.2,22.1,23.6,30.3,32.1,38.9,50.2,72.6,102,131.4,142.6,156.6,161.5,177.9,194.6,199.8,214.4,205.6,187.3,180.2,155.4,123.3,122.2,187.7
"29","22","            Corporate profits with inventory valuation and capital consumption adjustments","B1036C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.7,0.8,1,1.2,1.8,2.3,2.2,2.7,3,2.6,2.7,2.9,3.3,3.1,3,3.1,3.2,3.8,4.1,4.1,4.3,4.3,4.3,4.4,4.4,4.2,3.9,3.8,4.7,4.4,4.9,5.1
"30","23","            Current surplus of government enterprises \3\","W153RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.6,0.6,0.6,0.7,0.7,0.6,0.5,0.6,1.3,1.7,1.3,1.2,0.3,-0.7,-1,-0.7,-0.4,0,0.1,-0.1,-0.7,0.4,0.4,-2,-4.5,-4.8,-6.3,-7.8,-8.8,-10.4,-11.7,-13.3,-15.5,-17.3,-17.5
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
