"","Table 6#2C# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"42","35","        Rubber and miscellaneous plastics products","B4035C0",22298,24513,25915,27080,27590,29767,31592,33849,35373,35682,37595,39743,41140,42764
"43","36","        Leather and leather products","B4036C0",2626,2731,2788,2850,2783,2856,2981,2970,2884,2726,2706,2629,2607,2539
"44","37","    Transportation and public utilities","A4037C0",191886,199770,207639,220660,228880,239245,250027,263645,274041,282522,298221,319362,350898,374220
"45","38","      Transportation","A4038C0",102609,107859,113309,120019,124195,130455,135943,143882,149968,156071,163919,176310,188680,199700
"46","39","        Railroad transportation","B4039C0",16820,15397,15160,14836,15019,15667,15285,15141,15016,15205,15397,16562,16969,16529
"47","40","        Local and interurban passenger transit","B4040C0",5322,5971,6316,6785,7220,7702,8182,8786,9238,9850,10500,11306,12417,12657
"48","41","        Trucking and warehousing \2\","B4041C0",42704,41055,42630,44575,45570,48023,50840,55646,59122,62646,67276,73027,75712,81711
"49","42","        Water transportation","B4042C0",6627,6314,6579,7013,7497,7552,7684,7839,7766,7711,7944,8211,8662,9204
"50","43","        Transportation by air \2\","B4043C0",22784,29904,32658,35782,37344,39220,40934,42703,44361,45961,47155,50865,57493,60722
"51","44","        Pipelines, except natural gas","B4044C0",853,908,903,982,1065,1165,1145,1171,1154,1148,1192,1301,1437,1492
"52","45","        Transportation services","B4045C0",7499,8309,9064,10047,10480,11127,11873,12595,13311,13550,14455,15039,15991,17384
"53","46","      Communications","A4046C0",49950,51596,52069,55731,57182,58855,61731,67042,70545,73662,80841,87995,100324,109025
"54","47","        Telephone and telegraph","B4047C0",42168,40631,40698,43100,44449,45365,47361,51536,52940,55302,61413,65893,75874,82733
"55","48","        Radio and television","B4048C0",7781,10966,11371,12631,12733,13490,14370,15507,17605,18360,19429,22102,24450,26292
"56","49","      Electric, gas, and sanitary services","B4049C0",39327,40314,42261,44910,47504,49935,52354,52721,53527,52789,53461,55057,61893,65496
"57","50","    Wholesale trade","B4050C0",179402,197688,211986,220992,225679,237595,243641,260886,277765,291347,313201,339915,352840,378910
"58","51","    Retail trade","B4051C0",259682,278506,293027,305714,313409,330564,342623,366445,386970,405530,430154,464770,494712,526101
"59","52","    Finance, insurance, and real estate","A4052C0",203994,222197,230139,243859,253905,274916,299752,310930,324677,347745,378679,423914,455139,499022
"60","53","      Depository institutions","B4053C0",46287,62003,64895,67657,67880,71053,74390,77724,80125,83315,88516,95761,100157,103275
"61","54","      Nondepository institutions","B4054C0",23628,12698,13078,14033,15029,17722,21743,22131,22546,25476,29761,38243,40556,41928
"62","55","      Security and commodity brokers","B4055C0",31284,32601,30384,31736,34341,42962,52297,52998,58004,67958,77224,91983,104360,129719
"63","56","      Insurance carriers","B4056C0",44576,47924,51273,56145,60527,63864,67832,70863,73923,76426,80755,88371,92798,97177
"64","57","      Insurance agents, brokers, and service","B4057C0",18337,21069,22347,23888,24924,25551,26716,28537,29751,31280,33704,35629,37690,40340
"65","58","      Real estate","B4058C0",30191,33707,35208,36181,36138,37358,39083,41255,41959,44336,48201,53351,57758,61701
"66","59","      Holding and other investment offices","B4059C0",9692,12195,12953,14220,15066,16407,17690,17421,18369,18955,20520,20577,21819,24883
"67","60","    Services","A4060C0",541477,602680,665275,737995,777187,846221,899931,955449,1037563,1114936,1209513,1331795,1447219,1610935
"68","61","      Hotels and other lodging places","B4061C0",22245,24830,26924,29191,29784,31007,32338,33629,35022,36666,39062,42032,47201,50789
"69","62","      Personal services","B4062C0",16611,16686,17686,18995,19657,20512,21426,22363,23706,25052,26803,29000,30698,32909
"70","63","      Business services","B4063C0",117224,98580,110518,123168,125879,139050,153898,171800,197050,225363,261664,307759,354898,430190
"71","64","      Auto repair, services, and parking","B4064C0",16526,18036,19462,21210,20861,21748,23184,24805,26509,28586,30470,32681,35093,37958
"72","65","      Miscellaneous repair services","B4065C0",7793,8911,9842,10604,9610,10267,10938,10658,11619,12434,12983,13887,14253,15027
"73","66","      Motion pictures","B4066C0",7754,9004,9888,11574,11706,12052,13327,14629,17104,18518,20634,22061,22762,23960
"74","67","      Amusement and recreation services","B4067C0",15311,17579,19406,22315,23738,26436,29219,30877,34088,36664,39670,43069,46670,51121
"75","68","      Health services","B4068C0",175318,193044,213441,239649,262914,290355,303932,317303,336639,350645,366832,385866,407851,428761
"76","69","      Legal services","B4069C0",32731,38834,41886,46058,47673,50658,52123,52654,54092,56472,59669,61425,66062,72587
"77","70","      Educational services","B4070C0",28928,30395,33037,35521,38493,41729,44339,47341,50359,53566,57291,62955,68349,73420
"78","71","      Social services and membership organizations","A4071C0",45095,49717,55011,60492,65887,70612,76446,82343,88480,93725,100583,111444,121099,131962
"79","72","        Social services","B4072C0",19591,21449,24305,27503,30692,34147,36851,39459,42260,44425,47344,51825,57129,62662
"80","73","        Membership organizations","B4073C0",25505,28268,30706,32989,35195,36465,39595,42884,46221,49300,53238,59619,63969,69300
"81","74","      Other services \3\","B4074C0",48211,88719,99211,109790,111794,121575,127919,135811,150866,165093,181657,205487,219403,248494
"82","75","      Private households","W151RC0",7729,8344,8963,9428,9191,10219,10843,11236,12029,12153,12193,14129,12880,13759
"83","76","  Government","A4076C0",558439,596341,634364,683228,724729,759042,783693,810860,832529,858436,886959,918697,964683,1020253
"84","77","    Federal","B4077C0",204493,215365,224556,236666,250602,258642,258376,258440,256461,261861,265601,269159,276641,293056
"85","78","      General government","B568RC0",170292,177973,185701,193865,205860,210697,210944,208854,205811,209699,212095,214253,220592,232963
"86","79","        Civilian","B4079C0",85397,91463,96989,103268,110426,115822,122220,123909,123812,124956,127461,129816,134293,142394
"87","80","        Military \4\","W4080C0",84895,86510,88712,90597,95434,94875,88724,84945,81999,84743,84634,84437,86299,90569
"88","81","      Government enterprises","A4081C0",34201,37392,38855,42801,44742,47945,47432,49586,50650,52162,53506,54906,56049,60093
"89","82","    State and local","B4082C0",353946,380976,409808,446562,474127,500400,525317,552420,576068,596575,621358,649538,688042,727197
"90","83","      General government","B251RC0",329257,354346,381400,415871,441650,466564,489710,515223,537726,557063,580081,606411,642463,678997
"91","84","        Education","B4084C0",173692,186495,200778,218630,232284,244035,257065,269780,282835,295029,309406,324381,344260,365026
"92","85","        Other \1\","B4085C0",155565,167851,180622,197240,209365,222527,232645,245443,254891,262034,270675,282030,298203,313971
"93","86","      Government enterprises \1\","B4086C0",24689,26630,28408,30692,32478,33838,35607,37197,38342,39512,41277,43127,45579,48200
"94","87","Rest of the world","A4187C0",-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-5213,-4690
"95","88","  Receipts from the rest of the world","B4188C0",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,2748,2835
"96","89","  Less:  Payments to the rest of the world \5\","B4189C0",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,7961,7525
"97",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","90"," Households and institutions","W506RC0",171035,190850,209204,230793,249299,271311,286106,300666,319994,335106,353386,379609,402818,429204
"99","91"," Nonfarm business","A4091C0",2056887,2221031,2344819,2474571,2531029,2672792,2799465,2963372,3120252,3277593,3507320,3809321,4074372,4432653
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","3. Consists of museums, botanical and zoological gardens; engineering and management services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","5. Beginning with 1993, includes estimates of foreign professional workers and undocumented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
