"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","23","      Instruments and related products","B3423C0",76,54,97,103,94,98,140,136,144,129,120,190,140,152,205,229,258,402,503,470,445,487,305,301,386,465,380,507,685,1033,1212,887,912,1112,234,148,416,-866,-1166,-241
"31","24","      Miscellaneous manufacturing industries","B3424C0",144,85,169,120,88,83,87,120,116,104,94,131,87,83,130,156,174,229,223,237,219,160,134,122,287,412,327,453,516,604,616,648,323,481,220,-399,317,288,-124,397
"32","25","    Nondurable goods","A3425C0",4682,3067,4455,3469,2808,3179,3577,4718,4740,4072,3476,4775,4393,4221,3960,4449,4801,5490,6827,6484,6188,5665,5242,6626,7821,13586,21924,14207,20171,19134,22036,31228,33957,38089,27955,20382,17355,17570,-8084,6175
"33","26","      Food and kindred products","B3426C0",528,535,608,332,308,331,394,535,526,454,587,700,642,636,645,835,840,915,1093,989,860,851,912,1132,969,1604,1761,2942,2645,2610,2740,2745,2286,2611,2065,1560,1779,1396,926,1828
"34","27","      Tobacco manufactures","B3427C0",58,67,60,35,27,45,57,84,77,87,108,123,127,138,124,132,123,106,119,161,118,141,188,249,211,187,231,326,357,400,713,612,739,440,335,285,-41,1078,219,727
"35","28","      Textile mill products","B3428C0",657,195,451,222,50,68,-7,150,162,111,102,285,203,175,236,243,331,465,431,320,355,289,219,310,377,510,220,171,497,561,890,571,654,464,301,741,459,323,788,1072
"36","29","      Apparel and other textile products","B3429C0",124,55,128,41,64,49,57,95,98,79,90,135,125,139,182,182,226,282,341,349,369,296,286,370,559,524,347,620,631,766,829,776,740,850,901,1223,689,375,503,857
"37","30","      Paper and allied products","B3430C0",347,223,394,350,249,240,259,355,418,285,213,340,287,263,255,305,338,433,565,455,504,558,336,315,652,1134,1472,985,1244,1422,1625,2466,1512,1397,1196,916,1607,1051,1782,3038
"38","31","      Printing and publishing","B3431C0",236,220,214,194,202,196,206,288,292,289,228,341,321,291,332,371,451,631,788,666,631,690,627,728,858,1055,1046,1310,1478,1871,2254,2515,2444,1972,1572,2321,3121,3017,2630,2459
"39","32","      Chemicals and allied products","B3432C0",594,522,807,581,374,422,503,754,698,662,480,855,742,668,327,829,711,628,1462,1026,880,795,672,837,1360,2117,2549,1988,2598,2050,1798,2056,424,1206,-2252,-563,-172,-2389,-2584,1833
"40","33","      Petroleum and coal products","B3433C0",1982,1172,1535,1532,1386,1675,1980,2238,2274,1951,1506,1782,1774,1709,1617,1318,1495,1703,1624,2145,1977,1648,1872,2324,2357,5848,13793,5348,10026,8535,10030,18432,24438,28045,22760,12570,8564,10961,-13466,-7060
"41","34","      Rubber and miscellaneous plastics products","B3434C0",116,60,201,171,114,127,94,170,154,111,137,155,141,164,192,184,215,239,298,252,376,345,112,311,423,569,456,391,452,774,935,798,388,797,876,1155,1168,1658,1013,1138
"42","35","      Leather and leather products","B3435C0",40,18,57,11,34,26,34,49,41,43,25,59,31,38,50,50,71,88,106,121,118,52,18,50,55,38,49,126,243,145,222,257,332,307,201,174,181,100,105,284
"43","36","  Transportation and public utilities","A3436C0",905,654,1043,753,700,654,335,645,554,298,200,586,661,532,991,1438,1650,2104,2320,1389,570,523,-693,-389,-167,-863,-800,151,2518,4141,4419,2021,1432,665,-88,423,4412,-3825,-6350,-2731
"44","37","    Transportation","A3437C0",689,417,764,566,490,352,4,222,168,-15,-134,1,-211,-177,10,167,262,542,583,-51,-421,-613,-1173,-477,-52,-19,840,-381,1072,1776,1842,1418,372,-1221,-3097,-833,1714,-2066,-2363,-231
"45","38","      Railroad transportation","B3438C0",493,228,513,303,309,197,-150,10,-25,-78,-204,-133,-200,-211,-181,-87,-150,-85,-27,-415,-425,-418,-748,-592,-522,-503,38,-529,-348,0,-453,188,468,-729,-1114,-730,698,-290,-445,-395
"46","39","      Local and interurban passenger transit","B3439C0",13,-8,-3,5,-2,-7,-17,-3,-11,-2,-1,23,11,-3,10,9,21,40,28,9,4,3,-27,-44,-4,4,21,29,58,72,79,119,143,103,94,171,58,50,-5,-58
"47","40","      Trucking and warehousing","B3440C0",97,87,130,84,81,85,77,99,63,75,69,113,57,119,182,157,181,265,250,159,256,232,182,418,512,459,440,356,738,819,961,763,385,559,158,945,1104,833,1207,758
"48","41","      Water transportation","B3441C0",40,50,39,66,12,13,-17,14,68,-28,-15,-12,-19,17,7,36,61,56,85,56,49,-16,-36,-83,-63,-42,165,69,113,125,119,29,13,-234,-485,-629,-683,-840,-723,-240
"49","42","      Transportation by air","B3442C0",-1,17,43,44,26,30,42,47,18,-41,-15,-32,-81,-126,-30,43,146,264,235,128,-260,-354,-512,-193,4,77,96,-392,398,708,934,-257,-1075,-1467,-2082,-882,458,-1838,-2192,-521
"50","43","      Pipelines, except natural gas","B3443C0",29,28,23,43,45,20,50,34,35,40,15,36,2,22,33,7,-7,-8,-14,-21,-34,-33,-29,3,3,-7,75,70,39,-16,135,399,403,500,414,244,69,119,-45,145
"51","44","      Transportation services","B3444C0",18,15,19,21,19,14,19,21,20,19,17,6,19,5,-11,2,10,10,26,33,-11,-27,-3,14,18,-7,5,16,74,68,67,177,35,47,-82,48,10,-100,-160,79
"52","45","    Communication","A3445C0",37,34,128,111,119,145,169,313,261,235,383,473,543,543,742,861,821,1017,1121,1030,817,969,696,377,344,446,196,636,1012,1265,1986,1203,1101,1301,589,776,398,244,1391,1143
"53","46","      Telephone and telegraph","B3446C0",17,20,112,77,82,114,138,248,193,189,325,403,449,490,660,776,748,906,979,968,791,925,665,330,165,292,32,436,571,701,1329,600,696,946,560,1102,356,636,3002,2127
"54","47","      Radio and television","B3447C0",20,14,16,34,37,31,31,65,68,46,58,70,94,53,82,85,73,111,142,62,26,44,31,47,179,154,164,200,441,564,657,603,405,355,29,-326,42,-392,-1611,-983
"55","48","    Electric, gas, and sanitary services","B3448C0",179,203,151,76,91,157,162,110,125,78,-49,112,329,166,239,410,567,545,616,410,174,167,-216,-289,-459,-1290,-1836,-104,434,1100,591,-600,-41,585,2420,480,2300,-2003,-5378,-3643
"56","49","  Wholesale trade","B3449C0",1169,652,1330,994,723,692,625,1093,1196,1077,1020,1347,1110,1138,1284,1438,1756,2111,2254,2115,2464,2750,2804,3043,5227,8230,10675,8628,8533,9288,11666,14968,13304,13595,8761,10309,14684,6265,7266,9528
"57","50","  Retail trade","B3450C0",1681,1112,1529,971,844,720,715,1045,971,893,889,1219,865,1108,1370,1486,2097,2438,2353,2848,3057,3174,3112,3656,3751,4452,4158,5376,6454,8308,9448,8806,6505,5817,7194,8917,10540,10956,10320,11649
"58","51","  Finance, insurance, and real estate","A3451C0",1906,2243,1919,2101,2473,2644,2806,3173,3284,3092,3046,3868,3989,3997,4456,3634,3689,4867,5658,5350,5831,5644,5717,7216,7988,7958,7450,7921,10575,15517,19003,17495,11489,1929,-2904,4927,-4415,-3102,315,1893
"59","52","    Banking","J3452C0",845,818,779,937,940,994,864,1292,1604,1514,1154,1687,1751,1560,1553,1850,1508,2305,2579,2418,3067,4072,3870,3585,4027,4468,4849,5575,6028,5377,6148,6232,4804,4876,5647,8912,8848,13771,16807,16393
"60","53","      Federal Reserve banks","B3453C0",49,30,-20,25,39,35,30,26,47,62,50,-188,31,68,40,45,-478,13,2,11,1,17,-9,-89,67,86,78,173,-55,112,576,87,22,294,-39,272,286,-1553,-2398,-1609
"61","54","      Commercial and mutual banks","J3454C0",796,788,799,912,901,959,834,1266,1557,1452,1104,1875,1720,1492,1513,1805,1986,2292,2577,2407,3066,4055,3879,3674,3960,4382,4771,5402,6083,5265,5572,6145,4782,4582,5686,8640,8562,15324,19205,18002
"62","55","    Credit agencies other than banks","J3455C0",213,293,356,377,546,478,568,686,779,808,931,1002,1026,1161,1243,1072,1152,1179,1055,1082,1067,975,954,1612,1981,2370,2031,1840,2715,3818,4492,3594,-981,-7912,-7866,-1083,-1654,-826,-772,3362
"63","56","    Security and commodity brokers","B3456C0",2,14,15,4,4,20,42,12,13,9,7,30,19,34,-10,17,33,57,82,159,211,-93,-320,-65,-92,55,-29,135,-422,-338,36,-283,-74,-712,-1420,-355,-1584,-670,-1759,-337
"64","57","    Insurance carriers","B3457C0",629,848,549,570,762,866,986,856,604,438,641,847,916,1001,1004,650,610,647,1343,1313,1119,671,1519,2604,3081,2721,1827,1286,2987,6822,7492,7480,8484,7430,4584,2027,-3386,-8061,-8089,-8371
"65","58","    Insurance agents, brokers, and service","B3458C0",30,29,27,26,37,32,36,35,50,51,60,69,72,44,79,78,96,105,143,120,141,155,182,246,217,89,245,249,249,681,651,565,477,504,380,251,96,524,640,1682
"66","59","    Real estate","B3459C0",223,250,251,197,190,227,295,253,142,166,213,198,153,72,132,74,198,172,387,286,257,64,-113,-47,-349,-651,-848,-711,-309,235,440,376,-839,-3021,-3946,-3613,-5918,-6968,-7567,-4099
"67","60","    Holding and other investment offices","B3460C0",-36,-9,-58,-10,-6,27,15,39,92,106,40,35,52,125,455,-107,92,402,69,-28,-31,-200,-375,-719,-877,-1094,-625,-453,-673,-1078,-256,-469,-382,764,-283,-1212,-817,-872,1055,-6738
"68","61","  Services","A3461C0",252,222,196,174,184,178,182,207,247,256,224,321,255,269,294,372,593,783,998,1072,925,643,562,801,1272,1852,1663,2355,3144,4653,5434,5675,6137,6733,6250,6192,5810,5794,5454,4136
"69","62","    Hotels and other lodging places","B3462C0",59,53,39,34,32,25,22,1,12,11,-6,-13,-37,-54,-55,-62,-62,-29,14,32,68,55,-64,-114,-17,-110,-175,-63,85,147,394,395,313,33,-148,-305,-491,-713,-1148,-2368
"70","63","    Personal services","B3463C0",36,37,29,31,30,32,32,35,47,54,61,63,57,53,48,64,112,150,149,153,153,142,119,130,160,153,222,244,237,299,333,320,367,396,503,383,511,260,281,388
"71","64","    Business services","B3464C0",56,52,61,60,59,64,61,81,114,141,134,149,107,186,146,195,237,296,389,378,216,78,11,203,403,682,300,617,813,1501,1581,1464,1255,1416,1557,1128,1574,1200,1576,965
"72","65","    Auto repair, services, and parking","B3465C0",11,8,12,13,15,11,9,12,8,-5,6,26,17,17,40,22,37,52,47,48,92,87,34,39,63,126,94,134,248,302,236,177,91,149,96,29,-120,-511,-344,-559
"73","66","    Miscellaneous repair services","B3466C0",7,5,0,-1,-2,-6,-17,-11,-5,-11,-15,-8,7,11,15,11,29,32,36,30,31,45,40,33,48,59,103,102,110,159,183,155,199,216,133,176,127,152,260,385
"74","67","    Motion pictures","B3467C0",24,18,31,2,8,15,54,53,20,7,-21,8,18,-3,-3,19,77,128,127,119,125,-21,91,47,75,114,164,206,309,323,571,581,442,447,440,245,-185,-39,-378,-1062
"75","68","    Amusement and recreation services","B3468C0",20,7,-17,-14,-3,-7,-23,-21,-22,-15,-8,10,-2,-19,-17,-20,3,-15,30,14,7,23,41,82,-19,10,85,123,192,228,257,275,250,202,95,-197,-814,-458,-662,-982
"76","69","    Other services","A3469C0",39,42,41,49,45,44,44,57,73,74,73,86,88,78,120,143,160,169,206,298,233,234,290,381,559,818,870,992,1150,1694,1879,2308,3220,3874,3574,4733,5208,5903,5869,7370
"77","70","      Health services","B3470C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,49,47,48,100,102,119,218,267,403,518,660,828,848,1151,1298,1596,2176,2573,2672,3494,3576,3830,3804,4333
"78","71","      Legal services","B3471C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,2,2,2,5,18,38,34,57,62,85,101,137,156,214,233,358,543,733,818,860,1207,1409
"79","72","      Educational services","B3472C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,10,19,11,7,-12,-42,-26,-15,17,14,65,56,93,125,51,185,91,85,128,170,157,48,266
"80","73","      Other \1\","B3473C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,93,109,137,185,122,122,96,102,137,226,134,14,145,313,300,447,626,852,274,378,644,1056,810,1361
"81","74","Rest of the world","A3474C0",425,293,285,582,789,663,540,775,1008,1206,789,856,1181,921,1101,1407,1266,1375,1686,1595,2268,2759,3164,3165,4640,8098,7704,8075,7589,8034,11685,18570,18723,14234,16198,22914,24274,26262,21591,31307
"82","75","  Receipts from the rest of the world \2\","B3475C0",581,436,475,751,923,826,702,962,1175,1363,945,1089,1357,1161,1316,1645,1595,1736,2031,2042,2763,3198,3610,3716,5220,9019,8780,9284,9262,9641,14280,22652,22353,17346,12816,21577,26453,25810,20845,31011
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",156,143,190,169,134,163,162,187,167,157,156,233,176,240,215,238,329,361,345,447,495,439,446,551,580,921,1076,1209,1673,1607,2595,4082,3630,3112,-3382,-1337,2179,-452,-746,-296
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","affiliates.  Prior to 1982, reinvested earnings of unincorporated foreign affiliates were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Prior to 1980, reinvested earnings of unincorporated  U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
