"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","4","  Tax collection and financial management","G160041",1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2,3.5,4.4,5,5.4,5.9,6.3,7.1,8.2,8.3,9.5,10.2,10.4,11.1,11.6,13.4,16.3,16.4,22.4,30.7,27.2,29.5,28.9,30,31.7,35.1,34.5,34.4,35,33.8,35.9,37.1,41.1,39.7,42.8,45.1,46.4,47.4,48.5,48.4,48.1,48.6
"12","5","  Interest payments \2\","G160051",7.3,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.2,23.1,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,208.8,216.3,230.8,247.7,272.5,294.2,311.7,312.3,312.7,322.7,353.9,364.6,370.6,371.6,357.9,362,341.5,312.6,298,306.6,342.7,372.2,411,395.9
"13","6","  Other \3\","G160061",1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.4,2.7,3.2,3.6,4.3,4.9,5.9,7.5,9.5,10.8,12,13.7,15.1,16.9,19.1,20.3,21.2,23.7,25.2,27.6,29.6,32.7,33.5,36.4,38.8,40.3,44.1,45.3,47.1,48,49.4,52.7,57.5,62,66.4,71.7,76.4,77,78.6,84.4,93.1,99,105.6
"14","7","National defense","G160071",42.1,42.7,44.1,48.1,49.9,50.1,52.2,61.8,72,79.6,80.8,79.2,80.6,84,82.2,87.2,93.1,96.2,104.4,112.9,124.3,144.4,168,191.7,208.9,233,253.7,268,283.6,293.5,299.4,308,320.1,316.2,308.6,301.3,297.2,303.7,304.8,300.6,313.3,322,342.2,380.8,435.2,481.2,514.8,543.9,574.9,634
"15","8","Public order and safety","G160081",4.1,4.4,4.8,5,5.3,5.7,6.1,6.7,7.5,8.7,9.6,11,12.6,14.1,15.9,18.1,20.7,22.8,25.1,28.7,31.9,35.7,40,44.6,48.6,52.6,58,63.2,68.3,75.3,82.8,91.7,99.8,107.7,116.4,125.1,134.1,142.8,150.2,159.3,173.1,186.8,202.2,214.8,224.5,235.9,251.1,263.5,286.1,310
"16","9","  Police","G160091",1.9,2.1,2.2,2.4,2.6,2.7,3,3.2,3.6,4.4,4.8,5.4,6.2,7,7.9,8.9,10.1,11.1,12.2,13.6,14.8,16.4,18.2,20.1,21.7,23.2,25.5,27.3,29.1,31.7,34.1,37.1,40.4,43.5,47.6,50.3,53.2,57.3,61.3,64.6,69.5,74.5,80.2,87.6,94,100.4,106.9,111.2,122.5,137.5
"17","10","  Fire","G160101",0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,5.1,5.6,6.2,7,7.7,8.3,8.9,9.7,10.6,11.3,11.8,12.8,13.8,14.6,15.9,16.4,17.3,18,18.8,19.5,20.6,22,23.7,25.1,27.3,29.2,30.4,33.4,36.2,39.1,41.7
"18","11","  Law courts","G160111",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.6,1.9,2.1,2.4,2.7,3.1,3.4,3.7,4.9,5.7,6.6,7.3,8,8.6,9.2,9.9,10.5,11.4,13.1,14.6,16.3,18.1,19.3,21.6,22.5,24.7,25.7,27.3,29.7,32.6,34.8,38.1,38.7,38.5,39.8,42.1,43.5,46.2,48.1
"19","12","  Prisons","G160121",0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.2,1.3,1.4,1.7,2,2.2,2.6,3.2,3.7,4.1,4.7,5.1,5.8,6.6,7.6,8.8,10,11.4,13,14.7,16.5,18.7,21.4,24.4,26.7,29,30.8,35.1,38.2,41,42.1,44.4,49,53.7,58.8,61.1,62.8,65.3,68.8,72.7,78.3,82.8
"20","13","Economic affairs","G160131",13,11.9,12.9,15.3,16.6,18.8,20.4,22,23.4,25.7,28,29.3,31.5,34.9,34.9,37,43.6,46.1,51.7,59.3,62.6,71.9,81.5,85.5,95.9,93.4,100.5,111.1,115.8,110.5,117,124.7,129,138.3,146,146.7,149.6,152.6,159.8,167,185.8,200.2,221.7,216.6,228,230.4,252.3,263.4,269.9,290.4
"21","14","  Transportation","G160181",5.8,6.1,6.5,6.9,7.2,7.7,8.1,8.8,9.5,10.2,11.2,12.6,13.8,14.9,16.5,19.6,22.6,23.7,25.5,27.5,30.3,34.4,37.7,40.7,42.6,44.3,46.6,48.3,50,52.4,54.2,57.5,61,63.9,66.3,70,71.9,74.6,78.9,81.9,86.6,91.9,102.9,106.6,115.4,116.4,125.4,136.2,144.1,156.7
"22","15","    Highways","G160191",4.6,4.8,5.1,5.4,5.7,6,6.4,6.9,7.5,8.2,9,10,10.9,11.6,12.9,15.6,17.5,18.1,18.9,20.5,22.4,25.4,28.5,31.2,32.2,33.4,35.6,37.9,39.4,40.8,42.3,45,47.4,49.2,51.3,54.5,57,59.4,61.8,64.7,69.4,73.7,77.9,81.6,84.1,87.8,95.7,103.3,113.2,122.2
"23","16","    Air","G160201",0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.3,1.4,1.5,1.6,1.7,1.9,2,2.2,2.3,2.4,2.6,2.8,2.7,3.5,3.7,4.1,4.1,4.1,4.6,5,5.3,5.6,6.3,6.3,6.2,6,6.4,8.4,8.7,8.8,9,15.2,14.6,19.7,16.2,16.6,18.8,17.7,19
"24","17","    Water","G160211",0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.6,3,3.4,3.7,4,4.4,4.7,4.7,4.4,4.7,5,5.1,5.5,6.2,6.2,6.4,6.5,6.3,6.4,6.4,6.8,7,7.6,8,8,9,9.7,10.1,11.2,10.3,12.5
"25","18","    Transit and railroad","G160221",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,1.2,1.5,2,2.1,2.6,3.1,2.8,2.9,2.5,2.5,2.2,1.8,1.8,2,1.9,1.7,1.8,2.2,2.3,2.8,2.5,2.3,2.3,1.8,1.5,1.6,1.8,2.5,2.5,2.7,3,2.9,2.8,3
"26","19","  Space","G160241",0.2,0.4,0.6,1.2,2.4,3.3,4.1,4.5,3.8,3.8,3.5,3.5,3.5,3.5,3.2,3.7,4,3.9,4,4.2,4.6,5.3,5.8,5.9,6.4,6.5,6.9,6.6,7.3,8.5,10,11.5,12.1,12.2,12.7,12.3,12.3,13,13.5,12.6,12.2,12.6,13.3,12.9,13.8,15,14.9,15.7,16.1,17.6
"27","20","  Other economic affairs","W690RC1",7,5.5,5.9,7.3,6.9,7.9,8.2,8.7,10.1,11.6,13.3,13.3,14.1,16.6,15.2,13.7,17,18.5,22.2,27.6,27.7,32.1,38,38.8,46.9,42.6,47,56.2,58.5,49.6,52.7,55.7,55.9,62.2,67.1,64.4,65.4,65,67.4,72.4,87,95.7,105.5,97.1,98.8,99,112,111.5,109.7,116.1
"28","21","    General economic and labor affairs","G160141",1.1,1.3,1.5,1.8,2,2,2.3,2.7,3.3,3.5,3.6,4.1,5.2,5.9,6.4,6.1,6.6,7.6,8.3,10.2,11.1,13,12.6,12.3,11.8,12,13.4,14.2,15.5,15.9,18.4,21.8,19.8,22.1,19.4,19.5,20.8,21.7,22.6,23.4,25.2,29.5,29.8,32.4,31.1,32.1,33.7,34.8,36.2,39.3
"29","22","    Agriculture","G160151",4.7,2.9,3,4,3.3,3.9,3.9,3.8,4.1,5.9,7.1,6.3,5.8,7.1,5.5,3.2,4.4,4.4,5.8,7.4,6.2,8.2,9,12.8,20.4,15.9,19.2,28.1,27.8,18.4,19.3,17.4,18.3,20.4,24.5,18.3,17.2,17.4,19.2,23.2,34.2,36.9,37.6,28.4,31.7,28,39.2,34.1,28.1,28.9
"30","23","    Energy","G160161",0.5,0.6,0.7,0.8,0.8,1,1,1,1.1,1,1.1,1,1,1.1,1,1.7,2.6,3.1,4.2,5.8,5.2,5,9.2,6.1,6.2,6.1,5.6,4.6,5,5.1,4.5,5,4.9,6,10.1,10.1,11.1,8.8,8.3,7.4,8.8,7.9,15.2,10.9,11.3,12.5,11.3,12.1,13,14.8
"31","24","    Natural resources","G160171",0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.2,1.6,1.2,1.5,2,2.1,2.4,2.3,2.7,3.4,3.4,3.9,4.1,5.3,5.9,7.3,7.7,8.6,8.7,9.4,9.5,10.1,10.8,11.1,12.1,13.4,14,13.2,16.6,16.3,17,17.3,18.4,18.7,21.4,22.8,25.4,24.6,26.3,27.7,30.3,32.4,33.1
"32","25","    Postal service","G160231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.6,-0.3,0.1,-0.5,-0.5,-0.7,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","26","    Other \4\","G160251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0
"34","27","Housing and community services","G160261",0.7,0.8,0.8,0.9,1,1,1,1.2,1.3,1.4,1.5,2,2.7,3.2,3.6,4.2,4.7,5.1,5.6,6.5,7.5,8.8,10.3,12.2,13,13.7,15.1,15.6,16,17.7,19.4,21.3,23.2,24.7,27.4,28.1,30.5,31.6,30.6,29.2,29.2,27.4,29.4,33.8,36.2,37.9,42.3,40.5,48.2,45.9
"35","28","Health","G160271",5.1,5.5,6.3,6.5,7.1,7.6,8.1,10.3,15.5,18.8,21.3,24.4,27.6,31.5,36.1,42.4,50.5,56.3,63.5,71,79.5,92.9,106.6,117.9,129.9,142.4,153.6,165.3,178.9,193.5,216.9,244.8,281.4,317.6,346.2,372.3,401.3,426.3,444.5,452.9,471.7,501.5,564.7,617.6,657.3,712.8,768.4,834.2,896.4,960.3
"36","29","Recreation and culture","G160281",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,2,2.2,2.5,3,3.4,3.7,4.1,4.6,5,5.5,6.1,6.4,6.7,7.7,8.1,8.8,9,9.6,10.5,11.5,12.4,13.1,13.2,14.4,15,15.5,16.1,17.1,18,19.6,21.2,23.2,23.8,25,26.7,28.6,30.8,33.1
"37","30","Education","G160291",14.6,16.1,17.6,19.2,21,23.2,25.7,29.7,33.9,37.9,43.1,50.3,56.9,63.1,69.6,77.8,91.2,99.5,106.7,114.3,125.5,137.7,149.8,159.4,168.9,181.9,196.8,211.9,226.1,241.2,260.4,281,295.3,307.6,325.6,342.4,362.3,377.9,396.2,417.9,443.8,476.2,511,531.6,563.6,591,623,658.2,700.6,745.1
"38","31","  Elementary and secondary","G160301",11.7,13.1,14.4,15.7,17.1,18.8,20.7,23.4,25.9,28.7,32.4,37.1,41.5,45.8,50.3,55.6,63.4,69.7,75.5,81,89.3,97.4,105,112.5,119.9,130.6,141,153.2,165,175.8,188.7,204.5,216.2,226.5,237,248.4,263.4,276.6,291,306.1,326.2,350,370.5,389.8,419.2,438,460.5,488.1,517.7,543.5
"39","32","  Higher","G160311",1.7,2,2.2,2.5,2.7,3.1,3.5,4.1,5.3,6,6.9,8.3,9.4,10.3,11.5,13.4,16.6,18.8,21,22.7,25.4,29.2,33,34.9,36.8,38.5,42,44.1,45.7,49.3,54.2,57.6,59.1,60,65.5,68.7,71.2,72.4,75.4,80.5,84.3,89.8,99.9,99,99.1,104.6,110.7,115,123.9,138.1
"40","33","  Libraries and other","W691RC1",1.2,1.1,1,1.1,1.2,1.3,1.6,2.2,2.7,3.2,3.8,4.9,5.9,6.9,7.8,8.8,11.3,11,10.3,10.6,10.7,11.1,11.8,12,12.2,12.8,13.8,14.6,15.4,16.1,17.5,18.8,20,21.2,23.1,25.3,27.7,28.8,29.7,31.3,33.3,36.4,40.6,42.9,45.3,48.3,51.8,55,59,63.5
"41","34","    Libraries","G160321",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.1,2.3,2.6,2.8,3,3.2,3.5,3.8,4,4.2,4.3,4.6,4.8,5.1,5.5,5.7,6.1,6.5,7,7.3,7.7,8.2,8.7,9.2,9.8,10.4
"42","35","    Other","G160331",1,0.8,0.7,0.8,0.8,1,1.2,1.7,2.2,2.7,3.3,4.3,5.2,6.2,6.9,7.9,10.2,9.8,9.1,9.2,9.3,9.5,10,10,10,10.5,11.2,11.8,12.3,12.8,14,15.1,15.9,17,18.8,20.8,22.9,23.7,24.3,25.6,27.2,29.9,33.6,35.6,37.6,40.2,43.1,45.9,49.2,53.1
"43","36","Income security","G160341",22,23.6,27.1,28.1,29.4,30.4,33,35,38.4,43.3,47.6,58.5,69.7,77.2,88.4,104.6,132.1,142.6,151.8,160.2,178.5,212.9,238.5,265.4,282.9,284.7,299.3,314.9,324.3,343.2,367.3,401.2,444.1,491.5,511.3,527.8,546.7,564.4,577.5,595,619.8,652.5,695.9,763.5,800.5,828.4,870.1,910.3,956.8,1060
"44","37","  Disability","G160351",4.4,4.7,5.3,5.5,6,6.2,6.8,6.9,7.5,8.1,9,10.1,11.6,13.2,15.3,17.3,19.6,22.1,24.7,26.6,29.9,32.8,36.2,37.9,39,39.9,41.7,43.2,45,47.4,49.9,54,58.8,63.7,69.5,71.4,74.7,80,82.7,85.2,87.5,93.2,103.7,115.7,123.7,134.9,146.1,153.5,163.7,172.7
"45","38","  Retirement \5\","G160361",10.6,11.6,12.9,14.5,15.3,16.1,17.9,19.5,20.9,24.3,26,30.8,35.6,39.6,48.5,54.6,62,69.4,77.1,84.6,95.1,110.1,129.3,144.9,155.8,164.2,173.7,183.5,190.5,202.6,215.3,230.6,248.3,262.9,274.1,286.9,300.1,310.1,323.2,334.7,343.6,362.1,379,395,408.4,422.6,441.8,467.4,496,521.5
"46","39","  Welfare and social services","G160371",4.2,4.1,4.5,4.8,5,5.2,5.9,6.6,7.6,8.5,10,13.2,16.1,18.1,19.5,25,30.2,32.9,34.9,36.9,41.2,48.6,52.9,54.1,58.6,61.4,64.6,67.9,70.4,74.8,80.6,90.4,101.8,113.2,119.9,126.4,129.1,128.6,126.8,129.8,135.4,141,149.9,160.8,170.8,175.7,186.1,188.6,197.4,227
"47","40","  Unemployment","G160381",2.8,3,4.4,3.2,3,2.7,2.3,1.9,2.2,2.2,2.3,4.1,5.9,5.8,4.5,6.9,17.7,16.3,13,10.1,10.2,18.4,16.9,25.6,26.5,16.1,16.2,16.8,14.9,13.5,14.7,18.5,27.3,39.5,34.7,24.2,22.1,22.7,20.5,20.2,21,21,32.8,54.2,53.6,38.2,32,31.1,33.6,52.1
"48","41","  Other","G160391",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.7,0.8,2.5,1.9,2.1,2,2.1,3,3.2,3,3.1,3.1,3.1,3.5,3.5,4.9,6.7,7.7,8.1,12.2,13.1,18.9,20.7,23.1,24.2,25,32.4,35.4,30.6,37.8,44,57,64.1,69.7,66.1,86.6
"49","42","      Federal","W013RC1",83.7,86.8,92.9,101.2,106.5,110.9,117.7,135.7,156.2,173.7,184.1,201.6,220.6,245.2,262.6,294.5,348.3,376.7,410.1,452.9,500.9,589.5,676.7,752.6,819.5,881.5,953,1010.7,1045.9,1096.9,1172,1259.2,1320.3,1450.5,1504.3,1542.5,1614,1674.7,1716.3,1744.3,1796.2,1871.9,1979.8,2112.1,2261.5,2393.4,2573.1,2728.3,2897.2,3117.6
"50","43","General public service","G160411",10,12.1,12,13,13.8,14.7,15.4,16.6,17.5,19.4,21.2,24.3,25.9,29.6,38.6,43.3,47,54,58.6,66.7,77.4,93.8,115.4,135.9,149.8,176.9,201,212.5,212.4,228.4,249,269.8,246.4,293.3,294.2,301.3,326.8,337.9,340.5,339.5,326.5,328.7,304.1,281.9,283,290.9,337.2,358.6,399.8,384
"51","44","  Executive and legislative","G160421",3.6,3.8,4.1,4.3,4.5,4.7,4.8,4.9,4.8,3.5,4,4.8,5.9,6.4,6.2,7.9,9.2,10.4,9.9,10.2,11.2,13.3,12.8,15.1,14.8,17.1,20.8,24,20.8,21.1,21.1,23.1,-14.7,30.7,31.8,31,27.3,32,30.6,31.7,33.4,36.6,33.1,41.2,59,58.1,69.8,66.4,74.8,81.7
"52","45","  Tax collection and financial management","G160431",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.3,1.7,2,2.3,2.5,2.8,2.8,2.9,3.3,3.6,3.6,3.9,4.2,4.4,5.3,5.2,6,6.3,6.9,8,8.5,9.3,10.1,11.2,9.1,8.9,9.2,8.6,9.9,9,10.4,8.8,12.4,11.6,11.2,11.8,12,13,12.7,10.3
"53","46","  Interest payments \2\","G160441",6.3,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,212.9,221,255.4,279.2,312.2,292
"54","47","  Other \6\","G160451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.1,7,6.6,6.1,6.9,8.3,7.6,6.9,6.8,4.5,4.6,5.1,4.4,4.8,4,0.1,0,0,-0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","48","National defense","G160461",42.3,42.9,44.4,48.4,50.2,50.4,52.5,62.1,72.3,80,81.1,79.6,81,84.3,82.6,87.6,93.5,96.6,105,113.7,125.1,145.4,169.1,192.9,210.1,234.5,255.4,269.8,285.5,295.4,301.6,310.6,323,319.1,311.6,304.1,300,306.4,307.7,303.7,316.5,325.2,345.1,384,438.9,484.9,518.8,547.7,578.7,638.1
"56","49","Public order and safety","G160471",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.9,1.1,1.5,1.8,2.1,2.5,2.7,2.9,2.9,3.2,3.6,3.6,3.7,4.1,4.5,4.9,5.4,6.2,7.3,8.1,8.8,10.2,11.8,14,14.9,16.2,17.6,19.1,20.7,23.1,26.7,29.5,30.5,32.3,36.8,40.2,40,45.1,53.3
"57","50","  Police","G160481",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.1,1.4,1.4,1.5,1.6,1.6,1.8,1.8,1.8,2.2,2.4,2.7,2.8,3.3,4,4.2,4.6,5.2,6,8.4,8.4,8.1,9.6,11.9,13.5,14.5,16.9,18.1,19.8,22.5,26.9,29.6,29.7,34.1,42.3
"58","51","  Fire","G160491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.8,0.3,0.2,0.8,0.6,0.8
"59","52","  Law courts","G160501",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.9,1,1.2,1.3,1.3,1.4,1.6,1.7,1.9,2.2,2.3,2.7,3.1,3.8,4.2,4.3,4,5.1,5.1,5.4,5.7,6.4,6.6,7.3,6.1,4.2,4.2,4.7,4.1,4.5,3.9
"60","53","  Prisons","G160511",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.9,1.1,1.1,1.2,1.5,1.2,2.5,2.9,2.9,1.6,1.4,2.2,3.1,4,4.2,4.8,5.4,5.6,5.3,6,6.3
"61","54","Economic affairs","G160521",7.3,5.9,6.5,8.7,9.4,11.3,12.5,13.5,14.2,16.1,17.5,17.6,19,22.5,21.1,19.6,25.9,28.2,34.1,44.2,42.6,46.5,50.7,48.6,58,53.9,57.9,65.4,67.5,60.1,64.1,68.3,69.2,75.1,80.5,78.5,77.6,76.8,80.6,84.1,96.3,104.5,111.5,107.9,118.7,117,129.7,131.6,126.6,136.6
"62","55","  Transportation","G160571",1.2,1.3,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.1,2.3,2.7,3,3.4,3.6,4.2,5.2,5.7,6.7,7.1,8,9.1,9.2,9.5,10.2,10.8,11,10.4,10.7,11.7,11.9,12.6,13.7,14.8,15.3,16.7,15.6,15.9,17.4,17.6,17.5,18.3,25.1,25.3,31.8,29.2,30.7,34,32,35.8
"63","56","    Highways","G160581",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,1.5,1.1,1,0.7,0.7,0.7,0.6,0.7,0.9,0.9,0.9,1.3,1.4,1.5,1.7
"64","57","    Air","G160591",0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.3,1.4,1.5,1.6,1.7,1.9,2,2.2,2.3,2.4,2.6,2.8,2.7,3.5,3.7,4.1,4.1,4.1,4.6,5,5.3,5.6,6.3,6.3,6.2,6,6.4,8.4,8.7,8.8,9,15.2,14.6,19.7,16.2,16.6,18.8,17.7,19
"65","58","    Water","G160601",0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.6,3,3.4,3.7,4,4.4,4.7,4.7,4.5,4.7,5,5.1,5.6,6.2,6.2,6.4,6.5,6.3,6.4,6.4,6.8,7,7.6,8,8,9,9.7,10.1,11.2,10.3,12.5
"66","59","    Transit and railroad","G160611",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.3,0.3,0.3,1.1,1.3,1.8,1.9,2.3,2.8,2.4,2.5,2.1,2.1,1.9,1.5,1.6,1.7,1.5,1.4,1.4,1.8,1.9,2.5,2.2,2,1.9,1.3,1,1.1,1.2,2,2.1,2.3,2.6,2.6,2.4,2.6
"67","60","  Space","G160631",0.2,0.4,0.6,1.2,2.4,3.3,4.2,4.6,3.9,3.9,3.5,3.6,3.6,3.5,3.2,3.7,4.1,4,4.1,4.3,4.6,5.4,5.9,6,6.5,6.7,7,6.8,7.5,8.6,10.2,11.8,12.3,12.5,13.1,12.8,12.8,13.4,14.1,13.5,13,13.4,14.2,13.9,14.8,15.5,15.4,16.3,16.7,18.3
"68","61","  Other economic affairs","W692RC1",5.9,4.2,4.5,5.9,5.4,6.2,6.6,7,8.3,10,11.7,11.4,12.4,15.6,14.2,11.7,16.6,18.6,23.3,32.8,30,32,35.6,33.1,41.2,36.4,39.9,48.2,49.3,39.8,41.9,44,43.2,47.7,52.1,49.1,49.1,47.5,49.1,53,65.8,72.8,72.2,68.7,72.1,72.3,83.6,81.4,77.8,82.4
