"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"40","33","      Commercial","W194RX1",0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4
"41","34","      Health care","W195RX1",4.6,4.4,3.9,3.8,4,4.9,4.8,4.8,5,4.2,4.7,4.6
"42","35","      Educational","W148RX1",47.3,47.1,53.2,56.8,61.4,63.5,64.6,64.6,63.5,67.3,69.3,70.8
"43","36","      Public safety","W196RX1",5.6,5.7,5.9,5.8,5.6,5.1,4.5,4.4,4,3.5,4.2,4.3
"44","37","      Amusement and recreation","W197RX1",6.6,6.4,6.6,7.8,8.3,8.3,7.2,7,7,5.7,6.6,6.6
"45","38","      Transportation","W198RX1",14.7,13.9,15.2,19.2,20.4,21.1,21.4,20.2,17.6,13.2,13.3,12.9
"46","39","      Power","W199RX1",4,3.1,4.1,4.7,4.7,4.8,7.3,6,6.3,7.4,9.9,8.5
"47","40","      Highways and streets","W149RX1",61.5,62.7,66.6,68.3,73.5,70.6,68.8,68.4,65.2,66,60.6,59.6
"48","41","      Sewer systems","W150RX1",12.8,11.6,11.7,10.9,12.2,13.4,14.1,14.5,14.6,19.4,19.3,18.6
"49","42","      Water systems","W168RX1",10.2,10.4,11,10.5,11.6,12.8,12.9,12.7,12.6,15.9,15.9,15
"50","43","      Conservation and development","W169RX1",2.4,2.4,2.7,3.4,3,2.6,2.5,2.7,2.6,2.4,2.5,2.2
"51","44","      Other \5\","W200RX1",0.4,0.5,0.2,0.4,0.2,0.8,1.2,0.5,0.3,0.5,1.2,0.5
"52","45","    Net purchases of used structures","B870RX1",4.3,5.1,5.4,5.2,1.7,6.4,6.9,6.4,4.9,5,5.9,5.9
"53","46","Equipment and software \2\","A871RX1",88.5,96.7,106.3,109.8,113.5,121.4,127.2,136.6,145.5,157.3,162.3,178.7
"54","47","  Federal","A872RX1",55.4,58.9,64.3,65.2,68,75.5,80,87.9,94.7,102.2,104.9,120.5
"55","48","    National defense","A873RX1",38.9,40.1,42.4,43.6,46.3,52.7,57,63.3,66.8,71.9,75,87.2
"56","49","      Aircraft","B874RX1",5.3,5.4,5.6,6.5,7.6,8.8,8.7,10.8,13.5,13.7,12.9,13.6
"57","50","      Missiles","B875RX1",2.9,3.3,3,2.8,3.5,3.5,3.6,4.1,4,4.5,4.2,4
"58","51","      Ships","B876RX1",7.3,7.7,8.2,7.8,8.5,10.2,11.1,10.6,9.8,9.7,9,9
"59","52","      Vehicles","B877RX1",1.3,1.5,1.7,1.8,2,2.7,3.2,2.8,3.9,5,6,8.9
"60","53","      Electronics and software","B878RX1",7.5,7.9,8.7,9,8.9,9.4,10.2,11.3,12.6,14.4,16.8,21.3
"61","54","      Other equipment","B879RX1",14.9,14.6,15.6,15.7,15.7,18.3,20.5,23.7,22.9,24.7,26.2,31
"62","55","    Nondefense","B880RX1",16.6,18.7,21.7,21.5,21.6,22.7,23,24.6,28,30.3,29.9,33.2
"63","56","  State and local","B881RX1",33.1,37.7,41.8,44.3,45.3,45.8,47.2,48.6,50.8,55.2,57.4,58
"64","57","Residual","A967RX1",-5.6,-3,-2.1,-1.6,-1.9,-2.3,-1.5,-0.5,-0.1,-0.5,-1.2,-2.9
"65",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","58","  Government enterprise gross fixed investment","A882RX1",62.9,64.5,70.4,70.1,75.1,81.3,88.3,83.2,80.3,82.3,84.7,81.3
"67","59","    Federal","A883RX1",6.1,7.9,8.6,6,5.7,5.9,6.9,5.9,7.4,7.2,6.8,7.6
"68","60","      Structures","B884RX1",3.4,4.1,4.5,1.9,2.7,2.4,2.9,1.6,2.4,2.3,2,3.2
"69","61","      Equipment and software","B885RX1",3,4.1,4.5,4,3.2,3.5,4.1,4.2,5.1,5,4.8,4.3
"70","62","    State and local","A886RX1",56.6,56,61.1,64,69.4,75.5,81.3,77.4,72.9,75,77.9,73.8
"71","63","      Structures","B887RX1",52.2,49.9,53.9,57.2,62,66.1,70.1,66.3,62.2,64.3,67.7,63.8
"72","64","      Equipment and software","B888RX1",5.2,6.3,7.3,7.1,7.7,9.6,11.3,11.1,10.6,10.7,10,9.9
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","difference between the first line and the sum of the most detailed lines, excluding the lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
