"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","4","Domestic corporate business","A2201C1",-0.3,-0.1,0.2,0.3,0.3,0.1,0,0,-0.3,-0.4,-0.3,-0.4,-0.4,-0.2,0.2,0.8,0.8,-1.8,-2.4,-2.6,-2.4,-2.3,-2.4,-1.9,-1,-0.2,1.4,0.8,0.8,0.8,2.2,2.3,3,6.2,6.8,7.9,8.6,8.6,9.3,10,9.9,9.2,9.7,10.9,10.2,6.2,-0.2,-2.3,-2.3,-5.8,-8.5,-10.2,7,18.6,37.8,54,72.9,66.5,67.5,68.7,59.2,41.2,23.3,21.1,28.8,35.7,40.7,50.1,56.2,63.1,74.5,58.6,48.1,120.1,98.7,69.7,-134.8,-165.7,-192.7
"12","5","    For consistent accounting at historical cost","A1402C1",0.2,0.1,0.2,0,0,0,0.1,0.1,0,0,0,0,0.3,1,1.4,2.1,2.2,-0.1,0.3,0.5,0.7,0.8,1.5,1.9,2.7,3.4,4.9,5.4,6,5.8,6.7,7.3,7.7,10.4,11.1,11.8,12.7,13.3,14.3,15.5,17.1,16.7,18.9,21.1,21.8,24.1,26.4,27.1,32.2,34.5,38.2,45.1,71.8,90,100.8,109.4,125.7,111.6,111.9,118.5,113.7,104.7,94.8,87,94.8,104.9,103.9,106.5,107.4,111.9,117.4,103.9,103,173.3,157.6,144.7,-28.2,-38.9,-54.6
"13","6","    For current-cost valuation","A1403C1",-0.5,-0.2,0,0.3,0.3,0.1,0,-0.1,-0.4,-0.4,-0.3,-0.4,-0.7,-1.2,-1.3,-1.4,-1.4,-1.7,-2.6,-3.1,-3.1,-3,-3.9,-3.9,-3.6,-3.6,-3.6,-4.6,-5.2,-5,-4.5,-5,-4.6,-4.2,-4.3,-3.9,-4.1,-4.7,-5,-5.5,-7.2,-7.5,-9.2,-10.2,-11.6,-17.9,-26.6,-29.4,-34.5,-40.3,-46.8,-55.4,-64.8,-71.3,-63,-55.4,-52.9,-45.1,-44.5,-49.7,-54.5,-63.5,-71.5,-66,-66,-69.3,-63.2,-56.4,-51.2,-48.8,-42.9,-45.3,-54.9,-53.2,-58.9,-75.1,-106.6,-126.8,-138.1
"14","7","  Financial","B393RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.7,0.6,0.4,0.1,0,0.1,-0.5,-1.5,-0.4,-0.8,0.7,-0.3,0.1,1.1,1.3,0.8,-1.4,-7,-10.9,-12.8,-11,-12.6,-10.8,-11.5,-8.8,-5.6,-4.2,-8,12.9,24.8,18.3,7.3,-18.2,-16.7,-20.2
"15","8","    For consistent accounting at historical cost","B1404C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,-0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.2,0.3,0.3,0.7,0.7,0.7,0.4,0.6,0.6,0.1,-0.6,0.7,0.5,1.4,-0.8,-0.7,-0.9,-0.2,-0.6,-2.1,-5.1,-7.3,-9.5,-7.8,-9.6,-9.7,-13.3,-12.7,-9.8,-9.8,-12.5,13.5,24.1,19.2,11.4,-11.3,-7.7,-9.3
"16","9","    For current-cost valuation","B1405C1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,0.1,0.1,0.1,0,-0.1,-0.4,-0.3,-0.6,-0.6,-0.6,-1,-1.1,-1.4,-0.7,0.5,0.7,2,1.5,1.4,0.7,-1.9,-3.6,-3.2,-3.2,-3,-1,1.7,3.8,4.3,5.5,4.5,-0.7,0.7,-0.9,-4.1,-6.9,-9,-10.9
"17","10","  Nonfinancial","A2203C1",-0.3,-0.1,0.2,0.3,0.3,0.1,0.1,0,-0.3,-0.4,-0.3,-0.4,-0.3,-0.1,0.2,0.9,0.9,-1.7,-2.2,-2.4,-2.3,-2.1,-2.2,-1.8,-0.8,0,1.5,0.9,0.9,0.9,2.3,2.3,3,6.1,6.8,7.7,8.4,8.5,9.1,9.7,9.6,8.9,9.3,10.5,9.5,5.6,-0.5,-2.4,-2.2,-5.9,-8.1,-8.7,7.4,19.5,37.1,54.3,72.8,65.3,66.2,68,60.6,48.2,34.2,33.8,39.9,48.3,51.5,61.6,65,68.7,78.7,66.6,35.2,95.3,80.3,62.4,-116.7,-149,-172.5
"18","11","    For consistent accounting at historical cost","B1406C1",0.2,0.2,0.2,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.3,1.1,1.5,2.2,2.2,-0.1,0.3,0.6,0.7,0.9,1.5,2,2.8,3.5,5,5.4,6,5.8,6.8,7.2,7.5,10.2,10.9,11.5,12.4,13.2,14.1,15.2,16.7,16.5,18.6,20.8,21.2,23.4,25.7,26.7,31.6,33.9,38.1,45.7,71.1,89.4,99.4,110.2,126.4,112.5,112.2,119,115.8,109.8,102.1,96.6,102.7,114.6,113.6,119.7,120.1,121.8,127.1,116.4,89.5,149.2,138.4,133.3,-16.9,-31.2,-45.3
"19","12","    For current-cost valuation","B1407C1",-0.5,-0.2,0,0.3,0.3,0.1,0,-0.1,-0.4,-0.4,-0.3,-0.4,-0.7,-1.2,-1.2,-1.3,-1.3,-1.7,-2.5,-3,-3,-3,-3.8,-3.8,-3.6,-3.5,-3.5,-4.5,-5.1,-4.9,-4.5,-4.9,-4.5,-4.1,-4.2,-3.9,-4,-4.6,-4.9,-5.5,-7.1,-7.6,-9.3,-10.3,-11.6,-17.8,-26.2,-29.1,-33.9,-39.8,-46.2,-54.4,-63.7,-70,-62.4,-55.9,-53.6,-47.1,-46,-51.1,-55.2,-61.7,-67.9,-62.7,-62.8,-66.3,-62.2,-58.1,-55.1,-53.1,-48.4,-49.8,-54.2,-53.9,-58,-71,-99.7,-117.7,-127.2
"20","13","Domestic noncorporate business","W282RC1",-0.9,-0.8,-0.7,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.7,-0.8,-0.7,-0.7,-0.7,-0.8,-1,-1.2,-1,-0.9,-1.2,-1.2,-0.9,-0.9,-0.9,-0.9,-1,-1.2,-0.9,-0.9,-1,-0.8,-0.8,-0.7,-1,-1.4,-1.5,-1.8,-2.2,-2.5,-2.8,-2.8,-3.1,-4.5,-5.8,-6.1,-6.8,-7.9,-8.4,-9.5,-6.6,-6.5,2.6,11.5,19.6,25,21.9,23.4,23.3,13.5,9.4,13.4,15.8,11.5,10.9,16,25.2,28.3,39.3,49.2,76.8,95.6,108.4,108.4,60.4,86.3,101.2
"21","14","  Sole proprietorships and partnerships","A2204C1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.6,-0.4,-0.5,-0.4,-0.5,-0.5,-0.6,-0.4,-0.4,-0.6,-0.5,-0.3,-0.3,-0.3,-0.2,-0.3,-0.6,-0.2,-0.3,-0.5,-0.3,-0.3,-0.2,-0.5,-0.8,-0.8,-1,-1.2,-1.4,-1.5,-1.5,-1.5,-2.5,-3.3,-3.3,-3.6,-4.1,-3.8,-4.2,-0.6,-0.1,9.1,18.1,26.2,32,29.2,30.9,31.1,21.6,17.5,21.4,24.3,20.2,20,25.3,34.7,38.2,49.6,60.2,88.5,107.6,121.1,124.6,85,103.4,118.8
"22","15","    Farm \1\","B044RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9,-1.1,-1.2,-1.4,-1.5,-2.1,-2.9,-3.2,-3.7,-4.2,-5,-6.1,-7.1,-7.7,-7.6,-7.4,-6.9,-6.8,-6.6,-6.5,-6.5,-6.5,-6.5,-6.4,-6.3,-6.3,-6.2,-6.1,-5.9,-5.8,-5.8,-5.8,-5.9,-5.2,-5.3,-5.8,-6.6,-7.2,-7.5
"23","16","    Nonfarm","A2205C1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.3,0,0.3,0.3,0.1,0.3,0.2,0.4,0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,-0.1,0,-0.4,-0.4,-0.1,0,0.1,1.1,2,6.5,7.6,16.7,25.4,33.2,38.8,35.8,37.4,37.6,28.1,24,27.8,30.6,26.5,26.2,31.4,40.7,44,55.4,66,94.4,112.8,126.4,130.5,91.6,110.6,126.3
"24","17","      For consistent accounting at historical cost","B1409C1",-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.1,0.1,0.1,0.2,0.3,0.6,0.7,0.9,0.9,1,1.1,1.2,1.1,1,1.4,1.5,1.1,1.3,1.3,1.1,1.2,1.2,1.2,1,0.9,1,1,1.3,1.3,2,2,2.5,3.4,4.7,5.4,6.5,8,10.2,12.4,18.9,21.5,29.4,37.3,45.1,50.3,46.8,49.2,50.7,42.4,38.9,41.8,45,41.5,41.4,46.6,55.9,59.5,71.4,83,146.8,165.1,180.9,191.4,164.9,181.3,201
"25","18","      For current-cost valuation","B1410C1",-0.1,0,0,0.1,0.2,0.1,0.1,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.4,-0.4,-0.4,-0.4,-0.5,-0.8,-0.9,-0.9,-0.8,-1,-1,-0.9,-0.9,-0.9,-1.1,-1.2,-1.1,-1,-1.1,-1,-0.9,-0.9,-0.8,-0.9,-1,-1.1,-1.2,-1.6,-1.7,-2.4,-2.1,-2.5,-3.8,-5.1,-5.5,-6.5,-7.9,-9.1,-10.5,-12.3,-13.9,-12.7,-11.9,-12,-11.5,-11,-11.9,-13,-14.3,-15,-14,-14.5,-15.1,-15.1,-15.2,-15.2,-15.6,-15.9,-17,-52.4,-52.4,-54.6,-60.9,-73.4,-70.6,-74.7
"26","19","  Other private business \1\","A2206C1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8,-1,-1.1,-1.3,-1.4,-1.6,-2,-2.5,-2.7,-3.2,-3.8,-4.5,-5.4,-6,-6.4,-6.5,-6.6,-6.6,-7,-7.2,-7.5,-7.8,-8,-8.1,-8,-8.4,-8.7,-9.1,-9.3,-9.6,-9.9,-10.4,-11,-11.7,-12,-12.7,-16.2,-24.6,-17.2,-17.6
"27","20","    Rental income of persons","B050RC1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9,-1,-1.2,-1.3,-1.6,-1.9,-2.3,-2.5,-2.9,-3.5,-4.2,-4.9,-5.5,-5.8,-5.9,-6,-6.2,-6.5,-6.7,-7,-7.2,-7.4,-7.5,-7.5,-7.9,-8.2,-8.5,-8.8,-9.1,-9.4,-9.9,-10.5,-11.1,-11.4,-12.1,-15.7,-23.9,-16.4,-16.8
"28","21","      Nonfarm tenant-occupied housing","B2611C1",-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.9,-0.9,-1.1,-1.2,-1.4,-1.8,-2.1,-2.3,-2.7,-3.3,-3.9,-4.6,-5.1,-5.5,-5.6,-5.7,-5.8,-6,-6.3,-6.6,-6.8,-7,-7,-7,-7.4,-7.7,-8,-8.2,-8.5,-8.8,-9.3,-9.9,-10.5,-10.8,-11.4,-14.9,-23,-15.4,-15.7
"29","22","      Farm tenant-occupied housing","W283RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
"30","23","      Farms owned by nonoperator landlords","B2614C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
"31","24","      Nonfarm nonresidential properties","B2615C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6
"32","25","    Proprietors' income","B1411C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
