"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"30","23","    Food purchased for off-premise consumption (3)","BOPFRG3",12.825,12.045,9.792,8.059,8.145,9.133,9.679,9.659,9.953,9.27,9.215,9.253,10.131,12.061,13.821,14.2,14.601,16.158,18.602,19.545,18.873,19.027,20.963,21.503,21.103,21.156,20.782,20.949,21.58,22.467,22.259,22.475,22.59,22.762,23.021,23.513,23.963,24.973,25.035,25.81,26.966,28.482,29.143,30.498,34.266,39.49,42.449,43.295,45.852,50.123,54.952,59.627,63.88,65.61,66.36,68.292,69.032,70.612,72.753,74.912,78.839,82.693,85.283,85.898,87.059,88.535,90.43,93.167,95.021,96.314,97.833,100,102.859,104.375,106.229,109.509,111.358,113.323,117.656
"31","24","    Purchased meals and beverages (4)","BPMBRG3",8.368,7.814,6.706,5.627,5.475,5.943,6.418,6.414,6.637,6.308,6.168,6.25,6.758,7.82,8.775,9.15,9.427,10.856,12.174,12.674,12.284,12.425,13.23,13.528,13.476,13.74,13.819,14.048,14.525,14.869,15.419,15.846,16.17,16.588,16.967,17.234,17.572,18.27,19.305,20.313,21.517,23.105,24.358,25.283,27.059,30.288,33.056,35.211,37.729,40.907,45.216,49.443,53.762,56.585,58.989,61.474,63.939,66.561,69.102,71.948,75.196,78.649,81.701,83.363,84.884,86.26,88.156,90.326,92.832,95.132,97.496,100,103.135,105.947,108.21,111.493,114.976,118.604,122.956
"32","25","    Food furnished to employees (including military) and food produced and consumed on farms (5+6)","B483RG3",12.525,11.412,8.797,6.887,6.616,7.584,9.471,9.808,10.14,8.707,8.268,8.428,10.364,12.785,14.707,14.959,15.685,16.764,19.734,20.69,18.559,18.307,20.837,20.71,19.69,18.219,17.098,16.465,16.914,17.889,17.609,17.614,17.83,18.234,18.269,18.226,19.146,20.382,20.872,21.979,23.531,24.897,25.929,27.926,32.037,33.583,36.039,38.116,40.317,45.397,51.224,54.846,58.797,61.655,63.428,66.013,67.637,69.981,73.083,75.764,79.221,83.055,85.203,86.376,87.879,88.639,90.399,92.452,95.124,96.254,98.265,100,100.978,103.144,107.531,111.064,114.072,117.628,121.781
"33","26","    Addenda: Food excluding alcoholic beverages(8)","BFXARG3",10.322,9.658,7.882,6.479,6.475,7.376,8.09,8.124,8.415,7.682,7.551,7.575,8.411,10.076,11.567,11.678,12.07,13.643,15.997,16.966,16.249,16.461,18.208,18.48,18.158,18.14,17.847,17.986,18.567,19.363,19.279,19.51,19.68,19.917,20.19,20.618,21.069,22.046,22.322,23.146,24.337,25.865,26.638,27.934,31.393,36.202,39.111,40.405,43.147,47.266,52.112,56.723,61.068,63.122,64.288,66.47,67.699,69.547,71.932,74.347,78.172,81.948,83.948,84.752,86.089,87.62,89.629,92.155,94.279,96.01,97.796,100,102.969,104.906,106.921,110.229,112.756,115.37,119.795
"34","27","             Alcoholic beverages purchased for off-premise consumption (9)","BAOPRG3",NA,NA,NA,NA,18.139,17.193,16.815,16.608,16.775,16.943,17.11,17.529,18.615,21.21,23.552,26.523,27.066,28.069,28.866,28.448,28.071,27.401,28.404,30.58,30.077,30.746,30.578,30.873,31.543,31.71,32.002,32.507,32.617,32.77,33.089,33.282,33.48,33.861,34.351,35.13,35.9,37.113,38.179,38.817,39.462,41.911,44.793,45.753,46.466,48.969,52.819,57.236,61.044,63.568,65.961,67.22,68.729,70.672,71.939,73.645,75.9,79.062,88.292,90.73,90.814,90.696,90.933,93.171,94.587,95.068,97.08,100,102.138,104.178,105.945,108.677,109.898,111.318,114.269
"35","28","             Other alcoholic beverages (10)","BAPMRG3",NA,NA,NA,NA,8.56,8.083,7.933,7.807,7.906,7.958,8.058,8.258,8.761,9.992,11.096,12.477,12.727,13.204,13.58,13.38,13.205,12.903,13.38,14.384,14.158,14.459,14.383,14.534,14.836,14.911,15.884,16.392,16.666,17.052,17.409,17.62,17.794,18.073,19.449,20.501,21.509,23.026,24.58,25.278,26.099,28.141,30.357,31.954,33.473,36.043,38.95,41.699,45.239,47.671,49.877,52.437,55.31,58.848,61.152,64.589,67.794,71.122,77.047,79.58,81.847,83.666,85.92,88.709,91.704,94.315,97.058,100,103.912,107.443,110.423,114.245,118.088,122.975,128.444
"36","29","  Clothing and shoes","B169RG3",25.745,24.583,21.482,17.632,17.988,20.86,20.493,20.514,21.594,21.064,20.571,20.803,22.847,27.369,30.569,34.56,37.579,40.636,43.824,46.505,44.507,44.144,47.963,47.142,47.031,47.108,46.966,47.838,48.533,48.731,49.136,49.79,50.111,50.266,50.763,51.13,51.671,53.113,55.377,58.504,61.898,64.447,66.521,67.976,70.426,75.415,78.284,80.872,84.199,85.867,87.554,90.707,93.33,94.486,95.542,95.923,97.837,97.114,100.218,103.529,105.003,108.469,110.545,111.357,110.837,108.967,106.306,104.831,104.926,102.957,101.288,100,98.011,95.365,93.021,92.663,91.724,91.332,90.595
"37","30","    Shoes (12)","BSHURG3",18.269,17.239,14.834,12.429,11.971,13.002,12.714,12.829,13.46,13.345,13.172,13.345,14.148,16.61,18.386,19.875,20.964,23.082,26.861,29.039,28.637,29.038,32.645,32.018,31.787,32.588,32.992,34.651,35.682,36.198,37.721,39.015,39.406,39.975,40.379,40.585,41.289,43.72,45.876,48.334,51.33,53.975,55.769,57.328,59.714,63.301,66.152,68.766,72.004,74.672,80.105,85.814,89.827,91.584,91.674,92.297,92.955,92.067,94.451,98.265,101.635,103.734,106.022,108.481,108.774,107.745,106.244,105.442,105.283,104.262,101.564,100,99.37,98.021,96.569,96.316,99.051,99.791,98.852
"38","31","    Women's and children's clothing and accessories except shoes (14)","BWCLRG3",29.416,28.095,24.631,20.055,21.317,25.391,24.92,24.84,26.1,25.315,24.68,24.691,27.731,33.307,37.966,44.697,49.761,52.316,54.963,58.696,55.366,54.282,58.173,56.845,56.913,56.867,56.545,57.083,57.546,57.692,57.88,58.155,58.31,58.229,58.721,58.978,59.445,60.61,63.307,66.966,70.556,73.267,75.766,77.634,80.299,85.862,88.69,91.332,94.66,96.325,96.95,99.032,100.39,100.483,101.393,101.281,103.54,102.212,106.123,109.351,109.684,114.191,115.826,116.228,115.387,113.042,109.096,106.467,106.25,103.392,101.318,100,98.253,95.471,93.165,92.824,90.965,90.901,90.521
"39","32","    Men's and boys' clothing and accessories except shoes (15+16)","B484RG3",23.574,22.646,19.852,16.3,16.186,18.732,18.479,18.541,19.603,19.108,18.6,19.109,20.657,24.89,27.1,29.285,31.032,34.879,37.869,39.375,38.055,38.023,41.492,41.204,40.956,40.739,40.496,41.249,41.997,42.05,42.007,42.738,43.228,43.449,43.994,44.603,45.134,46.342,48,50.673,53.895,56.073,57.654,58.442,60.56,65.35,68.215,70.663,73.965,75.116,76.41,79.774,83.545,86.027,87.805,88.876,90.846,91.258,93.333,96.542,99.022,101.423,104.138,104.836,104.463,102.973,101.834,101.9,102.618,101.606,101.1,100,96.93,93.86,91.016,90.578,89.422,87.971,86.741
"40","33","  Gasoline, fuel oil, and other energy goods","A173RG3",10.331,9.993,8.884,8.669,8.484,8.947,8.871,9.108,9.29,9.124,8.811,8.822,9.229,9.775,10.12,10.335,10.32,10.728,12.056,13.726,13.928,14.084,14.476,14.738,15.301,15.549,15.715,16.205,16.951,16.762,16.999,17.328,17.301,17.4,17.442,17.319,17.915,18.335,18.935,19.276,19.874,20.166,20.51,20.759,22.921,31.864,34.165,35.774,38.314,40.034,53.647,74.493,83.977,80.169,77.257,76.468,76.67,60.412,62.459,62.946,68.417,78.301,77.107,76.56,75.833,76.029,77.056,82.168,82.233,71.873,77.74,100,96.727,90.542,105.573,124.127,151.927,171.084,185.237
"41","34","    Gasoline and oil (75)","B170RG3",12.558,11.992,10.14,10.547,10.457,10.976,10.999,11.36,11.631,11.315,10.796,10.615,11.089,11.608,11.721,11.745,11.654,11.947,13.393,15.019,15.335,15.358,15.674,15.99,16.668,17.029,17.21,17.729,18.497,18.316,18.576,19.112,18.924,19.043,18.997,18.873,19.587,20.038,20.7,21.005,21.696,21.89,22.05,22.336,24.473,33.059,35.278,36.777,38.907,40.597,54.406,75.509,84.018,79.768,77.16,76.005,76.619,60.175,62.488,63.017,68.837,78.385,77.338,77.04,76.257,76.614,77.826,82.596,82.579,71.874,78.207,100,96.289,90.433,105.213,123.99,151.314,170.343,184.642
