"","Table 5#2# Gross and Net Investment by Major Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","      Equals: Net structures","12","A594RC",2.9,1.9,0.3,-0.6,-1,-0.9,-0.7,-0.3,0.2,-0.3,-0.2,0.1,0.6,-0.8,-1.5,-0.9,-0.1,3.5,3.4,4.1,3.7,4.3,5.5,5.4,6.4,6.6,7.6,9.7,9.8,8.3,8.5,9.7,9.6,10.3,10.5,12.6,16.5,18.7,18,18.8,21.5,22.5,22.9,24.7,30.6,32.8,28.4,30.4,34.7,46.4,62,74,93.6,93.9,71.3,92.4,104.7,83.9,78.7,80.4,84.5,89.4,66.9,53.4,56.4,54.5,69.4,84.6,106.3,124.3,120.4,143.4,126.3
"20","      Equipment and software","13","B010RC",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187.2,216.7,227,253.8,250.3,264.7,314.3,334.3,346.8,354.7,386.8,420,427.8,425.4,453.9,502.8,561.1,620.5,674.4,743.6,818.9,889.8,951.6,877.1
"21","      Less: Consumption of fixed capital","14","B189RC",4.3,4.2,3.9,3.6,3.2,3.2,3.2,3.2,3.6,3.9,3.8,4,4.5,5.2,4.8,4.9,4.9,6.1,7.4,9.1,10.5,11.7,13.6,14.5,15.4,16.3,17.3,19.4,21.3,22.2,23.1,24.1,24.5,25.4,26.4,27.9,30,32.9,36.4,40.2,44.5,49.1,53.6,57.9,63.9,74.5,89.4,99.7,111.3,127.3,147.3,171.8,196.7,215.7,228.1,243.9,262.8,284.7,305.6,326.3,351.1,371.6,392.1,409.5,428.2,455.3,486.8,516,550.3,586.6,632,687.7,735.3
"22","      Equals: Net equipment and software","15","A747RC",1.2,-0.1,-1.3,-2.1,-1.7,-1.1,-0.4,0.6,1.2,-0.5,0.1,1.2,1.9,-1.1,-1.1,0.1,2.4,3.9,7.9,8.2,5.3,6.1,6.3,5.2,6.1,4.5,6.6,7,7.3,2.6,5.2,5.8,4.5,6.9,8.4,11.3,16.5,21.1,18.5,19.6,22.5,19.6,17.9,23.7,34.4,33.7,23,26.7,42.8,60,69.4,55.2,57.1,34.5,36.6,70.4,71.5,62.1,49.1,60.5,68.9,56.3,33.4,44.4,74.7,105.8,133.7,158.5,193.4,232.2,257.9,263.8,141.8
"23","    Residential","16","A011RC",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.5,179.8,186.9,218.1,227.6,234.2,231.8,216.8,191.5,225.5,251.8,286,285.6,313.3,328.2,364.4,403.7,426,444.8
"24","    Less: Consumption of fixed capital","17","A754RC",1.5,1.5,1.4,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.9,2.1,2.3,2.4,2.7,3.3,3.8,4,4.4,4.9,5.2,5.5,5.8,6.1,6.6,6.9,7.1,7.5,7.8,8.2,8.5,8.8,9.3,10,10.7,11.5,12.5,13.9,14.9,16.4,19,20.9,23.9,26.8,29.3,33.2,38.5,44.7,50.8,56.2,60.6,63.1,66,71.1,74.2,79.3,84.8,94,94.8,99.4,113.9,109,126.3,121.7,125.6,132.7,139.6,152.1,159.5,173.4
"25","    Equals: Net residential","18","A748RC",2.4,0.8,0.4,-0.4,-0.5,-0.3,0.1,0.4,0.6,0.6,1.5,1.9,2.3,0.3,-0.7,-0.9,-0.7,5.2,8.7,11.8,10.6,16.2,13.5,13.3,13.9,15.3,18.9,17,15.3,15.2,20.6,18.4,18.2,20.5,23.3,25,24.3,21.6,20.9,26.2,28.7,26.5,39.3,50.7,54.5,42,36,53.2,77.1,93.1,96.3,72.4,66.4,45.1,89.4,113.8,115.9,144,148.3,149.4,137.8,122,92.1,111.6,142.7,159.7,164,187.7,195.5,224.8,251.6,266.6,271.4
"26","  Change in private inventories","19","A014RC",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,3.9,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.2,15,21.1,62.6,33,30,62.9,73.1,59.5,63.6,-60.3
"27","Gross government investment \1\","20","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"28","Less: Consumption of fixed capital","21","A264RC",0.9,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.3,9,10.2,11,10.7,9.7,8.8,8,8.7,9.6,10.5,11.2,11.8,12.9,13.7,14,14.6,15.2,15.7,16.7,17.6,18.3,19.1,20.2,21.7,23.4,25.2,27.3,29.2,31.5,33.8,37.9,41.8,44.4,47.2,50.8,55.5,62.7,71,79,83.3,88.8,94,100.8,107.8,115,123.2,131.8,140,145.3,152.6,160.3,168.1,174.3,180.9,187.6,197.9,210.9,222.4
"29","Equals: Net government investment","22","A889RC",1.9,2.2,2.1,1.3,1,1.6,1.7,2.9,2.5,2.8,3.1,2.9,8.8,25,32.8,27.7,13.9,-7.5,-6.1,-2.7,0.9,1.8,8.9,12.7,13.5,11.3,9.2,10,10.7,12.5,14.7,13.1,15.6,16.6,16,16.4,16.5,20.1,22.1,21.2,19.2,17.5,14.8,14.8,15.6,19.5,22.7,22,20.3,26.3,33,37.6,35.9,33.3,39.5,50.5,64.8,72.4,76.5,71.1,74.5,84,80.3,77.8,68.3,65.2,70,75.9,83.7,89.5,106.8,108.8,113.4
"30","          Federal","23","A890RC",0,0.1,0.1,0.2,0.4,0.7,0.9,0.9,0.9,0.8,0.7,1.2,7.7,24.9,33.4,28.4,14.5,-7.5,-7.1,-4.6,-2.3,-1.9,4.5,8.1,8.4,5,2.2,2.3,2,3,5,3.6,5.3,5.8,3.8,3.1,1.9,3.9,4.3,1.9,0.2,-0.7,-3.5,-3,-3.3,-2.4,-0.6,-0.6,0.1,1.3,3.6,5.3,7.2,8,14,17.9,25.1,27.5,29.5,19.7,18.5,19.8,15.2,13.4,6,-0.1,-1.7,1,-5.4,-2.1,1.9,0,0.9
"31","            National defense","24","B891RC",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,0.2,0.1,0.1,0.6,6.7,24.3,32.9,28.3,14.2,-7.4,-7.3,-5.1,-3.1,-2.9,3.7,7.2,7.7,4.5,2,1.9,1.4,2.1,4.1,2.4,3.7,3.8,1.4,0.1,-1.4,0.6,2,0.1,-1.1,-2,-4.9,-4.6,-5,-4.5,-3.1,-3.5,-3.2,-3.4,-0.9,-0.1,1.8,3.7,8.5,12.1,18.9,21.4,22.3,14.3,12.6,12.8,7.1,3.7,-4.4,-7.8,-9.9,-8.4,-14.4,-12.9,-10.2,-10.1,-8.1
"32","            Nondefense","25","B892RC",0.1,0.2,0.2,0.3,0.5,0.7,1,0.8,0.7,0.7,0.6,0.6,1,0.6,0.5,0.1,0.2,-0.1,0.2,0.4,0.8,1,0.9,0.9,0.7,0.5,0.2,0.4,0.6,0.9,0.9,1.2,1.6,2,2.4,3,3.3,3.3,2.3,1.8,1.4,1.3,1.5,1.7,1.8,2,2.4,2.9,3.3,4.7,4.5,5.4,5.4,4.3,5.5,5.9,6.3,6.1,7.2,5.3,5.9,7.1,8.1,9.7,10.4,7.7,8.2,9.4,8.9,10.8,12.1,10,9
"33","          State and local","26","A893RC",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.3,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.7,8.7,9.5,9.7,9.5,10.4,10.9,12.1,13.2,14.6,16.2,17.8,19.3,19,18.2,18.3,17.8,18.9,21.9,23.3,22.6,20.2,25,29.4,32.2,28.7,25.3,25.5,32.6,39.7,44.9,47,51.4,55.9,64.1,65.1,64.4,62.3,65.3,71.7,74.9,89.1,91.5,104.9,108.9,112.5
"34","  Structures","27","A760RC",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,140.3,154.8,159,175.3,183.5,193.4
"35","  Less: Consumption of fixed capital","28","A894RC",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1,1.1,1.3,1.7,2,2,2,2.3,2.7,3,3,2.9,3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.8,6.1,6.5,6.8,7.2,7.9,8.5,9.2,10.2,11.5,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.1,28.2,32.4,36.7,39.6,40.4,41.3,42.8,45,47.7,49.9,52.4,54.9,56.9,58.5,61.3,64.9,68.5,71.9,75.7,79.2,83.5,89.1,95.5
"36","  Equals: Net structures","29","A895RC",1.9,2.2,2.1,1.4,1,1.5,1.5,2.8,2.4,2.6,2.9,2.6,5,10.5,5,1.3,0.5,-0.6,0.3,1.6,3.3,4.1,6,7.4,7.8,8.2,7.9,8.8,9.9,11.3,11.5,11.1,12.3,12.5,13.5,14.3,15.6,17.2,18,19.3,18.7,17.7,18.4,17.7,18.8,21.2,23.1,22.6,20.8,26.4,29.6,32.9,29.7,25.4,25.3,31.2,38.3,43.9,47.8,49.1,49.6,57.7,60.1,61.2,59.5,60.1,65.9,68.4,79.1,79.8,91.8,94.3,97.9
"37","            Federal","30","A896RC",0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.8,0.7,0.6,1,3.9,10.3,5.6,1.9,1.1,-0.7,-0.7,-0.1,0.3,0.5,1.8,3,2.9,2.1,1.2,1.3,1.6,2.1,2.1,2,2.3,2.1,1.8,1.6,1.7,1.7,0.9,0.7,0.5,0.3,0.9,0.9,1.1,0.9,1.1,1.2,1.5,2.5,1.8,2.6,2.5,1.9,2.6,2.7,4,4.9,6.3,3.5,2,2.5,1.8,3.2,3.4,2.8,3,3.3,0.3,1.1,0.9,-0.5,-1.3
"38","              National defense","31","B897RC",0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.5,3.4,10,5.3,1.9,1.1,-0.4,-0.7,-0.5,-0.5,-0.4,1,2.2,2.2,1.6,0.9,0.8,0.9,1.1,1.1,0.8,0.9,0.5,0.1,-0.3,-0.4,-0.4,-0.5,-0.6,-0.4,-0.7,-0.4,-0.6,-0.7,-1,-1.2,-1.4,-1.4,-1.4,-1.9,-1.7,-2,-1.3,-0.5,-0.6,0.5,0.9,1.5,1,-0.3,-0.8,-2.4,-2,-2.6,-2.2,-2,-1.8,-3,-3.5,-3.8,-4.1,-4.3
"39","              Nondefense","32","B898RC",0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.6,0.6,0.5,0.4,0.5,0.3,0.3,0,0,-0.2,0.1,0.4,0.8,0.9,0.8,0.8,0.7,0.6,0.3,0.5,0.7,1,1,1.2,1.4,1.6,1.7,1.9,2.1,2.1,1.4,1.2,1,1,1.3,1.5,1.8,1.9,2.3,2.7,2.9,3.9,3.8,4.3,4.5,3.3,3.1,3.3,3.5,4,4.9,2.5,2.4,3.3,4.3,5.3,6,5,5.1,5.1,3.3,4.6,4.8,3.6,3
"40","            State and local","33","B899RC",1.8,2.1,1.9,1.1,0.6,0.9,0.8,2,1.6,1.9,2.3,1.7,1.1,0.2,-0.5,-0.6,-0.5,0.1,0.9,1.8,3.1,3.6,4.2,4.4,4.9,6.1,6.8,7.5,8.3,9.2,9.3,9.1,10,10.5,11.6,12.6,14,15.5,17.1,18.6,18.2,17.4,17.5,16.8,17.6,20.4,21.9,21.4,19.3,23.9,27.8,30.3,27.1,23.5,22.8,28.5,34.3,39.1,41.5,45.6,47.6,55.3,58.3,58,56.1,57.3,62.8,65.2,78.7,78.7,90.9,94.9,99.2
"41","  Equipment and software","34","A871RC",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,15.3,17.3,16.1,15.5,15.6,12.7,14.7,15.1,17.1,20,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,100.1,100.6,103.8,109.8,109.8,118.1,129.4,136.3,142.4
"42","  Less: Consumption of fixed capital","35","A900RC",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,1.9,4.3,7,8.2,8.7,7.9,6.7,5.7,5.1,5.2,5.9,6.6,7.3,7.7,8.3,8.7,8.8,9.2,9.6,9.9,10.6,11.2,11.5,11.8,12.4,13.2,14.2,15,15.8,16.3,17.6,18.2,18.8,20.3,22.2,23.7,25.6,27.2,30.3,34.3,39.4,43,47.5,51.2,55.8,60.1,65.1,70.8,76.9,83.1,86.7,91.3,95.5,99.6,102.4,105.2,108.5,114.4,121.8,126.9
"43","  Equals: Net equipment and software","36","A901RC",0,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,3.8,14.5,27.8,26.4,13.3,-6.9,-6.3,-4.3,-2.4,-2.3,2.9,5.3,5.7,3.1,1.2,1.2,0.8,1.2,3.2,2,3.4,4.1,2.5,2.1,0.9,2.9,4.1,1.9,0.5,-0.2,-3.6,-2.9,-3.1,-1.7,-0.3,-0.6,-0.5,-0.1,3.4,4.7,6.2,7.9,14.2,19.3,26.5,28.4,28.6,22,24.9,26.3,20.3,16.6,8.8,5.2,4.2,7.4,4.6,9.6,15,14.5,15.5
"44","            Federal","37","A902RC",-0.1,-0.1,0,-0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,3.8,14.6,27.8,26.4,13.4,-6.9,-6.4,-4.5,-2.6,-2.4,2.7,5.2,5.5,2.9,1,1,0.4,0.8,2.9,1.6,3,3.7,2,1.5,0.2,2.2,3.4,1.2,-0.3,-1,-4.4,-3.9,-4.4,-3.3,-1.7,-1.8,-1.4,-1.2,1.8,2.8,4.7,6.1,11.4,15.2,21.2,22.6,23.2,16.2,16.5,17.4,13.4,10.2,2.5,-2.8,-4.7,-2.3,-5.8,-3.2,1,0.5,2.2
"45","              National defense","38","B905RC",-0.1,-0.1,0,-0.1,0,0,0,0,0,0,0,0.1,3.3,14.3,27.6,26.4,13.2,-7,-6.6,-4.5,-2.6,-2.5,2.7,5.1,5.5,2.9,1.1,1,0.5,0.9,3,1.6,2.8,3.3,1.3,0.4,-0.9,1,2.5,0.7,-0.7,-1.2,-4.5,-4.1,-4.4,-3.4,-1.9,-2,-1.7,-2,1,1.6,3.8,5,9,12.6,18.4,20.6,20.8,13.3,13,13.6,9.6,5.7,-1.8,-5.5,-7.9,-6.6,-11.4,-9.4,-6.4,-6,-3.8
