"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","Contributions for social insurance","12","B077RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.5,5.4,4.4,4.7,5.3,6.4,6.6,6.8,7.8,8.8,9.6,11,11,13.4,16,16.5,18.6,21,21.7,22.7,30.5,34,37.8,43.1,45.3,50,57.9,74,83.5,87.5,99.1,110.3,127.9,148.9,162.6,191.8,204.9,221.8,252.8,276.5,297.5,315.9,353.1,376.3,400.1,418.6,441.8,463.7,493.9,519.6,543.3,577,613.1,650.7,692.1,716.9
"20","    Current expenditures","13","A956RC",2.6,2.7,4,3,3.4,5.5,5.6,7.8,6.3,7.3,8.3,8.5,12.7,31,52.6,67,70.6,44.6,37.6,38.9,43.6,43.3,53.3,62.1,66.8,64.2,65.4,68.3,76.1,81.5,83.8,85.8,92,100,105,109.3,116.1,133.6,153.2,169.8,180.5,198.6,216.6,240,259.7,291.2,345.4,371.9,405,444.2,489.6,576.6,659.3,732.1,797.8,856.1,924.6,978.5,1018.4,1066.2,1140.3,1228.7,1287.6,1418.9,1471.5,1506,1575.7,1635.9,1678.8,1705.9,1755.3,1827.1,1936.4
"21","Consumption expenditures","14","A957RC",1.5,1.5,1.5,1.4,1.6,2.3,2.1,4.2,3.8,4.4,4.7,4.8,9.4,27.1,48.2,61.1,60.9,27.1,20.8,21.2,23.3,22,34.4,44.2,48.3,44,43.9,45.1,49.5,50.9,52,51.5,53.2,59.5,62.4,64.2,67.4,77.2,88.3,97,100,100.4,103.7,109.9,111.6,120.4,131.2,138,151.3,164.3,180,209,239.9,265.3,288,312,339,358.3,374.6,382.8,399.6,419.9,439.1,445.8,442.6,439.7,439.2,445.3,456.9,453.1,471.6,493.3,528.4
"22","Transfer payments (net)","15","A086RC",0.7,0.7,1.7,0.9,0.6,0.5,0.6,2,0.8,1.1,1.1,1.3,1.2,1.4,1,1.6,4.4,10.9,10.4,11,13.3,13.8,11,10.2,10.7,12.5,13.6,14.2,16.4,20,20.4,21.7,25.2,25.6,26.7,27.2,29.3,32,38.3,43.5,47.4,57.4,68.2,75.1,86.4,106.2,135.6,146.3,155,165.3,185.9,223.8,254.7,287.3,309.5,316.2,336.9,356,367.2,387.9,420.1,455.3,463.4,565.2,597.9,618.6,652.1,691.6,717.5,730.6,745.8,779.5,842.2
"23","  To persons","16","B087RC",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,19.9,23.1,23.5,24.6,25.2,27.3,29.9,36.2,41.6,45.6,55.5,65.9,72.6,84,103.1,132.2,142.7,151.7,161.7,182.1,219,249.9,281.1,302.5,307.1,325.8,344,357,377.5,409.8,445.3,492.4,549.1,581.1,603.2,642.3,678.1,706.8,719.7,734.4,765.9,832.6
"24","  To the rest of the world (net)","17","B088RC",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.1,2.1,2,1.8,2.1,1.9,1.8,1.8,1.8,1.8,2.1,2.1,2.1,2.1,2,2.2,2.1,1.9,1.8,1.9,2.3,2.5,2.4,3.1,3.4,3.6,3.3,3.6,3.9,4.8,4.8,6.1,7,9.1,11.1,12.1,10.2,10.3,10.4,10,-29,16.2,16.7,15.3,9.8,13.6,10.6,11,11.4,13.6,9.6
"25","Grants-in-aid to State and local governments","18","B089RC",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.7,0.9,0.7,0.6,0.8,0.9,0.9,0.8,1,1.6,1.7,1.9,1.9,2,2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,162.6,174.5,184.5,190.4,196.8,210.3,231,247.5,277.4
"26","Net interest paid \3\","19","A090RC",0.3,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.1,1.7,2.2,3.1,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.8,5.3,5.8,5.4,6.4,7.1,6.6,7.1,7.7,8.4,8.9,9.8,10.5,12.1,13.6,15.3,15.3,16.1,19.9,22.9,25.6,29.9,32.5,38.5,47,58.5,79.1,93.9,104.6,127.5,144.4,150.5,159.8,172.1,193.5,210.5,225.2,229.2,230.2,239.6,267.5,273.6,276.2,278.5,263.8,263,238.1
"27","  Interest paid","20","A091RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,251.3,261.2,289.6,296.2,298.6,296.8,281.3,282.2,257.8
"28","    To persons and business \3\","21","B092RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.6,8.3,8.9,9.6,10.1,11.1,12.1,13.9,15,16.7,16.1,16.1,19,21.7,24.4,29.3,31.6,36.7,44.6,57,76.6,92.5,105.6,129.1,146.3,153.5,158.4,167.6,181,196.7,210.1,212.2,211.9,217,232.3,228.5,210.6,205.7,206.7,199.2,177.2
"29","    To the rest of the world","22","B093RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,57.4,67.6,88.1,91.1,74.5,83,80.7
"30","  Less: Interest received by government \3\","23","B094RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.5,1.6,1.6,1.7,1.9,2.2,2.5,2.2,2.4,2.6,2.7,2.9,3.1,3.3,3.9,4.7,6.8,8.7,11.2,14.8,17.9,20,22.8,25,27.6,24.8,27.3,25.8,26.9,25.7,22.1,21.1,21.6,22.1,22.6,22.4,18.4,17.4,19.3,19.7
"31","Subsidies less current surplus of government enterprises","24","A095RC",0.1,0.1,0.2,0.1,0.2,0.5,0.7,0.4,0.4,0.6,0.9,0.9,0.6,0.7,0.8,1.3,1.4,1.6,0.6,0.6,0.7,1,1.2,0.9,0.7,0.6,0.6,1.2,1.6,1.8,1.2,1.5,2.5,2.8,2.5,3,3.3,4.5,4.4,4.5,5,6.2,6.3,7.7,7,5,7.9,7.1,9.8,10.7,10.3,12.9,13.3,16.1,23.7,24,23.3,26.1,32.9,31.9,28.7,31.6,28.2,29.6,38.2,33.6,32.4,35.1,31.5,33.4,43,43.8,50.3
"32","  Subsidies","25","B096RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5,4.7,4.6,6.6,5.2,3.2,4.3,4.9,6.8,8.5,8,9.3,10.7,13.7,20.8,20.6,20.9,24.6,31,29.6,26.8,26.4,26.9,29.5,36.4,32.3,32.9,33.4,32.6,35,43.6,43.7,47.5
"33","  Less: Current surplus of government enterprises","26","B097RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.3,-0.5,-0.5,-0.3,-0.3,-0.3,-0.6,-0.6,-0.3,-0.4,-1.5,-1.6,-1.1,-1.8,-1.8,-3.6,-2.2,-2.9,-2.1,-2.3,-3.6,-2.5,-2.4,-2.9,-3.4,-2.4,-1.5,-1.9,-2.3,-1.9,-5.2,-1.3,-0.1,-1.8,-1.3,0.6,-1.7,1.1,1.6,0.6,-0.1,-2.8
"34","Less: Wage accruals less disbursements","27","B098RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.5,0.1,0.1,0.1,0.1,0,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0
"35","    Current surplus or deficit (-), national income and product accounts","28","A923RC",1.1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-27,-29.1,-5.1,5.2,3.5,-5.7,5.5,9.6,3.7,1.8,-1.7,5.7,7.5,3.2,-5.5,3.2,7.1,2.5,2.4,5.2,0.8,3.2,2.7,-8.3,-1.3,9.6,-14.4,-26.8,-22.5,-11.2,-13.9,-69.3,-53,-45.2,-26.9,-11.4,-53.8,-53.7,-132.6,-173.9,-168.1,-177.1,-192.1,-147.9,-137.4,-130,-173,-215.3,-297.5,-274.1,-212.3,-192,-136.8,-53.3,43.8,111.9,206.9,72
"36","Social insurance funds","29","B243RC",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.6,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.6,-2.1,-0.3,1.1,1.5,0.8,6.4,4.9,3.8,6.2,1.6,-2.3,0.1,6.9,4,-15.4,-14.4,-12.6,-3,1.8,-13.8,-12.4,-32.5,-35.4,-5.4,2.6,7.7,16.4,41.2,45.6,44.9,27.4,9.1,6.9,22.8,19.9,16.7,30.5,58,95.9,118.3,93.3
"37","Other","30","B244RC",1,0.2,-2.1,-1.4,-0.9,-2.2,-1.9,-3.4,-1.2,-2.3,-3.1,-1.3,0.6,-10.9,-17.4,-30.9,-33.3,-8.4,2.1,1.1,-7.2,5.7,7,1.1,-0.3,-2.9,4.1,5.8,2.2,-2.8,3.9,6.5,4.6,2.7,4.1,-0.7,2.4,-3.6,-13.2,-5.1,3.4,-16,-24.5,-22.6,-18.1,-17.8,-53.9,-38.6,-32.5,-24,-13.2,-40,-41.3,-100.1,-138.5,-162.7,-179.7,-199.9,-164.3,-178.6,-175.6,-217.9,-242.8,-306.7,-281.1,-235.1,-211.9,-153.5,-83.8,-14.2,16,88.6,-21.3
"38","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","  Net lending or net borrowing (-)","31","AD02RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,-4.2,-5,-0.5,-4.4,-0.4,-3.2,-13.6,-5.1,7,-15,-24.3,-19.5,-5.6,-8.9,-73,-55.1,-47.8,-34.3,-21.1,-65.2,-64.1,-144,-192.7,-193.8,-214.2,-229.6,-188.8,-168.9,-159,-208.5,-246.1,-322.4,-291.8,-223.2,-195.7,-144.7,-48.7,47.9,103.6,199.2,58.9
"40","    Current surplus or deficit (-), national income and product accounts","32","A923RC",1.1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-27,-29.1,-5.1,5.2,3.5,-5.7,5.5,9.6,3.7,1.8,-1.7,5.7,7.5,3.2,-5.5,3.2,7.1,2.5,2.4,5.2,0.8,3.2,2.7,-8.3,-1.3,9.6,-14.4,-26.8,-22.5,-11.2,-13.9,-69.3,-53,-45.2,-26.9,-11.4,-53.8,-53.7,-132.6,-173.9,-168.1,-177.1,-192.1,-147.9,-137.4,-130,-173,-215.3,-297.5,-274.1,-212.3,-192,-136.8,-53.3,43.8,111.9,206.9,72
"41","    Plus: Consumption of fixed capital","33","A918RC",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.8,2.1,4.8,7.6,8.8,9.4,8.8,7.6,6.6,5.9,6.1,6.9,7.7,8.3,8.7,9.3,9.9,10,10.4,10.7,11,11.6,12.3,12.5,12.8,13.3,14.2,15.1,15.9,16.7,17.4,18.7,19.5,20.2,21.6,23.2,24.6,26.3,28,30.9,34.7,39.5,42.4,46.4,49.3,52.9,56.3,60.2,64.4,68.7,73,75.4,78.7,81.4,84,85.3,86.8,88.2,91.5,95.9,98.7
"42","    Plus: Capital transfers received (net)","34","AD05RC",0.1,0.1,0.1,0,0.1,0.1,0.2,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.6,0.4,0.2,0.3,0.3,0.4,0.3,0.2,0.5,0.1,-1,-1.7,-0.9,-0.9,-1,-1.3,-1.5,-1.2,-1.3,-1.2,-2.9,-2.3,-1.6,-1.3,-0.7,-0.9,-3.1,-4.8,-5,-4,-6.7,-8.9,-10.1,-8.7,-7,-9.7,-11.7,-13,-13,-11.8,-12,-11.2,-16.5,-15.3,-11.2,-11.5,-10.7,-12.8,-10.7,-8.4,-3.6,-7.4,-8,-12.9
"43","    Less: Gross investment","35","A787RC",0.2,0.3,0.3,0.4,0.6,0.9,1.2,1.2,1.2,1.2,1.1,1.6,8.6,27,38.2,35.9,23.3,1.9,1.8,3,4.4,3.9,10.7,15,16.1,13.3,10.9,11.6,11.9,12.9,15.4,14.3,16.3,17.4,16.1,15.6,14.7,17.2,18.5,17,16.1,16,13.9,15.7,16.2,17.8,20.9,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.3,88.8,84.7,81.3,82.3,86.3,81.3,86.1,93.4,95.9,99.7
"44","    Less: Net purchases of nonproduced assets","36","AD08RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.5,0.6,0.5,0.6,-0.2,-0.9,0.1,-0.3,-0.4,-0.7,-3.2,-5.7,-0.4,-2.4,-1.4,-0.6,-2.8,-4,-5.5,-3.6,-4.9,-3.9,-1.1,-3,-0.4,-0.1,-0.7,-0.7,0.2,0.2,0.2,0.2,-7.4,-3.8,-7.6,-5.6,-0.9,-0.3,-0.7
"45"," 1. Includes the following taxes (in millions of dollars) not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46"," separately: dividends tax: 1933, 35; 1934, 15; automobile use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47"," tax: 1942, 121; 1943, 77; 1944, 74; 1945, 81; and 1946, 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
