"","Table 1#4# Real Gross Domestic Product by Major Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","  Residual","4","A958RX",-16.8,-17.9,-17.2,-13.9,-11.9,-11,-8.2,-7.4,-7.1,-9.1,-6.9,-4.2,-1.5,-9.5,-16.8,-19.7,-19.3,-2.3,-17.2,-5.4,-19.5,-3.5,1.2,-10.5,-12.4,-17.6,-9,-11.6,-15.6,-16.5,-10.5,-12.7,-13,-10.2,-11.6,-12.7,-10.6,-6.4,-11.6,-12.3,-11.9,-15,-14.3,-13,-6.5,-6.7,-24.7,-9.6,-7.8,-6.4,-8.4,-16.7,-6.4,-20,-12.5,1.2,-8.8,-9.8,-5.1,-2.6,-3.2,-4.2,-4.1,-4.8,-1.2,-4.9,1.2,0,0.5,0.4,2.3,5.3,17.5
"12","Goods","5","A353RX",253.2,223.1,207.3,173,176.8,203.1,228.9,262.7,282.4,264.7,290.1,323.9,385.7,461.8,562.5,607.6,590.7,523.7,525.3,547.9,535.3,584.2,630.7,648.1,689.2,661.6,719.9,725.2,732.7,704.1,764.7,777.1,780.6,837,866.1,919.2,994.9,1083.4,1095.2,1146.7,1180.6,1166.5,1194.3,1280.1,1395,1378.5,1357.9,1453.8,1524.1,1621.8,1686.1,1677,1753.6,1678.4,1754.8,1941.1,1990,2057.5,2136.3,2255.3,2379.6,2404.2,2372.7,2455,2548.2,2708.3,2813.8,2951.3,3145.9,3332.3,3510.3,3674.3,3589.9
"13","    Final sales","6","A325RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2112.2,2239,2353.6,2391.1,2375.6,2441.5,2528.5,2647,2782.3,2921.3,3081.3,3254.5,3445.2,3603.7,3643.3
"14","    Change in private inventories","7","A014RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,18.4,29.6,16.5,-1,17.1,20,66.8,30.4,30,63.8,76.7,62.8,65,-61.4
"15","  Durable goods","8","A354RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.7,942,1002.3,1007.1,962.8,1015,1093.5,1179,1264.8,1351,1491.1,1634,1756.7,1870.4,1754.9
"16","    Final sales","9","A326RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837.8,919.1,982.7,1000,976.8,1018,1076.5,1144.2,1231.8,1331.9,1457.5,1585.3,1714.5,1821.1,1823.9
"17","    Change in private inventories \1\","10","A355RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23.9,20.6,7.9,-14,-2.9,17.7,35.9,33.3,19.1,33.4,46.5,39.9,46,-67.9
"18","  Nondurable goods","11","A356RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1284,1317.1,1380,1400.4,1416.2,1444.9,1457.3,1531.1,1549.3,1600.3,1655.3,1701.2,1759.2,1813.2,1834.2
"19","    Final sales","12","A334RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285.3,1325.4,1374.2,1394.2,1403.6,1427.2,1454.4,1504.4,1551,1589.4,1624.4,1671.7,1736.1,1791.2,1825.6
"20","    Change in private inventories \1\","13","A357RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,-6.9,8.7,8.6,13.5,20.6,2,30.8,-3.6,10.9,30.4,29.6,22.8,19.5,4.8
"21","Services","14","A341RX",453,446.7,438.1,414.9,407.4,429,443.8,469.6,481.8,484.1,503.5,527.5,586.1,700.4,882.8,1012,1020.5,818.5,773.6,778.9,793.7,820.1,913.1,973.8,988.9,1009.9,1049.6,1098.7,1146.9,1172.4,1222.2,1279.7,1337.4,1400.7,1465.7,1541.4,1613.8,1705.9,1795.9,1876.5,1943.9,1999,2056.8,2123.2,2199.5,2259.6,2327.5,2403.5,2483.1,2577.9,2642.9,2695.2,2733.9,2780.7,2877.3,2968.4,3107.7,3227.9,3354.6,3485.3,3584.9,3692.3,3752.1,3847.3,3916.8,4010.3,4097.5,4191,4307.6,4431,4577.6,4728.9,4826.4
"22","Structures","15","A755RX",161.6,137.2,110.8,76.6,59.7,70.3,79.9,110.9,113.8,111,129.9,137.1,175,188.9,107.7,73.4,76.3,151.4,172.8,202.6,204.5,252.1,244.1,249.4,263.3,280.4,306.1,304.8,301.5,306.1,340.6,337.4,346.8,366.6,391.3,417.7,438.6,439.2,432.7,459.3,465.2,445.1,486.4,522.4,533.7,478.4,435,475.9,521.1,567.1,582.7,541.4,533.5,487.8,524.3,595.2,626.1,635.2,631.1,632.8,626.5,614.8,559.5,584.9,602.5,630.7,632.9,670.9,706.9,748.7,777.2,797.9,797.1
"23","Residual","16","AB97RX",-45.6,-55.5,-52.6,-52.7,-40.6,-34.1,-24.3,-20.7,-12.2,-24.2,-20,-7.8,2,8.9,30.7,21.1,5.8,11.9,23.4,30.6,17.4,30.2,27.2,16,32.5,8.6,23.9,12.4,2.8,-19.8,-8.5,-17.5,-32.8,-25.4,-32.7,-31.8,-18.8,-1,-15.5,-16.4,-18.3,-32.6,-39.8,-27.3,-4.8,-17.5,-36,-21.5,-16.5,-6.2,0.4,-12.7,0,-27.6,-24.1,0.5,-6.7,-8.2,-23.6,-11.2,-5.8,-9.9,-15.1,-15.1,-7.3,-8.6,0.9,0,-0.7,-3.9,-9.1,-13.2,4.6
"24","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","  Motor vehicle output","17","A953RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.6,247.8,248.3,226.8,202,226.1,245.1,273.8,275.3,275.6,294.1,318,345.8,336.5,315.9
"26","  Gross domestic product less motor vehicle output","18","A962RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5878.2,6121.1,6344,6480.9,6473.2,6653.4,6817.3,7073.9,7268.5,7537.6,7865.4,8191.3,8514.3,8854.8,8896.6
"27"," 1. Estimates for durable goods and nondurable goods for 1997 and earlier periods are based",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","on the 1987 Standard Industrial Classification (SIC); later estimates for these industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","  Note.~ Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","The residual line following change in private inventories is the difference between gross domestic product and the sum of final ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","sales of domestic product and of change in private inventories;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the residual line following structures is the difference between gross domestic product and the sum of the detailed lines of ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," Percent changes from preceding period for gross domestic product and for final sales of domestic product are shown in table 8.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39"," Chain-type quantity indexes for the series in this table are shown in table 7.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
