"","Table 6#8C# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"39","        Printing and publishing","32","B4632C0C",1461,1539,1560,1576,1534,1488,1517,1551,1560,1535,1562,1577,1557,1544,1498
"40","        Chemicals and allied products","33","B4633C0C",1013,1050,1062,1076,1073,1067,1062,1039,1032,1025,1024,1026,1026,1029,1011
"41","        Petroleum and coal products","34","B4634C0C",160,156,153,156,156,154,149,145,142,138,135,134,131,125,124
"42","        Rubber and miscellaneous plastics products","35","B4635C0C",848,856,874,875,855,870,903,951,968,971,990,1006,1002,1007,945
"43","        Leather and leather products","36","B4636C0C",147,147,145,136,123,120,121,118,110,102,89,85,80,76,65
"44","    Transportation and public utilities","37","A4637C0C",5460,5606,5674,5754,5727,5704,5875,6037,6172,6318,6472,6655,6850,7014,7052
"45","      Transportation","38","A4638C0C",3358,3497,3580,3591,3577,3583,3753,3914,4041,4181,4283,4437,4567,4641,4641
"46","        Railroad transportation","39","B4639C0C",276,268,262,246,237,229,226,220,220,211,208,211,209,201,192
"47","        Local and interurban passenger transit","40","B4640C0C",338,365,377,382,385,389,418,437,432,445,481,486,503,503,521
"48","        Trucking and warehousing \3\","41","B4641C0C",1671,1542,1544,1513,1513,1532,1610,1714,1776,1853,1880,1954,2020,2041,2045
"49","        Water transportation","42","B4642C0C",172,168,171,175,181,167,171,175,178,174,178,185,185,191,197
"50","        Transportation by air \3\","43","B4643C0C",574,808,858,907,895,893,929,959,1001,1050,1067,1123,1163,1216,1205
"51","        Pipelines, except natural gas","44","B4644C0C",18,18,18,18,19,19,19,17,15,14,14,13,13,13,14
"52","        Transportation services","45","B4645C0C",309,328,350,350,347,354,380,392,419,434,455,465,474,476,467
"53","      Communications","46","A4646C0C",1192,1189,1172,1219,1198,1171,1180,1192,1221,1259,1323,1365,1423,1522,1554
"54","        Telephone and telegraph","47","B4647C0C",880,873,848,880,865,837,840,844,852,873,938,960,1011,1088,1107
"55","        Radio and television","48","B4648C0C",312,316,324,339,333,334,340,348,369,386,385,405,412,434,447
"56","      Electric, gas, and sanitary services","49","B4649C0C",910,920,922,944,952,950,942,931,910,878,866,853,860,851,857
"57","    Wholesale trade","50","B4650C0C",6022,6178,6413,6347,6201,6205,6141,6324,6555,6587,6739,6923,7015,7098,6794
"58","    Retail trade","51","B4651C0C",17017,17479,18020,18099,17668,17697,18261,18898,19462,19851,20258,20407,20954,21423,21485
"59","    Finance, insurance, and real estate","52","A4652C0C",6900,7006,7043,7130,7064,6999,7162,7251,7211,7310,7425,7631,7809,7840,7861
"60","      Depository institutions","53","B4653C0C",2160,2149,2159,2156,2069,2005,1989,1973,1938,1923,1927,1933,1928,1904,1904
"61","      Nondepository institutions","54","B4654C0C",361,360,358,372,379,406,461,485,467,507,563,643,691,667,690
"62","      Security and commodity brokers","55","B4655C0C",522,512,494,489,482,508,553,592,620,646,679,732,796,873,855
"63","      Insurance carriers","56","B4656C0C",1372,1390,1412,1457,1479,1463,1466,1468,1451,1449,1462,1501,1526,1497,1488
"64","      Insurance agents, brokers, and service","57","B4657C0C",756,794,802,832,842,820,847,853,854,871,875,881,873,893,909
"65","      Real estate","58","B4658C0C",1523,1583,1592,1593,1572,1564,1602,1635,1643,1676,1684,1704,1759,1764,1777
"66","      Holding and other investment offices","59","B4659C0C",206,218,226,231,241,233,244,245,238,238,235,237,236,242,238
"67","    Services","60","A4660C0C",26308,27540,29021,30048,30510,31129,32376,33627,35000,36396,37959,39479,40637,42040,42217
"68","      Hotels and other lodging places","61","B4661C0C",1386,1461,1521,1549,1504,1483,1508,1549,1583,1620,1665,1697,1759,1818,1792
"69","      Personal services","62","B4662C0C",1565,1627,1603,1583,1661,1707,1737,1725,1769,1798,1789,1803,1831,1879,1878
"70","      Business services","63","B4663C0C",4646,5042,5363,5679,5547,5554,6011,6537,7096,7651,8260,8987,9567,10197,9850
"71","      Auto repair, services, and parking","64","B4664C0C",1187,1234,1254,1277,1245,1266,1325,1338,1363,1481,1511,1520,1557,1589,1601
"72","      Miscellaneous repair services","65","B4665C0C",540,555,567,588,541,554,587,568,586,569,582,591,552,538,564
"73","      Motion pictures","66","B4666C0C",383,394,441,451,451,460,468,499,555,583,610,644,659,652,634
"74","      Amusement and recreation services","67","B4667C0C",862,891,970,1018,1025,1090,1169,1264,1310,1400,1485,1496,1547,1636,1601
"75","      Health services","68","B4668C0C",6694,6824,7190,7507,7829,8205,8451,8677,8902,9167,9402,9526,9647,9770,10040
"76","      Legal services","69","B4669C0C",1059,1117,1153,1122,1148,1148,1163,1184,1170,1145,1200,1225,1219,1222,1261
"77","      Educational services","70","B4670C0C",1532,1558,1603,1616,1657,1758,1815,1860,1913,1962,2006,2100,2164,2265,2371
"78","      Social services and membership organizations","71","A4671C0C",3230,3456,3617,3846,4179,3905,4066,4351,4484,4618,4818,5025,5188,5354,5432
"79","        Social services","72","B4672C0C",1815,1936,2007,2152,2294,2248,2333,2563,2669,2752,2881,2993,3086,3201,3330
"80","        Membership organizations","73","B4673C0C",1415,1520,1610,1694,1885,1657,1733,1788,1815,1866,1937,2032,2102,2153,2102
"81","      Other services \4\","74","B4674C0C",2493,2669,2914,3001,2920,3141,3226,3254,3434,3574,3797,3983,4085,4287,4420
"82","      Private households","75","B4675C0C",731,712,825,811,803,858,850,821,835,828,834,882,862,833,773
"83","  Government","76","A4376C0C",17237,17642,18045,18340,18383,18327,18261,18248,18335,18328,18435,18604,18747,19043,19445
"84","    Federal","77","A4377C0C",5314,5336,5354,5345,5260,5060,4829,4661,4530,4378,4269,4207,4167,4198,4119
"85","      General government","78","A4378C0C",4489,4487,4498,4486,4411,4240,4046,3866,3722,3575,3476,3416,3370,3416,3338
"86","        Civilian","79","B4379C0C",2121,2156,2176,2221,2198,2181,2136,2051,1984,1913,1869,1845,1821,1869,1790
"87","        Military \5\","80","B4380C0C",2368,2331,2322,2265,2213,2059,1910,1815,1738,1662,1607,1571,1549,1547,1548
"88","      Government enterprises","81","B4381C0C",825,849,856,859,849,820,783,795,808,803,793,791,797,782,781
"89","    State and local","82","A4382C0C",11923,12306,12691,12995,13123,13267,13432,13587,13805,13950,14166,14397,14580,14845,15326
"90","      General government","83","A4383C0C",11129,11499,11862,12151,12274,12404,12571,12710,12922,13079,13304,13528,13705,13964,14334
"91","        Education","84","B4384C0C",5648,5918,6112,6250,6308,6377,6479,6595,6769,6887,7070,7226,7367,7567,7784
"92","        Other \2\","85","B4385C0C",5481,5581,5750,5901,5966,6027,6092,6115,6153,6192,6234,6302,6338,6397,6550
"93","      Government enterprises \2\","86","B4386C0C",794,807,829,844,849,863,861,877,883,871,862,869,875,881,992
"94","Rest of the world \6\","87","A4387C0C",-66,-75,-83,-82,-82,-88,-407,-452,-451,-416,-447,-439,-486,-497,-521
"95"," 1. Equals the number of full-time equivalent employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","plus the number of self-employed persons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Unpaid family workers are not included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 2. Beginning with 2001, reflects the reclassification of employees of Indian tribal governments from the private sector in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","accordance with the Consolidated Appropriations Act of 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100"," 3. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101"," 4. Consists of museums, botanical and zoological gardens; engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","and management services; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103"," 5. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104"," 6. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
