"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150"
"29","21","A     Apparel manufacturing","KS3150",8107,8093,8082,8188,8281,8384,8459,8539,8522,8585,8511,8506,8450,8441,8491,8452,8356,8347,8338,8338,8397,8436,8443,8446,8285,8352,8439,8459,8582,8666,8760,8894,9000,8935,8892,9086,9084,8965,8925,8838,8795,8744,8791,8730,8687,8710,8819,8804,8855,8737,8569,8475,8404,8320,8102,7938,7738,7558,7401,7183,7047,6937,6828,6787,6724,6775,6833,6876,6976,7030,7055,7139,7258,7317,7360,7450,7454,7383,7462,7337,7274,7182,7141,7152,7064,6910,6915,6858,6840,6897,6942,6961,6987,7005,7008,6975,7103,7113,7100,7108,7094,7061,7018,7018,6998,6986,6903,6833,6845,6843,6885,6881,6906,6868,6931,6984,6646,6692,6817,6837,6852,6846,6852,6898,6911,6972,7132,7017,7031,7051,7032,7060,7084,7126,7120,7128,7150,7176,7203,7184,7128,7083,7041,6967,6920,6854,6801
"30","22","A     Leather and allied product manufacturing","KS3160",1574,1573,1551,1597,1617,1628,1624,1620,1623,1642,1630,1662,1685,1694,1698,1728,1735,1717,1720,1726,1713,1713,1733,1686,1657,1647,1647,1625,1626,1666,1659,1660,1682,1688,1695,1696,1685,1691,1682,1683,1667,1655,1653,1649,1643,1647,1636,1594,1597,1581,1588,1549,1505,1461,1454,1466,1476,1480,1472,1427,1384,1371,1322,1278,1297,1309,1335,1344,1317,1380,1366,1353,1350,1271,1255,1218,1234,1235,1206,1193,1223,1239,1260,1295,1277,1269,1266,1269,1259,1249,1245,1229,1227,1243,1250,1276,1288,1286,1296,1317,1318,1316,1300,1316,1330,1318,1327,1320,1317,1260,1275,1279,1299,1327,1334,1360,1390,1393,1404,1431,1436,1433,1430,1428,1420,1422,1426,1425,1406,1413,1404,1378,1383,1382,1369,1365,1350,1333,1336,1329,1333,1328,1348,1359,1375,1375,1396
"31","23","A     Paper manufacturing","KS3220",15650,15720,15999,15847,15849,15579,15553,15616,15794,15820,15908,16130,16210,16162,16132,16176,16210,16313,16332,16382,16177,16117,16060,15764,15857,15821,15966,15969,16132,16274,16268,16550,16810,16803,16826,16811,17022,17126,17112,17235,17253,17184,17311,17192,16941,16778,16523,16267,16140,16097,15810,15668,15555,15484,15434,15389,15580,15742,15965,16079,16195,16375,16503,16549,16647,16930,16923,17016,17204,17281,17406,17479,17529,17475,17151,17242,17183,17222,17051,17035,16994,16872,16848,16689,16653,16512,16356,16260,16361,16358,16543,16601,16545,16750,16824,16749,17018,17104,17084,17147,17157,17219,17170,17010,16816,16776,16650,16617,16635,16749,16850,16912,16914,16795,16817,16802,16838,16813,16870,16734,16749,16707,16586,16573,16626,16652,16705,16760,16778,16784,16801,16976,16695,16618,16662,16565,16466,16403,16196,16172,16079,16196,16149,15480,15422,15456,15330
"32","24","A     Printing and related support activities","KS3230",6558,6445,6418,6580,6677,6550,6253,6502,6483,6536,6571,6708,6464,6463,6452,6436,6524,6431,6641,6487,6578,6345,6236,6210,6297,6277,6354,6565,6492,6591,6550,6533,6678,6643,6835,6911,6915,7070,7025,6824,6838,6847,6709,6811,6790,6842,6729,6552,6542,6497,6483,6351,6330,6236,6246,6367,6190,6258,6235,6286,6472,6232,6182,6380,6402,6620,6716,6664,6529,6731,6727,6732,6785,6742,6719,6665,6612,6476,6535,6525,6454,6341,6433,6409,6275,6365,6274,6210,6356,6270,6267,6331,6375,6430,6352,6365,6202,6320,6416,6391,6422,6442,6459,6312,6382,6316,6353,6297,6342,6330,6322,6397,6378,6449,6467,6404,6478,6504,6463,6431,6444,6490,6474,6437,6487,6587,6556,6572,6722,6895,6900,7087,6490,6626,6754,6659,6619,6491,6320,6155,6149,6016,6076,6234,5877,5871,5860
"33","25","A     Petroleum and coal product manufacturing","KS3240",16072,15771,16148,16045,16257,16184,15837,16433,16468,16468,16627,16606,15373,15469,15831,15935,15882,15709,15796,15511,15386,15752,16647,15812,15626,14645,15426,15118,14812,14697,14804,15182,15239,15429,15664,15515,15580,15406,15351,15629,15710,15864,15610,15315,15489,15678,15592,15208,15278,15451,15488,15812,16031,15995,15916,16223,16298,15961,15944,16411,15674,15683,16253,16325,15946,15946,16248,16024,16123,15979,15438,15805,15810,15897,15957,16187,15609,16158,15742,16377,16411,16293,15933,15900,16544,16800,16654,16574,16986,17064,17224,16876,16583,17020,17548,16570,17666,17598,17619,17407,16399,16754,17210,17077,17071,17645,17191,17193,17555,17493,17531,18071,18471,18681,18583,18763,18268,17484,17523,17556,16949,17104,17164,17334,17376,17414,17101,16744,17399,17176,17325,17383,18507,18646,19016,18161,18268,19078,18893,19061,18267,16945,15989,12715,12898,12196,12450
"34","26","A     Chemical manufacturing","KS3250",46137,46275,46439,46680,46748,47010,47022,46958,47568,48200,48584,48642,49039,49560,49808,49851,49893,50070,50291,50362,49970,49991,50469,49797,50309,50548,50491,50944,51862,51707,51933,51788,51553,52031,52648,52948,52793,52806,52781,52992,53086,53745,54592,54470,54733,54865,54952,54802,55033,54419,54638,54496,54362,53884,53884,53520,53816,54289,53765,53646,53911,53982,53785,53825,53629,53478,54037,54604,54603,54608,54906,53953,53828,54775,54483,54287,54387,54432,54795,54851,54609,54326,54479,53413,52936,53767,54264,54734,54808,54857,54664,54731,53757,53400,53826,54447,54368,54631,54917,54560,54609,55130,54682,54354,54203,53775,53518,55060,56020,55574,56463,56115,56173,56842,56684,56843,57586,57851,57879,57507,57512,57215,57138,56942,57085,56921,56790,56474,56436,56050,55824,54978,55765,55608,55028,54536,54109,53329,53034,53007,52260,52658,53105,52717,53150,53144,53605
"35","27","A     Plastics and rubber product manufacturing","KS3260",16306,16360,16389,16444,16516,16596,16542,16543,16557,16639,16690,16698,16725,16744,16741,16706,16834,16971,16978,17090,17059,17087,17344,17422,17588,17591,17630,17710,17806,17767,17838,17942,18073,18127,18183,18357,18349,18351,18138,18513,18496,18455,18502,18380,18314,18332,18138,18358,18407,18355,18261,18163,17846,17745,17686,17681,17745,17768,17796,17766,17541,17341,19006,18750,18592,18364,18240,18125,18580,18458,18331,18189,18187,18416,18282,18387,18402,18552,18379,18290,18193,18039,17932,17997,17944,17849,17995,17967,17929,18074,18223,18296,18336,18414,18368,18233,18629,18603,18731,18608,18658,18584,18525,18592,18185,18211,18308,18302,18688,18809,18920,19151,19181,19210,19325,19428,19541,19715,19739,19317,19485,19516,19629,19592,19757,19866,19972,20002,20042,19896,19910,19938,19817,19843,19861,19868,19754,19717,19717,19877,19382,19363,19201,18411,18392,18165,17810
"36","28","A Merchant wholesale industries","KS42W0",234576,235036,236476,237090,238588,243631,243586,245057,247480,248959,251362,254081,255126,258524,260527,260575,262932,263076,264091,267554,270179,271445,273222,274423,275115,277695,278872,279139,279792,280366,283327,284147,285756,288337,291457,291968,294144,295183,296511,298393,299886,302011,302913,304248,304819,306161,307681,307035,306825,306853,307179,308323,309925,308021,305903,305827,304936,303170,300554,298639,298187,295382,295519,294228,294715,295938,297816,298123,298506,297214,297679,300485,299861,300434,300974,301515,299984,299233,299213,298494,299748,301450,301453,301795,300717,303257,303565,302133,304079,306021,310571,313010,312571,315860,318319,318863,322116,322840,323011,325251,325055,326389,326933,327295,327609,328632,329150,332301,331804,334219,334238,337413,338467,339358,340959,343401,344997,346338,348567,345165,344421,344835,344666,344683,344837,345845,346379,347640,349870,348835,349233,350373,351833,352862,350243,352046,352115,352649,355040,356720,356691,355881,357442,357792,358376,354657,350021
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",142658,143150,144620,145467,146881,150667,149647,150338,152528,152675,153683,156023,157284,159546,161417,161899,163125,162675,163260,165819,167288,168730,169089,170846,171527,172820,173656,172958,174504,175442,176806,176689,178158,179752,182277,182814,183634,184822,185770,187557,188981,191088,191331,192028,191864,192521,193398,192822,193750,193258,192772,192230,191894,188597,187035,185777,184458,184146,180640,178533,177476,175376,174956,174398,174204,174576,175857,176944,177325,176871,177528,178554,177980,179572,180005,180576,179427,178740,177735,176922,177242,177754,178008,180107,180294,182223,183410,183082,185356,187118,189264,192206,192719,194376,195934,196710,198591,199608,199666,200346,200438,202118,203145,202931,202342,204699,205581,207275,206752,207852,208140,211337,211927,212342,213993,214895,217125,217917,218086,216518,216748,216666,216359,214554,214983,214602,213072,213814,214743,213923,214540,215474,217219,218521,218670,220347,221183,221116,223711,225962,227138,226454,226457,225205,224326,219643,214710
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21558,21133,21534,21184,21707,22653,22599,22815,23001,22599,22408,22507,22783,23129,23695,22702,22283,21917,21641,22070,22195,22638,22220,22951,22862,23019,23384,23399,23853,23953,24355,24524,24855,24798,25263,25271,25473,25570,26030,26286,26438,26667,26282,26131,25699,25636,25728,25995,25794,25861,25700,25621,25294,25001,25100,25108,25166,25527,24933,24311,24224,23840,23793,23474,24278,24689,25151,25028,26010,26553,27394,27160,27094,27363,27611,27995,27517,27787,27122,26873,26664,27618,27409,28595,28664,29192,29896,29633,29868,29906,30547,31647,31378,30548,30884,30410,31171,31192,30319,31108,31319,32527,32618,32492,32116,32660,32820,33299,32581,33834,34257,36191,35238,34556,35210,34560,35001,35714,35604,34258,34534,33640,33978,32510,32788,33296,32770,33599,33978,33073,34151,35295,35231,35686,35170,36265,36178,36353,37346,37793,37800,37539,38019,38917,37502,34169,32219
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4961,4850,4766,5001,5070,4962,4899,5013,5065,5020,5104,5124,5184,5156,5091,5213,5246,5245,5277,5292,5296,5383,5285,5271,5245,5303,5303,5227,5252,5350,5382,5340,5361,5540,5411,5549,5572,5616,5686,5772,5847,5949,6019,6094,5880,5974,6036,5972,6049,5974,5993,5901,5849,5704,5658,5574,5644,5597,5587,5477,5439,5462,5335,5399,5396,5436,5531,5569,5629,5618,5632,5737,5711,5793,5873,5945,5976,5989,5884,5922,5904,5946,5990,6083,6270,6192,6256,6214,6152,6221,6289,6271,6262,6224,6235,6199,6197,6226,6227,6271,6244,6120,6167,6264,6275,6440,6404,6415,6378,6319,6206,6146,6336,6383,6390,6402,6420,6456,6473,6566,6575,6532,6648,6569,6510,6563,6622,6592,6557,6477,6527,6510,6654,6745,6615,6667,6523,6500,6540,6484,6385,6417,6364,6307,6070,5919,5745
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5156,5262,5269,5370,5414,5500,5518,5606,5604,5538,5647,5597,5640,5619,5548,5642,5568,5571,5640,5809,5526,5563,5597,5545,5568,5515,5575,5631,5705,5666,5751,5694,5774,5883,5854,5932,6040,6085,6128,6147,6185,6262,6243,6164,6186,6214,6267,6380,6269,6265,6240,6105,6074,5946,6037,6204,6293,6508,6422,6424,6390,6294,6290,6323,6318,6311,6376,6466,6584,6685,6755,6871,6980,7157,7061,7103,7028,7106,7096,7223,7297,7492,7891,8141,8402,8570,8590,8779,9259,9037,9217,9278,9405,9567,9432,9915,10167,10375,10487,10009,10085,9920,9951,9859,9430,9819,9828,10495,10510,10449,10508,10709,10741,10975,11059,11129,11253,11000,10986,10999,10808,10815,10683,10469,10314,10243,10177,10268,10220,10348,10326,10519,10495,10401,10197,10165,10328,10387,10485,10344,10089,9850,9548,9409,9303,9236,9099
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15038,15323,15410,15971,16381,17173,17457,17276,18156,18559,18720,19029,19664,20037,20707,21018,21305,20754,20890,21119,21082,20888,21189,20970,20989,21849,21875,21162,21922,22342,22393,22473,22835,23482,24167,24404,24958,24724,24403,24405,24644,24576,24628,24649,25365,25643,25689,25293,25283,25554,25247,25628,25238,24916,24841,24721,23986,23793,23066,23375,23244,22833,23503,24318,24131,24543,24659,25380,25052,24487,24678,25041,25335,25650,25989,25509,25901,25815,26254,26369,26459,26385,26489,26337,26191,26596,26665,26341,26787,27488,27509,28195,28311,29015,29714,29634,29898,29752,29781,30441,30250,30767,30802,30841,30936,31559,31576,31809,32283,33065,32547,32776,33491,33255,33870,34248,35131,35486,35708,36131,36390,36621,36996,37228,37576,37627,37655,37961,38028,37555,37903,38010,38546,39194,39953,40078,40942,40850,40700,41455,41799,41537,41344,40261,39615,39390,38380
"42","34","D       Computers and software wholesalers","KS42430",6581,6778,6871,7121,7451,8020,8188,8125,8725,8950,8872,9147,9412,9616,10326,10430,10637,10455,10302,10617,10504,10473,10687,10907,10878,11633,11227,10691,11546,11804,11858,11988,12018,12537,12888,13100,13101,13194,12319,12229,12052,12095,12143,12149,12817,13487,13061,12680,12855,13006,12898,13085,12829,12293,12440,12229,11885,11951,11630,11574,11489,11662,12209,12896,12714,12975,12907,13414,13196,12599,12430,12642,13166,13636,13878,13750,14299,14224,14554,14460,14383,14608,14714,15144,15010,14968,15276,15286,15385,16363,16199,16895,16729,17343,18265,18073,18057,18230,18475,18545,18407,18824,18519,19000,19725,20018,20020,20283,20612,20857,20797,20635,21187,20819,21273,21399,22654,23386,23141,23385,23619,23556,23719,23959,24592,24827,25160,25781,26012,25914,25773,25497,26307,26398,27845,28079,29303,28919,29312,30079,30138,30549,29776,27850,27159,27264,26830
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9412,9438,9381,9724,9673,9726,9820,9681,9826,9992,10366,10314,10721,10873,10597,10836,10884,10459,10854,10680,10793,10603,10667,10123,10183,10214,10742,10592,10413,10565,10557,10496,10845,10954,11286,11303,11873,11532,12114,12204,12621,12505,12504,12514,12565,12189,12640,12612,12444,12568,12377,12571,12430,12583,12396,12460,12075,11856,11463,11776,11728,11249,11435,11645,11619,11790,11939,12203,12077,12009,12282,12446,12350,12309,12433,12124,12101,12078,12229,12379,12497,12304,12323,11951,11913,12254,12132,11872,12162,12159,12265,12410,12589,12796,12835,12876,13083,12882,12779,13231,13159,13331,13503,13298,13022,13333,13344,13388,13575,14017,13677,13908,14166,14160,14391,14596,14678,14618,14870,15058,15139,15321,15510,15571,15556,15500,15391,15359,15317,15042,15323,15495,15549,15937,15912,15910,16037,16112,15881,16099,16298,15993,16134,16097,15920,15743,15252
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",12692,12991,13038,13150,13149,13300,13271,13304,13271,13215,13213,13319,13455,13549,13666,13714,13831,13783,13761,14205,14331,14465,14700,14737,14987,14690,14379,14479,14618,14640,14489,14354,14487,14657,14876,15029,15224,15422,15679,16085,15903,16026,16080,16064,16007,15842,15701,15375,15354,15230,15095,14993,15062,15055,15029,15103,14860,14836,14567,14484,14280,14260,14156,14075,14060,14060,14214,14267,14506,14253,14250,14215,13876,13942,13913,13943,13735,13760,13636,13509,13610,13557,13729,13987,14242,14473,14821,14587,14875,14908,15144,15514,15454,16064,16295,16283,16537,16560,16818,16900,16864,16794,16716,16571,16388,16450,16345,16296,16292,16259,16127,16523,16727,16960,17118,17470,17719,17763,17764,17747,17555,17462,17283,16962,17023,16945,16603,16333,16165,15992,15757,15958,16071,16227,16317,16484,16592,16786,16805,17004,16944,17077,17202,16904,17351,17494,16803
"45","37","D     Electrical goods wholesalers","KS42160",20054,20118,20528,20313,20325,20668,20566,20688,20644,20478,20282,20520,20443,20742,21220,21561,21774,21872,21808,22008,22223,22137,22199,22441,22442,22720,22559,22370,22739,22936,23638,23733,24037,24465,25075,25707,25651,25875,26044,26070,26412,26967,27497,27739,28034,28741,29076,29184,29491,29258,29308,29557,28938,28332,27314,26786,26427,26165,25290,24492,24026,23663,23344,23068,23171,22871,23182,23772,23537,23647,23477,23577,23489,23303,23347,23519,23171,23115,22872,22818,23052,22842,22470,23182,23044,23874,24329,24703,25153,25272,25248,25369,25419,25521,25657,25817,26019,26229,26202,25978,25892,26254,26832,26716,26576,26396,26628,26913,26765,27170,27260,27611,27847,27699,28515,28578,28988,29432,29383,29308,29363,29108,29308,29031,29485,29420,29276,29410,29524,29942,29996,30166,30389,30504,30716,30892,31003,31290,31366,32025,32595,32848,32202,31231,30638,29942,28981
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9563,9577,9378,9623,9632,9613,9507,9547,9667,9631,9678,9664,9835,10129,10066,10226,10256,10373,10349,10427,10388,10415,10442,10484,10575,10509,10556,10523,10557,10571,10679,10465,10548,10606,10768,10701,10698,10933,10919,11170,11239,11416,11461,11512,11428,11528,11549,11614,11528,11443,11391,11254,11142,11190,11141,11311,11273,11196,11105,11022,11043,10882,10864,10771,10897,10878,10940,10925,10980,10882,10872,10995,10951,11311,11412,11401,11243,11157,11190,11004,10982,10986,11012,10969,10905,10884,10926,10913,11091,11151,11283,11407,11549,11672,11723,11746,11770,11729,11669,11621,11622,11625,11488,11541,11562,11761,11808,12036,12447,12388,12489,12506,12527,12670,12740,12822,12772,12662,12783,12669,12540,12427,12641,12973,12791,12755,12910,12853,12936,12902,12919,12848,12740,12645,12555,12510,12527,12473,12592,12599,12444,12316,12154,11807,11894,11675,11689
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40171,40228,40679,41159,41797,42606,41295,41375,42082,42760,43407,44402,44318,44933,45163,45353,46091,46386,47009,47415,48198,48893,49089,50068,50393,50657,51037,51489,51055,51218,51553,51453,51450,51402,51678,51167,50892,51110,51377,51862,52163,52486,52010,52620,52645,52183,52468,51914,52432,52405,52464,51949,52724,52176,51631,50924,50753,50511,49518,48993,48988,48358,48053,47471,46793,46578,46958,46653,46342,45875,45804,46220,45927,46253,46168,46266,46181,45490,45249,45014,44907,44576,44649,44117,44338,44709,44064,44001,44309,45001,45331,45706,45800,46439,46779,47515,47335,47811,48316,48478,48347,48764,49033,49762,49751,49950,50490,50522,50502,50286,50746,51191,51596,52295,52314,52508,52852,53361,53010,52362,53335,53758,52822,52785,52994,52625,52600,52579,53175,53574,53653,53805,54209,54457,54739,54946,54808,54154,55460,55784,56689,56525,56566,57081,57800,57152,57034
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",14814,14869,15238,14718,14336,14956,15065,15350,15444,15147,15499,16125,16071,16347,16220,16354,16626,16774,16889,17516,18152,18550,18539,18623,18730,18702,19155,18904,18961,18885,18658,18730,18876,18955,19201,19057,19113,19482,19509,19765,20154,20740,21111,21052,20620,20766,20889,21098,21557,21285,21335,21265,21600,20274,20294,20060,20009,19948,20080,19950,19815,19762,19677,19676,19321,19426,19044,19182,18938,19082,18904,18996,18947,19132,19018,19201,19058,18933,18928,18729,18925,18915,18903,19229,18726,18334,18481,18522,18481,18873,19338,19531,19852,19898,19898,19798,20113,20285,20223,20133,20368,20185,20447,19835,20303,20731,20789,20702,20295,19877,19730,19529,19336,19149,18736,18948,18996,18377,18724,18844,18297,18822,18861,18904,18623,18432,17978,18115,18183,17972,17699,17012,17531,17523,17457,17492,17666,17629,17725,18010,18148,17962,18443,18401,18434,18409,18108
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92212,92161,92081,91808,91853,93053,94115,94915,95088,96481,97913,98242,97981,99107,99197,98734,99882,100513,100947,101823,102992,102769,104238,103620,103617,104922,105257,106263,105314,104922,106540,107503,107624,108612,109188,109154,110526,110364,110743,110836,110905,110922,111583,112222,112958,113643,114287,114213,113112,113623,114417,116063,117961,119291,118732,119882,120291,118861,119709,119882,120464,119745,120285,119556,120219,121055,121652,120912,120920,120100,119925,121661,121597,120663,120775,120762,120362,120281,121196,121262,122161,123306,123071,121473,120278,120921,120127,119066,118832,119057,121414,121015,120113,121718,122617,122409,123773,123516,123625,125126,124852,124577,124158,124692,125516,124360,124050,125480,125486,126765,126525,126630,127091,127555,127578,129058,128550,129095,131027,129252,128355,128801,128905,130465,130228,131462,133243,133746,134968,134714,134552,134793,134686,134562,132208,132471,131898,132404,132474,132194,131260,131081,132441,133777,135041,135614,135564
"50","42","D     Paper and paper products wholesalers","KS42210",7645,7705,7726,7803,7941,7803,8130,8342,8233,8178,8207,8266,7963,8306,8353,8344,8332,8319,8303,8310,8285,8160,8355,8417,8395,8484,8548,8579,8569,8605,8662,8681,8678,8630,8679,8463,8695,8675,8798,8773,8762,8723,8759,8827,8824,8942,8938,8942,8818,8954,8853,8846,8868,8786,8703,8673,8692,8681,8605,8520,8514,8400,8364,8353,8421,8518,8379,8338,8348,8259,8322,8300,8277,8405,8364,8413,8336,8300,8306,8246,8211,8285,8292,8424,8427,8411,8544,8504,8397,8652,8812,8821,8854,8904,8863,8900,8834,8811,8666,8813,8922,8963,8873,9084,9028,8984,9132,9158,8895,8882,8806,8900,8888,8765,8820,8811,8890,8866,8839,8968,8944,8924,8816,8947,8949,9079,9263,9127,9065,9102,9071,9023,9032,9032,9065,8974,8850,9015,9141,8990,8951,8966,8892,8819,8827,8569,8424
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14084,13849,14148,13885,14169,14456,14618,15184,15267,14957,15453,15568,15822,16260,16349,16304,16531,16054,16055,16130,16052,16187,16461,16528,16866,17159,17387,18149,18567,18830,19172,19391,19303,19840,19747,19706,20238,20417,20810,20959,20931,21528,22072,22164,22663,22967,23229,23951,23666,23460,24425,25148,26302,26974,26787,27861,29154,28844,29723,30373,30389,30015,30153,29728,29472,29751,29172,29005,29508,30255,30080,31198,31219,31780,32237,32784,32768,32188,32875,32970,32312,32089,32173,31257,30969,31862,31898,31123,31422,31481,32032,31871,31437,31471,31465,30714,31133,30298,30022,29973,29836,29428,28722,28378,29171,28940,28769,29624,28685,29590,29971,30101,29917,30670,30397,31762,30769,29563,30247,30176,29818,29841,29513,30169,30545,30184,30155,30496,30067,30034,30314,30443,30264,30745,30614,30612,30936,30025,31465,31292,30489,30834,30670,30264,30170,30770,30298
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11707,11854,11992,12048,12156,12384,12426,12402,12358,12943,12922,12860,12874,12601,12646,12701,12654,12769,12706,12894,12770,12852,12907,12873,12376,13020,12539,12254,12089,11848,11862,11828,11650,11743,11926,12084,12319,12279,12268,12428,12528,12222,12323,12198,12282,12158,12160,12049,12107,12479,12616,12836,13088,13143,12855,12825,12799,12777,12332,11938,12220,12040,11858,11509,11605,11916,12166,12476,12898,12517,12400,12506,12452,12237,12449,12508,12327,12501,12471,12191,11936,11562,11774,11806,11554,11648,11683,11544,11630,11270,11370,11598,11886,12102,12650,12069,12301,12299,12399,12719,12734,12852,12763,12757,12659,12733,12700,12364,12106,12379,12416,12415,12410,12546,12815,12926,13197,13241,13393,13751,13969,13945,13847,13528,13653,13952,14111,14191,14090,14021,13826,13695,13975,14031,14303,13954,13826,13931,13844,13532,13969,13998,14026,14169,14168,14144,13736
"53","45","D     Grocery and related products wholesalers","KS42240",16995,16878,16852,16614,16860,17043,17080,17005,16970,17568,17716,17816,18038,18267,17709,18085,18344,18213,18263,18250,18109,17883,17995,17795,17865,18235,18465,18968,18800,18289,18956,19102,19174,19332,19824,19800,19719,19824,19710,19678,19498,19307,19586,19695,20080,20185,20709,20249,19955,19773,19618,19598,19336,19442,19055,19268,19052,18606,18943,19048,19047,18867,19170,19412,20022,20554,20709,20946,20600,20801,20607,20710,21117,21015,20698,20271,19908,19892,20048,20026,20426,19741,19703,20078,19828,20016,20202,20185,20164,20159,20465,20307,19999,20373,20458,19986,20285,20275,20189,20339,20322,20209,20243,20603,20900,20939,21141,21329,21276,21447,21365,21404,21175,21687,21791,22077,22168,22207,22815,22741,22786,23018,23250,23254,23566,23847,23903,23760,23679,23609,23571,23677,23589,23218,23246,23372,23418,23441,23617,23980,23975,24165,23925,24107,24024,24004,23619
"54","46","D     Farm product raw material wholesalers","KS42250",9834,10041,9847,9830,9632,9839,10343,10163,10042,10782,11313,10736,10610,10531,10417,9977,10062,10762,11016,11491,12380,12674,12824,12645,12506,12501,12717,13120,12979,13005,13244,13947,14024,14171,13769,13588,13979,13713,13868,13846,13882,13724,13717,13932,14116,14309,14323,14209,13964,14070,13969,14197,14716,14791,15076,15030,14825,14068,14395,14558,14649,14740,14914,14779,14855,15010,15734,14902,14293,13471,13730,13752,13482,13103,12833,12780,12926,13127,13273,13464,13855,16017,15522,14811,14860,14755,14535,14229,13657,13373,12985,13015,12958,13092,12969,13425,13762,14309,14983,15332,15240,15342,15524,15420,15260,15144,14500,14867,14947,15230,14931,15015,15550,15621,15819,15844,15132,16776,17295,16443,15709,15154,15064,15060,15126,15864,16729,17619,18717,18576,18453,18297,18091,17713,16580,16507,16307,16890,16144,16065,15588,15515,15972,16331,16721,16376,16781
"55","47","D     Chemical and allied products wholesalers","KS42260",4662,4673,4731,4674,4546,4913,4952,4942,4923,4943,5011,4915,4963,4826,4821,5002,5161,4948,5147,5123,5259,5236,5342,5331,5446,5469,5373,5392,5356,5318,5400,5308,5332,5349,5346,5487,5427,5435,5488,5446,5366,5404,5337,5337,5195,5152,5103,5088,5004,4894,5048,5237,5154,5195,5197,5209,5305,5352,5288,5283,5285,5336,5363,5346,5393,5376,5245,5477,5520,5503,5578,5572,5649,5479,5343,5273,5288,5313,5324,5222,5238,5175,5102,5349,4844,4914,4836,4835,4854,4847,4955,4935,4941,5018,5035,5067,5150,5299,5296,5444,5396,5459,5431,5441,5318,5224,5159,5100,5212,5177,5261,5304,5276,5279,5124,5129,5072,4979,5039,5083,5297,5315,5303,5267,5155,5194,5307,5130,5165,4952,5037,5166,5081,5082,5096,5115,4970,4809,4970,4925,4794,4766,4727,4936,4807,4871,4578
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6343,6336,6291,6367,6543,6409,6383,6282,6391,6433,6421,6630,6735,6735,7001,7241,7529,7415,7403,7459,7928,7542,7349,7363,7636,7743,7461,7081,6812,6912,6824,6491,6540,6400,6317,5931,5834,5676,5581,5573,5534,5631,5439,5605,5420,5336,5523,5452,5311,5475,5533,5535,5598,5694,5945,5925,5817,6230,6560,6797,7264,7298,7168,7005,6790,6597,6619,6424,6452,6082,6058,6295,6066,5511,5321,5570,5934,6091,5810,6039,6216,6290,6244,6018,5772,5743,5559,5448,5359,5436,6245,6278,6026,6244,6207,6735,6969,6861,7206,7132,7129,6896,7256,7322,7250,6837,6878,6865,7667,7601,7268,7004,7097,6862,6868,6604,7012,7117,7134,6388,6350,6519,6637,6928,6695,6700,6599,6440,6466,6506,6354,6555,6431,6472,6117,6400,6171,6326,6358,6496,6636,6353,6980,7452,8249,8520,9369
