"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"12","4","Equals: Gross national product","A001RX1",1945.1,1943.4,1941.4,1972.4,2002.3,2035.3,2046.6,2048.8,2020.4,2013.3,2035,2015.8,2096.4,2160.2,2245.1,2288.2,2318.7,2361,2409.9,2416.1,2440.5,2445.7,2463,2543,2589.8,2610.8,2594.6,2555.5,2544.9,2547.4,2576.3,2628.2,2703.1,2746.5,2783.4,2800.4,2791.7,2814.3,2812.5,2855.8,2877.2,2872.4,2899.2,2865.4,2792,2810.6,2874.5,2941.2,2995.5,3067.9,3063.3,3076.4,3143.8,3132.4,3140.9,3104.3,3126.5,3183,3236.2,3301.9,3360.8,3398.9,3431.3,3448.1,3484.9,3529,3597.8,3624.2,3704.4,3746.9,3798.3,3809.6,3906.6,3960.6,4038.2,4130,4232.3,4249.6,4279,4316.7,4355.8,4358.8,4399,4433.3,4523.4,4599.9,4633.7,4653.9,4725.9,4739.8
"13","5","Less: Consumption of fixed capital","A262RX1",190.7,192.2,193.2,193.1,192.6,192.4,192.6,192.9,193.8,194.4,195.3,195.9,196.8,198,199.3,201.1,203,205.2,207.5,210,212.6,215.4,218.4,221.5,224.8,228.1,231.2,234.2,237.5,240.3,243.1,245.7,248.5,251.3,254.1,256.7,259.7,262.6,265.5,268.2,271.1,274,277.2,280.6,284.2,287.5,290.4,292.9,295,297.1,299.2,301.5,303.8,306.1,308.8,311.6,314.7,317.8,320.9,324.1,327.7,331.1,334.8,338.7,342.8,346.7,350.8,355,359,363.3,367.8,372.5,377.4,382.7,388.2,393.8,399.8,405.8,411.8,417.9,423.9,430,436,441.9,447.7,453.7,459.7,465.7,472,477.9
"14","6","  Private","A024RX1",111.6,113.8,116,118.4,120.8,123.1,125.3,127.2,129,130.7,132.5,134.2,136,137.8,139.6,141.4,143.2,144.9,146.5,147.8,149.1,150.4,151.9,153.6,155.5,157.3,159.1,160.9,162.6,164.4,166.3,168.2,170.1,172.2,174.2,176.4,178.5,180.6,182.7,184.6,186.5,188.5,190.8,193.3,196,198.3,200.2,201.7,202.7,203.8,204.8,205.9,206.9,208.1,209.6,211.2,213.1,214.9,216.8,218.7,220.7,222.7,225,227.4,230,232.6,235.3,237.9,240.6,243.6,246.8,250.2,254,257.9,262.1,266.5,271.1,275.6,280.1,284.4,288.7,293,297.2,301.4,305.5,309.8,314.3,318.9,323.8,328.5
"15","7","  Government","A264RX1",85.8,85.1,83.6,80.8,77.5,74.6,72.2,70.4,69.3,68,66.9,65.4,64.4,63.6,62.9,62.8,62.8,63.3,64.1,65.4,66.9,68.5,70.1,71.8,73.4,75,76.4,77.8,79.5,80.6,81.6,82.4,83.2,84.1,84.8,85.3,86.1,86.9,87.8,88.6,89.7,90.6,91.6,92.6,93.5,94.5,95.6,96.7,97.9,99.1,100.3,101.7,103.1,104.4,105.7,107,108.3,109.7,111,112.5,114.3,115.7,117.3,119,120.5,122,123.5,125.2,126.6,128,129.4,130.6,131.9,133.2,134.6,135.8,137.3,138.7,140.4,142.2,144,145.9,147.8,149.6,151.3,153.1,154.7,156,157.5,158.6
"16","8","    General government","A265RX1",80.8,80.1,78.6,75.8,72.6,69.7,67.4,65.6,64.4,63.1,62,60.6,59.5,58.7,57.9,57.8,57.8,58.2,59,60.2,61.6,63.1,64.6,66.2,67.8,69.3,70.6,72,73.5,74.6,75.5,76.2,77,77.8,78.4,78.9,79.6,80.4,81.2,81.9,82.9,83.7,84.6,85.5,86.4,87.3,88.3,89.3,90.4,91.5,92.7,93.9,95.2,96.4,97.6,98.8,100.1,101.3,102.5,103.8,105.5,106.8,108.3,109.8,111.2,112.6,114,115.6,116.9,118.1,119.4,120.5,121.6,122.9,124.1,125.2,126.5,127.8,129.3,131,132.6,134.5,136.2,137.8,139.4,141,142.5,143.6,144.9,145.8
"17","9","    Government enterprises","A266RX1",3.9,3.9,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.9,5,5.1,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.5,5.6,5.6,5.7,5.8,5.8,5.9,6,6,6.1,6.2,6.3,6.3,6.4,6.5,6.5,6.6,6.7,6.8,6.9,6.9,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.9,9,9.1,9.2,9.3,9.5,9.6,9.7,9.8,9.9,10.1,10.2,10.3,10.5,10.6,10.8,10.9,11.1,11.3,11.4,11.6,11.8,11.9
"18","10","Equals: Net national product","A027RX1",1775.4,1771.8,1768.5,1800.6,1832.1,1866.4,1878,1879.7,1849.3,1841.2,1862.5,1841.9,1924.3,1989,2075.4,2117.8,2147.1,2188.2,2236.1,2239.3,2261.3,2263,2277.2,2356.3,2400.7,2418.3,2397.4,2352.7,2337.5,2336.5,2362.9,2413.4,2487.7,2529.1,2563.9,2578.2,2565.1,2584.9,2579.2,2620.7,2639.2,2630.3,2654,2614.1,2532.7,2547.8,2610.6,2676.8,2730.6,2803.2,2795.6,2806.3,2873.5,2858.4,2863.9,2822,2841.1,2895.9,2947.2,3011.2,3067.9,3103.1,3131.9,3144.3,3177.2,3217.9,3284.2,3306.1,3384.2,3422.9,3470.3,3476.2,3570.4,3619.7,3693.2,3781.3,3879.6,3889.9,3912.8,3944.2,3977.1,3972.6,4006.7,4034.8,4120.9,4192.6,4220,4233.4,4299.9,4307.1
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",1910.7,1909.1,1912.1,1930.1,1982.5,2028.3,2029.6,2039.6,1999.6,1993.9,2006,1977.7,2058.2,2142.4,2223.7,2266.8,2278.8,2319.1,2359.5,2380.3,2396.1,2410.3,2432.7,2507.1,2551.9,2569.6,2553.2,2501.8,2507.8,2512,2534.6,2588,2659,2713.4,2748.9,2769.8,2772.8,2801.2,2804.1,2852.3,2859.2,2856.7,2869.5,2838.4,2777.2,2785.2,2846.8,2907.2,2973.6,3054.6,3029.8,3051,3118.8,3117.7,3117.3,3100.3,3106.9,3159.6,3210.1,3286,3325.5,3362.5,3396.7,3436.7,3465.9,3516.5,3564.1,3595.3,3655.2,3708.8,3761,3797.2,3881.9,3931.8,3987.1,4074.6,4163.9,4191.5,4220.3,4257.6,4282.6,4306.2,4351.4,4395.3,4461.5,4529.7,4588.7,4617,4661,4693
"21","12","  Gross national income \2\","A023RX1",1923.2,1922.1,1925.1,1943.7,1997.2,2043.6,2045,2055.1,2014.4,2008.4,2020,1990.8,2072,2157,2240.6,2283.7,2295.1,2337.7,2378.9,2400.7,2415.4,2429.8,2451.9,2526.2,2570.7,2589.5,2571.3,2519.8,2527,2531.2,2553.9,2609.4,2681,2735.2,2770.8,2792.2,2797.1,2825.2,2828.6,2874.6,2884.5,2883.6,2895.4,2860,2799.2,2807.4,2868.6,2928.8,2995.4,3076.3,3052.9,3075.2,3142.5,3141.8,3142.2,3126.2,3134.1,3185.7,3236.6,3313.3,3352.6,3391.8,3426.4,3470,3498,3547.8,3595.8,3628,3690.3,3742.7,3796.1,3830.1,3918.7,3969.6,4023.1,4107.8,4198.1,4225.8,4254.2,4292.7,4317.4,4340.2,4388.2,4431.5,4498.5,4567.4,4627.5,4655.5,4699.6,4730.7
"22","13","  Net domestic product","A362RX1",1762.7,1758.6,1755.3,1786.8,1817.1,1850.7,1862.2,1864,1834.2,1826.4,1848.1,1828.6,1910.2,1974,2058.1,2100.5,2130.3,2169,2216.2,2218.4,2241.4,2243,2257.4,2336.8,2381.3,2397.9,2378.8,2334.2,2317.8,2316.9,2343.1,2391.5,2465.3,2506.9,2541.5,2555.3,2540.3,2560.2,2554,2598,2613.2,2602.7,2627.4,2592,2510.3,2525.1,2588.4,2654.7,2708.5,2781.1,2772.2,2781.6,2849.4,2834,2838.6,2795.6,2813.4,2869.3,2920,2983.4,3040.1,3073,3101.5,3110.2,3144.5,3186.1,3251.7,3272.8,3348.2,3388.1,3434.5,3442.5,3532.8,3580.9,3656.6,3747.3,3844.5,3854.8,3878.3,3908.3,3941.6,3937.8,3969,3997.9,4083.1,4154,4180.4,4194.1,4260.4,4268.7
"23","14","  Net domestic income \3\","W256RX1",1740.1,1736.6,1738.4,1757.1,1811.9,1859.3,1860.5,1870.4,1827.9,1821.3,1832.7,1802.6,1884.9,1970.9,2053.4,2095.8,2105.8,2144.9,2184.1,2202.4,2215.4,2226.5,2245.9,2319.3,2361.5,2375.8,2354.6,2297.2,2299.3,2300.1,2319.9,2372,2442.2,2495.2,2528.4,2546.8,2545.9,2571.6,2570.9,2617.6,2620.9,2614.4,2623.5,2586.4,2517.8,2521.8,2582.2,2641.8,2708.4,2789.8,2761.3,2780.2,2848,2843.7,2839.8,2818.3,2821.2,2872,2920.5,2995.3,3031.6,3065.7,3096.4,3132.8,3158.1,3205.6,3249.8,3276.7,3333.5,3383.8,3432.4,3463.8,3545.2,3590.4,3640.8,3724.3,3809.1,3830.2,3852.5,3883.6,3901.7,3918.7,3957.9,3996,4057.5,4120.5,4173.8,4195.7,4233.3,4259.4
"24","15","  Net domestic purchases","W367RX1",1716.2,1715.1,1712,1765.5,1811.1,1860.8,1873.7,1878.4,1832.2,1824.3,1853.6,1849.3,1936.2,2004.5,2106.8,2142.8,2168.4,2193.5,2229.3,2230.2,2258.2,2273.9,2304.1,2393.9,2438.3,2460.4,2436,2388.4,2370.1,2364.1,2387.7,2433.1,2510.4,2562.1,2591.8,2609.6,2593.4,2604.4,2594.5,2627.1,2642.4,2637.5,2664.6,2633.4,2565.9,2585.7,2648.3,2723,2773.1,2849.3,2837.1,2847,2904.1,2879.2,2884,2830,2848.7,2910,2971.6,3034.9,3097.9,3118.8,3160.1,3174.5,3202.2,3228.4,3309.7,3321.7,3387.4,3428.4,3481.9,3488.5,3597.6,3630.8,3721.9,3808.7,3917.1,3922.9,3966.9,3992.7,4025.6,4022.3,4062.7,4097.1,4190.9,4262.6,4289.5,4304.8,4380,4382.6
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
