"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRV1",2.8,2.2,3.5,1.1,1.5,6.6,8.9,5.5,4.5,5.6,6.6,8.7,6.7,3.9,2,1.5,1.1,1.1,2.9,1.6,1.8,1,1.5,0.7,1,2,0.7,-1,-2.2,-2.8,-2.7,-1.8,-2,-2.5,-3.6,-1.9,-1,-1.6,-2,-1.9,-1.7,-1.4,-1,-1.2
"12","5","      Motor vehicles and parts","DMOTRV1",2,3,4.8,0.2,0.5,6.2,9.9,7.6,5.8,6.9,7.5,7.4,7.7,4.7,3.1,2.9,2.3,2.8,4.6,1.6,3,0.3,2.8,1.9,3.9,4.6,4,2,0.4,-1.1,0.3,0.4,0.4,-0.5,-2.8,-0.8,1.5,0.1,-0.6,-2.3,0.3,5.7,2.8,1.6
"13","6","      Furnishings and durable household equipment","DFDHRV1",3.6,2.2,1.8,1.4,2.4,8.1,9.9,4.3,3.7,5.1,6.2,8.1,7.4,5.2,2.3,1.2,1.1,1.1,1.6,1.4,0.3,1,0.6,1.2,0.5,1.5,-0.2,0.3,-0.1,-0.1,-1.3,-0.7,-1.7,-2.1,-2.8,-1.2,0,-0.5,-0.8,-0.7,-0.4,-4.2,-1.6,-0.3
"14","7","      Recreational goods and vehicles","DREQRV1",2.3,0.1,3.6,1.4,1.5,4.4,6.6,3.4,2.9,3.6,4.5,5.6,4.5,2.3,-1.2,-1.4,-1.8,-3.2,-1.3,-0.6,-0.3,-0.8,-1.3,-3.1,-3.6,-2.1,-4.2,-7.1,-8.4,-8.4,-8.7,-6.3,-6.8,-6.5,-6.3,-4.9,-5.4,-6.1,-6.9,-5,-6.3,-7.1,-6.7,-6.1
"15","8","      Other durable goods","DODGRV1",5,2.6,2.7,3.2,3.3,7.7,7.6,4.9,4.4,5.6,8.2,20.5,5.5,1,3.2,2.1,1.1,2.4,6.8,6.5,4.6,6.3,3.7,2.6,0.8,1.6,1.7,-0.6,-1.4,-1.8,-2.5,-1.3,0.3,-1.4,-1.9,-0.3,-0.6,1.5,2.6,3.3,1.1,0.4,3.2,0.6
"16","9","    Nondurable goods","DNDGRV1",4.3,4.5,2.8,3.2,8.1,15.1,7.7,3.3,5.7,6.4,10.8,12.3,7.7,2.3,1.7,2.1,1.9,-1.3,3.4,3.2,5,5.7,2.9,1.5,0.8,0.5,1,2.3,1,-0.7,2.5,4.3,1.1,0,2.1,3.5,3.8,3.1,2.9,5.6,-2.6,3.1,5.9,2.4
"17","10","      Food and beverages purchased for off-premises consumption","DFXARV1",4.5,5.6,2.3,4.8,12.7,15.2,7.5,1.9,5.9,9.6,9.8,8.4,7.1,2.6,1.1,3,1.1,2.4,3.2,3,5.3,4.9,3.1,0.8,1.4,1.7,2.2,3.1,1.9,1.3,1.6,2.3,2.9,1.5,1.9,3.1,1.7,1.7,3.9,6.1,1.2,0.3,4,2.3
"18","11","      Clothing and footwear","DCLORV1",5.4,3.7,3.6,1.8,3.3,7.4,4.5,3.2,4.3,1.9,2,3.7,3.3,1.5,1.4,0.5,2.1,-0.4,2.9,3.2,1.5,3.3,1.9,0.7,-0.5,-1.7,-2.3,-1.2,0,-1.8,-1.3,-1.2,-2,-2.6,-2.5,-0.3,-0.9,-0.4,-0.9,-0.8,0.9,-0.7,1.7,3.6
"19","12","      Gasoline and other energy goods","DGOERV1",3.1,1.4,1.6,1.2,10.4,39.1,7,4.8,7.1,4.6,34.7,39.1,12.8,-4.6,-3.9,-1,0.2,-21.5,3.7,0.7,8.9,14.5,-1.7,-0.8,-1,0.2,1.3,6.8,0,-12.8,8.2,29.3,-3.4,-6.4,16.9,17.5,22.5,12.9,8.3,18,-27.2,18.1,25.8,3.4
"20","13","      Other nondurable goods","DONGRV1",3.7,4.7,3.8,2.5,2.7,9.8,11.5,5.2,5.8,5.4,6.5,9.1,8.5,7.7,6.9,3.7,3.9,4,4,4.5,5.5,5.1,5.3,3.8,1.7,0.7,1.8,1.9,1,1.9,3.9,2.2,2.3,1.8,0.3,1.2,1.5,2.1,1.4,2.4,4.6,2,1.6,1.7
"21","14","  Services","DSERRV1",5.2,5.5,5.5,4.2,4.8,8.5,8.6,6.9,7.5,7.8,8.4,10.3,10.2,7.8,6.2,5.2,5,4.1,2.9,4.8,4.6,4.5,3.8,3.5,3.5,2.7,2.7,2.7,2.8,2.1,2,2.8,3.1,2.6,3.1,3,3.3,3.4,3.2,3.1,1.1,1.7,1.8,2.2
"22","15","    Household consumption expenditures","DHCERV1",5.2,5.6,5.5,4.3,4.8,8.3,8.6,7,7.6,7.8,8.3,10.4,10.4,8.2,6.7,5.5,5.2,4.3,3.1,4.9,5,4.9,4.2,4,3.8,2.8,2.8,2.8,2.7,1.9,2,2.7,3,2.7,3.4,3.2,3.4,3.5,3.3,3.2,1.3,1.8,1.8,2.3
"23","16","      Housing and utilities","DHUTRV1",3.2,4.4,5.1,3.8,4.5,5.5,7.9,7.2,8.9,7.1,8.1,10.5,11,9.2,6.5,5.1,5.3,4.8,3.6,4,4,4.3,3.3,2.8,2.9,2.6,2.7,3,2.7,2.4,2.4,3.4,4.6,2.9,3.2,2.8,3.5,4.2,3.5,3.5,1.1,0.2,1.4,1.9
"24","17","      Health care","DHLCRV1",7.1,7.6,5.2,4.2,4.7,9.5,11.2,9.6,8.3,8.4,9.7,12.1,12.2,11.3,9.1,7.5,6.1,5.9,6.4,7.8,8.8,8.5,7.7,7,5.3,4.1,3.6,2.4,2,1.9,2.2,2.8,3.4,2.6,3.8,3.7,3.2,3,3.7,2.7,2.7,2.5,1.8,1.8
"25","18","      Transportation services","DTRSRV1",6.2,7.7,7,3.8,4.4,8.6,11.1,7.5,6.9,6.6,8.9,16.1,12.2,5.5,3.8,3.9,2,1,4.2,4.7,4.4,3.8,2.7,2.8,3.5,1.2,2.2,1.3,2.2,1.8,1.5,3,1.1,0.5,2.2,1.5,3.6,4.1,2.3,5.3,3.1,2,2.7,1.9
"26","19","      Recreation services","DRCARV1",4.2,4.6,4.4,2.6,3.5,6.9,7.4,4.9,4.8,6,6.6,7.6,6.4,5.5,4.3,4.3,4.3,3.9,3.9,3.8,5,5.5,5.2,3.1,3.2,2.1,2.2,3.3,3.2,2.5,3.2,3.9,3.3,2.9,3.1,2.6,2.8,3.4,2.8,3.1,1.2,1.1,1.7,2.7
"27","20","      Food services and accommodations","DFSARV1",6,7.4,5.3,3.7,6.8,11.6,9,6.6,7.2,8.7,10.8,9.7,8.9,5.7,4.3,4.5,4.3,4.1,4,4.3,4.5,4.6,4,2.1,2,1.8,2.4,2.7,3,2.7,2.6,2.8,2.9,2.4,2.1,3.3,3.2,3.4,3.9,3.9,2.2,1.3,2.5,2.8
"28","21","      Financial services and insurance","DIFSRV1",8.9,5.1,6,6.1,2.4,8,7.4,4,7.7,13.2,5.4,7.7,7.6,5.8,9.6,6.3,8.4,1.5,-4.8,4.8,2.9,1.4,-0.6,3.3,5.3,1.9,2.2,3.4,4,0,-0.7,1,-0.4,2.4,4.4,3.8,3.1,2.7,2.9,1.1,-4.4,4,1.9,3.9
"29","22","      Other services","DOTSRV1",4.8,4.8,5.9,5.1,5.9,10.8,7.2,6.2,5.1,5.2,7.3,9.1,10.2,7.8,5.6,5.1,3.6,5.2,2.4,4.2,3.8,4,4.8,4.3,3.5,3.7,3.3,2.9,2.8,2,2.5,1.9,3.1,3.9,3.7,3.3,3.7,3.4,2.8,4.1,2.6,2.4,1.8,2.1
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRV1",6.3,4.4,5.6,4.1,6.4,14.5,9.2,5.2,6.8,6.6,9.8,9.3,5,-5.2,-7.5,-4.3,-2.2,-3.3,-1.9,-1.2,-6.5,-8.4,-7.5,-9.1,-5.3,-0.2,-0.1,1.7,4.2,6.8,3.6,5.5,4.7,0.4,-2.5,-1.5,2.1,0.9,1.3,0.7,-3,-1.1,0.7,-0.7
"31","24","Gross private domestic investment","A006RV1",4.8,4.3,5,4.2,5.4,10,12,5.5,7.4,8.1,9,9.4,9.3,5.3,0.3,1.1,1.2,2.2,2.1,2.5,2.5,2.1,1.7,0,1.2,1.5,1.6,-0.1,0.1,-0.7,0.2,1.4,0.9,0.4,1.2,3.2,4.3,3.8,1.9,1,-1,-0.9,1.3,1.3
"32","25","  Fixed investment","A007RV1",5,4.4,5,4.3,5.6,9.9,12.1,5.8,7.7,8.4,9,9.3,9.2,5.6,0.4,1,1.5,2.4,2,2.8,2.6,2.2,1.7,0,1.2,1.5,1.6,0.1,0.2,-0.5,0.2,1.5,1,0.4,1.3,3.2,4.4,3.9,1.9,1,-1,-0.8,1.3,1.3
"33","26","    Nonresidential","A008RV1",4.2,4.8,4.7,3.4,4,9.7,13.2,5.5,6.6,6.7,8,8.8,9.5,5.7,-0.2,0.3,1,1.8,1.1,2.5,2.3,2.1,1.9,-0.4,0.2,0.8,1,-0.6,-0.6,-1.6,-0.9,0.5,-0.3,-0.4,-0.2,1.4,3,2.9,2.1,1.8,-0.3,-0.9,1.5,1.4
"34","27","      Structures","A009RV1",6.6,6.6,7.7,7.2,7.7,13.8,11.9,4.9,8.7,9.7,11.6,9.3,13.7,7.9,-2.5,0.9,2.4,1.9,1.6,4.2,3.9,3.2,1.8,0,2.9,3.5,4.3,2.5,3.8,4.6,3.1,3.9,5.2,4.2,3.6,7.5,12.6,12.2,6.1,4.8,-2.2,-1.2,2.9,1.9
"35","28","      Equipment","Y033RV1",2.8,3.7,3.2,1.3,1.7,7.5,15.2,6.1,6.1,5.6,6.5,8.8,7.3,4.1,0.3,-0.8,0,2,0.7,1.4,1.9,2,1.7,-0.2,-1.2,-0.2,-1.1,-2.3,-2.8,-4.5,-3.9,-2.2,-2.9,-2,-1.7,-0.2,0.3,-0.3,0.3,0.1,1.3,-2,0.9,1.3
"36","29","        Information processing equipment","Y034RV1",0.8,0.8,-2.3,-2.3,0.6,1.5,6.5,1,-1.6,-4,-1.3,0.4,2.2,1.1,-2.9,-4.8,-4.1,-2.9,-3.3,-1.4,-1.3,-2.2,-2.3,-4,-5.1,-4.3,-6.3,-10.1,-9.7,-12.9,-11.3,-6.3,-8.4,-6.6,-6.9,-4.6,-4.4,-4.9,-3.7,-4.3,-3.5,-1.7,-1,-1.2
"37","30","          Computers and peripheral equipment","B935RV1",-9.5,-10.2,-23.9,-19.3,-5.2,-18.4,-7.5,-16.5,-13,-32.4,-17.1,-22,-12.1,-10,-16.6,-19.1,-15,-13.9,-14.8,-7.1,-6.6,-9.3,-10.2,-14.7,-15,-12.1,-16.3,-23.7,-22.9,-25.7,-22.1,-12.5,-17.2,-13.1,-10.6,-7.2,-11.8,-12.4,-10.2,-9.8,-8,-4,-4.1,-2.1
"38","31","          Other","A937RV1",3.3,3.6,3.6,2.5,2,6.4,9.4,4.6,0.8,4.1,2.9,7.4,7,4.7,2.8,2.2,1.5,2.5,2.4,1.4,1.3,1.2,1.3,1,-0.2,-0.5,-0.9,-1.5,-1.3,-4.4,-4.2,-2.5,-3.5,-3.2,-5,-3.4,-0.8,-1.3,-0.8,-2,-1.6,-0.7,0.3,-0.8
"39","32","        Industrial equipment","A680RV1",3.4,5,4.5,2,2.8,9.4,20.5,8.4,9.1,8.8,9.8,13,9.6,4.8,2.1,1.1,1.7,4.6,4.3,4.5,3.6,4.8,3.6,2.2,1.4,2,3.4,2.1,0.7,0.6,0.6,0.6,0.7,0,0.8,2.5,3.7,3.1,3.7,4.4,1.3,1.1,2.9,1.7
"40","33","        Transportation equipment","A681RV1",3,4.8,5,2.1,1.1,9.3,11.2,7.2,7.8,9,8.6,10.5,7.5,4.5,1.5,1,3,6.3,1.6,1.1,3.4,4.4,5.1,2.1,0.5,2.8,0.2,2.7,2.7,0.4,0.4,0,-0.3,1.5,2.3,4.1,0.6,0.7,1.5,0.5,7.3,-6.9,1.9,2.2
"41","34","        Other equipment","A862RV1",3.6,3.6,4.8,2.8,2.1,8.9,21.6,7.4,8.8,8.3,8.7,12.2,11.2,7.1,2.2,1.9,2,3.2,2.5,3,4.1,4,3.3,2.2,1.8,1.7,2.1,2.7,1.3,1.5,1.3,0.6,1.4,0.8,0.9,0.8,4.3,2.3,2,2.6,6,-2.8,1.3,3.4
"42","35","      Intellectual property products","Y001RV1",4.4,4.8,3.7,3,4.9,9.3,8,4.4,4.4,5.2,6.6,7.7,7.5,5.7,3.7,2.8,1.7,0.8,1.8,3.1,1.3,1,2.4,-1.2,0.7,0.4,2.8,0.3,0.6,-0.4,1.9,3.3,0.3,-1,-0.2,-0.1,0.9,1.6,1.7,1.7,-0.8,0.5,1.2,1.4
"43","36","        Software \1\","B985RV1",0.9,1.7,-2.4,-1.8,1.9,3.9,4.2,0.2,1,-2.2,3,2.5,3.6,2.7,-1,-1.7,-1.8,-3.6,-0.7,-1.1,-4.9,-3.5,-0.4,-8.3,-0.6,-3.3,-0.6,-2.4,-2.9,-3,1.2,3,0.4,-1.8,-2.3,-2.4,-0.5,1.2,0.6,0.9,-0.9,-0.9,0.1,-0.6
"44","37","        Research and development","Y006RV1",3.8,4.1,3.9,3.4,6.1,11.8,8.6,5.3,5.4,6.3,8.5,10.3,9.1,7.2,4.9,4,2,1.4,2.1,4.7,3,2.3,2.9,2.4,1.2,2.1,5.2,1.4,3,1.5,2.4,3.7,-0.3,-0.7,1.7,2.4,2.7,2.3,3,3,-0.9,2.5,3,3.8
"45","38","        Entertainment, literary, and artistic originals","Y020RV1",7,8.1,6.4,4.5,3.6,5.8,9.3,5.4,4.2,7.5,4.5,4.9,6.1,3.8,5,4,4.8,4.3,4.1,4,5.7,4.7,5.6,1.2,1.6,2.7,2.8,2.7,1.2,0.2,2.4,2.8,1.5,0.3,1.2,0.8,0.5,0.9,1.4,0,-0.1,-0.6,-0.5,0.4
"46","39","    Residential","A011RV1",7,3.2,5.8,6.1,8.9,10.3,9.2,6.5,10.2,12.3,11.3,10.8,8.1,5.4,2.4,3,2.7,4.4,4.3,3.5,3.3,2.3,1.3,1.2,4.1,3.6,3.6,2.1,2.4,2.6,3.7,4.4,4.7,2.5,4.7,7,7.2,5.8,1.3,-1.5,-3.5,-0.4,0.7,0.9
"47","40","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","Government consumption expenditures and gross investment","A822RV1",5.9,7.9,7.9,7.5,6.6,9.5,9.2,5.4,6.1,6.4,8.1,10.3,9.8,6.5,3.9,4,3.1,1.7,2.7,3.2,3.9,4.2,3.6,3.1,2.4,2.7,2.9,2.1,1.9,1.7,3.4,4.3,2.9,2.5,3.8,4.5,5.1,4.4,4.4,4.3,-0.3,2.7,2.8,1.3
"51","44","  Federal","A823RV1",5.1,7.8,8.1,8.7,6.7,7.9,8.7,6.1,5.9,6.3,7.2,9.8,9.5,6.9,3.3,3.8,2.1,0.6,0.8,3.1,2.7,3.2,3.7,2.5,2.2,2.6,3.2,1.7,1.5,1.2,2.5,3.3,1.8,3.3,4.3,3.5,4.2,3.3,3,3,-0.3,2.6,2.7,0.8
"52","45","    National defense","A824RV1",5,7.4,8.3,10.3,6.9,8,8.2,6.3,6.3,6.8,7.4,10.4,9.8,7.2,3.4,3.9,1.7,0.2,0.8,2.9,2.6,3.4,3.3,2.8,1.5,2.5,3,1.7,1.4,1.1,2.5,3.3,1.8,3.4,4.9,3.4,4.6,3.5,3.1,3.3,-0.8,2.4,2.8,1
"53","46","      Consumption expenditures","A997RV1",5.1,7.7,8.9,9.4,7.3,8.3,8.4,6.3,6.2,6.9,7.8,11.3,10.2,7.3,3.4,4.4,2.5,1.2,1.8,3.4,2.8,3.8,3.6,3.3,1.2,2.4,2.9,1.9,1.8,1.4,2.7,3.8,2.5,4.5,6,3.9,5.3,4.1,3.5,3.6,-1,2.7,2.9,1.1
"54","47","      Gross investment","A788RV1",4.7,6.4,5.7,15.6,4.8,6.7,7.1,6.5,6.5,6.5,6,7.5,8.5,6.9,3.5,2.7,-0.3,-2.2,-1.4,1.6,2.3,2.2,2.5,1.4,2.5,2.7,3.2,0.9,-0.1,0.1,1.8,1.3,-0.6,-0.5,1.1,1.6,2,1.6,1.8,2.3,0,1.2,2.2,0.8
"55","48","    Nondefense","A825RV1",5.3,9.1,7.7,4.7,6.3,7.5,9.8,5.8,5.1,5.4,6.7,8.5,8.9,6.1,2.9,3.3,3.3,1.6,0.6,3.6,3,2.7,4.8,1.7,3.6,3,3.6,1.7,1.8,1.2,2.4,3.3,1.8,3,3.2,3.6,3.6,2.8,2.9,2.6,0.7,3.1,2.5,0.4
"56","49","      Consumption expenditures","A542RV1",5.9,10.8,8.8,5.1,6.4,6.5,9.9,6.2,5.2,5.6,6.4,8.2,8.8,5.9,3,3.6,3.9,1.8,0.3,3.8,3,2.8,5.9,2.2,4.5,3.6,3.8,2.3,2.5,1.8,3.1,3.9,2.3,4.2,4.1,4.4,4.1,3.3,3.4,2.7,0.9,3.4,2.7,0.5
"57","50","      Gross investment","A798RV1",4.5,6.4,5.7,4,5.9,9.8,9.5,4.8,4.8,5.1,7.4,9.2,9,6.6,2.7,2.7,1.9,1.2,1.4,3.4,3.2,2.6,2.6,0.7,1.8,1.7,3,0.3,0.4,0.1,1.1,2.2,0.6,0,1,1.7,2.1,1.5,1.7,2,0,2.1,1.8,0.2
"58","51","  State and local","A829RV1",6.8,8.1,7.7,6.4,6.6,11,9.6,4.8,6.3,6.5,8.8,10.8,9.9,6.1,4.4,4.3,4.1,2.9,4.7,3.3,4.8,5,3.5,3.6,2.6,2.7,2.7,2.3,2.2,2,4,4.8,3.5,2.1,3.5,5.1,5.6,5,5.2,5.1,-0.3,2.7,2.9,1.6
"59","52","      Consumption expenditures","A991RV1",6.8,8,7.8,6.7,6.3,9.1,9.3,5.5,6.9,6.6,8.7,10.5,9.7,6,5.2,5.1,4.7,2.9,5,3.5,5.4,5.5,4,4.4,2.7,2.7,2.6,2.5,2.4,2.2,4.4,5.2,3.8,2.1,4,5.3,5.2,4.7,4.8,5.2,-0.8,3.3,2.9,1.2
"60","53","      Gross investment","A799RV1",6.7,8.3,7.6,5.3,7.7,18.1,10.9,2.4,3.9,6.1,9.4,11.9,10.9,6.4,1.3,0.7,1.6,2.9,3.4,2.7,2.4,2.8,1.5,0.4,2,2.5,3.1,1.7,1.5,1.4,2.1,3.2,2.2,1.7,1.5,4.4,7.6,6.3,7.3,4.4,1.8,0.2,2.8,3.2
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Final sales of computers to domestic purchasers \2\","W489RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8,-21.9,-12,-10.3,-17.6,-18.5,-14.5,-14.8,-14.1,-7.3,-6.7,-10.2,-11.4,-16.3,-16.2,-12.2,-17.2,-25.3,-25,-27.7,-24.5,-15,-20.1,-16.3,-13.6,-8.9,-13.3,-13.6,-10.6,-10.9,-10,-5.3,-6.5,-5
"63","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,10.6,9.3,5.8,3.7,3.5,3.2,2.3,3,3.6,4,4,3.2,2.5,2.5,2.2,2.4,2.1,1.9,1.1,2,2.9,2.2,1.6,2.4,3.1,3.7,3.4,2.9,3.1,-0.1,1.6,2.4,1.7
"64","56","  Food \3\","B981RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3,0.5,2.1,3.2,2.1,5.2,4.7,3.1,0.7,1.4,1.6,2.1,2.9,1.7,1.1,1.6,2.3,2.9,1.5,1.8,3.2,1.6,1.6,3.9,6.1,1.1,0.4,3.6,2.2
"65","57","  Energy goods and services","B982RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1,-12.7,1.2,0.7,5.9,8.5,0.4,0.5,0.9,0.4,0.8,4.6,1,-8.5,4.1,18.2,2.5,-5.8,12.5,11.4,17.4,11.2,6,14.4,-19.2,10.3,15.7,1.4
"66","58","  Gross domestic purchases excluding food and energy","B983RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.5,3.3,2.8,2.8,3.7,3.7,3.7,3.2,2.5,2.4,2.2,2.2,1.6,1.5,0.9,1.5,2.2,1.8,1.6,1.9,2.7,3.2,3,2.5,2.3,0.5,1.3,1.7,1.6
"67","59","  Gross domestic product","A191RV1",4.9,5.3,5.1,4.3,5.4,9,9.3,5.5,6.2,7,8.3,9,9.4,6.1,3.9,3.6,3.2,2,2.4,3.5,3.9,3.7,3.3,2.3,2.4,2.1,2.1,1.8,1.7,1.1,1.4,2.3,2.3,1.5,2,2.7,3.2,3.1,2.7,1.9,0.8,1.2,2,1.7
"68","60","      Gross domestic product excluding final sales of computers","BB00RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,9.3,9.6,6.2,4.2,3.8,3.4,2.2,2.6,3.6,4,3.9,3.4,2.5,2.6,2.3,2.3,2.2,2.1,1.5,1.8,2.5,2.5,1.7,2.1,2.8,3.3,3.2,2.8,2,0.9,1.3,2,1.8
"69","61","      Food \3\","BB10RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3.3,3.5,5.6,3.9,2.7,0.6,1.5,1.3,2.6,4.2,0.6,0.4,1.4,2.3,3.2,1.6,2.2,3.5,0.9,1.6,4.8,7.4,0.2,-0.1,4.2,3.2
"70","62","      Energy goods and services","BB11RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-2.4,5.8,2.9,4.8,5.8,1.3,3.6,2.4,-1,0.3,2.9,0,-2.8,-0.8,13.1,-8.5,5.2,2.3,0.1,3.8,-0.4,-24.3,20,-4.9,2.6,0.8
"71","63","      Gross domestic product excluding food and energy","BB03RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.6,3.4,3.8,3.7,3.3,2.4,2.4,2.2,2.1,1.7,1.8,1.2,1.5,2.3,2,1.8,1.9,2.7,3.4,3.1,2.6,2.1,0.5,1.4,1.8,1.7
"72","64","  Final sales of domestic product","A190RV1",5,5.3,5.1,4.4,5.5,8.9,9.3,5.5,6.2,7.1,8.3,9,9.4,6.2,3.9,3.5,3.3,2.1,2.4,3.6,3.9,3.7,3.3,2.3,2.4,2.1,2.1,1.9,1.8,1.1,1.5,2.3,2.3,1.5,2,2.7,3.2,3.1,2.7,1.9,0.8,1.2,2,1.8
