"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"21","13","Services \2\","A341RG3",15.496,15.722,16.006,16.23,16.522,16.763,17.008,17.259,17.596,17.864,18.12,18.323,18.7,18.877,19.06,19.285,19.507,19.792,20.1,20.47,20.86,21.341,21.871,22.416,22.891,23.293,23.698,24.154,24.53,24.837,25.203,25.658,26.131,26.608,27.055,27.57,28.051,28.546,29.018,29.594,30.057,30.737,31.486,32.283,33.04,33.845,34.679,35.8,36.744,37.448,38.153,39.006,39.658,40.265,41.027,41.802,42.339,42.693,43.358,43.757,44.384,45.005,45.563,46.001,46.733,47.138,47.624,48.015,48.465,48.745,49.002,49.409,49.692,50.153,50.632,51.095,51.639,52.256,52.856,53.405,54.138,54.729,55.22,55.762,56.435,57.071,57.702,58.393,58.91,59.316,59.896,60.436,60.995,61.545,61.972,62.536,62.996,63.552,64.013,64.379,64.803,65.257,65.61,66.076,66.596,67.021,67.37,67.86,68.305,68.657,69.141,69.679,70.152,70.562,70.946,71.394,71.706,72.02,72.382,72.735,73.177,73.614,74.102,74.71,75.541,75.958,76.674,77.348,78.12,78.602,78.916,79.369,79.889,80.485,81.042,81.73,82.67,83.147,83.738,84.311,85.217,85.959,86.741,87.387,88.464,89.186,90.019,91.1,91.902,92.673,93.383,93.917,95.148,95.786,96.48,97.389,98.411,99.386,100.178,99.873,99.616,99.671,100.052,100.662,101.333,101.934,102.342,102.754,103.339,104.122,104.679,104.994,105.68,106.127,106.497,107.027,107.53,107.826
"22","14","Structures","A755RG3",13.329,13.568,13.693,13.943,14.059,14.518,14.458,14.681,15.012,15.323,15.599,15.866,16.115,16.248,16.511,16.936,17.204,17.614,18.131,18.526,19.062,19.815,20.697,21.444,22.01,22.332,22.504,22.796,22.927,23.393,23.688,24.035,24.637,25.154,25.804,26.423,27.042,27.788,28.477,29.195,29.88,30.845,31.829,32.599,33.343,34.117,34.956,35.942,37.104,38.038,38.84,39.822,40.556,41.082,41.328,41.313,41.06,40.909,40.981,41.109,41.264,41.609,41.916,42.221,42.481,42.595,42.858,43.232,43.6,43.963,44.379,44.787,45.106,45.438,45.826,46.237,46.714,47.129,47.52,47.985,48.309,48.878,49.168,49.53,49.931,50.238,50.572,50.733,50.978,51.193,51.364,51.061,50.956,51.326,51.624,52.152,52.646,53.148,53.536,53.856,54.434,54.776,55.389,56.119,56.792,57.16,57.573,57.986,58.204,58.453,59.07,59.391,59.778,60.229,60.772,61.37,61.789,62.267,62.863,63.427,63.961,64.587,65.092,65.671,66.614,67.328,67.947,68.617,69.548,70.392,71.384,71.867,72.103,72.665,73.093,74.016,75.29,75.423,75.905,76.994,78.484,80.166,82.152,83.953,85.344,87.064,89.612,91.774,93.368,94.925,95.929,97.55,98.759,99.044,99.609,100.362,100.833,101.197,101.909,102.743,102.194,100.241,98.685,98.879,99.191,99.274,99.602,100.227,100.755,101.574,102.256,102.862,103.077,103.622,104.149,104.766,105.946,107.141
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",36.035,36.222,36.58,36.542,36.61,36.923,37.179,38.406,39.384,39.745,39.041,38.226,38.88,39.17,39.36,38.426,38.453,38.633,38.949,38.889,39.625,40.437,42.099,43.61,43.508,44.831,45.618,46.426,47.49,47.994,48.785,50.084,50.457,51.042,51.6,53.224,54.058,54.589,55.478,56.255,57.521,59.189,59.751,60.619,62.393,63.765,64.806,65.472,66.272,68.61,70.011,70.285,70.549,71.57,72.803,72.657,73.539,74.104,75.015,75.523,76.28,76.74,77.505,77.465,78.265,78.865,79.487,79.614,79.231,80.176,81.134,81.997,82.07,82.812,84.153,84.21,82.611,82.624,84.184,84.574,85.434,86.318,86.711,87.162,87.722,87.821,87.859,88.398,90.003,90.619,91.337,91.58,91.769,92.768,93.085,93.371,94.533,95.558,96.897,97.764,98.918,100.028,101.401,102.03,102.626,103.267,103.523,104.369,105.704,106.364,106.973,107.637,107.974,107.804,107.984,107.978,107.201,106.626,107.098,106.965,107.073,107.002,107.171,107.26,106.876,107.374,106.839,106.403,106.185,106.156,105.716,106.21,105.49,105.364,105.455,105.792,103.584,102.612,102.454,102.265,102.584,103.08,101.965,102.996,103.849,104.17,102.611,103.451,103.639,103.145,102.924,102.453,102.304,102.443,102.361,101.648,100.056,98.597,97.927,96.382,97.302,99.266,100.473,102.959,103.508,103.973,104.27,104.59,104.948,106.421,107.809,107.88,108.32,108.985,109.03,109.248,109.475,110.221
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",20.85,21.134,21.439,21.72,22.028,22.35,22.534,22.812,23.149,23.463,23.728,23.954,24.348,24.494,24.716,25.033,25.369,25.799,26.294,26.77,27.317,27.93,28.769,29.637,30.332,30.761,31.309,31.829,32.157,32.478,32.887,33.424,33.974,34.514,34.998,35.563,36.16,36.868,37.511,38.284,38.979,39.9,40.732,41.539,42.428,43.357,44.36,45.631,46.831,47.634,48.52,49.415,50.094,50.711,51.421,52,52.436,52.789,53.338,53.725,54.284,54.77,55.218,55.577,56.239,56.553,56.912,57.227,57.528,57.723,57.974,58.312,58.666,59.044,59.46,59.943,60.472,61.095,61.817,62.357,62.992,63.655,64.13,64.56,65.292,65.986,66.599,67.119,67.766,68.221,68.71,69.079,69.401,69.83,70.159,70.654,71.064,71.481,71.824,72.22,72.577,72.917,73.258,73.672,74.119,74.445,74.769,75.115,75.478,75.756,76.097,76.413,76.793,77.169,77.397,77.672,77.811,78.012,78.291,78.508,78.81,79.15,79.44,79.844,80.467,80.913,81.468,81.932,82.491,83.078,83.371,83.628,83.896,84.266,84.651,85.106,85.721,86.021,86.515,86.983,87.737,88.45,89.105,89.737,90.548,91.184,92.124,92.841,93.557,94.368,95.048,95.413,96.508,97.075,97.408,97.855,98.46,98.939,99.642,99.866,100.098,99.905,99.873,100.124,100.45,100.913,101.377,101.898,102.305,102.956,103.565,103.697,104.213,104.661,105.27,105.568,105.924,106.08
"26","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31610.777,28922.213,26870.019,25370.363,25241.162,24574.433,23275.959,21773.398,20656.427,19167.717,17856.233,17003.293,16866.919,16843.605,16636.761,16231.881,15377.215,15316.117,15062.516,14858.317,13623.551,12719.985,11885.044,11365.093,10736.626,10241.327,9777.108,9442.835,9018.3,8618.506,8289.297,7901.471,7374.255,7151.335,7233.782,7148.827,6597.095,6257.747,6021.884,6039.362,5965.742,5766.589,5676.339,5614,5614.645,5379.883,5293.488,5063.036,4751.43,4664.814,4663.488,4567.599,4460.761,4318.314,4019.47,3894.049,3799.39,3563.401,3337.315,3190.661,3047.133,2899.268,2766.3,2651.562,2589.92,2543.149,2473.278,2315.677,2172.392,2070.628,1903.429,1763.231,1606.712,1458.456,1356.22,1244.627,1139.532,1060.061,983.976,929.844,849.176,780.178,690.367,637.696,585.536,558.279,528.759,501.318,476.352,456.478,438.148,425.713,383.633,367.554,348.126,331.001,312.321,299.529,284.778,270.75,261.069,252.265,242.242,239.709,236.73,235.46,228.834,218.042,206.665,195.9,187.985,179.468,172.987,164.527,158.249,152.759,148.298,142.174,133.309,127.353,122.551,117.24,114.119,110,106.302,101.9,96.174,95.624,93.566,92.375,90.07,88.972,86.273,85.178,81.909,80.361,80.361,79.096,76.888,74.469,72.856,71.25
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.525,35.206,35.836,36.58,37.255,38.155,38.951,39.736,40.617,41.534,42.518,43.738,44.881,45.685,46.548,47.402,48.065,48.664,49.363,49.91,50.376,50.752,51.322,51.722,52.296,52.79,53.257,53.613,54.281,54.619,54.995,55.321,55.633,55.86,56.117,56.466,56.847,57.252,57.702,58.157,58.62,59.228,59.961,60.487,61.109,61.785,62.255,62.701,63.444,64.115,64.697,65.216,65.881,66.346,66.869,67.244,67.569,68.039,68.397,68.902,69.348,69.799,70.185,70.609,70.992,71.356,71.734,72.185,72.667,73.029,73.405,73.816,74.27,74.63,75.032,75.424,75.874,76.294,76.585,76.901,77.091,77.342,77.729,78.002,78.371,78.741,79.076,79.515,80.15,80.634,81.193,81.657,82.285,82.891,83.204,83.505,83.788,84.173,84.583,85.067,85.627,85.912,86.413,86.87,87.62,88.33,88.953,89.625,90.469,91.128,92.02,92.769,93.493,94.3,94.98,95.344,96.427,97.007,97.365,97.808,98.381,98.841,99.534,99.748,100.015,99.881,99.902,100.202,100.544,101.014,101.487,102.011,102.432,103.111,103.758,103.897,104.414,104.879,105.488,105.799,106.164,106.346
"28","19","  Implicit price deflator for final sales of domestic product","A190RD3",21.102,21.383,21.691,21.962,22.264,22.588,22.774,23.07,23.421,23.734,23.975,24.175,24.575,24.723,24.939,25.22,25.549,25.968,26.456,26.925,27.472,28.08,28.929,29.813,30.478,30.925,31.473,32.004,32.356,32.683,33.1,33.658,34.203,34.74,35.234,35.832,36.427,37.125,37.768,38.534,39.248,40.19,41.008,41.811,42.717,43.649,44.659,45.914,47.049,47.884,48.783,49.673,50.407,51.033,51.751,52.316,52.749,53.11,53.671,54.052,54.611,55.092,55.554,55.915,56.591,56.92,57.292,57.602,57.887,58.113,58.39,58.735,59.123,59.508,59.95,60.43,60.91,61.519,62.275,62.805,63.445,64.116,64.588,65.023,65.752,66.438,67.038,67.574,68.235,68.698,69.184,69.549,69.875,70.319,70.647,71.137,71.571,72,72.363,72.778,73.152,73.519,73.897,74.314,74.761,75.098,75.424,75.794,76.194,76.483,76.825,77.155,77.547,77.912,78.148,78.421,78.552,78.74,79.031,79.238,79.538,79.873,80.162,80.56,81.159,81.614,82.141,82.585,83.12,83.697,83.97,84.23,84.467,84.826,85.207,85.66,86.2,86.462,86.937,87.388,88.13,88.836,89.442,90.084,90.899,91.53,92.404,93.122,93.824,94.605,95.258,95.599,96.664,97.221,97.544,97.954,98.51,98.949,99.658,99.756,100.017,99.882,99.898,100.204,100.522,100.972,101.426,101.931,102.351,103.037,103.666,103.798,104.318,104.771,105.371,105.66,106.021,106.196
"29","20","  Research and development","Y694RG3",22.398,22.638,22.895,23.169,23.46,23.755,24.055,24.359,24.669,24.944,25.185,25.392,25.564,25.775,26.025,26.313,26.64,27.097,27.684,28.401,29.246,30.046,30.8,31.51,32.175,32.737,33.198,33.558,33.817,34.354,34.811,35.327,35.677,36.137,36.666,37.241,37.766,38.308,38.968,39.713,40.465,41.298,42.218,43.102,44.323,45.39,46.419,47.494,48.455,49.636,50.535,51.736,52.571,53.363,54.033,54.838,55.403,55.826,56.584,57.203,58.049,58.375,58.912,59.061,59.462,59.777,60.101,60.254,60.461,60.714,60.863,61.011,61.253,61.601,62.013,62.837,63.818,64.567,65.027,65.502,66.099,66.638,67.061,67.531,67.933,68.368,68.803,68.853,69.67,70.409,71.114,71.17,71.265,71.88,72.396,73.259,72.908,73.225,73.126,74.285,74.28,74.538,75.144,76.04,77.963,78.311,79.222,78.686,79.364,79.604,79.713,79.57,80.603,81.639,82.321,82.055,81.963,82.485,82.788,83.887,83.762,84.428,84.355,85.853,86.579,87.307,87.875,88.311,88.113,87.729,87.359,87.215,87.328,87.249,87.516,87.271,87.453,88.326,89.326,90.092,90.377,90.563,90.702,91.592,91.957,92.762,93.235,94.225,94.855,94.714,94.785,95.271,96.339,97.298,98.193,98.577,99.759,100.506,101.131,100.778,99.94,99.566,99.563,100.93,101.583,102.628,102.569,103.813,104.579,105.646,105.999,105.9,106.979,108.337,108.877,108.846,109.61,109.784
"30","21","  Gross domestic product excluding research and development","Y695RG3",21.23,21.512,21.82,22.093,22.397,22.721,22.906,23.204,23.56,23.878,24.119,24.318,24.723,24.871,25.09,25.374,25.699,26.12,26.607,27.062,27.607,28.222,29.085,29.974,30.652,31.097,31.654,32.185,32.534,32.856,33.275,33.834,34.382,34.925,35.409,36.006,36.611,37.316,37.964,38.737,39.447,40.391,41.213,42.019,42.923,43.86,44.868,46.134,47.332,48.163,49.062,49.938,50.606,51.228,51.952,52.511,52.954,53.311,53.864,54.249,54.806,55.295,55.75,56.103,56.775,57.098,57.465,57.779,58.062,58.277,58.553,58.912,59.261,59.65,60.092,60.553,61.008,61.611,62.364,62.901,63.543,64.216,64.69,65.119,65.855,66.541,67.145,67.68,68.347,68.798,69.289,69.663,69.989,70.427,70.75,71.231,71.681,72.116,72.496,72.886,73.274,73.637,74.001,74.409,74.824,75.159,75.467,75.848,76.229,76.519,76.873,77.21,77.573,77.918,78.134,78.414,78.533,78.704,78.988,79.174,79.48,79.801,80.096,80.465,81.054,81.496,82.019,82.459,83.015,83.61,83.898,84.172,84.417,84.784,85.162,85.631,86.175,86.424,86.886,87.328,88.082,88.8,89.418,90.055,90.877,91.501,92.378,93.092,93.795,94.593,95.263,95.602,96.665,97.209,97.515,97.932,98.464,98.889,99.565,99.773,100.05,99.9,99.892,100.159,100.48,100.928,101.402,101.899,102.295,102.954,103.589,103.725,104.225,104.656,105.252,105.556,105.899,106.069
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
