"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","B359RG3",52.579,43.557,29.143,20.901,22.862,29.584,36.684,38.863,41.634,33.022,28.392,33.288,42.262,58.1,70.352,70.937,73.919,86.666,103.32,103.973,86.194,86.997,106.522,96.985,83.044,78.079,72.485,71.548,73.777,80.385,73.306,72.865,72.855,74.597,72.634,70.344,75.979,82.246,73.61,77.721,83.588
"12","5","Households and institutions","B193RG3",6.23,6.001,5.589,5.001,4.471,4.381,4.424,4.554,4.825,4.881,4.899,4.924,5.072,5.401,5.806,6.144,6.451,6.854,7.276,7.609,7.808,8.03,8.442,8.818,9.231,9.468,9.611,9.825,10.091,10.326,10.569,10.824,11.02,11.246,11.478,11.714,11.955,12.314,12.733,13.12,13.851
"13","6","  Households","B701RG3",9.03,8.672,8.036,7.117,6.25,6.021,6.084,6.257,6.634,6.703,6.741,6.802,7.006,7.408,7.904,8.371,8.756,9.163,9.539,10.033,10.255,10.534,11.009,11.516,12.083,12.386,12.537,12.75,13.006,13.274,13.523,13.792,13.968,14.146,14.325,14.504,14.689,14.952,15.259,15.748,16.322
"14","7","  Nonprofit institutions serving households \3\","B702RG3",2.633,2.571,2.446,2.277,2.169,2.252,2.269,2.343,2.476,2.515,2.508,2.491,2.566,2.795,3.081,3.25,3.458,3.854,4.324,4.453,4.619,4.764,5.09,5.295,5.508,5.657,5.794,6.012,6.301,6.498,6.738,6.981,7.21,7.508,7.821,8.145,8.471,8.971,9.551,9.807,10.741
"15","8","General government \4\","B765RG3",3.069,3.044,3.035,2.895,2.892,3.02,3.02,3.125,3.16,3.22,3.172,3.14,3.194,3.44,3.401,3.597,3.925,5.407,5.876,5.994,6.233,6.302,6.539,6.796,6.963,7.163,7.492,7.859,8.214,8.642,8.87,9.09,9.335,9.555,9.874,10.217,10.57,11.061,11.509,12.292,13.072
"16","9","  Federal","B766RG3",3.881,3.704,3.86,3.819,3.86,4.071,3.897,4.428,4.411,4.491,4.351,4.169,4.179,4.543,4.383,4.633,5.089,7.342,7.895,7.67,8.043,8.081,8.197,8.445,8.612,8.808,9.291,9.732,10.156,10.807,11.145,11.312,11.484,11.664,12.066,12.565,12.989,13.501,13.766,14.673,15.483
"17","10","  State and local","B767RG3",2.625,2.635,2.593,2.447,2.435,2.533,2.583,2.515,2.575,2.626,2.621,2.663,2.748,2.921,3.144,3.339,3.503,3.817,4.276,4.824,4.942,5.051,5.463,5.781,5.978,6.218,6.407,6.737,7.059,7.299,7.438,7.728,8.06,8.336,8.602,8.83,9.143,9.646,10.276,11.001,11.8
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",11.159,10.818,10.18,9.079,8.172,7.5,7.553,7.751,8.115,8.336,8.344,8.375,8.533,8.712,8.737,8.81,8.923,9.209,9.579,10.172,10.503,10.87,11.361,11.848,12.452,12.81,12.988,13.204,13.432,13.688,13.888,14.089,14.268,14.427,14.594,14.746,14.892,15.114,15.388,15.8,16.338
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
