"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1",2.9,2.9,3,3.6,3.8,4.3,5.1,6.2,6.8,7.6,8.1,8.9,9.5,9.5,10,11.4,12.2,13.1,15.4,17.1,18.8,19.9,20.5,21.7,23.6,25.9,27.2,28.5,29.5,32.1,35.3,39.1,41.3,43.1,45.1,48,50.9,54.3,55.2,55.1,50.9,51.3,54.1,57.3
"23","16","      Sports and recreational vehicles (79)","DWHLRC1",3.3,3.5,4.2,5.5,6.4,6.2,7.5,8.6,10,10.8,11.7,9.8,10.4,10.3,10.7,13.8,14.6,15.7,16.4,17,17.3,16.6,16,15.9,18,20.4,22.5,24.1,26,28.7,31.8,34.9,35.4,36.5,41,45.9,49.1,51.4,52.4,47.1,37,35.6,37.1,39.3
"24","17","      Recreational books (part of 90)","DRBKRC1",1.7,2.2,2.2,2.2,2.3,2.4,2.6,2.6,3,3.6,4.2,4.7,5.3,5.9,6.5,7.1,7.3,7.8,8.8,9.6,10.1,10.9,11,11.5,12.8,14.6,16.4,18.1,19.7,20.9,22.7,24.4,24.7,25.9,26.5,26.9,27,27.2,27.1,27.2,26.4,27.1,27,27.8
"25","18","      Musical instruments (part of 80)","DMSCRC1",0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.1,1.2,1.4,1.5,1.6,1.7,1.9,1.9,2.1,2.2,2.2,2.4,2.7,2.9,3.1,3.2,3.5,3.9,4.7,4.9,5.2,5.1,5.3,5.3,5.5,5.4,5.1,4.6,4.6,4.7,5.1
"26","19","    Other durable goods","DODGRC1",8.7,9.4,10.1,11,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68,72,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141,153.5,164.8,164.6,158.2,165.6,179.9,191.3
"27","20","      Jewelry and watches (part of 119)","DJRYRC1",4,4.1,4.4,4.8,6,7,8.1,9.8,11,12.3,13,15,16,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,33.9,36,37.8,39.9,39.9,42.6,46.5,49.1,47.6,49.1,51.9,56.6,59.8,64.2,67.2,65.3,60.3,62.6,69.4,73.7
"28","21","      Therapeutic appliances and equipment (42)","DTAERC1",1.7,1.9,1.9,2.2,2.4,2.7,3,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21,23,25.3,27.8,29.7,32.2,31.8,34,36.5,39.7,43.2,46.9,51.6,52.5,52.7,55.6,58.8,62
"29","22","      Educational books (96)","DEBKRC1",0.6,0.7,0.8,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.2,2.5,2.9,3.2,3.6,4.2,4.6,4.9,5.3,5.4,5.6,6.1,6.5,6.8,7,7.3,7.9,8.6,9,9.2,9.7,9.9,9.9,9.8,9.7,9.4,9.5,9.2,9.4,9.4,9.7
"30","23","      Luggage and similar personal items (part of 119)","DLUGRC1",2.4,2.6,2.9,3.2,3.6,4,4.4,5,5.4,5.7,5.6,5.2,4.9,4.7,5.4,6,6.5,7.2,8.1,8.7,9.7,9.7,10,10.6,10.9,10.9,10.9,11.1,11.1,11.7,13.1,14.6,13.9,14.3,15.8,17.3,19.1,21.5,23.5,24,23.3,25.2,29,32.6
"31","24","      Telephone and facsimile equipment (67)","DTCERC1",0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2,2.3,2.7,3,3.4,3.7,4.2,4.8,5.5,5.8,6.2,7.5,8.6,9.2,11.2,13.1,13.4,12.7,12.7,13.4,13.3
"32","25","  Nondurable goods","DNDGRC1",214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1329.4,1431.2,1540.3,1583.7,1613.2,1704,1820.4,1953.1,2079.7,2176.9,2273.4,2175.1,2292.1,2472.8,2567
"33","26","    Food and beverages purchased for off-premises consumption","DFXARC1",95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564,575.1,599.6,632.6,668.2,700.3,737.3,772.9,770,788.9,833,863.3
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1",83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,513.6,543,575.3,601.6,634.7,667.7,663.4,675.9,715.4,740.9
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1",11,12.3,13.8,14.9,16,17.7,19.2,20.5,22.1,23.8,26.8,30,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55,58.7,61.6,65,70.2,77.1,81.5,84.4,85.7,89.3,92.6,98.2,102.2,104.7,106.1,112.6,117.2,121.8
"36","29","      Food produced and consumed on farms (6)","DFFDRC1",0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6
"37","30","    Clothing and footwear","DCLORC1",44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.5,310.7,320.2,323.7,319.5,306.5,320.6,338.3,354.6
"38","31","      Garments","DGARRC1",35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121,129.5,138.2,146.9,156.2,160,164,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230,227.2,228,232.7,242.3,251.4,257,258.7,254.7,244.3,255.3,269.3,282.2
"39","32","        Women's and girls' clothing (10)","DWGCRC1",21.3,21.9,24,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119,126.5,132.7,132.1,133.3,136.8,143.7,149.6,153.7,155.8,152.1,145.8,152.8,161.1,169.5
"40","33","        Men's and boys' clothing (11)","DMBCRC1",13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48,51.7,55.6,57.4,59.4,63,66.1,70.1,72.2,75.8,80,82.2,84.6,85.9,83.2,82.4,82.8,84.5,86.3,86.7,85.3,84.7,81.5,84.9,89.7,93.5
"41","34","        Children's and infants' clothing (12)","DCICRC1",0.8,1,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3,3.4,3.9,4.6,5.1,5.5,6,6.3,6.7,7,7.6,8,8.1,8.1,8.2,8.4,8.8,9,9.1,9.4,10,10.8,11.4,11.9,12.3,13.1,14.1,15.4,16.7,17.6,17.9,17.1,17.7,18.5,19.2
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1",8.9,8.8,9.4,10.3,11.4,11.6,12,13,14.2,16.2,18.1,19.7,21.8,21.8,23.1,24.5,25.9,27.7,29.6,31.3,34.2,35.3,35.1,36.8,38.2,40.2,41.2,43.2,44.3,46.7,49.2,50.8,50.7,50.8,52.6,55.2,59.3,63.2,65,64.8,62.1,65.2,69,72.5
"43","36","    Gasoline and other energy goods","DGOERC1",25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178,167.9,196.4,232.7,283.8,319.7,345.5,389.1,284.5,333.4,408.9,417
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1",20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.4,98.7,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,120.8,134.2,168.6,162.5,153.6,179,213.4,261.4,295.9,319.9,358.3,260.2,307.3,379.5,390.4
"45","38","      Fuel oil and other fuels (29)","DFULRC1",4.5,4.4,4.5,5,6.2,7.7,8.3,10,10.9,11.4,14.1,15.2,15.5,14.2,13.4,13.6,13.3,11.1,11,11.5,11.7,12.8,12.3,12.1,12.4,12.7,13,14.3,13.2,11.6,12.4,15.9,15.5,14.3,17.4,19.4,22.3,23.7,25.6,30.8,24.3,26.2,29.4,26.7
"46","39","    Other nondurable goods","DONGRC1",49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,451.8,498,534.4,563.9,591.4,622.7,657.6,690.4,739.6,770.4,791.9,814.2,849.2,892.6,932.1
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1",6.3,7.3,7.7,8.4,9.1,9.9,10.7,11.7,12.4,14.2,16.5,18.7,21.3,23.5,26.9,30.3,33.5,37.2,41.3,45.9,51.9,59.1,65.1,69.6,74,79.1,85.1,93.2,103.7,119.8,140,159,181,200.2,220.2,236.3,248.5,276.2,293.4,305.2,320.9,334.1,353.2,370
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1",7.6,8.2,8.7,9.6,10.9,12.2,13.1,14.7,15.7,17.7,19.9,22,24.8,26.6,28.9,31.5,33.8,35.4,39.1,42.6,47.2,50.9,53.6,57.3,60.7,65.2,68.9,72.8,76.3,80.9,86.7,91.9,94.7,98.4,100.8,105.7,112.6,119,124.5,127.5,123.8,127.7,133.2,142
"49","42","      Household supplies (parts of 32 and 36)","DHOURC1",11,11.5,11.7,12.4,13.8,15.4,16.8,18.1,19.7,22.5,25.9,29.1,32.2,34.3,36.8,40,42.1,44.7,46.4,49.4,51.9,54.2,55.6,58.5,62.1,66.8,70.4,74.4,77.9,79.7,83.9,86.7,89,90.8,94,97.6,102,105.9,106.5,107.8,105.2,108.3,112.9,117.3
"50","43","      Personal care products (part of 118)","DOPCRC1",6.7,7.1,7.5,8,9,10,11.1,12.2,13.8,15.4,17.1,18.7,20.5,21.6,23.7,26.3,28.3,30.4,32.6,34.6,36.9,39.3,40.2,41.4,43.9,47.1,50.2,53.4,56.4,59.9,64.4,68.5,71,73.2,77.5,82.8,88,93.8,99,101.3,100.1,104.7,110,114.6
"51","44","      Tobacco (127)","DTOBRC1",9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,48.7,47.3,49.2,51.4,53.8,56.4,65.5,68.5,69.7,70.1,70.5,73.7,76.7,81,84.3,86.4,99.5,106.3,108.3,108.8
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1",6.4,6.9,7.1,7.7,8.4,9.2,9.9,10.8,11.9,14.1,16.4,18.1,19.8,21,22.4,24.5,25.4,26.6,28.8,31.7,34,36.5,37.8,38.8,40.9,43.8,46.1,48.2,50.2,51.9,54.3,56.6,55,54.8,55.1,56.8,58,59.1,57.7,58.4,58.2,62.8,68.1,73.1
"53","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1",1.7,1.8,1.9,1.7,1.4,1.2,1.1,0.9,1,1.2,1.4,1.8,2.1,2.7,2.7,2.8,3.2,3,3.1,2.5,2.7,2.6,2.3,1,1.1,1.3,1.6,1.7,3,3.2,3.1,3.2,3.4,4,4.6,4.7,4.5,4.6,5,5.3,6.5,5.3,6.9,6.2
"54","47","Services","DSERRC1",299.8,328.9,358.9,395.6,434.5,480.5,541.4,603.9,676.3,762.6,851.6,954.8,1068.1,1174.6,1312.7,1434.5,1585.1,1702.8,1835.8,2009.6,2169,2334.3,2462.7,2652.4,2828.7,2994.5,3168.6,3350.4,3554,3794.3,4030.1,4348.8,4581.6,4786.7,5042.8,5357.5,5710.1,6061.7,6382.9,6629.8,6644.5,6839.1,7109.1,7379.9
"55","48","  Household consumption expenditures (for services)","DHCERC1",290.4,318.4,347.2,382.8,420.8,465,524.4,584.9,655.7,739.6,825.4,924.8,1034,1136.7,1272,1389.1,1537.2,1650.2,1780.1,1946.3,2101,2258.5,2382.6,2564.5,2738.6,2896.7,3066.3,3240.4,3448.4,3670.5,3891.9,4190.7,4402.5,4588.4,4837.3,5151.1,5499.8,5822.5,6134.1,6347.7,6368.5,6563.7,6831.2,7089.4
"56","49","    Housing and utilities","DHUTRC1",101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,312.5,352.1,387.5,421.2,457.5,500.6,537,571.6,614.4,655.2,696.5,735.2,771.1,814.9,863.3,913.7,962.4,1009.8,1065.5,1123.1,1198.6,1287.5,1333.6,1394.1,1469.1,1583.6,1682.4,1758.2,1839.1,1881,1909,1960.9,2013.9
"57","50","      Housing","DHSGRC1",84.2,91,99.7,108.7,119,130,142.4,156,173.4,194.5,218,246.6,277.9,303,327.2,357.7,394.6,430.5,461.5,497.3,531,570.6,601.5,634.5,666.4,709.5,756.1,795.4,839.2,894.2,948.6,1010.5,1085.5,1133.3,1177.1,1242.2,1332.5,1416.2,1480,1543.7,1591.6,1609.7,1660,1719.9
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1",24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,62.5,71.1,78.9,85.7,94.5,108.4,119.8,126.9,133.9,140.1,150.8,157.7,164,169.1,176.1,186.6,192,199.2,209,218.2,227.9,242.3,249.6,248.7,256,268.3,286.8,316,336.4,359.7,372.6,402.3,430.4
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1",56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.4,235.9,257.4,280.6,305.2,329.1,357.5,384.4,412.8,436.3,462.6,488.5,523.7,559.4,592.9,629.5,674.3,718.9,768.9,829.2,869.2,913.3,968.5,1044.3,1108.8,1142.3,1185.5,1209.9,1214.5,1233.8,1263.7
"60","53","        Rental value of farm dwellings (22)","DFARRC1",3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,19.5,20.6,20.5,20.7,21.2,22.4,24.1
"61","54","        Group housing (23)","DGRHRC1",0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.5,1.7
"62","55","      Household utilities","DUTLRC1",16.8,18.4,20.3,22.5,24.5,28.5,34.1,38.6,44.5,49.8,55.4,65.9,74.1,84.5,94,99.8,106,106.5,110.1,117.1,124.1,125.9,133.8,136.7,148.6,153.9,157.6,167,170.6,171.3,174.6,188.1,202,200.2,217,226.8,251.1,266.2,278.2,295.4,289.4,299.3,300.9,294
"63","56","        Water supply and sanitation (25)","DWRSRC1",2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,56.6,58.7,61.3,65.5,68,71.9,74.3,78,82.1,85.9
"64","57","        Electricity and gas","DELGRC1",14,15.2,16.7,18.4,20.1,23.6,28.6,32.6,37.8,42.3,47,56.5,63.6,72.8,80.9,84.9,89,87.4,89,94.2,98.9,98.8,104.9,106.4,115.1,117.2,118.3,124.9,126.6,125.1,125.8,137.6,149.6,145.6,160.4,168.1,189.9,200.7,210.2,223.5,215.1,221.4,218.8,208.1
"65","58","          Electricity (27)","DELCRC1",8.8,9.6,10.6,11.8,13.3,16.1,19.4,21.6,25.2,28,30.7,37.2,42.5,47,51.6,55.3,59.3,60.6,63.3,66.8,69.7,71.8,76.6,76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.8,128.5,140.7,148.3,155.4,157,166.8,166.7,163.4
"66","59","          Natural gas (28)","DGHERC1",5.2,5.6,6.1,6.6,6.8,7.5,9.3,11,12.6,14.2,16.2,19.3,21.2,25.8,29.3,29.6,29.8,26.8,25.7,27.4,29.2,27,28.3,29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.3,60.1,61.9,68.1,58.1,54.6,52.1,44.7
"67","60","    Health care","DHLCRC1",42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1154.6,1240.1,1322.3,1394.2,1481.8,1556.5,1627.4,1690.7,1767.8,1847.6
"68","61","      Outpatient services","DOUTRC1",19.9,22.3,24.1,26.3,29.9,33.2,38.5,43.4,49.5,54.7,61.5,70.6,83.6,90.7,103.3,115.8,129.4,143.4,164.4,186.2,204.6,232.1,253.8,282.6,297.5,314.6,336.6,351.3,369.1,390.4,407.1,436.6,475.8,514.7,550.6,590.5,626.2,653,689.9,725.6,744.7,767.9,797.2,827.5
"69","62","        Physician services (44)","DPHYRC1",12.4,14,15.3,16.7,18.5,20.4,23.6,25.9,29.7,32.7,37.2,43.3,51,55.8,62.9,69.9,77.5,85.4,99.1,112.5,121.9,134.8,144.9,158.7,162.1,168.3,177.8,183.4,190.9,202,212.1,229.2,249.3,269.3,291.5,314.2,333.9,348.5,365.7,383.7,392.8,402.8,418.4,433.9
"70","63","        Dental services (45)","DDENRC1",4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.6,58.5,63.6,69.3,75.6,77.8,83.3,87.9,91.5,97,102,102.1,104.5,106.8,109.4
