"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","  Farm","B359RX1",27.3,28.1,29.5,29.5,29.2,28.6,34,32.5,34.3,33.1,36,34.9,46.1,48.4,31.5,42.7,52.6,50.5,51,45.5,51.7,55.5,55.6,64.4,56.8,69,54.9,63.6,71.2,67.7,70.7,83.9,77.7,80.9,89.8,96.1,101.6,102.4,86.2,94.7,109.8,111.5,105.8,104.6
"12","5","Households and institutions","A193RX1",632.3,644.5,673.5,700.8,725.4,755.9,783.1,794.8,802,836.9,866.3,895.9,915.3,941.1,971.1,999.8,1027,1060.5,1104.4,1163.1,1209.1,1248,1275.4,1310.9,1376.2,1420.4,1463.1,1492.6,1538,1590.1,1635.2,1699.4,1738.4,1766.6,1705.9,1748.7,1805.4,1854.9,1883.2,1909.5,1913.6,1930.7,1949.1,1960.9
"13","6","  Households","B701RX1",353,361.7,379.6,395.9,409.8,428.8,441.6,448.3,449.1,475.1,490.4,507.6,515.1,520.4,532.8,548.6,570.2,582.9,601.6,626.3,644.8,657.6,669.3,687.2,718.6,752.9,779.2,795.4,817.3,839,873.2,912.8,943.5,951.3,976.9,1015.5,1066.4,1092.6,1084.7,1115.7,1110.1,1115.5,1119,1116
"14","7","  Nonprofit institutions serving households \3\","B702RX1",279,281.6,292,302.5,313.2,324.1,339,343.9,351.2,358.4,372.6,384.9,397.5,420.4,439.2,452.1,456.2,478.3,504.9,540.7,569.9,598.3,614.8,632.7,667.7,675.5,691.3,704.7,728.8,760.9,769.7,793.5,799.8,821.9,728.9,732.9,738.6,761.9,798.8,793.9,803.5,815.3,830.1,844.8
"15","8","General government \4\","A765RX1",1141.9,1147.6,1150.2,1149.7,1156,1179.6,1198.2,1209.3,1222.7,1247,1262,1281.7,1291.5,1307.6,1319.6,1339.8,1381.4,1419.8,1455.4,1496.9,1534.2,1573.1,1589.6,1596.7,1600.8,1602.6,1605.3,1608.8,1621,1639,1653.8,1680.9,1711.2,1743.5,1765.2,1777.8,1794.1,1809,1834.7,1872.9,1907.6,1919.5,1912.2,1912.1
"16","9","  Federal","A766RX1",496.7,480.8,463.6,446.4,434.1,434.8,433.7,435.5,437.9,444.4,446,454.1,462.4,471.7,484.3,497.7,514.7,528,545.2,556.2,565.2,575.6,579.2,570,560.7,545.3,528,515.7,507,501.7,498,500.9,503,511.6,525.3,533.4,540.8,545.3,553.1,574.2,603.6,624.3,630.5,630.1
"17","10","  State and local","A767RX1",613.3,640.7,667,690.2,714.5,740.5,763,773.1,785.1,803.6,818.3,829.6,829.5,835.1,831.9,837.1,861.2,886.3,903.8,934.8,963.7,992.6,1005.5,1022.7,1036.7,1054.8,1075.6,1092.3,1113.8,1137.6,1156.3,1180.7,1208.9,1232.6,1240.5,1244.8,1253.6,1264.1,1281.8,1298.9,1304,1295.2,1281.7,1281.9
"18","11","Residual","A961RX1",-146.6,-156.4,-155.1,-146.2,-139.8,-168.8,-174.2,-158.8,-137.9,-130.8,-122.5,-146.8,-120.6,-149.2,-154.6,-106.9,-88.9,-92.5,-95,-106.1,-102.7,-112.3,-126.3,-110.5,-118.1,-96.2,-98.1,-77.7,-60,-51.4,-31.8,-23.1,-28.2,-29.9,-10.7,-4.5,-1.2,0.3,-2.4,-1.2,0,-0.3,-3.4,-5.8
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",450.4,465.9,488.4,512.1,529.5,556.2,574.6,581.2,590.5,616.2,633.9,659.5,674.3,688.3,706.8,726.3,764.4,787.5,809.8,836.4,853,870.3,889.6,914,945,983.2,1018.6,1036.5,1060.8,1085.5,1123.5,1163.7,1199.4,1204.2,1219.1,1260.2,1318.1,1352.1,1358.7,1398.5,1409,1429,1453.5,1464.2
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
