"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Motor vehicles and parts","DMOTRG3",12.276,11.826,11.031,10.352,9.705,10.164,10.015,10.061,10.315,10.723,10.477,10.494,11.407,14.614,15.391,16.531,16.799,21.028,23.105,24.892,25.764,25.835,27.157,28.275,27.741,26.78,27.091,28.322,30.107,31.246,32.796,32.182,32.364,32.891,33.15,33.421,33.147,32.923,33.372,34.522,35.217
"12","5","    Furnishings and durable household equipment","DFDHRG3",25.25,24.281,21.564,18.61,18.664,20.17,20.298,20.437,21.803,21.411,21.25,21.456,23.064,26.665,30.488,35.024,38.002,38.143,40.827,42.546,41.538,42.265,46.579,46.111,46.191,45.973,45.632,46.009,46.782,46.685,46.714,47.127,47.285,47.228,47.252,47.304,46.999,47.388,48.454,50.357,52.156
"13","6","    Recreational goods and vehicles","DREQRG3",262.491,218.646,173.305,142.445,132.846,137.818,136.379,134.849,138.279,137.726,134.458,136.542,139.38,158.735,158.963,172.998,177.752,182.224,210.34,222.527,230.918,228.884,233.624,225.504,222.64,215.489,208.764,211.121,218.566,224.551,218.085,219.572,218.396,216.002,215.571,212.959,210.024,207.694,208.951,213.05,217.957
"14","7","    Other durable goods","DODGRG3",19.184,18.836,17.986,16.169,16.212,16.827,16.504,16.855,17.01,16.452,16.588,17.078,18.583,21.434,22.51,25.132,26.127,26.116,27.597,27.905,27.768,27.369,29.049,28.982,29.114,28.515,28.156,28.451,28.638,28.673,28.808,28.888,28.828,28.705,28.857,29.596,29.445,29.436,30.137,30.799,32.324
"15","8","  Nondurable goods","DNDGRG3",11.234,10.651,9.106,7.807,7.767,8.591,8.878,8.91,9.22,8.766,8.627,8.702,9.436,10.984,12.291,13.007,13.578,14.711,16.61,17.627,17.053,17.095,18.561,18.76,18.695,18.739,18.617,18.884,19.438,19.911,19.94,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.11,24.109
"16","9","    Food and beverages purchased for off-premises consumption","DFXARG3",10.132,9.479,7.652,6.256,6.286,7.067,7.628,7.642,7.876,7.277,7.203,7.246,8.017,9.59,11.047,11.343,11.689,12.901,14.855,15.588,14.956,15.027,16.611,17.013,16.682,16.668,16.364,16.482,16.982,17.69,17.507,17.654,17.743,17.877,18.065,18.43,18.802,19.595,19.62,20.215,21.121
"17","10","    Clothing and footwear","DCLORG3",27.859,26.591,23.231,19.081,19.446,22.545,22.147,22.175,23.34,22.772,22.242,22.494,24.701,29.593,33.071,37.349,40.604,43.969,47.474,50.391,48.221,47.836,52.015,51.135,51.015,51.141,51.003,51.972,52.745,52.97,53.423,54.139,54.452,54.615,55.094,55.613,56.098,57.648,60.024,63.416,66.846
"18","11","    Gasoline and other energy goods","DGOERG3",6.458,6.246,5.552,5.419,5.304,5.593,5.546,5.694,5.808,5.704,5.508,5.514,5.769,6.11,6.324,6.459,6.449,6.704,7.533,8.576,8.703,8.799,9.044,9.208,9.56,9.715,9.819,10.125,10.591,10.473,10.621,10.809,10.822,10.877,10.904,10.803,11.172,11.437,11.81,12.026,12.395
"19","12","    Other nondurable goods","DONGRG3",10.175,9.815,9.351,8.833,8.391,8.603,8.593,8.552,8.854,8.71,8.627,8.785,9.056,9.899,10.567,11.18,11.562,12.096,13.763,14.528,14.211,14.274,15.203,15.261,15.488,15.53,15.69,15.959,16.47,16.868,17.143,17.409,17.451,17.508,17.751,18.015,18.265,18.63,19.086,19.817,20.55
"20","13","Services","DSERRG3",7.24,7.033,6.537,5.906,5.535,5.464,5.584,5.675,5.886,5.891,5.876,5.922,6.131,6.564,6.974,7.294,7.533,7.99,8.573,9.025,9.179,9.415,9.878,10.239,10.637,10.905,11.093,11.359,11.691,11.978,12.301,12.627,12.856,13.101,13.301,13.55,13.804,14.204,14.677,15.312,16.109
"21","14","  Household consumption expenditures (for services)","DHCERG3",6.95,6.754,6.283,5.669,5.307,5.224,5.342,5.427,5.625,5.636,5.62,5.666,5.864,6.275,6.665,6.971,7.198,7.625,8.158,8.581,8.73,8.95,9.381,9.734,10.119,10.374,10.55,10.796,11.106,11.377,11.688,12.037,12.258,12.494,12.685,12.928,13.166,13.545,13.996,14.604,15.359
"22","15","    Housing and utilities","DHUTRG3",11.55,11.242,10.659,9.662,8.781,8.112,8.137,8.271,8.579,8.795,8.777,8.8,8.917,9.107,9.155,9.226,9.322,9.478,9.782,10.304,10.603,10.924,11.344,11.783,12.319,12.654,12.849,13.043,13.275,13.53,13.749,14.008,14.195,14.347,14.5,14.628,14.753,14.957,15.214,15.562,16.061
"23","16","    Health care","DHLCRG3",2.608,2.615,2.431,2.142,2.111,2.188,2.314,2.362,2.426,2.474,2.457,2.535,2.598,2.764,2.983,3.204,3.347,3.631,4.023,4.249,4.309,4.4,4.601,4.828,5.057,5.233,5.417,5.61,5.842,6.069,6.243,6.663,6.813,6.986,7.183,7.428,7.659,8,8.51,9.046,9.684
"24","17","    Transportation services","DTRSRG3",7.742,7.68,7.292,6.729,6.345,6.469,6.612,6.575,6.538,6.585,6.61,6.492,6.612,7.013,7.171,7.132,7.224,7.467,8.023,8.606,9.198,9.611,10.298,10.681,11.181,11.557,11.833,12.235,12.689,13.052,13.435,13.735,14.136,14.441,14.503,14.694,14.948,15.219,15.788,16.5,17.516
"25","18","    Recreation services","DRCARG3",6.955,6.825,6.52,6.207,5.853,5.897,5.981,6.097,6.32,6.437,6.38,6.436,6.669,7.022,7.541,8.469,8.89,9.465,10.197,10.569,10.757,10.845,11.205,11.613,12.144,12.672,13.095,13.485,13.984,14.512,14.859,15.411,15.838,16.215,16.566,17.029,17.376,17.833,18.458,19.446,20.272
"26","19","    Food services and accommodations","DFSARG3",6.322,5.933,5.118,4.321,4.179,4.497,4.836,4.844,5.016,4.781,4.684,4.739,5.167,6.039,6.775,7.066,7.302,8.122,9.066,9.479,9.224,9.387,10.092,10.318,10.228,10.343,10.32,10.437,10.781,11.055,11.45,11.759,11.996,12.294,12.559,12.754,13.006,13.508,14.257,15.001,15.899
"27","20","    Financial services and insurance","DIFSRG3",7.474,7.301,6.638,5.909,5.636,5.836,6.088,6.363,6.641,6.483,6.435,6.618,6.793,7.256,7.585,7.9,8.2,9.067,9.453,9.947,10.127,10.325,10.452,11.087,12.347,12.791,13.172,13.59,14.045,14.263,15.079,15.739,16.271,16.941,16.96,17.67,18.12,19.212,19.653,21.108,22.995
"28","21","    Other services","DOTSRG3",5.859,5.653,5.24,4.82,4.602,4.671,4.723,4.798,5.039,5.004,5.062,5.103,5.338,5.814,6.49,7.169,7.62,7.973,8.519,8.946,9.145,9.366,9.847,10.208,10.585,10.762,10.93,11.308,11.689,12,12.345,12.689,12.834,13.043,13.326,13.623,13.973,14.376,14.836,15.492,16.242
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",24.654,23.712,21.68,20.146,19.389,20.457,20.61,21.168,22.275,21.687,21.722,21.694,22.743,24.678,26.473,27.682,28.638,31.591,36.748,39.586,39.925,41.516,44.994,45.09,45.902,47.061,48.274,50.511,52.792,54.166,55.154,51.448,51.982,52.718,53.562,53.771,55.275,57.306,59.156,61.401,65.295
"30","23","    Gross output of nonprofit institutions \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.841,10.09,10.28,10.474,10.727,10.987,11.307,11.7,12.237,12.883,13.728
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.658,6.095,6.236,6.368,6.546,6.768,6.968,7.204,7.578,8.025,8.558
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRG3",10.088,9.715,8.904,7.926,7.543,7.72,7.805,7.892,8.218,8.181,8.119,8.202,8.626,9.573,10.315,11.05,11.559,12.278,13.327,14.062,14.082,14.286,15.161,15.463,15.802,15.974,16.132,16.51,17.008,17.374,17.761,18.079,18.306,18.555,18.796,19.083,19.325,19.761,20.367,21.24,22.237
"34","26","  Energy goods and services \5\","DNRGRG3",8.159,7.926,7.244,7.088,6.97,7.201,7.121,7.22,7.3,7.187,6.989,6.982,7.207,7.502,7.678,7.781,7.764,7.92,8.618,9.512,9.63,9.711,9.921,10.066,10.361,10.488,10.591,10.823,11.173,11.116,11.25,11.51,11.553,11.591,11.599,11.532,11.77,11.956,12.224,12.405,12.736
"35","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
