"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"12","5","  Taxes on corporate income","W025RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7
"13","6","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"14","7","Contributions for government social insurance","W782RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.7,6.9,7.1,8.1,9.1,10,11.4,11.4,13.9,16.5,17.1,19.2,21.7,22.5,23.5,31.4,35,38.8,44.3
"15","8","Income receipts on assets","W058RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,2.8,3,3.3,3.5,3.9,4.2,4.9,5.6,6.6,7.2
"16","9","  Interest and miscellaneous receipts \1\","W059RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,2.8,3,3.3,3.5,3.9,4.2,4.9,5.6,6.6,7.2
"17","10","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","11","Current transfer receipts","W060RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.5,0.5,0.6,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,0.7,0.8,1,1.1,1.2,1.4,1.8,2.1,2.3,2.4,2.6
"19","12","  From business (net)","W061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.3,0.4,0.5,0.6,0.7,0.8,1.2,1.3,1.4,1.4,1.5
"20","13","  From persons","W062RC1",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1
"21","14","Current surplus of government enterprises \2\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0
"22","15","    Current expenditures","W022RC1",8.4,8.8,10.3,9.3,9.6,11.2,11.8,13.4,12.7,14,15.1,16,21.6,41.5,63.6,77.8,82.3,57.8,52.9,55.8,61.6,63.9,75.9,86.7,92.7,91.9,95,99.8,109.8,119.1,124.2,131.2,141,152,160,168.6,181,203.9,231.7,260.7,283.5
"23","16","Consumption expenditures","A955RC1",6.7,7,7.1,6.7,6.9,8.1,8.3,9.2,9.3,9.9,10.6,11.2,17.1,36.5,58.2,70.6,71.3,38.5,34.3,35.5,38.7,39.3,54,65.2,70.4,67.4,68.9,71.4,77.3,81.9,83,85,89.9,98.3,103.4,109.1,117,132.8,150.4,167.5,180.9
"24","17","Current transfer payments","A084RC1",0.8,0.9,2,1.3,1.3,1.4,1.6,2.7,1.7,2.2,2.3,2.4,2.3,2.4,2,2.6,5.5,12.4,12.4,13.7,16,17,13.7,13.2,13.7,15.6,16.9,17.6,20.1,24.2,26.9,28.1,31.9,32.8,34.3,35.1,38,42,50.3,58.4,64.1
"25","18","  Government social benefits","W063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.7,28.4,29.1,30.7,31.7,34.4,38,46.3,53.9,59.6
"26","19","    To persons","A063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.8,53.3,59
"27","20","    To the rest of the world \3\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6
"28","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.3,2.3,2,3.8,5.1,3.6,3.2,2.2,2.1,1.9,2.2,2,1.9,2,4,3.5,3.5,3.6,3.6,3.4,3.6,4,4,4.5,4.5
"29","22","Interest payments \1\","A180RC1",0.8,0.8,1.1,1.2,1.3,1.3,1.2,1.2,1.4,1.4,1.4,1.7,1.7,2.1,2.8,3.5,4.5,5.5,5.8,6,6.4,6.8,7.2,7.6,8,8.6,9,10.1,11.3,11.6,13.2,16.9,17.2,18.6,20.1,21.6,23.1,25.2,27.2,30.6,34
"30","23","  To persons and business \1\","A204RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,16.9,18.3,19.7,21.2,22.6,24.6,26.6,29.9,33.2
"31","24","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"32","25","Subsidies \2\","A107RC1",0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.8,0.5,0.5,0.6,1,1.1,1.4,0.4,0.5,0.5,0.8,1,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"33","26","    Net government saving","A922RC1",2.1,1.1,-1.6,-1.1,-0.9,-1.5,-1.3,-1.5,1.6,-0.1,-0.8,0.6,2.2,-10.3,-16,-28.3,-31,-7.4,2.5,1,-8,2.2,6,-0.3,-1.9,-6,1.6,4.4,0,-10.9,-1.7,2.8,-2.5,-1.9,1.6,-2.6,-1.4,-1.8,-14.8,-9.5,-1
"34","27","Social insurance funds","A221RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.3,3.2,2.5,1.6,-0.2,2.7,2.7,2.2,1.3,1.6,1.8,1.2,-2.6,-0.7,0.4,-2.3,-0.6,0.9,1.3,0.5,6.1,4.2,3.3,5.9
"35","28","Other","A391RC1",2.1,1.1,-1.6,-1.1,-1,-1.5,-1.3,-1.8,0.2,-1.1,-1.9,-0.4,0.6,-12.4,-19.3,-32.2,-35.2,-10.7,-0.8,-1.5,-9.6,2.3,3.3,-3,-4,-7.3,0,2.6,-1.2,-8.3,-1,2.3,-0.1,-1.4,0.7,-3.9,-1.9,-7.9,-19,-12.8,-6.9
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","  Total receipts","W066RC1",10.8,10.2,8.9,8.3,8.8,9.9,10.8,12.4,14.8,14.4,14.7,17.1,24.3,31.8,48.2,50.1,52.2,51.3,56.4,57.8,54.5,66.9,82.9,87.5,91.9,87.1,97.9,105.8,111.6,109.9,124.4,136.2,141,152.7,164.5,169.3,183.3,206,220.9,255.3,287.1
"38","30","    Current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.1,109.8,108.2,122.5,133.9,138.5,150,161.6,166,179.7,202.1,216.9,251.2,282.5
"39","31","    Capital transfer receipts","W067RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.6,1.8,1.7,1.8,2.2,2.5,2.6,2.9,3.3,3.6,3.9,4,4.1,4.6
"40","32","  Total expenditures","W068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.9,161.7,174,182.4,191.8,204.3,231.4,260.4,287.8,308.8
"41","33","    Current expenditures","W022RC1",8.4,8.8,10.3,9.3,9.6,11.2,11.8,13.4,12.7,14,15.1,16,21.6,41.5,63.6,77.8,82.3,57.8,52.9,55.8,61.6,63.9,75.9,86.7,92.7,91.9,95,99.8,109.8,119.1,124.2,131.2,141,152,160,168.6,181,203.9,231.7,260.7,283.5
"42","34","    Gross government investment","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"43","35","    Capital transfer payments","W069RC1",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"44","36","    Net purchases of nonproduced assets","AD07RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.5,1.7,1.7,1.9,1.8,2,1.2,0.5,1.1
"45","37","    Less: Consumption of fixed capital","A264RC1",1,1,0.9,0.9,1,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10,11.1,12.1,13,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4
"46","38","  Net lending or net borrowing (-)","AD01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.7,-20.6,-21.4,-17.9,-22.5,-21.1,-25.4,-39.5,-32.5,-21.7
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","of interest receipts. Interest payments to persons and business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","includes interest accrued on the actuarial liabilities of defined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","benefit pension plans for government employees. Miscellaneous receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","on line 9 includes rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Prior to 1960, government social benefits to the rest of the world are included in line 21,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","""other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
