"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"21","13","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,632.7,637.4,642.1,645.3,641.9,632,632.6,635.3,645.2,649.2,645,666.2,682.7,684.7,697.1,709.8,721,762.3,785,794.2,819.5,825.3,836.7,856.4,872.3,881.9,879.9,871.7,827.8,781.6,745.2,711.2,682.7,639.2,586.1,540,516.3,490.9,443.6,401,377,395.4,395.7,383,403.5,368.1,375.1,376.7,379.2,384.9,396.2,417.2,423,437.3,457.5,471.2,487.1
"22","14","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,22,42.9,-11,80.6,89.2,56.8,77.2,7.3,42.2,56.6
"23","15","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-342.7,-377.1,-402.8,-406.6,-454.1,-467.5,-497.2,-512,-497.1,-488.1,-509.2,-522.3,-545.7,-570,-589.2,-634.5,-622.7,-650.7,-639.1,-653.9,-676,-732.6,-749.3,-769.6,-773.4,-765.6,-770.4,-799,-792.3,-790.5,-813.4,-748.6,-765.3,-746.5,-691.2,-611.2,-611.2,-539.9,-512.4,-524,-447.1,-360.1,-380.4,-381.2,-413.6,-474.3,-504.9,-457.5,-456.5,-438.3,-433.9,-454.7,-439.2,-435.3,-436.5,-412.1,-422.3,-424.4
"24","16","  Exports","A020RX1",144.7,177.1,172.9,178.9,180.4,188.3,187.7,189.4,190.2,189.8,197.6,181,200.2,194.4,206.1,214.8,230.6,241.7,242.5,254.4,257.7,270.2,255.6,262.3,264.2,256.5,252.2,266.4,264.6,267.2,275,277.8,273.3,280.7,282.9,273.8,280.2,309.4,312.8,325.3,325.5,326.4,338.1,359.4,369.4,376.4,375.6,373.3,380.4,382.4,374.3,376,359.7,361.9,345.9,330,335.4,336.4,341.4,348.3,355.6,364.5,372.5,380.1,381,380.2,374.7,385.9,398,402.4,411.6,426.9,427.2,444.8,464.1,481.4,508.1,522.4,532.7,548.9,565.3,590,596,605.1,631.3,639.2,644.1,649.7,653.8,677.6,693.6,709.2,722.1,722.4,737.7,741.4,743.1,752,750,774.2,781.7,808.1,838.3,857.7,874.2,886.5,924.8,938,949.3,964.8,972.6,1033.2,1052.9,1095,1120.4,1118.8,1123.9,1111.5,1106.5,1147.7,1142.7,1154.9,1183.3,1215.5,1234.8,1268.4,1298.3,1288,1271.4,1229.8,1166.5,1134.3,1152.3,1184.4,1193.3,1182.5,1170.8,1166.6,1198.1,1253.3,1283.7,1301.5,1310.5,1341.5,1357,1386,1386.8,1423.8,1478.4,1505.4,1502.2,1563.7,1586.5,1614.4,1671.2,1717.1,1738.7,1788.4,1772.8,1667.4,1534.8,1537.5,1588.7,1674.2,1700.4,1739.3,1784.9,1837.7,1854.7,1876.9,1908.9,1921.7,1941.4,1959.8,1961.6,1967,1960.5,1998.4
"25","17","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.7,804.7,825.6,852.2,869,895.3,928.3,915.6,902,865.9,818.2,799.9,798.3,826.2,831.5,812.4,814.8,814.9,832,867.9,884.5,897.6,906,923,940.9,970.3,969,996.5,1040.4,1055.3,1056.9,1089.5,1104.4,1121.7,1154.8,1180.7,1210.5,1247.8,1240.3,1143.2,1027.6,1020.4,1070.3,1140.5,1170.6,1203.3,1228.4,1266.4,1280,1291.6,1309.8,1334.3,1340.2,1357.3,1362.8,1352.6,1342.8,1373.4
"26","18","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.7,349.6,357.1,362.2,364.4,371.3,367.1,370,367.1,362.3,347.1,332.8,353.5,357.3,361,370.2,355.2,350.8,365.6,385,399.1,403.6,404.2,418.4,415.5,414.7,416.9,426.4,436.8,449,444.1,473.3,481.3,491.9,515.9,535.9,527.1,539.5,531.3,524,507.1,517.2,518.4,533.7,529.6,535.6,556.3,571,574.3,585,599.2,586.6,600.7,601.9,598,614.2,617.5,624.9
"27","19","  Imports","A021RX1",214.4,256.7,253.3,250.5,249.7,254.7,254.1,258,255,274.2,280.3,261.3,299.5,288.8,294.8,308.1,322.3,313.1,304.4,306.7,296.3,312,306.5,303.5,273,251.2,272.1,286.6,304.5,317.7,330.7,341.6,357.8,361.1,356.1,361.1,385.4,386.6,391.6,397,395.9,398,392,400.5,400.8,371.7,345,363.5,379.1,379.6,375.3,386.1,375.1,368.9,386,370.9,379.4,408.6,440.4,462,499.1,520,533.5,549.1,537,563.4,557.9,579.8,579.3,604,620.7,625.5,621.7,637.2,649.6,664.6,661.5,653.8,669.3,689.7,692.9,696.2,695.2,707.8,730.2,729,726.1,706.6,698.6,711,731,747.1,752.6,764.9,777,795.6,812.8,829.6,840.5,874.3,894.7,928,954.1,981,1002.5,1012,1015.5,1028.5,1061.9,1085.7,1120.9,1143,1191.8,1231.8,1277.2,1304.7,1353.6,1384.7,1403.4,1448.9,1485.4,1532,1586.1,1622.1,1688.9,1735.9,1795.5,1799.9,1768.5,1717.9,1675.7,1656.6,1698,1754.3,1782.5,1817,1793.5,1817.3,1837.2,1907.2,1959.7,2034,2059.8,2111,2130.4,2151.6,2157.2,2222.9,2270.7,2295.9,2315.6,2312.3,2351.8,2360.9,2362.4,2328.3,2349.9,2328.3,2285.2,2191.5,1981.9,1897.6,1969.1,2055.5,2113.9,2213.6,2289.8,2295.2,2311.3,2315.2,2342.8,2376.4,2380.6,2395.1,2398,2379.1,2382.7,2422.9
"28","20","    Goods","A255RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221.7,1264.1,1313.3,1345.1,1398.4,1438.3,1487.8,1493.1,1466,1409.3,1382.6,1371.2,1397.1,1456.3,1482.4,1503.5,1486.3,1525.4,1529.1,1584.3,1628.5,1695,1719.7,1762.2,1784.4,1802.5,1806.6,1865,1897.1,1921,1942,1928.6,1961.7,1967.1,1965,1936,1946.9,1929.6,1880.6,1783.3,1591.4,1511.7,1581,1665.1,1722.9,1818.4,1881.4,1889.2,1909.8,1906.5,1923.1,1954.4,1958.6,1970.7,1972.7,1955.1,1954,1989.6
"29","21","    Services","B656RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.7,265.5,269.9,273.8,287.4,294.2,304.3,303.1,298.8,306.9,290.6,282.5,298.4,294.6,296.5,310.3,304,288,304.4,319.1,327.3,334.9,335.9,344.5,341.3,344.4,345.9,352.7,368.9,369.9,368.3,379.1,385.5,389.4,393,387.9,399.1,394.7,402.4,408,390.5,385.8,388.2,390.3,390.7,394.4,407.5,404.9,399.8,407.4,419,420.9,420.8,423.2,424.2,423.1,428.3,432.6
"30","22","Government consumption expenditures and gross investment","A822RX1",1494.7,1490,1493.5,1473.9,1466.9,1450.2,1456.5,1457.2,1436.1,1432.8,1432.4,1422.6,1429.3,1438,1409.3,1420.1,1431.6,1424.5,1406.4,1415.8,1442.4,1451.6,1453.5,1459.9,1476.1,1466.2,1489.5,1503.4,1506.5,1491.4,1483.9,1484.4,1497.3,1512,1515.4,1512.1,1513.9,1554.1,1566.4,1580.6,1566.9,1583,1585.1,1595.4,1620.2,1625.9,1601.9,1601.8,1622.8,1627.9,1621.6,1639.9,1638.2,1648.9,1659.3,1685.8,1701.9,1719.1,1747.3,1718,1738.1,1777.1,1791.8,1826,1848,1891,1935.4,1941.8,1958,1997.8,2043.4,2031.5,2044.3,2062.9,2067.7,2092.8,2078.6,2086.1,2087.5,2126.8,2117.2,2151.8,2169.8,2181.5,2215.8,2221.2,2219.9,2240.2,2251.2,2259.2,2250.8,2242.3,2259.7,2256.8,2268.4,2263.5,2237.8,2240.3,2245.1,2250,2222.1,2235.1,2272.7,2252.2,2256.8,2268.6,2262.4,2242.1,2246.8,2282.8,2285.2,2301.9,2301.3,2325.3,2329,2332.5,2319,2366,2387.6,2409.4,2418.1,2431.7,2460.3,2496.7,2476.2,2506.4,2501.2,2509,2546.3,2596.4,2594.6,2632.4,2671.3,2696.9,2717.8,2737.1,2728.3,2771.2,2771.2,2786.3,2793.9,2809.9,2820.7,2808.2,2814.1,2818.9,2841,2830.7,2853.5,2864.1,2870.4,2889.1,2882.7,2907,2928,2939.8,2952,2975,3016.2,3035.9,3040.5,3096,3113,3106.8,3084.3,3106.2,3103.5,3071.5,3012,3002.4,2983.2,2971.7,2961.3,2963.5,2988.8,2938.8,2907.4,2904.5
"31","23","  Federal","A823RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.2,805.2,819.4,835.6,804.6,832.8,818.9,814.6,832.3,848.7,855.9,862.6,884,904.7,919,935.7,935.9,982.8,977.1,996,1003,1013,1030.7,1021.8,1027.6,1029.8,1048.6,1033.2,1058.9,1057.7,1058,1069,1054.5,1071.2,1091.6,1097.5,1115.2,1135.7,1169.1,1189.3,1180.1,1218.9,1235.6,1236.2,1247.8,1273.4,1285,1276.4,1241.6,1247,1236.4,1226.7,1219.1,1218.5,1244.6,1198.9,1172.8,1168.2
"32","24","    National defense","A824RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.6,508.9,522.6,532.8,500.9,522.8,512.6,512.7,519.6,528.4,534.2,537.8,549.9,562.8,572.4,584.1,583.7,625.3,617.3,635.5,640.9,648,668.4,653.4,659.1,664.6,679.1,659.3,672.6,678,674.2,690.5,676.6,691,706.9,708,719.7,733.6,764.5,774.5,757.5,788.4,804.9,802.3,798.6,811,825.9,818.6,787.8,800.8,805.6,784.2,770.7,768.8,791.8,745,723.1,722
"33","25","    Nondefense","A825RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.6,296.4,297,303,303.5,310,306.2,301.9,312.6,320.1,321.5,324.5,333.9,341.7,346.4,351.4,352.1,357.5,359.8,360.6,362.1,365,362.4,368.5,368.6,365.3,369.6,374,386.4,379.8,383.8,378.5,378,380.2,384.7,389.6,395.5,402.1,404.5,414.8,422.6,430.4,430.7,433.9,449.2,462.4,459.1,457.7,453.7,446.2,430.8,442.5,448.3,449.7,452.8,453.9,449.8,446.2
"34","26","  State and local","A829RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624.5,1634,1648,1668.1,1680.8,1681.2,1691,1703.6,1722.9,1756.8,1747.3,1778.9,1795.9,1799.8,1805.9,1807.9,1798.5,1791.7,1798,1793,1793.3,1799,1791,1787.7,1787.6,1790.2,1792.9,1798.6,1794.9,1806.9,1813,1820.6,1829,1836.4,1836.7,1842.5,1836.9,1839.3,1847.1,1846.6,1860.4,1877.1,1877.4,1870.6,1836.5,1832.8,1818.5,1795.2,1770.5,1755.5,1746.9,1745,1742.2,1745,1744.3,1739.8,1734.3,1736
"35","27","Residual","A960RX1",-175.4,-160,-159.8,-161.5,-164.6,-157.1,-156.7,-164.4,-142.8,-137.7,-132.9,-143.7,-126.7,-122.7,-111.8,-112.5,-99.6,-83.8,-87.2,-73.8,-83.9,-84.2,-103.9,-96.6,-120.5,-121.5,-125.7,-120.4,-112.6,-105.5,-104.5,-107,-109.4,-91.6,-75.9,-92.2,-94.2,-67,-60.3,-50.7,-47.2,-51,-47.1,-47,-47.6,-50.1,-46.7,-36.4,-18.1,-31.9,-14.8,-36.1,-72.4,-70.1,-94.3,-123.2,-119.1,-113.4,-113.9,-88.6,-76.8,-79.1,-77,-90,-98.5,-109.7,-120.8,-114,-112.5,-130.4,-148.5,-142.1,-135.2,-137.5,-136,-120,-121.9,-109,-109.1,-112.6,-97,-98.2,-101.3,-106.4,-108.2,-106.2,-108.6,-118.1,-124.2,-122.2,-117.2,-108.7,-112.3,-103.6,-102.3,-98.1,-92.6,-92.8,-96.4,-88.5,-77.8,-70.3,-77.8,-66.8,-65.9,-70.5,-63,-54.7,-55.2,-51.9,-47,-42.7,-41.1,-33.8,-30,-29.1,-21.1,-28.6,-27.5,-22.7,-138.9,-113.6,-101.3,-102.8,-80.9,-84,-85.2,-87.1,-83.3,-100.5,-104.5,-72.8,-79.8,-74.6,-60.5,-66.7,-62.4,-50.7,-37.3,-31.9,-28,-21.8,-16.1,-10.9,-10,-0.1,4.1,-1.9,1.7,-4.2,-6.4,-5.4,-6.6,-7.1,-10.3,-15.2,-20,-17.7,-6.8,-10.1,-9.8,-2,4.7,6.8,3.9,-1.9,-2.3,-5,-10.1,-3.1,-13.3,-9.1,-7.5,-11.6,-11,-22.2,-22.5,-23.7
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
