"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"16","9","  Federal","B766RG3",15.483,17.138,18.856,20.665,22.061,23.413,25.253,26.683,28.234,30.051,31.958,34.648,38.063,40.918,42.31,44.43,45.921,46.845,47.407,49.608,51.318,52.877,55.479,57.494,58.811,60.632,62.75,64.086,65.546,66.772,69.005,71.625,73.392,77.43,82.248,85.773,90.139,93.459,96.956,99.329,100,103.098,105.161,105.77
"17","10","  State and local","B767RG3",11.8,12.795,13.825,14.833,15.76,16.91,18.441,19.497,20.827,22.248,24.004,26.188,28.669,30.758,32.926,35.034,37.052,38.855,41.066,42.865,45.532,48.387,51.077,54.062,55.941,57.811,59.327,60.729,62.37,64.374,67.462,70.451,73.729,76.084,79.141,83.38,86.694,90.409,94.411,98.019,100,102.866,104.502,105.881
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",16.338,17.041,17.839,18.49,19.323,20.052,21.335,22.78,24.695,26.38,28.439,31.303,34.677,37.816,40.149,42.249,44.116,46.853,49.115,51.408,53.671,56.502,58.499,60.383,61.887,63.601,65.626,67.637,69.557,71.895,74.078,76.357,79.432,82.694,84.424,86.269,88.24,91.264,94.645,97.418,100,99.698,101.037,103.232
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
