"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRA3",13.08,13.315,13.404,13.455,13.474,13.597,13.584,13.674,13.654,13.954,14.025,14.339,14.617,14.773,15.879,15.042,15.373,14.593,14.753,14.872,14.801,15.133,15.117,15.881,16.091,16.122,15.986,15.889,15.88,16.035,16.205,16.657,17.168,17.652,17.898,18.024,17.945,17.918,17.844,18.099,18.268,18.202,18.355,18.211,17.776,17.83,18.166,18.517,18.947,19.248,19.4,19.242,19.435,19.707,19.581,19.463,19.278,19.57,19.697,20.136,20.371,20.572,20.73,21.054,21.25,21.427,21.641,21.715,22.218,22.685,23.214,23.044,23.795,23.967,24.457,25.4,25.878,25.748,26.119,26.064,26.132,26.588,26.508,26.613,27.461,27.871,28.554,28.508,28.89,28.911
"12","4","    Durable goods","DDURRA3",4.557,4.652,4.717,5.024,4.998,5.032,5.116,5.044,4.952,5.381,5.638,5.862,6.087,6.138,7.593,6.654,6.864,5.879,5.773,5.754,5.787,5.9,5.55,6.506,6.725,6.686,6.645,6.459,6.258,6.561,6.589,6.994,7.623,8.036,8.296,8.078,7.708,7.719,7.583,7.826,7.97,7.782,7.728,7.638,7.13,7.021,7.166,7.429,7.832,8.127,8.284,7.889,8.142,8.327,8.261,8.054,7.611,7.769,7.959,8.345,8.525,8.754,8.817,9.206,9.39,9.591,9.71,9.863,10.247,10.515,10.862,10.528,11.508,11.526,11.92,12.423,13.013,12.494,12.904,12.899,12.655,13.199,13.093,13.126,13.942,14.239,14.88,14.792,15.071,15.03
"13","5","      Motor vehicles and parts","DMOTRA3",8.73,8.886,8.406,9.571,10.205,9.628,9.902,10.482,10.901,13.241,13.68,13.732,14.734,15.427,18.941,17.558,16.883,14.178,13.029,12.159,12.307,12.828,10.492,15.02,16.387,16.022,15.857,14.706,13.77,15.28,14.76,16.245,19.144,21.039,21.786,20.257,17.975,17.315,16.741,17.953,19.17,18.382,17.829,17.874,15.075,14.861,14.872,15.845,17.469,18.547,19.282,16.98,18.753,19.464,19.825,18.722,16.304,16.752,17.257,18.77,19.652,20.417,20.131,21.83,22.485,23.087,23.12,23.581,24.156,24.418,25.573,23.252,28.084,27.525,28.448,28.772,30.556,27.542,28.366,28.215,26.807,29.198,28.348,27.55,31.111,31.63,33.549,33.13,33.981,33.326
"14","6","      Furnishings and durable household equipment","DFDHRA3",9.037,9.309,9.75,10.23,9.806,10.333,10.53,9.886,9.129,9.363,10.168,11.001,10.803,10.437,13.554,10.918,12.24,10.16,10.363,10.705,10.623,10.616,10.737,11.314,11.055,11.186,11.168,11.196,10.968,10.945,11.106,11.586,12.223,12.379,12.839,12.825,12.99,13.396,13.148,13.182,13.056,13.034,12.963,12.66,12.661,12.451,12.88,13.077,13.327,13.617,13.685,13.757,13.528,13.648,13.238,13.173,13.156,13.332,13.572,13.857,13.902,14.071,14.428,14.536,14.798,14.95,15.341,15.584,16.318,16.864,17.056,17.314,17.323,17.554,18.079,19.018,19.33,19.288,19.889,19.726,19.795,19.995,20.015,20.207,20.545,21.023,21.711,21.545,21.703,21.924
"15","7","      Recreational goods and vehicles","DREQRA3",0.447,0.458,0.477,0.488,0.464,0.471,0.468,0.444,0.454,0.45,0.466,0.489,0.555,0.554,0.679,0.592,0.611,0.552,0.57,0.596,0.614,0.622,0.633,0.667,0.698,0.698,0.696,0.699,0.712,0.733,0.764,0.795,0.812,0.838,0.861,0.875,0.874,0.895,0.895,0.904,0.885,0.865,0.88,0.857,0.86,0.842,0.871,0.897,0.952,0.969,0.971,0.975,0.962,0.976,0.947,0.955,0.959,0.986,1.014,1.031,1.026,1.046,1.08,1.105,1.12,1.159,1.174,1.195,1.275,1.35,1.394,1.436,1.466,1.542,1.604,1.748,1.837,1.904,2.011,2.077,2.081,2.103,2.157,2.265,2.308,2.332,2.44,2.452,2.51,2.543
"16","8","      Other durable goods","DODGRA3",6.297,6.267,6.473,6.496,6.48,6.497,6.524,6.545,6.38,6.35,6.287,6.412,6.436,6.545,6.946,6.693,6.844,6.736,6.848,7.062,7.111,7.281,7.433,7.693,7.702,7.624,7.532,7.48,7.372,7.709,8.132,8.298,8.073,8.382,8.418,8.723,8.565,8.684,8.867,9.04,8.801,8.576,9.072,9.001,8.837,8.783,9.017,9.194,9.058,9.23,9.268,9.425,9.27,9.43,9.28,9.268,9.244,9.351,9.539,9.865,10.03,10.372,10.43,10.68,10.567,10.721,10.897,10.815,11.226,11.487,11.99,12.007,12.445,12.331,12.85,13.887,15.005,14.735,14.861,14.653,14.631,15.043,14.905,15.197,15.568,16.472,16.717,16.856,17.151,17.127
"17","9","    Nondurable goods","DNDGRA3",21.226,21.59,21.69,21.406,21.476,21.687,21.555,21.837,21.921,21.982,21.79,22.147,22.43,22.691,23.083,22.57,22.984,22.648,23.124,23.396,23.202,23.742,24.159,24.514,24.666,24.779,24.552,24.588,24.825,24.759,25.072,25.494,25.759,26.234,26.41,26.947,27.251,27.183,27.201,27.419,27.585,27.689,28.073,27.89,27.638,27.889,28.399,28.789,29.164,29.405,29.518,29.701,29.775,30.1,29.924,29.945,30.122,30.526,30.549,30.964,31.221,31.346,31.59,31.767,31.941,32.05,32.343,32.302,32.855,33.482,34.136,34.201,34.528,34.858,35.38,36.693,36.96,37.31,37.578,37.474,37.895,38.177,38.141,38.314,39.068,39.548,40.178,40.187,40.633,40.723
"18","10","      Food and beverages purchased for off-premises consumption","DFXARA3",34.908,35.606,35.464,34.582,34.65,35.245,34.449,35.088,35.128,35.126,34.968,34.949,35.731,35.881,35.954,35.592,35.786,35.701,36.335,36.094,35.902,36.887,37.389,37.675,38.47,38.516,38.244,38.252,38.916,38.792,39.636,40.28,40.522,41.143,41.473,42.096,42.737,42.541,42.552,42.894,43.21,43.622,44.033,43.927,43.59,43.53,43.933,44.464,45.277,45.552,45.825,46.127,45.969,46.255,45.978,45.886,46.269,46.777,46.688,46.917,46.878,46.82,47.209,46.983,46.984,47.246,47.543,47.655,47.941,48.776,49.49,49.673,50.219,50.596,51.292,53.578,53.329,53.447,53.598,53.339,54.397,54.695,54.397,55.112,55.77,56.773,57.778,57.973,58.698,58.447
"19","11","      Clothing and footwear","DCLORA3",12.412,12.262,12.462,12.449,12.331,12.409,12.526,12.807,12.826,12.664,12.203,12.681,12.659,12.878,13.35,12.756,13.025,12.548,12.813,12.993,12.894,13.352,13.757,14.058,13.569,13.898,13.634,13.442,13.599,13.6,13.547,13.848,14.008,14.392,14.274,14.578,14.585,14.638,14.775,14.756,14.571,14.509,14.819,14.44,14.299,14.573,14.9,15.157,15.214,15.606,15.499,15.648,15.694,15.803,15.546,15.486,15.627,15.789,15.918,16.349,16.434,16.617,16.692,16.827,16.76,16.863,17.162,17.004,17.707,18.173,18.441,18.624,18.643,18.612,19,19.723,20.142,20.217,20.448,20.265,20.277,20.433,20.524,20.403,20.976,21.121,21.484,21.331,21.544,21.626
"20","12","      Gasoline and other energy goods","DGOERA3",31.42,32.487,32.822,32.74,33.487,33.562,33.903,33.517,33.216,33.714,33.732,34.128,34.307,35.606,36.296,35.42,36.824,36.552,37.491,38.293,38.141,38.577,39.158,39.63,39.771,39.638,40.08,39.989,40.212,40.327,41.156,42.24,42.925,43.975,44.433,45.645,46.098,46.19,45.625,46.632,47.275,46.71,47.622,47.507,47.776,49.204,50.081,50.53,50.619,50.718,50.533,50.531,50.96,52.155,51.253,51.26,50.636,51.935,50.778,50.92,52.361,52.478,52.412,53.649,54.954,54.381,54.204,54.659,55.618,56.99,58.729,58.493,58.221,59.703,61.095,61.759,61.807,63.364,64.213,64.536,64.418,65.042,64.892,66.08,67.459,67.556,68.272,68.142,69.642,70.535
"21","13","      Other nondurable goods","DONGRA3",10.68,11.132,11.272,11.287,11.447,11.405,11.564,11.55,11.821,12.122,12.249,12.721,12.838,12.96,13.399,13.056,13.557,13.221,13.582,14.32,14.044,14.107,14.316,14.696,14.955,14.887,14.664,15.03,14.879,14.766,14.8,14.899,15.158,15.353,15.633,16.079,16.306,16.196,16.2,16.354,16.653,16.782,17.012,17.015,16.66,16.871,17.501,17.801,18.091,18.095,18.347,18.45,18.684,19.033,19.249,19.47,19.624,19.914,20.17,20.7,21.123,21.328,21.638,21.98,22.315,22.402,22.712,22.565,22.975,23.277,23.934,23.797,24.317,24.695,24.89,25.76,26.339,26.9,27.14,27.211,27.5,27.774,27.875,27.609,28.343,28.678,29.081,29.132,29.249,29.481
"22","14","  Services","DSERRA3",10.896,11.054,11.029,10.972,11.09,11.263,11.323,11.437,11.509,11.567,11.543,11.577,11.721,12.017,12.202,12.28,12.615,12.7,12.859,12.891,13.05,13.254,13.43,13.621,13.76,13.925,14.009,13.905,14.035,14.278,14.526,14.701,14.874,14.983,15.136,15.437,15.586,15.735,15.9,16.107,16.169,16.308,16.426,16.603,16.584,16.824,17.053,17.164,17.373,17.632,17.87,18.086,18.248,18.451,18.428,18.607,18.793,19.068,19.127,19.464,19.648,19.942,20.113,20.367,20.448,20.672,21.035,21.322,21.664,21.965,22.253,22.558,22.817,23.164,23.483,23.882,24.127,24.388,24.586,24.853,25.083,25.325,25.669,25.883,26.283,26.692,27.034,27.332,27.575,27.914
"23","15","    Household consumption expenditures (for services)","DHCERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.432,18.714,18.971,19.189,19.33,19.532,19.5,19.7,19.917,20.196,20.252,20.602,20.794,21.124,21.321,21.607,21.693,21.917,22.287,22.575,22.913,23.236,23.552,23.886,24.171,24.526,24.839,25.25,25.511,25.811,26.044,26.351,26.586,26.826,27.164,27.366,27.799,28.254,28.63,28.956,29.226,29.591
"24","16","      Housing and utilities","DHUTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.033,20.23,20.594,20.885,21.172,21.381,21.599,21.957,22.134,22.467,22.66,23.078,23.371,23.712,24.014,24.471,24.693,24.747,25.18,25.413,25.766,26.012,26.342,26.763,27.034,27.449,27.806,28.148,28.39,28.701,29.041,29.352,29.553,29.996,30.317,30.817,31.214,31.356,31.842,32.325,32.818,33.142
"25","17","      Health care","DHLCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.499,14.609,14.662,14.623,14.823,14.93,14.542,14.845,15.002,15.424,15.55,15.791,16.175,16.615,17.072,17.468,17.693,17.848,17.97,18.272,18.993,19.73,20.4,20.79,21.136,21.07,20.684,20.668,21.025,21.767,22.364,22.953,23.028,23.064,23.035,23.094,23.71,24.619,25.203,25.845,26.284,26.616
"26","18","      Transportation services","DTRSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.818,22.145,22.604,22.883,23.012,23.06,23.119,23.165,23.126,23.264,23.378,23.717,23.915,24.22,24.289,24.556,24.824,25.105,25.448,25.825,26.151,26.499,26.896,27.197,27.382,27.814,28.28,28.696,28.984,29.616,29.592,30.458,30.822,30.935,31.408,31.793,32.389,32.919,33.556,34.073,34.639,35.168
"27","19","      Recreation services","DRCARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.416,10.668,10.739,10.868,11.12,11.245,11.289,11.397,11.509,11.643,11.769,12.058,12.066,12.513,12.248,12.43,12.605,12.659,13.244,12.752,13.254,13.134,13.248,13.711,13.78,13.756,13.775,14.029,14.099,14.492,14.828,15.26,15.366,14.999,15.62,14.678,15.53,16.046,16.256,16.645,16.905,17.199
"28","20","      Food services and accommodations","DFSARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.047,28.419,29.034,29.361,28.875,29.31,28.922,28.959,29.188,28.959,28.9,29.395,29.685,29.977,30.306,30.658,30.705,30.807,30.858,31.27,31.984,32.395,32.66,32.923,33.677,34.628,35.128,35.817,36.468,36.536,36.752,36.42,36.117,35.803,36.194,36.558,37.946,38.276,38.694,38.738,38.701,39.541
"29","21","      Financial services and insurance","DIFSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.315,11.686,11.912,12.136,12.123,12.279,12.3,12.23,12.797,13.105,12.765,12.91,12.722,12.979,12.871,12.924,12.738,13.057,13.512,14.001,13.919,14.133,14.496,14.513,14.742,14.99,15.266,15.832,15.948,15.855,15.691,15.432,16.048,16.327,16.872,16.808,16.561,17.515,17.643,17.738,17.316,17.532
"30","22","      Other services","DOTSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.785,23.292,23.331,23.57,23.808,24.082,23.908,24.114,24.277,24.711,24.794,25.245,25.437,25.68,25.894,25.933,25.758,26.494,26.977,27.474,27.503,27.869,27.856,28.242,28.406,28.947,29.878,30.603,30.804,31.02,31.101,31.839,32.263,32.938,33.244,33.661,33.785,33.905,34.043,34.012,34.471,34.762
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.192,3.177,3.162,3.248,3.458,3.574,3.622,3.595,3.52,3.639,3.68,3.786,3.838,3.791,3.74,3.692,3.705,3.823,3.97,4.11,4.311,4.345,4.338,4.342,4.327,4.466,4.658,4.8,4.839,4.757,4.669,4.588,4.677,4.818,5.027,5.198,5.225,5.184,5.171,5.173,5.154,5.183
"32","24","      Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.561,13.231,12.955,12.958,13.545,13.858,13.618,13.808,13.738,14.382,14.432,14.708,14.943,15.014,15.118,15.214,15.426,15.788,16.1,16.445,17.002,17.181,17.273,17.28,17.591,17.993,18.426,18.814,19.161,19.409,19.455,19.561,19.818,20.31,20.83,21.262,21.518,21.932,22.036,22.368,22.655,22.975
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.984,20.255,19.656,19.379,20.072,20.434,19.769,20.266,20.324,21.413,21.406,21.711,22.084,22.377,22.753,23.1,23.531,23.995,24.265,24.633,25.295,25.594,25.815,25.821,26.539,27.036,27.454,27.912,28.563,29.334,29.675,30.127,30.443,31.127,31.694,32.172,32.658,33.664,33.924,34.639,35.306,35.92
"34","26","Gross private domestic investment","B006RA3",11.857,10.948,10.626,12.683,13.984,14.849,15.001,14.284,12.142,10.528,11.401,10.84,13.413,14.849,16.125,18.174,16.317,16.695,15.466,14.234,14.605,13.504,14.228,15.253,15.581,15.67,15.342,14.234,14.132,14.099,14.779,15.426,16.967,17.994,18.269,18.693,18.16,18.017,17.856,17.691,17.416,17.398,17.797,16.429,15.319,15.01,16.162,17.54,18.496,19.935,18.647,19.254,21.19,19.215,19.166,17.043,17.485,18.71,20.165,20.498,21.603,21.433,21.797,21.159,22.273,22.627,23.324,23.607,24.49,24.402,24.972,25.209,27.612,27.685,28.649,28.839,31.143,30.682,30.455,30.634,29.882,28.801,29.645,30.285,30.892,32.074,31.199,31.538,33.396,33.199
"35","27","  Fixed investment","B007RA3",11.45,11.153,11.513,12.461,12.859,12.84,12.709,12.564,11.861,11.501,11.481,11.898,12.63,13.748,14.726,14.432,13.909,13.289,13.094,12.993,13.192,13.414,12.685,13.65,14.205,14.315,14.341,14.217,14.018,14.241,14.782,15.106,15.684,16.336,16.707,16.774,16.495,16.664,16.673,16.595,16.584,16.441,16.609,16.332,15.411,15.031,15.257,16.161,17.113,17.641,17.828,17.621,18.209,17.878,17.495,17.46,17.312,17.596,18.018,18.588,18.944,19.481,19.638,19.578,19.834,20.718,21.228,21.863,22.62,22.578,22.945,23.146,24.191,24.876,25.549,26.141,27.115,26.85,26.879,26.166,25.671,26.305,26.622,27.421,28.034,27.965,28.399,29.069,29.878,30.035
"36","28","    Nonresidential","B008RA3",8.116,7.989,7.843,8.061,8.529,8.245,8.265,8.456,8.06,7.76,7.406,7.314,7.526,8.153,8.829,8.816,8.585,8.689,8.79,8.646,8.73,8.868,8.177,8.902,9.384,9.478,9.69,9.602,9.35,9.266,9.502,9.489,9.65,10.221,10.727,11.048,10.912,11.108,11.22,11.221,11.281,11.258,11.485,11.22,10.506,10.118,10.012,10.388,10.711,11.02,11.316,11.285,11.677,11.848,11.64,11.613,11.447,11.702,11.817,12.176,12.42,12.756,12.914,12.866,12.897,13.298,13.663,14.061,14.356,14.692,15.166,15.489,16.475,17.08,17.701,18.421,19.193,19.509,19.766,19.766,19.445,19.399,19.365,19.755,20.337,20.087,20.363,20.918,21.453,21.687
"37","29","      Structures","B009RA3",28.974,28.821,29.017,28.599,29.193,30.006,30.903,31.345,30.756,30.036,28.707,27.919,29.25,30.725,32.504,33.337,33.445,34.58,34.371,33.049,33.089,33.327,33.605,34.893,35.943,36.633,36.837,37.487,37.869,38.132,38.048,37.887,39.06,40.03,41.358,42.38,43.696,45.253,45.539,45.431,45.04,45.009,45.016,44.76,43.921,42.465,41.495,42.136,41.988,43.288,44.575,44.236,46.082,46.628,46.717,48.495,48.275,47.47,47.498,47.248,48.135,49.889,51.204,49.964,48.226,50.512,50.862,51.901,53.245,55.048,56.854,57.306,60.245,64.444,65.121,68.119,69.735,68.39,69.914,67.536,68.238,66.299,66.999,67.107,68.416,67.832,67.392,68.768,69.831,70.386
"38","30","      Equipment","Y033RA3",7.426,7.267,7.022,7.429,8.058,7.522,7.426,7.664,7.177,6.825,6.461,6.391,6.502,7.235,8.01,7.888,7.552,7.565,7.729,7.654,7.695,7.802,6.647,7.482,8.014,8.002,8.272,8.032,7.583,7.414,7.766,7.748,7.819,8.511,9.044,9.308,8.846,8.865,8.954,8.932,9.093,9.059,9.379,9.007,8.048,7.636,7.557,7.965,8.404,8.656,8.938,8.92,9.229,9.384,8.979,8.663,8.381,8.782,8.902,9.437,9.681,9.926,9.962,9.991,10.176,10.38,10.827,11.251,11.528,11.765,12.181,12.542,13.498,13.74,14.475,15.037,15.864,16.423,16.497,16.732,16.068,16.242,16.02,16.53,17.159,16.745,17.159,17.755,18.402,18.593
