"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Less: Income payments to the rest of the world","A655RA3",0.818,0.796,0.769,0.904,0.85,0.854,1.008,0.886,1.028,0.998,1.028,1.038,1.084,1.111,1.141,1.157,1.237,1.245,1.223,1.215,1.169,1.256,1.269,1.317,1.295,1.286,1.329,1.397,1.349,1.342,1.323,1.326,1.366,1.481,1.51,1.504,1.52,1.477,1.548,1.554,1.559,1.548,1.585,1.594,1.631,1.52,1.594,1.669,1.743,1.823,1.929,2.046,2.269,2.203,2.172,2.098,2.131,2.141,2.221,2.284,2.176,2.215,2.231,2.256,2.289,2.406,2.51,2.594,2.635,2.695,2.697,2.848,2.868,2.924,3.002,3.088,3.129,3.19,3.404,3.49,3.491,3.488,3.46,3.629,3.844,4.092,4.193,4.241,4.685,5.22
"12","4","Equals: Gross national product","B001RA3",13.355,13.343,13.329,13.542,13.747,13.973,14.052,14.066,13.872,13.823,13.972,13.84,14.393,14.831,15.414,15.71,15.92,16.21,16.546,16.588,16.756,16.791,16.91,17.46,17.781,17.925,17.814,17.545,17.472,17.49,17.688,18.044,18.559,18.857,19.11,19.227,19.167,19.322,19.31,19.607,19.754,19.721,19.905,19.673,19.169,19.297,19.736,20.193,20.566,21.063,21.032,21.122,21.584,21.506,21.565,21.313,21.466,21.854,22.219,22.67,23.074,23.336,23.558,23.674,23.926,24.229,24.702,24.882,25.433,25.725,26.078,26.156,26.822,27.192,27.725,28.356,29.058,29.176,29.379,29.638,29.906,29.926,30.202,30.438,31.057,31.582,31.814,31.953,32.447,32.542
"13","5","Less: Consumption of fixed capital","A262RA3",8.051,8.115,8.156,8.152,8.133,8.126,8.13,8.147,8.182,8.21,8.247,8.27,8.309,8.359,8.415,8.491,8.572,8.664,8.761,8.868,8.977,9.095,9.22,9.353,9.493,9.63,9.761,9.89,10.026,10.146,10.264,10.376,10.492,10.612,10.727,10.84,10.966,11.088,11.209,11.324,11.445,11.568,11.703,11.848,12.001,12.138,12.261,12.366,12.455,12.545,12.634,12.731,12.826,12.926,13.037,13.158,13.288,13.418,13.549,13.686,13.835,13.978,14.136,14.302,14.472,14.64,14.812,14.99,15.16,15.339,15.531,15.728,15.937,16.16,16.39,16.628,16.882,17.134,17.389,17.646,17.9,18.158,18.41,18.659,18.902,19.155,19.41,19.663,19.931,20.176
"14","6","  Private","A024RA3",5.796,5.907,6.024,6.146,6.275,6.395,6.506,6.607,6.698,6.789,6.88,6.971,7.062,7.155,7.248,7.343,7.439,7.527,7.606,7.678,7.74,7.811,7.89,7.978,8.074,8.169,8.262,8.355,8.445,8.539,8.635,8.734,8.835,8.94,9.048,9.158,9.272,9.381,9.486,9.587,9.684,9.791,9.909,10.037,10.178,10.298,10.396,10.473,10.528,10.583,10.637,10.691,10.745,10.809,10.884,10.969,11.065,11.162,11.26,11.359,11.459,11.567,11.684,11.81,11.944,12.08,12.218,12.356,12.495,12.648,12.814,12.995,13.19,13.395,13.611,13.839,14.077,14.312,14.544,14.771,14.994,15.215,15.433,15.65,15.863,16.086,16.319,16.562,16.814,17.058
"15","7","  Government","A264RA3",19.376,19.215,18.883,18.253,17.496,16.845,16.313,15.901,15.647,15.349,15.106,14.77,14.536,14.356,14.209,14.185,14.187,14.297,14.481,14.768,15.114,15.479,15.842,16.209,16.581,16.934,17.26,17.58,17.952,18.206,18.438,18.61,18.798,18.994,19.143,19.263,19.451,19.635,19.834,20.014,20.263,20.467,20.682,20.905,21.121,21.344,21.59,21.838,22.102,22.379,22.65,22.97,23.279,23.57,23.869,24.17,24.473,24.776,25.075,25.406,25.814,26.134,26.503,26.871,27.22,27.551,27.902,28.279,28.602,28.913,29.234,29.507,29.788,30.095,30.391,30.674,31.001,31.333,31.708,32.111,32.519,32.959,33.378,33.794,34.181,34.581,34.946,35.239,35.581,35.822
"16","8","    General government","A265RA3",20.698,20.517,20.13,19.432,18.591,17.865,17.263,16.801,16.511,16.175,15.894,15.517,15.248,15.032,14.848,14.814,14.81,14.924,15.113,15.424,15.792,16.176,16.562,16.961,17.365,17.747,18.1,18.439,18.836,19.109,19.356,19.537,19.734,19.937,20.088,20.21,20.405,20.592,20.802,20.991,21.25,21.458,21.686,21.921,22.145,22.379,22.633,22.894,23.171,23.458,23.746,24.072,24.401,24.694,25.012,25.32,25.639,25.948,26.257,26.607,27.036,27.369,27.754,28.135,28.504,28.853,29.223,29.612,29.95,30.274,30.601,30.88,31.166,31.481,31.79,32.078,32.416,32.755,33.142,33.567,33.987,34.455,34.889,35.319,35.718,36.122,36.502,36.79,37.132,37.373
"17","9","    Government enterprises","A266RA3",7.487,7.52,7.732,7.742,7.785,7.835,7.948,8.009,8.083,8.147,8.258,8.306,8.398,8.55,8.756,8.829,8.89,8.97,9.105,9.189,9.337,9.544,9.697,9.778,9.869,9.949,10.035,10.195,10.352,10.437,10.535,10.627,10.741,10.871,11.018,11.118,11.244,11.411,11.507,11.619,11.785,11.95,12.059,12.179,12.326,12.456,12.638,12.77,12.926,13.117,13.238,13.511,13.652,13.936,14.06,14.31,14.474,14.74,14.958,15.118,15.341,15.559,15.789,16.053,16.231,16.405,16.589,16.869,17.064,17.259,17.539,17.781,18.018,18.268,18.458,18.701,18.944,19.217,19.488,19.708,20.02,20.216,20.507,20.811,21.096,21.478,21.719,22.072,22.415,22.672
"18","10","Equals: Net national product","A027RA3",14.556,14.527,14.5,14.763,15.021,15.302,15.398,15.412,15.162,15.095,15.271,15.102,15.778,16.307,17.016,17.363,17.604,17.941,18.334,18.36,18.54,18.554,18.67,19.319,19.683,19.827,19.656,19.29,19.165,19.157,19.373,19.787,20.396,20.736,21.021,21.138,21.031,21.193,21.147,21.487,21.639,21.565,21.76,21.433,20.765,20.889,21.404,21.947,22.388,22.984,22.921,23.008,23.559,23.436,23.481,23.137,23.294,23.743,24.164,24.689,25.153,25.442,25.678,25.78,26.05,26.383,26.927,27.106,27.746,28.064,28.453,28.501,29.273,29.677,30.28,31.002,31.808,31.893,32.081,32.338,32.608,32.571,32.851,33.081,33.787,34.374,34.599,34.71,35.255,35.313
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",14.629,14.595,14.568,14.829,15.08,15.359,15.455,15.469,15.222,15.157,15.337,15.176,15.853,16.383,17.08,17.432,17.68,18.001,18.393,18.411,18.602,18.615,18.735,19.393,19.762,19.901,19.742,19.372,19.236,19.228,19.446,19.847,20.459,20.805,21.092,21.207,21.082,21.247,21.196,21.561,21.687,21.6,21.805,21.511,20.833,20.956,21.482,22.032,22.478,23.08,23.006,23.084,23.648,23.519,23.557,23.201,23.348,23.812,24.233,24.76,25.23,25.503,25.74,25.812,26.096,26.442,26.986,27.161,27.787,28.118,28.504,28.569,29.319,29.718,30.346,31.099,31.905,31.991,32.186,32.436,32.711,32.68,32.939,33.179,33.886,34.474,34.694,34.807,35.357,35.426
"21","12","  Net domestic purchases","W367RA3",13.794,13.785,13.76,14.19,14.557,14.956,15.06,15.097,14.726,14.662,14.898,14.864,15.562,16.111,16.934,17.223,17.428,17.63,17.918,17.925,18.15,18.276,18.519,19.241,19.598,19.775,19.579,19.197,19.05,19.001,19.191,19.556,20.177,20.593,20.831,20.974,20.844,20.932,20.853,21.115,21.238,21.199,21.417,21.165,20.623,20.782,21.285,21.886,22.288,22.901,22.803,22.883,23.341,23.141,23.18,22.746,22.896,23.389,23.884,24.393,24.899,25.067,25.399,25.515,25.738,25.948,26.602,26.698,27.226,27.556,27.985,28.038,28.916,29.182,29.915,30.612,31.484,31.53,31.884,32.091,32.356,32.329,32.654,32.93,33.684,34.26,34.477,34.6,35.204,35.225
