"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","        Equipment","Y054RZ2",NA,-1.28,3.74,-0.14,6.67,0.53,-0.92,3.37,3.33,4.05,0.93,-3.03,-6.42,0.51,2.69,-0.23,13.09,14.49,14.86,13.02,-2.02,-0.05,0.63,0.7,4.47,4.07,-0.76,-5.69,-0.45,-1.76,-7.09,-1.54,-1.17,0.93,-3.43,-2.15,0.16,-0.37,0.97,1.8,-0.33,-1.48,1.5,-0.71,-0.79,1.7,-0.45,1.42,5.24,0.18,1.79,-0.59,-0.67,-2.65,2.29,-1.3,4.08,-0.6,2.43,0.37,2.25,-1.8,2.2,-2.1,-2.71,-1.16,1.61,-0.43,-0.3,-0.67,-0.56,-0.07,-1.35,-1.92,1.01,-0.88,3.61,-1.62,3.98,1.25,1.95,-1.93,2.52,-1.45,-1.75,-0.43,-0.72,-1.6,2.89,-4.59
"16","6","        Intellectual property products","Y055RZ2",NA,0.05,0.28,0.35,0.47,0.63,0.26,0.31,0.2,0.2,0.26,0.25,0.33,0.2,0.09,0.13,-0.05,0.19,0.29,0.3,0.32,0.3,0.32,0.27,0.29,0.28,0.34,0.39,0.45,0.37,0.34,0.35,0.31,0.67,0.86,1.17,1.37,1.33,1.25,1.04,0.89,0.79,0.56,0.42,0.26,0.2,0.34,0.41,0.47,0.42,0.44,0.37,0.66,0.97,0.68,0.59,0.73,0.89,0.77,0.59,0.55,0.79,1.07,1.28,1.53,1.36,1.53,0.54,0.69,0.55,0.44,0.42,0.38,0.77,0.85,0.96,1.1,0.86,0.69,0.45,0.28,0.2,0.18,0.25,0.21,0.19,0.16,0.1,0.07,-0.1
"17","7","          Software","Y056RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.01,0.05,0.02,0.02,-0.04,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.33,-0.26,0.09,0,0.02,0.02,-0.06,0.13,0.04,0.02,0.03,0.05,0.08,0.05,0.02,0,0.02,0.01,0.01,0.04,0.05,0.04,0.07,0.08
"18","8","          Research and development","Y057RZ2",NA,0.05,0.28,0.35,0.47,0.63,0.26,0.31,0.2,0.2,0.26,0.25,0.33,0.2,0.09,0.13,-0.05,0.19,0.29,0.3,0.32,0.3,0.32,0.27,0.29,0.28,0.34,0.39,0.45,0.37,0.34,0.35,0.31,0.67,0.86,1.17,1.37,1.33,1.25,1.04,0.89,0.79,0.56,0.42,0.26,0.2,0.34,0.41,0.47,0.42,0.44,0.37,0.65,0.92,0.66,0.57,0.77,0.89,0.77,0.57,0.54,0.78,1.06,1.27,1.51,1.34,1.2,0.8,0.61,0.55,0.42,0.41,0.44,0.64,0.82,0.94,1.07,0.81,0.61,0.4,0.26,0.2,0.17,0.24,0.2,0.15,0.11,0.07,0.01,-0.17
"19","9","Federal","A823RZ2",NA,1.67,-0.56,-5.09,5.49,9.81,5.57,11.6,5.33,9.9,-2.63,-11,-9.93,5.56,-6.48,31.63,51.09,61.72,50.64,22.87,11.9,11.64,6.96,4.21,10.75,8.68,-7.01,-3.8,-13.77,-13.48,-11.77,-3.11,-5.18,-5.5,2.68,-8.51,-1.58,6.45,-4.05,8.84,5.38,-3.31,1.29,3.27,-7.5,8.19,-0.83,5.62,-5.1,4.58,3.24,-2.47,-9.21,0.49,7.64,0.91,0.89,2.01,7.25,4.59,9.07,0.84,7.54,1.19,-8.17,-1.07,14.39,-6.11,-1.2,-0.1,-1.31,-1.94,-1.96,0.49,8.79,5.22,5.58,6.39,9.25,2.72,15.59,-2.51,3.87,0.2,4.16,-1.18,-1.23,-1.08,-0.61,-2.77
"20","10","    Consumption expenditures","A957RZ2",NA,0.53,-6.76,-7.62,-1.56,7.95,5.35,8.64,0.64,5.42,-6.93,-8.54,-2.27,3.15,-8.85,31.07,34.41,42.23,33.43,7.73,12.23,10.55,5.07,3.17,5.31,5.31,-5.47,2.1,-13.73,-10.53,-4.32,-1.13,-3,-6.33,6.26,-7.11,-2.68,4.5,-7.59,6.04,5.36,-2.17,-1.18,4.05,-8.71,6.35,-1.41,2.71,-10.38,4.08,2.08,-0.84,-9.09,1.6,4.05,1,-5.18,3.09,4.59,3.25,6.74,1.36,5.51,1.4,-5.94,-1.53,10.07,-3.2,-2.4,0.32,-1.13,-2.43,-0.4,1.45,6.85,5.04,0.66,7.73,4.98,1.56,13.99,0.17,0.73,1.58,5.93,-0.58,-0.49,0.39,-3.18,1.97
"21","11","    Gross investment","A787RZ2",NA,1.14,6.2,2.53,7.04,1.87,0.23,2.96,4.69,4.48,4.3,-2.46,-7.66,2.41,2.37,0.56,16.68,19.5,17.21,15.13,-0.32,1.08,1.9,1.05,5.44,3.37,-1.54,-5.9,-0.04,-2.96,-7.44,-1.98,-2.18,0.84,-3.59,-1.4,1.1,1.96,3.54,2.81,0.02,-1.14,2.47,-0.78,1.21,1.84,0.58,2.91,5.28,0.49,1.16,-1.63,-0.12,-1.11,3.59,-0.1,6.07,-1.08,2.66,1.34,2.33,-0.52,2.03,-0.22,-2.23,0.46,4.32,-2.91,1.2,-0.42,-0.19,0.49,-1.56,-0.96,1.95,0.19,4.92,-1.34,4.27,1.15,1.59,-2.68,3.14,-1.37,-1.76,-0.59,-0.74,-1.47,2.56,-4.74
"22","12","      Structures","A801RZ2",NA,2.48,2.28,2.4,0.9,0.48,0.68,-0.76,0.94,0.75,3.45,0.55,-1.77,1.65,-0.56,0.45,4.07,4.81,2.11,1.79,1.56,0.87,0.98,0.12,0.77,-0.95,-1.09,-0.57,0.23,-1.58,-0.63,-0.74,-1.47,-0.68,-1.07,-0.55,-0.05,1.13,1.43,0.03,-0.07,-0.27,0.54,-0.39,1.53,-0.01,0.72,1.15,-0.33,-0.04,-1.01,-1.32,0.16,0.68,0.69,0.69,1.23,-1.28,-0.49,0.41,-0.29,0.54,-1.19,0.68,-0.71,0.39,1.32,-2.9,1.03,-0.16,0.07,0.29,-0.62,0.33,0.23,0.23,0.31,-0.41,-0.26,-0.42,-0.65,-0.85,0.47,-0.17,-0.17,-0.3,-0.04,0.14,-0.31,0.05
"23","13","      Equipment","Y058RZ2",NA,-1.39,3.63,-0.22,5.67,0.76,-0.71,3.42,3.57,3.54,0.6,-3.24,-6.21,0.57,2.84,-0.02,12.66,14.51,14.82,13.05,-2.19,-0.08,0.61,0.67,4.39,4.04,-0.77,-5.7,-0.7,-1.73,-7.14,-1.58,-1.03,0.84,-3.36,-2.01,-0.21,-0.5,0.86,1.75,-0.79,-1.65,1.39,-0.8,-0.56,1.65,-0.48,1.36,5.15,0.13,1.74,-0.67,-0.91,-2.72,2.24,-1.36,4.12,-0.68,2.4,0.36,2.09,-1.83,2.17,-2.14,-3.01,-1.25,1.5,-0.53,-0.5,-0.79,-0.68,-0.2,-1.3,-2.03,0.9,-0.97,3.54,-1.76,3.87,1.16,2,-2,2.5,-1.44,-1.79,-0.47,-0.84,-1.69,2.83,-4.67
"24","14","      Intellectual property products","Y059RZ2",NA,0.05,0.28,0.35,0.46,0.62,0.25,0.29,0.19,0.19,0.25,0.24,0.32,0.19,0.08,0.12,-0.05,0.18,0.28,0.29,0.31,0.29,0.32,0.26,0.28,0.27,0.33,0.37,0.43,0.35,0.33,0.34,0.31,0.67,0.85,1.16,1.36,1.33,1.24,1.03,0.88,0.78,0.55,0.41,0.24,0.19,0.34,0.4,0.47,0.41,0.43,0.36,0.63,0.93,0.66,0.57,0.72,0.88,0.75,0.57,0.53,0.78,1.05,1.25,1.5,1.33,1.49,0.51,0.67,0.53,0.43,0.41,0.35,0.74,0.81,0.92,1.06,0.82,0.66,0.41,0.25,0.17,0.17,0.24,0.2,0.17,0.14,0.09,0.05,-0.13
"25","15","        Software","Y060RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.01,0.01,0.01,0,0,0,0,0.31,-0.27,0.08,0,0.02,0.02,-0.07,0.12,0.02,0.01,0.02,0.03,0.07,0.03,0.02,0,0.02,0.01,0.01,0.03,0.04,0.03,0.05,0.06
"26","16","        Research and development","Y061RZ2",NA,0.05,0.28,0.35,0.46,0.62,0.25,0.29,0.19,0.19,0.25,0.24,0.32,0.19,0.08,0.12,-0.05,0.18,0.28,0.29,0.31,0.29,0.32,0.26,0.28,0.27,0.33,0.37,0.43,0.35,0.33,0.34,0.31,0.67,0.85,1.16,1.36,1.33,1.24,1.03,0.88,0.78,0.55,0.41,0.24,0.19,0.34,0.4,0.47,0.41,0.43,0.36,0.63,0.9,0.64,0.56,0.76,0.88,0.75,0.56,0.52,0.77,1.05,1.25,1.5,1.33,1.18,0.78,0.59,0.53,0.41,0.39,0.42,0.62,0.79,0.92,1.04,0.79,0.59,0.38,0.23,0.18,0.15,0.23,0.19,0.14,0.1,0.05,-0.01,-0.19
"27","17","  National defense","A824RZ2",NA,-11.78,7.98,5.03,-2.73,-4.67,-1.47,7.34,4.74,3.44,-0.34,-10.34,-6.04,1.57,10.21,27.87,53.43,56.07,49.98,21.81,8.28,13.43,5.44,4.12,7.56,2.05,-2.72,-4.44,-14.98,-9.26,-10.6,-7.59,-0.6,-7.63,2.32,-6.58,-0.73,5.65,-0.56,6.96,2.29,1.78,2.04,-2.58,-1.77,2.56,0.03,1.81,-6.59,-2.71,3.17,-1.91,-3.15,-1.67,6.36,-2.17,5.25,-0.86,6.13,3.74,7.3,-2.07,3.52,0.18,-7.05,-1.16,8.15,-5.1,-2.85,-2.26,-0.38,-2.55,-3.05,-0.71,5.45,4.88,6.03,3.83,10.64,4.66,10.76,0.28,4.2,-1.68,4.08,-0.15,-3.04,-1.51,-1.36,-3.26
"28","18","    Consumption expenditures","A997RZ2",NA,-11,1.8,3.52,-6.93,-6.51,-0.56,4.43,0.78,-0.23,-0.97,-7.43,0.61,1.74,6.83,24.82,37.74,37.25,32.02,7.24,9.28,11.65,3.21,2.83,1.73,-1.68,-1.11,1.55,-15.51,-6.43,-3.38,-6.11,1.22,-8.08,4.92,-4.88,-1.13,4.69,-3.22,4.08,2.52,3.63,-0.02,-1.81,-1.8,1.08,-0.77,-0.94,-11.85,-3,1.82,0.25,-2.43,0.97,3.28,-1.27,-0.24,0.04,3.78,3.31,5.56,-0.51,2.42,2,-3.69,-0.3,5.31,-1.3,-2.99,-1.02,0.3,-1.97,-1.03,1.33,4.29,5.85,2.36,5.68,6.14,3,8.28,1.94,1.39,0.14,5.93,0.61,-2.49,0.03,-4.22,1.36
"29","19","    Gross investment","A788RZ2",NA,-0.78,6.18,1.51,4.2,1.84,-0.91,2.91,3.96,3.68,0.64,-2.91,-6.65,-0.17,3.39,3.05,15.69,18.82,17.96,14.57,-1,1.78,2.23,1.29,5.84,3.73,-1.6,-5.98,0.52,-2.83,-7.22,-1.48,-1.81,0.44,-2.6,-1.71,0.4,0.97,2.66,2.89,-0.23,-1.85,2.07,-0.76,0.03,1.48,0.8,2.75,5.26,0.29,1.35,-2.15,-0.72,-2.64,3.08,-0.9,5.5,-0.89,2.35,0.42,1.74,-1.55,1.1,-1.83,-3.35,-0.86,2.84,-3.8,0.15,-1.24,-0.68,-0.58,-2.01,-2.04,1.16,-0.98,3.67,-1.84,4.5,1.66,2.49,-1.67,2.81,-1.81,-1.85,-0.76,-0.55,-1.54,2.86,-4.62
"30","20","      Structures","A808RZ2",NA,0.67,1.29,1.17,0.32,-0.09,0.2,-0.57,0.49,-0.48,0.08,0.53,-0.39,0.07,0.61,2.2,3.61,4.29,2.27,1.57,1.25,1.55,1.23,0.14,0.56,-0.83,-0.94,-0.64,0.58,-1.62,-0.55,-0.15,-1.04,-0.41,-0.88,-0.56,-0.3,0.46,0.65,0.11,-0.09,-0.38,0.31,-0.24,0.56,-0.05,0.69,0.99,-0.39,-0.33,-0.76,-1.22,-0.08,0.1,0.67,0.29,0.88,-0.71,-0.81,0.08,-0.18,0.09,-1.23,0.15,-0.36,0.09,1.19,-3.03,0.88,-0.31,0.2,-0.02,-0.55,0.09,0.24,-0.05,0.09,-0.11,0.17,-0.24,0.07,-0.34,0.26,-0.14,-0.04,-0.18,0.28,0.15,-0.1,0.12
"31","21","      Equipment","Y050RZ2",NA,-1.42,4.76,0.22,3.7,1.52,-1.23,3.37,3.38,4.1,0.65,-3.27,-6.05,-0.08,2.85,0.72,11.97,14.24,15.31,12.64,-2.62,-0.14,0.61,0.81,4.77,4.19,-1.08,-5.75,-0.48,-1.58,-6.98,-1.6,-1,0.35,-2.44,-2.17,-0.53,-0.6,1.02,1.85,-0.84,-1.9,1.5,-0.62,-0.46,1.48,-0.21,1.24,5.08,0.16,1.88,-0.95,-0.67,-2.79,2.11,-1.55,4.01,-0.85,2.79,0.26,1.96,-1.67,2.23,-2.12,-3.22,-1.16,1.33,-0.61,-0.71,-0.82,-0.65,-0.32,-1.22,-2.05,0.95,-0.97,3.45,-2.02,3.92,1.33,1.76,-1.73,2.46,-1.57,-1.49,-0.4,-0.8,-1.76,2.76,-4.78
"32","22","      Intellectual property products","Y052RZ2",NA,-0.03,0.13,0.13,0.17,0.41,0.12,0.12,0.08,0.05,-0.1,-0.17,-0.22,-0.16,-0.07,0.12,0.11,0.29,0.38,0.36,0.37,0.37,0.39,0.34,0.51,0.37,0.41,0.4,0.43,0.37,0.31,0.27,0.23,0.51,0.73,1.02,1.23,1.11,1,0.93,0.7,0.43,0.26,0.1,-0.07,0.06,0.31,0.52,0.57,0.46,0.23,0.02,0.02,0.06,0.3,0.36,0.61,0.67,0.36,0.08,-0.04,0.03,0.1,0.13,0.22,0.21,0.31,-0.16,-0.02,-0.11,-0.23,-0.25,-0.25,-0.07,-0.03,0.05,0.14,0.29,0.42,0.58,0.66,0.4,0.09,-0.1,-0.32,-0.18,-0.04,0.08,0.21,0.03
"33","23","        Software","Y053RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.01,0.01,0,-0.01,0,0,0.15,-0.13,0.04,0,-0.01,0.02,-0.04,0.06,0.01,0,0.02,0.02,0.02,0.03,-0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01
"34","24","        Research and development","Y076RZ2",NA,-0.03,0.13,0.13,0.17,0.41,0.12,0.12,0.08,0.05,-0.1,-0.17,-0.22,-0.16,-0.07,0.12,0.11,0.29,0.38,0.36,0.37,0.37,0.39,0.34,0.51,0.37,0.41,0.4,0.43,0.37,0.31,0.27,0.23,0.51,0.73,1.02,1.23,1.11,1,0.93,0.7,0.43,0.26,0.1,-0.07,0.06,0.31,0.52,0.57,0.46,0.23,0.02,0.02,0.05,0.29,0.36,0.63,0.67,0.36,0.08,-0.06,0.02,0.1,0.15,0.22,0.21,0.16,-0.04,-0.06,-0.11,-0.22,-0.27,-0.21,-0.13,-0.04,0.05,0.12,0.27,0.41,0.56,0.67,0.4,0.09,-0.1,-0.32,-0.19,-0.05,0.07,0.2,0.02
"35","25","  Nondefense","A825RZ2",NA,13.45,-8.54,-10.13,8.21,14.48,7.05,4.26,0.59,6.46,-2.29,-0.65,-3.89,3.99,-16.7,3.76,-2.33,5.66,0.66,1.06,3.63,-1.8,1.53,0.09,3.19,6.63,-4.29,0.64,1.21,-4.22,-1.16,4.48,-4.59,2.14,0.35,-1.93,-0.85,0.8,-3.49,1.88,3.09,-5.09,-0.75,5.85,-5.72,5.62,-0.86,3.81,1.49,7.29,0.08,-0.56,-6.05,2.16,1.28,3.08,-4.37,2.87,1.12,0.85,1.77,2.91,4.01,1.01,-1.13,0.09,6.24,-1.01,1.65,2.16,-0.94,0.61,1.08,1.2,3.34,0.34,-0.45,2.55,-1.4,-1.95,4.82,-2.79,-0.33,1.88,0.08,-1.03,1.81,0.43,0.75,0.49
"36","26","    Consumption expenditures","A542RZ2",NA,11.53,-8.56,-11.15,5.37,14.45,5.91,4.21,-0.15,5.66,-5.96,-1.11,-2.88,1.4,-15.68,6.25,-3.33,4.98,1.41,0.5,2.95,-1.1,1.85,0.33,3.58,6.99,-4.36,0.56,1.77,-4.09,-0.94,4.98,-4.21,1.74,1.34,-2.24,-1.55,-0.19,-4.36,1.96,2.84,-5.8,-1.15,5.86,-6.9,5.27,-0.65,3.65,1.47,7.08,0.27,-1.08,-6.66,0.64,0.77,2.27,-4.94,3.05,0.81,-0.06,1.18,1.88,3.09,-0.6,-2.25,-1.23,4.77,-1.9,0.59,1.34,-1.43,-0.46,0.64,0.13,2.55,-0.82,-1.7,2.05,-1.16,-1.44,5.71,-1.77,-0.66,1.44,-0.01,-1.19,2,0.36,1.04,0.61
