"","Table 2#5#3# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","8","    Clothing","DCLTRA3",24.001,23.828,24.688,26.348,27.998,27.472,28.099,29.318,30.771,33.688,35.371,36.341,38.321,39.089,41.763,45.365,47.229,50.61,52.521,54.343,57.087,56.473,56.574,59.829,62.277,65.489,68.15,71.219,73.494,77.802,82.539,86.422,87.16,89.693,93.525,97.143,101.796,104.354,105.58,104.976,100,105.115,108.502,109.467
"16","9","      Garments","DGARRA3",20.412,20.374,21.285,22.817,24.499,24.173,24.978,26.129,27.553,30.457,32.313,33.44,35.653,36.558,39.158,42.668,44.535,47.855,49.553,51.143,53.802,53.262,53.588,56.755,59.265,62.509,65.175,68.234,70.496,74.678,79.318,83.167,84.072,86.918,91.159,95.286,100.501,103.399,105.021,104.801,100,105.625,109.278,110.218
"17","10","        Women's and girls' clothing","DWGCRA3",17.927,17.919,18.836,19.858,21.219,20.955,21.733,22.714,23.854,26.592,28.416,29.751,32.252,33.48,36.386,40.149,42.268,46.189,47.481,48.67,51.414,50.444,50.77,54.117,56.221,58.53,61.053,64.017,65.538,70.271,76.085,80.955,82.135,85.325,89.678,94.31,100.125,102.895,104.696,104.895,100,105.744,109.357,111.184
"18","11","        Men's and boys' clothing","DMBCRA3",26.519,26.116,27.286,29.829,32.034,31.55,32.695,34.109,36.235,39.301,40.965,41.56,43.101,43.056,45.317,48.506,50.109,52.743,55.223,57.557,60.337,60.896,61.387,64.719,68.105,73.361,76.542,80.344,84.023,87.151,90.036,92.317,92.3,94.427,97.905,100.33,103.659,105.88,105.859,104.515,100,105.732,109.116,109.053
"19","12","        Children's and infants' clothing","DCICRA3",12.864,15.283,13.658,16.403,19.593,19.443,18.217,19.941,20.751,24.348,27.359,28.719,30.947,33.225,34.153,36.503,37.043,37.667,39.416,41.213,42.321,40.613,40.124,40.657,42.66,44.833,46.228,46.502,48.461,52.965,56.003,58.773,61.718,65.046,71.887,79.723,88.797,96.016,103.852,105.369,100,104.101,109.391,107.526
"20","13","      Other clothing materials","DOCMRA3",42.799,41.283,47.853,53.973,57.733,58.592,53.302,61.763,62.891,66.217,64.46,66.012,64.206,66.565,68.741,72.192,72.564,77.451,85.401,84.736,86.193,80.539,81.034,82.36,83.349,81.191,73.082,74.666,76.101,83.848,93.638,101.694,106.515,116.759,118.679,114.628,112.198,109.409,105.916,103.035,100,99.511,97.559,99.494
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",189.077,180.521,167.839,168.163,158.791,143.632,135.349,130.527,130.079,126.027,117.019,107.833,98.847,91.634,95.281,99.558,100.72,103.112,108.194,118.688,123.519,123.369,115.454,121.018,121.015,124.503,131.38,134.517,136.909,142.142,146.365,148.746,143.741,135.958,131.29,126.723,122.263,119.924,115.219,108.476,100,98.333,98.921,100.031
"22","15","        Laundry and dry cleaning services","DDRYRA3",148.917,141.331,129.791,129.843,110.203,97.452,88.633,84.281,84.285,85.011,79.835,74.488,66.737,57.888,61.953,64.516,63.575,64.787,70.522,76.553,78.725,73.796,76.829,95.212,97.148,102.602,109.16,114.044,117.114,122.221,127.905,132.982,130.47,127.395,123.766,120.168,117.325,116.91,113.264,106.951,100,98.822,99.305,101.177
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",314.472,302.998,286.917,288.106,310.998,288.258,281.819,275.625,273.749,254.594,233.547,212.302,199.494,197.507,199.799,209.459,217.256,223.357,226.331,250.84,264.035,278.995,236.528,201.474,195.341,192.576,200.401,197.981,198.207,203.787,203.308,197.123,184.337,161.866,153.966,146.394,136.968,128.8,120.925,112.912,100,96.931,97.815,96.811
"24","17","    Footwear \2\","DFTWRA3",28.191,26.781,27.133,28.868,30.597,28.919,28.947,29.7,31.19,34.53,36.387,36.781,39.023,37.888,40.128,42.158,44.372,47.744,49.498,50.537,53.677,54.602,53.093,54.474,56.409,60.269,63.081,66.684,68.788,73.254,78.975,82.387,82.246,82.872,87.376,92.435,97.469,103.922,108.513,106.825,100,104.166,110.042,112.711
"25","18","  Housing, utilities, and fuels","DHUFRA3",35.758,36.968,38.455,40.578,42.533,43.97,45.299,46.762,47.918,50.06,51.507,52.517,52.835,53.086,54.198,55.956,58.129,59.578,61.137,63.228,64.739,65.82,67.234,68.611,70.472,72.796,75.011,76.683,78.22,80.588,82.993,85.505,87.74,88.343,89.522,91.678,95.202,96.937,97.874,98.7,100,101.111,102.196,102.831
"26","19","    Housing","DHSGRA3",31.052,32.196,33.701,35.466,37.229,39.219,40.34,41.482,42.505,44.627,46.441,48.099,49.213,49.57,50.497,52.463,54.62,56.258,57.684,59.493,60.992,62.595,63.962,65.669,67.144,69.529,71.876,73.395,75.32,77.792,80.299,82.967,85.745,86.073,87.19,89.75,93.844,96.36,97.215,98.716,100,101.079,102.855,104.2
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",40.481,41.953,43.883,45.98,48.201,49.409,50.404,51.593,52.522,53.444,54.011,55.448,57.185,58.592,59.913,62.555,67.304,70.022,70.933,71.919,72.389,74.675,75.284,76.251,76.75,78.032,80.759,81.011,81.76,83.212,84.41,85.186,86.786,86.149,83.491,83.839,85.307,88.021,93.039,95.619,100,103.46,109.871,114.476
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",27.409,28.485,29.915,31.635,33.314,35.551,36.716,37.874,38.965,41.5,43.731,45.501,46.475,46.549,47.402,49.205,50.653,52.01,53.605,55.671,57.478,58.894,60.492,62.45,64.23,66.968,69.239,71.131,73.388,76.146,79.028,82.078,85.246,85.866,88.067,91.312,96.236,98.738,98.391,99.606,100,100.395,100.825,101.214
"29","22","      Rental value of farm dwellings","DFARRA3",76.182,76.356,76.536,76.859,76.902,77.841,78.263,78.636,79.473,80.102,80.013,80.301,80.099,79.642,79.263,78.953,78.624,78.445,78.601,78.261,78.452,78.794,78.82,78.709,78.43,78.784,78.872,79.264,81.646,84.202,86.591,101.2,100.521,100.459,101.206,100.711,100.791,100.749,100.634,100.38,100,99.634,99.04,98.472
"30","23","      Group housing","DGRHRA3",225.807,225.404,216.103,208.832,208.336,221.097,231.906,224.66,193.141,162.655,146.696,127.263,113.493,108.471,88.735,90.12,81.615,72.094,68.978,74.883,80.99,87.453,91.501,80.216,83.615,82.482,86.098,92.457,90.771,95.303,95.872,95.227,91.277,82.908,86.274,86.481,86.658,90.286,97.017,98.233,100,101.642,108.392,122.268
"31","24","    Household utilities and fuels","DUTFRA3",61.77,63.132,64.036,68.297,71.179,68.653,71.12,74.357,76.21,78.369,77.804,75.611,72.237,72.024,74.034,74.962,77.325,77.901,80.179,83.801,85.383,83.603,85.281,84.841,88.827,90.809,92.269,94.802,94.119,95.849,97.574,99.095,98.152,100.372,101.907,101.687,102.063,99.757,101.107,98.638,100,101.271,98.98,96.141
"32","25","      Water supply and sanitation","DWRSRA3",41.669,44.265,45.033,48.94,51.386,53.703,54.323,53.731,53.841,54.474,58.092,60.742,60.41,60.006,62.219,66.434,71.126,75.54,78.778,80.749,83.761,84.089,82.875,81.318,85.214,89.059,92.394,95.399,97.502,99.068,102.219,103.248,104.212,105.247,105.236,103.061,102.144,104.062,102.851,102.653,100,98.751,98.863,98.052
"33","26","      Electricity, gas, and other fuels","DEGFRA3",65.831,66.881,67.805,72.087,75.034,71.438,74.275,78.279,80.481,82.948,81.537,78.466,74.57,74.387,76.372,76.735,78.689,78.528,80.61,84.603,85.857,83.573,85.971,85.824,89.835,91.289,92.196,94.587,93.067,94.848,96.108,97.788,96.27,98.855,100.874,101.252,102.015,98.517,100.581,97.489,100,102.072,98.992,95.458
"34","27","        Electricity","DELCRA3",34.906,37.019,38.401,40.683,43.177,44.232,47.19,49.404,53.912,56.519,57.57,60.121,59.726,60.155,63.894,64.419,66.611,67.271,70.401,73.384,74.423,74.953,77.115,75.783,80.11,81.779,82.887,84.244,83.993,89.976,90.851,93.972,92.221,96.493,98.11,100.018,104.556,102.07,103.555,102.017,100,106.048,104.055,101.99
"35","28","        Natural gas","DGHERA3",93.661,94.942,95.748,99.718,96.805,95.853,98.622,99.949,96.587,99.806,98.25,97.825,94.081,96.055,93.123,93.315,94.505,89.31,89.957,96.362,99.949,92.231,95.605,98.152,100.991,100.172,99.406,107.233,104.375,93.963,94.919,97.981,96.846,94.665,97.871,96.661,95.068,90.771,94.449,91.621,100,95.769,93.974,89.493
"36","29","        Fuel oil and other fuels","DFULRA3",276.024,257.294,249.271,274.712,297.694,233.46,231.818,258.999,249.918,246.532,222.832,170.625,142.355,133.018,135.658,135.255,137.591,146.872,141.546,147.284,142.257,128.569,129.935,133.979,137.363,144.145,148.424,143.615,133.144,131.336,137.909,121.105,120.362,124.456,125.591,119.762,103.886,97.043,98.072,86.963,100,92.122,81.496,72.946
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",28.988,28.8,29.289,31.532,34.328,33.518,31.382,32.841,34.989,36.935,38.534,37.705,37.373,36.192,38.487,42.046,43.751,46.639,47.99,49.668,51.806,51.778,50.602,52.573,55.341,58.813,61.514,63.898,67.003,71.461,77.101,82.042,84.154,88.032,93.727,100.965,106.162,110.39,111.766,108.304,100,104.768,109.947,115.704
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",22.436,22.037,22.849,25.568,28.156,28.114,26.65,28.34,31.212,32.722,34.129,32.03,31.019,29.104,32.111,35.656,37.205,40.472,43.112,44.441,46.968,45.729,44.36,45.029,47.057,49.754,51.787,54.241,57.555,61.929,68.384,75.279,78.033,83.013,88.712,97.823,106.004,112.785,116.29,110.271,100,107.404,113.266,121.867
"39","32","    Household textiles","DTEXRA3",17.626,17.049,16.73,17.254,18.724,17.332,16.869,17.582,18.051,18.907,19.54,19.541,20.042,19.382,21.113,23.422,25.115,28.235,29.656,30.202,30.5,30.347,30.495,32.393,34.543,37.694,40.522,44.066,47.083,49.789,53.368,56.307,58.004,61.204,69.832,78.746,86.811,95.732,102.203,103.03,100,109.472,118.03,128.364
"40","33","    Household appliances \6\","DHAPRA3",29.867,30.68,32.421,36.077,39.631,39.432,36.443,37.621,40.215,41.072,42.844,41.799,40.767,37.228,39.861,43.304,47.526,50.74,51.476,53.531,56.14,55.939,55.714,58.416,60.68,62.28,65.609,66.829,67.301,73.047,81.323,87.549,91.414,96.279,102.677,114.155,118.105,119.94,115.87,110.645,100,105.329,109.541,106.969
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",20.88,20.565,20.95,21.93,23.96,23.45,22.033,23.53,25.393,27.684,28.504,28.561,29.074,30.254,30.953,32.587,33.173,33.973,33.119,35.364,37.475,38.553,38.044,40.347,42.784,45.46,48.362,51.054,53.273,57.495,66.146,74.003,80.062,89.475,96.325,100.725,104.709,110.762,110.711,106.627,100,106.781,114.66,126.228
"42","35","    Tools and equipment for house and garden","DTOORA3",14.507,14.956,16.102,17.772,20.836,22.26,22.95,25.486,28.907,32.26,35.275,35.727,36.27,35.482,37.365,40.642,40.664,43.688,46.104,49.423,54.31,56.493,56.88,61.631,66.325,71.119,73.961,76.082,79.637,86.933,94.288,98.345,101.933,105.961,112.478,119.58,121.203,121.347,114.268,111.065,100,103.545,107.176,112.367
"43","36","    Other household goods and services \8\","DOGSRA3",56.396,56.124,54.97,56.569,59.869,56.518,51.18,52.294,53.42,56.923,59.379,59.715,59.745,59.67,61.547,66.837,68.007,70.449,70.56,72.571,74.317,75.497,72.573,75.374,79.522,85.175,88.088,89.688,93.802,98.142,100.387,101.507,100.116,99.981,103.196,106.625,108.16,108.107,108.731,107.342,100,99.948,103.135,106.05
"44","37","  Health","DHLTRA3",23.826,25.373,27.038,28.974,31.097,32.254,33.737,35.136,36.637,38.422,39.961,41.168,43.041,43.163,44.598,45.584,47.073,48.694,50.819,53.001,53.887,55.955,56.865,58.414,58.884,59.632,61.122,62.788,65.248,68.158,70.187,73.224,77.099,81.694,84.529,87.731,90.583,93.429,96.237,98.299,100,101.33,104.024,106.65
"45","38","    Medical products, appliances, and equipment","DMPARA3",12.282,13.83,14.273,15.549,16.811,17.723,17.936,18.405,18.457,19.751,21.464,22.332,22.91,23.045,24.405,26.022,27.267,28.823,30.488,32.559,34.275,36.679,36.577,36.84,37.916,39.699,41.866,44.876,49.003,54.817,60.791,66.163,70.637,74.912,80.108,83.926,86.316,92.173,97.016,98.531,100,101.285,103.909,105.923
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",12.288,13.934,14.585,15.882,17.15,18.048,18.132,18.684,18.661,20.012,21.756,22.691,23.224,23.195,24.379,25.598,26.416,27.591,28.912,30.385,32.185,34.052,34.818,35.194,36.356,37.956,40.558,43.415,47.506,53.554,60.015,65.669,71.382,75.622,80.88,84.41,86.235,92.176,96.524,98.172,100,100.486,102.691,104.249
"47","40","        Pharmaceutical products","DPNPRA3",12.23,13.844,14.481,15.803,17.059,17.859,17.947,18.545,18.507,19.838,21.6,22.573,23.16,23.155,24.329,25.523,26.317,27.477,28.787,30.255,32.03,33.879,34.635,35.033,36.227,37.872,40.543,43.469,47.63,53.683,60.16,65.813,71.563,75.817,81.059,84.52,86.277,92.179,96.466,98.113,100,100.402,102.572,104.077
"48","41","        Other medical products","DOMPRA3",15.356,18.546,19.909,20.036,21.877,27.466,27.343,25.787,26.449,28.787,29.704,28.818,26.721,25.502,27.193,29.767,31.858,33.857,35.767,37.517,40.644,43.588,44.931,43.948,43.036,41.817,39.985,38.554,38.169,43.642,48.919,54.532,57.54,60.759,67.136,75.906,83.006,92.052,101.387,103.084,100,107.796,113.066,119.617
"49","42","      Therapeutic appliances and equipment","DTAERA3",12.817,14.056,13.729,14.979,16.271,17.272,17.943,18.14,18.454,19.598,21.266,21.932,22.695,23.449,25.553,28.83,31.898,35.132,38.341,43.092,44.482,49.389,45.172,44.887,45.544,48.219,48.27,52.026,56.331,61.009,64.536,68.449,66.439,70.889,75.739,81.194,86.838,92.206,99.967,100.693,100,106.255,111.575,116.586
"50","43","    Outpatient services","DOUTRA3",21.744,22.729,23.023,24.32,26.732,27.273,28.308,28.905,30.318,31.086,32.178,33.285,35.689,35.678,37.886,39.819,41.941,43.598,47.064,49.924,51.449,54.759,56.555,59.634,59.926,60.577,62.673,64.399,65.921,68.036,69.354,72.627,76.739,81.887,85.788,89.729,92.826,95.076,96.855,99.661,100,100.896,103.284,105.924
"51","44","      Physician services \10\","DPHYRA3",26.182,27.504,28.219,29.687,31.883,32.245,33.218,32.767,34.441,35.028,36.421,38.343,40.731,40.761,42.565,44.275,46.369,47.624,51.51,54.532,55.065,56.797,57.665,59.412,57.481,56.835,57.801,59.192,60.785,62.986,64.693,68.729,72.674,78.604,83.759,88.523,92.407,95.572,96.344,100.038,100,100.087,102.385,104.944
"52","45","      Dental services","DDENRA3",43.944,46.872,46.446,49.025,55.446,56.783,58.255,61.539,63.649,65.661,65.631,65.566,70.278,70.282,71.549,72.257,74.453,75.689,78.343,77.935,78.384,78.66,77.011,79.756,79.752,81.281,83.357,83.912,85.449,87.911,89.925,93.477,97.962,102.226,101.129,103.143,103.111,102.058,102.88,102.866,100,99.62,99.487,99.662
"53","46","      Paramedical services","DPMSRA3",8.748,8.716,8.634,9.289,10.767,11.296,12.227,13.459,14.241,14.875,15.751,15.974,17.64,17.572,20.421,22.864,24.885,27.13,30.019,33.389,36.669,43.154,47.318,52.543,56.568,59.112,63.075,65.688,67.055,68.883,69.307,71.18,75.394,79.531,83.148,86.45,89.437,91.497,95.236,97.766,100,102.698,106.278,110.087
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.654,28.561,32.386,39.432,45.149,53.103,60.715,67.143,74.871,78.575,76.865,74.242,70.164,67.048,69.34,70.205,74.826,78.224,82.02,84.857,90.465,95.228,100,103.525,108.236,112.646
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825,23.666,26.528,29.742,32.488,35.121,35.262,36.19,35.504,37.544,42.106,48.599,53.622,61.067,68.777,72.037,77.704,83.04,86.03,89.962,90.385,96.641,100,101.23,104.672,104.14
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.694,38.29,41.341,48.295,51.914,56.232,59.212,59.969,63,65.118,67.368,70.518,72.338,75.654,80.072,86.265,88.803,91.55,94.087,95.28,98.808,99.319,100,102.603,105.646,110.091
"57","50","    Hospital and nursing home services","DHPNRA3",31.392,33.313,37.462,40.394,42.446,44.383,47.134,50.017,52.43,55.631,57.447,58.874,60.738,60.999,61.524,61.052,61.915,63.462,64.257,65.668,65.394,65.958,66.472,67.14,67.49,67.845,68.441,69.447,72.057,74.423,75.34,77.07,80.442,84.66,85.428,87.693,90.535,92.576,95.388,97.046,100,101.714,104.693,107.571
"58","51","      Hospitals \12\","DHSPRA3",33.073,34.963,39.18,42.312,44.331,46.492,49.51,52.708,55.205,58.517,60.582,61.96,64.09,64.631,64.247,63.029,63.598,64.813,65.785,66.469,65.599,65.156,65.496,65.795,65.862,66.088,66.156,66.955,69.507,71.912,73.272,75.33,79.331,84.153,84.42,86.859,89.788,91.974,94.791,96.53,100,101.606,104.754,108.5
"59","52","      Nursing homes","DNRSRA3",23.083,24.944,28.508,30.521,32.509,33.529,35.155,36.73,38.657,41.223,42.028,43.525,44.28,43.436,47.674,50.419,52.552,55.558,55.51,60.371,63.094,68.925,70.373,73.142,75.167,76.286,80.033,82.221,85.111,87.235,85.795,85.824,86.032,87.274,90.546,91.924,94.323,95.625,98.405,99.655,100,102.258,104.378,102.823
"60","53","  Transportation","DTRNRA3",38.329,37.309,41.514,45.358,48.305,43.838,44.302,49.261,52.969,54.759,53.409,48.761,49.003,49.466,54.529,60.522,66.036,69.953,69.655,73.201,73.957,73.226,67.979,72.202,75.698,80.275,81.839,86.187,91.539,97.895,104.42,107.283,109.543,111.335,113.149,115.888,115.759,114.167,115.309,106.324,100,100.39,102.289,104.991
"61","54","    Motor vehicles","DMTRRA3",35.693,30.861,37.263,42.625,46.358,37.182,37.006,46.052,51.341,53.414,49.268,41.659,42.416,43.628,52.846,62.536,71.731,77.732,74.057,78.087,77.866,75.928,65.743,71.782,75.391,79.647,77.676,81.224,87.005,97.273,106.858,110.512,117.431,124.478,127.856,130.835,127.986,122.275,124.751,107.008,100,101.412,106.67,115.65
"62","55","      New motor vehicles","DNMVRA3",42.438,36.03,45.063,52.286,57.53,44.61,44.644,56.705,64.513,67.37,61.215,50.23,51.614,53.986,67.858,79.307,90.719,98.92,92.313,97.512,96.104,90.949,73.39,80.279,85.528,89.819,85.465,86.967,91.609,101.818,113.626,119.82,131.516,141.566,148.377,149.862,147.025,138.552,140.099,113.002,100,107.829,119.576,133.966
"63","56","      Net purchases of used motor vehicles","DNPVRA3",26.25,24.821,25.079,26.497,26.969,25.69,24.944,28.309,28.628,29.215,29.081,28.307,27.714,26.587,27.368,34.172,39.636,41.825,43.314,45.371,47.139,50.696,53.56,58.211,58.955,63.189,65.01,71.651,79.108,89.372,95.439,95.19,94.872,97.417,95.646,100.912,98.064,96.558,100.4,97.244,100,91.346,86.934,87.779
"64","57","    Motor vehicle operation","DMVORA3",41.305,43.907,46.641,49.151,51.517,49.718,51.016,53.032,55.677,57.421,57.708,55.006,55.821,55.877,58.709,62.659,66.314,68.51,70.741,74.263,75.802,75.622,72.994,76.685,80.569,85.296,89.653,94.597,100.072,103.064,107.185,108.514,107.878,105.824,106.333,108.546,110.462,111.095,111.454,106.258,100,100.441,101.173,101.612
"65","58","      Motor vehicle parts and accessories","DMVPRA3",24.831,26.7,30.19,33.638,38.39,38.422,38.121,39.333,41.743,44.656,46.102,45.52,47.305,48.197,53.701,57.56,59.333,59.664,60.182,65.13,65.362,68.245,66.558,68.323,74.46,82.033,85.696,91.374,95.493,97.146,101.558,102.972,99.232,98.477,103.231,109.715,115.13,116.812,118.866,110.032,100,105.097,109.013,110.276
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",57.126,60.662,63.6,66.192,69.633,66.204,68.175,70.903,73.075,74.76,73.757,69.546,70.6,71.48,73.077,75.372,76.853,80.587,82.745,84.972,86.874,86.146,85.265,88.754,90.977,92.108,93.717,95.703,98.608,101.779,103.863,102.138,102.089,102.636,102.667,104.089,104.908,105.284,104.969,100.838,100,99.855,98.154,97.502
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",45.662,48.14,50.445,52.504,52.254,50.782,52.53,54.695,59.112,60.772,62.499,59.306,59.01,57.012,62.121,69.285,78.549,80.36,84.758,90.43,92.291,90.624,81.625,83.688,86.988,92.915,98.194,102.557,106.144,109.92,113.732,117.152,118.922,117.289,119.592,120.949,122.214,118.969,118.753,110.843,100,100.185,104.304,105.333
"68","61","      Other motor vehicle services","DOVSRA3",9.664,10.594,11.595,12.511,12.618,12.404,13.083,13.77,14.789,15.097,15.212,15.975,16.851,16.074,16.718,21.844,25.527,25.959,26.194,27.753,29.086,30.258,33.413,42.874,50.68,60.407,70.897,84.39,101.996,104.242,114.055,119.758,114.626,102.971,97.578,101.252,106.596,116.992,120.943,119.636,100,99.805,103.023,108.35
"69","62","    Public transportation","DPUBRA3",38.5,38.22,39.074,42.213,44.456,47.282,46.077,49.001,51.655,52.6,54.581,49.563,44.492,44.636,47.314,51.073,53.016,57.912,59.377,61.716,62.824,63.985,63.993,64.462,66.253,72.187,75.58,81.275,85.049,91.723,97.682,105.447,103.911,104.335,107.23,112.552,110.074,109.184,110.933,104.606,100,96.601,95.676,94.703
"70","63","      Ground transportation \13\","DGRDRA3",78.343,77.112,77,78.377,79.439,82.636,80.42,80.997,81.225,78.861,78.952,71.546,65.384,62.662,62.149,62.651,63.133,59.57,58.495,63.199,64.655,67.645,69.906,70.772,73.065,75.687,77.37,75.286,76.702,84.813,89.798,93.986,98.618,95.391,93.097,97.792,99.725,104.349,105.622,104.911,100,98.8,100.63,95.27
