"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Personal current taxes \1\","A074RC1",18.2,18.5,18.7,19.8,20.1,17.8,17.1,17.3,16.5,15.6,14.9,14.5,15.2,16.1,17.4,21,22.8,24.7,26.1,27.9,29.1,30,30.4,31.2,31.5,31.5,31.2,31,28.1,27.9,27.9,28.3,29,30.1,31,31.8,32.7,33.6,34.2,35.2,35.7,36.1,36.3,35.9,35.2,34.7,35.9,36.2,37.2,38.3,38.7,39.7,41.1,41.8,42.3,42.1,42.2,42.5,42.8,43.4,44.6,46,47.2,48.4,48.8,49,49.1,49.6,48,43.7,45.4,46.9,50.5,51.9,50.4,51.5,54.4,58,59.8,62.2,62.9,62.6,65.2,66.9,68.8,71.4,81,84.5,90.7,93.3
"12","4","  Taxes on production and imports \2\","W007RC1",7.8,7.5,7.4,7.9,7.5,7.9,7.9,7.9,7.8,7.9,8.1,7.7,7.9,8.5,9.8,8.8,9.8,8.8,8.8,9.3,9.7,10.1,10.1,10.5,10.8,10.9,10.7,10.4,9.7,9.6,9.2,9.5,10,10.5,10.6,10.6,10.6,10.6,11,11.7,11.6,11.5,11.7,11.2,11,11.2,11.1,11.5,11.8,12.1,12.5,12.5,13.3,13.1,13,12.9,12.9,13,13.2,13.6,13.9,13.9,14.4,14.3,14.4,14.7,14.8,14.9,15,15.3,15.5,15.9,16.4,15.7,14.7,15,13.8,14.6,14.5,14.8,14.9,15.2,15.2,15.4,16.2,16.7,17.3,17.4,17.3,17.8
"13","5","    Excise taxes","B234RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,11,11.4,11.4,12.1,12,12,11.9,11.9,12.1,12.1,12.5,12.7,12.7,13.2,13.1,13.2,13.4,13.5,13.7,13.7,14.1,14.1,14.5,14.9,14,13,13.2,12,12.7,12.6,12.9,13,13.3,13.4,13.4,14,14.5,14.9,15,15.3,15.2
"14","6","    Customs duties","B235RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.1,1.1,1.2,1.1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.8,2,2.1,2.2,2.4,2.3,2,2.6
"15","7","  Taxes on corporate income","B075RC1",10.9,10.4,10.2,11.1,11.5,12.1,11.9,11.5,10.4,9.1,9.5,9.3,13,15.6,19.1,20.9,25.3,21.4,19.4,20.7,19,17.9,17.8,19.7,20.8,20.9,20.4,15.9,15.7,16.2,17.1,18.4,20.4,20.7,21.2,22,21,21.4,20.1,21.2,21.7,20.8,20.4,18.6,16,16.3,18.4,21.1,22.3,24.4,21.9,21.4,23.6,21.7,20.7,19.7,19.4,20.7,22,23.9,22.3,22.1,22.7,22.8,22.9,24.5,25.2,25.8,25.9,26,26.5,26.1,27.5,28.4,28.9,30.8,31.7,31.7,31.4,30.9,29.7,29.4,29.6,31.4,35.2,35.9,36.1,37,37.4,36.5
"16","8","    Federal Reserve banks","B677RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.8,1,1.2,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.5,1.6,1.6,1.7,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2,2.3,2.4,2.5,2.6,2.8,3
"17","9","    Other","A678RC1",10.9,10.3,10.1,11,11.4,12,11.7,11.3,10.2,8.9,9.3,9.2,12.9,15.4,18.9,20.7,25,21.1,19.1,20.4,18.7,17.6,17.5,19.3,20.4,20.5,20,15.6,15.4,15.9,16.9,18.2,20.2,20.4,20.9,21.7,20.6,21,19.7,20.8,21.3,20.3,19.8,18,15.4,15.8,17.9,20.7,21.6,23.6,20.9,20.2,22.7,20.8,19.8,18.9,18.7,20.1,21.3,23.2,21.5,21.3,21.9,22,22,23.6,24.3,24.8,24.4,24.4,24.9,24.5,26.3,27.1,27.6,29.4,30.2,30.2,29.7,29,27.8,27.5,27.8,29.4,33,33.5,33.5,34.4,34.6,33.5
"18","10","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"19","11","Contributions for government social insurance","W780RC1",6.2,5.8,5,4.6,4.6,4.3,4.4,4.3,5,4.9,4.6,4.3,5.1,5.1,5.3,5.6,6.4,6.5,6.3,6.4,6.7,6.6,6.6,6.8,6.8,6.9,6.9,6.8,7.8,7.7,7.8,7.8,8.6,8.7,8.9,8.9,9.5,9.6,9.6,9.8,11,11.1,11.1,11,11,10.9,11.1,11.2,13.3,13.5,13.5,13.5,16,16,16.1,15.9,16.3,16.5,16.6,16.8,18.4,18.6,18.7,18.8,20.8,21,21.2,21.4,21.4,21.7,21.9,22.1,22.3,22.5,22.9,23.3,29.7,30.1,31.2,31.5,32.9,33.8,34.5,35.2,36.8,37.6,38.3,38.9,42.1,42.9
"20","12","Income receipts on assets","W009RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,1.4,1.4,1.6,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.1,1.8,2.1,2.1,2.1,1.8,2.2,2.2,2.2,2.4,2.5,2.7,2.7,2.8,3,3.1,3.2,3,2.7,2.8
"21","13","  Interest receipts \3\","B094RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.7,1.9,1.5,1.9,1.9,1.9,1.6,1.9,1.9,2,2.1,2.2,2.4,2.4,2.4,2.7,2.7,2.9,2.6,2.4,2.5
"22","14","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Rents and royalties \4\","B1040C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"24","16","Current transfer receipts","W011RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.8,0.8,0.9,0.9,1,1,1,1,1,1,0.9,1,1,1,1,1,0.9,0.9,1,1
"25","17","  From business","W012RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"26","18","  From persons","B233RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1
"27","19","Current surplus of government enterprises \5\","B097RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,-0.6,-0.5,-0.6,-0.6,-0.8,-0.8,-0.9,-1,-0.9,-0.7,-0.8,-0.9,-0.9,-1,-0.7,-0.8,-0.7,-0.6,-0.7,-0.7,-0.9,-0.8,-0.8,-0.8,-0.9,-1,-1,-1.1,-1.4,-1.3,-1.3,-1.2,-1.2,-1.4,-1,-1,-1,-1.1,-1.3,-1.3
"28","20","    Current expenditures","W013RC1",40.6,40.4,42.3,38.5,39.1,40,42.8,44,46,47.1,46.9,45.6,53,46.1,42.2,46.5,51.8,56.6,61.4,63.9,63.6,67.3,70.1,70.9,71.6,73.8,72.1,73.6,71.4,70.1,69.9,70.7,71.3,70.9,72.7,71.7,71.9,74.8,74.2,76.8,80,81.4,81.5,84.8,83.8,88.4,89.2,91,89.1,90.1,90.7,92,90.5,92.6,93.7,96.7,96.5,100.1,100.5,102,105.9,107.7,109.3,111.1,112.1,112,113.7,116,117.8,118.8,118.1,118.1,119.9,122.9,128.6,132.2,136,142.4,146.9,152.1,161.9,164.1,166,171,177.2,183.6,186.2,190.2,188.1,194.9
"29","21","Consumption expenditures","A957RC1",24.4,24.1,22.2,21.4,21.4,22.3,23,23.9,24.8,25.4,24.3,23.8,23.5,23.6,22.7,25.8,31.3,35.6,40.5,42.4,44.2,47.2,48.7,50.3,50.9,52.5,51,52.1,49.3,47,46.1,46.3,46.4,46.2,47.9,46.6,46.5,48.3,46.5,48.1,50.6,50.4,50.4,52.1,50.6,52.8,52.8,53.9,50.8,51.8,52.4,52.1,49.4,49.8,51.7,52.9,51,52.1,53.2,54.4,57.2,58.1,60.1,60.6,60.1,59.4,62.1,63,62.9,63,63.8,62.7,63,63.8,67.5,71.5,72,75.1,79.1,79.7,85.8,87,88.3,91,95,95.8,97.4,99,97.1,99.5
"30","22","Current transfer payments","W014RC1",10,10.2,14.1,10.9,11.5,11.5,13.3,13.3,14.5,15.1,15.8,15.1,22.3,15.2,12.1,12.9,12.6,13,13.1,13.4,11.4,12.1,13.3,12.5,12.4,13.2,12.8,13.4,13.9,14.2,15.2,15.9,16.2,15.8,16,15.9,16.1,16.5,17.1,17.2,18,19.3,19.3,20.6,21.4,23.7,24.1,24.3,25.8,26.4,25.8,26.8,26.1,27.6,27.1,28.8,30.2,32.2,31.1,31.1,31.9,32.3,31.7,32.7,34.1,34.3,32.9,33.9,35.1,35.5,34,34.8,35.9,37.6,39.5,38.5,41.1,43.3,43.3,47.1,50.5,51.6,52.2,53.7,54.7,59.3,59.7,61.6,61,64.3
"31","23","  Government social benefits","W015RC1",7.7,7.3,10.7,7.8,7.5,7.2,7,7,7.7,8.2,8.5,8.5,16.6,9.6,7.2,7.5,7.5,7.9,8.1,8,7.7,7.6,8.5,8.5,8.6,8.4,8.6,9.2,9.9,10.5,10.9,11.4,11.4,11.4,11.6,11.6,11.9,12.1,12.5,12.6,13.4,14.5,14.6,15.7,16.8,18.6,19,18.3,18.4,18.3,18.5,19.1,19.1,19.7,20.4,21.3,22.9,23.7,23.7,23.1,23.6,23.4,23.8,24.4,25.6,24.5,24.7,25.1,25.8,25.3,25.4,25.5,26.6,26.4,29.6,28.3,29.1,28.7,30.4,33.3,36,36.6,37.6,38.1,39.8,42.3,43.4,44.1,45.1,45.9
"32","24","    To persons","B087RC1",7.7,7.3,10.7,7.8,7.5,7.2,7,7,7.7,8.2,8.5,8.5,16.6,9.6,7.2,7.5,7.5,7.9,8.1,8,7.7,7.6,8.5,8.5,8.6,8.4,8.6,9.2,9.9,10.5,10.9,11.4,11.4,11.4,11.6,11.6,11.9,12.1,12.5,12.6,13.4,14.5,14.6,15.7,16.8,18.6,19,18.3,18.4,18.3,18.5,19.1,18.9,19.5,20.1,21,22.7,23.4,23.5,22.9,23.3,23.1,23.5,24.1,25.3,24.2,24.3,24.8,25.5,24.9,25.1,25.1,26.2,25.7,29.2,27.9,28.7,28.3,29.8,32.8,35.6,36.1,36.9,37.6,39.3,41.8,42.8,43.5,44.6,45.3
"33","25","    To the rest of the world \6\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6
"34","26","  Other current transfer payments","W010RC1",2.3,2.9,3.4,3.1,4,4.3,6.3,6.3,6.8,7,7.3,6.6,5.8,5.6,5,5.3,5,5.1,5,5.3,3.8,4.5,4.8,4,3.9,4.8,4.2,4.2,4,3.7,4.3,4.4,4.8,4.4,4.4,4.3,4.2,4.4,4.5,4.6,4.6,4.8,4.7,4.9,4.6,5.1,5.1,5.9,7.4,8.1,7.2,7.7,7,7.9,6.7,7.5,7.3,8.5,7.3,8,8.3,8.9,7.9,8.4,8.5,9.8,8.3,8.8,9.2,10.3,8.6,9.3,9.3,11.2,9.9,10.2,12,14.7,12.9,13.8,14.5,15.1,14.6,15.6,14.9,16.9,16.2,17.5,15.9,18.4
"35","27","    Grants-in-aid to state and local governments","B089RC1",0.6,1,1.3,1,1,1.3,1.4,1.7,1.7,1.6,2,1.9,1.8,1.9,1.8,1.8,2,2,1.8,2,1.9,2,2.2,2.2,1.7,2.6,2.2,2.2,2.3,2.2,2.3,2.3,2.2,2.3,2.4,2.3,2.3,2.4,2.5,2.5,2.8,2.6,2.8,3,2.7,3.2,3.1,3.9,3.3,3.8,3.7,3.7,3.7,3.8,3.8,3.9,4,4.3,4.4,4.4,4.6,4.6,4.9,4.8,4.9,5.1,5.4,5.6,6.1,6,5.7,6.1,6,6.5,6.8,6.9,8.3,9.4,9.7,10,10.3,10.8,10.8,11.9,10.9,12.5,11.7,12.3,12.2,13.1
"36","28","    To the rest of the world (net) \6\","W017RC1",1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.3,1.8,2.5,2.6,1.7,2.1,2.2,2,2,1.8,1.5,2,2.2,2.6,2.1,2,1.9,1.9,2.1,2,2.1,1.8,2.2,1.9,1.9,1.8,1.9,2,2,4.1,4.3,3.6,4,3.3,4,2.9,3.6,3.3,4.2,2.9,3.5,3.7,4.3,3,3.5,3.6,4.7,2.9,3.2,3.2,4.3,2.9,3.3,3.3,4.7,3.1,3.3,3.7,5.3,3.2,3.8,4.2,4.3,3.8,3.7,4,4.5,4.5,5.2,3.6,5.3
"37","29","Interest payments \3\","A091RC1",5.4,5.4,5.4,5.4,5.5,5.5,5.6,5.7,5.8,5.8,5.9,6,6.1,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.8,7.7,8,8.2,8.3,8.6,8.9,9.5,9.5,9.8,10,10.4,9.9,9.8,10,10.4,11.3,11,11.5,12,14,14,13.8,13.7,13.7,13.7,14,14.2,14.5,15,15.3,15.6,15.8,16.1,16.4,16.8,17.1,17.3,17.7,17.9,18.2,18.5,18.7,19.1,19.4,20,20.5,21.1,21.5,21.6,21.9,22.6,23.5,24.4,25,25.4,25.7,26.7
"38","30","  To persons and business \3\","B092RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,13.6,13.5,13.5,13.4,13.5,13.7,13.9,14.2,14.6,15,15.3,15.4,15.7,16,16.3,16.6,16.9,17.2,17.4,17.7,18,18.2,18.5,18.9,19.5,19.9,20.6,21,21,21.3,22,22.8,23.6,24.3,24.6,24.9,25.9
"39","31","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8
"40","32","Subsidies \5\","B096RC1",0.8,0.8,0.7,0.6,0.7,0.6,0.9,1.1,0.9,0.7,0.9,0.8,1,1.2,1.1,1.5,1.5,1.5,1.3,1.5,1.2,1.2,1.2,1.1,1.1,0.9,1.1,0.7,0.7,1.3,0.9,0.8,0.9,1.1,0.8,1,1.1,1.3,1.7,2,2,2,1.8,1.7,1.9,2,2.2,2.4,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.5,3.9,4,4.2,4,3.8,3.7,3.7,4,4.2,4.2,4.2,4.3,4.4
