"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3006C0",777,1101,1018,859,1829,4351,4299,4271,3619,2718,4293,6789,2912,-2128,-3554,-2244,-5535,-5300,-1775
"14","7","    Metal mining","B3007C0",101,200,-2,-8,333,425,45,207,-2,-45,356,286,45,-591,-358,-389,-888,-696,-548
"15","8","    Coal mining","J3008C0",131,453,291,212,365,1983,1797,1290,833,438,502,592,744,494,278,344,-37,271,346
"16","9","    Oil and gas extraction","B3009C0",269,248,463,391,668,1379,1982,2281,2239,1506,2473,4900,1405,-2372,-3788,-2870,-5136,-5507,-2566
"17","10","    Nonmetallic minerals, except fuels","B3010C0",277,200,265,265,463,564,475,493,549,819,962,1012,718,342,316,671,525,631,993
"18","11","  Construction","B3011C0",1964,1840,2249,2162,2241,2191,2057,2674,3905,5443,6273,5594,3591,2098,1672,1954,5547,6809,8600
"19","12","  Manufacturing","E563RC0",45312,35700,42272,50776,64751,71365,67800,89132,99490,115859,125898,115542,123511,93136,99489,115936,107247,71723,109314
"20","13","    Durable goods","E565RC0",24895,16192,21482,28338,35135,33527,30316,43160,51920,62186,59596,41602,42482,23894,35338,54843,47625,40877,54559
"21","14","      Lumber and wood products","J3014C0",1245,662,1038,1578,2581,1741,1182,2442,3226,4236,4051,1702,67,-9,2113,2409,1646,2484,4978
"22","15","      Furniture and fixtures","J3015C0",513,381,414,573,551,458,469,661,817,994,1012,952,995,974,1351,1407,1741,1894,1774
"23","16","      Stone, clay, and glass products","B3016C0",1200,884,1207,1491,1674,1425,1350,2095,2588,3170,3259,2162,1353,-644,1761,2901,3479,4284,3206
"24","17","      Primary metal industries","J3017C0",1942,1212,1143,2009,3375,7361,3577,3645,2585,5314,6609,4674,4530,-3929,-4218,93,-491,860,3283
"25","18","      Fabricated metal products","J3018C0",2442,1709,1880,2563,3446,4281,3880,4914,5725,6298,7104,5882,6489,3536,3882,5716,5569,5289,5978
"26","19","      Machinery, except electrical","B3019C0",4511,3831,3876,5180,6562,6923,7402,8904,11239,13536,13394,11758,12967,7025,5791,7869,6894,1183,5903
"27","20","      Electric and electronic equipment","B3020C0",3823,2726,3331,4529,5330,4376,4804,6304,8522,10172,10263,10803,11126,6410,8597,10664,7749,7334,10790
"28","21","      Motor vehicles and equipment","B3021C0",5459,2180,6012,7131,7631,2998,3471,9222,11759,12081,7964,-717,3091,2234,7405,11659,10325,7164,5691
"29","22","      Other transportation equipment","J3022C0",1388,861,769,1013,1337,1555,1383,1531,1692,1970,1397,16,-3298,4741,5972,7531,7188,7892,9371
"30","23","      Instruments and related products","B3023C0",1829,1376,1341,1576,1775,1688,1835,2331,2572,3129,3111,3286,3677,2441,2380,3149,2277,1753,2462
"31","24","      Miscellaneous manufacturing industries","J3024C0",544,370,471,696,872,721,962,1111,1196,1286,1432,1085,1485,1115,305,1444,1248,740,1124
"32","25","    Nondurable goods","E564RC0",20417,19508,20790,22438,29616,37838,37484,45972,47570,53673,66302,73940,81029,69242,64151,61093,59622,30846,54755
"33","26","      Food and kindred products","B3026C0",3528,3742,3958,3769,4948,5755,7547,7677,7859,8218,7897,9005,8737,8087,8161,7873,8960,7867,11389
"34","27","      Tobacco manufactures","B3027C0",843,951,1044,991,894,978,1234,1470,1643,2083,2207,2280,2170,2401,2930,3829,2938,2711,1722
"35","28","      Textile mill products","B3028C0",1060,930,981,1112,1382,1009,778,1330,1529,1985,1805,1551,1459,1057,1835,1346,1344,2217,2244
"36","29","      Apparel and other textile products","B3029C0",819,769,876,1123,1223,982,1309,1504,1819,1755,1657,1957,2057,2146,2787,1863,1710,1985,1883
"37","30","      Paper and allied products","B3030C0",1651,1310,1221,1771,2676,3445,2496,3302,3255,3720,4891,3774,3660,3246,3330,4479,3802,4200,6395
"38","31","      Printing and publishing","B3031C0",2306,2075,2301,2562,2952,3109,3470,4138,5134,5880,5882,5693,5952,5822,6808,7760,8386,8925,9930
"39","32","      Chemicals and allied products","B3032C0",5323,4897,5192,6124,7684,9011,8386,10374,10044,10638,11412,10128,12056,8809,10462,11760,9705,9318,18360
"40","33","      Petroleum and coal products","B3033C0",3660,4041,4016,3577,6221,12014,10738,14216,14010,16957,28092,37438,42239,35234,24859,19098,19578,-8666,32
"41","34","      Rubber and miscellaneous plastics products","B3034C0",983,588,952,1166,1399,1305,1180,1419,1841,1849,1839,1316,1906,1692,2332,2576,2814,2045,2236
"42","35","      Leather and leather products","B3035C0",244,204,249,243,236,230,346,542,436,587,619,799,791,748,645,510,386,244,564
"43","36","  Transportation and public utilities","E567RC0",11374,9401,9725,10669,11211,12089,12101,18848,22564,26590,25535,26336,28949,28393,34420,45126,39382,37330,43494
"44","37","    Transportation","C512RC0",610,-197,728,1543,1560,2812,814,2944,3527,4443,4852,3740,2071,-507,2766,5387,2345,544,2294
"45","38","      Railroad transportation","B3038C0",62,-354,-169,21,52,751,-81,377,518,350,1188,1754,333,-246,533,2165,928,309,1107
"46","39","      Local and interurban passenger transit","B3039C0",85,31,9,75,30,56,55,86,89,115,180,218,167,151,225,251,153,68,42
"47","40","      Trucking and warehousing","B3040C0",514,414,788,1030,931,904,609,1138,1247,1634,1536,1099,1413,739,1968,1687,2291,2389,690
"48","41","      Water transportation","B3041C0",75,32,1,32,78,437,244,277,271,212,361,325,102,-422,-394,-508,-767,-649,-93
"49","42","      Transportation by air","B3042C0",-287,-512,-122,134,261,323,-355,569,917,1382,247,-755,-1184,-1991,-824,828,-1357,-2109,-151
"50","43","      Pipelines, except natural gas","B3043C0",133,170,181,207,202,301,366,420,420,596,983,921,1097,1261,1214,904,1000,707,894
"51","44","      Transportation services","B3044C0",29,22,40,44,8,41,-24,76,64,154,357,179,141,1,45,59,98,-171,-196
"52","45","    Communication","C513RC0",5950,5375,4741,4787,5367,5558,5261,7881,9241,11749,11359,11112,13047,13278,14753,17981,18948,22280,22336
"53","46","      Telephone and telegraph","B3046C0",5221,4720,4140,3796,4503,4462,4164,5713,6443,8629,8079,8733,9919,10421,11737,14277,16286,20690,21067
"54","47","      Radio and television","B3047C0",729,655,601,991,864,1096,1097,2168,2797,3120,3280,2379,3128,2857,3017,3704,2662,1590,1269
"55","48","    Electric, gas, and sanitary services","C514RC0",4814,4223,4256,4339,4284,3719,6026,8023,9796,10398,9324,11484,13831,15622,16901,21758,18089,14506,18864
"56","49","  Wholesale trade","C510RC0",5647,5615,6170,8933,13981,18861,16029,16376,18568,22285,27869,27456,27366,21877,24835,30109,22874,22577,22710
"57","50","  Retail trade","C511RC0",7262,6929,8198,8558,9891,9262,11392,13453,15929,18629,18033,15504,14913,16238,21665,23337,24177,24681,25732
"58","51","  Finance, insurance, and real estate","A3051C0",14786,16290,18916,20274,21725,20867,20652,26564,34702,43139,44006,35967,29623,25337,35920,33301,44124,53910,58990
"59","52","    Banking","J3052C0",9675,10624,10089,10229,11927,13864,14202,15172,15475,18383,21505,21676,31275,50371,30935,32926,41546,45428,48157
"60","53","      Federal Reserve banks","B3053C0",3075,3526,3312,3344,4476,5681,5610,5872,6109,7645,9433,11798,14393,15245,14586,16433,16346,15516,16249
"61","54","      Commercial and mutual banks","J3054C0",6600,7098,6777,6885,7451,8183,8592,9300,9366,10738,12072,9878,16882,35126,16349,16493,25200,29912,31908
"62","55","    Credit agencies other than banks","J3055C0",1874,1824,2728,3322,3883,3424,3344,4805,6402,7830,6163,-269,-14952,-33299,-644,13,2043,3521,8294
"63","56","    Security and commodity brokers","B3056C0",103,-150,329,246,206,128,521,83,-19,463,226,992,87,-264,652,-905,245,390,1246
"64","57","    Insurance carriers","B3057C0",2036,3106,4704,5668,5126,3299,2647,5791,10370,12675,12427,11263,10555,7842,3065,-67,-3766,-1195,308
"65","58","    Insurance agents, brokers, and service","B3058C0",294,431,495,468,534,524,595,722,1308,1392,1388,1317,1237,1071,802,892,1401,2029,3069
"66","59","    Real estate","B3059C0",1149,799,1033,822,628,84,226,964,2102,2379,2242,718,-678,-1863,-280,-1399,-2382,-2446,-1313
"67","60","    Holding and other investment offices","B3060C0",-346,-344,-463,-482,-579,-456,-883,-974,-935,17,55,271,2098,1478,1389,1841,5037,6183,-770
"68","61","  Services","A3061C0",2703,2206,2649,3613,4661,4557,4963,7577,9933,11566,13322,13420,15697,14711,14486,13942,13831,13449,13858
"69","62","    Hotels and other lodging places","B3062C0",242,121,54,180,116,-54,39,214,400,808,1010,849,684,413,472,63,-140,-577,-668
"70","63","    Personal services","B3063C0",286,250,255,301,331,424,416,470,502,586,652,651,728,778,711,804,645,600,849
"71","64","    Business services","B3064C0",675,577,735,950,1372,968,1344,1720,2755,2957,3149,2890,3391,3575,2991,4129,3816,4196,4378
"72","65","    Auto repair, services, and parking","B3065C0",178,116,142,173,237,217,234,389,481,429,356,315,367,272,340,149,-149,124,-84
"73","66","    Miscellaneous repair services","J3066C0",73,64,56,81,85,154,148,168,213,267,239,292,364,224,233,372,313,413,482
"74","67","    Motion pictures","B3067C0",354,103,116,231,106,139,184,892,795,810,1276,710,767,602,109,-628,-745,-448,-998
"75","68","    Amusement and recreation services","B3068C0",219,217,260,194,299,367,396,518,668,736,785,762,764,425,103,-583,-112,416,145
"76","69","    Other services","A3069C0",675,758,1032,1503,2115,2341,2201,3207,4119,4973,5856,6951,8632,8421,9527,9637,10202,8724,9754
"77","70","      Health services","B3070C0",213,374,553,778,1146,1431,1453,1936,2360,2917,3498,4350,5414,5469,6156,6020,6296,5194,5595
"78","71","      Legal services","B3071C0",7,-34,62,70,113,128,145,193,237,308,445,460,634,942,1109,1102,1123,1358,1570
"79","72","      Educational services","B3072C0",31,86,80,111,224,236,231,313,335,458,400,535,483,489,438,485,358,63,212
"80","73","      Other \1\","B3073C0",426,331,337,544,632,546,372,765,1187,1290,1513,1605,2101,1522,1824,2029,2425,2108,2377
"81","74","Rest of the world \2\","B394RC0",6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32587,35056,36569,38098,39474,48009
"82","75","  Receipts from the rest of the world","B3075C0",8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36670,41103,46104,46799,48717,58922
"83","76","  Less: Payments to the rest of the world","B3076C0",1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4083,6047,9535,8701,9243,10913
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
