"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"22","14","    Information","N5014C1",308.1,319.1,304,289.4,302.7,308.1,308,322.3,324,323.8,335.1,326.2,338.1,376.2,390.7,379.5,386.8,418.8,440.4,446.1,435.6,442.1,439.9,444.9,453.8,449.2,462.9,485.9,448.9,465.1,452.9,455,484,408.3,401.8,452.5,443.3,433.1,448.5,448.4,448.3,424.1,453,445.9,493.7,472.3,506.8,476.2,496,507.2,497.5,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1623.8,1624,1623.9,1624.6,1626.2,1633.3,1615.8,1628.1,1633,1673.8,1710.5,1710,1738.1,1756.6,1782,1835.1,1953.6,1922,1982.4,2018.2,2072.2,2090.7,2087.1,2124.8,2132.7,2115.7,2106,2035.2,2006.1,2007.4,1863.3,1853,1978.1,2151.9,2227.6,2184.3,2125.6,2120.9,2143.5,2169.6,2189,2155.4,2134.4,2226.9,2267.8,2280.8,2336.4,2366.3,2418.9,2448.1,2521,NA
"24","16","    Professional and business services \1\","N5016C1",1139.7,1138.9,1136.3,1129.6,1150.8,1169.9,1183.9,1190.2,1203.7,1216,1223.8,1247.5,1257.9,1274.6,1312.5,1341.5,1386,1397.2,1454.7,1474.6,1525,1540.4,1569.8,1589.4,1586.2,1604.8,1621.4,1640.8,1708.7,1715.6,1719.2,1592.5,1618.9,1571.3,1566.1,1607.8,1648.1,1678.9,1716.6,1739.8,1739.7,1767.6,1807.8,1801.2,1872.2,1882.2,1920,2006.8,1973.6,2004.7,2004,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",728.4,742.8,758.5,776.3,794,813.4,830.8,844.2,853.4,862.2,874.2,893.3,908.6,928.3,948.1,951.2,965.2,984.9,996.3,1007.4,1032.3,1050.5,1061.1,1078.5,1089.6,1098.5,1114.2,1132.2,1152.4,1182.8,1195.3,1213.3,1227.2,1246.9,1256.3,1279.4,1273.8,1290.3,1300.4,1305.6,1316.3,1329.7,1344.5,1346.8,1386.7,1390.1,1397.8,1413.1,1423.7,1438.9,1439.2,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",350.4,351.3,351.3,348.3,354,362.1,367,373.6,371.7,374.8,381.6,391.3,402.6,409.3,413.8,409.4,422.2,435.4,439.2,452.1,458.4,463.4,465.8,475.1,480.9,482.2,481.5,487.5,479.4,484.3,481,468.3,458.9,460.2,466.3,466.4,474.3,482.1,488.1,488.7,496.7,504.8,514.5,519.5,549.9,552.1,553.6,562.6,569.7,577.1,585.2,NA
"27","19","    Other services, except government","N5019C1",269.4,271.4,273,272.2,289.3,292.9,297.7,300.7,294.6,296.8,299,303.5,309.5,312.5,316.3,318.1,331.1,336.2,337.9,344.3,353.8,360.7,363.2,368.1,368.9,369.6,366.7,369.7,362.4,358.8,357.9,361.1,355.1,359.9,359.8,364.6,362.1,366.6,371.6,371.7,375.8,380.6,385.1,385.8,395.9,396.8,398.7,404.8,406.1,409.7,410.8,NA
"28","20","  Government","B436RC1",1085,1101.1,1126.3,1135.6,1162,1174.7,1191.5,1207.6,1236.9,1250.7,1260.3,1271.5,1304.5,1320.1,1331.6,1341.9,1367.9,1374.9,1385.6,1394.6,1420.3,1431.3,1446.6,1459.6,1486.4,1497.3,1512.8,1527,1554.2,1567.8,1585,1596.6,1605.5,1620.6,1628.9,1637.2,1662.8,1685.6,1685.6,1685.3,1683.7,1690,1689.8,1683.8,1696.3,1693.1,1690.7,1690.5,1684.3,1680.1,1675.1,NA
"29","21","Rest of the world","A192RC1",40.5,49.7,26.8,90.2,51.2,32.5,46.8,63.8,51,64.8,64.9,91.4,109.9,84.9,95.6,70,103.9,92.7,103.3,74.2,76.3,71.3,57.9,68.3,69.5,91.7,148.9,195.7,181.7,185.3,203,121.8,122.5,119.6,166.5,180.1,203.4,205.2,199.7,215.5,248.3,250.2,272.2,272.3,248,258.7,247.6,257,237.4,246.8,262.9,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
