"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","14","Depreciation and amortization, IRS","B1218C1",8.8,9.6,10.4,11.7,13.4,15.4,17.3,18.9,21.2,24.6,29.7,34.6,42.8,48.1,57.3,69.9,82.2,90.8,89,93.8,98.8,90.5,88.6,91.2,93.5,92.4,96.7,105.8,118.8,132.2,150.8,169.9,198.5,219,231.8,243.8,214.9,235.9,255.8,332.8,323,330.9,386.2,NA
"26",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","15","  Depreciation or amortization of intangible assets \1\","B1219C1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.9,2.7,5.3,6,6.8,7.9,8.8,9.3,9.8,8.6,9.4,10.2,13.3,12.9,13.2,15.5,NA
"28","16","  Adjustment for misreporting on income tax returns","B1220C1",0.5,0.5,0.5,0.6,0.7,0.9,1,1.2,1.5,1.9,2.5,3.1,2.9,5,5.1,6.6,7.5,8.4,8.1,8.6,9.3,8.5,8.6,9,9,9.3,9.2,9.6,10.3,11.2,12.8,14.4,16.2,17.8,19.9,20.5,18.9,20.6,22.8,27.5,26.8,27.3,30.3,NA
"29","17","  Other \7\","B2626C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,NA
"30",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","18","  Normal accidental damage to fixed capital other than repairable damage","B1221C1",0.1,0.1,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.8,0.9,0.9,0.9,NA
"32","19","  Depreciation of intellectual property products not in IRS depreciation \3\","Y374RC1",0.7,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.2,1.3,1.5,1.8,2,2.2,2.5,2.8,3.2,3.6,4.1,4.6,5.2,5.7,6.3,6.8,7.3,7.9,8.5,9.5,10.7,12.3,14.1,15.8,17.4,18.9,20.4,21.9,23.6,25.4,27.1,29.1,30.4,NA
"33","20","  Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.8,2.6,3.2,3.5,3.7,3.7,3.8,3.8,3.8,3.7,3.6,3.7,3.2,2.6,2.2,2.2,2.3,2.7,3,3.2,3.6,4.3,5.3,6.7,8.7,11.6,14.2,16.7,18.4,19.4,21.1,NA
"34","21","  Depreciation of motor vehicles not in IRS depreciation \4\","B1313C1",0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,NA
"35","22","  Other \8\","Y380RC1",0.6,0.7,0.9,1,1.1,1.1,0.8,0.8,0.9,1.3,1.7,1.6,1.4,1.2,1.9,2.1,2.7,3.3,3.2,3.1,3.1,2.9,2.8,2.7,2.7,3,3.3,3.8,4.1,5,5.5,5.6,6.1,7.1,8.1,9.6,11.5,11.3,10.1,8.8,7.6,7.5,7.4,NA
"36","23","Equals: Capital consumption allowances, NIPAs","B1314C1",10.1,11,11.9,13.7,15.2,16.9,18.4,19.9,22.3,25.9,31.1,35.8,44.9,48.9,59.5,71.5,83.8,92.6,91.3,95.9,100.7,93.3,91.6,94.2,96.1,94.7,99.4,108.3,120.9,132.9,151.2,169.8,198.3,219.7,233.6,248.9,228.3,250.9,271.1,343.4,337,346.8,399.9,353.8
"37","24","Less: Capital consumption adjustment","A2205C1",-0.3,-0.4,-0.7,-0.1,-0.1,-0.5,-1.3,-1.1,-0.7,0,1.2,1.6,5.3,4.6,13.4,23,31.7,36.4,30.9,30.5,30.7,20.3,16.9,19.1,18.9,14.5,15.1,20.7,29.2,35.6,46.1,54.6,74,88.3,95,100.7,66.3,74.3,82.9,146.5,140.3,151,200.1,147.2
"38","25","Equals: Consumption of fixed capital, NIPAs","B1617C1",10.4,11.5,12.6,13.7,15.2,17.4,19.7,21,23,25.9,29.8,34.2,39.6,44.3,46.1,48.4,52.1,56.2,60.5,65.5,70,73,74.6,75.1,77.2,80.2,84.3,87.7,91.7,97.3,105.1,115.3,124.3,131.4,138.6,148.2,162,176.7,188.2,196.9,196.7,195.9,199.8,206.6
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","animals; rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Consists of depreciation of software, research and development, and entertainment, literary,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists of depreciation of employees' motor vehicles reimbursed by business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","depreciation of business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Consists of depreciation of assets owned by Federal Reserve banks, federally sponsored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","credit agencies, credit unions, and nonprofit institutions serving business; depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","interest paid by public utilities for own-account investment prior to 1987 (beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1987, included in line 1); and capitalization of residential real estate disposal costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","7. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","8. Consists of capitalization of residential real estate disposal costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
