"","Table 3#15#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","Public order and safety","W579RL1",5,4.2,2.4,3.5,6.3,4.5,4.6,3.8,9,4.2,5.7,6.4,5.2,3.7,5.1,4,2.4,1,5.7,3.9,2.1,1.7,5,1,3.2,5.4,5.6,4.3,5,5.9,4.6,4,2.9,2.8,3.1,3.9,4.3,3.7,4.6,4,1.9,3.4,4.4,1.7,2.3
"12","5","Economic affairs","W584RL1",-4.4,4,10.3,10.5,7.9,5.9,1.1,1.1,2,-0.5,-3.8,0.1,0.4,-2.5,-1.3,1.6,0.3,2.3,9.3,3.5,1.5,0.1,-5,3.3,1.3,7.3,3.4,-1.9,-3.2,5.3,5.8,0,4.1,1,0.4,-1.6,0.5,2.1,0.7,5.4,3.5,2.6,3.8,1.3,0.7
"13","6","  Transportation","W589RL1",1.8,5.9,3.5,6.5,1.6,3.5,5.3,2.2,2.6,-0.9,-0.5,-0.9,-0.1,-1.7,-3.4,-0.2,-0.9,0.6,6.8,5.7,-1.3,-6,-3.3,4.7,8.5,5.4,2.6,0.6,2.3,1.1,4.8,1.8,1.7,2.4,3.7,-2.4,0.8,3.1,2.7,4.5,3,4.6,3.4,3.2,0
"14","7","  Space","W595RL1",107.1,55.4,93.8,88.9,31.3,22.2,4.4,-18.5,-8.1,-15.4,-11.3,-8,-8,-11.3,2.5,-0.7,-3.7,-2.4,-2.9,0.1,5.6,1.1,-2.5,8.9,-0.5,3.3,-4,7.6,10.9,14.8,11.8,1.4,-1.1,0.2,-6.2,-1.7,5.5,-1.1,-5,-4.6,-0.8,1.9,-4.3,1,3.6
"15","8","  Other economic affairs","W596RL1",-17.6,-4.2,11.9,-1.5,9.4,0.9,-9.4,14.1,6.2,7.2,-6.9,5,4,-1.4,1.9,5.6,3.5,6,15.5,1,4.9,8.8,-7.5,0.5,-8.1,11.2,6,-7.1,-14.7,11.2,6.1,-3.5,10,-1.2,-3.5,0,-1.3,1,-1.8,9.6,5.4,-1.2,6.1,-2.1,1.8
"16","9","Housing and community services","W597RL1",1.6,9.6,12.9,-6.8,14.6,2.4,0.9,3.7,10.5,-7.8,1.5,3.8,-7.4,4.4,5.3,0.6,-1.3,-7.9,9.5,0.3,7.7,-7.7,-5.1,-6.9,7.7,5.8,11.2,7.7,1.6,0.7,6.4,3.6,-0.6,-4.3,-8,1.6,5.5,3.1,1.1,5.5,-7.2,7.7,6.8,1.7,-3
"17","10","Health","W598RL1",5.9,5.2,1.6,6.2,5.9,2,5.1,5.6,6.6,5.5,7.7,3.4,5.2,3,5.9,3.1,0,0.7,2.2,0.3,7.2,-0.5,0.4,1.3,5.7,3.4,2.8,6,5.6,7.2,8.7,5.1,3.5,1,0.3,-2.7,-0.1,-2.1,-2.7,3.5,1.2,-0.7,6.8,4.9,-5.3
"18","11","Recreation and culture","W599RL1",3.5,8.4,4.5,7.7,1.1,4.1,4.2,8,15.1,10.2,2.9,1.7,1.4,4.4,10.8,9.2,-1,-1.8,5.9,0.4,-2.5,-4,0,-1.7,2.7,6.8,5.7,1,2.1,5.4,5.7,2.1,0.8,-1.3,1.4,3.4,4.1,6.3,3.5,1.8,6.8,5.6,4.8,3.9,-1.1
"19","12","Education","W600RL1",6.4,5.9,3.4,7.7,7.4,8.2,10.3,5.7,4,3.7,3.8,3.5,2.9,3.1,3.8,4.5,1,0.2,1.5,0.1,-1.2,-1.3,-0.5,1.7,2.4,4.5,5.3,1.5,5.4,4,2.9,2,1.7,1.3,3.6,5,3,4.4,3.8,3.8,4.3,3.5,1.5,-0.4,0
"20","13","Income security","W605RL1",-4.8,26.3,13.5,-0.2,-0.3,23.5,13,9.4,-5.7,11.4,9,7.4,16.1,6.6,17.1,0.2,6.3,7,-0.2,1.7,1.1,-3.9,-1.9,3.7,2.6,1.8,0.4,2.4,1.6,5.7,6.2,4.6,7.9,1.5,6,0.9,0.3,4.7,7.4,3.6,3.3,5.3,10.3,3.5,3
"21","14","      Federal","A823RL1",-2.7,4.2,8.5,0.1,-1.3,0,11,9.9,0.8,-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.5,2,-0.2,-1.7,-4.2,-3.7,-2.7,-1.2,-1,-1.1,2.2,0.9,3.9,7,6.9,5.2
"22","15","General public service","W611RL1",8.5,-1,8.6,2.4,-1.3,9,-5.2,-10.7,-6.5,16.6,16.4,17.7,6.5,-0.6,12.3,-4,-3.3,3.9,-3,4.9,1.9,-8.6,5.6,-3.5,-1.9,10.9,3.5,7.3,-4.3,0.1,13.9,3.9,1,-6.9,-3.3,6.3,-12.5,8.1,-5.8,4.1,-3.6,9.7,-2.7,0.4,16.5
"23","16","National defense","A824RL1",-1.6,4.4,6.1,-2.4,-4,-2.1,14.3,13.1,1.6,-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.4,1.2,0.9,3.1,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.6,-4.9,-3.8,-1.4,-2.8,-2.1,1.9,-0.5,3.9,7.4,8.8,7
"24","17","Public order and safety","W615RL1",2.9,1.8,3,4.4,0.1,3,2.1,6.2,2.8,14.3,7.2,6.4,21.9,5.4,8.2,8,7.3,1.7,4.3,5.6,1.9,-5,-0.7,14.5,8.6,5.2,6.7,10.7,16.6,7,4.1,11.6,9.3,3.3,-0.7,3,8.7,4.7,7.4,5.2,10.1,6.8,15.1,5.5,4.2
"25","18","Economic affairs","W620RL1",-15.9,-1.5,29,15.1,15.9,6.8,-3.2,-2.3,1.1,-0.3,-9,1.6,2.2,-4.4,0.8,6.5,0.9,5.9,12,0.6,6.3,7.7,-7.7,6.3,-7.2,8.5,4.5,-4.7,-12,15.3,9.3,-1.3,8.9,-1.8,-2.7,-2.9,1.1,0.1,-2.3,5.3,3.3,-0.4,7.2,0.8,-0.5
"26","19","  Transportation","W625RL1",10.1,6.3,2.9,2.7,1.7,-0.5,7.2,4.2,-3.4,2.7,7.2,-1.1,6.9,1.5,2.9,-1.1,0.3,4.9,5.8,3.8,2.2,-3.7,-2.5,14.1,2.9,1.6,-1.4,2.2,2,1.9,5.2,8,3.7,-4,8,-9.1,2.9,1.5,4.2,-1.2,-0.8,7.2,21.3,12.7,-7.2
"27","20","  Space","W631RL1",107.1,55.4,93.8,88.9,31.3,22.2,4.4,-18.5,-8.1,-15.4,-11.3,-8,-8,-11.3,2.5,-0.7,-3.7,-2.4,-2.9,0.1,5.6,1.1,-2.5,8.9,-0.5,3.3,-4,7.6,10.9,14.8,11.8,1.4,-1.1,0.2,-6.2,-1.7,5.5,-1.1,-5,-4.6,-0.8,1.9,-4.3,1,3.6
"28","21","  Other economic affairs","W632RL1",-26.9,-11.6,22.3,-9.3,8.5,-5.2,-15.8,19.2,12.1,11.3,-12.3,8.7,5.9,-3.2,-0.6,12.7,3,9.4,18.9,-0.2,7.8,12.9,-10.4,3.4,-12.1,12.6,9,-10.1,-24.1,22,9.9,-6.2,16.3,-1.9,-5.4,-0.7,-1.6,0,-4,12.5,6.4,-4.2,5,-5.4,2.1
"29","22","Housing and community services","W633RL1",73.2,90.7,34,25.4,-18.7,-18.7,30.7,36.8,-53.6,-1.7,77.6,67.1,-14.6,7,-15.3,-17.3,-4.5,-11.9,-14.9,-19.7,21,15.1,-20.1,13.4,-0.4,-2.2,36.8,-24.1,-12.2,6,-1.8,-7.8,-4.1,150.9,-53.4,-18.5,7.7,23.4,69.2,44.8,-41.3,-9.6,-15.4,24.8,-72.2
"30","23","Health","W634RL1",7.3,4.9,6.3,7.8,4.8,-2.3,12.9,5.8,6.5,2.8,5.9,-1.9,22.2,9.8,2.3,7.6,2.8,-1.1,7.5,-1.1,7.8,-0.8,-4.6,11,6.4,1.3,2.4,4.3,3,3.5,5.4,4.9,4.5,3.2,3,-0.6,0.8,1.6,3.2,-2.2,6.7,6.5,4.2,7.9,-3
"31","24","Recreation and culture","W635RL1",30.3,7.3,16.1,14.6,-15.7,13.4,3.7,2.1,13.7,16.6,-7.7,-0.5,13.3,2.3,20.2,6,2.6,4.7,3.9,-4.9,-4.9,-3.1,-8.4,-10.7,2.6,-0.7,-0.9,0.9,2.9,1.6,1.4,9.2,6.9,0.7,-1.3,-2,0.3,20.2,5.1,-8.4,11.4,1,2.2,0.8,-1.2
"32","25","Education","W636RL1",-7.9,10.1,20.2,15.8,10.7,4.2,66.9,9.2,-11.9,-14.3,15.7,1.9,-4.8,-2.3,-23.4,16.3,-6.7,-0.3,-2.7,2.5,4.8,3.9,-5.8,10.4,11.8,-6.3,4.1,3.8,-2.7,5.3,4.1,9.5,1.3,0.2,14.2,7.7,5,2.4,7.3,7.4,5.1,12.4,-0.5,-7.6,9.4
"33","26","Income security","W640RL1",-16.4,72.1,23.2,-8.4,-18.5,38.3,13.1,6.7,-33.8,7.5,-2.1,-3.6,29.9,-5.7,54.4,-8.8,9.4,17.1,-3.8,1.2,8.2,-12.9,-5.7,-5.2,2.8,-5.6,-11.1,3.5,-7.3,4.7,3.8,3.1,25,-8.6,4.8,-5.8,-4.9,1.5,10.1,-7.1,3.6,-1.2,29.1,9.4,1.4
"34","27","      State and local","A829RL1",4.4,6.2,3.1,6,6.8,6.7,6.3,5,5.9,3.4,2.8,3.1,2.2,2.8,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0.1,1.2,3.6,6.2,6.4,1.5,3.7,3.4,4.1,2.1,2.2,1.4,2.6,2.6,2.3,3.6,3.6,4.7,2.7,3.2,3.1,0.6,0.4
"35","28","General public service","W646RL1",5.6,9.2,3,5.1,8.6,9.1,6,9,12.1,13.2,0.5,4.6,8.2,9.3,7.9,11.2,0.9,2.3,0.2,-1.4,-0.7,-3.1,1.8,5.8,2.8,13.2,18.5,-2.7,0.4,-0.3,2.9,1.2,5.2,2.6,1.5,0.1,1.2,3.8,8.6,6.6,1,1.9,5.4,1.1,0.4
"36","29","Public order and safety","W650RL1",5.2,4.4,2.3,3.4,6.8,4.6,4.8,3.6,9.5,3.6,5.6,6.4,3.9,3.6,4.8,3.6,1.9,1,5.8,3.7,2.1,2.4,5.5,-0.2,2.7,5.5,5.5,3.7,3.8,5.7,4.7,3.2,2.2,2.8,3.6,4,3.7,3.6,4.2,3.8,0.8,2.9,2.8,1,1.9
"37","30","Economic affairs","W655RL1",2,6.5,2.3,8,3.2,5.2,3.9,3.2,2.4,-0.7,-0.9,-0.7,-0.5,-1.4,-2.3,-0.7,0,0.4,7.8,5.2,-1.2,-4.2,-3.2,1.5,6.6,6.7,2.8,-0.3,1.4,0.9,4,0.7,1.6,2.6,2.2,-0.9,0.2,3.1,2.1,5.5,3.6,3.9,2.3,1.6,1.3
"38","31","  Transportation","W660RL1",1,5.8,3.6,6.9,1.6,4,5.1,2,3.3,-1.3,-1.4,-0.9,-1,-2.1,-4.2,-0.1,-1.1,0.1,7,6,-1.8,-6.4,-3.4,3.3,9.4,6,3.2,0.3,2.3,1,4.8,0.9,1.4,3.5,3.1,-1.4,0.5,3.3,2.5,5.3,3.5,4.3,1,1.6,1.3
"39","32","  Other economic affairs","W665RL1",6.9,9.3,-3.7,13.4,11,10.3,-1,8.4,-0.9,1.7,1.2,0.1,1.4,1.1,5.3,-2.9,4.1,1.6,10.6,2.6,0.7,2.6,-2.6,-3.9,-1.7,9.1,1.7,-2.5,-1.7,0.5,1.6,-0.1,2.4,-0.4,-1.1,0.9,-1,2.3,0.8,6.2,4.1,2.6,7.4,1.5,1.4
"40","33","Housing and community services","W666RL1",0.4,7.2,11.8,-8.9,17.7,3.8,-0.6,1.4,16.3,-8.1,-1.6,-0.9,-6.5,4.1,7.5,2.1,-1.1,-7.7,11,1.2,7.2,-8.6,-4.3,-7.8,8.2,6.2,10.1,9.4,2.1,0.6,6.7,4,-0.5,-8.5,-4.7,2.3,5.5,2.6,-1,3.6,-4.9,8.4,7.5,1,-0.7
"41","34","Health","W671RL1",5.3,5.3,-0.6,5.5,6.5,4.3,1.3,5.5,6.7,7,8.7,6.2,-2.9,-1,8.3,0.3,-1.8,2,-1.4,1.4,6.7,-0.3,4.4,-6.2,5.1,5.3,3.1,7.7,8.2,10.8,11.8,5.3,2.5,-1.4,-2.9,-5.4,-1.3,-7.2,-11.5,12.8,-6.2,-11.6,11.7,-0.5,-10.1
"42","35","Recreation and culture","W672RL1",-0.7,8.6,2,6,5.6,2.1,4.3,9.3,15.4,8.8,5.3,2.2,-0.9,4.9,8.8,9.9,-1.8,-3.3,6.4,1.6,-2,-4.2,1.7,0,2.7,8,6.7,1,2,5.9,6.3,1.1,0,-1.6,1.9,4.3,4.6,4.3,3.3,3.5,6.1,6.3,5.2,4.4,-1
"43","36","Education","W673RL1",6.5,5.8,3.2,7.6,7.3,8.3,9.4,5.7,4.3,4,3.6,3.5,3.1,3.2,4.2,4.4,1.1,0.2,1.5,0,-1.3,-1.4,-0.4,1.6,2.3,4.6,5.3,1.5,5.5,3.9,2.9,1.9,1.7,1.3,3.5,5,2.9,4.4,3.8,3.8,4.3,3.4,1.5,-0.3,-0.1
"44","37","  Elementary and secondary","W674RL1",6.6,5.3,2,5.9,6.9,7.1,7.7,3.8,4,3.3,2.4,3.6,2.6,2.4,4.2,5.2,0.8,0.4,1.7,0.3,-1.6,-2.3,-0.9,1.9,2.3,3.9,5.2,2,5.1,3.8,3.1,1.9,1.8,0.2,2.8,5.3,3.2,4.4,3.5,3.9,4.3,3.4,1,-0.4,-0.2
"45","38","  Higher","W675RL1",6.4,8.6,9.3,16,8.2,12.2,15.4,11.8,5.2,5.6,6.9,2.7,4.4,6.9,4,0.8,2.7,0.2,1.4,-0.5,-0.2,2.6,1.8,1.3,2.3,7.4,6.2,-0.8,7.1,4.4,2.5,2.6,1.9,5.9,6.4,4.1,1.9,5,5.3,3.2,4.4,3.8,3.4,-0.2,0.1
"46","39","  Libraries and other","W677RL1",6,8.2,7.6,12.7,11.9,17.7,20,15.1,6.1,8.7,11,6,5,0.6,6,7.3,-0.6,-3.4,-0.1,-1.6,-1.9,-3.9,-2.8,-2.9,2,3.9,3.3,3.4,4.7,4.6,1.5,-1.5,-0.2,1.6,2.9,3.8,3.5,2.5,3,4,5.1,3.6,3.4,2.4,2.6
"47","40","Income security","W678RL1",2.2,3.6,5.5,7.7,14.8,14.6,13,11.3,12.9,12.9,13.1,11.2,12.1,10.8,6.3,4,5.1,3.2,1.3,1.9,-1.6,-0.1,-0.4,6.7,2.6,3.8,3.4,2.2,3.5,5.9,6.7,4.9,4.7,3.7,6.2,2.3,1.3,5.2,6.9,5.5,3.2,6.4,7.6,2.4,3.3
